n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.6790909090909091,0.19043239369326326,0.33785953177257533,0.08860989774444286,0.5761454849498329,0.39992966187203843,0.4400537505972289,0.22382118127564085,0.9559735234309905,0.29049211657907303,0.21589925549102623,0.09585098012178701,0.032089640610036746,0.030767796199934756,0.05188817549360907,0.022375050515191883,0.030208954703329776,0.03392234888967555,0.010895121487224893,0.01820752868097979,"[[35, 15], [18, 34]]","[0.20298589977435427, 0.1733543247736114]","[0.3901548914512927, 0.2963039671713856]","[0.11331391257003243, 0.06821745080435433]","[0.6696823114282925, 0.502936776340921]","[0.41797656074756373, 0.38553552412858255]","[0.430770451325096, 0.44809739169546275]","[0.1755087549961725, 0.2625659414075457]","[0.9526101208943965, 0.9584223922697156]","[0.3093425756816331, 0.2743216744288718]","[0.12931456522616008, 0.06965916054593892]","[0.04078800752698799, 0.0441508570581476]","[0.03522594422956535, 0.03469738250566435]","[0.06022655975641021, 0.06174131512902249]","[0.01708601792641289, 0.026411497848969]","[0.07915926881748689, 0.07083937770837831]","[0.032038527656495897, 0.04306727119428919]","[0.010772542512444444, 0.01566333269587216]","[0.01682321838344933, 0.020771205325285792]"
0,DCP,0.6536363636363636,0.30710702341137125,0.4095246058289537,0.023431003342859393,0.5455422838031534,0.45632212737604805,0.5220315734989648,0.20578153993065268,0.9561985814017951,0.2799530179964962,0.2302810994342729,0.06431218995002166,0.031483333614974275,0.0227151999951999,0.040552957306311845,0.015070823613218641,0.06009067455040134,0.030148017026292443,0.007024135901653539,0.011630569805129097,"[[30, 20], [16, 36]]","[0.2701662717550645, 0.34341660370627614]","[0.4133512222825436, 0.40371601126642587]","[0.020084820884177863, 0.027197306835142515]","[0.5784353036304152, 0.5109147122707243]","[0.46712269409319074, 0.446037092584989]","[0.4901380877658763, 0.5514777774741808]","[0.19243146102923345, 0.21787061091442778]","[0.9512804027477195, 0.9609548389806243]","[0.2971045177813636, 0.2628801218926909]","[0.07619323231988762, 0.056908044831592654]","[0.026633200163898082, 0.04292117570533529]","[0.021880130856979114, 0.02512129729731743]","[0.042015030228085726, 0.05325201635781882]","[0.014970829019763474, 0.015988692839255896]","[0.04664959800994696, 0.06936217808541059]","[0.05531597262199345, 0.03180040910434219]","[0.008365750612135427, 0.00890353220021822]","[0.016538873922526107, 0.010182324142038995]"
0,F1,0.6209090909090909,0.31254180602006687,0.4137052078356427,0.10369759072170473,0.5606963688485427,0.4536918144278689,0.5258460742156394,0.25648159566134876,0.9618687860133985,0.26690555820990597,0.15200224733730844,0.08147776179336554,0.03517399445646933,0.04337177991219954,0.05141287486574322,0.018001490603567132,0.06053135350390473,0.04961416321620303,0.005600193273315944,0.021698168175631798,"[[28, 22], [17, 35]]","[0.28032234702966413, 0.3467681166853727]","[0.4120991753890708, 0.41714588883911663]","[0.08927990204079053, 0.11984652654644797]","[0.6000377415589958, 0.5207278085847121]","[0.46424831491775614, 0.44510267417254645]","[0.5052340925809069, 0.5447875407318484]","[0.23811047297291044, 0.2770495028576466]","[0.9575220179549447, 0.9669713644910367]","[0.28804831611800247, 0.24664107839706043]","[0.1182071178818645, 0.0750512906144673]","[0.04181611766256755, 0.04089235937384486]","[0.031469541963590794, 0.0630252272684043]","[0.06373845634904816, 0.049673392492757575]","[0.02317722106751849, 0.025808861985279923]","[0.08365229239115528, 0.06656790808587919]","[0.06728613698917753, 0.04035571053676535]","[0.009509703025341557, 0.006544308032343906]","[0.024104521787945518, 0.022333025136457345]"
0,Hostility,0.6490909090909092,0.11645962732919254,0.3045317725752509,0.07647108359407409,0.5384316770186335,0.41422354350007684,0.4272764373307852,0.1817806428557983,0.9485514312404673,0.27596352922439876,0.16943703035157873,0.07418113482383426,0.04825370019729077,0.021770111217209315,0.05689258854517007,0.024626145878924522,0.06662760433730767,0.036087865447072466,0.00934446905390599,0.012755216721149045,"[[32, 18], [18, 34]]","[0.09652014018315061, 0.13816343210744514]","[0.3023289986917184, 0.3060491188708686]","[0.0839272107992737, 0.07012141653784444]","[0.5901825027449398, 0.4873987838114586]","[0.43353008644713925, 0.3959959703134507]","[0.3901263264175878, 0.46589963001561063]","[0.15064203733285236, 0.20913499518220774]","[0.9394665596501485, 0.9576924132624753]","[0.30504420460968623, 0.24723793998269303]","[0.08106370180585909, 0.06402146163167975]","[0.0555817847511866, 0.03857005842228087]","[0.02676416260317368, 0.025017211393979284]","[0.06896585843583757, 0.08130559223767023]","[0.019430220197709878, 0.028507855195010263]","[0.07833774664833466, 0.07540245367355783]","[0.049303099014542044, 0.056662098816015034]","[0.011942008270292086, 0.010524628757728778]","[0.019262052733730006, 0.018483725644848733]"
0,LSC,0.6581818181818182,0.21777353081700906,0.3345556617295748,0.0616333855676658,0.5601729972925625,0.4427091744585856,0.46043964575796875,0.12367984819197346,0.9421516023359124,0.2922997292562509,0.18959141220336756,0.053733659804205317,0.040655858429710375,0.02869948013291115,0.03223908625265511,0.015480692091284848,0.05470747585468285,0.03302391776740557,0.007038316972187954,0.013247977324346254,"[[33, 17], [18, 34]]","[0.1687003419849017, 0.2782540726312706]","[0.3250242163724364, 0.34785799455135813]","[0.05889946473918205, 0.06550044472378841]","[0.5889579963833546, 0.5299176799639909]","[0.4412229519792012, 0.4454381785953063]","[0.39116446450756504, 0.5377263528388032]","[0.09658209350255273, 0.15478100844112805]","[0.9365912662006519, 0.9492091322968289]","[0.3177681743049884, 0.26461868372305125]","[0.07289060231430679, 0.08355957698223088]","[0.05497023799015923, 0.04704977047888008]","[0.039941240929923974, 0.02778479146017188]","[0.0703495229001958, 0.040064382033962176]","[0.020619787560584385, 0.025973276083542815]","[0.03638277705797804, 0.0762846594701617]","[0.02116496455215008, 0.06307764939060942]","[0.009501329343340663, 0.015886704517756752]","[0.013136695546520902, 0.0283190953305763]"
0,N1,0.6118181818181818,0.1786072623029145,0.3315910176779742,0.09924546366636247,0.5638907469342251,0.43055668524994684,0.29352006688963206,0.24627099785756384,0.9516767448052894,0.2933946488294314,0.17179706994447247,0.08433324602407562,0.034673898850029056,0.027127626480554747,0.05093107930209953,0.02573698827846691,0.04838709162615911,0.03036376956586922,0.007125130889306589,0.014279917753179864,"[[33, 17], [23, 29]]","[0.167944447196053, 0.18939864804226508]","[0.34131725357028453, 0.3199592690322174]","[0.10766261696196225, 0.087485906989069]","[0.6021545569266363, 0.5193932949860002]","[0.4431831660654484, 0.41527228303129887]","[0.2594578783765858, 0.33168500881646773]","[0.218198775999977, 0.2770323339205373]","[0.9447974337221764, 0.9587842192827656]","[0.32328174603174603, 0.25944530674773836]","[0.10583600837470095, 0.08291623543774507]","[0.06688757310555056, 0.04675109606186255]","[0.03929228481201871, 0.0368249133871038]","[0.06447294733738688, 0.06532029668411535]","[0.02435077032636981, 0.03429474746930887]","[0.07047708806569153, 0.06595903454738626]","[0.060902328696979105, 0.07382448165929409]","[0.016569678104493266, 0.012371814050547205]","[0.012108027260336931, 0.025650246028361284]"
0,N2,0.64,0.2733277591973244,0.3858528428093646,0.0810287100296691,0.5913310240484153,0.4549234464658024,0.5438049166154756,0.082427172082246,0.9547076996202705,0.30279901258162123,0.16604290991753995,0.06595570231295235,0.03469505771391178,0.04184939793828148,0.05665661129280933,0.014430557641931118,0.04789860510762024,0.02864825281180328,0.007684103629832767,0.013377695348719902,"[[31, 19], [18, 34]]","[0.21705974743632944, 0.3242069547490387]","[0.3873402758645081, 0.3803859763947216]","[0.07046423911256662, 0.09099327367977647]","[0.6195917114939248, 0.5615721525578496]","[0.447949824481549, 0.4601076737947903]","[0.4628697278419689, 0.6190311980391889]","[0.07597631629130255, 0.08734697557137575]","[0.9471377078507551, 0.960939045483352]","[0.31458615159291337, 0.290506106589708]","[0.08055839380648745, 0.06506612505519983]","[0.04095387648963323, 0.0403447317545953]","[0.047707005439197356, 0.04388595380003999]","[0.07770612921546326, 0.06737511539934547]","[0.01609727252826873, 0.018229949414390732]","[0.043442893291562874, 0.07525107624829509]","[0.046302945424978835, 0.026541001911600824]","[0.011046310557981144, 0.012321816566329705]","[0.012066455507199531, 0.01678487132516117]"
0,TD_U,0.6981818181818182,0.2919374104156713,0.3908337314859055,0.06755764870557526,0.46647853957636565,0.44967448489854106,0.5033773291925466,0.24436098436207296,0.9562420080969231,0.2701305940436375,0.17668511780564455,0.04471097205070563,0.039330042391961334,0.03204874427468034,0.04180024488889246,0.016212205217768283,0.0605565057027238,0.049359615578829626,0.007793015803972186,0.013391089000373802,"[[33, 17], [14, 38]]","[0.31351684518715406, 0.27473155434715496]","[0.41793613006392294, 0.37423858705938795]","[0.0670756720807145, 0.06800758634156018]","[0.5108230307146816, 0.43348108781883726]","[0.48235629756449255, 0.4239030424269895]","[0.5005874457202656, 0.5101829144069298]","[0.23119906254330988, 0.26094107813564776]","[0.9519017367490641, 0.9608150321319411]","[0.2994391693983983, 0.24700869367993064]","[0.0593422773888191, 0.07173870601323758]","[0.071802858712045, 0.039454914002652317]","[0.03538782813973899, 0.0352153942701754]","[0.0604881136327006, 0.04411870506664339]","[0.01241184326900949, 0.02605791683353348]","[0.07594069640336207, 0.08817799222594558]","[0.07404759249092494, 0.0613012852175219]","[0.011016253329975087, 0.012230601263286301]","[0.01333952289550241, 0.019451546260969482]"
0,Uniform,0.6509090909090909,0.3168060200668896,0.42823698041089353,0.0967622053888952,0.5835061315496098,0.4604992295566318,0.5410975075648989,0.22631038978180645,0.9604900117211083,0.29480809046026435,0.2587389067282166,0.07937231291727041,0.04119702344685513,0.03313968865647944,0.0566114331375668,0.010238023587155805,0.04141618338482177,0.05676253266173207,0.006757484665203481,0.012973329071387823,"[[32, 18], [18, 34]]","[0.2681210320162114, 0.3602313744917526]","[0.43597664664490365, 0.4197140859453632]","[0.09180381528892559, 0.10303619215499157]","[0.6166577630270427, 0.5508362557192645]","[0.45965105062762424, 0.4614685041836063]","[0.4977069971015829, 0.5807799030372921]","[0.20591021088015013, 0.24293997322690827]","[0.9551617064408637, 0.9649035739233675]","[0.30751059684190807, 0.28185537149465134]","[0.10065385481417882, 0.09007435243631617]","[0.05014480602798705, 0.04198262025822209]","[0.03601817669081632, 0.040483778736680825]","[0.06870324536333944, 0.044261252127644694]","[0.013100472186542304, 0.014143350395573212]","[0.05944976015251826, 0.03252905510393772]","[0.0771183463900135, 0.0675492402500761]","[0.01034294284266639, 0.007478813135037701]","[0.013758491225110138, 0.02255093044349684]"
0,kDN,0.6909090909090909,0.1480291447682752,0.27422599139990445,0.08546214746159941,0.5554156712852365,0.4153343812052257,0.39066730371078195,0.1811693502602735,0.9487625208230124,0.2919413919413919,0.1932753784133573,0.06446912831325406,0.03254619132655111,0.026333961934413223,0.04174730145522547,0.03317247256440497,0.02673407692495877,0.043921021931709985,0.009318166672120768,0.015052346255309941,"[[34, 16], [16, 36]]","[0.1032221596946558, 0.1883239684292316]","[0.24905747444045317, 0.2990277041671779]","[0.08173371999332042, 0.08873307062161553]","[0.5884491531215714, 0.5279067206616296]","[0.4248467597660399, 0.40657750485198363]","[0.30430042806109886, 0.4717489597390913]","[0.14175121469218752, 0.21732155888515997]","[0.9398118725884596, 0.9566869319848724]","[0.30251783252496794, 0.2810093853514906]","[0.07655820533302751, 0.0626191737154275]","[0.03798509146566357, 0.049946202328916396]","[0.035571546516970594, 0.0323598069774142]","[0.06343707325745228, 0.061524320636132244]","[0.024802048525875305, 0.0410450740321171]","[0.049291290595785714, 0.0494821126244213]","[0.05932451729550604, 0.04534291707247542]","[0.013318697637962826, 0.014556735687445784]","[0.021344142146599437, 0.011436174439320995]"
