n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.7586259541984732,0.03310228086015745,0.15446977453483499,0.24687738196969625,0.5390615397050929,0.3126393178696541,0.18598209408808725,0.19899597016546053,0.9904367998883554,0.2474227741049067,0.024432251442570677,0.008726794348817738,0.011359406046467823,0.003840429385920859,0.02943082674167535,0.007616753360352597,0.015709584340918122,0.005637888586770536,0.0008137580226442397,0.0025448586924015555,"[[759, 50], [266, 234]]","[0.027279902242652067, 0.13996571815174907]","[0.15106243243293963, 0.21545849043381304]","[0.24067117889969833, 0.36091437597968223]","[0.546831536156961, 0.3952019776088355]","[0.29994622709846014, 0.5463418886392243]","[0.18420295363220515, 0.21903448468276462]","[0.19746257678350868, 0.2256837353322127]","[0.9915875222187482, 0.9687768254078071]","[0.24338654923457356, 0.32136939477703413]","[0.00912048062573327, 0.04000003225553551]","[0.010807789603698872, 0.04007391474409987]","[0.0040092014577616485, 0.021111653145219414]","[0.028994964862243885, 0.029163569921111833]","[0.006942673170910889, 0.01039380264136458]","[0.01675265348836831, 0.052096566232526]","[0.006171878021352498, 0.035310978155690356]","[0.0005694113830544524, 0.008742112204620485]","[0.00274209765973684, 0.012307317452472263]"
0,DCP,0.7784791544333529,0.028857510681406795,0.17579137452101073,0.20395204406082018,0.5553405258557385,0.3334528216376982,0.1956110038459123,0.22868139766736287,0.991229819620604,0.2584577557421512,0.03162746723339007,0.01599169678032436,0.010921556186828971,0.005283349784135781,0.032756328645471545,0.007385713229855647,0.018617965460567452,0.008346553677470324,0.0006304728647366192,0.003715870123302421,"[[729, 80], [210, 290]]","[0.023594006733847206, 0.1131840580932171]","[0.17183505503503904, 0.2392873778920531]","[0.19715334112897465, 0.3140570351243427]","[0.5635587030969451, 0.42149278622370456]","[0.31953367261989724, 0.5604430816973399]","[0.1943534680657888, 0.2148625994024857]","[0.22723329535477643, 0.25126143070195706]","[0.9923042350576095, 0.9737659735891937]","[0.25484542307014546, 0.31644438988105855]","[0.014260065511641863, 0.04739037589555819]","[0.011462463552858824, 0.022340451842447685]","[0.004827889717938976, 0.022058444754902127]","[0.03166064469345953, 0.0344816678869785]","[0.007690186251716076, 0.006572975495977529]","[0.019014894392931296, 0.026129012946697575]","[0.008868320548805469, 0.018148233828393565]","[0.00041742681032949506, 0.00582895324646806]","[0.00455934824151278, 0.013897711133030559]"
0,F1,0.7288138578978274,0.18665432562774414,0.28155427969085484,0.33119141912012073,0.551216295105368,0.4108249657802463,0.30814251275857424,0.2725941800398148,0.9903607352001028,0.19207929465514456,0.052720826505479684,0.019329204694584098,0.018737702275476626,0.012407118246496672,0.025801088938670117,0.009336278681836122,0.030163058461778927,0.01042234995902819,0.001614466062056717,0.0015915821486020755,"[[636, 173], [182, 318]]","[0.07633569598229847, 0.43025550422069303]","[0.2033760430328647, 0.45441246768153665]","[0.2586881119275655, 0.4908415566279044]","[0.5659364327889934, 0.5180321522675793]","[0.3227751505286194, 0.605179472314849]","[0.25269102151514555, 0.4302464699354406]","[0.2261990270924911, 0.37455331703911093]","[0.9925772748960735, 0.9852187017694485]","[0.18711880679092632, 0.2030703123572594]","[0.014098363895090086, 0.033268001657700656]","[0.01691335668634903, 0.0200789062270366]","[0.0077766067298146195, 0.014399482323707257]","[0.027671086050518236, 0.031690647654573606]","[0.006293607593139585, 0.003663141698509845]","[0.030781843296839664, 0.024632476881135953]","[0.009538187699764148, 0.020350668589689896]","[0.0003982156665400673, 0.00556438849871375]","[0.001146138899369624, 0.0028616935988134947]"
0,Hostility,0.7891720493247211,0.010864362334054788,0.10973373884518405,0.2611418758903702,0.4643263185785803,0.3897581272029772,0.1261632987103404,0.1551131809369572,0.9772049269475754,0.2834960804841182,0.055345789417421305,0.0037251432447304124,0.021409269143676645,0.01852826145061168,0.02166281440940949,0.022291401678566608,0.025617770834511572,0.011800554199465806,0.006009265897902266,0.014272398166830272,"[[708, 101], [175, 325]]","[0.006593155629121848, 0.019603046443478805]","[0.12035499469067772, 0.09157662050665058]","[0.2379224628793693, 0.3035684416435689]","[0.537092703953148, 0.3354012993518195]","[0.3076176561839239, 0.5372344715635584]","[0.15152386735338047, 0.07633394065652735]","[0.1701012245558399, 0.130532443396074]","[0.9902857148927222, 0.9541492957224774]","[0.2600298863017053, 0.32465715150634733]","[0.0025424225829331635, 0.009260469996444268]","[0.021214422419738227, 0.022285041411880466]","[0.016256121660089544, 0.017344603995166703]","[0.02973053013107521, 0.02138806241648587]","[0.010174288936503174, 0.00820990745222151]","[0.023685839923731824, 0.02564553570141127]","[0.012091703030802169, 0.018538685548765147]","[0.0013236050274919198, 0.012671926094640547]","[0.014352065291083784, 0.010860305159859092]"
0,LSC,0.769271873165003,0.035566024558235446,0.0687042917150876,0.26345967547764515,0.45928803865853374,0.4110943006719633,0.10492600670366506,0.11746870154189396,0.9725293814840222,0.2864028967600813,0.030223131142935854,0.0070523282077919695,0.0045849726038591585,0.008258289981445689,0.0244225382631568,0.008020354418225134,0.018494706063543937,0.006162816450557066,0.003577466053604092,0.0035926545164944867,"[[672, 137], [165, 335]]","[0.016139033684494777, 0.06131083372404618]","[0.06297855200044092, 0.07628296421147857]","[0.22141035802137438, 0.3183297057739368]","[0.5461635699776217, 0.3463184634262192]","[0.30605923532865265, 0.5481577049537946]","[0.14210824090102037, 0.05662054104508735]","[0.12073567137124819, 0.11323783731994472]","[0.9860850363025735, 0.9548203218817696]","[0.2469904803480775, 0.3378906358113961]","[0.006085589776073682, 0.019167860520038358]","[0.006511302222233221, 0.007386654273177988]","[0.007274695175771706, 0.011568302811255746]","[0.03891421797924415, 0.020012925146376592]","[0.007514871553481681, 0.004813747189471309]","[0.030869489891671334, 0.00561422483905861]","[0.007395497970336094, 0.008029149643501298]","[0.0010126117896772974, 0.007787645641063019]","[0.004270049623032001, 0.004901235568117915]"
0,N1,0.7906576629477393,0.0468541870970622,0.13942809292787908,0.2726488746515966,0.4881298409095095,0.40075176558417913,0.024875414051881588,0.1731248595632488,0.982623904792152,0.2856953070611447,0.04197841733606732,0.0077396437466780025,0.010184674438308401,0.008172078433799006,0.021139648590810117,0.006105968614863471,0.003739906763158732,0.005796024884206581,0.00290993350940817,0.004438006479635241,"[[699, 110], [164, 336]]","[0.02563215259761925, 0.08575606841949532]","[0.1378764015737403, 0.1420671089856707]","[0.23901476478713649, 0.3346232430415387]","[0.5474187826638928, 0.37895884804251134]","[0.31674768125322944, 0.5553722117769067]","[0.023354838373310923, 0.027718780493928362]","[0.1826962388732572, 0.1555288606410737]","[0.9913020904907711, 0.9666732171841328]","[0.2621113473475828, 0.32913325656825626]","[0.007555468634255749, 0.01672238588437957]","[0.01219473442313394, 0.012046390090554665]","[0.006299150650683979, 0.012680423501112438]","[0.02460226743435102, 0.02550196053243501]","[0.006413533859454636, 0.005556496130061875]","[0.0038014906924379505, 0.008059955998466442]","[0.0072867824192218555, 0.010023862833139613]","[0.0007929420922737616, 0.007343128310005923]","[0.004476198609473641, 0.005958064443864832]"
0,N2,0.7868526130358191,0.06994352210658798,0.1620918852988994,0.2782132109793413,0.5228235591062095,0.39198056688695826,0.20262759231434307,0.05755501984369038,0.9842259638550017,0.24749851157118402,0.02757447510537545,0.01550152241588065,0.016742454710844835,0.012962350330964802,0.022447282032426484,0.007204901851784827,0.032724221018066595,0.005824605745808845,0.002735665437135717,0.003562596652044331,"[[675, 134], [145, 355]]","[0.03306368884761895, 0.15032850502012077]","[0.13403053569246975, 0.22289176572749833]","[0.23846126373904272, 0.36428557484290486]","[0.5680340659487068, 0.4259944716650268]","[0.30785679337497684, 0.5739040202680358]","[0.20520813468694757, 0.19725407536125683]","[0.049572397328534745, 0.07477798074521107]","[0.9903106553375874, 0.9710930172163975]","[0.22625623439818562, 0.29337476395190876]","[0.008482340679568405, 0.042033661612045047]","[0.014415692988992318, 0.02524207567894916]","[0.009063156255297047, 0.022409768655817397]","[0.030339603333887633, 0.0321261334615084]","[0.008269586765093654, 0.006764510212658334]","[0.03330646544478379, 0.04413141725133461]","[0.00589812816519178, 0.008912320840356971]","[0.0005807833096867265, 0.007894370697197513]","[0.005230316975299375, 0.006258480583038465]"
0,TD_U,0.7494245449207282,0.11264006071157537,0.20935394589239248,0.3419037684893794,0.35503302798679026,0.45406034807173634,0.19717732395882998,0.23802618075831336,0.9798872171439215,0.306736522419074,0.046763957492669136,0.012154516914372417,0.015467854531563895,0.011178102592795548,0.01539965132658912,0.006243036090702623,0.015760955848398706,0.010125674638418805,0.004980110458524345,0.0058670327897800325,"[[656, 153], [175, 325]]","[0.08039292784840076, 0.1425220349392206]","[0.2224991295884171, 0.19796642121750974]","[0.30929654983241267, 0.37147029660362046]","[0.3919042023933561, 0.32224485329880626]","[0.335559542125908, 0.5614822905763674]","[0.211864858415889, 0.18342265128003174]","[0.2624698384978564, 0.21644073377008274]","[0.9929121283308779, 0.968425568864248]","[0.27348626668475184, 0.33675006659641865]","[0.01152859208400938, 0.025395762229230862]","[0.018272155241851707, 0.015058634712524275]","[0.013455814028081749, 0.015351666254901086]","[0.01883709130639634, 0.014154098042177722]","[0.00489335654133185, 0.005685958142210799]","[0.027782028239069792, 0.0138057554982152]","[0.013680007838289722, 0.011737709510152766]","[0.0009747793997185274, 0.00706699186241394]","[0.011605880003934164, 0.007220713166208784]"
0,Uniform,0.7410275983558426,0.17214143665821371,0.27549442637209454,0.34310431000245234,0.5162670208453131,0.42621608943852535,0.2754947479231805,0.28991101083679427,0.9884570753627671,0.27841485411157557,0.015788608464405874,0.012758141665041705,0.009899949977707658,0.00897604116092344,0.022065658185409107,0.005302901689326692,0.009234466142100854,0.0065948427742454395,0.001270045096174983,0.004097149512959182,"[[635, 174], [165, 335]]","[0.09377911887989551, 0.30389828129358876]","[0.2215126890608874, 0.3661374062105491]","[0.2792031387626125, 0.45034167789385837]","[0.5490352808097397, 0.46134302505468827]","[0.33058353037969335, 0.586535793827405]","[0.23316522265145082, 0.34686018440018185]","[0.26033679016613254, 0.33965152274235183]","[0.9929813773993764, 0.9808626756041996]","[0.26051542974919384, 0.30835083326598534]","[0.016109921198275933, 0.028509421327877843]","[0.015146728708407362, 0.010862559661488616]","[0.009905485792524933, 0.014382854480769045]","[0.02555047872985766, 0.023097056511015183]","[0.006224262332847794, 0.0037204377236217975]","[0.01569067737509246, 0.01842548800132675]","[0.010760168152902578, 0.011012890185105114]","[0.0005514662219761252, 0.0029519928971487013]","[0.0037090443252223286, 0.005247228621490619]"
0,kDN,0.7776864357017029,0.022748552411974696,0.054477723488726745,0.24691292197226172,0.48194570882681764,0.3894029370351842,0.10378486504914755,0.13610420251152872,0.9775011868345669,0.2824235637201936,0.046874850485473026,0.00778867668683351,0.0056754719632217945,0.007998615885327985,0.029866419515568243,0.008682075559695007,0.017200541030168052,0.007585530958450937,0.0035363862809035655,0.008158219121573863,"[[703, 106], [185, 315]]","[0.016015109605065893, 0.035004892228980386]","[0.05611040578795741, 0.051387929232745586]","[0.21727225919287632, 0.3029417966954189]","[0.5535141072864778, 0.3458597049339908]","[0.3068101498204708, 0.5456327077851557]","[0.12918353699748952, 0.0558309851237211]","[0.14282203954652561, 0.12348862008948014]","[0.9882170415367032, 0.9572316606364165]","[0.2513515384159435, 0.34117096433309363]","[0.009603736630718947, 0.017782256104884188]","[0.007835283543398163, 0.006049912012624179]","[0.006202715646437183, 0.011678995284220924]","[0.03928145328924614, 0.023090450490205815]","[0.007583225057408044, 0.006459084609544051]","[0.025021589311955805, 0.009571977567761028]","[0.009902609657919443, 0.01182643898149974]","[0.0008637204486037326, 0.00901063594215307]","[0.008280862205145924, 0.00900353803613894]"
