n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.803225806451613,0.06048387096774194,0.13887096774193547,0.0931168490946953,0.39799059139784954,0.14900894456847985,0.12094086021505376,0.37236170577218725,0.9236789181946439,0.7826612903225806,0.03496690869141747,0.014256185104567488,0.026822246035970814,0.021265094734182897,0.07923243231016214,0.007321586640975965,0.010706026949162296,0.011779503544137784,0.018893801015949684,0.016771479308939855,"[[71, 29], [32, 178]]","[0.11477346315179322, 0.0492505216467658]","[0.29317103816799867, 0.10437698373662385]","[0.24548836956665462, 0.061145237207739386]","[0.6426806977343362, 0.3461719708256223]","[0.3862364789193834, 0.09826295266187149]","[0.22686044047674656, 0.09795423663493116]","[0.4220123075691532, 0.36155308790957114]","[0.9618294113053611, 0.9154088855033148]","[0.9876283517048761, 0.7386184364481323]","[0.07642106577250252, 0.021824744098599046]","[0.05766977285080526, 0.012044720552013341]","[0.08466976066075318, 0.009213495035620037]","[0.09565159911716838, 0.07749031041628231]","[0.01476113567366854, 0.010881153718087202]","[0.03204127898792107, 0.008863916275796429]","[0.01383157069698212, 0.008993695866439354]","[0.00940791623701168, 0.01831895305873632]","[0.0028198177078595605, 0.016606941833020302]"
0,DCP,0.8161290322580644,0.1,0.1782258064516129,0.07001949804726205,0.42169130824372764,0.20125452263220905,0.1465994623655914,0.3865389806990397,0.9350373976424449,0.818279569892473,0.03344587315052861,0.0272587802921864,0.027288587605949422,0.03989123899624035,0.099480221311696,0.027950334793131863,0.017798523413087016,0.00852773783601829,0.016773153305321302,0.01783511495860829,"[[77, 23], [34, 176]]","[0.12175120255639774, 0.08843875858982274]","[0.276349046444804, 0.14200662403176945]","[0.13775254730569392, 0.04944519660271364]","[0.6127844887113248, 0.3527654887231094]","[0.4165816764467757, 0.11769020432608068]","[0.21611337889408996, 0.1195877255792914]","[0.42400985004639724, 0.37195631824749376]","[0.9584631842376348, 0.9259798756412037]","[0.9808033041133946, 0.7553078745307915]","[0.03435633044493891, 0.035915310837072965]","[0.05563758111559642, 0.020649177509294864]","[0.13841157884632802, 0.008679202722201787]","[0.12545387646524175, 0.08160465724888351]","[0.02685226820401597, 0.015745872470668453]","[0.056063443813789984, 0.015215891014527597]","[0.01282636782822878, 0.007135003771069395]","[0.013360564630822537, 0.017271923897679918]","[0.0030554909024788253, 0.009785411561308561]"
0,F1,0.8032258064516128,0.12983870967741934,0.21451612903225808,0.14468281722695492,0.465497311827957,0.24619873345842605,0.20162634408602148,0.3986177204964524,0.9398938342180483,0.8205645161290323,0.07158819684249079,0.02409253104240266,0.014627707376787947,0.0408018413228623,0.06854683215609358,0.028291123155210797,0.02273291155583742,0.01016424769883981,0.010851345523529253,0.014515195609176811,"[[66, 34], [27, 183]]","[0.18663825917155216, 0.10749194183102857]","[0.3469560576294838, 0.1701473886405707]","[0.25978059473213355, 0.1065462265773826]","[0.6397140070717553, 0.40681503344668773]","[0.44760015375143053, 0.17711345065768952]","[0.3147460349488195, 0.16355595304307857]","[0.4479624603137948, 0.3813572396387276]","[0.9669761554809788, 0.9304605609659067]","[0.9577764378422671, 0.7749482174086333]","[0.08814263630690107, 0.027658967914217236]","[0.017907335825717276, 0.01632462715491004]","[0.07952790174228669, 0.023231364804325104]","[0.07915058580623684, 0.06618876815623459]","[0.031286149983089144, 0.010145088150128649]","[0.016906476912088856, 0.017733108804382766]","[0.012503236497616537, 0.010006133943664055]","[0.00645706056530339, 0.012896855768452443]","[0.014125318788419902, 0.010506451220621493]"
0,Hostility,0.8032258064516128,0.03225806451612903,0.14516129032258066,0.12030772071260487,0.44168458781362013,0.20068644559954044,0.11556451612903225,0.37303702906589425,0.9290548751415096,0.8096774193548388,0.03496690869141743,0.009876974769287008,0.023400996981527273,0.032095379049177565,0.06879921891189753,0.00861768664315331,0.01763774289058786,0.014128905734223794,0.022478094790006967,0.02494447672926874,"[[64, 36], [25, 185]]","[0.06805147039506523, 0.022412788683360697]","[0.27117000047288037, 0.1118995242994227]","[0.2321194844743717, 0.0930417027349806]","[0.6335864096824873, 0.3936516741769189]","[0.4175732720276706, 0.14381137568586974]","[0.22526473153533733, 0.08773409726940067]","[0.4155865248952126, 0.3617282912845593]","[0.9544380436003632, 0.9220103521954763]","[0.9778975040676464, 0.7642336796474123]","[0.02902423231299389, 0.01323937824281398]","[0.03174370541548588, 0.023596651024208076]","[0.09252354856702033, 0.027993178685278595]","[0.11767745509967073, 0.061075317135970274]","[0.02630638725254475, 0.012009224409421137]","[0.049104130478239805, 0.011899609980731328]","[0.017982089174587698, 0.013552661009745252]","[0.013618528001514307, 0.022574355815302618]","[0.0074144793930260924, 0.033290483035782144]"
0,LSC,0.8129032258064516,0.0967741935483871,0.16096774193548388,0.13134399186285411,0.4681451612903226,0.24582535550122345,0.11986559139784947,0.371377864380971,0.9234413777589777,0.829032258064516,0.05540504528166992,0.027936303347885126,0.01601370055980648,0.05152396641161014,0.07339378578635708,0.015353790471085461,0.01904620164610724,0.011283855685442821,0.01847992401683466,0.005533652916730834,"[[74, 26], [32, 178]]","[0.11503391018550502, 0.08883657581040065]","[0.25800486594311445, 0.11442615764421131]","[0.2208132972331262, 0.08770142726427124]","[0.6369925296202161, 0.3855877699248844]","[0.42281287161409215, 0.160384570969602]","[0.16518707645682812, 0.09811080658418764]","[0.4132307319740627, 0.35129032560718604]","[0.9495902348300778, 0.9108661733610045]","[0.9780323388675066, 0.7568595568230817]","[0.06705507262287548, 0.025735826886827157]","[0.04419547809164772, 0.017283933348349097]","[0.09835283992519026, 0.023147016952344855]","[0.09850017147031062, 0.06742456102489466]","[0.024114480766711122, 0.01508106413620263]","[0.021925199315588017, 0.01826894886187376]","[0.015672737503033635, 0.009862010203894898]","[0.014398209054092875, 0.018807435996543796]","[0.015291758655053883, 0.008455737839029054]"
0,N1,0.7967741935483871,0.07661290322580645,0.14967741935483872,0.13176609371921594,0.468812724014337,0.2367380813258427,0.056518817204301075,0.37062144457249724,0.9315153686094533,0.831989247311828,0.0491869376837965,0.010280281277404811,0.02517886069731052,0.06013923228845138,0.07346348310797149,0.01846282871357484,0.007578756294455445,0.015040459723069954,0.020818645332584186,0.012364495626998656,"[[68, 32], [31, 179]]","[0.08318631413256189, 0.07304185101864964]","[0.21879731050136825, 0.12413670099200554]","[0.19933562358961396, 0.10640215864362068]","[0.619265671740335, 0.41223730527180846]","[0.40965128520857264, 0.1716905271716683]","[0.09122744379761805, 0.04333097311055673]","[0.3989173780758592, 0.3600379070540948]","[0.9442106091887309, 0.9267739009806011]","[0.9830386662316372, 0.775404910740448]","[0.057843336746892356, 0.021080619672928798]","[0.030818986248021006, 0.02232161269540056]","[0.10906247019935006, 0.03492923081625196]","[0.11545987182711515, 0.056128596821102245]","[0.030513061987646212, 0.011081206590973957]","[0.010653146299713548, 0.008911714962413176]","[0.008592919941679666, 0.01664590438568765]","[0.014313318613087043, 0.021177519662709678]","[0.007736719536693684, 0.01733894639809504]"
0,N2,0.8225806451612904,0.07903225806451612,0.1474193548387097,0.1234465058794135,0.455701164874552,0.22744740303889724,0.08354838709677419,0.34900440093650714,0.922421103077634,0.8266129032258064,0.030174656344951204,0.011616822815232204,0.022705587516611548,0.05534580761157282,0.07489291706497446,0.014793586433250964,0.016793102947226232,0.01565977961110933,0.02261846323361277,0.01704791786823362,"[[73, 27], [28, 182]]","[0.0800109267896912, 0.0796622855441385]","[0.25855783824043793, 0.10415663338740262]","[0.19836768589063977, 0.09411670793563454]","[0.6325728002815666, 0.38609087980486195]","[0.4165139352415701, 0.15495581969255112]","[0.14664465860007142, 0.058816627582033446]","[0.3811294102012111, 0.33689408594250725]","[0.951009801985894, 0.9114400202903858]","[0.9930246069958898, 0.7630390341865055]","[0.04096184448322056, 0.02186624952094333]","[0.054767815526003016, 0.006822598281525146]","[0.11565995087739903, 0.02431274634964025]","[0.11657743694724024, 0.06305362361331796]","[0.029153854608348167, 0.006275861608315391]","[0.043580559111174276, 0.017844214190160287]","[0.024204203600621182, 0.012392911460926736]","[0.016069254343826073, 0.022332585886171038]","[0.0033748477776332927, 0.020552279196321476]"
0,TD_U,0.7903225806451613,0.09193548387096774,0.16354838709677422,0.08602933940420421,0.3859744623655914,0.1865154174031547,0.1422043010752688,0.38298689305427824,0.9318012606880972,0.8053763440860214,0.016129032258064502,0.029272082924002477,0.020555817262007683,0.04491510744622437,0.08646898286288754,0.03446831614569294,0.029940138384612833,0.01168186379125588,0.013153015472035526,0.028861098160855348,"[[67, 33], [32, 178]]","[0.1283056822355424, 0.0798805404802222]","[0.2820543750175534, 0.13209345987751633]","[0.1677255397206343, 0.06502057667471141]","[0.5775140975137582, 0.33695860239001285]","[0.4236762486284296, 0.12335488541408206]","[0.21379815514866332, 0.12268707522383689]","[0.42276523101575664, 0.37263145326007424]","[0.9607901829888069, 0.9239849356550467]","[0.9798443740706537, 0.7605167509335584]","[0.08078238678542113, 0.02657886377006565]","[0.046929208870284594, 0.016953443623615727]","[0.12734730523126908, 0.020469935097977166]","[0.1005661336265277, 0.07596474293936246]","[0.040342518945084026, 0.02550414302850698]","[0.07833954998103808, 0.019403492044876396]","[0.0231553986259199, 0.008117750351211879]","[0.010883834541602055, 0.013320177544900117]","[0.010661593893438293, 0.0296545081341046]"
0,Uniform,0.8096774193548388,0.15080645161290324,0.26241935483870965,0.18337791239116433,0.5070676523297492,0.29428373286571763,0.230739247311828,0.4161948666380534,0.951259037661712,0.860483870967742,0.03677985242255286,0.019041482182447743,0.0362974903315704,0.05785839753154989,0.0436133175412818,0.02051658550110103,0.03167400095570179,0.013093726346944981,0.014651253650100575,0.019659986254940715,"[[74, 26], [33, 177]]","[0.20602767052767054, 0.12321213564936126]","[0.3831353925353925, 0.20535107000889194]","[0.28962131866876567, 0.1337373899369657]","[0.6485876590876591, 0.4408880339173562]","[0.4595652258282068, 0.21588504489954885]","[0.3258672243672244, 0.18504282863737548]","[0.4509589582622199, 0.39970027893388427]","[0.9667222195070296, 0.9437548417917835]","[0.9746977691977692, 0.8069418207671927]","[0.085020400297882, 0.023076723046084442]","[0.03989332256855053, 0.029960823672073388]","[0.07368117583411667, 0.04374810925619114]","[0.06880698137381841, 0.043340323809360454]","[0.03788590785082738, 0.010086632652853388]","[0.06292844701089552, 0.021621083849153785]","[0.013018754214964396, 0.012002175448999458]","[0.010897850401783654, 0.015466698871853533]","[0.010996979633795926, 0.02458836340651054]"
0,kDN,0.7967741935483871,0.062096774193548386,0.11048387096774195,0.11079261998931392,0.4399910394265233,0.20738647489335466,0.09024193548387097,0.36711725618574137,0.9262175322690673,0.821505376344086,0.03713182075232691,0.01524812129128148,0.022428925782537707,0.04519190277909459,0.08083352660785953,0.017668223812194385,0.023505822344611293,0.012126620286110269,0.01750131063437165,0.01247902622412382,"[[65, 35], [28, 182]]","[0.06230286100224671, 0.06080360379019314]","[0.17914096420416173, 0.08703121098626716]","[0.18746087937261335, 0.08352535201548442]","[0.6154944651452707, 0.3771831661396117]","[0.4019319477145177, 0.1391460418894814]","[0.10787334540158326, 0.08412264207630886]","[0.3951960802353699, 0.35756982941652904]","[0.9435834746242519, 0.9203511345477866]","[0.9834882602576295, 0.7651370726428115]","[0.06540241694956087, 0.0068710233020280375]","[0.04264348881787984, 0.018605542013906618]","[0.11281847884280521, 0.014828751328230885]","[0.12011779161378362, 0.06903333497859679]","[0.021236241352110285, 0.0093721663336384]","[0.026631948690706203, 0.022240407372927748]","[0.017627625163337643, 0.009616413537840143]","[0.0198464547843722, 0.01554037292504555]","[0.010138614656040023, 0.014507397798712629]"
