n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.899782642446825,0.006149990360516676,0.012652978600347023,0.015926810430811327,0.5779630165156481,0.07291593512577128,0.010807563781247993,0.33479477876937236,0.6905265315210494,0.7614795642953538,0.033932894917572724,0.0024023015887574594,0.0021778910708361854,0.013172376986851161,0.08441587639235394,0.008590646467417884,0.0022354189627460963,0.007944900558740392,0.030436798437029688,0.00651743474821891,"[[317, 40], [17, 195]]","[0.004475063111555249, 0.00786405549242326]","[0.007643252428164877, 0.017572549977613088]","[0.015097807704811173, 0.01669249172272152]","[0.6944015633953684, 0.4651570417151857]","[0.058864221270207406, 0.08640518306427204]","[0.009387485620039496, 0.012217469685282098]","[0.33507517058090286, 0.3343878381543549]","[0.7378468825206042, 0.6437960159788189]","[0.7748155443952942, 0.7485727563137013]","[0.0028132043863581574, 0.003379615505685784]","[0.0018211325353397919, 0.002978791080687171]","[0.011508619325099721, 0.01582829577086694]","[0.07414354954102897, 0.11847506909091418]","[0.006614763860608105, 0.011221063552993429]","[0.0019468862056469425, 0.004592306891878933]","[0.007537456225832499, 0.007828533004236625]","[0.035905738285802735, 0.02551019293996875]","[0.008556482455984258, 0.0066309646251067325]"
0,DCP,0.9209284272628473,0.02811740890688259,0.04252226720647774,0.010615770048365811,0.5889142728616412,0.10628457058978924,0.03879464687359424,0.3545575910597015,0.7445860278649876,0.8072882848146007,0.02552255382791075,0.007177105451542284,0.012829485192241816,0.009663634098991236,0.08715345812175014,0.015804851607064577,0.016298777430829105,0.005987776230018116,0.025542152269708983,0.00846659907283724,"[[327, 30], [15, 197]]","[0.012876152757546383, 0.042483604536131786]","[0.02356775503550893, 0.06098003535232395]","[0.013407010100691768, 0.008056640010319461]","[0.7012775997579557, 0.47143718544021046]","[0.07545625071968773, 0.1368213910730478]","[0.037595148927617415, 0.04001127976536083]","[0.35570619405453785, 0.3534008532198488]","[0.7873473851111282, 0.7024007686024533]","[0.8299146455225032, 0.7854487813212956]","[0.00948904567812278, 0.013177139317271146]","[0.007422884873483015, 0.014798319523688836]","[0.011006706711448823, 0.008348132198912303]","[0.0685695399478409, 0.11807401038869463]","[0.013461048548194413, 0.013460375353339184]","[0.017232004889563782, 0.012692124809758525]","[0.005292046693955476, 0.005965524973857666]","[0.026930339763383424, 0.027635327496954725]","[0.016565577112683694, 0.004348309227083321]"
0,F1,0.9279614966620089,0.018895315211104685,0.028122421438210914,0.02468164615750352,0.5812436540068119,0.09253911039129112,0.02292325364693786,0.33670110101551726,0.6807978286936026,0.7435399074609601,0.01560220166155932,0.006338341088458152,0.01008413566621749,0.01794492886536959,0.08736043317547529,0.02252213900688191,0.01271178422838014,0.005914830137718791,0.0278426666420067,0.007904820813606234,"[[333, 24], [17, 195]]","[0.007909552731412485, 0.030082247847164723]","[0.01599437246414051, 0.040260385164501665]","[0.023151955224399785, 0.026222775789025217]","[0.6941370578590971, 0.4689407991746295]","[0.08182321759593336, 0.10307366660165702]","[0.016552417674727406, 0.02923252132166354]","[0.3436900325462691, 0.32992232453316167]","[0.7500014963118374, 0.6123100010077183]","[0.7616249810955289, 0.7257379130300916]","[0.008063007475265633, 0.011995290194031592]","[0.008378551901378857, 0.010861949398683464]","[0.01411381682442352, 0.019494511663989005]","[0.06984938198862141, 0.11557976230419917]","[0.020924783181340594, 0.020884509757188297]","[0.013093470204488537, 0.011213943240234007]","[0.006104479099597612, 0.006680082660298249]","[0.03132177455299241, 0.027144072495585626]","[0.007441879684213731, 0.009770179857656568]"
0,Hostility,0.9261760596180718,0.002195874301137459,0.01933198380566802,0.02162696144755973,0.5815548486601119,0.09959748558688117,0.013429230126598546,0.3419942632924126,0.7036868920592777,0.7822177237966712,0.019268642571811653,0.0021953952368024016,0.005453962164673743,0.017147393850841006,0.07829275958358392,0.017950229912413358,0.006377407465237588,0.008298657620909198,0.03356720380510104,0.007702730090841087,"[[335, 22], [20, 192]]","[0.0, 0.004370811077824692]","[0.0161276390440235, 0.022486614696469835]","[0.020525305001611635, 0.02273116919686879]","[0.6957636458940903, 0.4679094125500514]","[0.104027285055597, 0.09504975264984701]","[0.014429729803793579, 0.012301515844973042]","[0.34931960381274235, 0.3343109566475535]","[0.7683972346926066, 0.6384321013949693]","[0.8135810146235244, 0.7514107857150473]","[0.0, 0.0038974166451624975]","[0.005692809022286771, 0.012533640847193927]","[0.014213391613022505, 0.016481735787897377]","[0.07009806934834632, 0.11454261729081854]","[0.012605579501175669, 0.021405024303480933]","[0.005141307103803685, 0.0071992697977683]","[0.006963301828904573, 0.012222890691506618]","[0.02381424542197512, 0.044983970313206466]","[0.014468722850635824, 0.012456484001666358]"
0,LSC,0.9068467629250117,0.007909196067090804,0.00904819741661847,0.01379378398465792,0.5839190926033031,0.07789057853182867,0.004589470471049418,0.32493867216980626,0.649002934765454,0.7624187391555812,0.010083386718425982,0.003678928100769657,0.0047899695275655475,0.011657315569545372,0.088118333674294,0.010586150267528276,0.0032306629828420855,0.007012125937776239,0.026544869396963454,0.008197068800758312,"[[324, 33], [20, 192]]","[0.0041784302653867875, 0.011911850014860715]","[0.0030248036208765524, 0.015449369984322836]","[0.014393475890540502, 0.012811010011864766]","[0.68918840110723, 0.464047384307701]","[0.06203727657632977, 0.09543758544264715]","[0.0030114571418919244, 0.006139650140071682]","[0.3295061145013204, 0.319962605639611]","[0.7073560127804381, 0.5845593942390711]","[0.789603939071681, 0.7319568971083144]","[0.005363903822490307, 0.005994980258681176]","[0.0026857829133428253, 0.008567473112533336]","[0.011390540566791433, 0.012325395263987737]","[0.07476980257919624, 0.11405512512993629]","[0.009809935231449792, 0.012374161939749499]","[0.0022612110233058216, 0.00593531436835642]","[0.009476467152636257, 0.004427691870332572]","[0.03382932342675568, 0.01902703439428187]","[0.01221833667900017, 0.007935695130509684]"
0,N1,0.9313771153547586,0.018894351262772315,0.02759244264507423,0.024768692135620284,0.589651372019793,0.09927057339845197,0.00234351905404537,0.3499568505762468,0.7443067981240288,0.8056511470985155,0.03616946757607379,0.00456398793856288,0.004357152324729796,0.018225691448386653,0.08191047517408559,0.010979342351857203,0.0014563698801005067,0.005193310161704239,0.019373972558448093,0.007510624463676494,"[[337, 20], [19, 193]]","[0.010084033613445379, 0.028147869398669007]","[0.015025559851632325, 0.04077823775361785]","[0.022896236389369308, 0.026611261144721975]","[0.698437825393931, 0.47198888579728066]","[0.08203507645908811, 0.11723987300333105]","[0.0, 0.004847586683171581]","[0.35134058055938855, 0.3483409545096958]","[0.7880238241901518, 0.6972077804250242]","[0.825531690917156, 0.7842872610866068]","[0.013445378151260503, 0.019711389859682817]","[0.005293680766336324, 0.008563388469573125]","[0.014824192196447483, 0.018683401012368064]","[0.07008853568939642, 0.11259866776854222]","[0.010890519873420532, 0.015012406791608944]","[0.0, 0.002724261152660376]","[0.00639238078203369, 0.0056318938257994495]","[0.019104698191218496, 0.020145527149260906]","[0.006197350766265167, 0.012324173408578899]"
0,N2,0.8928272007452259,0.004394640447272026,0.009315596684017737,0.014706662995592017,0.5768287706445601,0.08069639826483863,0.004137989203778678,0.31989447703852575,0.6642188088772192,0.7662302229933808,0.01415578899268752,0.002692731478700915,0.002772768516429318,0.012224544272525171,0.08460149803272629,0.010550782451341079,0.001381846180528275,0.005763935231809567,0.02934369908839543,0.006763904760531953,"[[321, 36], [25, 187]]","[0.0027262659820799355, 0.006184773112565102]","[0.0036472180644815714, 0.014759658707535053]","[0.01577459724011464, 0.013383737259726677]","[0.6882405176791464, 0.4660385315546082]","[0.06733128911551114, 0.09359040813135062]","[0.0029651482294188423, 0.005306460485460884]","[0.32372597660150115, 0.31590014794201354]","[0.7282571677664299, 0.5998041147283037]","[0.7929331549382028, 0.7395107202601758]","[0.003690823991403252, 0.006491485020914218]","[0.0018979913247947867, 0.0057884032078475076]","[0.013327865201827006, 0.010514720257472618]","[0.0747620104044503, 0.11662228114079773]","[0.014165531524392852, 0.00894426465951327]","[0.0018742791149884723, 0.0019484359333446252]","[0.005580542379230839, 0.0062391901315136345]","[0.030309324119319345, 0.02910236305887681]","[0.007061535968136928, 0.008058951685708969]"
0,TD_U,0.9191585157584227,0.020211104684788893,0.028468864468864468,0.016424231530352214,0.5644722382880277,0.10508324393083548,0.02381357239251976,0.3500739428139786,0.7332027776608188,0.8056233853865432,0.015675279296692886,0.009504586526614003,0.009547392610456541,0.013840781947698434,0.09248415814793001,0.016851818721971498,0.006246927257288624,0.008134220796413565,0.027099294534300048,0.0070394720928095705,"[[340, 17], [29, 183]]","[0.014110909340159534, 0.025285532972013997]","[0.02160484851763326, 0.034853498502867675]","[0.021129405178771567, 0.012177320922657074]","[0.6724271809731965, 0.45899541390920706]","[0.09493628514525314, 0.11488215565389459]","[0.03034120218887563, 0.017375132780677916]","[0.35376607248507713, 0.34673365196538053]","[0.7812081354702598, 0.6876073021920921]","[0.8302257583861158, 0.7819811049126043]","[0.010555758853546458, 0.01837091337058836]","[0.006081190817873561, 0.014423676900021012]","[0.016967775974319102, 0.010422185132538054]","[0.08020043134911262, 0.11307579126743995]","[0.021629648680437978, 0.018876384981180817]","[0.007032976934354831, 0.006423951471816101]","[0.00996511864756126, 0.005836655586762685]","[0.0313276048043731, 0.03025141102242188]","[0.007546129553702206, 0.014092917268023279]"
0,Uniform,0.9208973761838223,0.04437536148062464,0.05342278773857721,0.0283325230117715,0.6126151918257181,0.11957358537584935,0.04527477347214189,0.3626000615325253,0.7673771643380597,0.8140429920956237,0.008970618574708747,0.012755208414775197,0.009688126505804884,0.024764804757011028,0.07753598582234529,0.018229697599728218,0.013734183700014932,0.008117442099242849,0.0235039100180084,0.008125772850750423,"[[336, 21], [24, 188]]","[0.02864272943674822, 0.0706160734634653]","[0.03278576584250032, 0.08678381139380299]","[0.022133633423693535, 0.03864059370953598]","[0.6948592700762187, 0.4829734277445256]","[0.09201405899527307, 0.16386730129481092]","[0.03752541210693224, 0.057815867274559965]","[0.3610442406616866, 0.36515260495948665]","[0.7969385287562724, 0.7199120420850158]","[0.8271057953653642, 0.7934142943500991]","[0.014796255095070102, 0.03239502526655693]","[0.006168081452868859, 0.019906784868633086]","[0.016807036335342238, 0.033221171451022144]","[0.0709840063833949, 0.11347623620731244]","[0.008749561722215318, 0.03015644162014061]","[0.012205923182498718, 0.021138366462308465]","[0.0069519737511795935, 0.010030670198538386]","[0.02245977940070453, 0.022551406669435472]","[0.0073809948751274715, 0.011623613726632277]"
0,kDN,0.9367489520260829,0.007470599575862734,0.0062377096587622905,0.01741851552016452,0.5806193368035473,0.08383458460641431,0.007761390656127498,0.345841919713873,0.7263237638430413,0.79998004626952,0.029964462200454695,0.005061187747139203,0.001992321704446664,0.015291469438979534,0.08884870170764778,0.015415658689851015,0.0036181096516784803,0.006340685572812175,0.02137717297370976,0.00938267874778261,"[[338, 19], [17, 195]]","[0.006119694015299234, 0.008876614102611327]","[0.002640072493982957, 0.009772049326362744]","[0.02019829005010646, 0.015006801900629857]","[0.6976133958785845, 0.46598504304518196]","[0.07597252483234425, 0.09179555582056723]","[0.0074966984106935005, 0.008222116155070527]","[0.35133962471419294, 0.34057394810739217]","[0.7807748055766626, 0.6735896855587031]","[0.8267180276286558, 0.7742626115072115]","[0.008649067532171689, 0.008411966311738822]","[0.001651098192175954, 0.0036619900602953264]","[0.015275377159059775, 0.013781685655870107]","[0.06995491932867584, 0.11623950951546261]","[0.01846011930291262, 0.012570459997340655]","[0.0025197056577170108, 0.006192497484011052]","[0.007587438640102485, 0.006772389103357917]","[0.02453306823921616, 0.025539691860382685]","[0.012013437579909421, 0.00812217015157786]"
