n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.9226817042606517,0.011130908869395712,0.01726257919103314,0.02964756775774654,0.6984974016650906,0.06178149979882415,0.02181610801453866,0.34675031788906624,0.7631313474361038,0.8097185418697206,0.033260127359043656,0.004699859407841089,0.0028115969643094842,0.01654730207026231,0.08900543786674005,0.005270763247960704,0.003308518610310428,0.0031786111848187367,0.014757541720252954,0.006693610587926242,"[[347, 10], [34, 178]]","[0.010361344500197473, 0.01586190402472698]","[0.01619411634469796, 0.023025287549412406]","[0.02860991473819908, 0.03521406548612837]","[0.7414425242440124, 0.4501680653349379]","[0.057548782047012595, 0.08567356607793931]","[0.022417937734657233, 0.017592643868886537]","[0.3489186783287196, 0.3341816680700955]","[0.7810857824984249, 0.6599784473492509]","[0.8180493337327661, 0.7621002791520539]","[0.005480988745293627, 0.010012187583153666]","[0.002477440754646606, 0.008924099024530134]","[0.014683218055973843, 0.02516624803730793]","[0.09478792429398188, 0.12188316607298372]","[0.005339937816994109, 0.009253860948573701]","[0.00365083312091295, 0.013143715613083647]","[0.004149499418727334, 0.010236546344564987]","[0.017268591520977764, 0.03578891158428473]","[0.008785795596217876, 0.013241160588298237]"
0,DCP,0.9262218045112782,0.02948876096491228,0.035032437865497076,0.019299166781393283,0.6135156458492876,0.10226058080726878,0.03354262482740415,0.355952746018663,0.7653362924358456,0.8249328145305392,0.024445571674107318,0.008314857654537761,0.007854748690988466,0.014911812215705806,0.09353965332828966,0.015202787778052543,0.013607877565851773,0.005646778887992698,0.03153147037144623,0.014504227052106492,"[[335, 22], [20, 192]]","[0.014557658449446662, 0.059120908346981124]","[0.023297805199783927, 0.060942313708704086]","[0.02219824277276119, 0.018841519232733424]","[0.7339195729635533, 0.44534822550337505]","[0.07962035850887177, 0.1468608574493096]","[0.03175849979052338, 0.043767939969044906]","[0.35901832409814854, 0.354750477151837]","[0.8032643329774171, 0.7139144275245497]","[0.8428566103865425, 0.7972183897345886]","[0.008510849529291084, 0.030087984713486875]","[0.0066923156785156325, 0.03247307807041799]","[0.012887017929317403, 0.01924038115028204]","[0.08212957751950764, 0.1146333760883882]","[0.01331139108064268, 0.03900723454148206]","[0.009954883801621893, 0.032374365860497155]","[0.007028797500211401, 0.015501338584229278]","[0.02462371233330642, 0.043116874093858074]","[0.011968276893030375, 0.019975935837089]"
0,F1,0.9208959899749374,0.016209795321637428,0.02351265533625731,0.036498893082955355,0.6188468608043547,0.09331679501509918,0.021432501066033137,0.3354967950681439,0.7012795619065864,0.745557497258772,0.03439693327631823,0.0044233487562010225,0.004918409469108892,0.020047025678667167,0.08742332361186406,0.009827261718540566,0.00485606246868684,0.005239977112735334,0.017391679900521758,0.00808308535381972,"[[330, 27], [18, 194]]","[0.008359654474038771, 0.027251188891659388]","[0.01639233573912694, 0.03350156163495106]","[0.03581297572882729, 0.037406492731647846]","[0.7372345440334065, 0.44988746011637054]","[0.08515987004711992, 0.10482469296750532]","[0.01964319732730988, 0.023821672169202533]","[0.34029144025430696, 0.32865462038121074]","[0.7542996072238897, 0.6260230925320028]","[0.7504817839882181, 0.7388801162297665]","[0.00431575340867146, 0.010031896191424859]","[0.0034047741389530007, 0.008496462227153105]","[0.018501948594817654, 0.020424807865645433]","[0.09618884076178175, 0.1201731312067529]","[0.01238884096125671, 0.009915296882843174]","[0.007003626837315959, 0.005152146640425558]","[0.005577676923089072, 0.0054822608518831015]","[0.020208018094958046, 0.021498211971063635]","[0.01033824942695236, 0.008768239066259089]"
0,Hostility,0.9384711779448622,0.0019527442738791422,0.016325231481481482,0.03405923497654371,0.6278753441341103,0.0875071627490915,0.014193552276234566,0.34354652466051694,0.7337667354177052,0.8009580972831383,0.03725105823321878,0.002255274810385006,0.0030596683792749697,0.018748112254697278,0.07910211937030419,0.012925057865143433,0.004858985374794398,0.005503906268384409,0.0185228729518101,0.009716984414472139,"[[342, 15], [20, 192]]","[0.0006033306033306034, 0.004224417954077465]","[0.013314084473023676, 0.020826499672328434]","[0.03232451571214813, 0.03627000415741879]","[0.735443993090453, 0.4502755571232041]","[0.08271124768462403, 0.09470260809083912]","[0.014875694766104614, 0.012751472754459047]","[0.34860988171637686, 0.33457168198709253]","[0.7824126137733615, 0.6507920623430359]","[0.8238875729911974, 0.7612098494700417]","[0.0012066766477543222, 0.0050101113712695275]","[0.005809078044973436, 0.008006152534512046]","[0.017968339415753577, 0.02190145211208698]","[0.09516982798766563, 0.1229371481764203]","[0.01553617499249296, 0.016736606241730147]","[0.008299736586934456, 0.008693682904899363]","[0.007725129318561578, 0.00862450795009768]","[0.02476434206398339, 0.03680177667732063]","[0.012935061105985775, 0.021288257591549113]"
0,LSC,0.9103696741854636,0.005077744273879142,0.004999086257309942,0.024684312865070335,0.6200102253668991,0.07288820536916231,0.0029292433195256657,0.32424179793728164,0.6695879419547274,0.7731366882919104,0.03646859659679138,0.00210017618284138,0.0024207473831013016,0.017274573301553534,0.09211692607651097,0.007409436245258626,0.0018158459607368936,0.004176509597086807,0.01848750265920236,0.0075663548908133735,"[[329, 28], [23, 189]]","[0.0025722837713954673, 0.008541337852435053]","[0.0035129849799175107, 0.007240540770575133]","[0.02634915701836025, 0.02244534325676013]","[0.7381197044159469, 0.44725959940013765]","[0.06151911105948228, 0.089465277904095]","[0.0034279536520274365, 0.002319977347907516]","[0.33166627133739707, 0.313707531738836]","[0.7308429285004375, 0.5813804061294603]","[0.7991519362777714, 0.7355343556574109]","[0.0028039731221217463, 0.0061267973210279185]","[0.00208668888811797, 0.004122251851093267]","[0.01667731897099252, 0.017603787008621457]","[0.09889380621223559, 0.1233745896244197]","[0.006251836912723609, 0.009414023899443347]","[0.0025210978617750657, 0.0030726589475405615]","[0.005456391789610459, 0.0068284265896148685]","[0.023993563900296354, 0.0207376460557977]","[0.012421398186337243, 0.005551495794110285]"
0,N1,0.9419799498746867,0.019331749512670564,0.02140183357699805,0.037323558074026535,0.6302950051815012,0.09909883243268176,0.002623507553606238,0.35120694721010226,0.7627423507776582,0.8175163331505848,0.024951368065296586,0.008946867480529518,0.0038248637913292365,0.019403696796527866,0.08422365209855083,0.01133161009965623,0.0016887501996565907,0.0025944797827220723,0.008556273837699444,0.007262346922151096,"[[342, 15], [18, 194]]","[0.010245840327518458, 0.0344925918354582]","[0.01485769125107067, 0.032652300372352894]","[0.03381907247669735, 0.04329860521754588]","[0.7366988489939914, 0.4542901215356294]","[0.0836200954521368, 0.1252952898383116]","[0.002661831664842241, 0.00259502097812509]","[0.3530543149675467, 0.348240818028676]","[0.7974317484815828, 0.7045065867300637]","[0.8311016527074001, 0.7947102536817334]","[0.004801641284290436, 0.019770155292403675]","[0.0040430023790501025, 0.009345583128038838]","[0.014960731528952984, 0.026520654023960148]","[0.089620636179248, 0.11946871415884971]","[0.012011988224033252, 0.010901633160212913]","[0.0023015230682601018, 0.0024198952962114118]","[0.004940583540868214, 0.004594420884965839]","[0.016765361822206153, 0.01823801819798221]","[0.008534318010870356, 0.012210440556224752]"
0,N2,0.9174498746867167,0.007811738547758284,0.006990360014619883,0.02685730759645034,0.6280363210301989,0.07566906320660693,0.004350976181773878,0.32050727249662875,0.6867101186708668,0.7792988547758285,0.03090046529664909,0.003566829569612994,0.0021644808560835503,0.01644703468533083,0.08734810912591431,0.008636394411665589,0.002994194577184133,0.005204185684758202,0.021284710292618553,0.006602381763678314,"[[339, 18], [29, 183]]","[0.0043590010548689795, 0.013539873652313645]","[0.0044470311610437544, 0.011182585975921708]","[0.027433294382977796, 0.026201755660901504]","[0.7369832562357947, 0.449488236794099]","[0.06536528851015153, 0.09255433701614608]","[0.00450899463583551, 0.0039980964231049725]","[0.32592942017400295, 0.3118397104907769]","[0.7424368242434496, 0.596695347824507]","[0.8003856868506933, 0.745361197818373]","[0.005535664164789871, 0.009158770423284002]","[0.0013659989686805772, 0.004949513205254336]","[0.016693320422736507, 0.01627959355985643]","[0.09970062803617663, 0.12079619958613531]","[0.008110439794207124, 0.011851517221549266]","[0.0034519652443906037, 0.0040498720374080345]","[0.005194022276911548, 0.0060905867901626855]","[0.023466397132710183, 0.017973555483069583]","[0.011168130357304193, 0.008498597706536007]"
0,TD_U,0.9173558897243108,0.04530678910818713,0.0507333546539961,0.05325030339976505,0.5505799811002718,0.1358687982863893,0.04410298387751787,0.35964749741735047,0.7577119791012393,0.8221108090683886,0.03527673410322423,0.009116450274553963,0.006972206010574061,0.03198175292450322,0.09066117074956995,0.013450361787543115,0.006458035758183918,0.004573343799684024,0.012364958817961168,0.0061529699616237705,"[[326, 31], [16, 196]]","[0.023131697206505618, 0.06452158207031665]","[0.03687614180789042, 0.06317475329706486]","[0.05760221849612128, 0.05074195575482905]","[0.6907654596221665, 0.4485638039267729]","[0.11531070448430072, 0.15382843661432222]","[0.047041095124629666, 0.04281106587299367]","[0.36379541327478443, 0.35669081083477694]","[0.8117954778963842, 0.7146885505722186]","[0.8523778267747039, 0.7980884509261778]","[0.008695609634473366, 0.020174635588788493]","[0.0129434475708765, 0.011213835363891051]","[0.0330173028146128, 0.02932883008088923]","[0.08849454092008356, 0.11401566754217987]","[0.017861672794555427, 0.012615771836536279]","[0.014508998812430519, 0.009283373285851442]","[0.008720626824759475, 0.004358251204853972]","[0.02348878792036866, 0.015931040207377768]","[0.011148957077313677, 0.009984496683829445]"
0,Uniform,0.931484962406015,0.04159547088206628,0.049637929459064326,0.05116252714447957,0.6324399126553846,0.11602203185914586,0.05143344653589993,0.36147392686090934,0.7769232287966583,0.8262877934129305,0.035478406960343004,0.010220140747282997,0.008289579144926958,0.02891967470922319,0.07999342176462468,0.009946490431958676,0.013317745797656502,0.004836497404084563,0.016274602049332308,0.0066767124008117055,"[[336, 21], [18, 194]]","[0.022775720021765276, 0.07380942791713438]","[0.0323913112299491, 0.07884841193335304]","[0.03960600071890945, 0.07064234591058408]","[0.7327408244774974, 0.4659632737565526]","[0.08927011184656206, 0.1612780394842908]","[0.04436969573616618, 0.06325962925093312]","[0.36200755777792154, 0.3604730911671471]","[0.8098451922716186, 0.7207215177411594]","[0.8409707232670046, 0.8010666632062133]","[0.00819007916026595, 0.026671005174971882]","[0.007398906244996811, 0.016498543530172407]","[0.020956446958981554, 0.03906274967326719]","[0.09123538948278974, 0.11557791709313964]","[0.011702925973166332, 0.01599650237349339]","[0.011989109701365323, 0.018490596443383654]","[0.005600652343698145, 0.006636529690398445]","[0.019462875273880992, 0.023267119452075373]","[0.011199402293271916, 0.011682950692048208]"
0,kDN,0.9262218045112782,0.008788681773879143,0.004842531676413256,0.03165641582836716,0.633750266206121,0.07904940004960279,0.006121714333576998,0.34481273318560274,0.7527788285391329,0.8138324906595192,0.02951566413010449,0.0060555151989425005,0.001851415593531231,0.01912364072398431,0.08607239751152673,0.007228933334657935,0.003641165854768316,0.0022898808838778257,0.011362679780099983,0.005166720085515593,"[[339, 18], [24, 188]]","[0.008160433998401575, 0.009865395757349899]","[0.004753680473231669, 0.0050268274248334455]","[0.0320566107859946, 0.03100019543847444]","[0.7353413046538435, 0.450772137334665]","[0.07234864636167318, 0.09171345643473379]","[0.007594025685856434, 0.003441685151736083]","[0.34975741239701114, 0.33586066883978977]","[0.7960148366206513, 0.6740032523302132]","[0.8350075528034487, 0.7750694002151206]","[0.005447690487307667, 0.009638844978945208]","[0.0022831995255414403, 0.0020298981618592496]","[0.019700258873271217, 0.01784209726073107]","[0.09348102519397704, 0.12338159161060609]","[0.00845230656381164, 0.011651208431232392]","[0.004442317583179627, 0.0030001516104245186]","[0.004723437668139432, 0.005370405710251399]","[0.015771964043881145, 0.021776423635249866]","[0.010362770133988262, 0.011352196304892422]"
