dataset,fold,n_ensemble,weights,confusion_matrix,accuracy,Boots_Hostility_dataset,Boots_kDN_dataset,Boots_DCP_dataset,Boots_TD_U_dataset,Boots_CLD_dataset,Boots_N1_dataset,Boots_N2_dataset,Boots_LSC_dataset,Boots_F1_dataset,Boots_Hostility_class,Boots_kDN_class,Boots_DCP_class,Boots_TD_U_class,Boots_CLD_class,Boots_N1_class,Boots_N2_class,Boots_LSC_class,Boots_F1_class
Data12,1,0,Averaged_measures,"[[223, 16, 6], [12, 162, 0], [12, 0, 169]]",0.9233333333333333,0.022083333333333333,0.033833333333333326,0.006477680568380374,0.5195486111111111,0.22527947002130178,0.018229166666666668,0.14015678206606386,0.9094373127942414,0.836875,"[0.035759897828863345, 0.02364066193853428, 0.00648508430609598]","[0.05134099616858238, 0.03829787234042553, 0.011154345006485085]","[0.011484108483580117, 0.002330497670321074, 0.0059439369550947346]","[0.6507024265644955, 0.4696611505122143, 0.4410938175529615]","[0.2732853339275238, 0.20755403162261066, 0.19597613597035607]","[0.02767134951042997, 0.021178092986603628, 0.005404236921746648]","[0.16590648984936698, 0.14314789398272562, 0.11072422450987428]","[0.963698166822065, 0.9005255370171948, 0.8641106118909934]","[0.9351851851851852, 0.975177304964539, 0.5852788586251622]"
Data12,1,1,Averaged_measures,"[[226, 13, 6], [6, 168, 0], [13, 0, 168]]",0.9366666666666666,0.0675,0.08266666666666667,0.015961037403767236,0.5459722222222222,0.29387806691413443,0.06402777777777777,0.1906788880187625,0.9406497494544108,0.8582291666666667,"[0.1006060606060606, 0.07481296758104738, 0.02457956015523933]","[0.11006060606060605, 0.08628428927680798, 0.04967658473479948]","[0.019806783451990835, 0.0024583553978698614, 0.025865837505895592]","[0.6547474747474747, 0.5119492934330839, 0.4651789564467443]","[0.31332007394932493, 0.3018761165946814, 0.26483008289365484]","[0.08191919191919192, 0.06992934330839568, 0.03880983182406209]","[0.21937860411819432, 0.18779075122647734, 0.16304501987565964]","[0.9736568135341142, 0.9313694181811657, 0.9150507815571104]","[0.9409090909090909, 0.9819201995012469, 0.6416558861578266]"
Data12,1,2,Averaged_measures,"[[229, 7, 9], [4, 170, 0], [8, 0, 173]]",0.9533333333333334,0.02625,0.0345,0.008633045909638606,0.5194791666666667,0.22536844554080251,0.021631944444444443,0.14332894400664267,0.9174710264869487,0.849375,"[0.03267211201866978, 0.036616161616161616, 0.007989347536617843]","[0.047607934655775966, 0.03888888888888889, 0.014913448735019975]","[0.013595510336684909, 0.0012422613229064842, 0.010764429902598877]","[0.6455659276546091, 0.4583333333333333, 0.4400798934753662]","[0.26444475065114725, 0.1950975244820093, 0.21270023781643344]","[0.028199144301828082, 0.028093434343434344, 0.007323568575233023]","[0.16809853929256124, 0.139788907500119, 0.11879654154743437]","[0.964225803141696, 0.9035353535353535, 0.8788135156807498]","[0.941365227537923, 0.9804292929292929, 0.6061917443408789]"
Data12,1,3,Averaged_measures,"[[228, 8, 9], [4, 170, 0], [6, 0, 175]]",0.955,0.06041666666666667,0.081,0.01620958186521927,0.5477777777777777,0.28335711144157566,0.06503472222222222,0.18827282474051407,0.9360536899599393,0.8641666666666666,"[0.07756563245823389, 0.0673076923076923, 0.03287671232876712]","[0.1071599045346062, 0.07932692307692307, 0.052876712328767124]","[0.02266653321433089, 0.005931239438871043, 0.02051184990380309]","[0.6524463007159904, 0.5098157051282052, 0.4708904109589041]","[0.327959451013435, 0.26131557897889574, 0.25727737780833126]","[0.07875894988066826, 0.06860977564102565, 0.045205479452054796]","[0.21298827750981694, 0.1877147233721746, 0.16053692188816146]","[0.97229868564261, 0.9262935805201992, 0.9055702717021116]","[0.9358591885441527, 0.98046875, 0.6493150684931507]"
Data12,1,4,Averaged_measures,"[[232, 6, 7], [5, 169, 0], [6, 0, 175]]",0.96,0.023333333333333334,0.03200000000000001,0.007901678024836843,0.5185069444444443,0.2252008353335478,0.02208333333333333,0.14357804676618338,0.9147291460039438,0.8369791666666667,"[0.03508771929824561, 0.029831387808041506, 0.006016847172081829]","[0.045112781954887216, 0.036575875486381325, 0.01516245487364621]","[0.014023862479539146, 0.0025622050878072455, 0.006976564233738626]","[0.648078529657477, 0.4706009511456982, 0.438527878058564]","[0.26449944423538807, 0.1974048198478142, 0.21325190396872465]","[0.03383458646616541, 0.022913964548205795, 0.01002807862013638]","[0.17112545670838072, 0.1410798473633591, 0.11944240128568284]","[0.9642267734776614, 0.906633448105329, 0.8747082992600275]","[0.943295739348371, 0.98378728923476, 0.598676293622142]"
Data12,1,5,Averaged_measures,"[[234, 5, 6], [5, 169, 0], [8, 0, 173]]",0.96,0.05583333333333333,0.07308333333333335,0.01467281184767623,0.5450694444444444,0.28411891450679183,0.05340277777777777,0.1836107542849598,0.9368555786255989,0.8561458333333334,"[0.07343941248470012, 0.07712082262210797, 0.017391304347826087]","[0.09277845777233781, 0.08688946015424166, 0.03975155279503106]","[0.01558548475968318, 0.0101566073146498, 0.018111263223558067]","[0.6564667482660139, 0.5098543273350472, 0.46604554865424436]","[0.31404878418693827, 0.286854540609884, 0.2510990130945119]","[0.06997144022847816, 0.06491002570694088, 0.02546583850931677]","[0.21006995607878126, 0.1896860840342742, 0.15088556868183092]","[0.9735290215837783, 0.9256736513103142, 0.9104423321093992]","[0.9391064871481029, 0.9813624678663239, 0.6509316770186335]"
Data12,1,6,Averaged_measures,"[[235, 3, 7], [4, 170, 0], [5, 0, 176]]",0.9683333333333334,0.021666666666666667,0.035,0.0067369932063182664,0.5153819444444444,0.2264004603506189,0.02065972222222222,0.1437626411667448,0.9124639725107687,0.8311458333333334,"[0.031088082901554404, 0.026119402985074626, 0.00849514563106796]","[0.0538860103626943, 0.03407960199004975, 0.01820388349514563]","[0.013784606189265126, 0.0, 0.006707606452731992]","[0.6457253886010362, 0.4701492537313433, 0.43739886731391586]","[0.26958394128596763, 0.1943014509531077, 0.21726205776992696]","[0.03184369602763385, 0.024253731343283583, 0.006674757281553398]","[0.17449268164952345, 0.14045234860463132, 0.11820182073863089]","[0.9656073513673883, 0.8966552131429184, 0.8780993536447996]","[0.9349093264248705, 0.9713930348258707, 0.5970873786407767]"
Data12,1,7,Averaged_measures,"[[235, 3, 7], [4, 170, 0], [6, 0, 175]]",0.9666666666666667,0.06625,0.07825,0.017443348205132634,0.5520138888888888,0.2867890714154322,0.058125,0.18845304089180756,0.9405884985906809,0.8628125,"[0.09322033898305085, 0.06557377049180328, 0.03841229193341869]","[0.10266343825665859, 0.0814627994955864, 0.04916773367477593]","[0.021189905654904667, 0.004977378501628014, 0.02613842825809993]","[0.6582929782082324, 0.5258511979823455, 0.4661758429364063]","[0.313393258358265, 0.2777009512567426, 0.2678797511479046]","[0.07970137207425343, 0.05674653215636822, 0.03670507895860008]","[0.21751218136912537, 0.1897272525198851, 0.15642576834977165]","[0.9718764390439548, 0.9336061037676795, 0.9145874746217132]","[0.9403753026634383, 0.9851828499369483, 0.6565300896286812]"
Data12,1,8,Averaged_measures,"[[234, 3, 8], [3, 171, 0], [5, 0, 176]]",0.9683333333333334,0.02,0.03183333333333334,0.008567853101080282,0.5207291666666667,0.22778262427514595,0.019340277777777776,0.1431017381507043,0.9152147979325247,0.8352083333333333,"[0.02236024844720497, 0.031806615776081425, 0.006180469715698393]","[0.041242236024844725, 0.03536895674300255, 0.01903584672435105]","[0.011037436907346307, 0.003769962066220203, 0.010771966066909541]","[0.653416149068323, 0.46649703138252757, 0.4413885455294602]","[0.26493777789460393, 0.20019575450597782, 0.21761375032570524]","[0.023395445134575567, 0.024067005937234945, 0.010712814173877214]","[0.1646244759900647, 0.14591288901301896, 0.11895418742330703]","[0.964774098489756, 0.907413916195288, 0.8734796385961797]","[0.9403726708074535, 0.9793256997455471, 0.5905438813349815]"
Data12,1,9,Averaged_measures,"[[234, 4, 7], [3, 171, 0], [5, 0, 176]]",0.9683333333333334,0.06041666666666667,0.0775,0.015523368241551533,0.551701388888889,0.2869562325067381,0.056909722222222216,0.18367772742593985,0.9359418637445397,0.8583333333333333,"[0.08838383838383838, 0.0620253164556962, 0.03178484107579462]","[0.10505050505050506, 0.08050632911392405, 0.04792176039119805]","[0.016180121780562575, 0.004996279938975968, 0.025054237381084477]","[0.6610900673400674, 0.5248945147679325, 0.47167889160554194]","[0.3197951607037323, 0.2785920805617639, 0.2632389328790001]","[0.07123316498316498, 0.06139240506329114, 0.038712306438467806]","[0.20819565759023448, 0.1896819088576521, 0.15414043644650952]","[0.9718465328127905, 0.929288771514434, 0.9076037768982426]","[0.944760101010101, 0.9848101265822785, 0.6525061124694377]"
