dataset,fold,n_ensemble,weights,confusion_matrix,accuracy,Boots_Hostility_dataset,Boots_kDN_dataset,Boots_DCP_dataset,Boots_TD_U_dataset,Boots_CLD_dataset,Boots_N1_dataset,Boots_N2_dataset,Boots_LSC_dataset,Boots_F1_dataset,Boots_Hostility_class,Boots_kDN_class,Boots_DCP_class,Boots_TD_U_class,Boots_CLD_class,Boots_N1_class,Boots_N2_class,Boots_LSC_class,Boots_F1_class
Data13,1,0,Averaged_measures,"[[254, 46], [58, 242]]",0.8266666666666667,0.13458333333333333,0.2031666666666667,0.1931200479681243,0.4541287878787879,0.2644386463418051,0.1990625,0.31110688416207816,0.9836460939671948,0.930625,"[0.13095238095238096, 0.1380718954248366]","[0.19710884353741498, 0.20898692810457517]","[0.18587163523488667, 0.20008420922162706]","[0.43317099567099565, 0.4742647058823529]","[0.2689099027530591, 0.26014273331922766]","[0.19982993197278912, 0.1983251633986928]","[0.31094423365972773, 0.3112631562133561]","[0.9824194481796055, 0.9848246359984083]","[0.9417517006802721, 0.9199346405228758]"
Data13,1,1,Averaged_measures,"[[255, 45], [59, 241]]",0.8266666666666667,0.14875,0.21433333333333332,0.20396292132632637,0.44636363636363635,0.2805722491591533,0.21413194444444442,0.31081432378949014,0.9828878231859884,0.9235416666666667,"[0.14491525423728813, 0.15245901639344261]","[0.2106779661016949, 0.2178688524590164]","[0.19998229488849303, 0.20781303542193566]","[0.4252696456086287, 0.46676602086438157]","[0.27661253571856476, 0.28440213592955865]","[0.21306497175141242, 0.2151639344262295]","[0.31080574784940046, 0.3108226185512162]","[0.981050593008298, 0.9846648163086725]","[0.9271186440677966, 0.9200819672131147]"
Data13,1,2,Averaged_measures,"[[257, 43], [45, 255]]",0.8533333333333334,0.1425,0.20525000000000002,0.19687242817630182,0.45431818181818184,0.2718237721189538,0.20868055555555554,0.3102068609127694,0.9837875312760634,0.9322916666666666,"[0.14482758620689656, 0.1403225806451613]","[0.20586206896551726, 0.2046774193548387]","[0.19128960579641877, 0.20209506846716016]","[0.44047805642633225, 0.4672653958944281]","[0.2626967651524289, 0.2803619399263481]","[0.21508620689655172, 0.20268817204301076]","[0.31201071741723985, 0.308519382247297]","[0.982803198067355, 0.9847083591164679]","[0.944396551724138, 0.9209677419354839]"
Data13,1,3,Averaged_measures,"[[255, 45], [45, 255]]",0.85,0.1375,0.20333333333333334,0.19450224462271468,0.4490151515151515,0.26423378941713777,0.20357638888888888,0.30840624922754073,0.9832026688907424,0.9264583333333334,"[0.1331028522039758, 0.1415929203539823]","[0.20086430423509075, 0.20563153660498792]","[0.1840750089270571, 0.20420804647297686]","[0.42362693486288994, 0.47264682220434434]","[0.25301882738734943, 0.2746728168253962]","[0.19886199942379718, 0.2079646017699115]","[0.3054163746985063, 0.3111892619629332]","[0.9810299997909524, 0.9852250165564359]","[0.9343128781331028, 0.919147224456959]"
Data13,1,4,Averaged_measures,"[[258, 42], [41, 259]]",0.8616666666666667,0.1525,0.2134166666666667,0.20516400333792584,0.45284090909090907,0.2776590809769866,0.21434027777777775,0.3148421363861387,0.9843087989991659,0.9314583333333334,"[0.15313028764805414, 0.15188834154351397]","[0.2128595600676819, 0.21395730706075536]","[0.19332284890286475, 0.21665517291283737]","[0.4346638978618674, 0.4704806687565308]","[0.2643345424551853, 0.2905897907740057]","[0.21460800902425267, 0.21408045977011494]","[0.3139070418209878, 0.31574959268828034]","[0.9836030871750148, 0.9849936523457561]","[0.9412013536379019, 0.9220032840722496]"
Data13,1,5,Averaged_measures,"[[256, 44], [42, 258]]",0.8566666666666667,0.13833333333333334,0.20283333333333334,0.1914675617132766,0.4479924242424242,0.2662268007774205,0.20809027777777775,0.30677735407885226,0.9830327356130109,0.9285416666666667,"[0.1385979049153908, 0.13805004314063848]","[0.2096696212731668, 0.19551337359792925]","[0.18623671992235621, 0.19706848894583243]","[0.4347666837594315, 0.462153894423092]","[0.2620309445109433, 0.2707195165899297]","[0.2199838839645447, 0.1953551912568306]","[0.31188073678833717, 0.3013129037402235]","[0.9819013830354197, 0.9842441321175757]","[0.943190975020145, 0.9128559102674719]"
Data13,1,6,Averaged_measures,"[[259, 41], [40, 260]]",0.865,0.13833333333333334,0.19983333333333334,0.1923979222854302,0.4485227272727272,0.2653306738272006,0.201875,0.3076864321885342,0.9825006950236309,0.92625,"[0.14481576692373607, 0.1321978913219789]","[0.1998286203941731, 0.19983779399837795]","[0.1933930936383942, 0.19145602044527693]","[0.4291501129547402, 0.46685836466858366]","[0.26679552597486356, 0.26394423225678476]","[0.20087117966295343, 0.2028250878615842]","[0.3117699040440407, 0.3038215403350257]","[0.9812139936665302, 0.9837185218555338]","[0.9365895458440445, 0.916463909164639]"
Data13,1,7,Averaged_measures,"[[260, 40], [41, 259]]",0.865,0.1325,0.20108333333333334,0.18712127695432784,0.4488257575757575,0.2639794267822078,0.20375,0.30632519952320775,0.9830031971087018,0.9258333333333333,"[0.13928273561301086, 0.1257285595337219]","[0.20683903252710592, 0.19533721898417986]","[0.18615316354059008, 0.18808777818919178]","[0.4386230950034119, 0.4590114298690485]","[0.26134218275347304, 0.26661227906401713]","[0.21066166249652488, 0.19684984734943103]","[0.30510100638023285, 0.30754735404313027]","[0.9819372691031796, 0.9840673500467709]","[0.9341117597998332, 0.9175686927560366]"
Data13,1,8,Averaged_measures,"[[256, 44], [39, 261]]",0.8616666666666667,0.12416666666666666,0.19183333333333336,0.18127490317482037,0.44106060606060604,0.2554557340294373,0.1995486111111111,0.3052742364417574,0.9828141506811232,0.9252083333333333,"[0.12921348314606743, 0.11871750433275563]","[0.19566613162118782, 0.1876949740034662]","[0.18219107431264342, 0.18028569239689357]","[0.41977965854370347, 0.46403812824956675]","[0.2589094602882248, 0.25172666737566846]","[0.20632691278758694, 0.19222992489890237]","[0.311528339337502, 0.2985215395543243]","[0.9818541936364842, 0.9838506380967386]","[0.9410112359550562, 0.9081455805892548]"
Data13,1,9,Averaged_measures,"[[254, 46], [40, 260]]",0.8566666666666667,0.14666666666666667,0.21083333333333334,0.20166803053653248,0.4499242424242424,0.2717792415281484,0.2069097222222222,0.31075683607997673,0.9832530581039756,0.93125,"[0.15052888527257932, 0.1426131511528608]","[0.21220504475183077, 0.2093936806148591]","[0.19779233427572082, 0.20573569125774302]","[0.43194762926251945, 0.4687912429159227]","[0.26801343520839865, 0.27573156942479454]","[0.20945212910225117, 0.20424138912610304]","[0.31352733912126, 0.30784910914766495]","[0.9817999947067362, 0.9847780921904036]","[0.9365337672904801, 0.9257045260461144]"
