dataset,fold,n_ensemble,weights,confusion_matrix,accuracy,Boots_Hostility_dataset,Boots_kDN_dataset,Boots_DCP_dataset,Boots_TD_U_dataset,Boots_CLD_dataset,Boots_N1_dataset,Boots_N2_dataset,Boots_LSC_dataset,Boots_F1_dataset,Boots_Hostility_class,Boots_kDN_class,Boots_DCP_class,Boots_TD_U_class,Boots_CLD_class,Boots_N1_class,Boots_N2_class,Boots_LSC_class,Boots_F1_class
Data9,1,0,Averaged_measures,"[[130, 0, 4], [0, 119, 14], [5, 25, 103]]",0.88,0.035625,0.060250000000000005,0.0651121923360111,0.470859375,0.14190809646590855,0.055625,0.16041172588334796,0.874689157520913,0.6446875,"[0.0016750418760469012, 0.031026252983293555, 0.07363013698630137]","[0.010720268006700168, 0.09785202863961814, 0.0839041095890411]","[0.023485482355489116, 0.11282360223897873, 0.0734342216322922]","[0.4670226130653266, 0.6912291169451074, 0.316673801369863]","[0.08513663962561688, 0.178211097262088, 0.17389714167148207]","[0.020938023450586266, 0.09824980111376293, 0.060502283105022835]","[0.1039722211940484, 0.23626345694407502, 0.16368657003586023]","[0.8900202768227101, 0.9632198525032799, 0.7954990215264187]","[0.6926298157453936, 0.7231503579952268, 0.5393835616438356]"
Data9,1,1,Averaged_measures,"[[129, 0, 5], [0, 119, 14], [3, 22, 108]]",0.89,0.035,0.064125,0.07183561576174176,0.4771484375,0.15069334002223816,0.04682291666666666,0.16248925778602924,0.8883929651462146,0.66046875,"[0.0015772870662460567, 0.018691588785046728, 0.08736059479553904]","[0.012618296529968454, 0.0911214953271028, 0.1033457249070632]","[0.026645406033344133, 0.1088959225207421, 0.09560658541778626]","[0.4637223974763407, 0.6898364485981309, 0.3237685873605948]","[0.08998650394205318, 0.17166526247093578, 0.20554863977464474]","[0.011041009463722398, 0.06756230529595016, 0.0724907063197026]","[0.10500821495041172, 0.22229339536248383, 0.18265061517461462]","[0.8940727212352648, 0.9600655783696586, 0.8246813595326606]","[0.6944006309148265, 0.7231308411214953, 0.570631970260223]"
Data9,1,2,Averaged_measures,"[[132, 0, 2], [0, 118, 15], [2, 23, 108]]",0.895,0.034375,0.05525,0.06624100553093261,0.4715625,0.13929327096920052,0.04484375,0.153321970951552,0.8799093962039245,0.65859375,"[0.004807692307692308, 0.03271028037383177, 0.06934306569343066]","[0.011538461538461539, 0.08551401869158878, 0.08138686131386862]","[0.027877037789713944, 0.11015272117451581, 0.07562951205477718]","[0.46935096153846156, 0.6835572429906542, 0.30850821167883213]","[0.0891250426666791, 0.16090957216590535, 0.17953633218924372]","[0.013087606837606836, 0.07301401869158879, 0.059002433090024335]","[0.09807645414177507, 0.22473074188760517, 0.16045746096737332]","[0.8915528002699055, 0.9605653065876453, 0.8036571812743537]","[0.6951121794871795, 0.7207943925233645, 0.5684306569343066]"
Data9,1,3,Averaged_measures,"[[132, 0, 2], [0, 117, 16], [3, 19, 111]]",0.9,0.03375,0.06275,0.06557486883552499,0.46703125,0.1394806693303536,0.0525,0.16109127077402075,0.8770098234563894,0.6484375,"[0.0015873015873015873, 0.02481389578163772, 0.07583774250440917]","[0.011111111111111112, 0.09280397022332505, 0.09876543209876543]","[0.02956067317477785, 0.11136727874555724, 0.07304330282587368]","[0.4656746031746032, 0.6833126550868487, 0.3148148148148148]","[0.09349691278151029, 0.15766923076110756, 0.17764605975218337]","[0.010846560846560846, 0.09222497932175351, 0.07054673721340388]","[0.10174122997275202, 0.2383905663387996, 0.17209463866148714]","[0.8933017066475714, 0.9608890171741954, 0.7992898913951546]","[0.6884920634920635, 0.717741935483871, 0.5546737213403881]"
Data9,1,4,Averaged_measures,"[[133, 1, 0], [0, 119, 14], [3, 23, 107]]",0.8975,0.043125,0.069625,0.07248536007852432,0.4746484375,0.14598682356926374,0.06166666666666666,0.16518601900021948,0.8829798192420546,0.6571875,"[0.003134796238244514, 0.02891566265060241, 0.10054844606946983]","[0.012539184952978056, 0.09493975903614457, 0.1170018281535649]","[0.0285072710432546, 0.10939353935241357, 0.09577809573819165]","[0.46786833855799376, 0.6828313253012048, 0.32461151736745886]","[0.09063322448018869, 0.17169087496411717, 0.19104791111947525]","[0.01567398119122257, 0.08714859437751003, 0.09597806215722121]","[0.10154077649684042, 0.2387345327642992, 0.18361934899119334]","[0.8953879604968534, 0.9628382196704265, 0.8079201660458276]","[0.6920062695924765, 0.7222891566265061, 0.5671846435100548]"
Data9,1,5,Averaged_measures,"[[133, 1, 0], [0, 121, 12], [4, 24, 105]]",0.8975,0.0325,0.057374999999999995,0.06783054443373582,0.47171875,0.14926770480312337,0.04520833333333333,0.1582427864926032,0.8837028686573376,0.651875,"[0.0033333333333333335, 0.02528735632183908, 0.06902654867256637]","[0.011666666666666667, 0.08091954022988507, 0.08778761061946903]","[0.030883934415246977, 0.09989731169086705, 0.08237730948549019]","[0.4639583333333333, 0.6821839080459771, 0.3179203539823009]","[0.09208924425468243, 0.15680129309131155, 0.20418799758843797]","[0.014722222222222223, 0.07203065134099616, 0.05693215339233038]","[0.10046714091765858, 0.22179008242443587, 0.17067166014679713]","[0.8930388471177945, 0.9588924112052791, 0.815899261427906]","[0.6854166666666667, 0.7247126436781609, 0.5601769911504425]"
Data9,1,6,Averaged_measures,"[[133, 1, 0], [0, 120, 13], [5, 22, 106]]",0.8975,0.03375,0.06,0.06492798355356884,0.4781640625,0.13849943848388213,0.05161458333333334,0.15963811554640558,0.8845894858511193,0.664375,"[0.003003003003003003, 0.03464203233256351, 0.07385229540918163]","[0.014714714714714716, 0.08960739030023096, 0.09461077844311377]","[0.03192885270346678, 0.10142582810369118, 0.0772510463399261]","[0.4658408408408408, 0.6805715935334873, 0.31961077844311375]","[0.1020073201169366, 0.16607693215500494, 0.16317547854933037]","[0.02002002002002002, 0.0760200153964588, 0.07252162341982701]","[0.11101825055791978, 0.22237677200641182, 0.17004728088602408]","[0.8981519113098061, 0.9594218095316501, 0.80188495190071]","[0.700075075075075, 0.7274826789838337, 0.562375249500998]"
Data9,1,7,Averaged_measures,"[[133, 1, 0], [0, 120, 13], [6, 22, 105]]",0.895,0.034375,0.059375,0.06406125547310709,0.4721484375,0.14638537939324117,0.04994791666666666,0.15730548021401283,0.8796736204665039,0.6525,"[0.006568144499178982, 0.034324942791762014, 0.06498194945848375]","[0.01510673234811166, 0.08924485125858124, 0.08447653429602887]","[0.02909037673067197, 0.10821634701789005, 0.06767405357612666]","[0.46695402298850575, 0.6793478260869565, 0.3144178700361011]","[0.0938161632568414, 0.16998831874193793, 0.18555535797029354]","[0.013820470717022441, 0.07894736842105263, 0.06678700361010831]","[0.09973283562160891, 0.22828442567593557, 0.16460501340880296]","[0.8945979480721509, 0.9606733613542789, 0.7993743383730083]","[0.6900656814449918, 0.7265446224256293, 0.552797833935018]"
Data9,1,8,Averaged_measures,"[[133, 1, 0], [0, 121, 12], [6, 22, 105]]",0.8975,0.034375,0.061750000000000006,0.0710901358532552,0.4737890625,0.15124121587309716,0.05078125,0.16085270405856003,0.882629079441098,0.65328125,"[0.0048, 0.01927710843373494, 0.07857142857142857]","[0.01376, 0.09156626506024096, 0.09321428571428572]","[0.0314892348334985, 0.10739508505567125, 0.0883830094574432]","[0.4654, 0.6903614457831325, 0.32265625]","[0.09892128528805608, 0.16691334679592262, 0.19801982709216526]","[0.017866666666666666, 0.07088353413654619, 0.07261904761904761]","[0.10623162750229939, 0.23033056619138753, 0.17032566845595204]","[0.8960150375939849, 0.9641628427405683, 0.8072670515574651]","[0.692, 0.7240963855421687, 0.5575892857142857]"
Data9,1,9,Averaged_measures,"[[133, 1, 0], [0, 120, 13], [6, 22, 105]]",0.895,0.034375,0.059000000000000004,0.0662347907443685,0.472265625,0.1470477623935793,0.04619791666666666,0.15543863088201287,0.8770027393178067,0.65578125,"[0.005008347245409015, 0.022727272727272728, 0.0748663101604278]","[0.01736227045075125, 0.0731818181818182, 0.09233511586452764]","[0.03587510582568627, 0.09551039600174506, 0.07568966588348605]","[0.46629799666110183, 0.6840909090909091, 0.3125]","[0.1090128276855391, 0.15580155348845715, 0.18079331998425635]","[0.01669449081803005, 0.06382575757575758, 0.06387403446226976]","[0.1090443019135366, 0.2118663730431195, 0.16071848204285133]","[0.8958822348023648, 0.9551552106430155, 0.7955483628858241]","[0.6969949916527546, 0.7147727272727272, 0.5655080213903744]"
