n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.75825,0.3663125,0.38616875,0.35844460004106604,0.43625170289855075,0.5247262652652573,0.382859375,0.41282839513091263,0.9744403942428035,0.8753437500000001,0.016264416681824163,0.006466560619834954,0.002731972158533053,0.006867852852153591,0.05017988854861322,0.0026778291117922617,0.009833314022756492,0.005402510129570172,0.0018741736856848507,0.005131807597596538,"[[888, 77, 32, 3], [43, 824, 54, 79], [84, 86, 629, 201], [1, 75, 232, 692]]","[0.08793724983391757, 0.3811206174366816, 0.5236039645400448, 0.4755235460161158]","[0.1450457829751133, 0.4057930508758546, 0.5241737802062173, 0.47249176724704717]","[0.136893532270648, 0.3752888793945816, 0.4785262947204815, 0.4458041631538969]","[0.39274560592450525, 0.39202537724014935, 0.4900870221478645, 0.4705781181214811]","[0.5399955130029611, 0.5664731944584477, 0.5653288757701241, 0.42686107386152755]","[0.15528470952836929, 0.39116658003578564, 0.5125915041760608, 0.4756260004844396]","[0.25817971235268666, 0.4162454275723599, 0.5002261095530255, 0.47864728587938743]","[0.9602652417152922, 0.9578788097257899, 0.9903014954584759, 0.9895967624502315]","[0.7203062377814443, 0.89153362431946, 0.9318732710879344, 0.9596030575222431]","[0.027800228585636095, 0.024042086432355492, 0.033513752278315954, 0.018504538935535286]","[0.001547696867284501, 0.013578413796971682, 0.014118903360523365, 0.014179633828057323]","[0.010675923805134052, 0.013792058444934406, 0.017982426928172996, 0.013333118625134706]","[0.028963265549055643, 0.03714344484083944, 0.05507967004652535, 0.06042221139492101]","[0.008219713384537183, 0.014311068497726958, 0.013881063395037519, 0.016388104894127713]","[0.011469238469140134, 0.019403352412549566, 0.018174279964860943, 0.017863598108929825]","[0.004845462500961423, 0.017103423717329373, 0.009468954191958508, 0.008062452277373072]","[0.0030508145501561513, 0.00466732386750871, 0.0013648109616196634, 0.000991472720009723]","[0.005133780234133872, 0.011947607270806921, 0.005832808159553944, 0.0035968797968739604]"
0,DCP,0.733,0.47562499999999996,0.49640625,0.5150939415251823,0.486676874353002,0.5516027198348616,0.5120104166666667,0.5016640469032272,0.9910678191489362,0.8940104166666666,0.012580987640086146,0.01342841262491589,0.009450322415134845,0.010299044895345628,0.05370376608995046,0.006307496590024381,0.013570024894204877,0.006690297368334698,0.002208520540991944,0.009989890180376009,"[[829, 119, 48, 4], [59, 784, 51, 106], [78, 64, 657, 201], [1, 57, 280, 662]]","[0.19038003651338384, 0.6411922692019125, 0.5776868979509766, 0.4898960510813467]","[0.25738869590471414, 0.6370022004073139, 0.5746653246777749, 0.5130839646242527]","[0.33307242041318663, 0.6450344704227347, 0.5691968731585522, 0.5106020042808889]","[0.4824492626631941, 0.4371184586152088, 0.5180112831213739, 0.5093513512077422]","[0.5715031905290177, 0.684472545330315, 0.5193320517459511, 0.4315558116848616]","[0.30567839529392743, 0.6269991930540431, 0.5785810548816862, 0.5342410490525215]","[0.38013154943320254, 0.5691909177729879, 0.5366837620736155, 0.5194751314127848]","[0.9855809118684536, 0.9873308243995096, 0.9947324088980677, 0.9966365109405608]","[0.7457531838905742, 0.9297285073410727, 0.9191751893418838, 0.9795042575106973]","[0.039166881979524934, 0.04939992676707378, 0.02353696641866823, 0.014011525155587937]","[0.013620831198493522, 0.015094642992715788, 0.013435648325293712, 0.008290748725427026]","[0.044842070285284155, 0.013128051640518838, 0.008718488774810546, 0.008428698422483113]","[0.04015537826254757, 0.049869826124485955, 0.052875916016630865, 0.058772860922009604]","[0.014949008109519484, 0.0046564257629873795, 0.008246733757998413, 0.005539482330577634]","[0.03691533996782217, 0.023224716729667846, 0.00942004687848536, 0.01292264184239548]","[0.01630184617815786, 0.009779111360848487, 0.010861168777401684, 0.002584868949782446]","[0.003222784623739308, 0.004568398326357986, 0.0014424038168526884, 0.0006062123117939354]","[0.013876216386806023, 0.015477896044474242, 0.007368925140772484, 0.0008565419506122587]"
0,F1,0.8,0.16225,0.21111874999999997,0.19775071432554545,0.4014176022256729,0.2961627398865604,0.21053645833333334,0.2929986688136001,0.9464964017521902,0.8512291666666666,0.01598338981568049,0.009082413466419604,0.004599029704051709,0.006710457405684298,0.043882297610344644,0.004080384144499181,0.006730236869877087,0.005489910311140552,0.0013537373347628319,0.012175898145916058,"[[906, 46, 47, 1], [47, 846, 45, 62], [66, 50, 696, 188], [2, 71, 175, 752]]","[0.04518751612910203, 0.16501572810896295, 0.25286289772555803, 0.18831100264206924]","[0.08604532963002506, 0.19477247830375144, 0.30225289231286173, 0.2622468097185843]","[0.09068301747312717, 0.1832618746440478, 0.27246736132881744, 0.24506485456049348]","[0.35033809499306917, 0.34933099621875946, 0.4506982102851417, 0.4542400280693041]","[0.34810314275492865, 0.30882679627974124, 0.3003747178862103, 0.22867638467810555]","[0.09963702544604568, 0.18589109918598798, 0.29588487316602535, 0.2609806102518742]","[0.20505038629287817, 0.25138697118439207, 0.3651836798400946, 0.34979203719602825]","[0.9489599580720643, 0.8808457088051377, 0.9780323198902252, 0.9756767253643217]","[0.7460517976505996, 0.8112388513830725, 0.9027147593406235, 0.9433724696732751]","[0.009375397633444317, 0.011804755794117352, 0.020755290936615114, 0.021030933620337335]","[0.006652508336267843, 0.007101018712504965, 0.012036539776368612, 0.015108693934391437]","[0.00499289823785111, 0.008829220566336653, 0.007136761529599722, 0.012662798948995732]","[0.0322463545202535, 0.03696759597807281, 0.041688639178446604, 0.05240282841772839]","[0.015944970282881176, 0.00851155154220339, 0.008929956970558137, 0.01088124910918899]","[0.002956626313574266, 0.006259067707740092, 0.006015621738210356, 0.012005352030799202]","[0.008986950592723253, 0.01037709921274195, 0.010868320045139162, 0.009518650713446675]","[0.002820442000907765, 0.004905779250583382, 0.0033178912016886184, 0.0008270573610874542]","[0.019954572729467972, 0.004977235413096691, 0.016449815433337973, 0.0031730740941077304]"
0,Hostility,0.70675,0.493,0.47768125,0.4227953128234444,0.48201993206521737,0.5293732139617545,0.4996979166666667,0.500101378435262,0.9927555538172715,0.8945416666666667,0.05231067051759139,0.09593867059546424,0.059737386711286165,0.04689946536951854,0.0517375247757319,0.03686610302757985,0.08611574121421778,0.05420329038847921,0.006075912384099646,0.012388686227400067,"[[724, 197, 64, 15], [91, 766, 58, 85], [58, 98, 643, 201], [1, 60, 245, 694]]","[0.2635087462078746, 0.6229553941068351, 0.579215273565372, 0.5023389757982679]","[0.26782781885460233, 0.5908707202501328, 0.549463295952763, 0.4992980231696066]","[0.23718099228001135, 0.5200759885753431, 0.4774645029903891, 0.4539205748187055]","[0.4802298542408435, 0.4251660383126413, 0.5119472250013041, 0.5124935589800343]","[0.5971119813229289, 0.6354576897926186, 0.4775264845484156, 0.404392211720925]","[0.32080819124729715, 0.5986840515080182, 0.5649385922928541, 0.5112541426624679]","[0.39757917013472766, 0.551026653563385, 0.5370751799290023, 0.5130310088773713]","[0.9883009278390699, 0.9882891535290506, 0.9970745591300932, 0.9974292380523551]","[0.7520538110616772, 0.9281605222246624, 0.9205864498738624, 0.9771935788500594]","[0.1277906508107072, 0.11466731604232526, 0.06583749471244875, 0.04512889907761879]","[0.06442928915901625, 0.09269002327601468, 0.0367981522634323, 0.02705287906004663]","[0.06021832548008462, 0.06880376556958746, 0.03087729134896505, 0.018723466324251165]","[0.04831423429568406, 0.038477048470792086, 0.04748200426283035, 0.0598296418513513]","[0.04751926996858209, 0.06247818412121074, 0.018333057201730882, 0.015426185523077136]","[0.10282624716714647, 0.10929405800646338, 0.05857601203882409, 0.0384229296515854]","[0.07521759678084818, 0.07133866837055326, 0.031975568431104114, 0.015464262949922754]","[0.007936241280149466, 0.01229204912569028, 0.0016123057214930331, 0.0010100058198741803]","[0.016511201219217946, 0.01932886881660832, 0.010203242963691343, 0.005908101093951096]"
0,LSC,0.79925,0.158,0.2066875,0.19050807437197387,0.3976774734730849,0.28733983144599995,0.20797916666666666,0.2904573259991667,0.9456609824780976,0.8304479166666667,0.01102553853560001,0.010321019208392155,0.0049104281572486036,0.004962014501396723,0.0442826519596463,0.003593120520832336,0.0071285845865406905,0.0036356534979881763,0.0020351305377051044,0.008589692855434022,"[[880, 53, 67, 0], [38, 854, 50, 58], [53, 52, 717, 178], [1, 64, 189, 746]]","[0.04022332334295152, 0.14449022616285664, 0.25344845847023145, 0.19035191992024708]","[0.08468926024183805, 0.17637325888125183, 0.3061556530877339, 0.25534951282621093]","[0.08554113155979036, 0.1623451006258902, 0.27158589255427923, 0.23903915823943445]","[0.347128773608296, 0.3389377264926089, 0.45234637862261484, 0.45064605433528737]","[0.35482850321281534, 0.2854851212924682, 0.2853221480899529, 0.22582740415939878]","[0.0976339837044102, 0.17081312726479594, 0.30441853280265996, 0.2553476077465106]","[0.20203920302158487, 0.2388509978772902, 0.3762876822831863, 0.3415954750905258]","[0.9491207228169314, 0.8785901381327607, 0.9796316513834412, 0.9750099368449542]","[0.7160636437597825, 0.7851068469973673, 0.8817915530328667, 0.9348849016542571]","[0.013314689620314448, 0.00878565604958128, 0.01503066222471504, 0.012507268486204386]","[0.006063986607973339, 0.006604860574368535, 0.007888736874754197, 0.008657411936230631]","[0.007840193794504482, 0.0020792624858751428, 0.005677435282933367, 0.005811843429400995]","[0.030364439425585272, 0.03684240507146201, 0.04514557556352433, 0.051299333505338725]","[0.005232670302205261, 0.007746302955187812, 0.005340673271175137, 0.005658876650696964]","[0.00950761917668772, 0.008830505742855972, 0.01338286924799862, 0.014938048083872401]","[0.0070274035868523425, 0.004930337013776846, 0.008402154531818005, 0.00541469315726781]","[0.0027612279235187938, 0.008335473568080589, 0.0025128898976184808, 0.0013128885234867087]","[0.015640577500515746, 0.005578673424742068, 0.011218630343301528, 0.0053218743605138175]"
0,N1,0.66175,0.53125,0.5536125000000001,0.4832742001607933,0.5045614842132504,0.5624079924809207,0.7888854166666667,0.6180036759008007,0.9989813829787234,0.9025937500000001,0.02849890348767826,0.032619222429037156,0.004846753101303959,0.010088914830409154,0.05894501023867096,0.006532605689281904,0.007684948340072483,0.004219741010222708,0.0001581647365431219,0.006929961025072793,"[[775, 163, 61, 1], [155, 705, 41, 99], [88, 160, 549, 203], [2, 78, 302, 618]]","[0.2649538771029009, 0.7058259623865976, 0.6160303783273826, 0.5280142163248006]","[0.34766320422489405, 0.6959323054442554, 0.6173832644111173, 0.5458149201019078]","[0.29588295396004344, 0.6075456127479935, 0.5326482123430463, 0.49023174714287665]","[0.5173955254597981, 0.44448362154878823, 0.530207485707836, 0.5273781111065607]","[0.622949134878401, 0.6912256326245944, 0.506705460922586, 0.42805978394631844]","[0.693874729602722, 0.8453678802112587, 0.8254885440391394, 0.7871014104440088]","[0.551954242205237, 0.6625804423324742, 0.638029123568997, 0.6170350020258989]","[0.9983067968035103, 0.998331031667466, 0.9996943293269643, 0.9995784275973627]","[0.7603682583333979, 0.9406207844860471, 0.9235891642360216, 0.9821635132033355]","[0.09508598390273548, 0.0181595204043899, 0.025768287747026372, 0.018669928879767768]","[0.009290503824639024, 0.006145118755092862, 0.014952484713173802, 0.011662277097115446]","[0.03823443101072273, 0.010488130975671639, 0.020165243283613774, 0.012584530572006963]","[0.05097672952870701, 0.044871101343967955, 0.05805142315956556, 0.05997920071725691]","[0.011165128364322903, 0.004137624007521786, 0.013700217451999815, 0.010971177016673547]","[0.01771651566655791, 0.0076525175668120315, 0.014996358793839426, 0.006237022837516017]","[0.010534837634619666, 0.009392233647968254, 0.00840114388205706, 0.009542432548175148]","[0.00030781273130910835, 0.0006280921932696415, 3.340722267060561e-05, 8.032798061077588e-05]","[0.01545245534113032, 0.010513607614745254, 0.0047991694102583905, 0.0020822666574037145]"
0,N2,0.79925,0.3171875,0.362725,0.3237871512426893,0.45299516110248444,0.4174938300771859,0.41194791666666664,0.46220506911175985,0.980643538798498,0.8732916666666666,0.013127975853116097,0.021357723281052243,0.00688573026265189,0.00843150406192647,0.04820346937661336,0.007598154002693287,0.0074753963845920176,0.001452194175368691,0.0014217190277273344,0.01049930759952507,"[[916, 33, 50, 1], [47, 835, 37, 81], [62, 57, 701, 180], [2, 72, 181, 745]]","[0.11340053810152946, 0.39925651380988814, 0.42489951796480147, 0.334640606393647]","[0.18207425445912814, 0.42721594497205795, 0.45893261940402413, 0.38561533495175604]","[0.16528080620627564, 0.3766192022701304, 0.3974502400707668, 0.35785079291701766]","[0.42678946033147164, 0.3957854973224747, 0.49378395807611214, 0.49548340487577586]","[0.4612155571494762, 0.4984441688979979, 0.3979584258657307, 0.3138539258597535]","[0.25232882371313775, 0.45467559879592984, 0.5019467185541505, 0.4414411009831931]","[0.3602445095146759, 0.47413672167858056, 0.5229057428022814, 0.49283692586835237]","[0.9777021852500676, 0.9618317594590534, 0.9920947242663912, 0.9908822381132752]","[0.7463438443451235, 0.8815144834565587, 0.9044845442868432, 0.9606914929406905]","[0.044376106006155464, 0.024972367259261247, 0.014334684236354115, 0.013849933100601232]","[0.010396693298236743, 0.006472730324649562, 0.006015211549448877, 0.01135277644879089]","[0.015340023751233901, 0.005746366143672572, 0.009695619990134718, 0.014441202965011873]","[0.03429971284210702, 0.04022412017066, 0.046041893324073685, 0.05518822069205486]","[0.015246424409108388, 0.011030579153860331, 0.008519420890332046, 0.009403647849775272]","[0.01439684026719578, 0.010871745032990512, 0.013805940727043171, 0.012448401171638552]","[0.004216129661519173, 0.005399907043857886, 0.004898019118223158, 0.0009581951738238887]","[0.0019127807973752559, 0.0033646272794592104, 0.0006959206612664455, 0.0008692012058997494]","[0.01950209250466647, 0.010718542429189333, 0.010614379529191148, 0.0058796065376853284]"
0,TD_U,0.8067499999999999,0.1755625,0.2326375,0.21622293689976596,0.441997169384058,0.31077596456448225,0.23477604166666666,0.3139279369406453,0.9498059292866083,0.843625,0.018928318731466887,0.010703752262641354,0.006671073575988367,0.007124438811339452,0.04630610984752499,0.008655785111121977,0.010470217170199761,0.007636833771282514,0.00222788359552788,0.009200532258342786,"[[907, 33, 59, 1], [43, 855, 43, 59], [67, 53, 700, 180], [2, 68, 165, 765]]","[0.06869087482308549, 0.17445905186459165, 0.2711144652641545, 0.1889510432383447]","[0.12224962910442394, 0.19931545304165016, 0.3331999044654609, 0.2772835859807497]","[0.12119603904146518, 0.1893902018753934, 0.29433521334647467, 0.2610061233374033]","[0.4084794033044606, 0.3569304206808702, 0.492876098746026, 0.5110230968312545]","[0.41194430674136384, 0.3081743323371331, 0.2974536211968582, 0.22669279155016825]","[0.13510365690278509, 0.19515222817039607, 0.3295788681974944, 0.28120579811070456]","[0.24424581273273546, 0.2511465914999698, 0.391902599921225, 0.37032757882136486]","[0.9610638021015545, 0.8747439785554961, 0.983536650607016, 0.9823244675016813]","[0.7327974078366963, 0.7989279032918802, 0.8881698870670867, 0.9548251580693721]","[0.01365262304119419, 0.01744815469148087, 0.022105382967251477, 0.028305255860529926]","[0.010591843595419276, 0.013336339483648383, 0.013418623813571033, 0.013078857137499237]","[0.01202981634267587, 0.011615976552493731, 0.010479129087934497, 0.011390642415989949]","[0.0375148822687761, 0.03931714667325667, 0.04020811372850388, 0.05087450941195651]","[0.012866837244428149, 0.013609948214136528, 0.010331042211489071, 0.013286288564368512]","[0.014983622883855935, 0.015965300898840414, 0.017527482635264317, 0.018509142603376865]","[0.016088953381675826, 0.011614384742236113, 0.015342009469725987, 0.0067282320542175885]","[0.0018173377378186155, 0.009459705144307946, 0.002421299362257436, 0.001173421527188228]","[0.022199460861213334, 0.005884582895172409, 0.012186093990186341, 0.005426338423832198]"
0,Uniform,0.81375,0.14837499999999998,0.19444375,0.18139941522701478,0.39195117236024846,0.27729052441649654,0.190078125,0.27719458987272266,0.9369675375469336,0.8256041666666667,0.011891435994025258,0.008038603151356587,0.006404855031048709,0.004743457748072429,0.045594809875918164,0.002933380936081577,0.004612096065947435,0.004295882209166949,0.0032008521115848704,0.008275318892814802,"[[911, 35, 53, 1], [36, 843, 48, 73], [49, 44, 736, 171], [1, 64, 170, 765]]","[0.0356933402013601, 0.1353547775861055, 0.23910740214673415, 0.18051358496082662]","[0.07935530082746962, 0.15476602705442372, 0.29081532957855455, 0.2498220303741001]","[0.08279029225591697, 0.14366260636234923, 0.26187620044736903, 0.23468955725311327]","[0.3398660729003444, 0.33259037505588224, 0.4451698024073248, 0.4492262331252868]","[0.35009507819619196, 0.2645558676777619, 0.2789155403721691, 0.218865862933835]","[0.08515733515911521, 0.14526547123878228, 0.2850464572208332, 0.24237709790417697]","[0.19438906887829435, 0.21193310274453908, 0.3596418876079609, 0.3409994413487379]","[0.9447855289304348, 0.8544893019527187, 0.9759142941374345, 0.9739566804808261]","[0.7173241438422737, 0.7710326217469737, 0.8774763784458983, 0.9338269022870953]","[0.0067656942633078955, 0.010688927022752516, 0.014590365986766786, 0.013543742127898582]","[0.006435434832361819, 0.007263110118561154, 0.012512287300324682, 0.00819339960654152]","[0.00634127116685545, 0.008664142371242821, 0.003937959230852607, 0.008227043089557622]","[0.030165506930464416, 0.03810329967561348, 0.04276483205128207, 0.05426706544125969]","[0.012338249584260047, 0.008753809284817607, 0.009235856327610354, 0.008540286639040478]","[0.006270923369426231, 0.004121410064724022, 0.006904375462269094, 0.008905186911233428]","[0.0059644899437101585, 0.006206086953374636, 0.0038772962237414383, 0.003500795607067689]","[0.00193236877758669, 0.006995627761253156, 0.0031352647218244006, 0.0013485661275620471]","[0.015844441064890427, 0.007641947247941706, 0.0196435770127581, 0.00411567030003012]"
0,kDN,0.7150000000000001,0.49775,0.54524375,0.46327608553634,0.4937933385093167,0.5621519142980512,0.5512083333333333,0.5328914469194798,0.997944618272841,0.89609375,0.017831678272108895,0.022114095123359687,0.008510746882618452,0.009305013980913403,0.056634312152731354,0.009178352068902268,0.007459758032862329,0.005092440401649353,0.0002509719365440492,0.010879621164545559,"[[834, 104, 58, 4], [123, 763, 45, 69], [64, 107, 617, 212], [1, 77, 276, 646]]","[0.24883601647133177, 0.6459343179128436, 0.5862622478585461, 0.5065600812992249]","[0.3458770289223777, 0.6731029271643133, 0.6155046140692726, 0.5437222017645673]","[0.2787736105973062, 0.578034621269041, 0.5153297284980151, 0.4788462570976673]","[0.5117897526967383, 0.4342081839421657, 0.5164854561501762, 0.5139624894100132]","[0.6397056618161013, 0.6739176703269429, 0.506945974988693, 0.4251802287954295]","[0.38739760685071534, 0.6513335895559053, 0.6131617249805117, 0.551151313487209]","[0.44396045179045734, 0.5873066522117238, 0.5666821275571972, 0.5322439240409406]","[0.9968553230571986, 0.9975757467439903, 0.9987940976032211, 0.998542167766192]","[0.7516427669367143, 0.9357826904277502, 0.9147324173895199, 0.9811487957701285]","[0.051993059228012485, 0.036281054972405885, 0.016501855314016413, 0.024433524080109875]","[0.0058733573268174325, 0.017159027177394152, 0.011769533419257183, 0.01441373093656315]","[0.03900468649291629, 0.014145541916308948, 0.01058461650699923, 0.009977693293553724]","[0.044676329764686946, 0.04752064464872293, 0.05111117510985626, 0.06261786644902755]","[0.001969467946864792, 0.01545205256447692, 0.012138533471341775, 0.00812694308227793]","[0.017039614060854826, 0.015254965877120852, 0.014946628244794018, 0.01427349983244559]","[0.005741441302452634, 0.0086143374829442, 0.012615262240677265, 0.0028125160126490794]","[0.0003306278855915257, 0.0008775394930206045, 0.00010397353514610247, 6.537077552509886e-05]","[0.018799965861040442, 0.013303204895896531, 0.00611629344734425, 0.00432950304239782]"
