n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.9073333333333332,0.024083333333333335,0.04564166666666667,0.009725642699695277,0.5511780303030303,0.13724226498541212,0.02322222222222222,0.13693014656951882,0.9008954321001685,0.8519375,0.008547254269972075,0.007707770249704011,0.0033830408330047953,0.003111520830711541,0.04678430322051181,0.005376321686666293,0.002696667360538758,0.005030487483334342,0.00599749704634539,0.00928504294925145,"[[1079, 88, 57], [78, 792, 0], [55, 0, 851]]","[0.03995467882339932, 0.01689512477997355, 0.012484982064711488]","[0.06681880901275906, 0.04104288979711577, 0.02454396576438682]","[0.011878323328792637, 0.0032961193088410826, 0.01440124912825145]","[0.6725392330084741, 0.505950843128405, 0.45673222319072837]","[0.1710604889611004, 0.08769896954899363, 0.15360682771574682]","[0.0328744014963746, 0.02118700043683174, 0.013477329499776836]","[0.16512322430937904, 0.13118813751953473, 0.10869583136180294]","[0.9575288606836541, 0.8831133792347419, 0.8519260322518587]","[0.9562638761743699, 0.9814550938617617, 0.5721147658747878]","[0.00976062785027762, 0.008772853378607665, 0.005366566380920854]","[0.005802499015023251, 0.003241866718271036, 0.0023589497106379846]","[0.0029113358888814863, 0.002939142440950742, 0.005429357681995495]","[0.06250132316081639, 0.06564585404771886, 0.02694773022934181]","[0.006282170829824225, 0.007168793640448409, 0.007236442190709786]","[0.004017371104498701, 0.004098856968456225, 0.0035604123802124386]","[0.0072625752080878545, 0.0061678226435639355, 0.002274850911687031]","[0.0026717427021924482, 0.009617571308383433, 0.00515721204177744]","[0.0018189209926888256, 0.005576223953659629, 0.015840893048452667]"
0,DCP,0.9400000000000001,0.05225,0.08930833333333334,0.0019088333821856505,0.5733156565656565,0.2782477073498437,0.04636805555555555,0.1775588460328619,0.9353696486149629,0.8835833333333334,0.008249579113843077,0.003926406329796579,0.005636762393234062,0.0015184053339064492,0.04273214783430163,0.013615132279085172,0.001216170307173045,0.005388495608354691,0.006641655220454711,0.016132151461100606,"[[1120, 39, 65], [24, 846, 0], [52, 0, 854]]","[0.06210267355315354, 0.057692157794978216, 0.029654640933663816]","[0.1042506081006676, 0.09549829567075285, 0.05722829777664538]","[0.0020806960185017517, 0.00043701328451780817, 0.004182499775398915]","[0.6828957492404889, 0.544431338968511, 0.430883004133357]","[0.2967609917087904, 0.2726893465210475, 0.26341205903990467]","[0.05465013281092072, 0.0483397526104426, 0.030851510881469563]","[0.19437396960501382, 0.18022040242478538, 0.14665865963486371]","[0.9684710831035218, 0.9229586163279768, 0.8996892575018635]","[0.9446399371560942, 0.9807426987069897, 0.6155742738000624]","[0.016554817458515083, 0.0096621675119188, 0.010868512227865874]","[0.013477353571344748, 0.009488333561065966, 0.009107393439769173]","[0.0012587695587024594, 0.0006788113162772159, 0.0027090406642225296]","[0.07131075510541696, 0.03156642639788821, 0.02469072159112871]","[0.018770631193907896, 0.03155230840387142, 0.02091470801465564]","[0.006242299426881203, 0.005041400643118871, 0.004370129538556645]","[0.005192841104878601, 0.011619692531819348, 0.005692162971406357]","[0.003118460294991477, 0.010426161971262832, 0.00968329497174292]","[0.013740813380724847, 0.003540184428702887, 0.020523782862399483]"
0,F1,0.9620000000000001,0.05308333333333333,0.08444166666666666,0.019503077158355586,0.5642518939393939,0.264985523800394,0.04730555555555556,0.17097141963899057,0.9281239607572747,0.8167083333333334,0.009746794344808987,0.008521826551730434,0.0015971437178775015,0.004905947111853501,0.03923050787046304,0.00442327289478902,0.0034896783430957653,0.000978369339417011,0.0028817906714497074,0.011171019052291838,"[[1163, 21, 40], [21, 849, 0], [32, 0, 874]]","[0.07165573103575439, 0.05801126426733609, 0.031190474864322044]","[0.11318650445795775, 0.08990209126360331, 0.05114382975079178]","[0.026061179807318213, 0.0031156891843029957, 0.023906282922425644]","[0.6729423645616254, 0.5504497686587332, 0.4601983407645216]","[0.30979841112379314, 0.2483956383187756, 0.22983900334246926]","[0.06397606565663125, 0.04655560268635893, 0.030588931719545485]","[0.19919557836540752, 0.17430968202507313, 0.1394759206026706]","[0.9695487226779914, 0.9190451997622888, 0.8912603798341413]","[0.9226446559160337, 0.9706840533030784, 0.6035315003127104]","[0.01693627060310035, 0.011800927726070961, 0.00865637153000838]","[0.0022343099093596434, 0.0067536287498624155, 0.006050231326212368]","[0.007466933476552136, 0.0017845756121415356, 0.006545677950024796]","[0.05464688953132029, 0.04513291326351615, 0.018977584643711323]","[0.006840867536714051, 0.008127071441121226, 0.005950913777665817]","[0.003338050559529217, 0.008758836215786488, 0.005091703700359599]","[0.005016181023089159, 0.004784706822152925, 0.00492338323797363]","[0.0022294520277813504, 0.007637888895206521, 0.00295816422970981]","[0.006090039231027964, 0.006461516814975178, 0.01065480803085046]"
0,Hostility,0.9296666666666666,0.0022500000000000003,0.037866666666666667,0.009766224580111768,0.563020202020202,0.21025825569987505,0.013618055555555555,0.13491333816099166,0.9151963706286924,0.8445833333333332,0.011389566375513284,0.001547847968417226,0.008898511501618935,0.002840639749669805,0.036417955128867766,0.03215060855419277,0.002446672753297505,0.00996342202026502,0.012540170214088573,0.011870658928752787,"[[1120, 47, 57], [57, 813, 0], [50, 0, 856]]","[0.0034391649434004426, 0.0014764181093456677, 0.0014903543818124566]","[0.05047369052035351, 0.037318887892733014, 0.02315548186713804]","[0.011134674034826176, 0.00258378986306388, 0.014548413684808267]","[0.6815840428443155, 0.5213047279692675, 0.45860920485055523]","[0.2476087869351117, 0.1744922818005183, 0.19732946313955793]","[0.017662174908340773, 0.014537736205795468, 0.00797343795069835]","[0.15355114582639606, 0.13358420421209327, 0.113817335241132]","[0.9590054498169082, 0.8977809217644669, 0.8784365073759032]","[0.9527417393603432, 0.9782549393252594, 0.6000927294972813]","[0.0022282794158566665, 0.0009388424702108351, 0.001431836074615561]","[0.0089247851673187, 0.007592124167910731, 0.0072743716382942004]","[0.0033900724003451837, 0.002668814928615062, 0.00404873531003817]","[0.060302417644343236, 0.04421374919283389, 0.021651024555660654]","[0.02193269702575894, 0.042283144565098, 0.027237707331949267]","[0.001722513778039009, 0.004679361969406493, 0.001663507394630193]","[0.008018016701118263, 0.012003979165474684, 0.008008430372300309]","[0.0029142399870473205, 0.015910840546558128, 0.015245780452459971]","[0.0076949293680428806, 0.006557467541796055, 0.020782306050022212]"
0,LSC,0.9316666666666666,0.0095,0.02200833333333333,0.008288395273076241,0.5431792929292929,0.17922587811313223,0.006430555555555556,0.11471679235504259,0.8925832930342738,0.8279791666666666,0.013281147875424336,0.00547564050033317,0.002701819088852711,0.0023702393744364065,0.042966645391641134,0.008909794895135324,0.0013963342108517793,0.0031032263471587893,0.0056529161605242614,0.010078791160154041,"[[1107, 55, 62], [52, 818, 0], [36, 0, 870]]","[0.011700832710166554, 0.009469933635730735, 0.007313785487297354]","[0.03087626932121894, 0.023441988026992613, 0.012217531452479028]","[0.009570625505241976, 0.002455151378035299, 0.012141869342177786]","[0.6766875474901521, 0.49939567533788976, 0.45263116442527745]","[0.2159738265352939, 0.14023879760887764, 0.17725709846790733]","[0.009324712073641592, 0.006626439211214646, 0.003482158790659963]","[0.136046896750131, 0.11065874106852933, 0.0976690910704935]","[0.950292599763077, 0.8753628485712776, 0.8516650608936317]","[0.9558052365602885, 0.9777602651089989, 0.5754182013236736]","[0.005409477906104688, 0.005955408816562146, 0.005739027013164662]","[0.0030664978034603474, 0.0031753215653877796, 0.003150788211680583]","[0.001920338383935195, 0.002057476867004036, 0.003972040930752271]","[0.06388265867600426, 0.049963495764625596, 0.025121044262409787]","[0.009369623545837725, 0.013624227880203187, 0.010797524680397996]","[0.000794464687920031, 0.0022879004850597986, 0.0024964621494190336]","[0.0038163289132281727, 0.003135981682434531, 0.0032360327750297264]","[0.0023290513540874798, 0.00792245187693521, 0.007767698161484065]","[0.005964589193044516, 0.004802722353911704, 0.01645287624758937]"
0,N1,0.9443333333333334,0.024583333333333336,0.05923333333333334,0.011213174701631877,0.5725928030303031,0.24820876866240327,0.0025,0.14859443047586882,0.9285874587982521,0.851125,0.012834415538785626,0.010137937550497033,0.0035828003479587505,0.002921020822873147,0.04299500269915885,0.00766024909489389,0.0010642800086107017,0.0016885105169782647,0.0017558600195777324,0.00981944198884144,"[[1138, 41, 45], [42, 828, 0], [39, 0, 867]]","[0.032339357835941315, 0.022290267934335327, 0.016676893493471484]","[0.0757387402505944, 0.0611567334419383, 0.03609517828641603]","[0.013306331143085746, 0.0029213807600290435, 0.016461266385910868]","[0.6819575394122136, 0.543059572363101, 0.4596277746015039]","[0.2803981344348322, 0.22964628295666936, 0.2246448240741933]","[0.0033457092533592165, 0.0025646888834746128, 0.0013643039058365341]","[0.16837615595693917, 0.14715493030569876, 0.12451422841366089]","[0.9655278453649224, 0.9157613871771954, 0.8932748587442205]","[0.9421670934373235, 0.9778459866908318, 0.6142699405967167]","[0.01175101307905497, 0.0050105127620291515, 0.012077281502739215]","[0.0063427673344780165, 0.0015215432105572288, 0.0034231859584940598]","[0.0022252488483836, 0.002626333387354863, 0.0049342185932374355]","[0.05694861597120409, 0.043848239333122596, 0.02553032648131583]","[0.013517954226575125, 0.004899176203881192, 0.004853367838091228]","[0.0012540412115366543, 0.001275910125975498, 0.0010572552180667942]","[0.0033474070982878208, 0.002412689498811832, 0.002576437205847929]","[0.0019041195237559808, 0.0023177436185954194, 0.004096252340464956]","[0.005128415694535011, 0.005037521211700055, 0.013752507486099897]"
0,N2,0.9306666666666666,0.011666666666666667,0.032775,0.009424383446190617,0.5538320707070707,0.19988310134393591,0.008083333333333335,0.10231600412500978,0.9003094333624683,0.8298541666666667,0.007870479302078381,0.004787135538781691,0.0027802315551047176,0.002530591217429523,0.046288487107295676,0.005682598702643307,0.0023490038849570283,0.0031986317972963426,0.004695597071513879,0.006178672856195604,"[[1130, 41, 53], [63, 807, 0], [51, 0, 855]]","[0.018387805985785204, 0.008541838995289869, 0.007268502181588631]","[0.04571815201023799, 0.033238486078609644, 0.01871415945061082]","[0.011030688409862979, 0.0034473292567932384, 0.012800659615292826]","[0.6794792319229034, 0.5155981489341142, 0.4542753971032559]","[0.24283103958426633, 0.16569194476705626, 0.18360815551330478]","[0.013164499741183949, 0.007747607100360959, 0.0030207555629624115]","[0.11791914537223254, 0.10094185763048895, 0.08708091657288893]","[0.9560035262952669, 0.8802857243275856, 0.858686981180715]","[0.9531784464759211, 0.9765476729260731, 0.5757330392784581]","[0.006409974530245468, 0.0031924126986920733, 0.004069724033655389]","[0.003268409526294165, 0.004695806793006252, 0.003558429165845695]","[0.0015795865257394615, 0.0031452827553700934, 0.0041840031833013025]","[0.06131134398068643, 0.05784760441193344, 0.024065931582467066]","[0.011097303717106433, 0.004125746748319233, 0.007355841742818114]","[0.0024281850744513186, 0.003150977928748067, 0.0025066402320721615]","[0.004062762534061739, 0.005034130127235778, 0.0019575847867461882]","[0.0021971338513106973, 0.009965799766514448, 0.00700265597691383]","[0.004665441364642733, 0.004614090846358032, 0.01166666408746495]"
0,TD_U,0.9393333333333332,0.035583333333333335,0.06488333333333333,0.012707582781187304,0.4994943181818182,0.23041075128738445,0.035104166666666665,0.1536538822198258,0.9165756802715246,0.8090416666666667,0.010839741694339374,0.005940971207545856,0.005461544856743578,0.004803221346483425,0.03299251638429539,0.014930400458647733,0.00539525683320973,0.0055226679447353995,0.004311180071529906,0.005144082866912888,"[[1137, 45, 42], [63, 807, 0], [32, 0, 874]]","[0.05654994419738378, 0.031096311664207243, 0.02260698207731911]","[0.10294963752662914, 0.060310224317560335, 0.04005599870606745]","[0.02199068396982708, 0.001511057348170563, 0.014576423953676577]","[0.6291529925782801, 0.47433803869506824, 0.4265120154182388]","[0.2811585431766471, 0.19309717698802, 0.22388781889738435]","[0.05269223833355456, 0.0330867233938546, 0.023580882469772205]","[0.1904037919625286, 0.1481017731742578, 0.13075612813846182]","[0.9674524322350451, 0.9003354349469532, 0.8915055152940132]","[0.9183795030502679, 0.9808925561395665, 0.5884359072436036]","[0.012321766544243648, 0.005531556544080086, 0.007828158537064915]","[0.008584131890886386, 0.010914594358831544, 0.0038476765074979364]","[0.005706061180604788, 0.0009248125297986622, 0.0063940433252726026]","[0.062339574256287285, 0.035750936189950705, 0.024153337861040326]","[0.0164448829312422, 0.03604090785538264, 0.005192179395668979]","[0.007337782581896009, 0.006183885867406744, 0.006114367276261233]","[0.006354927899883967, 0.012096758867081895, 0.0037320670334368474]","[0.001956642753949326, 0.011380848281840942, 0.004614125754977964]","[0.003745939357802426, 0.005515052553265329, 0.013115297652678902]"
0,Uniform,0.9613333333333334,0.05383333333333333,0.08780833333333334,0.01767813066002486,0.5797676767676767,0.2662987729020273,0.04951388888888888,0.17392931968102054,0.9331089902593035,0.8547499999999999,0.0061689185077739095,0.012477062287787671,0.004693986253116258,0.0038797963433669976,0.04075789237855865,0.006455940054276905,0.00621391977715464,0.0030503218299253922,0.001066139427601472,0.0022409153015874703,"[[1172, 15, 37], [24, 846, 0], [40, 0, 866]]","[0.06555909193058401, 0.05374635581168952, 0.03804336084424873]","[0.11151571199546388, 0.0890184966659007, 0.05435553433699496]","[0.02028398752583612, 0.004272173201944732, 0.027280249336131407]","[0.6818267875772906, 0.5484947377901762, 0.4727120626051652]","[0.3009942669511332, 0.25186719205685504, 0.23330948634675241]","[0.06304138370773567, 0.048055012935837506, 0.032438725576236345]","[0.1982885739838111, 0.172714876309158, 0.14208003687765203]","[0.9685963440339803, 0.921898646901749, 0.8960239700882638]","[0.9381181466129821, 0.9773762851517069, 0.6214611518262628]","[0.01428316812796245, 0.014611482799450088, 0.01252248247235336]","[0.004431300009589288, 0.009851475984764626, 0.003750586811616043]","[0.004083844699842321, 0.002062330205221802, 0.005610541962330301]","[0.05408415598544771, 0.041439198551976635, 0.024816841342256868]","[0.004379664904191144, 0.013022417341385725, 0.006734711988582609]","[0.007070156539480507, 0.011271409650853763, 0.006720202337497479]","[0.0024044056362757726, 0.006188805260447752, 0.0033160755557241797]","[0.0016865572632331187, 0.005183919488223956, 0.0027771796150803368]","[0.0013678481732496794, 0.006969178155584799, 0.007540220900946323]"
0,kDN,0.925,0.0075,0.016308333333333334,0.007919182586801264,0.5614873737373738,0.20871514596953605,0.007527777777777777,0.12717649096311806,0.9147245980462694,0.8437916666666666,0.012583057392117894,0.002243818669639377,0.001734955170730485,0.0026808722456573195,0.04627189243721434,0.007411311317262511,0.0013039107546810253,0.0017050479979700713,0.0034222627796997693,0.005125698631243711,"[[1100, 64, 60], [70, 800, 0], [31, 0, 875]]","[0.007948947377141061, 0.008624518723320053, 0.006031994009529889]","[0.020204902352069305, 0.018484094947014702, 0.009955884999144184]","[0.009034111706032032, 0.0023363308934096906, 0.01151365698318146]","[0.6802824186398041, 0.5227835286846505, 0.45823478114564187]","[0.23953308057311684, 0.1826213945772463, 0.1962555963006925]","[0.009242867682435993, 0.008231452036819976, 0.004962512630638393]","[0.14305223573600837, 0.12569343813339673, 0.11012873426910152]","[0.9579568240271433, 0.8990564090653839, 0.8787741689371827]","[0.9526847666542306, 0.976431164900036, 0.6021735178128808]","[0.002830082085753876, 0.0020230996078807713, 0.0047052069375396535]","[0.0028574706646516245, 0.002458330469061283, 0.0015295352681407976]","[0.002387272922719108, 0.0022490528481817007, 0.00461088904816453]","[0.06098737409992056, 0.053256252669839896, 0.02045993204614326]","[0.007784989557412125, 0.016050027111278183, 0.008382312738653511]","[0.0019979630193654244, 0.0015142329191573938, 0.0007793320115566373]","[0.003612232559258644, 0.0039912349872977685, 0.004407935374103321]","[0.0014592868328375309, 0.004581709081809592, 0.004609204895125203]","[0.003597123249352136, 0.006907111937414298, 0.011627972205678216]"
