n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.932,0.03808333333333334,0.06355,0.013943434304822807,0.567491792929293,0.18588541140927206,0.034416666666666665,0.1541114858447395,0.9195940001034705,0.850375,0.01934338818993887,0.008273745289233353,0.0037289222452487713,0.003644155061864538,0.04190203834620037,0.0051283812148591075,0.0034227728858916505,0.0035769345976965736,0.004148507680050525,0.0063727528719279645,"[[1114, 55, 55], [49, 821, 0], [45, 0, 861]]","[0.04955748577516056, 0.03460673764385877, 0.02616062035116793]","[0.08403302558386397, 0.058005527533939075, 0.04202527009439026]","[0.016439344689986698, 0.004409819838454721, 0.01972231202599008]","[0.6768794033267731, 0.5225704279670456, 0.4679516715387293]","[0.21731451662833207, 0.13363884532771753, 0.1942967673210002]","[0.04483404168095413, 0.02995686569802859, 0.025080996786141275]","[0.1799828470492364, 0.1458048880950198, 0.12823905250080753]","[0.9633829403210834, 0.9008533668173104, 0.8801136946977387]","[0.9469701077497286, 0.9803085738691502, 0.6015007839701101]","[0.009537897037059744, 0.009357113810318831, 0.009257154631329492]","[0.0036604628053607978, 0.0037344979012023673, 0.004271492260946762]","[0.003275717009312624, 0.0024945814850392623, 0.005457169238644857]","[0.059070127271950504, 0.0538043680301061, 0.021793634342063623]","[0.006213414014685734, 0.007874748925735954, 0.005728388198315528]","[0.005191369064028453, 0.006921433838387937, 0.005091592503819561]","[0.004310225377147096, 0.0050553729672093844, 0.0033062994710740074]","[0.001773842581785603, 0.007824492462353358, 0.005333280573890071]","[0.0035935047594427578, 0.001091913724379122, 0.013497779419287129]"
0,DCP,0.9623333333333333,0.052083333333333336,0.085775,0.008614904378491724,0.5794816919191919,0.26624463045613167,0.04588888888888888,0.17205295823800287,0.9328076932785787,0.8567708333333334,0.004183300132670392,0.009326262202333083,0.00450034720882734,0.002271568166061466,0.041642616284577,0.008848356797429178,0.006482258551301846,0.003414200669348354,0.0026200814898645953,0.007162168525391654,"[[1155, 22, 47], [13, 857, 0], [31, 0, 875]]","[0.05842423925048993, 0.0657727753582427, 0.030099325619972472]","[0.10680036749250765, 0.09231315956706074, 0.05088515119851984]","[0.011081878917910615, 0.001722073768148081, 0.012120287045319988]","[0.6809053941020599, 0.5545321485247304, 0.46652094404607664]","[0.2947771965288657, 0.26082635433270246, 0.2329259535715238]","[0.05507271308785518, 0.05081059835745795, 0.028674141905044238]","[0.19424527253838178, 0.1767641642113416, 0.1374921400238775]","[0.9684755570759747, 0.9228453208900158, 0.8942326398260928]","[0.9418881905632979, 0.9798875455330608, 0.6200538655435908]","[0.009889310666421059, 0.013242215624888445, 0.012109544966636078]","[0.0062572010410193064, 0.00667952154908164, 0.0031413154154377606]","[0.001755215007191059, 0.0017677289823038716, 0.004074031919580087]","[0.057489501277524405, 0.041567394144118724, 0.018857949290614965]","[0.011314664770514, 0.009020342189088208, 0.011188831362334842]","[0.007026168563558455, 0.006229119277855246, 0.005933242565429406]","[0.005678466907751709, 0.0023474790433012154, 0.0036763387321140373]","[0.0021238497852225117, 0.006943983204238224, 0.0017672631578293067]","[0.005478154823265474, 0.0035701481154894097, 0.01365786793611977]"
0,F1,0.7786666666666667,0.03625,0.06390833333333334,0.024719050613927585,0.46345454545454545,0.23326148272229483,0.03720138888888889,0.14046572106665176,0.8813450206433611,0.5548124999999999,0.03456877203488718,0.006222160217945033,0.004210642930585409,0.008935111299457739,0.033607642697141324,0.008658861510660493,0.006320569954716835,0.0020834833393443366,0.0038152329019202724,0.009289365839944781,"[[771, 393, 60], [169, 701, 0], [36, 6, 864]]","[0.10005957705445775, 0.033844093922149106, 0.022435036527282945]","[0.1878377498885893, 0.0639755989313473, 0.036506041777008356]","[0.0630014994498962, 0.0024853836091423493, 0.017401896514151062]","[0.5957222510788527, 0.5051914881930418, 0.43196917246670663]","[0.401170922848246, 0.28203210974592335, 0.19386838337193005]","[0.1062123631668459, 0.04573108947637792, 0.021425565705792404]","[0.24581687729066254, 0.1322033338577363, 0.11772837125617683]","[0.9837537045451146, 0.8769453705740533, 0.8592187682323672]","[0.7310633014979877, 0.5401523153898851, 0.5167630297613945]","[0.016455400924896512, 0.017045632240426795, 0.00790627253151782]","[0.013976953714007518, 0.01178096954778357, 0.0024635781511583386]","[0.018397341287651976, 0.0025227471940850203, 0.006336671041766773]","[0.05481148622241343, 0.08429517774479284, 0.0236208451982807]","[0.010677984292102337, 0.05910598724897631, 0.008440409550078446]","[0.019951926071110623, 0.011400401825033608, 0.002504945518246873]","[0.003603098542163711, 0.010860719142161916, 0.0015294622233781956]","[0.0010402077232184203, 0.02250069761124864, 0.0044817504379207574]","[0.003907548065180894, 0.02261836760078989, 0.009382008464078278]"
0,Hostility,0.9480000000000001,0.02225,0.0689,0.012751427602170271,0.5746136363636364,0.25154030309959874,0.03211805555555555,0.15907593790564545,0.9293708973042746,0.8515416666666666,0.008283182426526144,0.004385899122313589,0.0016730606517530867,0.0036628091729439226,0.04352555228212294,0.009691295389660263,0.002970120297788179,0.001319681521474562,0.0029342445553860964,0.005339189493213796,"[[1152, 32, 40], [47, 823, 0], [37, 0, 869]]","[0.028259776939573232, 0.023330897205389983, 0.013421284097689185]","[0.08710760875409414, 0.06923799917066019, 0.04480845195201594]","[0.01570490794395326, 0.0033199376175281252, 0.01760240087942544]","[0.6775665104528852, 0.5444915550734444, 0.4671939468348555]","[0.2825215428441579, 0.23178778784250387, 0.2292044964440063]","[0.0418946281720999, 0.03092339530431239, 0.020427960537708248]","[0.18009427308823328, 0.15694093517547256, 0.13357380213187847]","[0.9664982165598012, 0.9151695848974549, 0.8939110115828799]","[0.938379605467319, 0.979726157399667, 0.6187222747432146]","[0.004843858650680009, 0.0044510592026912495, 0.006859769439742914]","[0.003598145559953151, 0.0037290283109709904, 0.004096770478149641]","[0.0036038690747125573, 0.0025379993415807984, 0.006264412551504232]","[0.058399204946374836, 0.047561437786974935, 0.01861323423839675]","[0.01037967375266774, 0.005873713615140533, 0.010066188182288455]","[0.002970543184175834, 0.004715533548975536, 0.002327178605363904]","[0.003088609281876188, 0.005602655102828956, 0.0024294570667663697]","[0.001258342390106084, 0.004055031888856261, 0.006698061992286064]","[0.001254285580966397, 0.003834068317183851, 0.009432105175979743]"
0,LSC,0.8876666666666667,0.0017500000000000003,0.004808333333333334,0.0064300143625982496,0.49477083333333327,0.10217635368834688,0.0010208333333333332,0.07853963527003716,0.8104391082564403,0.7432916666666667,0.011401754250991361,0.0010374916331657277,0.00042756578441217663,0.0033623514083193423,0.04244966111014745,0.005521366985418236,0.0002942183356154842,0.0017830848094062622,0.00760332537812939,0.00632918586786643,"[[1044, 94, 86], [91, 776, 3], [62, 1, 843]]","[0.004693992273131801, 0.0009693555484551712, 0.0010820895464961418]","[0.009699476781056465, 0.005416537575733853, 0.002272496739902246]","[0.007340080076383664, 0.001835606401078953, 0.009381098843051472]","[0.6770040941976921, 0.4613545014601212, 0.4429449842659877]","[0.16716215176384402, 0.0667962331817057, 0.10064970011669243]","[0.002065054140764097, 0.001270997579893389, 0.00038770641543810143]","[0.1120638136910069, 0.0746131688317873, 0.067223146832966]","[0.935871111088227, 0.8017889532275652, 0.763501080547135]","[0.9675891227869539, 0.9684506631104643, 0.4810730295860172]","[0.0032853587492333073, 0.0009228366498875072, 0.000883893181937478]","[0.001605267992301878, 0.0008833171427386402, 0.0003939504435566193]","[0.003109362362907161, 0.0026275425654011305, 0.00504822659517704]","[0.06332360360665777, 0.05941862790547906, 0.03110309306686502]","[0.00610723645613318, 0.007482789971950416, 0.004816840627612297]","[0.00216403952584555, 0.0007965627906311095, 0.00029052227560491544]","[0.003590775963310569, 0.004237669051701095, 0.0019545347349557572]","[0.0015065000977381047, 0.014658348650569015, 0.005905069119045962]","[0.0033972827512871754, 0.008553409340084493, 0.011232024185107868]"
0,N1,0.9496666666666667,0.033166666666666664,0.07065,0.012743320184260096,0.5735088383838385,0.2560899051182351,0.018256944444444444,0.15906193793905438,0.9302963795964153,0.8500833333333333,0.014643921757659198,0.004275657844121767,0.0021651837874262117,0.003965833807297967,0.04174975058417336,0.003768978330975021,0.0011396085124850527,0.0011344385654931662,0.00215096739518052,0.003977748438361698,"[[1140, 32, 52], [27, 843, 0], [40, 0, 866]]","[0.038517119519387744, 0.041927576875368064, 0.01786765408218704]","[0.08955510579349435, 0.07291930093578312, 0.04381547843151434]","[0.01562254085795035, 0.0037577571716310492, 0.01699850863019852]","[0.6784420535667839, 0.5462990660302982, 0.46174338504514295]","[0.2869112996291737, 0.2357266064392581, 0.23436459001930715]","[0.022366050561352047, 0.020559161441571296, 0.010702030258755256]","[0.17947367516197615, 0.1596051352848317, 0.13193555419098907]","[0.967040772005961, 0.9169038326038548, 0.8945885125906001]","[0.9392272133130571, 0.9805864981422848, 0.6168055317922981]","[0.0060718030622268345, 0.012243364061943776, 0.007531306480104712]","[0.005265503536881133, 0.004139129927601918, 0.004251149919167444]","[0.004199074871060254, 0.002444709729567845, 0.004854148759892887]","[0.05729032635693075, 0.04322447604634591, 0.022426831129819483]","[0.003922137812038909, 0.011165094410213757, 0.007293680687477353]","[0.003704203035439112, 0.002592204381130156, 0.00249547448416743]","[0.005440672466170583, 0.0026811907290574086, 0.0033804122850316014]","[0.0013188626859268675, 0.004363464349987581, 0.00302669648989881]","[0.004120815397077876, 0.005729889404214296, 0.014110235251628625]"
0,N2,0.9516666666666665,0.035666666666666666,0.06765,0.015297877970374513,0.5708017676767676,0.2474936874262974,0.03111805555555556,0.1510798328935173,0.9259824213984713,0.8467083333333333,0.010274023338281613,0.0055167044308878635,0.0032575499910890765,0.0030344213844132966,0.04016882612540326,0.006246154284238803,0.003488278846834297,0.0022883033335430623,0.0031103862745922094,0.0070789661782478894,"[[1154, 21, 49], [33, 837, 0], [42, 0, 864]]","[0.04237831306726296, 0.04170876196015861, 0.02166255165793903]","[0.08561120604691445, 0.07109374060142216, 0.04195759001128861]","[0.01852225521536192, 0.0047098931775960695, 0.021063600463980543]","[0.6780515483555156, 0.5415617022278081, 0.4645593063518641]","[0.28140751517275464, 0.22997717918963828, 0.221506149221453]","[0.038363727546942276, 0.03030732899506177, 0.022766704375428815]","[0.16981048103367186, 0.15352340607016085, 0.1255149198970984]","[0.965207173305315, 0.9128324459124066, 0.889328756956251]","[0.9389602430954078, 0.9794222769781429, 0.608100519035515]","[0.00735732087796131, 0.009757834582964689, 0.007561950039661738]","[0.004537287597294779, 0.0038202182706047237, 0.002180510231191845]","[0.005394673097006235, 0.0025736310103020806, 0.0036072798908653126]","[0.05471866751366475, 0.0432200335313652, 0.022703702929502655]","[0.004349090313210441, 0.009111185039874119, 0.006272517970392564]","[0.004853390035293901, 0.003105418522122932, 0.0062439342564314295]","[0.004007402046118334, 0.006178258709379119, 0.0038661018156428482]","[0.0011529231233820066, 0.007315959445283221, 0.006087733857206864]","[0.0011653399058630205, 0.004553988282193526, 0.014578244814416224]"
0,TD_U,0.9513333333333334,0.04475,0.07243333333333332,0.014565542899642445,0.5122001262626263,0.23810474001277937,0.03934027777777778,0.1591238120939952,0.9200421188374172,0.814125,0.011266962520770371,0.005389354218168342,0.003770844843444678,0.0040120577773593135,0.02642583279346764,0.01248830330148113,0.0037495177159005207,0.004703781808328151,0.0035721819995115736,0.009993650327833158,"[[1150, 35, 39], [37, 833, 0], [35, 0, 871]]","[0.06568827247845221, 0.04367604348378771, 0.028919695859289413]","[0.1106210164184579, 0.06819035163058047, 0.04627308775621531]","[0.0238236816302825, 0.002350313645272808, 0.016994936045385312]","[0.63986709757256, 0.488510614294382, 0.4351254623450097]","[0.28271712382066794, 0.20777860380164093, 0.22901564323758064]","[0.061393251685237085, 0.034777860072558724, 0.025744317720392033]","[0.1977121083664887, 0.15236764046802312, 0.13490861929431527]","[0.967942788462828, 0.9048402960312704, 0.895042298716978]","[0.9207773623300335, 0.979455341736899, 0.5988394779833409]","[0.0027617886498155237, 0.004980220080877118, 0.01277411303549063]","[0.0062644043125892265, 0.006403891951444474, 0.003353780937133062]","[0.006721775438426279, 0.0014146993341675692, 0.006088102248300691]","[0.05465014145247391, 0.031247664902999708, 0.019696690955819992]","[0.017144079850170295, 0.026762689978559594, 0.007628710664633652]","[0.005596648670217941, 0.0033193002027594124, 0.006093076819723443]","[0.008332939031763149, 0.006807286526920885, 0.005423608155784593]","[0.0027390125163065447, 0.009396397499936131, 0.0032983079379703276]","[0.007130034860055308, 0.005282634116224362, 0.013239737691954998]"
0,Uniform,0.962,0.05733333333333333,0.09213333333333333,0.018218198975720332,0.5809160353535353,0.271927199584443,0.050326388888888886,0.17646144296237187,0.9337268041894091,0.8539791666666666,0.007011894655987551,0.009347645276871722,0.00413806852421647,0.0036378420751431288,0.04220683496021184,0.010024105519300493,0.0036666568023857207,0.003076953409239703,0.0021613966278653993,0.0054904826113517085,"[[1169, 19, 36], [22, 848, 0], [37, 0, 869]]","[0.06836954191060302, 0.061510753437503764, 0.03876428574178924]","[0.11633417734276538, 0.09179349406412955, 0.060179895038447916]","[0.022802226250375143, 0.004851083784467853, 0.02461853229864356]","[0.67926280646782, 0.5550558287375952, 0.4738568369482447]","[0.3032228217261368, 0.25815721024072763, 0.24303462867476028]","[0.06087992869230237, 0.048818532900909775, 0.037548704714112605]","[0.19924895114256308, 0.17546810120706255, 0.1469924567373997]","[0.968595301145568, 0.9221743564835979, 0.8980711583193077]","[0.9383966839237177, 0.9814070907717085, 0.621093480598493]","[0.005501138624940232, 0.01186965047004758, 0.012940081883886175]","[0.004393021963398632, 0.004970081853932103, 0.004918590276431796]","[0.004472219011103447, 0.0016415129877398412, 0.004297769318849399]","[0.056383270268580546, 0.04525485215340654, 0.02193283249091011]","[0.007094459615676799, 0.013339710530977425, 0.01625497314775456]","[0.00404911458950349, 0.007314413812389238, 0.005001281082772954]","[0.0016713732808746188, 0.004016953666764491, 0.004570418642980987]","[0.0009025632674499929, 0.003372335593117794, 0.003653877241566383]","[0.003142690344002362, 0.0047792019304974155, 0.013466305105553559]"
0,kDN,0.953,0.02808333333333333,0.05785833333333333,0.012136388366828945,0.5723535353535353,0.24347971831972465,0.029666666666666664,0.15498029321308243,0.9274945203449935,0.8507708333333334,0.012494443209327542,0.00748609822715857,0.0027260000713295787,0.003440762219926478,0.04461698650875797,0.006460956738582521,0.0021888223516395816,0.0032389501891046247,0.0026677661989250785,0.004428369911089672,"[[1151, 22, 51], [38, 832, 0], [30, 0, 876]]","[0.03486093743461236, 0.032499955861821174, 0.01573169012236167]","[0.07376172655294744, 0.05844899594884958, 0.037499159764365624]","[0.012759866154139293, 0.003998717622143705, 0.01863068410750362]","[0.6786480009592972, 0.5416189511433631, 0.4676083954595652]","[0.2757496494249785, 0.21695263912200255, 0.22693507362862433]","[0.03782535873093272, 0.030496457004120243, 0.01869892327718854]","[0.1748834438638199, 0.15385534202837922, 0.13120166851239315]","[0.9650060015069443, 0.9124702368244881, 0.8942587084090597]","[0.9436632185427924, 0.9792194275798869, 0.6202924858013639]","[0.005265407679110697, 0.013755468951883202, 0.004605749000663713]","[0.002035477510854696, 0.006408792604526688, 0.0030932243622991476]","[0.0028501011772932737, 0.003936932213703267, 0.004411997216651487]","[0.05666612878104835, 0.05239136799174219, 0.024300935121955258]","[0.009057358779269088, 0.015119968875331548, 0.007595911800383346]","[0.0026998062580720684, 0.005171004044373709, 0.0026405254117887423]","[0.0024122678108042285, 0.006075408718702815, 0.003008073704524019]","[0.001389145689974716, 0.00574587072749002, 0.003047015904119177]","[0.002484839048623182, 0.004193257474296061, 0.007102397433869748]"
