n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.6273400317292438,0.298146537303446,0.42482435597189694,0.4604156332795954,0.5399794717472649,0.434637809108337,0.41784153005464475,0.42821694003259747,0.9827018285181399,0.8001092896174862,0.06248414700057008,0.06143632944845402,0.01601432146896368,0.06789648021039328,0.02947568257419252,0.021707873561108225,0.044045784152526475,0.025679224664450752,0.0022734427355555003,0.018076931194319964,"[[145, 80], [34, 47]]","[0.03718498803273814, 0.5447786557521408]","[0.17884413799154739, 0.6586506116429829]","[0.23390310252832283, 0.6749928099940566]","[0.541966493458151, 0.5383766836314265]","[0.2277594556229346, 0.6310428652470679]","[0.18939727003439877, 0.6354613290649759]","[0.30702161237896125, 0.543278578018501]","[0.9735521486755785, 0.9914526061288754]","[0.7160539396096055, 0.879304140983372]","[0.033082862883876726, 0.08086454773064176]","[0.01738339373924034, 0.013128479210116098]","[0.03931461859146796, 0.0772136358481679]","[0.025683625171540533, 0.038193872353171336]","[0.00978764978235149, 0.028603507847609424]","[0.024836946504237616, 0.06739309435046736]","[0.029096381129662483, 0.016106539941670238]","[0.003506625537714789, 0.0014687419263469735]","[0.02058029300652128, 0.021130673604205466]"
0,DCP,0.6275515600211529,0.3487955838072934,0.4550525259284042,0.4596322356860318,0.5551843902756562,0.467460731751824,0.4470269320843091,0.44894635637222624,0.9840062220434163,0.7971339355414296,0.029730355984155642,0.06635495158030139,0.016886312522561706,0.06653830450163867,0.038933956722128106,0.022999972368986585,0.0648795271702363,0.0167175834793773,0.0014223542797115742,0.01985626992523878,"[[147, 78], [36, 45]]","[0.05042494640359061, 0.6286092816397295]","[0.1938557590311117, 0.6992756312147941]","[0.22781208511596773, 0.6756197782993515]","[0.5293772352985737, 0.5794147061085854]","[0.253657528496485, 0.6663356494287982]","[0.20662002175520983, 0.6690005764711071]","[0.3157712344629296, 0.5731395809731352]","[0.9749241694342811, 0.9924205886192439]","[0.7335928871309617, 0.856069703677206]","[0.021991088913175055, 0.106733269113622]","[0.02617945138964219, 0.023731621227910525]","[0.046049361750779845, 0.07487592400398344]","[0.03281727773579387, 0.04367447821212448]","[0.01814099088878575, 0.023762304046651094]","[0.053410565838557134, 0.06258712943169105]","[0.023374520044887048, 0.014996095625031647]","[0.0021716487449007543, 0.0007109218396503187]","[0.020445728519753827, 0.03732117046740317]"
0,F1,0.5814383923849815,0.35540314486450314,0.448225493476079,0.47424077040234236,0.5585650710473344,0.47141492596302426,0.44820681387309025,0.4363863227165628,0.9831110330003723,0.7314754098360655,0.06370698744388212,0.024175014075552687,0.03807100985235207,0.03294793692665088,0.03861528800709385,0.01562252322115054,0.030464198149041794,0.01901814286494104,0.0019386189209181072,0.020893279956108107,"[[130, 95], [33, 48]]","[0.036724182037590425, 0.66055799463526]","[0.17642829579219807, 0.7070400345479567]","[0.23279989019109756, 0.7049678573601795]","[0.5283019772143692, 0.5883104735124495]","[0.2457607884450792, 0.6869433676526628]","[0.18499189998630677, 0.7026086173035626]","[0.2907327111180837, 0.5764400883154746]","[0.9727517038302377, 0.9932331680710682]","[0.6552224593700332, 0.8032413194139831]","[0.019094897662682714, 0.041955507033676065]","[0.022843396584561255, 0.03702896596634256]","[0.03981755463953826, 0.03700053869684253]","[0.03740125785790992, 0.030933386100103058]","[0.009909268681852754, 0.010590048526002946]","[0.03550839853505705, 0.05951022704322976]","[0.01652762308905684, 0.02244248410129132]","[0.0031440264788614256, 0.0012135041186056067]","[0.008212404064349756, 0.02544316291846039]"
0,Hostility,0.5814383923849815,0.2107828705252593,0.3857985948477752,0.4666952532061043,0.5065234941481547,0.451569849966351,0.3888737593398015,0.39921677169632563,0.9788463481295683,0.7995617263298762,0.05819551397311485,0.04850896904191619,0.01756478745456574,0.051586136526683056,0.034931044729710835,0.02317662997372515,0.04317755661427849,0.02053610720608928,0.002427940790800486,0.022452037320098553,"[[134, 91], [37, 44]]","[0.006668739330620649, 0.40690085915301333]","[0.13368706642657138, 0.6290620162941064]","[0.24692157061859196, 0.6789281033561384]","[0.48447983517654575, 0.5283263828866841]","[0.25444261634133314, 0.6407102875103432]","[0.13468558520237922, 0.6336289133059438]","[0.260832267193839, 0.5319589226231336]","[0.9660858645686667, 0.9911688017712432]","[0.7390624892402685, 0.8587183061613024]","[0.006313682255231535, 0.08100054198950987]","[0.01492018690651396, 0.01587347022947156]","[0.0225853529211863, 0.06917608494283255]","[0.031431910060584344, 0.044808710864860775]","[0.010314564903635777, 0.029531367827361946]","[0.028161546472758883, 0.0579413177087365]","[0.011207003251196938, 0.02492132705291997]","[0.003463581046552197, 0.00169397545229066]","[0.015639407379355985, 0.043942529655528924]"
0,LSC,0.5915388683236383,0.3578487788558046,0.4103011040481766,0.49111698266223514,0.5365467473694576,0.4764349714573174,0.3985884353741496,0.40424124678806483,0.9769230196734187,0.7908453217352515,0.01887378890857335,0.02365303022635592,0.014110693255362253,0.03635765754224033,0.05005184626900531,0.015905851097689196,0.052051133319963735,0.0138628517703304,0.0011114607861970767,0.009325104575559974,"[[129, 96], [29, 52]]","[0.026617197742258097, 0.6411755313439245]","[0.07310237420094032, 0.6976467945965584]","[0.2409197175603608, 0.7042169836670419]","[0.4898545545480212, 0.5759400936118413]","[0.24434193711329924, 0.6740980058800266]","[0.06730153478990769, 0.6814216446615142]","[0.20698139259622667, 0.5720908987253038]","[0.9590040383067727, 0.9921798356305459]","[0.7349560023357601, 0.8384708896191828]","[0.0199294983842367, 0.05403192701453335]","[0.009060389974400045, 0.020378664192219162]","[0.029875240934606428, 0.037558763590729106]","[0.03917056519569084, 0.048769319827287674]","[0.006803390336340226, 0.020147007081941365]","[0.027232622639313128, 0.07591638071958844]","[0.012491684051145079, 0.01969901969258558]","[0.002188968044436415, 0.001672962929399411]","[0.013322884991605092, 0.007442903084574136]"
0,N1,0.5979904812268642,0.34722649715623954,0.4122676480428237,0.48124953998963543,0.5524506065712179,0.4675477969653876,0.3238575889372142,0.39874792722649344,0.9792617346263841,0.8033868629418981,0.01971373888638284,0.030734741301381978,0.009028721032693815,0.044223196006792954,0.033291592501851354,0.005547296468226802,0.06483199457064653,0.012249364663309574,0.00036198602278860495,0.01094885764306198,"[[136, 89], [34, 47]]","[0.04811775534993119, 0.6231729775363984]","[0.12102313781853072, 0.6794011746541221]","[0.2463184667145129, 0.6966323985499677]","[0.5191217306970578, 0.582785516504728]","[0.24621127856762232, 0.6712684138352669]","[0.0197506083745314, 0.603160687810585]","[0.23813263726006192, 0.5461803975347979]","[0.9672779029703156, 0.9902163265702073]","[0.7548345345492264, 0.848907460410174]","[0.029371282966777996, 0.060337882854405146]","[0.02188036988958062, 0.01978505708730693]","[0.023886065205166028, 0.04668609146776481]","[0.02256590718395958, 0.03574470921267383]","[0.008350139826783778, 0.018778677218611095]","[0.005766374145427888, 0.10600566632313937]","[0.019061080686400986, 0.015083679084359107]","[0.0014826200980640532, 0.0015392084184111397]","[0.029424032057834098, 0.02291249652675926]"
0,N2,0.5718138551031201,0.3006356641017062,0.37549749079959854,0.4703426335108059,0.5248482466306645,0.4585954379921084,0.34639611910337903,0.30760132198256235,0.9751784073674651,0.7853986840637894,0.019906079487331117,0.04252254331971765,0.024538359115278612,0.04608631879108235,0.03763300562622524,0.027275167631898915,0.04846739358797999,0.013598490348806258,0.001992360075974883,0.009328294194906274,"[[128, 97], [34, 47]]","[0.014710800793810772, 0.5703170515098377]","[0.08798800285080773, 0.6484497698896151]","[0.23653896763616986, 0.6924655250122838]","[0.50461766538413, 0.5438238999753867]","[0.2414739251498032, 0.6635581416864474]","[0.09346460177079632, 0.5861323312073539]","[0.15021971187131428, 0.45727301885049965]","[0.9617444153650938, 0.9879306988218358]","[0.7151243938834015, 0.8524223119269312]","[0.011882064168915487, 0.06369292996575744]","[0.012860768499417762, 0.022367194525336236]","[0.03533665275492571, 0.05172436228347428]","[0.033032422519905076, 0.0371219492555137]","[0.00972968634683482, 0.02484037997509717]","[0.025042895654956536, 0.08088744342694354]","[0.012074528392334633, 0.020547700045655835]","[0.00415971484551903, 0.0010335262450739545]","[0.01001926659880386, 0.021666643117006675]"
0,TD_U,0.5820729772607086,0.31860153897624627,0.4318581465373034,0.4699108103838291,0.44903775615812896,0.4651791536680328,0.42725214676034345,0.4191507438658723,0.9808180934323847,0.7946336567413851,0.07029577182409158,0.059899808008911724,0.05215262529881936,0.03145974557782479,0.03814974038276559,0.026834136043626063,0.034391160610382526,0.03161466460173381,0.00453199582870172,0.026518140541100462,"[[135, 90], [38, 43]]","[0.051517072652142934, 0.5944822424382596]","[0.18131609655395248, 0.6891626432683167]","[0.2519447882262048, 0.6951778753577166]","[0.40477988752922, 0.4934655680373773]","[0.26451670512438363, 0.6705727139903266]","[0.18825610332875545, 0.6757190118019685]","[0.29207168043588416, 0.5490061089154947]","[0.9703850942003216, 0.9917262575384065]","[0.7428337326154337, 0.849214797539811]","[0.027586986598936013, 0.08011166590615897]","[0.04371075581326433, 0.021753484690012485]","[0.020802964015911876, 0.048627548409712396]","[0.03028671023895981, 0.04536547372611938]","[0.019589964169664697, 0.017950863474016764]","[0.046595828293254454, 0.031921499484074196]","[0.02938299845859463, 0.02001183251619731]","[0.0057639389377250345, 0.0014758894303975503]","[0.01958844208692397, 0.03659081170326717]"
0,Uniform,0.6275515600211529,0.22960521913683504,0.3408497825359652,0.3718358630989322,0.5386536184010625,0.37353466540829083,0.3423371807739489,0.3880321184652003,0.9791466532884179,0.7707036913125906,0.03944307885452873,0.037936425971706884,0.022247832021892025,0.023225134483223876,0.02174449540342888,0.011713423152376697,0.0455626007468452,0.01684102055538378,0.0024640850030418025,0.01645435064881781,"[[164, 61], [53, 28]]","[0.07715881917158007, 0.6502489879638468]","[0.2081479770181688, 0.7061214415514566]","[0.25304162143640674, 0.6997808834103576]","[0.5242112645867707, 0.5784702440408361]","[0.261171571025845, 0.6831860962914376]","[0.22113049870664167, 0.6783076022136398]","[0.31880848400187933, 0.5792484586920036]","[0.9743182441724759, 0.9925444206354026]","[0.7496419277253611, 0.8286384041775376]","[0.033145681343472254, 0.026563676391375034]","[0.020135750895052144, 0.015551320406401167]","[0.01589763646735143, 0.04285042763151275]","[0.01740325298417648, 0.029016537746675043]","[0.011547418774985045, 0.017932280133379386]","[0.03254667978218881, 0.07757213249531726]","[0.019200785494769963, 0.01475684483440833]","[0.0026111126912884675, 0.0021434591488914785]","[0.014177740882145094, 0.033815721578085815]"
0,kDN,0.6075621364357483,0.2687888926062228,0.32107929073268654,0.46155774658539117,0.5185460672739641,0.4415229193124254,0.33299526039924165,0.3642860174291852,0.9739659301153681,0.7933188357310137,0.06409167620688248,0.04942107759573796,0.013125323388011078,0.056076334996917866,0.034397755303050614,0.015229940115134575,0.04846560250483105,0.01192955800530731,0.0014742888541787477,0.017482526396151908,"[[137, 88], [32, 49]]","[0.027010645011911073, 0.5219850378901887]","[0.05740202434365649, 0.597399388673743]","[0.24205867986342455, 0.6895708683315849]","[0.48238245984282707, 0.5559492646397146]","[0.2418849200966114, 0.6500779726427893]","[0.0755969869439436, 0.5990201534781164]","[0.20622862617315066, 0.529872967758328]","[0.9586794226903447, 0.9898322660179062]","[0.7429947603362481, 0.8460778694098317]","[0.020715202406778745, 0.071984627873724]","[0.005273087208816666, 0.03167604602629258]","[0.028522126904909885, 0.05526611332887808]","[0.028217903763259434, 0.03306460365834165]","[0.009802461368705, 0.015253875415860128]","[0.015779438184988476, 0.07200033660330354]","[0.008665162008359602, 0.02553069394154857]","[0.002757383542123293, 0.0021757898031734553]","[0.02334821802011523, 0.029769411600552843]"
