n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.6207826546800634,0.351288056206089,0.4532686517229843,0.4593995436481828,0.5379371032325739,0.4632163653352688,0.4695118768819002,0.4499138032283029,0.9845545276296555,0.8047351399576224,0.026410876506033028,0.03989530092705238,0.013520566465228114,0.02162684153662219,0.050092926698192534,0.005359821347970055,0.05010107296345072,0.016386421170162476,0.0007489220356188815,0.01195030944282262,"[[143, 82], [34, 47]]","[0.09613548168629149, 0.6707286810391047]","[0.23698236998026978, 0.7234485297332465]","[0.2630553697737706, 0.7048291729818402]","[0.5143805967436077, 0.5674941384231115]","[0.27936732492627625, 0.6933592634815677]","[0.2725081792254659, 0.7161215721706606]","[0.3406827395265276, 0.5864697944805651]","[0.9775691141060179, 0.9933035220412695]","[0.7833541687627879, 0.8312513515029252]","[0.042865894382804526, 0.07362674271195131]","[0.025692188380329283, 0.01925000486887788]","[0.007362549157900898, 0.03716199426243631]","[0.04069836649017744, 0.05738848225862434]","[0.008862150211245307, 0.01359236948397145]","[0.021152311934458636, 0.07787138542099786]","[0.01912427127398528, 0.019992987935233963]","[0.0011325912156343913, 0.0018874713033430808]","[0.012451721211863697, 0.013038792728972962]"
0,DCP,0.6471179270227393,0.2851354968216795,0.37709267313482775,0.4031277911226522,0.5400817088229635,0.4028997941716539,0.38942210326753657,0.4136164451031141,0.9812149031239933,0.7834850005576001,0.03868243211878177,0.01974072864520009,0.03559915911183762,0.02494723220842699,0.03677081641011235,0.024064509435084022,0.036883920284969306,0.02118475673820302,0.0028719139894515795,0.01009548196933917,"[[158, 67], [41, 40]]","[0.10171350723650249, 0.6600077938737636]","[0.213739816835761, 0.7143778332761254]","[0.2580636647831157, 0.7026621242190544]","[0.5247905953125461, 0.568361192043759]","[0.26388085442150666, 0.6890222090344187]","[0.23531215732955402, 0.7104558970007403]","[0.33144002455887084, 0.5843786049299221]","[0.9754783608023573, 0.9932340215844793]","[0.7595235294771487, 0.8321032520303684]","[0.037329578302580095, 0.03638569000890023]","[0.017015900852651266, 0.024188753685188052]","[0.00887093039659805, 0.039230911517904976]","[0.02980592080496984, 0.050655724994819455]","[0.010131336160048863, 0.011330527767329136]","[0.02955448770562378, 0.039530817505457866]","[0.011713829375244487, 0.02986672620474433]","[0.002797425404838719, 0.0015763608822684546]","[0.012365836498254732, 0.015350709323649585]"
0,F1,0.6569011105235325,0.24675811308129808,0.3777985948477752,0.3829247238858108,0.5478774564680853,0.3829054592423377,0.37769253931080626,0.4090978011330052,0.9825263809999377,0.8622092115534737,0.042898738124051594,0.03262104293783678,0.015379812630113017,0.022235716510823497,0.029402855905372317,0.009363191362748775,0.02796696859716787,0.016439839449421494,0.0013438651371600067,0.009442446404783509,"[[175, 50], [55, 26]]","[0.09442882694718084, 0.6216686930854287]","[0.24242426892410113, 0.7088600707034842]","[0.25663584176560594, 0.6943899616882752]","[0.5354717972281962, 0.5782563714937369]","[0.26401208723971725, 0.674851438738552]","[0.24898627369587226, 0.6915314430652044]","[0.34021840073380705, 0.578201559297784]","[0.9782191905066812, 0.9930552854277647]","[0.8396457992533144, 0.9181859826018897]","[0.022645456231709802, 0.09625749146517572]","[0.009437271185057943, 0.027854078978237308]","[0.010632366801478488, 0.050066188613729426]","[0.02084866719767875, 0.03948738039661055]","[0.014007826212739842, 0.023079832263322584]","[0.007210746302361331, 0.05660891743420778]","[0.015587176425487946, 0.01285810362464519]","[0.0015133061067052628, 0.001175608216886972]","[0.009825546341131895, 0.011601117639406631]"
0,Hostility,0.6409307244843998,0.3741987286717966,0.4354399464703915,0.4202273495234488,0.5641251360479338,0.4205722403008433,0.4693495037359206,0.45768832271398124,0.9865251873255941,0.7881298093007695,0.0936169532163526,0.03722944229273093,0.020961976225704008,0.023066339957047197,0.030676747389213114,0.011758949678716586,0.05669660779452715,0.007683826196679273,0.0015725017968351543,0.016843092433614013,"[[159, 66], [44, 37]]","[0.16356705891522244, 0.7629547147100338]","[0.2700219490924863, 0.7417874202235905]","[0.2571310161777419, 0.7211066598301399]","[0.5392581306181542, 0.6101490066991214]","[0.26766140823891044, 0.7038522425622645]","[0.3217669244224582, 0.7416090941498743]","[0.38881588180358706, 0.5855188153091346]","[0.9827450479242291, 0.993600569985488]","[0.7780806586313751, 0.8059663300975359]","[0.039894018493461796, 0.0834844138540337]","[0.015307963551179252, 0.017337421640250796]","[0.010146482300968469, 0.01968677553520834]","[0.027250608718661258, 0.033910339131805134]","[0.00844503890562752, 0.013068513361478228]","[0.04915872837777947, 0.07150679543413553]","[0.011420090978872696, 0.02290540685182148]","[0.0022240094702934967, 0.0015740568163372184]","[0.012258937277130367, 0.0289064878875289]"
0,LSC,0.6307773664727657,0.34719973235195717,0.48870257611241213,0.43876234968007655,0.5694262842950187,0.4384164716911756,0.5402700457232072,0.5164115483962214,0.9926334085470436,0.798472175755548,0.05924137680513515,0.024456298722275432,0.020458251582918165,0.03155988634569363,0.031126524818177827,0.017982227572971254,0.03888924096648182,0.013465071265058297,0.0010630427025298387,0.009296643401974593,"[[152, 73], [40, 41]]","[0.1482655793025979, 0.6563567874947033]","[0.33211365347714705, 0.7357102049764866]","[0.26673667033845333, 0.7053164169050292]","[0.5583337114326108, 0.5864976167412057]","[0.2793533823826042, 0.6881229837742554]","[0.38752877056333396, 0.7784911246759562]","[0.44797432318922115, 0.6233537292508882]","[0.9901283167489655, 0.9965378585091236]","[0.7782680058540434, 0.8303268902014114]","[0.029395445591435518, 0.04784295643261908]","[0.027805163876289098, 0.021319053018355086]","[0.005297614479331422, 0.04203329853595068]","[0.01979150268105866, 0.04000496116864599]","[0.014049746962088867, 0.02014764329564675]","[0.03788925488734235, 0.07651967408831616]","[0.026422222386716668, 0.01937105563423276]","[0.002435696010335878, 0.0014271175822923802]","[0.0038423280883496686, 0.02080708103195548]"
0,N1,0.6079851930195664,0.3088123118099699,0.43202007360321176,0.4230015329190465,0.5452039299326288,0.4227018333005644,0.5036371696219472,0.44885990478589494,0.9856266865585566,0.7932976469276236,0.047469430137872415,0.03780443927674932,0.013976536525597445,0.029291723417906253,0.04324101919020075,0.020386433858924725,0.05348705110846124,0.009915462265313051,0.0012575839779033974,0.0053519617297373406,"[[151, 74], [46, 35]]","[0.12004662004662006, 0.6418695357534281]","[0.2637255244755245, 0.7320823244957206]","[0.2626273210248867, 0.7072835462470417]","[0.528328268953269, 0.575178805488322]","[0.27227740823970276, 0.6902702104125955]","[0.3380551670551671, 0.7938937208980212]","[0.3628910236876873, 0.5991716416028495]","[0.9802298934771002, 0.9949237378839555]","[0.7739403651903651, 0.8291977358904496]","[0.03628714461017374, 0.04799445588790312]","[0.015199169902713404, 0.018083900008393685]","[0.007482934151435244, 0.03357343415647527]","[0.03832509317610762, 0.04421759501657865]","[0.01115662518381222, 0.015467189889688869]","[0.031127177037652935, 0.067620218839974]","[0.018732603395452668, 0.023978365355015685]","[0.0028754689303708975, 0.0013329320438395687]","[0.004918032080265202, 0.014557550204283369]"
0,N2,0.5915388683236383,0.3431214452994313,0.46421144195383074,0.4294663678035312,0.5688236445722227,0.4331268736495737,0.529490743838519,0.530875802587766,0.9883617352442091,0.7965696442511431,0.024999297366073488,0.05254244657408975,0.01151117796376924,0.019632700089278424,0.029582670123791194,0.011673330939578612,0.04634923696245882,0.007902535874268124,0.0010242517475456676,0.004603586319345932,"[[149, 76], [49, 32]]","[0.15530072358035568, 0.6489902619063936]","[0.3001081921525358, 0.7285512768720765]","[0.26018330150527, 0.7060078102948258]","[0.5527046794315511, 0.5951500593994559]","[0.2740869650369885, 0.6924115934005419]","[0.37865696621573874, 0.7770181307156926]","[0.4622381084377693, 0.6422318564239309]","[0.9839475185753462, 0.9955469143322906]","[0.772111813321457, 0.8360798088446945]","[0.037336581367117316, 0.08033844432402631]","[0.03443318922670765, 0.02105302866630208]","[0.007058933999504796, 0.03825608160910554]","[0.014579744961509957, 0.05102482261031058]","[0.011758504759685935, 0.019173081082556862]","[0.046314969968454564, 0.07260624061821026]","[0.010642058720320204, 0.01253930508881372]","[0.0010662531410361878, 0.0012978311515599835]","[0.00787259847581569, 0.00883835853609769]"
0,TD_U,0.6471179270227393,0.2655269320843091,0.36631114084978256,0.38349158727282706,0.6165428063677281,0.38200778842318883,0.3890387532062005,0.41590463804170563,0.9813492611227719,0.7791446414631427,0.0569488612821366,0.03721900225054276,0.03272533752408346,0.038182914313466175,0.02350238802002227,0.029470857483698237,0.029218016577017884,0.024134751372258872,0.0024678496312569107,0.009534479238231664,"[[171, 54], [54, 27]]","[0.08006383556808819, 0.7028452473001334]","[0.21592921254780673, 0.7327478595078072]","[0.24913531421916219, 0.7097494506897423]","[0.6009199012224953, 0.6579032848912555]","[0.25380783929286316, 0.6933579934184774]","[0.24116717721536132, 0.7511573949768651]","[0.3397678240562342, 0.6047974460026833]","[0.9763830314894812, 0.9935973198595105]","[0.7621032928900757, 0.8205804087728789]","[0.048898585158998586, 0.06819862649060209]","[0.0062194170677146885, 0.03682421948006181]","[0.019898227040047584, 0.03100227825201744]","[0.019812831628677526, 0.030115768924470085]","[0.00744838803863059, 0.018474055873918083]","[0.019425454175713067, 0.0540565492503495]","[0.02462400205420441, 0.03951127387567199]","[0.0024780607057087825, 0.0013600079656344054]","[0.012328477365523529, 0.0129278484974321]"
0,Uniform,0.6502379693283976,0.22142857142857145,0.3385593844095015,0.3690147783489717,0.5437298965253549,0.37331200662949,0.34740621166499386,0.39528639998070103,0.9792820845635319,0.7848790007806401,0.03682734291634043,0.030011104428270895,0.018861138005988154,0.02968605751019072,0.03978786903842404,0.014180358699535617,0.02956141914365013,0.01706220339128507,0.002491685955124772,0.018185189958497685,"[[173, 52], [55, 26]]","[0.07648515267049097, 0.6168734748021676]","[0.20470866390511183, 0.7042545874871851]","[0.24991182008835802, 0.693835437698391]","[0.5194153539894593, 0.6094318144067221]","[0.25997815546772945, 0.6817112652117354]","[0.22241352150607047, 0.6922344115552944]","[0.3296120901918923, 0.5746012949242861]","[0.9746001431158919, 0.9921225088325046]","[0.7565237489807719, 0.860677557146148]","[0.03541847945532808, 0.07248704306575235]","[0.011251183677356858, 0.038457076627124026]","[0.018916470154688808, 0.05029338622039367]","[0.031090147309261212, 0.04379449826417252]","[0.008795540590326762, 0.010055688853230221]","[0.014683371256722243, 0.08052511926581167]","[0.016370595430131592, 0.022342556137879038]","[0.002519623714570824, 0.002342476889542884]","[0.019035237578824978, 0.021849965810398744]"
0,kDN,0.6435219460602856,0.3464034794245567,0.47762863834058217,0.44252653686926574,0.5504969886080897,0.4426703270907109,0.491256049960968,0.4689231141458802,0.9875243687852769,0.7957410505185681,0.050189377819764666,0.034654479043019985,0.014057346846777372,0.01685092430386698,0.031154556869071797,0.013751667188656069,0.05206213261789926,0.011329440718924194,0.0004308326861371979,0.009077726369880457,"[[164, 61], [48, 33]]","[0.11968491569289588, 0.6805910768953323]","[0.294798630051541, 0.7460456397057333]","[0.2636977826503145, 0.7055578263095794]","[0.5316315398323137, 0.5796923809793868]","[0.271425808701926, 0.6931616547533619]","[0.32381041561308777, 0.7352651572092073]","[0.3847679592816826, 0.5919390729470054]","[0.9833277963249122, 0.9936470096088366]","[0.7678698248284126, 0.8376342669243912]","[0.01683265080538599, 0.062232526319039604]","[0.01488344203164573, 0.02248467459134237]","[0.006503249573251157, 0.03575267487581146]","[0.030273750641168717, 0.048362807230804626]","[0.006326273675563017, 0.016186320645780333]","[0.05275927600461654, 0.04573395876597206]","[0.026939033648015604, 0.01719597285465555]","[0.000968831543037793, 0.0008610819224838218]","[0.009714703148638149, 0.02004647116899002]"
