n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.8146666666666667,0.018333333333333333,0.0755,0.08132374669827827,0.4501270181795067,0.13572227761167555,0.07263888888888888,0.2136768951169897,0.9713599078517585,0.97325,0.019944367068868776,0.003941851651755104,0.006149469263458618,0.004302092674423838,0.0614340613494117,0.006228372365221001,0.0055393644270956555,0.003237501347480165,0.0038703082469612182,0.01738965708722027,"[[1199, 304], [252, 1245]]","[0.01960030331270815, 0.01695153358084733]","[0.07414344507849469, 0.0769826435587144]","[0.07616265613139456, 0.08685173341680087]","[0.4362258998491669, 0.46483213488286107]","[0.13033282989067538, 0.14145709293580638]","[0.07095585734349794, 0.07448972740099438]","[0.20012173619797094, 0.22811076283417955]","[0.9650448103726561, 0.9780892793685899]","[0.9723278277737684, 0.9742260786098837]","[0.0035784164255010407, 0.004805525963316923]","[0.008974007865793741, 0.004212745682317914]","[0.007597294707522459, 0.003006447871094652]","[0.05525409615897717, 0.05855104627717356]","[0.00490702281412442, 0.00668264421976012]","[0.005710558581465045, 0.0072929367462997415]","[0.00378571128700336, 0.004229761563294855]","[0.0029568319576306866, 0.004443667622909365]","[0.022556487219762163, 0.02783534745974476]"
0,DCP,0.8123333333333334,0.021,0.058550000000000005,0.052061347911440035,0.4074670825614762,0.2084075206891999,0.05824305555555555,0.19522888385728893,0.9682566344022778,0.9666666666666666,0.017661949055651924,0.004531908477059575,0.0030257001026392396,0.004174754657474823,0.05077276008595091,0.00548903323399249,0.003064872946886305,0.004351342600353741,0.0027610737985339175,0.011318272775079713,"[[1211, 292], [271, 1226]]","[0.019132272776071733, 0.02343173706617196]","[0.052835679021797456, 0.06587211579944002]","[0.04376700730663087, 0.06266195204089339]","[0.4075304892217627, 0.407558070351923]","[0.1925296831566106, 0.22878184595380993]","[0.05405331950679226, 0.06363755081260039]","[0.18407057157704615, 0.20944815442671513]","[0.9650615430731089, 0.9722527165235588]","[0.9737667751523341, 0.9571795712007807]","[0.004545335060334435, 0.004037207471555239]","[0.004540677977327673, 0.000926687532908983]","[0.004132448349851797, 0.004119473867839464]","[0.052544533673460146, 0.03961255591684667]","[0.009297667412044675, 0.008786229948703362]","[0.005583923323227737, 0.0031498882524357333]","[0.0065335052173906725, 0.004655868370340189]","[0.003579871768716506, 0.0035959830006647335]","[0.01982335114501257, 0.012093019549647512]"
0,F1,0.807,0.09716666666666667,0.14733333333333334,0.1451701717184144,0.45034196224256295,0.26653826498530336,0.14533333333333331,0.25906063233144916,0.9766400110868345,0.9762916666666668,0.014879142747110432,0.006610439975271435,0.005470247810758766,0.012461599739047173,0.05414276548180145,0.005778599270562831,0.006033459463844254,0.004355559700253354,0.002133190498055696,0.011407462835062505,"[[1150, 353], [226, 1271]]","[0.09661438485561438, 0.09759720899806353]","[0.14584543073310194, 0.14886184605702263]","[0.14317272956815008, 0.1473143191672975]","[0.43684542115315794, 0.46416794172195397]","[0.26502335642190933, 0.2679445383308508]","[0.14850717575235142, 0.14203596941065924]","[0.2518503850498364, 0.26649246935280013]","[0.9733323666162239, 0.9800356243503172]","[0.9794350004156718, 0.9730466155571398]","[0.007656222041846445, 0.007552239415528396]","[0.005624849660650825, 0.005828296497049205]","[0.01336761429921043, 0.009551482937001397]","[0.048594123737076764, 0.050698905068665624]","[0.007243420848996992, 0.0064984400363045335]","[0.00697086104781748, 0.005410381663791328]","[0.0045992515215210125, 0.007070530793029264]","[0.0019706605662533983, 0.002877063425078024]","[0.014246620326733569, 0.011783587622239255]"
0,Hostility,0.8043333333333333,0.010416666666666668,0.04666666666666667,0.06423028852369114,0.41269310050488545,0.18663727103135389,0.04370138888888889,0.18041251614173034,0.965500140194937,0.9614166666666666,0.02253392504154077,0.0019320038532282713,0.004325313090786994,0.0043779375589195505,0.057024670238869646,0.013179055126293058,0.0038284773237969097,0.007900055144495103,0.0048853332738728085,0.019260639195577675,"[[1169, 334], [253, 1244]]","[0.008584976118901935, 0.012573982606028567]","[0.038443633177596824, 0.05625938874904479]","[0.055500301790893325, 0.07418877482053496]","[0.41294778189896036, 0.41261347213226696]","[0.172080840413609, 0.2027107487246524]","[0.035324483190240265, 0.0532096015047378]","[0.16729646684869454, 0.195602642406252]","[0.9609495002955308, 0.970835871274301]","[0.9657974100617055, 0.9579115412625987]","[0.002266315979043571, 0.00428820751545334]","[0.0036848464279868793, 0.008538524749113825]","[0.005670830487687222, 0.004978691673423452]","[0.0536031436922542, 0.05181831706652245]","[0.006694404486451228, 0.025149069127849897]","[0.002029268909311279, 0.008028885860700568]","[0.0023457036534216716, 0.013954147571511682]","[0.004197808157066842, 0.005815413560634095]","[0.025669534844574397, 0.028156937594245056]"
0,LSC,0.7993333333333333,0.03283333333333334,0.05391666666666667,0.0794489199470195,0.41100972880570985,0.2167768163118952,0.04618055555555555,0.1746176008208523,0.9628668821108899,0.9657916666666667,0.013468069233891313,0.005522994859876498,0.0030328067308463057,0.004464939489507821,0.058584047209524974,0.008527036288696983,0.0021998658418690524,0.005528396206091813,0.0045035059388009524,0.0159965545335377,"[[1074, 429], [173, 1324]]","[0.031719114454291306, 0.03401187365036898]","[0.048988200327694936, 0.05954423362352501]","[0.07095800340160201, 0.08911312487130751]","[0.4113965953577249, 0.41012861633476155]","[0.19847404473737662, 0.23763392682503365]","[0.044793807253764084, 0.04765665650144512]","[0.16838286432342833, 0.18177154616912597]","[0.9583555043047258, 0.968046177998508]","[0.9736298380679301, 0.9570392090793011]","[0.005989052964994296, 0.00595530254958755]","[0.0059895266324936965, 0.003689520080086522]","[0.005344429206939639, 0.005676033058383492]","[0.05639622562666196, 0.05192825209151989]","[0.005210094441743069, 0.011409800730181401]","[0.006622670047264673, 0.003512734135139037]","[0.006126777795278224, 0.005192465104109082]","[0.004133346098797005, 0.004700467386859384]","[0.02371136661580096, 0.01564634888582494]"
0,N1,0.8103333333333333,0.026166666666666664,0.05736666666666668,0.0832809546111147,0.4271611569685082,0.21775915744139315,0.021388888888888884,0.187380397718453,0.9715977771172236,0.9710416666666667,0.018461672008064,0.005395793114393224,0.0034347084624786173,0.009695697851910014,0.0580807289914319,0.008401948342131293,0.0024697973048110346,0.0031150681975345043,0.0029911086769116415,0.011952415783244684,"[[1242, 261], [308, 1189]]","[0.02256059440985141, 0.030044464872953553]","[0.04989705362519302, 0.06512899576383306]","[0.07495859459056, 0.09197956198629906]","[0.4200221306051419, 0.43491682342290616]","[0.2150409752474416, 0.2206389232431698]","[0.019746800245140698, 0.02309413973071297]","[0.17720187907711735, 0.19793944835953683]","[0.9680234125600491, 0.9753216881433449]","[0.9749955647807729, 0.9668835542392467]","[0.005611522142148656, 0.005987574596520575]","[0.0026481617123789544, 0.004274710513304579]","[0.008736918785458521, 0.009132594767107694]","[0.05349383264234155, 0.05305421395502346]","[0.007306696116264507, 0.008567316927803804]","[0.002395556998672041, 0.002146272663806894]","[0.002627047021605533, 0.005332775537902435]","[0.0024080735613377126, 0.0034014556837332448]","[0.019114982855081147, 0.014861126376024904]"
0,N2,0.8083333333333333,0.02275,0.048183333333333335,0.07227178929500003,0.40973769568849666,0.21690057276375688,0.033493055555555554,0.15131884715246802,0.9652786932600209,0.967875,0.019649710204252668,0.007208453756219538,0.004016199834558922,0.007488056225081347,0.057355035306134124,0.0060816488686571794,0.0027969822251671956,0.004882857004282172,0.0040801859069588674,0.013701302655019485,"[[1133, 370], [205, 1292]]","[0.02112828470707531, 0.024535714907705664]","[0.04666973700091388, 0.0498079683832131]","[0.0651652378876913, 0.07996309320831921]","[0.40998800847520733, 0.4088967147636449]","[0.20122279171279614, 0.2336757032102355]","[0.03231295644032982, 0.034865478148968884]","[0.14648579388506855, 0.15655439860348758]","[0.9618620800931978, 0.9689618236138351]","[0.9749615417262323, 0.9606925541732586]","[0.006212026882529026, 0.009435149041291049]","[0.0064829087398597185, 0.002873050566582064]","[0.010443648201010132, 0.0036405004595435435]","[0.05547514518979379, 0.04993436640852203]","[0.009046512479634887, 0.007920529850659793]","[0.005382552922603372, 0.002389924647834119]","[0.0029478338927728326, 0.006258758702342966]","[0.003218846819421048, 0.004923744444724177]","[0.02268675583771411, 0.01774788988053816]"
0,TD_U,0.8019999999999999,0.06241666666666666,0.09825,0.102819127647957,0.36299151865170176,0.25353581537905434,0.09269444444444444,0.21518647836844473,0.969176235740105,0.9637499999999999,0.016090024514862876,0.011563532236206105,0.010512558627132067,0.009098749506622731,0.056050803912499655,0.00766295910073923,0.010330039097439542,0.013631889344715487,0.005766515435538636,0.015701894126718182,"[[1163, 340], [254, 1243]]","[0.06355670810289198, 0.06123804649356416]","[0.09924487497889642, 0.09805812133640548]","[0.09845571542631726, 0.10797949061317433]","[0.3656859388706048, 0.3619281699694864]","[0.2497296874219468, 0.25859701119162637]","[0.09772759525563288, 0.08801709445195555]","[0.214137698691708, 0.21717471127834936]","[0.9675977975570967, 0.9709608732039149]","[0.9659706451500725, 0.9599371385300938]","[0.013048574473611144, 0.009486801258995722]","[0.013227066474462567, 0.012420558321795304]","[0.01091161962177965, 0.007876841337080762]","[0.04464648191024076, 0.059159250240954794]","[0.018373089418358614, 0.008863939823308475]","[0.016227780323190825, 0.0104798893600314]","[0.01489390422397055, 0.014084581314327129]","[0.006014868576498179, 0.004878642628587009]","[0.02301919333234424, 0.012920893513741274]"
0,Uniform,0.8083333333333333,0.09908333333333333,0.14845000000000003,0.14679694830357548,0.4502536356743308,0.26219778937723537,0.14335416666666667,0.26108715829299484,0.9768902859234586,0.977,0.022236106773543887,0.006287388169979646,0.004139326971595465,0.010651152586874312,0.05396377993122558,0.002442379995808993,0.007800515499149335,0.006534921988145313,0.002849506800603317,0.010829927349197185,"[[1226, 277], [298, 1199]]","[0.09906448009729715, 0.09910876501447466]","[0.14801918469640785, 0.1486706017895401]","[0.14421534894565466, 0.149203780274972]","[0.4373431511408283, 0.46281404856814345]","[0.26094419855104, 0.2633664269061504]","[0.144450796811962, 0.14201912393401322]","[0.2515099105850821, 0.2702804823149922]","[0.9729309773286217, 0.9807328234795877]","[0.9788999840616656, 0.9748680649918608]","[0.00717204820033133, 0.009261499292070399]","[0.006352790907919073, 0.004874981920914019]","[0.008381999731528183, 0.011513871943525433]","[0.05177194473149851, 0.047428933645316224]","[0.005584286278510396, 0.00435686704664253]","[0.010262410177086064, 0.007164619788950807]","[0.005675697561735427, 0.010872693519817268]","[0.0028013838417850485, 0.0030511202757551037]","[0.01607102335168015, 0.012648443668799284]"
0,kDN,0.8096666666666668,0.01125,0.029633333333333334,0.06745687542241305,0.4180618359758091,0.20648615647372998,0.030548611111111113,0.17857242530809395,0.9689952687269503,0.9692083333333332,0.020863311764381453,0.005145453764678528,0.0033729932305495863,0.005092079962604509,0.05371267678057379,0.006874108273218614,0.0044551060273024,0.006170531798086644,0.0036750048436958098,0.014051616158530194,"[[1230, 273], [298, 1199]]","[0.010993725293838616, 0.011524758424954998]","[0.024445794463170654, 0.03511641443177312]","[0.05818782947016641, 0.07735375490169119]","[0.41151629982992566, 0.42504701952313717]","[0.20327515136085142, 0.2100257049912885]","[0.024107059524626613, 0.03738381944141904]","[0.1688675504510101, 0.18885392741718227]","[0.9655194298641433, 0.9726686823899581]","[0.973546793034774, 0.9643374621371305]","[0.007351722749379054, 0.0024579699363570036]","[0.003829642759520685, 0.003631791953094789]","[0.006029601860855014, 0.0032594027260243828]","[0.052262321920369635, 0.048120304452186645]","[0.00704360850136966, 0.00948861256602699]","[0.0044426342335953176, 0.00473835845558565]","[0.004404049598542655, 0.007652421693204138]","[0.002879627474776379, 0.004468938897400593]","[0.020737736329703833, 0.018341354028368773]"
1,CLD,0.8099999999999999,0.035416666666666666,0.09156666666666666,0.09655984369227791,0.450283612109985,0.16704226625851754,0.08843055555555554,0.22429516441966033,0.9724648475036674,0.97475,0.02166666666666667,0.00619419531138271,0.0032180049029725756,0.008289455561250034,0.06272031818525897,0.00688064401165361,0.0034633915485429213,0.0042648600035101614,0.004171030622499724,0.014231926891870828,"[[1195, 308], [262, 1235]]","[0.035958457842602556, 0.03476536830747198]","[0.09065518961176076, 0.09248948283483838]","[0.09290176390555846, 0.10020204287227374]","[0.43944768882984936, 0.46143608637432676]","[0.1625532068928655, 0.17147337567593768]","[0.08814701300427985, 0.08862785797148472]","[0.21340804955000428, 0.23522235094438418]","[0.9672813009158616, 0.9776674591343397]","[0.972128250845833, 0.9768083392130539]","[0.004220517210085601, 0.007913564510083647]","[0.004231438553279381, 0.0027267542100873356]","[0.009322891043706958, 0.006424091141762943]","[0.05630262511188599, 0.05965414536362781]","[0.004964676380579195, 0.008585094485232045]","[0.00657936654017142, 0.004310783863803621]","[0.003638461543305775, 0.004664046316524931]","[0.0028826311407744013, 0.0047564219287471645]","[0.023467454052991034, 0.01670161504387798]"
