n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.7777867203219315,0.03134468734112862,0.11042094560244027,0.08559718875800801,0.5306568866088439,0.10997944653553818,0.0895863836637858,0.3436861606249245,0.8374193035603799,0.683730184406341,0.0327796797820344,0.010217628447682507,0.02294536062389823,0.049329743517856524,0.0622424713936113,0.00415087108044594,0.018773897253532044,0.00413959342461143,0.01939215162730968,0.021312514037355616,"[[209, 16], [62, 64]]","[0.01962133611069781, 0.04358586087561016]","[0.019075658384169022, 0.20524341478895586]","[0.08900485249514076, 0.08210689050976952]","[0.7826788784203355, 0.268568501124039]","[0.11982977899132477, 0.09981134733536311]","[0.058475501055288294, 0.12182239954058424]","[0.2510828754335839, 0.43981862256010357]","[0.7448849638481756, 0.9335748200598724]","[0.8972517354770739, 0.4619419612088606]","[0.010406870528866997, 0.0190670435715048]","[0.010644002723238044, 0.04074102088547107]","[0.037353139641513385, 0.05201448355412796]","[0.0617052438848759, 0.09276078427625419]","[0.005889213465577801, 0.006949358341839757]","[0.011096588798093925, 0.030499010357177923]","[0.007027080960514586, 0.004805786676154307]","[0.02651131297610714, 0.013186098768147834]","[0.009736272962406903, 0.0371086297529857]"
0,DCP,0.8032997987927566,0.0484443314692425,0.09389425521098119,0.04643079753820092,0.6010360467922745,0.1624311648110281,0.08350491442128453,0.3189495841869086,0.8506133349410353,0.7813294356888664,0.03476363935307248,0.026378307133339513,0.031987875841309146,0.024427157827306655,0.07931332879815703,0.025097949441820887,0.03227865057030961,0.024001932870283668,0.014798333083548443,0.03631621658198247,"[[223, 2], [67, 59]]","[0.036338064269167344, 0.06617972105238658]","[0.02708468887509599, 0.2178935216829953]","[0.050490226109038194, 0.040248612505661356]","[0.791061386396174, 0.24597587566178397]","[0.14250714802337053, 0.19684552540714667]","[0.058197728038021965, 0.1267396572938654]","[0.2549267409650744, 0.44350139583560494]","[0.8039494073065697, 0.9382790336574871]","[0.896622263651641, 0.5541428217304124]","[0.01927952424878754, 0.0376851057621392]","[0.00791193847876363, 0.043956989899973875]","[0.020102445476592807, 0.026330036737496464]","[0.06940352822440049, 0.09278341205364456]","[0.012934569658703389, 0.03368739345354255]","[0.020244972948398447, 0.04259575938289992]","[0.011105173355794072, 0.015612254050417407]","[0.013376814205946826, 0.005611374909324339]","[0.013810155099447136, 0.05088181433710923]"
0,F1,0.7949295774647888,0.06911540416878495,0.14845653279105236,0.12301159807282558,0.561311629256469,0.1825416902635863,0.1325286815793933,0.3490219320398928,0.8647179175600617,0.6887173206390288,0.03814546546672083,0.029640123336486662,0.026850267916920318,0.05976350001173301,0.05220384123081254,0.017358147566660515,0.015139895882839404,0.011965807231172286,0.01019118610286658,0.0161920560649485,"[[214, 11], [61, 65]]","[0.022504953522607587, 0.12201603167183148]","[0.02082737681685775, 0.2925720554394647]","[0.10552870800412154, 0.14361576413086902]","[0.772236788185751, 0.32030647652607336]","[0.1395563982829207, 0.23061200063224968]","[0.07065669229720555, 0.2030890932529803]","[0.2590485141872752, 0.4514771211261526]","[0.791297045413818, 0.9474074484084861]","[0.8614091052108093, 0.4928261983989681]","[0.012349291964511733, 0.05114422247845055]","[0.0074004881591866545, 0.04742654296871703]","[0.0485046385965101, 0.060291059260053764]","[0.052868502174781666, 0.07739869384448356]","[0.013447461025104667, 0.026324297578028115]","[0.011816114312732481, 0.017964354897126104]","[0.013136779422627387, 0.008516157262985314]","[0.021819154547793786, 0.011149756276071674]","[0.01031200090734919, 0.020321523015318817]"
0,Hostility,0.7975855130784708,0.0028495170310116925,0.057562785968479926,0.08992977796562503,0.6092429826993884,0.15118625663054377,0.05610346914566537,0.29371925981080704,0.8220916545608488,0.7473239512563357,0.03179233625640747,0.0029782026944260185,0.014887166341107825,0.04713904991811679,0.04494949462155617,0.013852703143050404,0.012810642293791016,0.005184074792352648,0.014162052660457381,0.00826076035965879,"[[222, 3], [68, 58]]","[0.001075268817204301, 0.0064943820224719105]","[0.007676205307974804, 0.1574769336664045]","[0.09111515399249488, 0.0872240548860233]","[0.7766303797303463, 0.27439571624948256]","[0.1447144879128265, 0.16423801181384393]","[0.04524328022142434, 0.07749225545179665]","[0.22882100663740296, 0.42395700444689705]","[0.766855424269269, 0.9332301371225586]","[0.8806880473031604, 0.4773445859818445]","[0.002150537634408602, 0.008878082617648202]","[0.0026446137088836116, 0.03605415483668774]","[0.039590968802628454, 0.0481894943822332]","[0.053318953972064, 0.0951043224758319]","[0.014191638011208456, 0.030904189216310926]","[0.009444558076793817, 0.020787195661874203]","[0.012006110156325255, 0.01585644962396701]","[0.01652422660287288, 0.008648902237239247]","[0.016462024217860402, 0.02450091955841423]"
0,LSC,0.7922334004024145,0.016385358413828165,0.029493136756481953,0.08502936763513916,0.6777627186968824,0.13800157669928353,0.046882489650664536,0.27377471537448556,0.7764219098793543,0.8116719046078478,0.06784632468172462,0.004794496234550343,0.01036082411972399,0.04639264762599777,0.06920542920610345,0.008184295932544319,0.011846478577935688,0.010966613221653035,0.012025926624545023,0.020548202815233337,"[[224, 1], [72, 54]]","[0.007145922537535078, 0.05443675966340167]","[0.005936347271421197, 0.1248717132389658]","[0.07949212864164872, 0.10975579550299927]","[0.7792930650798191, 0.27627389570035266]","[0.1287843814336477, 0.17918107071631487]","[0.04199405834970029, 0.06942335357988853]","[0.23318347316559174, 0.43014672756552513]","[0.7425617991699222, 0.9094635367715849]","[0.8945173562367689, 0.4915416902592077]","[0.005971454017610098, 0.02247326282795052]","[0.0032134421253698026, 0.061048991578870185]","[0.0364778783161826, 0.06559236319430534]","[0.05806559605528332, 0.0825615573116883]","[0.006681922805741496, 0.042961363300946506]","[0.012176155205394402, 0.029004778065433022]","[0.008075606858939747, 0.01678857095396141]","[0.013393448901922128, 0.022039254026033926]","[0.00810045858912756, 0.030954274920942777]"
0,N1,0.811871227364185,0.015678698525673614,0.06539755973563803,0.08127673553624941,0.609437145989637,0.14875082242747903,0.013347737671581086,0.30299863054795567,0.8317360632192935,0.778638674492767,0.024223547196410476,0.008968813040741156,0.015536568072273152,0.04346643270663987,0.06058533482318345,0.004955613330976146,0.0069341610769272175,0.013159266930470738,0.021096419060532865,0.02016287133317305,"[[220, 5], [61, 65]]","[0.00223463687150838, 0.04064682034563947]","[0.006006792387750171, 0.1788255101519602]","[0.07045574618743008, 0.10170431715444281]","[0.7823304776263882, 0.2696080769686991]","[0.13662726724107038, 0.17407225797726858]","[0.004150534224812523, 0.030611426225799886]","[0.23702397876673933, 0.4293766767831103]","[0.7780396491331161, 0.9367748783046052]","[0.9030116610361688, 0.541288555923618]","[0.004469273743016761, 0.013429153509622368]","[0.004498016265981737, 0.03914809393299127]","[0.029592813253146222, 0.05843314580587373]","[0.05418952336710127, 0.08893398244150837]","[0.010432657606120301, 0.01510133591544654]","[0.003956394816072782, 0.014238640055628029]","[0.010748587112493416, 0.0069825103340587485]","[0.017744575254872257, 0.012552062241972658]","[0.004477923340892978, 0.016121487495103032]"
0,N2,0.794728370221328,0.015673614641586172,0.031767158108795115,0.08140110109014728,0.6927946213533402,0.14226458395626387,0.04543972571234899,0.24453746064979653,0.7969329792257882,0.8331372956817796,0.032160886741775536,0.00894452301766252,0.00265551953948968,0.04714015609390853,0.0657831679409407,0.009349172579112938,0.013111236373437146,0.011297115966633036,0.015968641408326493,0.00794253411577099,"[[222, 3], [69, 57]]","[0.013009055909629568, 0.032116663823980894]","[0.009442447169966672, 0.14840576496674057]","[0.08003622080893626, 0.08980583126994791]","[0.7784199535476263, 0.27134632397659003]","[0.13097947112779038, 0.20019126130356382]","[0.04156029095791215, 0.06566639052004905]","[0.21796023470098652, 0.3826788051467311]","[0.7692582779186508, 0.9373234862698275]","[0.8924930525560072, 0.5254593263351579]","[0.008412863731240509, 0.03229593881111609]","[0.004497938182776202, 0.040922282227751114]","[0.04027849083871658, 0.053837486037074785]","[0.0586707716030285, 0.09658811700479307]","[0.007068963164873722, 0.03658813115087945]","[0.012426280429953878, 0.042398465104749254]","[0.012370121637483723, 0.03548295462495936]","[0.016080030950503768, 0.016056195533679936]","[0.012365943522002147, 0.05695128725754701]"
0,TD_U,0.7975855130784708,0.060533807829181496,0.1444407727503813,0.09791026749141511,0.5208607554959868,0.18373643195783357,0.11826654683225604,0.34222679241998627,0.8664450943530845,0.733221025712129,0.040286443657881546,0.01001859948845317,0.03119582722232056,0.05484166363052745,0.05574543834028442,0.01937600162090532,0.015706433702812033,0.009309257982900738,0.011087236603401383,0.021709829455728635,"[[219, 6], [65, 61]]","[0.02573700960081989, 0.09644931209300563]","[0.024896781858865295, 0.27060339887724993]","[0.0910929426517633, 0.10493822442272183]","[0.7549770925914291, 0.26851576285307]","[0.13853056474278497, 0.2333908539971342]","[0.06821151322917117, 0.17136303193712926]","[0.24284783239529428, 0.44883096476941714]","[0.7909858216209493, 0.9471867837529274]","[0.8870006253424532, 0.5696391020041498]","[0.015093950056100364, 0.014127099238988404]","[0.009521982633020641, 0.05037262836532691]","[0.04017002485158474, 0.058081989982556204]","[0.06185148764284952, 0.10232110006967408]","[0.014029741363849376, 0.03349688602178791]","[0.013296839443251923, 0.022770311349741695]","[0.009559507101126493, 0.00783412860460395]","[0.01676862681998913, 0.0071323822452050885]","[0.005316145491211597, 0.020752540185295806]"
0,Uniform,0.8004426559356137,0.06411286222674123,0.12165378749364515,0.10823425740464883,0.6147943787134179,0.1747072392302734,0.11584292008618394,0.32382035017051747,0.8522302810721467,0.7660693873149389,0.04341822010328287,0.016751845505664453,0.022023335080713236,0.049551950960403955,0.06064348464100195,0.010179526533507476,0.015151847485772295,0.009011727599575184,0.017990963463672592,0.015467204984439204,"[[219, 6], [64, 62]]","[0.031743782557092384, 0.12360885534081409]","[0.025024111353737895, 0.2992917376608098]","[0.08795166332127775, 0.145928495962582]","[0.7796460496335481, 0.30736129750351865]","[0.1349947413745389, 0.24789384403261544]","[0.06709095400526477, 0.20395485611464995]","[0.2506553895792867, 0.457675752498488]","[0.7999785011916971, 0.9482084697579918]","[0.8909139967923492, 0.537256869291546]","[0.011302525451970682, 0.03431670832263384]","[0.0028116426472849934, 0.0524109347127772]","[0.03483349471922227, 0.0650892169340825]","[0.060147835671059836, 0.0896356602318635]","[0.007626782914624893, 0.030156979596426273]","[0.006150389767894853, 0.03397021577256805]","[0.010419182528277565, 0.015199856474452702]","[0.021684738989250624, 0.012067762948373445]","[0.008082553287247201, 0.029895105455451404]"
0,kDN,0.783661971830986,0.00784189120488053,0.0162399593289273,0.08010993653358926,0.6738510036819646,0.1367223750938534,0.037605998983223185,0.27634081348518763,0.8090438786733543,0.8068211859315063,0.048529001489035356,0.005874650245031841,0.00457141771614717,0.03884732475198406,0.06867967620180214,0.010262896100316068,0.007477208868018297,0.014624223812279277,0.018444011558931613,0.009377048234575854,"[[223, 2], [74, 52]]","[0.007263295846196177, 0.010217464034794246]","[0.004041524116055051, 0.0610087242967805]","[0.08156211353119037, 0.07462286137155143]","[0.7877899914262432, 0.25639037972176143]","[0.13719644933756622, 0.1345760647507918]","[0.039519045429931024, 0.03223912894287602]","[0.2400643758618734, 0.40815031964537907]","[0.7803968645633331, 0.9142647554891115]","[0.8905933528003921, 0.5056200941915228]","[0.007976881870077066, 0.008571311043671937]","[0.0026134584922668613, 0.024212546697625167]","[0.03201870855043146, 0.04440415349955373]","[0.0612310161190012, 0.08970336771608288]","[0.00617939996652846, 0.02118932510031979]","[0.009234367750926682, 0.02384072703750923]","[0.01602455318173062, 0.02558909454489696]","[0.017858998615404503, 0.008365851648674299]","[0.005045300079820726, 0.034223403084115166]"
