dataset,n_trees,model,perf_measure,perf_value_mean,perf_value_std,Conf_Matrix
ilpd.csv,2,AdaBoost,acc,0.675287356321839,0.06698135531435664,"[array([[35,  7],
       [ 4, 12]]), array([[35,  7],
       [ 9,  7]]), array([[30, 12],
       [ 9,  7]]), array([[36,  6],
       [10,  6]]), array([[26, 15],
       [ 9,  8]]), array([[27, 14],
       [ 9,  8]]), array([[31, 10],
       [10,  7]]), array([[33,  8],
       [ 9,  8]]), array([[33,  8],
       [13,  4]]), array([[32,  9],
       [10,  6]])]"
ilpd.csv,2,AdaBoost,auc,0.6055471578875453,0.07498922246215908,"[array([[35,  7],
       [ 4, 12]]), array([[35,  7],
       [ 9,  7]]), array([[30, 12],
       [ 9,  7]]), array([[36,  6],
       [10,  6]]), array([[26, 15],
       [ 9,  8]]), array([[27, 14],
       [ 9,  8]]), array([[31, 10],
       [10,  7]]), array([[33,  8],
       [ 9,  8]]), array([[33,  8],
       [13,  4]]), array([[32,  9],
       [10,  6]])]"
ilpd.csv,2,AdaBoost,f1,0.6747272544600834,0.06431574065881357,"[array([[35,  7],
       [ 4, 12]]), array([[35,  7],
       [ 9,  7]]), array([[30, 12],
       [ 9,  7]]), array([[36,  6],
       [10,  6]]), array([[26, 15],
       [ 9,  8]]), array([[27, 14],
       [ 9,  8]]), array([[31, 10],
       [10,  7]]), array([[33,  8],
       [ 9,  8]]), array([[33,  8],
       [13,  4]]), array([[32,  9],
       [10,  6]])]"
ilpd.csv,2,Grouped_Mixed_Bagging,acc,0.6977011494252874,0.045833108131900904,"[array([[38,  4],
       [12,  4]]), array([[40,  2],
       [10,  6]]), array([[38,  4],
       [12,  4]]), array([[35,  7],
       [10,  6]]), array([[37,  4],
       [15,  2]]), array([[37,  4],
       [15,  2]]), array([[37,  4],
       [12,  5]]), array([[35,  6],
       [15,  2]]), array([[36,  5],
       [15,  2]]), array([[35,  6],
       [13,  3]])]"
ilpd.csv,2,Grouped_Mixed_Bagging,auc,0.5938110610097698,0.09452639387829977,"[array([[35,  7],
       [ 4, 12]]), array([[37,  5],
       [10,  6]]), array([[31, 11],
       [ 7,  9]]), array([[28, 14],
       [ 7,  9]]), array([[28, 13],
       [11,  6]]), array([[31, 10],
       [11,  6]]), array([[38,  3],
       [12,  5]]), array([[28, 13],
       [14,  3]]), array([[33,  8],
       [12,  5]]), array([[28, 13],
       [ 8,  8]])]"
ilpd.csv,2,Grouped_Mixed_Bagging,f1,0.6388296508338132,0.0814418898984979,"[array([[39,  3],
       [ 7,  9]]), array([[38,  4],
       [11,  5]]), array([[37,  5],
       [14,  2]]), array([[32, 10],
       [12,  4]]), array([[35,  6],
       [15,  2]]), array([[39,  2],
       [14,  3]]), array([[39,  2],
       [15,  2]]), array([[35,  6],
       [17,  0]]), array([[35,  6],
       [16,  1]]), array([[37,  4],
       [14,  2]])]"
ilpd.csv,2,Incremental_Mixed_Bagging,acc,0.6924984875983061,0.06328488221519495,"[array([[37,  5],
       [10,  6]]), array([[41,  1],
       [10,  6]]), array([[39,  3],
       [13,  3]]), array([[39,  3],
       [13,  3]]), array([[37,  4],
       [16,  1]]), array([[33,  8],
       [15,  2]]), array([[39,  2],
       [14,  3]]), array([[38,  3],
       [16,  1]]), array([[34,  7],
       [15,  2]]), array([[35,  6],
       [14,  2]])]"
ilpd.csv,2,Incremental_Mixed_Bagging,auc,0.5716802879688461,0.06553804133667486,"[array([[37,  5],
       [10,  6]]), array([[39,  3],
       [13,  3]]), array([[38,  4],
       [11,  5]]), array([[36,  6],
       [13,  3]]), array([[38,  3],
       [14,  3]]), array([[36,  5],
       [15,  2]]), array([[41,  0],
       [10,  7]]), array([[33,  8],
       [12,  5]]), array([[38,  3],
       [16,  1]]), array([[34,  7],
       [10,  6]])]"
ilpd.csv,2,Incremental_Mixed_Bagging,f1,0.6363668222180655,0.061836330491028574,"[array([[34,  8],
       [12,  4]]), array([[37,  5],
       [ 8,  8]]), array([[42,  0],
       [14,  2]]), array([[35,  7],
       [13,  3]]), array([[39,  2],
       [15,  2]]), array([[34,  7],
       [14,  3]]), array([[37,  4],
       [14,  3]]), array([[34,  7],
       [17,  0]]), array([[39,  2],
       [15,  2]]), array([[35,  6],
       [14,  2]])]"
ilpd.csv,2,base,acc,0.6596793708408953,0.05572327686858798,"[array([[34,  8],
       [ 5, 11]]), array([[33,  9],
       [ 9,  7]]), array([[31, 11],
       [ 9,  7]]), array([[35,  7],
       [12,  4]]), array([[27, 14],
       [10,  7]]), array([[29, 12],
       [11,  6]]), array([[32,  9],
       [11,  6]]), array([[32,  9],
       [ 8,  9]]), array([[33,  8],
       [13,  4]]), array([[29, 12],
       [10,  6]])]"
ilpd.csv,2,base,auc,0.583777199904352,0.07162691061986019,"[array([[34,  8],
       [ 5, 11]]), array([[33,  9],
       [ 9,  7]]), array([[31, 11],
       [ 9,  7]]), array([[35,  7],
       [12,  4]]), array([[27, 14],
       [10,  7]]), array([[29, 12],
       [11,  6]]), array([[32,  9],
       [11,  6]]), array([[32,  9],
       [ 8,  9]]), array([[33,  8],
       [13,  4]]), array([[29, 12],
       [10,  6]])]"
ilpd.csv,2,base,f1,0.6582867099885166,0.05614026760554074,"[array([[34,  8],
       [ 5, 11]]), array([[33,  9],
       [ 9,  7]]), array([[31, 11],
       [ 9,  7]]), array([[35,  7],
       [12,  4]]), array([[27, 14],
       [10,  7]]), array([[29, 12],
       [11,  6]]), array([[32,  9],
       [11,  6]]), array([[32,  9],
       [ 8,  9]]), array([[33,  8],
       [13,  4]]), array([[29, 12],
       [10,  6]])]"
ilpd.csv,2,wagging,acc,0.71497277676951,0.04860897630486542,"[array([[37,  5],
       [12,  4]]), array([[42,  0],
       [12,  4]]), array([[36,  6],
       [11,  5]]), array([[39,  3],
       [12,  4]]), array([[39,  2],
       [12,  5]]), array([[36,  5],
       [14,  3]]), array([[40,  1],
       [14,  3]]), array([[35,  6],
       [16,  1]]), array([[40,  1],
       [15,  2]]), array([[37,  4],
       [14,  2]])]"
ilpd.csv,2,wagging,auc,0.5607140722142516,0.05171161333546594,"[array([[37,  5],
       [12,  4]]), array([[42,  0],
       [12,  4]]), array([[36,  6],
       [11,  5]]), array([[39,  3],
       [12,  4]]), array([[39,  2],
       [12,  5]]), array([[36,  5],
       [14,  3]]), array([[40,  1],
       [14,  3]]), array([[35,  6],
       [16,  1]]), array([[40,  1],
       [15,  2]]), array([[37,  4],
       [14,  2]])]"
ilpd.csv,2,wagging,f1,0.66820945852757,0.05271665672679142,"[array([[37,  5],
       [12,  4]]), array([[42,  0],
       [12,  4]]), array([[36,  6],
       [11,  5]]), array([[39,  3],
       [12,  4]]), array([[39,  2],
       [12,  5]]), array([[36,  5],
       [14,  3]]), array([[40,  1],
       [14,  3]]), array([[35,  6],
       [16,  1]]), array([[40,  1],
       [15,  2]]), array([[37,  4],
       [14,  2]])]"
ilpd.csv,10,AdaBoost,acc,0.675287356321839,0.06698135531435664,"[array([[35,  7],
       [ 4, 12]]), array([[35,  7],
       [ 9,  7]]), array([[30, 12],
       [ 9,  7]]), array([[36,  6],
       [10,  6]]), array([[26, 15],
       [ 9,  8]]), array([[27, 14],
       [ 9,  8]]), array([[31, 10],
       [10,  7]]), array([[33,  8],
       [ 9,  8]]), array([[33,  8],
       [13,  4]]), array([[32,  9],
       [10,  6]])]"
ilpd.csv,10,AdaBoost,auc,0.6055471578875453,0.07498922246215908,"[array([[35,  7],
       [ 4, 12]]), array([[35,  7],
       [ 9,  7]]), array([[30, 12],
       [ 9,  7]]), array([[36,  6],
       [10,  6]]), array([[26, 15],
       [ 9,  8]]), array([[27, 14],
       [ 9,  8]]), array([[31, 10],
       [10,  7]]), array([[33,  8],
       [ 9,  8]]), array([[33,  8],
       [13,  4]]), array([[32,  9],
       [10,  6]])]"
ilpd.csv,10,AdaBoost,f1,0.6747272544600834,0.06431574065881357,"[array([[35,  7],
       [ 4, 12]]), array([[35,  7],
       [ 9,  7]]), array([[30, 12],
       [ 9,  7]]), array([[36,  6],
       [10,  6]]), array([[26, 15],
       [ 9,  8]]), array([[27, 14],
       [ 9,  8]]), array([[31, 10],
       [10,  7]]), array([[33,  8],
       [ 9,  8]]), array([[33,  8],
       [13,  4]]), array([[32,  9],
       [10,  6]])]"
ilpd.csv,10,Grouped_Mixed_Bagging,acc,0.7012401693889897,0.05249775538489726,"[array([[34,  8],
       [ 7,  9]]), array([[39,  3],
       [ 9,  7]]), array([[38,  4],
       [13,  3]]), array([[34,  8],
       [10,  6]]), array([[34,  7],
       [14,  3]]), array([[34,  7],
       [13,  4]]), array([[37,  4],
       [15,  2]]), array([[34,  7],
       [14,  3]]), array([[40,  1],
       [13,  4]]), array([[34,  7],
       [ 9,  7]])]"
