dataset,n_trees,model,perf_measure,perf_value_mean,perf_value_std,Conf_Matrix
teaching_assistant_LM.csv,2,AdaBoost,acc,0.5355555555555556,0.10564323843559743,"[array([[0, 5],
       [0, 5]]), array([[2, 3],
       [2, 3]]), array([[2, 3],
       [1, 4]]), array([[3, 2],
       [2, 3]]), array([[4, 1],
       [3, 2]]), array([[3, 2],
       [3, 2]]), array([[3, 2],
       [5, 0]]), array([[3, 2],
       [3, 2]]), array([[3, 2],
       [1, 4]]), array([[3, 1],
       [3, 2]])]"
teaching_assistant_LM.csv,2,AdaBoost,auc,0.5375,0.1062295731998497,"[array([[0, 5],
       [0, 5]]), array([[2, 3],
       [2, 3]]), array([[2, 3],
       [1, 4]]), array([[3, 2],
       [2, 3]]), array([[4, 1],
       [3, 2]]), array([[3, 2],
       [3, 2]]), array([[3, 2],
       [5, 0]]), array([[3, 2],
       [3, 2]]), array([[3, 2],
       [1, 4]]), array([[3, 1],
       [3, 2]])]"
teaching_assistant_LM.csv,2,AdaBoost,f1,0.5057031857031857,0.1352674320110241,"[array([[0, 5],
       [0, 5]]), array([[2, 3],
       [2, 3]]), array([[2, 3],
       [1, 4]]), array([[3, 2],
       [2, 3]]), array([[4, 1],
       [3, 2]]), array([[3, 2],
       [3, 2]]), array([[3, 2],
       [5, 0]]), array([[3, 2],
       [3, 2]]), array([[3, 2],
       [1, 4]]), array([[3, 1],
       [3, 2]])]"
teaching_assistant_LM.csv,2,Grouped_Mixed_Bagging,acc,0.5055555555555555,0.17725617926159798,"[array([[1, 4],
       [1, 4]]), array([[2, 3],
       [3, 2]]), array([[5, 0],
       [2, 3]]), array([[3, 2],
       [3, 2]]), array([[5, 0],
       [4, 1]]), array([[2, 3],
       [5, 0]]), array([[3, 2],
       [5, 0]]), array([[4, 1],
       [4, 1]]), array([[3, 2],
       [1, 4]]), array([[4, 0],
       [4, 1]])]"
teaching_assistant_LM.csv,2,Grouped_Mixed_Bagging,auc,0.5599999999999999,0.1173787790777267,"[array([[1, 4],
       [1, 4]]), array([[3, 2],
       [2, 3]]), array([[2, 3],
       [0, 5]]), array([[4, 1],
       [3, 2]]), array([[4, 1],
       [4, 1]]), array([[3, 2],
       [2, 3]]), array([[3, 2],
       [5, 0]]), array([[3, 2],
       [3, 2]]), array([[3, 2],
       [1, 4]]), array([[4, 0],
       [4, 1]])]"
teaching_assistant_LM.csv,2,Grouped_Mixed_Bagging,f1,0.5463655788655789,0.1465505477614727,"[array([[0, 5],
       [0, 5]]), array([[1, 4],
       [0, 5]]), array([[3, 2],
       [2, 3]]), array([[4, 1],
       [3, 2]]), array([[5, 0],
       [4, 1]]), array([[2, 3],
       [0, 5]]), array([[2, 3],
       [4, 1]]), array([[5, 0],
       [2, 3]]), array([[3, 2],
       [2, 3]]), array([[3, 1],
       [3, 2]])]"
teaching_assistant_LM.csv,2,Incremental_Mixed_Bagging,acc,0.5066666666666666,0.1403698817542556,"[array([[1, 4],
       [1, 4]]), array([[2, 3],
       [2, 3]]), array([[2, 3],
       [3, 2]]), array([[3, 2],
       [3, 2]]), array([[5, 0],
       [3, 2]]), array([[4, 1],
       [5, 0]]), array([[3, 2],
       [5, 0]]), array([[5, 0],
       [3, 2]]), array([[3, 2],
       [4, 1]]), array([[4, 0],
       [3, 2]])]"
teaching_assistant_LM.csv,2,Incremental_Mixed_Bagging,auc,0.5599999999999999,0.0966091783079296,"[array([[2, 3],
       [3, 2]]), array([[3, 2],
       [2, 3]]), array([[4, 1],
       [3, 2]]), array([[4, 1],
       [2, 3]]), array([[4, 1],
       [3, 2]]), array([[4, 1],
       [4, 1]]), array([[3, 2],
       [3, 2]]), array([[4, 1],
       [4, 1]]), array([[4, 1],
       [4, 1]]), array([[4, 0],
       [3, 2]])]"
teaching_assistant_LM.csv,2,Incremental_Mixed_Bagging,f1,0.5001476301476302,0.19880178071682797,"[array([[1, 4],
       [4, 1]]), array([[3, 2],
       [1, 4]]), array([[3, 2],
       [0, 5]]), array([[4, 1],
       [4, 1]]), array([[5, 0],
       [3, 2]]), array([[3, 2],
       [4, 1]]), array([[3, 2],
       [5, 0]]), array([[4, 1],
       [4, 1]]), array([[3, 2],
       [3, 2]]), array([[4, 0],
       [3, 2]])]"
teaching_assistant_LM.csv,2,base,acc,0.5355555555555556,0.12491972731160174,"[array([[0, 5],
       [0, 5]]), array([[2, 3],
       [2, 3]]), array([[2, 3],
       [2, 3]]), array([[3, 2],
       [2, 3]]), array([[3, 2],
       [3, 2]]), array([[4, 1],
       [3, 2]]), array([[3, 2],
       [5, 0]]), array([[3, 2],
       [3, 2]]), array([[4, 1],
       [1, 4]]), array([[3, 1],
       [3, 2]])]"
teaching_assistant_LM.csv,2,base,auc,0.5375,0.12541597452743677,"[array([[0, 5],
       [0, 5]]), array([[2, 3],
       [2, 3]]), array([[2, 3],
       [2, 3]]), array([[3, 2],
       [2, 3]]), array([[3, 2],
       [3, 2]]), array([[4, 1],
       [3, 2]]), array([[3, 2],
       [5, 0]]), array([[3, 2],
       [3, 2]]), array([[4, 1],
       [1, 4]]), array([[3, 1],
       [3, 2]])]"
teaching_assistant_LM.csv,2,base,f1,0.5071678321678321,0.15230488070897938,"[array([[0, 5],
       [0, 5]]), array([[2, 3],
       [2, 3]]), array([[2, 3],
       [2, 3]]), array([[3, 2],
       [2, 3]]), array([[3, 2],
       [3, 2]]), array([[4, 1],
       [3, 2]]), array([[3, 2],
       [5, 0]]), array([[3, 2],
       [3, 2]]), array([[4, 1],
       [1, 4]]), array([[3, 1],
       [3, 2]])]"
teaching_assistant_LM.csv,2,wagging,acc,0.4833333333333333,0.1509230856356236,"[array([[0, 5],
       [1, 4]]), array([[2, 3],
       [3, 2]]), array([[5, 0],
       [2, 3]]), array([[3, 2],
       [4, 1]]), array([[3, 2],
       [3, 2]]), array([[4, 1],
       [4, 1]]), array([[3, 2],
       [5, 0]]), array([[5, 0],
       [4, 1]]), array([[3, 2],
       [2, 3]]), array([[3, 1],
       [5, 0]])]"
teaching_assistant_LM.csv,2,wagging,auc,0.4875,0.14684175155588414,"[array([[0, 5],
       [1, 4]]), array([[2, 3],
       [3, 2]]), array([[5, 0],
       [2, 3]]), array([[3, 2],
       [4, 1]]), array([[3, 2],
       [3, 2]]), array([[4, 1],
       [4, 1]]), array([[3, 2],
       [5, 0]]), array([[5, 0],
       [4, 1]]), array([[3, 2],
       [2, 3]]), array([[3, 1],
       [5, 0]])]"
teaching_assistant_LM.csv,2,wagging,f1,0.4374680874680875,0.17644447339867153,"[array([[0, 5],
       [1, 4]]), array([[2, 3],
       [3, 2]]), array([[5, 0],
       [2, 3]]), array([[3, 2],
       [4, 1]]), array([[3, 2],
       [3, 2]]), array([[4, 1],
       [4, 1]]), array([[3, 2],
       [5, 0]]), array([[5, 0],
       [4, 1]]), array([[3, 2],
       [2, 3]]), array([[3, 1],
       [5, 0]])]"
teaching_assistant_LM.csv,10,AdaBoost,acc,0.5355555555555556,0.10564323843559743,"[array([[0, 5],
       [0, 5]]), array([[2, 3],
       [2, 3]]), array([[2, 3],
       [1, 4]]), array([[3, 2],
       [2, 3]]), array([[4, 1],
       [3, 2]]), array([[3, 2],
       [3, 2]]), array([[3, 2],
       [5, 0]]), array([[3, 2],
       [3, 2]]), array([[3, 2],
       [1, 4]]), array([[3, 1],
       [3, 2]])]"
teaching_assistant_LM.csv,10,AdaBoost,auc,0.5375,0.1062295731998497,"[array([[0, 5],
       [0, 5]]), array([[2, 3],
       [2, 3]]), array([[2, 3],
       [1, 4]]), array([[3, 2],
       [2, 3]]), array([[4, 1],
       [3, 2]]), array([[3, 2],
       [3, 2]]), array([[3, 2],
       [5, 0]]), array([[3, 2],
       [3, 2]]), array([[3, 2],
       [1, 4]]), array([[3, 1],
       [3, 2]])]"
teaching_assistant_LM.csv,10,AdaBoost,f1,0.5057031857031857,0.1352674320110241,"[array([[0, 5],
       [0, 5]]), array([[2, 3],
       [2, 3]]), array([[2, 3],
       [1, 4]]), array([[3, 2],
       [2, 3]]), array([[4, 1],
       [3, 2]]), array([[3, 2],
       [3, 2]]), array([[3, 2],
       [5, 0]]), array([[3, 2],
       [3, 2]]), array([[3, 2],
       [1, 4]]), array([[3, 1],
       [3, 2]])]"
teaching_assistant_LM.csv,10,Grouped_Mixed_Bagging,acc,0.6466666666666667,0.1642040284614326,"[array([[1, 4],
       [0, 5]]), array([[3, 2],
       [2, 3]]), array([[4, 1],
       [2, 3]]), array([[4, 1],
       [2, 3]]), array([[5, 0],
       [3, 2]]), array([[4, 1],
       [0, 5]]), array([[3, 2],
       [5, 0]]), array([[3, 2],
       [3, 2]]), array([[4, 1],
       [1, 4]]), array([[4, 0],
       [3, 2]])]"
teaching_assistant_LM.csv,10,Grouped_Mixed_Bagging,auc,0.5575,0.1343968005571561,"[array([[0, 5],
       [1, 4]]), array([[2, 3],
       [2, 3]]), array([[2, 3],
       [0, 5]]), array([[3, 2],
       [2, 3]]), array([[5, 0],
       [3, 2]]), array([[5, 0],
       [4, 1]]), array([[3, 2],
       [5, 0]]), array([[4, 1],
       [4, 1]]), array([[3, 2],
       [1, 4]]), array([[3, 1],
       [3, 2]])]"
