dataset,CV_fold,n_trees,model,parameters,perf_measure,perf_value,Conf_Matrix
chronic_kidney.csv,0,1,base,None,acc,0.975,"[array([[14,  1],
       [ 0, 25]])]"
chronic_kidney.csv,0,1,base,None,f1,0.9748140635564571,"[array([[14,  1],
       [ 0, 25]])]"
chronic_kidney.csv,0,1,base,None,auc,0.9666666666666667,"[array([[14,  1],
       [ 0, 25]])]"
chronic_kidney.csv,0,1,wagging,None,acc,0.975,"[array([[14,  1],
       [ 0, 25]])]"
chronic_kidney.csv,0,1,wagging,None,f1,0.9748140635564571,"[array([[14,  1],
       [ 0, 25]])]"
chronic_kidney.csv,0,1,wagging,None,auc,0.9666666666666667,"[array([[14,  1],
       [ 0, 25]])]"
chronic_kidney.csv,0,1,AdaBoost,None,acc,0.95,"[array([[14,  1],
       [ 1, 24]])]"
chronic_kidney.csv,0,1,AdaBoost,None,f1,0.95,"[array([[14,  1],
       [ 1, 24]])]"
chronic_kidney.csv,0,1,AdaBoost,None,auc,0.9466666666666667,"[array([[14,  1],
       [ 1, 24]])]"
chronic_kidney.csv,0,1,Grouped_Mixed_Bagging,"[[0.0, 1.0, 0.0], 3.0]",acc,0.975,"[array([[14,  1],
       [ 0, 25]])]"
chronic_kidney.csv,0,1,Grouped_Mixed_Bagging,"[[0.3, 0.6, 0.1], 3.0]",f1,0.9748140635564571,"[array([[14,  1],
       [ 0, 25]])]"
chronic_kidney.csv,0,1,Grouped_Mixed_Bagging,"[[0.3, 0.6, 0.1], 3.0]",auc,0.9666666666666667,"[array([[14,  1],
       [ 0, 25]])]"
chronic_kidney.csv,0,1,Incremental_Mixed_Bagging,"[[-3.0, 4.0]]",acc,0.975,"[array([[14,  1],
       [ 0, 25]])]"
chronic_kidney.csv,0,1,Incremental_Mixed_Bagging,"[[-3.0, 4.0]]",f1,0.9748140635564571,"[array([[14,  1],
       [ 0, 25]])]"
chronic_kidney.csv,0,1,Incremental_Mixed_Bagging,"[[-3.0, 4.0]]",auc,0.9666666666666667,"[array([[14,  1],
       [ 0, 25]])]"
chronic_kidney.csv,1,1,base,None,acc,1.0,"[array([[15,  0],
       [ 0, 25]])]"
chronic_kidney.csv,1,1,base,None,f1,1.0,"[array([[15,  0],
       [ 0, 25]])]"
chronic_kidney.csv,1,1,base,None,auc,1.0,"[array([[15,  0],
       [ 0, 25]])]"
chronic_kidney.csv,1,1,wagging,None,acc,1.0,"[array([[15,  0],
       [ 0, 25]])]"
chronic_kidney.csv,1,1,wagging,None,f1,1.0,"[array([[15,  0],
       [ 0, 25]])]"
chronic_kidney.csv,1,1,wagging,None,auc,1.0,"[array([[15,  0],
       [ 0, 25]])]"
chronic_kidney.csv,1,1,AdaBoost,None,acc,0.975,"[array([[15,  0],
       [ 1, 24]])]"
chronic_kidney.csv,1,1,AdaBoost,None,f1,0.9751481237656353,"[array([[15,  0],
       [ 1, 24]])]"
chronic_kidney.csv,1,1,AdaBoost,None,auc,0.98,"[array([[15,  0],
       [ 1, 24]])]"
chronic_kidney.csv,1,1,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 1.0]",acc,1.0,"[array([[15,  0],
       [ 0, 25]])]"
chronic_kidney.csv,1,1,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 1.0]",f1,1.0,"[array([[15,  0],
       [ 0, 25]])]"
chronic_kidney.csv,1,1,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 1.0]",auc,1.0,"[array([[15,  0],
       [ 0, 25]])]"
chronic_kidney.csv,1,1,Incremental_Mixed_Bagging,"[[-3.0, 3.0]]",acc,1.0,"[array([[15,  0],
       [ 0, 25]])]"
chronic_kidney.csv,1,1,Incremental_Mixed_Bagging,"[[-1.0, 3.0]]",f1,1.0,"[array([[15,  0],
       [ 0, 25]])]"
chronic_kidney.csv,1,1,Incremental_Mixed_Bagging,"[[-1.0, 3.0]]",auc,1.0,"[array([[15,  0],
       [ 0, 25]])]"
chronic_kidney.csv,2,1,base,None,acc,0.95,"[array([[15,  0],
       [ 2, 23]])]"
chronic_kidney.csv,2,1,base,None,f1,0.9505208333333334,"[array([[15,  0],
       [ 2, 23]])]"
chronic_kidney.csv,2,1,base,None,auc,0.96,"[array([[15,  0],
       [ 2, 23]])]"
chronic_kidney.csv,2,1,wagging,None,acc,1.0,"[array([[15,  0],
       [ 0, 25]])]"
chronic_kidney.csv,2,1,wagging,None,f1,1.0,"[array([[15,  0],
       [ 0, 25]])]"
chronic_kidney.csv,2,1,wagging,None,auc,1.0,"[array([[15,  0],
       [ 0, 25]])]"
chronic_kidney.csv,2,1,AdaBoost,None,acc,0.925,"[array([[15,  0],
       [ 3, 22]])]"
chronic_kidney.csv,2,1,AdaBoost,None,f1,0.9260154738878142,"[array([[15,  0],
       [ 3, 22]])]"
chronic_kidney.csv,2,1,AdaBoost,None,auc,0.94,"[array([[15,  0],
       [ 3, 22]])]"
chronic_kidney.csv,2,1,Grouped_Mixed_Bagging,"[[0.1, 0.8, 0.1], 3.0]",acc,1.0,"[array([[15,  0],
       [ 0, 25]])]"
chronic_kidney.csv,2,1,Grouped_Mixed_Bagging,"[[0.1, 0.8, 0.1], 3.0]",f1,1.0,"[array([[15,  0],
       [ 0, 25]])]"
chronic_kidney.csv,2,1,Grouped_Mixed_Bagging,"[[0.1, 0.8, 0.1], 3.0]",auc,1.0,"[array([[15,  0],
       [ 0, 25]])]"
chronic_kidney.csv,2,1,Incremental_Mixed_Bagging,"[[-3.0, 3.0]]",acc,1.0,"[array([[15,  0],
       [ 0, 25]])]"
chronic_kidney.csv,2,1,Incremental_Mixed_Bagging,"[[-3.0, 3.0]]",f1,1.0,"[array([[15,  0],
       [ 0, 25]])]"
chronic_kidney.csv,2,1,Incremental_Mixed_Bagging,"[[-3.0, 3.0]]",auc,1.0,"[array([[15,  0],
       [ 0, 25]])]"
chronic_kidney.csv,3,1,base,None,acc,1.0,"[array([[15,  0],
       [ 0, 25]])]"
chronic_kidney.csv,3,1,base,None,f1,1.0,"[array([[15,  0],
       [ 0, 25]])]"
chronic_kidney.csv,3,1,base,None,auc,1.0,"[array([[15,  0],
       [ 0, 25]])]"
chronic_kidney.csv,3,1,wagging,None,acc,1.0,"[array([[15,  0],
       [ 0, 25]])]"
chronic_kidney.csv,3,1,wagging,None,f1,1.0,"[array([[15,  0],
       [ 0, 25]])]"
chronic_kidney.csv,3,1,wagging,None,auc,1.0,"[array([[15,  0],
       [ 0, 25]])]"
chronic_kidney.csv,3,1,AdaBoost,None,acc,1.0,"[array([[15,  0],
       [ 0, 25]])]"
chronic_kidney.csv,3,1,AdaBoost,None,f1,1.0,"[array([[15,  0],
       [ 0, 25]])]"
