dataset,CV_fold,n_trees,model,parameters,perf_measure,perf_value,Conf_Matrix
diabetes.csv,0,2,base,None,acc,0.7142857142857143,"[array([[39, 11],
       [11, 16]])]"
diabetes.csv,0,2,base,None,f1,0.7142857142857143,"[array([[39, 11],
       [11, 16]])]"
diabetes.csv,0,2,base,None,auc,0.6862962962962964,"[array([[39, 11],
       [11, 16]])]"
diabetes.csv,0,2,wagging,None,acc,0.7142857142857143,"[array([[47,  3],
       [19,  8]])]"
diabetes.csv,0,2,wagging,None,f1,0.6738397718434016,"[array([[47,  3],
       [19,  8]])]"
diabetes.csv,0,2,wagging,None,auc,0.618148148148148,"[array([[47,  3],
       [19,  8]])]"
diabetes.csv,0,2,AdaBoost,None,acc,0.7142857142857143,"[array([[40, 10],
       [12, 15]])]"
diabetes.csv,0,2,AdaBoost,None,f1,0.7115923292393881,"[array([[40, 10],
       [12, 15]])]"
diabetes.csv,0,2,AdaBoost,None,auc,0.6777777777777778,"[array([[40, 10],
       [12, 15]])]"
diabetes.csv,0,2,Grouped_Mixed_Bagging,"[[0.0, 0.8, 0.2], 3.0]",acc,0.7272727272727273,"[array([[48,  2],
       [19,  8]])]"
diabetes.csv,0,2,Grouped_Mixed_Bagging,"[[0.2, 0.6, 0.2], 3.0]",f1,0.6883116883116883,"[array([[38, 12],
       [12, 15]])]"
diabetes.csv,0,2,Grouped_Mixed_Bagging,"[[0.2, 0.6, 0.2], 3.0]",auc,0.6207407407407407,"[array([[38, 12],
       [14, 13]])]"
diabetes.csv,0,2,Incremental_Mixed_Bagging,"[[-6.0, 6.0]]",acc,0.6883116883116883,"[array([[44,  6],
       [18,  9]])]"
diabetes.csv,0,2,Incremental_Mixed_Bagging,"[[-6.0, 6.0]]",f1,0.604786517829996,"[array([[44,  6],
       [21,  6]])]"
diabetes.csv,0,2,Incremental_Mixed_Bagging,"[[-6.0, 6.0]]",auc,0.6537037037037038,"[array([[45,  5],
       [16, 11]])]"
diabetes.csv,1,2,base,None,acc,0.6623376623376623,"[array([[36, 14],
       [12, 15]])]"
diabetes.csv,1,2,base,None,f1,0.6649218128809966,"[array([[36, 14],
       [12, 15]])]"
diabetes.csv,1,2,base,None,auc,0.6377777777777778,"[array([[36, 14],
       [12, 15]])]"
diabetes.csv,1,2,wagging,None,acc,0.6753246753246753,"[array([[43,  7],
       [18,  9]])]"
diabetes.csv,1,2,wagging,None,f1,0.6498839522095337,"[array([[43,  7],
       [18,  9]])]"
diabetes.csv,1,2,wagging,None,auc,0.5966666666666666,"[array([[43,  7],
       [18,  9]])]"
diabetes.csv,1,2,AdaBoost,None,acc,0.6623376623376623,"[array([[38, 12],
       [14, 13]])]"
diabetes.csv,1,2,AdaBoost,None,f1,0.6591545709192769,"[array([[38, 12],
       [14, 13]])]"
diabetes.csv,1,2,AdaBoost,None,auc,0.6207407407407407,"[array([[38, 12],
       [14, 13]])]"
diabetes.csv,1,2,Grouped_Mixed_Bagging,"[[0.3, 0.6, 0.1], 3.0]",acc,0.7142857142857143,"[array([[46,  4],
       [18,  9]])]"
diabetes.csv,1,2,Grouped_Mixed_Bagging,"[[0.3, 0.6, 0.1], 3.0]",f1,0.6507902474883608,"[array([[40, 10],
       [16, 11]])]"
diabetes.csv,1,2,Grouped_Mixed_Bagging,"[[0.2, 0.7, 0.1], 3.0]",auc,0.6862962962962964,"[array([[39, 11],
       [11, 16]])]"
diabetes.csv,1,2,Incremental_Mixed_Bagging,"[[-3.0, 1.0]]",acc,0.7272727272727273,"[array([[46,  4],
       [17, 10]])]"
diabetes.csv,1,2,Incremental_Mixed_Bagging,"[[-3.0, 1.0]]",f1,0.6711255504693882,"[array([[45,  5],
       [18,  9]])]"
diabetes.csv,1,2,Incremental_Mixed_Bagging,"[[-3.0, 1.0]]",auc,0.5981481481481482,"[array([[45,  5],
       [19,  8]])]"
diabetes.csv,2,2,base,None,acc,0.7272727272727273,"[array([[38, 12],
       [ 9, 18]])]"
diabetes.csv,2,2,base,None,f1,0.7302323287130666,"[array([[38, 12],
       [ 9, 18]])]"
diabetes.csv,2,2,base,None,auc,0.7133333333333333,"[array([[38, 12],
       [ 9, 18]])]"
diabetes.csv,2,2,wagging,None,acc,0.8051948051948052,"[array([[47,  3],
       [12, 15]])]"
diabetes.csv,2,2,wagging,None,f1,0.7937567020135827,"[array([[47,  3],
       [12, 15]])]"
diabetes.csv,2,2,wagging,None,auc,0.7477777777777778,"[array([[47,  3],
       [12, 15]])]"
diabetes.csv,2,2,AdaBoost,None,acc,0.7532467532467533,"[array([[40, 10],
       [ 9, 18]])]"
diabetes.csv,2,2,AdaBoost,None,f1,0.754243736061918,"[array([[40, 10],
       [ 9, 18]])]"
diabetes.csv,2,2,AdaBoost,None,auc,0.7333333333333333,"[array([[40, 10],
       [ 9, 18]])]"
diabetes.csv,2,2,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 3.0]",acc,0.7922077922077922,"[array([[47,  3],
       [13, 14]])]"
diabetes.csv,2,2,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 3.0]",f1,0.7339118036792455,"[array([[46,  4],
       [15, 12]])]"
diabetes.csv,2,2,Grouped_Mixed_Bagging,"[[0.2, 0.7, 0.1], 3.0]",auc,0.6577777777777778,"[array([[38, 12],
       [12, 15]])]"
diabetes.csv,2,2,Incremental_Mixed_Bagging,"[[-4.0, 4.0]]",acc,0.7272727272727273,"[array([[45,  5],
       [16, 11]])]"
diabetes.csv,2,2,Incremental_Mixed_Bagging,"[[-1.0, 1.0]]",f1,0.7225501770956317,"[array([[45,  5],
       [15, 12]])]"
diabetes.csv,2,2,Incremental_Mixed_Bagging,"[[-1.0, 1.0]]",auc,0.7248148148148149,"[array([[41,  9],
       [10, 17]])]"
diabetes.csv,3,2,base,None,acc,0.8181818181818182,"[array([[45,  5],
       [ 9, 18]])]"
diabetes.csv,3,2,base,None,f1,0.8144055944055943,"[array([[45,  5],
       [ 9, 18]])]"
diabetes.csv,3,2,base,None,auc,0.7833333333333333,"[array([[45,  5],
       [ 9, 18]])]"
diabetes.csv,3,2,wagging,None,acc,0.7532467532467533,"[array([[48,  2],
       [17, 10]])]"
diabetes.csv,3,2,wagging,None,f1,0.7218868088433306,"[array([[48,  2],
       [17, 10]])]"
diabetes.csv,3,2,wagging,None,auc,0.6651851851851851,"[array([[48,  2],
       [17, 10]])]"
diabetes.csv,3,2,AdaBoost,None,acc,0.7792207792207793,"[array([[43,  7],
       [10, 17]])]"
diabetes.csv,3,2,AdaBoost,None,f1,0.7759425040978439,"[array([[43,  7],
       [10, 17]])]"
diabetes.csv,3,2,AdaBoost,None,auc,0.7448148148148148,"[array([[43,  7],
       [10, 17]])]"
diabetes.csv,3,2,Grouped_Mixed_Bagging,"[[0.3, 0.6, 0.1], 2.0]",acc,0.6623376623376623,"[array([[44,  6],
       [20,  7]])]"
diabetes.csv,3,2,Grouped_Mixed_Bagging,"[[0.2, 0.6, 0.2], 2.0]",f1,0.6968633878970829,"[array([[40, 10],
       [13, 14]])]"
diabetes.csv,3,2,Grouped_Mixed_Bagging,"[[0.2, 0.6, 0.2], 2.0]",auc,0.6477777777777778,"[array([[37, 13],
       [12, 15]])]"
diabetes.csv,3,2,Incremental_Mixed_Bagging,"[[-4.0, 2.0]]",acc,0.6753246753246753,"[array([[46,  4],
       [21,  6]])]"
diabetes.csv,3,2,Incremental_Mixed_Bagging,"[[-4.0, 2.0]]",f1,0.652904989747095,"[array([[45,  5],
       [19,  8]])]"
diabetes.csv,3,2,Incremental_Mixed_Bagging,"[[-4.0, 2.0]]",auc,0.6551851851851851,"[array([[47,  3],
       [17, 10]])]"
diabetes.csv,4,2,base,None,acc,0.7532467532467533,"[array([[41,  9],
       [10, 17]])]"
diabetes.csv,4,2,base,None,f1,0.7521404431548276,"[array([[41,  9],
       [10, 17]])]"
diabetes.csv,4,2,base,None,auc,0.7248148148148149,"[array([[41,  9],
       [10, 17]])]"
diabetes.csv,4,2,wagging,None,acc,0.6623376623376623,"[array([[39, 11],
       [15, 12]])]"
diabetes.csv,4,2,wagging,None,f1,0.6553246753246754,"[array([[39, 11],
       [15, 12]])]"
diabetes.csv,4,2,wagging,None,auc,0.6122222222222222,"[array([[39, 11],
       [15, 12]])]"
diabetes.csv,4,2,AdaBoost,None,acc,0.7272727272727273,"[array([[38, 12],
       [ 9, 18]])]"
diabetes.csv,4,2,AdaBoost,None,f1,0.7302323287130666,"[array([[38, 12],
       [ 9, 18]])]"
diabetes.csv,4,2,AdaBoost,None,auc,0.7133333333333333,"[array([[38, 12],
       [ 9, 18]])]"
diabetes.csv,4,2,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 2.0]",acc,0.6883116883116883,"[array([[45,  5],
       [19,  8]])]"
diabetes.csv,4,2,Grouped_Mixed_Bagging,"[[0.1, 0.7, 0.2], 3.0]",f1,0.7232230932973366,"[array([[41,  9],
       [12, 15]])]"
diabetes.csv,4,2,Grouped_Mixed_Bagging,"[[0.1, 0.7, 0.2], 3.0]",auc,0.7403703703703703,"[array([[37, 13],
       [ 7, 20]])]"
diabetes.csv,4,2,Incremental_Mixed_Bagging,"[[-4.0, 2.0]]",acc,0.7142857142857143,"[array([[47,  3],
       [19,  8]])]"
diabetes.csv,4,2,Incremental_Mixed_Bagging,"[[-2.0, 0.0]]",f1,0.6498839522095337,"[array([[43,  7],
       [18,  9]])]"
diabetes.csv,4,2,Incremental_Mixed_Bagging,"[[-2.0, 0.0]]",auc,0.6066666666666667,"[array([[44,  6],
       [18,  9]])]"
diabetes.csv,5,2,base,None,acc,0.7272727272727273,"[array([[39, 11],
       [10, 17]])]"
diabetes.csv,5,2,base,None,f1,0.7283746556473828,"[array([[39, 11],
       [10, 17]])]"
diabetes.csv,5,2,base,None,auc,0.7048148148148149,"[array([[39, 11],
       [10, 17]])]"
diabetes.csv,5,2,wagging,None,acc,0.7142857142857143,"[array([[43,  7],
       [15, 12]])]"
diabetes.csv,5,2,wagging,None,f1,0.7000230043708305,"[array([[43,  7],
       [15, 12]])]"
diabetes.csv,5,2,wagging,None,auc,0.6522222222222221,"[array([[43,  7],
       [15, 12]])]"
diabetes.csv,5,2,AdaBoost,None,acc,0.7142857142857143,"[array([[38, 12],
       [10, 17]])]"
diabetes.csv,5,2,AdaBoost,None,f1,0.7164723032069972,"[array([[38, 12],
       [10, 17]])]"
diabetes.csv,5,2,AdaBoost,None,auc,0.6948148148148149,"[array([[38, 12],
       [10, 17]])]"
diabetes.csv,5,2,Grouped_Mixed_Bagging,"[[0.3, 0.6, 0.1], 2.0]",acc,0.7012987012987013,"[array([[43,  7],
       [16, 11]])]"
diabetes.csv,5,2,Grouped_Mixed_Bagging,"[[0.3, 0.6, 0.1], 2.0]",f1,0.7000230043708305,"[array([[43,  7],
       [15, 12]])]"
diabetes.csv,5,2,Grouped_Mixed_Bagging,"[[0.2, 0.6, 0.2], 3.0]",auc,0.4981481481481481,"[array([[35, 15],
       [19,  8]])]"
diabetes.csv,5,2,Incremental_Mixed_Bagging,"[[-5.0, 5.0]]",acc,0.7532467532467533,"[array([[46,  4],
       [15, 12]])]"
diabetes.csv,5,2,Incremental_Mixed_Bagging,"[[-5.0, 5.0]]",f1,0.628762063624449,"[array([[41,  9],
       [18,  9]])]"
diabetes.csv,5,2,Incremental_Mixed_Bagging,"[[-5.0, 5.0]]",auc,0.6266666666666666,"[array([[46,  4],
       [18,  9]])]"
diabetes.csv,6,2,base,None,acc,0.7532467532467533,"[array([[42,  8],
       [11, 16]])]"
diabetes.csv,6,2,base,None,f1,0.7495827986975903,"[array([[42,  8],
       [11, 16]])]"
diabetes.csv,6,2,base,None,auc,0.7162962962962963,"[array([[42,  8],
       [11, 16]])]"
diabetes.csv,6,2,wagging,None,acc,0.7532467532467533,"[array([[47,  3],
       [16, 11]])]"
diabetes.csv,6,2,wagging,None,f1,0.7283211069094945,"[array([[47,  3],
       [16, 11]])]"
diabetes.csv,6,2,wagging,None,auc,0.6737037037037037,"[array([[47,  3],
       [16, 11]])]"
diabetes.csv,6,2,AdaBoost,None,acc,0.7402597402597403,"[array([[43,  7],
       [13, 14]])]"
diabetes.csv,6,2,AdaBoost,None,f1,0.7313771134525852,"[array([[43,  7],
       [13, 14]])]"
diabetes.csv,6,2,AdaBoost,None,auc,0.6892592592592592,"[array([[43,  7],
       [13, 14]])]"
diabetes.csv,6,2,Grouped_Mixed_Bagging,"[[0.4, 0.4, 0.2], 2.0]",acc,0.7662337662337663,"[array([[48,  2],
       [16, 11]])]"
diabetes.csv,6,2,Grouped_Mixed_Bagging,"[[0.2, 0.7, 0.1], 3.0]",f1,0.7142857142857143,"[array([[39, 11],
       [11, 16]])]"
diabetes.csv,6,2,Grouped_Mixed_Bagging,"[[0.2, 0.7, 0.1], 3.0]",auc,0.7148148148148149,"[array([[40, 10],
       [10, 17]])]"
diabetes.csv,6,2,Incremental_Mixed_Bagging,"[[-2.0, 0.0]]",acc,0.7792207792207793,"[array([[47,  3],
       [14, 13]])]"
diabetes.csv,6,2,Incremental_Mixed_Bagging,"[[-2.0, 0.0]]",f1,0.6340615905833297,"[array([[45,  5],
       [20,  7]])]"
diabetes.csv,6,2,Incremental_Mixed_Bagging,"[[-2.0, 0.0]]",auc,0.6922222222222222,"[array([[47,  3],
       [15, 12]])]"
diabetes.csv,7,2,base,None,acc,0.6493506493506493,"[array([[35, 15],
       [12, 15]])]"
diabetes.csv,7,2,base,None,f1,0.6531558512025142,"[array([[35, 15],
       [12, 15]])]"
diabetes.csv,7,2,base,None,auc,0.6277777777777778,"[array([[35, 15],
       [12, 15]])]"
diabetes.csv,7,2,wagging,None,acc,0.7012987012987013,"[array([[45,  5],
       [18,  9]])]"
diabetes.csv,7,2,wagging,None,f1,0.6711255504693882,"[array([[45,  5],
       [18,  9]])]"
diabetes.csv,7,2,wagging,None,auc,0.6166666666666667,"[array([[45,  5],
       [18,  9]])]"
diabetes.csv,7,2,AdaBoost,None,acc,0.6493506493506493,"[array([[36, 14],
       [13, 14]])]"
diabetes.csv,7,2,AdaBoost,None,f1,0.6507674144037779,"[array([[36, 14],
       [13, 14]])]"
diabetes.csv,7,2,AdaBoost,None,auc,0.6192592592592592,"[array([[36, 14],
       [13, 14]])]"
diabetes.csv,7,2,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 3.0]",acc,0.7402597402597403,"[array([[47,  3],
       [17, 10]])]"
