dataset,CV_fold,n_trees,model,parameters,perf_measure,perf_value,Conf_Matrix
saheart.csv,0,2,base,None,acc,0.6382978723404256,"[array([[22,  9],
       [ 8,  8]])]"
saheart.csv,0,2,base,None,f1,0.6408134360698016,"[array([[22,  9],
       [ 8,  8]])]"
saheart.csv,0,2,base,None,auc,0.6048387096774194,"[array([[22,  9],
       [ 8,  8]])]"
saheart.csv,0,2,wagging,None,acc,0.6382978723404256,"[array([[28,  3],
       [14,  2]])]"
saheart.csv,0,2,wagging,None,f1,0.5708178928814311,"[array([[28,  3],
       [14,  2]])]"
saheart.csv,0,2,wagging,None,auc,0.5141129032258065,"[array([[28,  3],
       [14,  2]])]"
saheart.csv,0,2,AdaBoost,None,acc,0.6382978723404256,"[array([[22,  9],
       [ 8,  8]])]"
saheart.csv,0,2,AdaBoost,None,f1,0.6408134360698016,"[array([[22,  9],
       [ 8,  8]])]"
saheart.csv,0,2,AdaBoost,None,auc,0.6048387096774194,"[array([[22,  9],
       [ 8,  8]])]"
saheart.csv,0,2,Grouped_Mixed_Bagging,"[[0.0, 0.7, 0.3], 3.0]",acc,0.6382978723404256,"[array([[26,  5],
       [12,  4]])]"
saheart.csv,0,2,Grouped_Mixed_Bagging,"[[0.0, 0.7, 0.3], 3.0]",f1,0.5403916699588013,"[array([[22,  9],
       [12,  4]])]"
saheart.csv,0,2,Grouped_Mixed_Bagging,"[[0.2, 0.7, 0.1], 1.0]",auc,0.5564516129032259,"[array([[19, 12],
       [ 8,  8]])]"
saheart.csv,0,2,Incremental_Mixed_Bagging,"[[-1.0, 3.0]]",acc,0.6595744680851063,"[array([[26,  5],
       [11,  5]])]"
saheart.csv,0,2,Incremental_Mixed_Bagging,"[[-4.0, 3.0]]",f1,0.745063213074314,"[array([[29,  2],
       [ 9,  7]])]"
saheart.csv,0,2,Incremental_Mixed_Bagging,"[[-4.0, 3.0]]",auc,0.592741935483871,"[array([[29,  2],
       [12,  4]])]"
saheart.csv,1,2,base,None,acc,0.5319148936170213,"[array([[20, 11],
       [11,  5]])]"
saheart.csv,1,2,base,None,f1,0.5319148936170213,"[array([[20, 11],
       [11,  5]])]"
saheart.csv,1,2,base,None,auc,0.47883064516129037,"[array([[20, 11],
       [11,  5]])]"
saheart.csv,1,2,wagging,None,acc,0.7021276595744681,"[array([[28,  3],
       [11,  5]])]"
saheart.csv,1,2,wagging,None,f1,0.6695035460992909,"[array([[28,  3],
       [11,  5]])]"
saheart.csv,1,2,wagging,None,auc,0.6078629032258065,"[array([[28,  3],
       [11,  5]])]"
saheart.csv,1,2,AdaBoost,None,acc,0.6170212765957447,"[array([[22,  9],
       [ 9,  7]])]"
saheart.csv,1,2,AdaBoost,None,f1,0.6170212765957448,"[array([[22,  9],
       [ 9,  7]])]"
saheart.csv,1,2,AdaBoost,None,auc,0.5735887096774194,"[array([[22,  9],
       [ 9,  7]])]"
saheart.csv,1,2,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 1.0]",acc,0.723404255319149,"[array([[28,  3],
       [10,  6]])]"
saheart.csv,1,2,Grouped_Mixed_Bagging,"[[0.4, 0.4, 0.2], 2.0]",f1,0.7167173252279635,"[array([[29,  2],
       [10,  6]])]"
saheart.csv,1,2,Grouped_Mixed_Bagging,"[[0.2, 0.7, 0.1], 1.0]",auc,0.5423387096774194,"[array([[22,  9],
       [10,  6]])]"
saheart.csv,1,2,Incremental_Mixed_Bagging,"[[-3.0, 3.0]]",acc,0.6170212765957447,"[array([[25,  6],
       [12,  4]])]"
saheart.csv,1,2,Incremental_Mixed_Bagging,"[[-2.0, 1.0]]",f1,0.6695035460992909,"[array([[28,  3],
       [11,  5]])]"
saheart.csv,1,2,Incremental_Mixed_Bagging,"[[-2.0, 1.0]]",auc,0.6068548387096775,"[array([[26,  5],
       [10,  6]])]"
saheart.csv,2,2,base,None,acc,0.5869565217391305,"[array([[19, 11],
       [ 8,  8]])]"
saheart.csv,2,2,base,None,f1,0.5937888198757765,"[array([[19, 11],
       [ 8,  8]])]"
saheart.csv,2,2,base,None,auc,0.5666666666666667,"[array([[19, 11],
       [ 8,  8]])]"
saheart.csv,2,2,wagging,None,acc,0.6086956521739131,"[array([[27,  3],
       [15,  1]])]"
saheart.csv,2,2,wagging,None,f1,0.523913043478261,"[array([[27,  3],
       [15,  1]])]"
saheart.csv,2,2,wagging,None,auc,0.48125,"[array([[27,  3],
       [15,  1]])]"
saheart.csv,2,2,AdaBoost,None,acc,0.6086956521739131,"[array([[20, 10],
       [ 8,  8]])]"
saheart.csv,2,2,AdaBoost,None,f1,0.6134579768939059,"[array([[20, 10],
       [ 8,  8]])]"
saheart.csv,2,2,AdaBoost,None,auc,0.5833333333333334,"[array([[20, 10],
       [ 8,  8]])]"
saheart.csv,2,2,Grouped_Mixed_Bagging,"[[0.0, 1.0, 0.0], 1.0]",acc,0.6086956521739131,"[array([[23,  7],
       [11,  5]])]"
saheart.csv,2,2,Grouped_Mixed_Bagging,"[[0.2, 0.6, 0.2], 2.0]",f1,0.6993562042508157,"[array([[22,  8],
       [ 6, 10]])]"
saheart.csv,2,2,Grouped_Mixed_Bagging,"[[0.1, 0.7, 0.2], 3.0]",auc,0.56875,"[array([[21,  9],
       [ 9,  7]])]"
saheart.csv,2,2,Incremental_Mixed_Bagging,"[[-2.0, 1.0]]",acc,0.6304347826086957,"[array([[25,  5],
       [12,  4]])]"
saheart.csv,2,2,Incremental_Mixed_Bagging,"[[-2.0, 1.0]]",f1,0.5664961636828645,"[array([[25,  5],
       [13,  3]])]"
saheart.csv,2,2,Incremental_Mixed_Bagging,"[[-2.0, 1.0]]",auc,0.5437500000000001,"[array([[27,  3],
       [13,  3]])]"
saheart.csv,3,2,base,None,acc,0.6739130434782609,"[array([[23,  7],
       [ 8,  8]])]"
saheart.csv,3,2,base,None,f1,0.6713264203435036,"[array([[23,  7],
       [ 8,  8]])]"
saheart.csv,3,2,base,None,auc,0.6333333333333333,"[array([[23,  7],
       [ 8,  8]])]"
saheart.csv,3,2,wagging,None,acc,0.6739130434782609,"[array([[26,  4],
       [11,  5]])]"
saheart.csv,3,2,wagging,None,f1,0.6452952628163531,"[array([[26,  4],
       [11,  5]])]"
saheart.csv,3,2,wagging,None,auc,0.5895833333333333,"[array([[26,  4],
       [11,  5]])]"
saheart.csv,3,2,AdaBoost,None,acc,0.6956521739130435,"[array([[23,  7],
       [ 7,  9]])]"
saheart.csv,3,2,AdaBoost,None,f1,0.6956521739130435,"[array([[23,  7],
       [ 7,  9]])]"
saheart.csv,3,2,AdaBoost,None,auc,0.6645833333333333,"[array([[23,  7],
       [ 7,  9]])]"
saheart.csv,3,2,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 3.0]",acc,0.6304347826086957,"[array([[25,  5],
       [12,  4]])]"
saheart.csv,3,2,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 3.0]",f1,0.5622721838276034,"[array([[27,  3],
       [14,  2]])]"
saheart.csv,3,2,Grouped_Mixed_Bagging,"[[0.1, 0.7, 0.2], 1.0]",auc,0.6645833333333333,"[array([[23,  7],
       [ 7,  9]])]"
saheart.csv,3,2,Incremental_Mixed_Bagging,"[[-1.0, 2.0]]",acc,0.5869565217391305,"[array([[25,  5],
       [14,  2]])]"
