dataset,CV_fold,n_trees,model,parameters,perf_measure,perf_value,Conf_Matrix
bands.csv,0,2,base,None,acc,0.7027027027027027,"[array([[15,  8],
       [ 3, 11]])]"
bands.csv,0,2,base,None,f1,0.7070973412436827,"[array([[15,  8],
       [ 3, 11]])]"
bands.csv,0,2,base,None,auc,0.718944099378882,"[array([[15,  8],
       [ 3, 11]])]"
bands.csv,0,2,wagging,None,acc,0.5135135135135135,"[array([[16,  7],
       [11,  3]])]"
bands.csv,0,2,wagging,None,f1,0.4924324324324324,"[array([[16,  7],
       [11,  3]])]"
bands.csv,0,2,wagging,None,auc,0.4549689440993788,"[array([[16,  7],
       [11,  3]])]"
bands.csv,0,2,AdaBoost,None,acc,0.5675675675675675,"[array([[12, 11],
       [ 5,  9]])]"
bands.csv,0,2,AdaBoost,None,f1,0.5732909379968203,"[array([[12, 11],
       [ 5,  9]])]"
bands.csv,0,2,AdaBoost,None,auc,0.5822981366459627,"[array([[12, 11],
       [ 5,  9]])]"
bands.csv,0,2,Grouped_Mixed_Bagging,"[[0.2, 0.8, 0.0], 3.0]",acc,0.7297297297297297,"[array([[20,  3],
       [ 7,  7]])]"
bands.csv,0,2,Grouped_Mixed_Bagging,"[[0.2, 0.4, 0.4], 2.0]",f1,0.5826806398234968,"[array([[17,  6],
       [ 9,  5]])]"
bands.csv,0,2,Grouped_Mixed_Bagging,"[[0.2, 0.8, 0.0], 3.0]",auc,0.6211180124223602,"[array([[22,  1],
       [10,  4]])]"
bands.csv,0,2,Incremental_Mixed_Bagging,"[[-2.0, 0.0]]",acc,0.6756756756756757,"[array([[20,  3],
       [ 9,  5]])]"
bands.csv,0,2,Incremental_Mixed_Bagging,"[[-3.0, 3.0]]",f1,0.5503003003003003,"[array([[21,  2],
       [12,  2]])]"
bands.csv,0,2,Incremental_Mixed_Bagging,"[[-3.0, 3.0]]",auc,0.44875776397515527,"[array([[19,  4],
       [13,  1]])]"
bands.csv,1,2,base,None,acc,0.5675675675675675,"[array([[15,  8],
       [ 8,  6]])]"
bands.csv,1,2,base,None,f1,0.5675675675675675,"[array([[15,  8],
       [ 8,  6]])]"
bands.csv,1,2,base,None,auc,0.5403726708074534,"[array([[15,  8],
       [ 8,  6]])]"
bands.csv,1,2,wagging,None,acc,0.6756756756756757,"[array([[20,  3],
       [ 9,  5]])]"
bands.csv,1,2,wagging,None,f1,0.6501606501606502,"[array([[20,  3],
       [ 9,  5]])]"
bands.csv,1,2,wagging,None,auc,0.6133540372670807,"[array([[20,  3],
       [ 9,  5]])]"
bands.csv,1,2,AdaBoost,None,acc,0.5945945945945946,"[array([[17,  6],
       [ 9,  5]])]"
bands.csv,1,2,AdaBoost,None,f1,0.5826806398234968,"[array([[17,  6],
       [ 9,  5]])]"
bands.csv,1,2,AdaBoost,None,auc,0.5481366459627329,"[array([[17,  6],
       [ 9,  5]])]"
bands.csv,1,2,Grouped_Mixed_Bagging,"[[0.4, 0.4, 0.2], 2.0]",acc,0.6216216216216216,"[array([[20,  3],
       [11,  3]])]"
bands.csv,1,2,Grouped_Mixed_Bagging,"[[0.4, 0.4, 0.2], 2.0]",f1,0.6132925378208396,"[array([[20,  3],
       [10,  4]])]"
bands.csv,1,2,Grouped_Mixed_Bagging,"[[0.4, 0.4, 0.2], 2.0]",auc,0.6350931677018634,"[array([[21,  2],
       [ 9,  5]])]"
bands.csv,1,2,Incremental_Mixed_Bagging,"[[-2.0, 3.0]]",acc,0.6216216216216216,"[array([[18,  5],
       [ 9,  5]])]"
bands.csv,1,2,Incremental_Mixed_Bagging,"[[-2.0, 3.0]]",f1,0.5918540918540919,"[array([[19,  4],
       [10,  4]])]"
bands.csv,1,2,Incremental_Mixed_Bagging,"[[-2.0, 3.0]]",auc,0.5201863354037267,"[array([[19,  4],
       [11,  3]])]"
bands.csv,2,2,base,None,acc,0.6486486486486487,"[array([[19,  4],
       [ 9,  5]])]"
bands.csv,2,2,base,None,f1,0.6276813898297274,"[array([[19,  4],
       [ 9,  5]])]"
bands.csv,2,2,base,None,auc,0.5916149068322981,"[array([[19,  4],
       [ 9,  5]])]"
bands.csv,2,2,wagging,None,acc,0.5675675675675675,"[array([[19,  4],
       [12,  2]])]"
bands.csv,2,2,wagging,None,f1,0.5131131131131131,"[array([[19,  4],
       [12,  2]])]"
bands.csv,2,2,wagging,None,auc,0.484472049689441,"[array([[19,  4],
       [12,  2]])]"
bands.csv,2,2,AdaBoost,None,acc,0.6216216216216216,"[array([[19,  4],
       [10,  4]])]"
bands.csv,2,2,AdaBoost,None,f1,0.5918540918540919,"[array([[19,  4],
       [10,  4]])]"
bands.csv,2,2,AdaBoost,None,auc,0.5559006211180124,"[array([[19,  4],
       [10,  4]])]"
bands.csv,2,2,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 2.0]",acc,0.6756756756756757,"[array([[22,  1],
       [11,  3]])]"
bands.csv,2,2,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 2.0]",f1,0.5351045961215452,"[array([[23,  0],
       [13,  1]])]"
bands.csv,2,2,Grouped_Mixed_Bagging,"[[0.2, 0.7, 0.1], 3.0]",auc,0.5046583850931677,"[array([[15,  8],
       [ 9,  5]])]"
bands.csv,2,2,Incremental_Mixed_Bagging,"[[-3.0, 3.0]]",acc,0.5945945945945946,"[array([[20,  3],
       [12,  2]])]"
bands.csv,2,2,Incremental_Mixed_Bagging,"[[-3.0, 3.0]]",f1,0.6132925378208396,"[array([[20,  3],
       [10,  4]])]"
