n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.6800717094610225,0.040851012228434305,0.21546640229875277,0.3458710071005209,0.4839855303275978,0.3332940712003594,0.2038435430109117,0.31474580069518304,0.9906889644869213,0.9758311781881515,0.048858278863737205,0.021579360827259697,0.009733555966098022,0.011344629206626447,0.03562373512250527,0.00889702927774972,0.014150916653996894,0.008965952070572821,0.0005721559438860643,0.0021657709033684066,"[[483, 198], [224, 414]]","[0.04352326300881444, 0.03650182749777345]","[0.21158784789271934, 0.2205332742948573]","[0.3604353778942262, 0.3260286501969377]","[0.4738635065767798, 0.49820603841078565]","[0.32459440159664515, 0.3451011483312349]","[0.18728744244903256, 0.2256807418407009]","[0.30005872581405996, 0.33435620320744464]","[0.9893549527061924, 0.9924706106219482]","[0.9855166802050981, 0.9626934135055887]","[0.022518460650090742, 0.024063442024895288]","[0.01169167801462889, 0.009922658829195637]","[0.01673612488813576, 0.021819300835766803]","[0.03511917302989229, 0.04799880695005028]","[0.009570703738639195, 0.008890633639868415]","[0.0104542933945085, 0.023621919180600862]","[0.010896303143840387, 0.013375249433036595]","[0.0007310624456382884, 0.0005034515653537152]","[0.002329503870561227, 0.004102557012623483]"
0,DCP,0.6633587786259543,0.1106834988469361,0.27268126363324346,0.30937673705283103,0.5298333078064383,0.392271144737382,0.2606676812791668,0.3209180996272293,0.9931775284354407,0.9806862825492679,0.04917173118161907,0.03227423380860953,0.010204728867798324,0.016063603247945226,0.04076910612054434,0.005975089321157767,0.008291455339793325,0.009208129630234457,0.00042995354416362573,0.0016755722814794476,"[[514, 167], [277, 361]]","[0.12215026748891962, 0.09466669579910383]","[0.29606999502302983, 0.2545187016409111]","[0.33224247871113294, 0.291370276059927]","[0.526532369943731, 0.5264783846684395]","[0.3931070352424474, 0.39089627144499983]","[0.284968401060684, 0.24072977864994893]","[0.3160721176638178, 0.3242771786241324]","[0.9928415102242045, 0.9933646424836077]","[0.9880664879332656, 0.9740598193253452]","[0.048269096299374155, 0.026645626262885826]","[0.023010656101069053, 0.024299874339616355]","[0.032789385936096656, 0.024906627998652252]","[0.030102794364728274, 0.05871136216833818]","[0.008657745491909912, 0.012806271039464384]","[0.020069622244115418, 0.017339328184096777]","[0.011911304405956644, 0.012845954472027334]","[0.0005050916092344852, 0.000558607684833486]","[0.001079988298328518, 0.002762854210726264]"
0,F1,0.6960154984964145,0.23653929068840612,0.36455162407563424,0.4308422065644774,0.5226035180026236,0.44117840699460775,0.34896467499914563,0.32893335941016233,0.9946242417253895,0.9655693283708908,0.038940852533955704,0.022256993550183023,0.011142154404270304,0.01077190086567706,0.03376745914968623,0.0035803819066375195,0.014836359967742074,0.008737661177609804,0.00028008173143353446,0.0018009286996861853,"[[483, 198], [203, 435]]","[0.2072711227975353, 0.2667099404727488]","[0.3638947338048197, 0.3651586550592589]","[0.4235379275820648, 0.4383804718005604]","[0.5125283023395351, 0.532775843123323]","[0.43158213318464417, 0.4510962280081393]","[0.33700893036568286, 0.36145580801377164]","[0.32379811673647835, 0.3341962182811723]","[0.9942560584932542, 0.9950023043437174]","[0.9699959335063729, 0.9609888067296153]","[0.03011855900454523, 0.02557941473227484]","[0.008963686224703208, 0.014315051540710345]","[0.00997171969518852, 0.012060600377096926]","[0.03154932215935047, 0.039278593391319644]","[0.00392219035264778, 0.004760133526312179]","[0.01694783603110626, 0.021398249381195777]","[0.010299631134828237, 0.007915293568134637]","[0.0003745298683647994, 0.00035537881503336626]","[0.0021226943776648387, 0.0036896734709835543]"
0,Hostility,0.6861149664584779,0.005643772745710403,0.20892844479617856,0.3655448525507267,0.49384179587332755,0.36981817646733905,0.18676043516765925,0.2872122336144124,0.9904153024597558,0.9763215559129629,0.03288140142610707,0.0023502554667706225,0.013704016309017908,0.018017913796345732,0.032152949597464016,0.010589115894819796,0.016842515605932404,0.009775916172704848,0.0006941966662398402,0.002638133049756247,"[[488, 193], [221, 417]]","[0.0037908373122625587, 0.00773507500669519]","[0.2008438793729152, 0.21833250880044225]","[0.3775136704283676, 0.352418445716127]","[0.4786739608855042, 0.511932090597429]","[0.3559212159261861, 0.385586128806397]","[0.17547162875098982, 0.1998820418151669]","[0.2725438362279136, 0.30362632505039405]","[0.9887990190824878, 0.9922366466089787]","[0.983264856013793, 0.9685156559999595]","[0.0022942044586155993, 0.004034258779383645]","[0.016618691859564695, 0.016986315337545334]","[0.012600665354591655, 0.026902124896099534]","[0.029015101557390975, 0.050764220196765984]","[0.0115044513510391, 0.012551564956604767]","[0.01206033761949736, 0.026949436756648192]","[0.01057974550773299, 0.01624326871672904]","[0.0008595626801210445, 0.0007204747753622993]","[0.003334117380926057, 0.004748988189872533]"
0,LSC,0.6830441822808235,0.07893077077997043,0.11581120103024063,0.37326072075079625,0.510696124681443,0.3885363455362931,0.06427218420548945,0.2478556578768901,0.9875572111891746,0.9801196334435212,0.034807347739315056,0.013960171736656837,0.0063055138767325785,0.012524563261486942,0.036517715362227525,0.005967236362910203,0.006461710825893432,0.007751382577438174,0.000492166079745926,0.0009698988921314301,"[[471, 210], [208, 430]]","[0.047816281049727065, 0.11253392404126036]","[0.10767367026903345, 0.12414424258103826]","[0.36956259967619953, 0.3772404343787471]","[0.4929090731669448, 0.5297856315611342]","[0.3739249891142184, 0.4042513884370845]","[0.0618111752098912, 0.06688168113166608]","[0.24637054241430137, 0.24929383877791983]","[0.9858342961683715, 0.9893713668949804]","[0.9859062983390903, 0.9739533506351273]","[0.017442211138526054, 0.01741923260843649]","[0.01076797989259662, 0.008273020081652068]","[0.013908234904721909, 0.011981715234975557]","[0.03284380746461911, 0.05072388080911042]","[0.005183292632662912, 0.008053151337039124]","[0.006724918687647207, 0.007694866543834607]","[0.006829079104200978, 0.011166354155650248]","[0.0009021235375192769, 0.00037226393553949517]","[0.0017152394328444013, 0.0017065952294313426]"
0,N1,0.7027758501040944,0.10824348511795859,0.19986560352187985,0.3866522724501594,0.5140705854716187,0.4021558412441573,0.013152160875412771,0.27296976374852283,0.990791959494949,0.9782279149515116,0.04277497218281425,0.01847378739732927,0.0069198783798521575,0.009979694107317577,0.03321620773222585,0.005487289979181864,0.004022992347647952,0.004612314117290144,0.0003497790608719684,0.0019563978985454146,"[[501, 180], [212, 426]]","[0.08625893745630378, 0.13220508474278936]","[0.19772635497881247, 0.2024219184337101]","[0.3839049680365433, 0.389832794677492]","[0.5011100414524056, 0.529286372792009]","[0.3915401695841, 0.41399803506679367]","[0.013332784519631342, 0.012898701338944727]","[0.26235175596107074, 0.2844797987234615]","[0.9900776655582539, 0.9915901008887543]","[0.9831983818264616, 0.9727379895692803]","[0.027594563313419036, 0.011629845991242338]","[0.013284308410759364, 0.007724929217902853]","[0.009927658424169952, 0.011329606627683455]","[0.02772492526133563, 0.04711819977970237]","[0.005193410918157476, 0.008222800794269104]","[0.00424761154975325, 0.005468405451421303]","[0.0064083363978064585, 0.009346562767394399]","[0.0004537005007947165, 0.000441426931609912]","[0.0013086264607167137, 0.0035053735416947242]"
0,N2,0.6535623409669211,0.17083613444186316,0.2833461262441886,0.4276311402681198,0.5221839415399814,0.4389867756338357,0.30672109158068156,0.07758540141275308,0.9928695285141694,0.9808623623588776,0.03962236730694617,0.01709501192991784,0.010465655657455407,0.012948822070404119,0.03396083949915048,0.005246485017032696,0.009904079040847539,0.004917466241439579,0.0002485411142245026,0.0010483905939617593,"[[438, 243], [214, 424]]","[0.12438213689151933, 0.22127078384152826]","[0.2810156233827889, 0.2858665829145736]","[0.4152061015756988, 0.4410706948963597]","[0.505163392350293, 0.5408718698890682]","[0.4276451654318696, 0.45130739008690224]","[0.2932722537279406, 0.3213327034224436]","[0.08241765892220117, 0.07226704134997816]","[0.9923166662048244, 0.993465614919028]","[0.9839429997801776, 0.977542273432773]","[0.0254784137869861, 0.022667590022301218]","[0.017867727530123403, 0.010836432519829632]","[0.01471947062016595, 0.01113288764331781]","[0.026195954199585838, 0.045289383214211824]","[0.006800895709025708, 0.005445382151750063]","[0.021264455522896988, 0.01986123257935521]","[0.005058712782858713, 0.007695478434274912]","[0.0003757564689596055, 0.0002565439391796711]","[0.001617900829213693, 0.0022266350239410126]"
0,TD_U,0.6543314827665972,0.20166116372940296,0.3294884395768979,0.4291635921544338,0.39318498302719457,0.42579935981988387,0.3271870499906866,0.30985268979779784,0.9931378442459196,0.9749885892702007,0.045707334479970156,0.043111636757981825,0.021786632252068363,0.010011129648447975,0.02712922256279231,0.010171159982802791,0.018190978585645695,0.01003025393416316,0.0006313461204971301,0.00416442119772347,"[[456, 225], [231, 407]]","[0.18642341855762343, 0.22399763347369403]","[0.32570486005146787, 0.3378479374601276]","[0.439037307159471, 0.42070815727252436]","[0.3902049471307318, 0.3962507579074973]","[0.4196735384095753, 0.43494571192887915]","[0.31071564170364907, 0.3515211418822421]","[0.2966768946043561, 0.3262938737008597]","[0.9922327719046689, 0.9943197988434502]","[0.9808357303946806, 0.9676808860408943]","[0.04460862722908293, 0.05727477948556092]","[0.029400550096700055, 0.036141774935938]","[0.01913429559802572, 0.02449212160579929]","[0.024267820974905558, 0.03166289980622666]","[0.012990752510934574, 0.017949948900033066]","[0.027907934721424645, 0.034651862744757435]","[0.01527281052399363, 0.014007285672978305]","[0.0010364449542464495, 0.0008143094879509712]","[0.004092307625181649, 0.005387170907599122]"
0,kDN,0.6921582234559334,0.08010886738772163,0.1318338112946369,0.3767524945821607,0.5158751114768085,0.3891683791052044,0.14772410573554914,0.27530123987776844,0.9902512117052977,0.9823097521898931,0.042429002481143396,0.016214335605524197,0.0065231528157110715,0.012785978114251518,0.035524513014418516,0.006285398719655094,0.01225147067267133,0.006619514022521512,0.00045892125696891115,0.0013290962356185044,"[[490, 191], [215, 423]]","[0.060157358180577124, 0.10178625688132226]","[0.1261863854308009, 0.138095377569947]","[0.37461863056707345, 0.379212486241506]","[0.49798033359790433, 0.5365561197399528]","[0.3794299015321893, 0.39999221909337945]","[0.13650764105976912, 0.16016425708895793]","[0.2632454704776072, 0.2885661618333596]","[0.9891299269848673, 0.9915001519226067]","[0.9853199705352724, 0.9790029739854245]","[0.01990057089405604, 0.02186739249178204]","[0.008099133079971847, 0.007389340445065064]","[0.014843192336428765, 0.014206561882775222]","[0.0313302783824435, 0.04894351485995701]","[0.005005813360152492, 0.007888664116427078]","[0.01518418208835914, 0.012458029872228627]","[0.009734170207195188, 0.009092974297683036]","[0.0005717029966778702, 0.00048158775734109826]","[0.00233276803037068, 0.001741973448060031]"
1,CLD,0.6846229470275272,0.05972041391165232,0.2279004308743146,0.3562367708067853,0.4849236583815328,0.3446646547539925,0.2126335645877207,0.3183392380117328,0.991169275837497,0.9766044775445863,0.036501184553408283,0.0229831441608295,0.008017536646563734,0.011600566814527606,0.033313605595802806,0.007782744265382792,0.010642492079272347,0.008186429329980285,0.0004854770933785977,0.0019084972527143933,"[[484, 197], [219, 419]]","[0.05768450836766011, 0.06209881016096105]","[0.2244082495199473, 0.23246206480296455]","[0.36780015754777523, 0.3415291148643525]","[0.4742718054045233, 0.49880411576969996]","[0.3342108317916827, 0.35786008594587615]","[0.1962768083113144, 0.2335904239290319]","[0.30280640410653137, 0.3380190186928677]","[0.9898374818987279, 0.9928504622276858]","[0.9852595539517608, 0.9655827090889797]","[0.02159601230715539, 0.024906781051931243]","[0.010262242084412647, 0.009946230507886155]","[0.01459801624835343, 0.017451736875835074]","[0.03406297546439867, 0.041228337596242205]","[0.008488238180806155, 0.007577461886491876]","[0.019128856843299333, 0.014074036566820963]","[0.008350491836143583, 0.01032114901637406]","[0.0006537239425682829, 0.0004260942869120221]","[0.0017807169717890968, 0.004099327968688551]"
1,DCP,0.6701885264862364,0.12121524143428104,0.28455855947852576,0.32190431236713857,0.5298914863267395,0.3976077714345424,0.27093193395759385,0.32028940819678037,0.9935605691237687,0.9796144282167105,0.04533983123934299,0.029146466441461762,0.008370927836173242,0.015236851196923393,0.040905040640119225,0.006830847059479381,0.007621658722348303,0.010007583383031975,0.00031013459097920524,0.002576834288064262,"[[510, 171], [264, 374]]","[0.12313699883576623, 0.11804621813844955]","[0.3020633487344591, 0.27063069803769413]","[0.34292635380841263, 0.308161979709993]","[0.5234031261882862, 0.5310308823100499]","[0.399556737143001, 0.3965268066142074]","[0.2822842648589575, 0.26183404781033454]","[0.3082898704945157, 0.3322994755266878]","[0.993234660121742, 0.9938294452967013]","[0.9861581306591093, 0.9737696218238028]","[0.029620311895391403, 0.03179377220500486]","[0.020714040623579507, 0.014052637545755387]","[0.031033156386384847, 0.024004676579524882]","[0.029544489155164277, 0.05491060317399627]","[0.008454123633377608, 0.011655188500491706]","[0.017056321625535203, 0.009396131918801653]","[0.00939274171705502, 0.01652912644526008]","[0.0005081513080531948, 0.00035286901039370045]","[0.0014023587428890387, 0.0030995472159180363]"
1,F1,0.6937543372657877,0.2335910353180783,0.3589577039703409,0.43293361996100793,0.5240602630513259,0.44140367353848253,0.34909344933670966,0.32526771132548365,0.9945415881324701,0.967345753364747,0.047803362891521685,0.023557835447614184,0.007924918118868678,0.008332385816863613,0.03205442405812427,0.004575229156418612,0.01681722521136611,0.00477420078510959,0.00023089003976530957,0.0022366062132605368,"[[490, 191], [213, 425]]","[0.20807552570610116, 0.26073261983594365]","[0.36244517699822587, 0.35540412583452713]","[0.4250736891384375, 0.44083762140505894]","[0.5130999321054917, 0.5354543200759673]","[0.4315137396252343, 0.4514969359198046]","[0.34792868580560266, 0.35032728348284975]","[0.32251213200285955, 0.3283607305977454]","[0.9941320832650626, 0.9949605135345001]","[0.9714195169328722, 0.9631217649649677]","[0.030193224955067884, 0.022526696095822047]","[0.012439900532962754, 0.011607006815784192]","[0.012235957621317146, 0.008202544047816352]","[0.024682097714323344, 0.04107539125368637]","[0.005812666300693112, 0.006531173407146479]","[0.02299477848211741, 0.019903720066013538]","[0.008286516441128289, 0.008103822467588492]","[0.00036409262355335695, 0.00025301574647979306]","[0.001741224392615362, 0.00314133498897776]"
