n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,CLD,0.8148412698412699,0.02880450070323488,0.14061402451275867,0.09635151115926704,0.40403811729761097,0.08727448978862475,0.0908494575045208,0.3770816979321553,0.8671130910729845,0.5844165890368422,0.09634574141935255,0.00994066719016696,0.023193129402909806,0.05283784391210934,0.04386816328826474,0.013822738723194785,0.01647310139967288,0.00865624728169329,0.008866861696938084,0.014899010795402685,"[[187, 38], [27, 99]]","[0.010616037677707496, 0.03649610096099991]","[0.011062484965569079, 0.19396577957088618]","[0.0852081252447255, 0.10039808162110746]","[0.8048862777831307, 0.23845807841345476]","[0.11785190957896412, 0.07484158772268025]","[0.043364945656118994, 0.11028989254482502]","[0.23683227730158368, 0.4353361428526957]","[0.6947407765694015, 0.9382931033248765]","[0.9018374658492926, 0.45238958756660114]","[0.009173788199489798, 0.013796270821783896]","[0.004496618087616018, 0.02792624896520994]","[0.03986973309702061, 0.05653062303695418]","[0.066649139944064, 0.053149672580917254]","[0.008752423168268146, 0.016701169408229195]","[0.011463812452146822, 0.020444239461524193]","[0.013955362333760614, 0.006216512398219705]","[0.026309325351988263, 0.008407382694700608]","[0.010808050941204732, 0.01236040652671916]"
0,DCP,0.8545238095238096,0.04274562989752863,0.10884930681133213,0.03981130806398751,0.5470838567199328,0.16508530422556164,0.0890127421609489,0.3328206444680529,0.8631251571781947,0.7755920872376569,0.06406930063179014,0.023064997262367732,0.028934923151330776,0.02110967414220924,0.09132811125542555,0.022302734555127112,0.03132634588298606,0.02776349311152103,0.021852858998024527,0.07607628317001523,"[[213, 12], [39, 87]]","[0.032357182153640085, 0.047116407770041904]","[0.025101140056538084, 0.20991894101047998]","[0.05227644272375627, 0.023999053221970247]","[0.8218374866693662, 0.20003006842758625]","[0.13345796408456656, 0.20471377934716356]","[0.05433540161207471, 0.1300039832110534]","[0.2530685979860729, 0.4347069891209463]","[0.796862731784773, 0.9456830153786443]","[0.9058827732260308, 0.6186108728307971]","[0.018019889602229184, 0.03657320917662666]","[0.0159338612722101, 0.030709248547420496]","[0.021008307397982113, 0.021823151392081252]","[0.06086077876453837, 0.08844107025295943]","[0.014699139945424714, 0.03690477236216958]","[0.020734384389451004, 0.042228916966108206]","[0.015437026023961884, 0.011712319652334819]","[0.015727835659433722, 0.0054664463934108315]","[0.03449079304501922, 0.04624705221246162]"
0,F1,0.8346031746031747,0.08072935503315251,0.17682820976491861,0.1568725211396767,0.4398974267645154,0.18666217379905575,0.1383441616400477,0.3888415489000737,0.8838840226706415,0.5179711217052989,0.08624760596032577,0.014311874070339022,0.014977825200789854,0.08386128794271272,0.049055160432116905,0.021023399523291936,0.016207265801850956,0.007120344073109404,0.006073392404900253,0.014848844799111624,"[[189, 36], [22, 104]]","[0.016370733651310823, 0.11510376717052755]","[0.01173945003059226, 0.26409287880913446]","[0.19288584373034684, 0.13761448096144152]","[0.752815742526162, 0.27457113146414586]","[0.1984098846195405, 0.18048783515658623]","[0.09111378777473933, 0.1630186272744333]","[0.2689364733888983, 0.4521694027905195]","[0.7707621122452907, 0.9435511292631895]","[0.7122786169131143, 0.4157614746089708]","[0.01933397079813166, 0.020712712111968297]","[0.008029916591441129, 0.023807702460251164]","[0.0992340711059765, 0.06938265415768002]","[0.047871505527628005, 0.05694339034331656]","[0.033365732268825964, 0.02102369928804978]","[0.021242558359797523, 0.018005768834360194]","[0.008132524433134369, 0.006716085585322199]","[0.010496476674758703, 0.006696023576306861]","[0.016289455557443808, 0.014427296509988951]"
0,Hostility,0.8661111111111112,0.0015822784810126584,0.05395760498292144,0.09481018088696139,0.6031085914788447,0.13379826219685473,0.04277133145804032,0.2894242120334668,0.829469841264384,0.7130620247075944,0.06461750552799228,0.002237679687299201,0.025099799847065424,0.05114241229284409,0.05181175385598674,0.015080265412559928,0.022208360366817347,0.01671705274308431,0.0351171472752028,0.033759943264572274,"[[210, 15], [32, 94]]","[0.001270014556040757, 0.0017948717948717947]","[0.00658813724530376, 0.1363624765805506]","[0.0928447872750261, 0.10180549609272968]","[0.8009277864620057, 0.23796544701214425]","[0.15135029474766334, 0.10056117340188449]","[0.031905234076796164, 0.05897723750895763]","[0.21402200895270956, 0.42598733450751675]","[0.7809189202117072, 0.924293343970346]","[0.8857871870853945, 0.38139349215126367]","[0.0026904297750622573, 0.0036011722833815744]","[0.004868489492957095, 0.04698055031231526]","[0.04438262005936156, 0.0650293597643624]","[0.06873776260381713, 0.05375923871271159]","[0.018595172482188185, 0.02683030128063741]","[0.018021932440061592, 0.05126587869769437]","[0.02548880482584183, 0.016311470987731395]","[0.034101374728254495, 0.011926173470388476]","[0.014700308697620523, 0.07092276046701865]"
0,LSC,0.8518253968253969,0.002532650190878039,0.0055097448262005225,0.09503260862697668,0.7447267816571614,0.12291665811352911,0.03213530573973612,0.23726547962413624,0.7031961467172916,0.8362228067291358,0.04224205883230045,0.0032685580733745646,0.0023961498751114444,0.04577154913212197,0.06717905743565829,0.007216070254660454,0.009154941355769521,0.006447361528167199,0.013715804513166795,0.020860377687550828,"[[217, 8], [44, 82]]","[0.0017979324957760484, 0.009644473173884938]","[0.0006333555736773173, 0.0512562576797871]","[0.09665044588748829, 0.07965244552555797]","[0.8027395128215833, 0.21714678220560574]","[0.12442741141465499, 0.11100417428039835]","[0.033191865559660964, 0.022690887720299487]","[0.216250065900905, 0.42647044057646966]","[0.6858655120104935, 0.860557568831352]","[0.8850767692978302, 0.39509130526777586]","[0.003350645018953043, 0.014934891183189023]","[0.0012780195926236143, 0.02301144715606219]","[0.04319094147182207, 0.05078965280357879]","[0.06156342102054547, 0.049180951881622255]","[0.008790208310078887, 0.02722429572425723]","[0.009309481901483294, 0.009681948946710955]","[0.006697883391235782, 0.008534153102847856]","[0.014148317869499782, 0.014772543721769277]","[0.013480028228860606, 0.037423375598832576]"
0,N1,0.9001587301587302,0.012345790636929877,0.046786015672091626,0.08578994582673252,0.6244895470211926,0.1439663612614125,0.0022684348000803697,0.29766554202544176,0.8356747901811387,0.773524668018339,0.045345180969291736,0.007224212534636448,0.007579674412376553,0.042683515081344096,0.0507299579215296,0.014469348301804946,0.003123143416441001,0.009824042131844919,0.00999677837574531,0.012858606667439343,"[[214, 11], [24, 102]]","[0.005957229971979627, 0.025770910942140086]","[0.004439881255978136, 0.13574990583566396]","[0.08082892519701756, 0.0947074006111877]","[0.8120694287560226, 0.23004755612755678]","[0.13781070629255338, 0.15559363916250107]","[0.0023688347370432092, 0.0020245003223726627]","[0.23540915970792747, 0.42728279844892814]","[0.7892781971032022, 0.9329830687305499]","[0.8970847580189165, 0.5140206137550061]","[0.007359133960790181, 0.012182962308852362]","[0.002155043645118161, 0.020332205566580573]","[0.033493110083714354, 0.059980687849524254]","[0.06082064874327831, 0.04767931951582202]","[0.013376897949447682, 0.034865686953838314]","[0.002687388784306711, 0.004437815376400054]","[0.009260318508514716, 0.008527016311723664]","[0.01067311956090376, 0.007985783603156566]","[0.006380273373057882, 0.03704415377046288]"
0,N2,0.8488095238095237,0.012660237090616838,0.01412035362668274,0.0788574941932533,0.7595084170400627,0.1356007277369719,0.022705124126537628,0.1728670915771355,0.7705621454182581,0.885319834876797,0.03625255744621026,0.007749729387376543,0.005574093913718766,0.03533969329641561,0.07208841883699497,0.011405652268160024,0.008517396180936648,0.005516621121392066,0.012027954949708382,0.007872716503765486,"[[220, 5], [48, 78]]","[0.010251930588789976, 0.03880160759956157]","[0.006184900492470811, 0.11387154567512622]","[0.07871375825122437, 0.0810865855728766]","[0.8022401782261372, 0.22529558267819136]","[0.13181953048727113, 0.1799579924941923]","[0.021741878737425568, 0.03280158417882203]","[0.16562150340279508, 0.2653890693769939]","[0.7564032531079479, 0.9474928235064114]","[0.9047373052797847, 0.6338439026162812]","[0.008096313242548768, 0.049841607150156564]","[0.003447915012919678, 0.04956077367433285]","[0.03270857017139214, 0.05699534874904669]","[0.06902733144762692, 0.07580583105087452]","[0.011624017459049904, 0.05760375847496677]","[0.007381836416768602, 0.03439493700634497]","[0.004520002138780372, 0.04375223067250033]","[0.012433336707567133, 0.009209238994764583]","[0.008064165373227277, 0.07153811107693077]"
0,TD_U,0.8547619047619047,0.06806409483624673,0.17436286919831223,0.10632458694778738,0.37864190661659014,0.1898933472344425,0.1267897486752972,0.3841751814806046,0.8992499098980403,0.661269902155978,0.04530070854866769,0.017049787542270888,0.023447071735297212,0.05054712786522197,0.0459345195293817,0.018608337243708972,0.01777998635148092,0.009885144148718687,0.011595516683107512,0.015289321200347929,"[[202, 23], [28, 98]]","[0.027770849597604796, 0.08390786519508044]","[0.021055977772553556, 0.23656236354118762]","[0.13823240619612334, 0.0934188594302919]","[0.7567723019777954, 0.22431773790528453]","[0.13485569264489078, 0.21210839873087478]","[0.05917390445291557, 0.1540985862041703]","[0.24266505083971657, 0.44220464480871263]","[0.7870730888449394, 0.9454200265931242]","[0.872419307365273, 0.5740711070047014]","[0.020553439877697456, 0.022632226126843756]","[0.011125807210610152, 0.025680866219943196]","[0.05966630570294095, 0.04450810391062883]","[0.062341831532189806, 0.04596459342332989]","[0.011558237285240162, 0.021746099480300752]","[0.012997449523621182, 0.022990610302063536]","[0.019291044480068142, 0.007695427256247082]","[0.02196317059237578, 0.006654514241706981]","[0.0179935372491594, 0.014452025722339626]"
0,kDN,0.8888095238095237,0.00569620253164557,0.002152903355435001,0.08465429583188885,0.6888136160604514,0.13251879406943604,0.03002375671679469,0.27236814017581884,0.808976419425178,0.8060653247362108,0.03933258387386989,0.0059297338913735,0.0013417957101958095,0.04007146235055913,0.05426317437686388,0.014608749036135312,0.006562615393929899,0.008990211362528134,0.00932277510493982,0.013738969433430644,"[[219, 6], [33, 93]]","[0.006765252347119518, 0.0015625]","[0.00039031981500600753, 0.009207719466611402]","[0.08890045471985072, 0.06843812539928179]","[0.8079583172992987, 0.21395489328754658]","[0.1384891680363342, 0.10823951601617358]","[0.03670343540797517, 0.0036094807969807977]","[0.23629467267590076, 0.41661714111542275]","[0.7845058405643106, 0.9070226390449975]","[0.8875655959971095, 0.4759532518589588]","[0.007563345925790116, 0.004687500000000001]","[0.0007051200685735166, 0.005618956953302714]","[0.03764330810105718, 0.04127585299580482]","[0.06303100212619686, 0.04744735997398865]","[0.012835041778577567, 0.028356318407256546]","[0.0077723634274865505, 0.005031892496703254]","[0.008658649753083628, 0.00863653868708019]","[0.010755174946635087, 0.008511677810700356]","[0.012594397811071936, 0.03703182641541656]"
1,CLD,0.8461904761904762,0.038304199316857544,0.13643982318665865,0.09478438055729595,0.4291637739897233,0.09755472238003339,0.09523316422208827,0.36525567832893285,0.8612937375966492,0.6159609050115379,0.07390930275691689,0.012435443626483992,0.018017572590397178,0.051342407203123774,0.041816198703890306,0.012111574408674776,0.01938127866621999,0.008052382218416755,0.011692978038128398,0.020396139585750005,"[[194, 31], [23, 103]]","[0.02557600662959575, 0.04476860131147198]","[0.017827301191420983, 0.19651411712041877]","[0.09529939427520448, 0.09429919148839473]","[0.8025545115457124, 0.2410996670294848]","[0.12396259772196898, 0.08433274371549523]","[0.049271699418883014, 0.11878895529934672]","[0.2343215354306575, 0.4312094722372251]","[0.710158112112206, 0.9375984285985481]","[0.8962727427944273, 0.47516422863658186]","[0.012504260559193035, 0.014252226534162622]","[0.0049989259728415855, 0.02604957963901731]","[0.04386062961663335, 0.05261334277927584]","[0.06582872055770876, 0.057109801817932924]","[0.007884048322211701, 0.01603806535403421]","[0.0171795892351212, 0.02377041097807881]","[0.011866614393820179, 0.006574271039551152]","[0.024920715104621353, 0.006964970891576919]","[0.009896560869533893, 0.02322735021410657]"
