dataset,n_ensemble,method_weights,compl_measure,exp_loss_avg_train_mean,misc_rate_train_mean,misc_rate_test_mean,exp_loss_avg_train_std,misc_rate_train_std,misc_rate_test_std,conf_matrix_test_total,Factor
pima,1,classic,none,0.9806453657461108,0.2607068167939569,0.2709671907040328,0.0153572163080976,0.0065338668779264,0.0363612067137289,"[[406, 94], [114, 154]]",
pima,2,classic,none,0.9806453657461108,0.2607068167939569,0.2709671907040328,0.0153572163080976,0.0065338668779264,0.0363612067137289,"[[406, 94], [114, 154]]",
pima,3,classic,none,0.9728220292905948,0.2573783073873,0.2735645933014354,0.0220551701658537,0.009383572057764,0.0421256113239508,"[[401, 99], [111, 157]]",
pima,4,classic,none,0.9483414155163729,0.2469628083618447,0.2578947368421053,0.008951855540711,0.0038086480804853,0.0294504173550437,"[[418, 82], [116, 152]]",
pima,5,classic,none,0.938139521313418,0.2426223200020076,0.2605434039644566,0.0168095829940572,0.0071517894488933,0.0398176926598696,"[[411, 89], [111, 157]]",
pima,6,classic,none,0.9289556046047688,0.2387149393941929,0.2514354066985645,0.0116251764146952,0.0049460366776221,0.0494957774864774,"[[420, 80], [113, 155]]",
pima,7,classic,none,0.9211371835403408,0.2353885212852279,0.2605434039644566,0.0207758728891133,0.0088392834356712,0.0353006798402137,"[[424, 76], [124, 144]]",
pima,8,classic,none,0.90583163877081,0.2288766385317417,0.2644395078605605,0.0147830630445547,0.0062895881677581,0.0387739899173419,"[[424, 76], [127, 141]]",
pima,9,classic,none,0.908217078065772,0.2298915453016906,0.2579630895420369,0.0175574323363456,0.0074699687301658,0.0417738370510222,"[[426, 74], [124, 144]]",
pima,10,classic,none,0.8956297445678549,0.2245361501719046,0.2618591934381408,0.015774972998875,0.0067116052486143,0.0387291924270161,"[[421, 79], [122, 146]]",
pima,11,classic,none,0.8966521459141399,0.2249711400918498,0.2527682843472317,0.0204821672791329,0.0087143237217222,0.0388220370190328,"[[423, 77], [117, 151]]",
pima,12,classic,none,0.8793111376951058,0.2175932509640882,0.2461722488038277,0.0161017948808361,0.0068506545806472,0.0322663680483579,"[[429, 71], [118, 150]]",
pima,13,classic,none,0.8830497841565694,0.2191838919886568,0.2475222146274777,0.0148718343593218,0.0063273567282596,0.0330833864032593,"[[427, 73], [117, 151]]",
pima,14,classic,none,0.8769276645565789,0.2165791807132161,0.2449248120300751,0.0140960520717449,0.0059972931222266,0.0373000976836832,"[[424, 76], [112, 156]]",
pima,15,classic,none,0.8731865603995714,0.2149874940398016,0.2423274094326725,0.0138973291104376,0.0059127446370896,0.0404426920317101,"[[424, 76], [110, 158]]",
pima,16,classic,none,0.872848873031832,0.2148438218883581,0.2462064251537935,0.0162890839717627,0.0069303384219927,0.0434362301276135,"[[424, 76], [113, 155]]",
pima,17,classic,none,0.8674055689410818,0.2125279188241887,0.2514012303485987,0.0190563491469111,0.0081076964735823,0.0350123505159028,"[[426, 74], [119, 149]]",
pima,18,classic,none,0.8694479139381078,0.213396853015233,0.2488038277511962,0.0156260163626665,0.0066482302975785,0.0438160563115413,"[[420, 80], [111, 157]]",
pima,19,classic,none,0.8626455042115506,0.2105027061392135,0.2449077238550923,0.0191977919724105,0.0081678746057457,0.0376131222995823,"[[424, 76], [112, 156]]",
pima,20,classic,none,0.8650275027327513,0.2115161490007779,0.2423103212576896,0.0188807133144922,0.0080329706166954,0.0416404070772644,"[[423, 77], [109, 159]]",
pima,21,classic,none,0.8606051253709597,0.2096346084672461,0.2475051264524948,0.0160763640211387,0.0068398347908807,0.0423403920171082,"[[419, 81], [109, 159]]",
pima,22,classic,none,0.8582250930061941,0.2086220021247584,0.2475051264524948,0.0140730257033216,0.0059874963450671,0.0400662702451453,"[[422, 78], [112, 156]]",
pima,23,classic,none,0.8565243676897776,0.2078984131233113,0.2514012303485987,0.0159597669322942,0.0067902275025818,0.0395371938976216,"[[419, 81], [112, 156]]",
pima,24,classic,none,0.8609462535124605,0.2097797445270739,0.2462064251537935,0.0175333286710695,0.0074597136072956,0.0393621782304957,"[[423, 77], [112, 156]]",
pima,25,classic,none,0.8565243676897776,0.2078984131233112,0.2488038277511962,0.0157978478814467,0.0067213375747451,0.0393070123652942,"[[422, 78], [113, 155]]",
pima,26,classic,none,0.8595837071028921,0.2092000368068394,0.2475051264524948,0.013772091016878,0.0058594609550117,0.0395957757140322,"[[423, 77], [113, 155]]",
pima,27,classic,none,0.8572051493554531,0.2081880578536593,0.2500854408749146,0.0134875656482444,0.0057384070579545,0.0383169275479873,"[[422, 78], [114, 154]]",
pima,28,classic,none,0.8531224255178358,0.2064510259906477,0.2526999316473001,0.0174488790291709,0.0074237837416882,0.0386222829974896,"[[421, 79], [115, 153]]",
pima,29,classic,none,0.8534620790420103,0.2065955346611679,0.2526999316473001,0.0146125041163948,0.006217022325806,0.0386222829974896,"[[420, 80], [114, 154]]",
pima,30,classic,none,0.8504042142462221,0.2052945383669474,0.2513841421736159,0.0121908007012273,0.0051866866572134,0.0369187593861862,"[[423, 77], [116, 152]]",
pima,31,classic,none,0.8487029973906969,0.204570740235731,0.2539986329460014,0.0177923700650899,0.0075699251163638,0.0381300968769186,"[[420, 80], [115, 153]]",
pima,32,classic,none,0.854487429622948,0.2070317793597283,0.2500854408749146,0.0178504870748837,0.0075946515249601,0.0429300885898046,"[[423, 77], [115, 153]]",
pima,33,classic,none,0.852106414179965,0.2060187547577022,0.2552973342447026,0.0133573984356751,0.0056830262375157,0.0395259661981389,"[[419, 81], [115, 153]]",
pima,34,classic,none,0.8555063901954716,0.207465305371289,0.2578605604921394,0.0212828558802936,0.0090549839446234,0.0359858374485406,"[[423, 77], [121, 147]]",
pima,35,classic,none,0.8500655438002653,0.2051504479559656,0.2591934381408065,0.0135823127614602,0.0057787180760714,0.0386031248510877,"[[420, 80], [119, 149]]",
pima,36,classic,none,0.8551637874366443,0.2073195419221535,0.2526486671223513,0.0203987699953346,0.0086788415914072,0.0376689299369339,"[[423, 77], [117, 151]]",
pima,37,classic,none,0.852103956484421,0.2060177091088562,0.2565789473684211,0.0211654087396452,0.0090050149940795,0.038787041400716,"[[423, 77], [120, 148]]",
pima,38,classic,none,0.8558440775632109,0.2076089775227324,0.2500512645249487,0.0216987033010631,0.0092319099990805,0.0404089514390769,"[[425, 75], [117, 151]]",
pima,39,classic,none,0.8534645367375543,0.2065965803100139,0.2539815447710184,0.0205969868205268,0.0087631747363463,0.0408178164626264,"[[424, 76], [119, 149]]",
pima,40,classic,none,0.8534630621202279,0.2065959529207063,0.2539644565960355,0.0212930571596354,0.0090593241713849,0.0383013059529189,"[[422, 78], [117, 151]]",
pima,41,classic,none,0.8558445691023199,0.2076091866525016,0.25134996582365,0.0189307250885657,0.0080542485792877,0.0404997718293688,"[[425, 75], [118, 150]]",
pima,42,classic,none,0.8514256325142897,0.2057291100273541,0.2513328776486671,0.0213680626503394,0.0090912359372636,0.0348874900501815,"[[426, 74], [119, 149]]",
pima,43,classic,none,0.8524445930868131,0.2061626360389148,0.2526486671223513,0.0241329319225498,0.0102675746302315,0.0419079144702206,"[[424, 76], [118, 150]]",
pima,44,classic,none,0.850745342387723,0.2054396744267753,0.2539644565960355,0.0207650120068886,0.0088346625748843,0.036291428875904,"[[424, 76], [119, 149]]",
pima,45,classic,none,0.8507443593095054,0.2054392561672369,0.2526486671223513,0.0231947918600272,0.0098684344372175,0.0419079144702206,"[[424, 76], [118, 150]]",
pima,46,classic,none,0.8497244156587642,0.2050053118961377,0.2539644565960355,0.0217765409348359,0.0092650267258987,0.038787505651436,"[[423, 77], [118, 150]]",
pima,47,classic,none,0.8524441015477043,0.2061624269091456,0.2500512645249487,0.0227534340649033,0.0096806547627621,0.0417770873480776,"[[426, 74], [118, 150]]",
pima,48,classic,none,0.8521044480235298,0.2060179182386254,0.2500341763499658,0.0230911436481066,0.0098243363659761,0.0393327407677576,"[[426, 74], [118, 150]]",
pima,49,classic,none,0.8483643269447401,0.2044266498247492,0.2500341763499658,0.0238037307732327,0.0101275130173359,0.03836799945764,"[[423, 77], [115, 153]]",
pima,50,classic,none,0.8527837550718788,0.2063069355796659,0.2474367737525632,0.0208503854710714,0.0088709854890562,0.0390003252873631,"[[425, 75], [115, 153]]",
pima,51,classic,none,0.8527857212283141,0.2063077720987426,0.2474367737525632,0.0195021333758173,0.008297359414412,0.0413331363112638,"[[424, 76], [114, 154]]",
pima,52,classic,none,0.8527857212283141,0.2063077720987426,0.2500512645249487,0.0190397964350928,0.0081006539723034,0.039470523716864,"[[424, 76], [116, 152]]",
pima,53,classic,none,0.8514241578969634,0.2057284826380465,0.2474367737525632,0.0196999821347609,0.0083815359622294,0.0360019725953131,"[[425, 75], [115, 153]]",
pima,54,classic,none,0.853465028276663,0.2065967894397831,0.2500341763499658,0.0199777921853476,0.008499732766355,0.0402743790793325,"[[425, 75], [117, 151]]",
pima,55,classic,none,0.853465028276663,0.2065967894397831,0.2487183868762816,0.0196509603316187,0.008360679191743,0.0390641020646647,"[[425, 75], [116, 152]]",
pima,56,classic,none,0.853465028276663,0.2065967894397831,0.2500341763499658,0.018157449770145,0.0077252515860056,0.0398063443845915,"[[428, 72], [120, 148]]",
pima,57,classic,none,0.8510840128336801,0.2055837648377571,0.2461380724538619,0.0195432916935428,0.0083148705937522,0.0357421373915687,"[[426, 74], [115, 153]]",
pima,58,classic,none,0.8538051733399463,0.2067415072400726,0.2474196855775803,0.0183470257119107,0.0078059083887688,0.0425547367462782,"[[428, 72], [118, 150]]",
pima,59,classic,none,0.8531253747524886,0.2064522807692629,0.2448393711551606,0.0190123311632234,0.008088968623438,0.0364701494116478,"[[427, 73], [115, 153]]",
pima,60,classic,none,0.8524445930868131,0.2061626360389148,0.2513157894736842,0.0173852540820848,0.0073967139312463,0.039775950931631,"[[426, 74], [119, 149]]",
pima,61,classic,none,0.8521049395626387,0.2060181273683946,0.2487354750512645,0.0219044343677214,0.0093194401461613,0.0340751139785205,"[[425, 75], [116, 152]]",
pima,62,classic,none,0.8527867043065316,0.2063081903582811,0.2539302802460697,0.019526360530599,0.0083076670770117,0.0439638298362279,"[[427, 73], [122, 146]]",
pima,63,classic,none,0.850745342387723,0.2054396744267753,0.2487354750512645,0.0208831300679,0.0088849169745778,0.0329568244636375,"[[424, 76], [115, 153]]",
