dataset,classic_misc_rate_test_mean_median,init_easy_misc_rate_test_mean_median,init_hard_misc_rate_test_mean_median,classic_misc_rate_test_mean_std,init_easy_misc_rate_test_mean_std,init_hard_misc_rate_test_mean_std,classic_misc_rate_test_mean_total_mean,init_easy_misc_rate_test_mean_total_mean,init_hard_misc_rate_test_mean_total_mean
WineQualityRed_5vs6,0.288144806847097,0.286589174184594,0.392724959518853,0.0103996040059864,0.00632152838677941,0.0143960641072001,0.291634879327627,0.287738780939163,0.397639563574678
Yeast_CYTvsNUC,0.341947565543071,0.383420724094881,0.486554307116105,0.00568075117565281,0.0086859978077462,0.00412132550001196,0.343420391177695,0.387070994590096,0.486161631294215
arrhythmia_cfs,0.167874396135266,0.178985507246377,0.240772946859903,0.0262034921776098,0.0315498148111673,0.0288868782105056,0.175926247987117,0.189543800322061,0.245210950080515
bands,0.312162162162162,0.345495495495495,0.378303303303303,0.0187202336268836,0.00578264178200003,0.0205608584652042,0.310372622622623,0.347237487487487,0.382961711711712
banknote_authentication,0.0014545646884586,0.0050936210726753,0.0021844916957579,0.0169294675960157,0.0251359160205954,0.0229018721133246,0.00651796607778829,0.0135526287950915,0.00777039035226905
bodyfat,0.004,0.004,0.004,0,0,0,0.004,0.004,0.004
breast-w,0.0414699792960662,0.0457971014492753,0.0357349896480331,0.00494687157153609,0.00426476558223217,0.00588646684005784,0.0425209109730848,0.0460365769496204,0.0368654244306418
breastcancer,0,0,0,0,0,0,0,0,0
bupa,0.266764705882353,0.29546218487395,0.369873949579832,0.0198828082980955,0.0275495377106893,0.0344067060617193,0.271157142857143,0.305360224089636,0.378868907563025
chatfield_4,0.127717391304348,0.136413043478261,0.136050724637681,0.00686394135996304,0.00831597455826619,0.00727065278650024,0.12623731884058,0.136844806763285,0.134867753623188
contraceptive_LS,0.358991596638655,0.354257703081232,0.598249299719888,0.00551939444879742,0.00380721379294759,0.0092163244330409,0.359478711484594,0.354431045751634,0.600729271708683
contraceptive_NL,0.262006013745704,0.257817869415808,0.396112542955326,0.00583181794656667,0.00762004966574817,0.0148037232682939,0.261640141752577,0.258463380584192,0.400796964490263
contraceptive_NS,0.316666666666667,0.333333333333333,0.429824561403509,0.0160433956069377,0.0152217492561721,0.00358581248387377,0.321,0.336631578947368,0.430181286549708
credit-g,0.246,0.237,0.312,0.0108091433899718,0.00830119398807471,0.0102128168321827,0.247876666666667,0.238723333333333,0.313706666666667
diabetes,0.240909090909091,0.227904989747095,0.270762132604238,0.00712229834703216,0.00420536803993489,0.0144499959693757,0.242108965595808,0.228208133971292,0.271454659375712
diabetic_retinopathy,0.326731634182909,0.345318590704648,0.447863568215892,0.0168976198614242,0.0146120117978151,0.0311938054657412,0.330662018990505,0.349594552723638,0.449934832583708
fri_c0_250_50,0.228,0.216,0.224,0.0169447919867375,0.0134587192461177,0.0169575823354099,0.225733333333333,0.2148,0.22116
glass0,0.167748917748918,0.202489177489177,0.167748917748918,0.0206479828572626,0.0238145057454668,0.0240135333034841,0.171763347763348,0.208810966810967,0.173515873015873
glass1,0.201082251082251,0.186796536796537,0.229112554112554,0.0168570679887266,0.0346634124175812,0.041930475663771,0.204671717171717,0.203335497835498,0.239929292929293
hill_valley_without_noise_traintest,0.473641782956239,0.498435171385991,0.502425145644222,0.00838188547325509,0.00225387493952774,0.00312994631749004,0.47503129657228,0.498054057715757,0.504169286004606
ilpd,0.304053236539625,0.2832425892317,0.321324863883847,0.00839351480008668,0.00526076614458127,0.011403738897119,0.304087820125025,0.281706392417826,0.32167564025005
ionosphere,0.0741269841269841,0.0655555555555555,0.0911904761904761,0.012935815764891,0.0124626103348471,0.0183404437733304,0.0754510582010581,0.0659399470899471,0.0990320105820105
liver-disorders,0.28047619047619,0.26047619047619,0.342380952380952,0.0105775273943628,0.0188665194320447,0.0185189419381944,0.279169841269841,0.267928571428571,0.340131746031746
mammographic,0.163855421686747,0.185542168674699,0.168674698795181,0.00238016385164672,0.00362732706923763,0.0034696284116949,0.163927710843373,0.18525702811245,0.169678714859438
musk1,0.119835992907801,0.17355939716312,0.142863475177305,0.0466359050796984,0.0330432125465418,0.059023313469434,0.138929225768321,0.178158244680851,0.159136081560284
parkinsons,0.106578947368421,0.096578947368421,0.096578947368421,0.0122695545841224,0.0152531596175047,0.0173857943110279,0.108598245614035,0.101859649122807,0.103583333333333
phoneme,0.196062675429588,0.205040220442254,0.188560621619771,0.00985030223664138,0.00408912423825652,0.0103138029742087,0.197754781953858,0.206035933684763,0.191995369799868
pima,0.236380724538619,0.230485304169515,0.259073820915926,0.00830800443420891,0.00361092115441722,0.0161193763121646,0.239314023695603,0.231188197767145,0.261471633629528
profb,0.325965759438104,0.327414398595259,0.503050921861282,0.00635908992150413,0.00359731968386396,0.0333645308336073,0.325860111208663,0.328587723148961,0.509035557506585
ring,0.0518918918918918,0.055,0.0798648648648649,0.0546702788222542,0.0924652563184163,0.0830945375505342,0.0714914414414414,0.0869315315315315,0.112663513513513
saheart,0.302913968547641,0.303006475485661,0.37240980573543,0.0099268524120693,0.00615489384497106,0.0134970180907429,0.301336262719704,0.300859697810669,0.373664662349676
sonar,0.148809523809524,0.168571428571429,0.13952380952381,0.0246585545369821,0.0240482139826971,0.0378035557552158,0.151715079365079,0.172990476190476,0.150923015873016
spambase,0.0624386662877711,0.0606964573268921,0.0667869659941271,0.0167018449979136,0.0156550768489923,0.0162653005579991,0.0677714044393925,0.0653396293138833,0.0711069401029332
spectfheart,0.205413105413105,0.205270655270655,0.216381766381766,0.00766867809051302,0.0132500815744152,0.0115523493678457,0.205720322886989,0.202887464387464,0.215901234567901
steel-plates-fault,0,0,0,0.0584189255814286,0.114919519918726,0.0621019019032571,0.0174982994096396,0.0485688166358269,0.0261567098422768
sylvine,0.0798215155945419,0.0833321911549707,0.0805011117202729,0.00265989801315623,0.00173082872195426,0.00189492309866491,0.0807822310043047,0.0839558713044184,0.0809872875548245
teaching_assistant_LH,0.376363636363636,0.306363636363636,0.492727272727273,0.0255739462776572,0.0178364613474821,0.0331727204722224,0.383936363636364,0.309839393939394,0.50110303030303
teaching_assistant_LM,0.365555555555555,0.405555555555555,0.425555555555556,0.0283111327737141,0.0303579289637979,0.0134991648732713,0.370414814814815,0.410640740740741,0.431592592592593
teaching_assistant_MH,0.33,0.342727272727273,0.36,0.055355346431098,0.0292613180568197,0.0536184516078168,0.338309090909091,0.328048484848485,0.379987878787879
titanic,0.216200822078685,0.218514386376982,0.258995889606577,0.00254799818393381,0.01012112434263,0.0178386075803431,0.21645834801331,0.221234683891172,0.265323272656097
vehicle2,0.0248389355742296,0.0283893557422969,0.0272128851540616,0.0231598440498272,0.0334454280984676,0.023771320978829,0.0287048085901027,0.03834360410831,0.0332254901960784
vertebral_column,0.164516129032258,0.170967741935484,0.164516129032258,0.0139531944733749,0.00848034970484359,0.0177100607168916,0.166290322580645,0.171365591397849,0.167161290322581
wdbc,0.0351817042606516,0.0350877192982456,0.031610275689223,0.00795407932360198,0.00775805111394821,0.00941894543921481,0.0373484753550543,0.0351797201336674,0.0331808688387635
yeast1,0.23716669689824,0.250648467259205,0.270206783965173,0.00678403346621227,0.0039890043329167,0.0119232905585106,0.237341934216095,0.2514332789165,0.273743590906343
