dataset,classic_misc_rate_test_mean_median,init_easy_misc_rate_test_mean_median,init_hard_misc_rate_test_mean_median,classic_misc_rate_test_mean_std,init_easy_misc_rate_test_mean_std,init_hard_misc_rate_test_mean_std,classic_misc_rate_test_mean_total_mean,init_easy_misc_rate_test_mean_total_mean,init_hard_misc_rate_test_mean_total_mean
WineQualityRed_5vs6,0.288144806847097,0.297970159611381,0.292675803839926,0.0103996040059864,0.00744997123507312,0.00868149837876142,0.291634879327627,0.298859819569743,0.294867973629424
Yeast_CYTvsNUC,0.341947565543071,0.346416978776529,0.355380774032459,0.00568075117565281,0.0061918742400832,0.0037348708685094,0.343420391177695,0.346801955888473,0.354795505617977
arrhythmia_cfs,0.167874396135266,0.176811594202898,0.192270531400966,0.0262034921776098,0.0297074479921093,0.0339761449229524,0.175926247987117,0.186608534621578,0.202262962962963
bands,0.312162162162162,0.318168168168168,0.293055555555556,0.0187202336268836,0.0148868524890084,0.0262752213014344,0.310372622622623,0.322015265265265,0.295566066066066
banknote_authentication,0.0014545646884586,0.0021844916957579,0.0014545646884586,0.0169294675960157,0.0183623120800059,0.0171468899601385,0.00651796607778829,0.00705485031207017,0.00623447582777947
bodyfat,0.004,0.004,0.004,0,0,0,0.004,0.004,0.004
breast-w,0.0414699792960662,0.0414906832298136,0.0371842650103519,0.00494687157153609,0.00468710159910893,0.0055901930821602,0.0425209109730848,0.04305955831608,0.0382727398205658
breastcancer,0,0,0,0,0,0,0,0,0
bupa,0.266764705882353,0.26953781512605,0.287058823529412,0.0198828082980955,0.0221128434400425,0.0147748753336689,0.271157142857143,0.273166106442577,0.288944537815126
chatfield_4,0.127717391304348,0.140398550724638,0.136413043478261,0.00686394135996304,0.00699323075391565,0.00502100101054817,0.12623731884058,0.140967995169082,0.138658212560386
contraceptive_LS,0.358991596638655,0.363795518207283,0.354278711484594,0.00551939444879742,0.00304543726302199,0.00465070639475065,0.359478711484594,0.36379593837535,0.354644677871148
contraceptive_NL,0.262006013745704,0.268245274914089,0.265098797250859,0.00583181794656667,0.00890188159337628,0.00654161963479298,0.261640141752577,0.267447880870561,0.265325100229095
contraceptive_NS,0.316666666666667,0.319298245614035,0.31140350877193,0.0160433956069377,0.0185945009188309,0.0128033746138736,0.321,0.32403216374269,0.315883040935672
credit-g,0.246,0.248,0.254,0.0108091433899718,0.00822038348076238,0.0111733932052472,0.247876666666667,0.249976666666667,0.25591
diabetes,0.240909090909091,0.251332877648667,0.238260423786739,0.00712229834703216,0.00718402634868451,0.00565501559839715,0.242108965595808,0.25267002734108,0.238026201868307
diabetic_retinopathy,0.326731634182909,0.353643178410795,0.319711394302849,0.0168976198614242,0.0142309389739634,0.021300819594899,0.330662018990505,0.35991251874063,0.328854647676162
fri_c0_250_50,0.228,0.22,0.228,0.0169447919867375,0.0147384722445226,0.0189260651491266,0.225733333333333,0.222853333333333,0.228106666666667
glass0,0.167748917748918,0.176623376623377,0.167965367965368,0.0206479828572626,0.0198651642500295,0.0203659064434017,0.171763347763348,0.180504329004329,0.169880230880231
glass1,0.201082251082251,0.205844155844156,0.229437229437229,0.0168570679887266,0.0191998314805619,0.0193380737676036,0.204671717171717,0.209604617604618,0.234407647907648
hill_valley_without_noise_traintest,0.473641782956239,0.475287901368378,0.473621460506706,0.00838188547325509,0.0112483271904279,0.010511804774992,0.47503129657228,0.477079844646164,0.474793185205257
ilpd,0.304053236539625,0.286781609195402,0.304159104658197,0.00839351480008668,0.00840663016803009,0.00690101273747287,0.304087820125025,0.289091349062311,0.304565436579956
ionosphere,0.0741269841269841,0.0712698412698412,0.094047619047619,0.012935815764891,0.0133648851316241,0.0165553701126343,0.0754510582010581,0.0753566137566137,0.0986579365079365
liver-disorders,0.28047619047619,0.281428571428571,0.288095238095238,0.0105775273943628,0.0165211780650594,0.0164882647275638,0.279169841269841,0.285404761904762,0.28331746031746
mammographic,0.163855421686747,0.173493975903614,0.165060240963855,0.00238016385164672,0.00480258455484944,0.00249690536562306,0.163927710843373,0.17218875502008,0.16474297188755
musk1,0.119835992907801,0.145079787234042,0.147207446808511,0.0466359050796984,0.0438210131218345,0.046932159878009,0.138929225768321,0.157361258865248,0.172454491725768
parkinsons,0.106578947368421,0.0963157894736842,0.101842105263158,0.0122695545841224,0.0275154188948469,0.0127950625053697,0.108598245614035,0.105414912280702,0.107288596491228
phoneme,0.196062675429588,0.195964434859999,0.190136578352844,0.00985030223664138,0.0111675655046091,0.00840118955272428,0.197754781953858,0.200011188699482,0.192353695716665
pima,0.236380724538619,0.247385509227614,0.244788106630212,0.00830800443420891,0.0056635991158783,0.00439744796053247,0.239314023695603,0.24845306447938,0.244304682159945
profb,0.325965759438104,0.336380597014925,0.33784021071115,0.00635908992150413,0.00666978336598886,0.00686411388419645,0.325860111208663,0.335459467369037,0.336608574773193
ring,0.0518918918918918,0.0542567567567567,0.0696621621621621,0.0546702788222542,0.0933967647374793,0.0776438514902867,0.0714914414414414,0.0842936936936937,0.100347747747748
saheart,0.302913968547641,0.322432932469935,0.307308048103608,0.0099268524120693,0.0109020454102091,0.00674487208818868,0.301336262719704,0.321814677767499,0.306821153253161
sonar,0.148809523809524,0.135,0.139285714285714,0.0246585545369821,0.030055599211774,0.0295132173111709,0.151715079365079,0.150319047619048,0.153759523809524
spambase,0.0624386662877711,0.0684192952543335,0.058523254712513,0.0167018449979136,0.0155343938099061,0.0224282995314003,0.0677714044393925,0.0721485491459063,0.0635616526159578
spectfheart,0.205413105413105,0.190740740740741,0.198290598290598,0.00766867809051302,0.00967713615747784,0.00852382314172368,0.205720322886989,0.191666191832858,0.197783950617284
steel-plates-fault,0,0,0,0.0584189255814286,0.0600232568579192,0.0574643218657293,0.0174982994096396,0.0179113402061856,0.0182606220812406
sylvine,0.0798215155945419,0.0807954130116959,0.0794320327729044,0.00265989801315623,0.00235019848108593,0.00327094784893389,0.0807822310043047,0.0816153054438759,0.0800829234182098
teaching_assistant_LH,0.376363636363636,0.366363636363636,0.377272727272727,0.0255739462776572,0.0278683984413027,0.0215783743145092,0.383936363636364,0.371860606060606,0.387712121212121
teaching_assistant_LM,0.365555555555555,0.355555555555555,0.354444444444444,0.0283111327737141,0.0341363492012243,0.0334394600670271,0.370414814814815,0.373148148148148,0.366611111111111
teaching_assistant_MH,0.33,0.330909090909091,0.309090909090909,0.055355346431098,0.0523381442338813,0.0547514350020063,0.338309090909091,0.336784848484848,0.331066666666667
titanic,0.216200822078685,0.216206694069289,0.216192014092777,0.00254799818393381,0.0023038773597764,0.00278995231667234,0.21645834801331,0.216758700332746,0.216164043844196
vehicle2,0.0248389355742296,0.0236904761904761,0.0272408963585434,0.0231598440498272,0.024180732561399,0.0334804497601409,0.0287048085901027,0.0301868347338935,0.0372647992530345
vertebral_column,0.164516129032258,0.164516129032258,0.158064516129032,0.0139531944733749,0.0138236259738189,0.0123295720795978,0.166290322580645,0.167666666666667,0.161032258064516
wdbc,0.0351817042606516,0.0351503759398496,0.0351503759398496,0.00795407932360198,0.00975788774125346,0.00758318095591683,0.0373484753550543,0.0384499791144527,0.0366543441938178
yeast1,0.23716669689824,0.233164792309087,0.231763558860874,0.00678403346621227,0.0126209106354762,0.00647681857766612,0.237341934216095,0.235022280669932,0.232996810568958
