dataset,n_ensemble,method_weights,compl_measure,exp_loss_avg_train_mean,misc_rate_train_mean,misc_rate_test_mean,exp_loss_avg_train_std,misc_rate_train_std,misc_rate_test_std,conf_matrix_test_total,Factor
fri_c0_250_50,1,classic,none,1.0145012534963431,0.2751111111111111,0.32,0.0166631148578609,0.0070894732527439,0.096148034012373,"[[74, 43], [37, 96]]",
fri_c0_250_50,2,classic,none,1.032259849311405,0.2826666666666667,0.36,0.0388372648658305,0.0165236663627836,0.0979795897113271,"[[72, 45], [45, 88]]",
fri_c0_250_50,3,classic,none,0.8692986171261312,0.2133333333333333,0.264,0.0685889744871042,0.0291818008942106,0.0908233939516074,"[[100, 17], [49, 84]]",
fri_c0_250_50,4,classic,none,0.8515400213110693,0.2057777777777777,0.272,0.0348381821455964,0.0148222203712957,0.0919903376568551,"[[79, 38], [30, 103]]",
fri_c0_250_50,5,classic,none,0.7658809120854768,0.1693333333333333,0.216,0.0305352596042215,0.0129915029738629,0.0965171257112205,"[[91, 26], [28, 105]]",
fri_c0_250_50,6,classic,none,0.7731932750681493,0.1724444444444444,0.244,0.0393336078769672,0.0167348399957842,0.0951256479025971,"[[81, 36], [25, 108]]",
fri_c0_250_50,7,classic,none,0.6875341658425567,0.136,0.2,0.0467688523866561,0.0198982321663772,0.0923760430703401,"[[95, 22], [28, 105]]",
fri_c0_250_50,8,classic,none,0.7063373849408575,0.144,0.216,0.0603515475532982,0.0256771129401994,0.0888444333277743,"[[83, 34], [20, 113]]",
fri_c0_250_50,9,classic,none,0.6290352619811762,0.1111111111111111,0.176,0.0437690368758826,0.0186219334666319,0.0847479924377104,"[[93, 24], [20, 113]]",
fri_c0_250_50,10,classic,none,0.6457492345129993,0.1182222222222222,0.196,0.0394567180618093,0.0167872183398107,0.0741170245849989,"[[88, 29], [20, 113]]",
fri_c0_250_50,11,classic,none,0.6279906386979374,0.1106666666666666,0.216,0.043056843592576,0.018318924378844,0.1053248941767013,"[[87, 30], [24, 109]]",
fri_c0_250_50,12,classic,none,0.5830718375186631,0.0915555555555555,0.196,0.0369165920475787,0.0157064987030501,0.0609553570701997,"[[88, 29], [20, 113]]",
fri_c0_250_50,13,classic,none,0.5945626936342914,0.0964444444444444,0.24,0.0260807380600112,0.0110962864065623,0.096148034012373,"[[83, 34], [26, 107]]",
fri_c0_250_50,14,classic,none,0.5538223855879729,0.0791111111111111,0.196,0.0399453647695131,0.0169951175107555,0.0548128127762519,"[[93, 24], [25, 108]]",
fri_c0_250_50,15,classic,none,0.5580008787209285,0.0808888888888888,0.216,0.0325904607073086,0.0138659069117601,0.0602218122167264,"[[92, 25], [29, 104]]",
fri_c0_250_50,16,classic,none,0.5318852966399553,0.0697777777777777,0.224,0.034488392340533,0.0146733991281948,0.1069994807879406,"[[89, 28], [28, 105]]",
fri_c0_250_50,17,classic,none,0.520394440524327,0.0648888888888888,0.204,0.0149364489277747,0.0063548475820821,0.0514673575083167,"[[90, 27], [24, 109]]",
fri_c0_250_50,18,classic,none,0.5151713241081323,0.0626666666666666,0.224,0.0342768051143831,0.0145833774249774,0.0658618081878851,"[[92, 25], [31, 102]]",
fri_c0_250_50,19,classic,none,0.4942788584433536,0.0537777777777777,0.232,0.0222689684885323,0.0094745344920411,0.081758451822698,"[[91, 26], [32, 101]]",
fri_c0_250_50,20,classic,none,0.4848772488942032,0.0497777777777777,0.2,0.0290497946350339,0.0123594984382899,0.0625388767976457,"[[93, 24], [26, 107]]",
fri_c0_250_50,21,classic,none,0.4806987557612475,0.048,0.216,0.0306739218920328,0.0130504981010638,0.0908233939516074,"[[93, 24], [30, 103]]",
fri_c0_250_50,22,classic,none,0.4744310160618138,0.0453333333333333,0.22,0.0195741083528336,0.0083279818207734,0.0760116950066092,"[[90, 27], [28, 105]]",
fri_c0_250_50,23,classic,none,0.4660740297959023,0.0417777777777777,0.212,0.0359177613651198,0.0152815371356771,0.0706792441637257,"[[93, 24], [29, 104]]",
fri_c0_250_50,24,classic,none,0.454583173680274,0.0368888888888888,0.208,0.0287350530120658,0.0122255887619423,0.0619677335393186,"[[90, 27], [25, 108]]",
fri_c0_250_50,25,classic,none,0.4430923175646457,0.032,0.204,0.0189445503729503,0.0080601306718432,0.0741170245849989,"[[91, 26], [25, 108]]",
fri_c0_250_50,26,classic,none,0.4462261874143626,0.0333333333333333,0.192,0.0216057233799977,0.0091923508488821,0.0674619234169254,"[[94, 23], [25, 108]]",
fri_c0_250_50,27,classic,none,0.4347353312987342,0.0284444444444444,0.2,0.0221324315270473,0.00941644360419,0.0705533682950557,"[[94, 23], [27, 106]]",
fri_c0_250_50,28,classic,none,0.423244475183106,0.0235555555555555,0.22,0.0177892934971184,0.0075686161626339,0.0711805216802087,"[[89, 28], [27, 106]]",
fri_c0_250_50,29,classic,none,0.4211552286166281,0.0226666666666666,0.216,0.0217176708826712,0.0092399799286001,0.0602218122167264,"[[89, 28], [26, 107]]",
fri_c0_250_50,30,classic,none,0.407575125934522,0.0168888888888888,0.208,0.0128412677345928,0.0054634337524698,0.0619677335393186,"[[91, 26], [26, 107]]",
fri_c0_250_50,31,classic,none,0.4159321122004334,0.0204444444444444,0.22,0.0198203332312693,0.0084327404271156,0.0760116950066092,"[[93, 24], [31, 102]]",
fri_c0_250_50,32,classic,none,0.4033966328015663,0.0151111111111111,0.208,0.0122616605582752,0.0052168346256767,0.0795543140809402,"[[93, 24], [28, 105]]",
fri_c0_250_50,33,classic,none,0.3992181396686104,0.0133333333333333,0.216,0.0184254228079867,0.007839263143895,0.0758946638440411,"[[91, 26], [28, 105]]",
fri_c0_250_50,34,classic,none,0.3950396465356547,0.0115555555555555,0.22,0.0141013395674596,0.0059995427352049,0.090921211313239,"[[91, 26], [29, 104]]",
fri_c0_250_50,35,classic,none,0.4002627629518495,0.0137777777777777,0.228,0.0211520093511894,0.0089993141028073,0.0778602737101676,"[[89, 28], [29, 104]]",
fri_c0_250_50,36,classic,none,0.3950396465356547,0.0115555555555555,0.2319999999999999,0.0172001945773204,0.0073179786875427,0.0772873426463436,"[[90, 27], [31, 102]]",
fri_c0_250_50,37,classic,none,0.3950396465356547,0.0115555555555555,0.228,0.0132135554875129,0.0056218269514104,0.0681175454637056,"[[89, 28], [29, 104]]",
fri_c0_250_50,38,classic,none,0.3866826602697433,0.008,0.216,0.0161832343161796,0.0068853037265909,0.068507907086214,"[[90, 27], [27, 106]]",
fri_c0_250_50,39,classic,none,0.3845934137032654,0.0071111111111111,0.224,0.0122616605582752,0.0052168346256767,0.0571936282387392,"[[89, 28], [28, 105]]",
fri_c0_250_50,40,classic,none,0.3814595438535486,0.0057777777777777,0.22,0.0156112067503111,0.0066419294137658,0.0736357401145817,"[[89, 28], [27, 106]]",
fri_c0_250_50,41,classic,none,0.3825041671367875,0.0062222222222222,0.228,0.0122616605582752,0.0052168346256767,0.0731512891965077,"[[87, 30], [27, 106]]",
fri_c0_250_50,42,classic,none,0.3731025575876371,0.0022222222222222,0.224,0.0088775908426478,0.0037770514915502,0.0710555338371958,"[[88, 29], [27, 106]]",
fri_c0_250_50,43,classic,none,0.3804149205703097,0.0053333333333333,0.2319999999999999,0.0137531045952073,0.0058513830098167,0.081758451822698,"[[89, 28], [30, 103]]",
fri_c0_250_50,44,classic,none,0.3720579343043982,0.0017777777777777,0.228,0.0088090369916753,0.0037478846342736,0.0801110340575989,"[[90, 27], [30, 103]]",
fri_c0_250_50,45,classic,none,0.3762364274373539,0.0035555555555555,0.224,0.0107888228774531,0.0045902024843939,0.0602218122167264,"[[91, 26], [30, 103]]",
fri_c0_250_50,46,classic,none,0.3762364274373539,0.0035555555555555,0.236,0.0107888228774531,0.0045902024843939,0.0831598193574009,"[[90, 27], [32, 101]]",
fri_c0_250_50,47,classic,none,0.3720579343043981,0.0017777777777777,0.236,0.0053944114387265,0.0022951012421969,0.0764780287983999,"[[88, 29], [30, 103]]",
fri_c0_250_50,48,classic,none,0.3720579343043981,0.0017777777777777,0.24,0.0053944114387265,0.0022951012421969,0.082192186706253,"[[86, 31], [29, 104]]",
fri_c0_250_50,49,classic,none,0.3710133110211592,0.0013333333333333,0.228,0.0050460098517522,0.0021468706290651,0.0778602737101676,"[[88, 29], [28, 105]]",
fri_c0_250_50,50,classic,none,0.3699686877379203,0.0008888888888888,0.24,0.0044045184958376,0.0018739423171368,0.082192186706253,"[[89, 28], [32, 101]]",
fri_c0_250_50,51,classic,none,0.3710133110211592,0.0013333333333333,0.24,0.0050460098517522,0.0021468706290651,0.065319726474218,"[[87, 30], [30, 103]]",
fri_c0_250_50,52,classic,none,0.3710133110211592,0.0013333333333333,0.232,0.0070506697837298,0.0029997713676024,0.0619677335393186,"[[88, 29], [29, 104]]",
fri_c0_250_50,53,classic,none,0.3710133110211592,0.0013333333333333,0.24,0.0050460098517522,0.0021468706290651,0.0730296743340221,"[[86, 31], [29, 104]]",
fri_c0_250_50,54,classic,none,0.3689240644546814,0.0004444444444444,0.24,0.0033033888718782,0.0014054567378526,0.0679869268479038,"[[87, 30], [30, 103]]",
fri_c0_250_50,55,classic,none,0.3699686877379203,0.0008888888888888,0.24,0.0044045184958376,0.0018739423171368,0.08,"[[85, 32], [28, 105]]",
fri_c0_250_50,56,classic,none,0.3678794411714424,0.0,0.248,0.0,0.0,0.0839047078536121,"[[85, 32], [30, 103]]",
fri_c0_250_50,57,classic,none,0.3678794411714424,0.0,0.252,0.0,0.0,0.0844327477279336,"[[85, 32], [31, 102]]",
fri_c0_250_50,58,classic,none,0.3689240644546814,0.0004444444444444,0.24,0.0033033888718782,0.0014054567378526,0.0843274042711568,"[[87, 30], [30, 103]]",
fri_c0_250_50,59,classic,none,0.3678794411714424,0.0,0.244,0.0,0.0,0.0852708104283705,"[[87, 30], [31, 102]]",
fri_c0_250_50,60,classic,none,0.3678794411714424,0.0,0.252,0.0,0.0,0.0980702695916442,"[[84, 33], [30, 103]]",
fri_c0_250_50,61,classic,none,0.3678794411714424,0.0,0.248,0.0,0.0,0.0994205433723053,"[[87, 30], [32, 101]]",
fri_c0_250_50,62,classic,none,0.3689240644546814,0.0004444444444444,0.236,0.0033033888718782,0.0014054567378526,0.0951256479025971,"[[86, 31], [28, 105]]",
fri_c0_250_50,63,classic,none,0.3689240644546814,0.0004444444444444,0.228,0.0033033888718782,0.0014054567378526,0.0962404396406324,"[[89, 28], [29, 104]]",
fri_c0_250_50,64,classic,none,0.3678794411714424,0.0,0.236,0.0,0.0,0.0987927122818277,"[[89, 28], [31, 102]]",
fri_c0_250_50,65,classic,none,0.3678794411714424,0.0,0.248,0.0,0.0,0.081758451822698,"[[90, 27], [35, 98]]",
fri_c0_250_50,66,classic,none,0.3678794411714424,0.0,0.2319999999999999,0.0,0.0,0.1011928851253881,"[[92, 25], [33, 100]]",
fri_c0_250_50,67,classic,none,0.3678794411714424,0.0,0.2319999999999999,0.0,0.0,0.0859974159818512,"[[90, 27], [31, 102]]",
fri_c0_250_50,68,classic,none,0.3678794411714424,0.0,0.224,0.0,0.0,0.0908233939516074,"[[92, 25], [31, 102]]",
fri_c0_250_50,69,classic,none,0.3678794411714424,0.0,0.2319999999999999,0.0,0.0,0.0880403947691689,"[[88, 29], [29, 104]]",
fri_c0_250_50,70,classic,none,0.3678794411714424,0.0,0.224,0.0,0.0,0.0888444333277743,"[[92, 25], [31, 102]]",
fri_c0_250_50,71,classic,none,0.3678794411714424,0.0,0.244,0.0,0.0,0.0831598193574009,"[[89, 28], [33, 100]]",
fri_c0_250_50,72,classic,none,0.3678794411714424,0.0,0.248,0.0,0.0,0.0839047078536121,"[[87, 30], [32, 101]]",
fri_c0_250_50,73,classic,none,0.3678794411714424,0.0,0.252,0.0,0.0,0.0885437744847146,"[[88, 29], [34, 99]]",
fri_c0_250_50,74,classic,none,0.3678794411714424,0.0,0.26,0.0,0.0,0.0783156008298048,"[[86, 31], [34, 99]]",
fri_c0_250_50,75,classic,none,0.3678794411714424,0.0,0.252,0.0,0.0,0.0706792441637257,"[[88, 29], [34, 99]]",
fri_c0_250_50,76,classic,none,0.3678794411714424,0.0,0.248,0.0,0.0,0.0772873426463436,"[[88, 29], [33, 100]]",
