dataset,n_ensemble,method_weights,compl_measure,exp_loss_avg_train_mean,misc_rate_train_mean,misc_rate_test_mean,exp_loss_avg_train_std,misc_rate_train_std,misc_rate_test_std,conf_matrix_test_total
diabetes,1,classic,none,0.9857514740082305,0.26287925683645214,0.29429254955570744,0.03240470349635772,0.013786874822635459,0.05091969032725826,"[[383, 117], [109, 159]]"
diabetes,2,classic,none,0.9857514740082305,0.26287925683645214,0.29429254955570744,0.03240470349635772,0.013786874822635459,0.05091969032725826,"[[383, 117], [109, 159]]"
diabetes,3,classic,none,0.972825961603465,0.2573799804254536,0.28260423786739575,0.0239392324142963,0.010185163418729543,0.049575070265958615,"[[380, 120], [97, 171]]"
diabetes,4,classic,none,0.9507214478811384,0.24797541470433232,0.2773581681476418,0.018498347492210927,0.007870289611796345,0.04716284356301569,"[[397, 103], [110, 158]]"
diabetes,5,classic,none,0.9333740496536901,0.24059480688957113,0.26696855775803147,0.03755118661697933,0.015976492714642774,0.05475770217275697,"[[408, 92], [113, 155]]"
diabetes,6,classic,none,0.9211317766101441,0.23538622085776667,0.268215994531784,0.024008038188613644,0.010214437459076638,0.055518554544340945,"[[412, 88], [118, 150]]"
diabetes,7,classic,none,0.9221522117999941,0.23582037425863497,0.2656185919343814,0.017875132816805455,0.0076051372792526805,0.05555407474234755,"[[417, 83], [121, 147]]"
diabetes,8,classic,none,0.9085547654335114,0.23003521745313402,0.25391319207108676,0.016383114952847225,0.006970344755203213,0.0530559902536424,"[[411, 89], [106, 162]]"
diabetes,9,classic,none,0.9088909781839245,0.2301782622152698,0.2551777170198223,0.021628947216578275,0.009202231640658932,0.05866752325743548,"[[417, 83], [113, 155]]"
diabetes,10,classic,none,0.8881514685667102,0.2213544498632291,0.25,0.02422082657014974,0.01030497020474053,0.05830627314367122,"[[419, 81], [111, 157]]"
diabetes,11,classic,none,0.8867908883135771,0.2207755786620714,0.24740259740259737,0.022746952179929024,0.009677896986047298,0.05441598084625326,"[[418, 82], [108, 160]]"
diabetes,12,classic,none,0.8793062223040181,0.2175911596663962,0.2461038961038961,0.023379243472756512,0.009946911047744667,0.059936923630840966,"[[420, 80], [109, 159]]"
diabetes,13,classic,none,0.8762513067428825,0.21629141815079095,0.24475393028024603,0.019829175749644067,0.008436502556707871,0.04965356012857488,"[[416, 84], [104, 164]]"
diabetes,14,classic,none,0.8691023619446279,0.21324983478748233,0.24871838687628162,0.021060635480104724,0.00896043826113068,0.058984836123836586,"[[420, 80], [111, 157]]"
diabetes,15,classic,none,0.873189509634224,0.21498874881841679,0.2448051948051948,0.014645213639844529,0.0062309388890407465,0.05227300999557263,"[[416, 84], [104, 164]]"
diabetes,16,classic,none,0.8687627084204532,0.21310532611696212,0.25003417634996583,0.02207436217405698,0.009391737471612724,0.05551601818749671,"[[419, 81], [111, 157]]"
diabetes,17,classic,none,0.8660469548443835,0.21194988414210786,0.24478810663021192,0.012807771516569748,0.0054491824828982365,0.055038147011062744,"[[418, 82], [106, 162]]"
diabetes,18,classic,none,0.8677442393870386,0.2126720092351706,0.24873547505126453,0.01780351557865747,0.007574667076135391,0.05404591116362524,"[[422, 78], [113, 155]]"
diabetes,19,classic,none,0.864348687223511,0.21122734078950672,0.2435235816814764,0.012669175339864511,0.005390215483266649,0.056878070219876405,"[[423, 77], [110, 158]]"
diabetes,20,classic,none,0.8640051013864664,0.21108115908083286,0.2448222829801777,0.015575268030563406,0.006626638959696377,0.050116771704351616,"[[420, 80], [108, 160]]"
diabetes,21,classic,none,0.8619671802414193,0.21021410705771143,0.24092617908407382,0.012104068741408855,0.005149785758759853,0.055308723428269126,"[[426, 74], [111, 157]]"
diabetes,22,classic,none,0.8612834493410911,0.20992320754874813,0.2435235816814764,0.017622127328654195,0.0074974938010467194,0.04754598185913509,"[[420, 80], [107, 161]]"
diabetes,23,classic,none,0.8609482196688957,0.20978058104615077,0.23962747778537255,0.01614957072561809,0.0068709812468557225,0.04883087321037488,"[[422, 78], [106, 162]]"
diabetes,24,classic,none,0.8548241339124699,0.20717503325163328,0.23696172248803826,0.013873552397207289,0.005902628618930897,0.04635122096669419,"[[421, 79], [103, 165]]"
diabetes,25,classic,none,0.8629841746575074,0.21064679655019533,0.2356971975393028,0.011974527656462959,0.005094671329993742,0.040252077896944134,"[[423, 77], [104, 164]]"
diabetes,26,classic,none,0.8643496703017286,0.2112277590490451,0.2382946001367054,0.01519952969610923,0.006466777679565645,0.04317351072490272,"[[422, 78], [105, 163]]"
diabetes,27,classic,none,0.8619657056240928,0.2102134796684038,0.23701298701298698,0.014899048657318384,0.006338935298015968,0.04778100086295616,"[[427, 73], [109, 159]]"
diabetes,28,classic,none,0.8555083563519068,0.20746614189036583,0.23827751196172248,0.013511915145230455,0.005748766772154007,0.04345276465154194,"[[423, 77], [106, 162]]"
diabetes,29,classic,none,0.8561827480091679,0.20775306793371423,0.24220779220779218,0.015592000019283767,0.006633757735958206,0.046266596233283976,"[[425, 75], [111, 157]]"
diabetes,30,classic,none,0.8521073972581826,0.20601917301724065,0.2448051948051948,0.014938943807771145,0.006355909051390517,0.0456549788256671,"[[421, 79], [109, 159]]"
diabetes,31,classic,none,0.8568625465966259,0.20804229440452388,0.23959330143540666,0.015548471087651209,0.006615237957443668,0.04321746638260641,"[[426, 74], [110, 158]]"
diabetes,32,classic,none,0.8514275986707247,0.20572994654643098,0.2396103896103896,0.011396613594838777,0.004848792554193523,0.04943875441795076,"[[425, 75], [109, 159]]"
diabetes,33,classic,none,0.8555039324999276,0.20746425972244298,0.24220779220779218,0.011463612901531656,0.004877298016515729,0.046266596233283976,"[[425, 75], [111, 157]]"
diabetes,34,classic,none,0.8517677437340081,0.20587466434672042,0.2409090909090909,0.013300730850458714,0.005658916499743664,0.04828818455393842,"[[424, 76], [109, 159]]"
diabetes,35,classic,none,0.8555019663434924,0.20746342320336617,0.2382946001367054,0.013996716650226313,0.005955029966753372,0.04935674804273293,"[[426, 74], [109, 159]]"
diabetes,36,classic,none,0.8517638114211378,0.2058729913085668,0.23959330143540666,0.013613239496895971,0.0057918761359861595,0.05014825085179341,"[[424, 76], [108, 160]]"
diabetes,37,classic,none,0.851420225584093,0.20572680959989292,0.240892002734108,0.016610278648516368,0.007066993608564519,0.049014841723028,"[[424, 76], [109, 159]]"
diabetes,38,classic,none,0.8493847621345898,0.20486080322561756,0.23957621326042378,0.01536351369648647,0.006536546158896726,0.05302244054094115,"[[423, 77], [107, 161]]"
diabetes,39,classic,none,0.8490397016802186,0.20471399412763608,0.23827751196172248,0.020001925820717036,0.008510000640273133,0.045656115864466856,"[[424, 76], [107, 161]]"
diabetes,40,classic,none,0.8463254227214753,0.20355917954208946,0.23568010936431988,0.01863342203242151,0.007927758299260715,0.05386127215811302,"[[426, 74], [107, 161]]"
diabetes,41,classic,none,0.84529908906232,0.20312251658399072,0.2435235816814764,0.02491770430918325,0.010601463155395549,0.054632085872305086,"[[424, 76], [111, 157]]"
diabetes,42,classic,none,0.8408835932480514,0.2012439038672277,0.2369788106630212,0.02040725914599576,0.008682453377502737,0.05037433740519584,"[[426, 74], [108, 160]]"
diabetes,43,classic,none,0.8449589439990366,0.20297779878370129,0.23959330143540666,0.023853214355417082,0.010148566255901431,0.04901433864300496,"[[425, 75], [109, 159]]"
diabetes,44,classic,none,0.839523012994918,0.20066503266606994,0.23568010936431988,0.020993391310981744,0.008931828619868082,0.055573729614771236,"[[424, 76], [105, 163]]"
diabetes,45,classic,none,0.8463219819477137,0.20355771563370503,0.240892002734108,0.018330367969496393,0.007798821201270928,0.053517616036363826,"[[425, 75], [110, 158]]"
diabetes,46,classic,none,0.8439414580438394,0.2025449001614482,0.2369788106630212,0.020806336640933416,0.008852244515010167,0.047584545350335704,"[[425, 75], [107, 161]]"
diabetes,47,classic,none,0.8408811355525074,0.20124285821838167,0.24215652768284346,0.02233637988313902,0.009503215280901577,0.0510518391274619,"[[421, 79], [107, 161]]"
diabetes,48,classic,none,0.8415619172181827,0.20153250294872974,0.2369788106630212,0.0239279304845215,0.010180354910264838,0.047584545350335704,"[[425, 75], [107, 161]]"
diabetes,49,classic,none,0.8436022960587737,0.20240060062069717,0.24740259740259737,0.01455589643887814,0.006192938076307774,0.0565587213985426,"[[422, 78], [112, 156]]"
diabetes,50,classic,none,0.8432636256128168,0.2022565102097153,0.2395591250854409,0.021038909891054655,0.00895119491234598,0.04844975269421836,"[[424, 76], [108, 160]]"
diabetes,51,classic,none,0.8459847861190832,0.20341425261203083,0.24087491455912508,0.015383535728713484,0.006545064713989805,0.05085857343846577,"[[424, 76], [109, 159]]"
diabetes,52,classic,none,0.8473438917548901,0.20399249642388093,0.24606971975393027,0.018300077999604248,0.0077859340590284215,0.04887397288416553,"[[422, 78], [111, 157]]"
diabetes,53,classic,none,0.8408835932480514,0.2012439038672277,0.24087491455912508,0.018215069335902643,0.007749766352527847,0.05085857343846577,"[[422, 78], [107, 161]]"
diabetes,54,classic,none,0.8480217241859126,0.2042808863756138,0.2473855092276145,0.015394079988991217,0.006549550865099409,0.050708616605759586,"[[423, 77], [113, 155]]"
diabetes,55,classic,none,0.8439409665047307,0.20254469103167896,0.24085782638414216,0.017732381244162567,0.007544402328754441,0.048836533892762574,"[[423, 77], [108, 160]]"
diabetes,56,classic,none,0.8439439157393833,0.2025459458102942,0.2460868079289132,0.01759725155279202,0.0074869101767291385,0.0497756274610869,"[[422, 78], [111, 157]]"
diabetes,57,classic,none,0.8402033031214847,0.2009544682666488,0.2461038961038961,0.020459267504428013,0.00870458080500775,0.052129409657244385,"[[423, 77], [112, 156]]"
diabetes,58,classic,none,0.8415648664528355,0.20153375772734497,0.24217361585782635,0.014878410375348169,0.006330154553883869,0.05191711413809103,"[[425, 75], [111, 157]]"
diabetes,59,classic,none,0.8415629002964004,0.20153292120826816,0.2448051948051948,0.02181862617853708,0.009282932274297134,0.051186188597257425,"[[424, 76], [112, 156]]"
