y,dataset,Hostility,kDN,DS,DCP,TD_U,TD_P,MV,CB,CLD,N1,N2,LSC,LSradius,H,U,F1,F2,F3,F4
0,Data1,0.231,0.334,0.898860892388451,0.331778333510236,0.43089898989899,0.833066666666667,0,0.666666666666667,0.332315985793231,0.342194444444444,0.413653575792864,0.998548627320218,0.985684027969723,0.000333333333333333,0.998549111111111,0.993,0.826841812454088,0.87401594878388,0.921190085113673
1,Data1,0.211,0.341133333333333,0.867123359580052,0.331778333510236,0.409939393939394,0.7596,0,0.666666666666667,0.332137042764524,0.344805555555556,0.41301877376545,0.997880849171946,0.982511266790056,0.000333333333333333,0.997881555555555,0.992333333333333,0.835442398596445,0.880952364924279,0.926462331252113
dataset,Data1,0.221,0.337566666666667,0.882992125984252,0.331778333510236,0.420419191919192,0.796333333333333,0,0.666666666666667,0.332226514278877,0.3435,0.413336174779157,0.998214738246082,0.98409764737989,0.000333333333333333,0.998215333333333,0.992666666666667,0.831142105525266,0.87748415685408,0.923826208182893
0,Data10,0.06,0.1258,0.848511194029851,0.124212040554921,0.376869565217391,0.6546,0,0.75,0.130490662234287,0.124583333333333,0.241878344346001,0.966145145145145,0.931571068323744,0.0004395,0.966179,0.76675,0.478378697570584,0.518971301534526,0.559563905498467
1,Data10,0.113,0.19,0.900839552238806,0.186953027333366,0.532173913043478,0.9626,0,0.75,0.166688928827575,0.188916666666667,0.298457665027902,0.98143043043043,0.964236421337884,0.000693,0.981449,0.8515,0.509918823824809,0.539856789622683,0.569794755420556
2,Data10,0.096,0.0996,0.427432835820895,0.0949133892419795,0.331782608695652,0.6398,0,0.75,0.132397688722972,0.0998333333333333,0.188431187221904,0.896368368368368,0.887521821316985,0.0003675,0.896472,0.749,0.480620334124135,0.520191643110669,0.559762952097202
dataset,Data10,0.0896666666666667,0.138466666666667,0.725594527363184,0.135359485710089,0.413608695652174,0.752333333333333,0,0.75,0.143192426594945,0.137777777777778,0.242922398865269,0.947981314647981,0.927776436992871,0.0005,0.948033333333333,0.789083333333333,0.489639285173176,0.526339911422626,0.563040537672075
0,Data11,0.038,0.0824,0.871845342706503,0.0890204194657461,0.328296296296296,0.44575,0,0.8,0.348740918592885,0.0879166666666667,0.193979007869011,0.950903903903904,0.969815864205811,0.000115,0.950953,0.725333333333333,0.340165281695198,0.383245522431724,0.42632576316825
1,Data11,0.121,0.1474,0.421156414762742,0.149369837895038,0.304148148148148,0.484416666666667,0,0.8,0.259806280799759,0.146333333333333,0.209653974306111,0.861087087087087,0.8971216398078,0.000441,0.861226,0.7765,0.356632757540002,0.393341519487772,0.430050281435542
2,Data11,0.255,0.2826,0.909978910369068,0.266157674986192,0.402888888888889,0.499833333333333,0,0.8,0.279311628200467,0.285333333333333,0.360887412191332,0.979992992992993,0.972820087925986,0.000470666666666667,0.980013,0.890333333333333,0.401476866310678,0.416276156595782,0.431075446880887
3,Data11,0.152,0.2448,0.885732864674868,0.2379583294323,0.391296296296296,0.399333333333333,0,0.8,0.218933350639936,0.245166666666667,0.33600187902303,0.974494494494494,0.950984472502057,0.000306666666666667,0.97452,0.935,0.409485802522415,0.432285219447962,0.455084636373509
dataset,Data11,0.1415,0.1893,0.772178383128295,0.185626565444819,0.356657407407407,0.457333333333333,0,0.8,0.276698044558262,0.1911875,0.275130568347371,0.94161961961962,0.947685516110414,0.000333333333333333,0.941678,0.831791666666667,0.376940177017073,0.40628710449081,0.435634031964547
0,Data12,0.0457516339869281,0.0785947712418301,0.564141414141414,0.0253754632893388,0.730763517528223,0.753104575163399,0,0.694,0.30028206012757,0.05385348583878,0.186393393652528,0.969771909854157,0.941218187694858,0.000816993464052288,0.969796606006237,0.938725490196078,0.510058982594223,0.546557695834135,0.583056409074048
1,Data12,0.0459770114942529,0.0595402298850575,0.426350201522615,0.00453227557853731,0.57533960292581,0.615402298850575,0.28921568627451,0.7825,0.248569735859712,0.0413793103448276,0.165886571975308,0.923969948282476,0.897869423185749,0.000398791214721278,0.924057339146519,0.983333333333333,0.498604106071047,0.534493092863436,0.570382079655825
