dataset,n_ensemble,method_weights,compl_measure,loss_selected,loss_train_mean,loss_test_mean,train_acc_mean,test_acc_mean,loss_train_std,loss_test_std,train_acc_std,test_acc_std,conf_matr_train_total,conf_matr_test_total
no2,1,classic,none,log_loss,0.6884891176156294,0.6889662609851583,0.5962222222222222,0.5900000000000001,0.0005299199351409807,0.0024271438585295427,0.005930553748517929,0.05185449728701348,"[[1916, 343], [1474, 767]]","[[211, 40], [165, 84]]"
no2,2,classic,none,log_loss,0.6846162066586702,0.6878605972211004,0.614,0.5900000000000001,0.0008411297636331673,0.002336296507464828,0.019146392927648723,0.05354126134736339,"[[1901, 358], [1379, 862]]","[[206, 45], [160, 89]]"
no2,3,classic,none,log_loss,0.6810557512661088,0.6857917890365164,0.6315555555555555,0.5860000000000001,0.0009910889706840607,0.0039153267812669194,0.01324248887708834,0.0558171618371586,"[[1887, 372], [1286, 955]]","[[199, 52], [155, 94]]"
no2,4,classic,none,log_loss,0.6778275903379691,0.6839057378957238,0.6384444444444444,0.5980000000000001,0.0011998103176846947,0.004797381473931515,0.005742532575796839,0.04366539438350083,"[[1872, 387], [1240, 1001]]","[[200, 51], [150, 99]]"
no2,5,classic,none,log_loss,0.6748073399784759,0.6818911741179027,0.6411111111111112,0.596,0.0013089702236482913,0.006536531088479845,0.00859067667018017,0.04501851470969101,"[[1858, 401], [1214, 1027]]","[[198, 53], [149, 100]]"
no2,6,classic,none,log_loss,0.6720269169681253,0.6808314752525546,0.6424444444444444,0.5900000000000001,0.0014380845469123972,0.006452772691803442,0.009278498530442526,0.05436502143433364,"[[1852, 407], [1202, 1039]]","[[194, 57], [148, 101]]"
no2,7,classic,none,log_loss,0.6693998401054,0.6787382757791776,0.6433333333333333,0.596,0.0015410477228868385,0.007404865265712868,0.007926272058901005,0.04880801391392834,"[[1866, 393], [1212, 1029]]","[[196, 55], [147, 102]]"
no2,8,classic,none,log_loss,0.6669584399523674,0.6779912355660126,0.6488888888888888,0.602,0.0016118261138490368,0.008378178600092658,0.006372092790401941,0.055337349251858986,"[[1854, 405], [1175, 1066]]","[[194, 57], [142, 107]]"
no2,9,classic,none,log_loss,0.6646432576102633,0.6764316539612091,0.6504444444444444,0.604,0.0016913666989939187,0.009041561889068864,0.005137345447229544,0.05316640543300504,"[[1853, 406], [1167, 1074]]","[[194, 57], [141, 108]]"
no2,10,classic,none,log_loss,0.6624486229473937,0.6748521563888991,0.6506666666666667,0.6060000000000001,0.0017767161735222578,0.009756707763418021,0.007466431507172824,0.057387571244419594,"[[1864, 395], [1177, 1064]]","[[195, 56], [141, 108]]"
no2,11,classic,none,log_loss,0.6603382053234064,0.6731301465820898,0.6502222222222223,0.612,0.0018601805532938258,0.009985220371172405,0.0053620625395122525,0.04442221666388713,"[[1857, 402], [1172, 1069]]","[[198, 53], [141, 108]]"
no2,12,classic,none,log_loss,0.6583534489841708,0.6721250407692348,0.6511111111111111,0.6060000000000001,0.0019508690356380186,0.011020079342826103,0.006869347033700503,0.04993328882953064,"[[1834, 425], [1145, 1096]]","[[194, 57], [140, 109]]"
no2,13,classic,none,log_loss,0.6564708888493106,0.6714645130222087,0.6524444444444445,0.6060000000000001,0.0020317547701968093,0.010866613761778386,0.0059444155993300316,0.04325634186002223,"[[1828, 431], [1133, 1108]]","[[193, 58], [139, 110]]"
no2,14,classic,none,log_loss,0.654642422834268,0.6702423854070717,0.6522222222222223,0.6,0.0021252461842521616,0.012686648339332397,0.004090874450810105,0.04988876515698586,"[[1834, 425], [1140, 1101]]","[[193, 58], [142, 107]]"
no2,15,classic,none,log_loss,0.652831554789965,0.6692328782550376,0.6519999999999999,0.6,0.002204647044346056,0.012252818093932085,0.004708221802095055,0.04988876515698586,"[[1846, 413], [1153, 1088]]","[[193, 58], [142, 107]]"
no2,16,classic,none,log_loss,0.6511594931094634,0.6675825781808623,0.6526666666666666,0.604,0.0023088268156105604,0.012863526813171575,0.008251865150597679,0.04402019738458445,"[[1822, 437], [1126, 1115]]","[[193, 58], [140, 109]]"
no2,17,classic,none,log_loss,0.6495200728334283,0.6661850055568317,0.6531111111111111,0.604,0.0024075305148183457,0.013964983868820415,0.007940105004955024,0.049710271686152635,"[[1819, 440], [1121, 1120]]","[[192, 59], [139, 110]]"
no2,18,classic,none,log_loss,0.6479660494618218,0.6660392112280171,0.6526666666666666,0.5980000000000001,0.0024709248169118153,0.014085269408028067,0.0063763968049355005,0.055337349251858986,"[[1828, 431], [1132, 1109]]","[[190, 61], [140, 109]]"
no2,19,classic,none,log_loss,0.6464523212744405,0.6652377955990681,0.6537777777777778,0.5980000000000001,0.0025673547801568267,0.014599586649143887,0.00626790986705368,0.05533734925185899,"[[1829, 430], [1128, 1113]]","[[190, 61], [140, 109]]"
no2,20,classic,none,log_loss,0.6449156435838831,0.6641868178010404,0.6571111111111111,0.6,0.0026349155034256365,0.01526417950517938,0.0065462373615661415,0.048989794855663585,"[[1794, 465], [1078, 1163]]","[[186, 65], [135, 114]]"
no2,21,classic,none,log_loss,0.6434729196209364,0.6631341812960393,0.6571111111111111,0.604,0.0026639476282062464,0.01481580810113245,0.006201906870795414,0.049710271686152684,"[[1796, 463], [1080, 1161]]","[[187, 64], [134, 115]]"
no2,22,classic,none,log_loss,0.6420838352632968,0.662252088149266,0.6546666666666667,0.6020000000000001,0.0027327777864411514,0.015084540726940463,0.005045744108422653,0.05846176338238333,"[[1810, 449], [1105, 1136]]","[[188, 63], [136, 113]]"
no2,23,classic,none,log_loss,0.6407355990476379,0.6621749306226343,0.6564444444444445,0.596,0.0027875200371824845,0.015386480900626708,0.006126243889817888,0.057193628238739226,"[[1799, 460], [1086, 1155]]","[[185, 66], [136, 113]]"
no2,24,classic,none,log_loss,0.639459300896916,0.6615506248170717,0.6575555555555556,0.602,0.002841625924775155,0.016608913108223863,0.006662550169412993,0.051164223611599696,"[[1786, 473], [1068, 1173]]","[[186, 65], [134, 115]]"
no2,25,classic,none,log_loss,0.6382302961451151,0.6608707238563336,0.6586666666666667,0.6,0.0028841920304393553,0.01706768180310947,0.005562958031264771,0.04898979485566359,"[[1777, 482], [1054, 1187]]","[[185, 66], [134, 115]]"
no2,26,classic,none,log_loss,0.6370323105966944,0.6597595330933121,0.6597777777777778,0.6,0.002888217834602911,0.017247992857972877,0.0052847582168109595,0.04898979485566359,"[[1777, 482], [1049, 1192]]","[[185, 66], [134, 115]]"
no2,27,classic,none,log_loss,0.6358517360951093,0.6594271945511772,0.6575555555555556,0.5980000000000001,0.0029278808748505725,0.017704921543089575,0.005488484015657091,0.055337349251859014,"[[1777, 482], [1059, 1182]]","[[183, 68], [133, 116]]"
no2,28,classic,none,log_loss,0.6346596216973639,0.6586561653883665,0.6591111111111111,0.604,0.0029447462537240715,0.01798346689707651,0.005756847178585307,0.048808013913928354,"[[1762, 497], [1037, 1204]]","[[184, 67], [131, 118]]"
no2,29,classic,none,log_loss,0.6335191344786706,0.6590319702907623,0.6584444444444444,0.6020000000000001,0.0029704007481321667,0.017889671790940514,0.006711781505229209,0.050288059108389606,"[[1759, 500], [1037, 1204]]","[[183, 68], [131, 118]]"
no2,30,classic,none,log_loss,0.6324513547801159,0.658478989365544,0.6644444444444445,0.608,0.0030050277919867084,0.018544105953415976,0.012081115874296383,0.04825856285561029,"[[1750, 509], [1001, 1240]]","[[181, 70], [126, 123]]"
no2,31,classic,none,log_loss,0.6313528256732517,0.6574858883485244,0.6651111111111111,0.606,0.003050673476548675,0.01851571559857325,0.011573111071048508,0.04718756898449705,"[[1739, 520], [987, 1254]]","[[179, 72], [125, 124]]"
no2,32,classic,none,log_loss,0.6303248346636203,0.6567724886569092,0.6646666666666666,0.604,0.003064988652188471,0.019246587322578387,0.011733202393582897,0.04880801391392835,"[[1741, 518], [991, 1250]]","[[180, 71], [127, 122]]"
no2,33,classic,none,log_loss,0.6292929140638702,0.6568586538827285,0.6651111111111111,0.604,0.0030900829342995063,0.020014250243894208,0.010159226178366638,0.04880801391392835,"[[1728, 531], [976, 1265]]","[[176, 75], [123, 126]]"
no2,34,classic,none,log_loss,0.6283040174298499,0.6560525488943381,0.6635555555555556,0.604,0.003120898804419703,0.020241508145989736,0.00672403301802087,0.05316640543300501,"[[1741, 518], [996, 1245]]","[[180, 71], [127, 122]]"
no2,35,classic,none,log_loss,0.6273909629905675,0.6559613080527178,0.6697777777777778,0.606,0.0031418015882817892,0.01984602255039664,0.014485222591502596,0.046236109025065884,"[[1731, 528], [958, 1283]]","[[178, 73], [124, 125]]"
no2,36,classic,none,log_loss,0.6264311324381274,0.655737625284974,0.6697777777777778,0.602,0.003195955139436895,0.02022648368128124,0.014023300226606493,0.052025634707004484,"[[1746, 513], [973, 1268]]","[[178, 73], [126, 123]]"
no2,37,classic,none,log_loss,0.6255258059414792,0.6558695972481738,0.6686666666666666,0.604,0.0032409185562704847,0.020812266351844928,0.013676649972056828,0.046951511631090646,"[[1731, 528], [963, 1278]]","[[178, 73], [125, 124]]"
no2,38,classic,none,log_loss,0.6246554199233604,0.6557065238243001,0.6719999999999999,0.6060000000000001,0.0032631988151643116,0.01972063106333672,0.01358608179924192,0.049933288829530686,"[[1728, 531], [945, 1296]]","[[177, 74], [123, 126]]"
no2,39,classic,none,log_loss,0.6237638272827177,0.6552855813274735,0.6748888888888889,0.604,0.0032541144181323953,0.021051856804257287,0.012173866182632671,0.05316640543300502,"[[1729, 530], [933, 1308]]","[[175, 76], [122, 127]]"
no2,40,classic,none,log_loss,0.6228812375544909,0.6548427767935168,0.6748888888888889,0.6060000000000001,0.0032476550209694297,0.021297477248619176,0.012572969460017153,0.04903513479582211,"[[1717, 542], [921, 1320]]","[[174, 77], [120, 129]]"
no2,41,classic,none,log_loss,0.6220500611587092,0.6546664524006054,0.6759999999999999,0.6100000000000001,0.003298337697411875,0.021367624759344565,0.009060079911952998,0.04830458915396481,"[[1720, 539], [919, 1322]]","[[174, 77], [118, 131]]"
