dataset,n_ensemble,method_weights,compl_measure,loss_selected,loss_train_mean,loss_test_mean,train_acc_mean,test_acc_mean,loss_train_std,loss_test_std,train_acc_std,test_acc_std,conf_matr_train_total,conf_matr_test_total
saheart,1,classic,none,log_loss,0.6338681406044611,0.635203047649769,0.6536793327154773,0.6536540240518038,0.0007493140046718221,0.00318987128019479,0.0003516898231883565,0.0031203479841315986,"[[2718, 0], [1440, 0]]","[[302, 0], [160, 0]]"
saheart,2,classic,none,log_loss,0.6244274482753336,0.6292628326860711,0.6536793327154773,0.6536540240518038,0.0011574475775732432,0.004049621740445069,0.0003516898231883565,0.0031203479841315986,"[[2718, 0], [1440, 0]]","[[302, 0], [160, 0]]"
saheart,3,classic,none,log_loss,0.6161699511969977,0.623978856382522,0.6536793327154773,0.6536540240518038,0.001439090212143826,0.007689924724677461,0.0003516898231883565,0.0031203479841315986,"[[2718, 0], [1440, 0]]","[[302, 0], [160, 0]]"
saheart,4,classic,none,log_loss,0.6087368978751456,0.6184719091261772,0.6536793327154773,0.6536540240518038,0.001869701067285488,0.00941569309726232,0.0003516898231883565,0.0031203479841315986,"[[2718, 0], [1440, 0]]","[[302, 0], [160, 0]]"
saheart,5,classic,none,log_loss,0.60218589698211,0.6140220210126927,0.6536793327154773,0.6536540240518038,0.0021744748643630716,0.01067095856698187,0.0003516898231883565,0.0031203479841315986,"[[2718, 0], [1440, 0]]","[[302, 0], [160, 0]]"
saheart,6,classic,none,log_loss,0.5961025566654348,0.6105484202113367,0.6536793327154773,0.6536540240518038,0.0023542490514360027,0.014248817068514137,0.0003516898231883565,0.0031203479841315986,"[[2718, 0], [1440, 0]]","[[302, 0], [160, 0]]"
saheart,7,classic,none,log_loss,0.590528757504545,0.6046115839766307,0.6536793327154773,0.6536540240518038,0.0027380203696152567,0.014737382595269449,0.0003516898231883565,0.0031203479841315986,"[[2718, 0], [1440, 0]]","[[302, 0], [160, 0]]"
saheart,8,classic,none,log_loss,0.5854431582567529,0.5988886146077463,0.6609001390176089,0.653700277520814,0.0029682153312012697,0.01577212979145376,0.01512355343018071,0.008797756200056572,"[[2712, 6], [1404, 36]]","[[300, 2], [158, 2]]"
saheart,9,classic,none,log_loss,0.5806569029433863,0.5972825767450364,0.6705236329935126,0.6645235892691952,0.003121926864146552,0.01755556802414857,0.017704838890837044,0.02282363824994339,"[[2701, 17], [1353, 87]]","[[299, 3], [152, 8]]"
saheart,10,classic,none,log_loss,0.5763468282976371,0.5955509513335822,0.6755769230769231,0.6580481036077706,0.0032899610898619236,0.016550445920449543,0.019933345239917532,0.01865116932519094,"[[2695, 23], [1326, 114]]","[[297, 5], [153, 7]]"
saheart,11,classic,none,log_loss,0.5722407814773641,0.5918579070682524,0.684951923076923,0.6689176688251619,0.003410286919303785,0.016467567573359786,0.01567394367551736,0.025540404457180886,"[[2686, 32], [1278, 162]]","[[296, 6], [147, 13]]"
saheart,12,classic,none,log_loss,0.5683400150669982,0.5882649012412452,0.6907252085264133,0.6645698427382054,0.003720997778125915,0.01692410224626094,0.012091423245243194,0.013107507360769842,"[[2681, 37], [1249, 191]]","[[294, 8], [147, 13]]"
saheart,13,classic,none,log_loss,0.5646325346470151,0.5861438381530502,0.694326923076923,0.6710915818686402,0.003797210429737446,0.019012031502481937,0.01145065183029719,0.02690173755993087,"[[2674, 44], [1227, 213]]","[[294, 8], [144, 16]]"
saheart,14,classic,none,log_loss,0.561082627058272,0.5834927371462652,0.6974559777571826,0.6689176688251619,0.0037179332705451176,0.02059993662119643,0.01188970123263787,0.021239471202345015,"[[2673, 45], [1213, 227]]","[[292, 10], [143, 17]]"
saheart,15,classic,none,log_loss,0.5578096466272122,0.5813959802340669,0.7027461770157554,0.6689639222941721,0.0037924885583738425,0.022003849243714683,0.017515165486005273,0.030542898048913948,"[[2649, 69], [1167, 273]]","[[288, 14], [139, 21]]"
saheart,16,classic,none,log_loss,0.5546721016136134,0.5795822481425449,0.7037077154772937,0.6711378353376503,0.003907414006723601,0.020298805576383392,0.013958724120387109,0.02416519363171514,"[[2652, 66], [1166, 274]]","[[290, 12], [140, 20]]"
saheart,17,classic,none,log_loss,0.5518349145875437,0.5780896268433285,0.704667516218721,0.6733117483811286,0.004014510369860743,0.020267957015161063,0.014897713382255977,0.0273795967623192,"[[2640, 78], [1150, 290]]","[[289, 13], [138, 22]]"
saheart,18,classic,none,log_loss,0.5489672879204897,0.5758523975908728,0.7195812094531975,0.6817761332099908,0.004098107057864158,0.020037348483213382,0.015829472668058408,0.03693011161219093,"[[2615, 103], [1063, 377]]","[[282, 20], [127, 33]]"
saheart,19,classic,none,log_loss,0.5463303925440123,0.5733305181034896,0.7176500231696015,0.6841350601295098,0.0041817133407021844,0.022420389287098705,0.014489102215927457,0.05015626596740927,"[[2612, 106], [1068, 372]]","[[281, 21], [125, 35]]"
saheart,20,classic,none,log_loss,0.5437174694643814,0.5723371606988918,0.726793327154773,0.7056891766882516,0.00433651575197128,0.023053549234227703,0.01632395742662393,0.05927668737219782,"[[2594, 124], [1012, 428]]","[[282, 20], [116, 44]]"
saheart,21,classic,none,log_loss,0.5414443371870961,0.5704450622671606,0.7214979147358666,0.6863552266419981,0.0043021481004414126,0.025362422777218112,0.01499557185727256,0.054753224334160105,"[[2605, 113], [1045, 395]]","[[280, 22], [123, 37]]"
saheart,22,classic,none,log_loss,0.5391575549355013,0.568315789395938,0.734967562557924,0.6970397779833488,0.004307861461061664,0.024868405013996207,0.015140695091874072,0.05544760197571842,"[[2583, 135], [967, 473]]","[[277, 25], [115, 45]]"
saheart,23,classic,none,log_loss,0.5368690854533422,0.5678210094152749,0.734967562557924,0.699213691026827,0.004390896248443399,0.02470008465654505,0.014131744877494334,0.05674515042317834,"[[2584, 134], [968, 472]]","[[278, 24], [115, 45]]"
saheart,24,classic,none,log_loss,0.5347546795137083,0.5674100509138177,0.7417087581093604,0.6991211840888066,0.00445676637909366,0.02436058622946389,0.01170053825302557,0.052674039527347734,"[[2567, 151], [923, 517]]","[[274, 28], [111, 49]]"
saheart,25,classic,none,log_loss,0.5327845274040658,0.5653351380039464,0.7443512511584801,0.7056429232192414,0.004463821178732922,0.025471371506134894,0.01153981579766845,0.05421779998862853,"[[2563, 155], [908, 532]]","[[274, 28], [108, 52]]"
saheart,26,classic,none,log_loss,0.5308239623373773,0.5638312222850271,0.7450735634847081,0.7056429232192414,0.004460060367346455,0.025738341300954683,0.011293856231868779,0.05421779998862853,"[[2563, 155], [905, 535]]","[[274, 28], [108, 52]]"
saheart,27,classic,none,log_loss,0.5287766832451057,0.5620686135400808,0.7474774096385542,0.7121646623496762,0.004463931182268502,0.02635753399806082,0.010679903631066183,0.05581296647253557,"[[2552, 166], [884, 556]]","[[273, 29], [104, 56]]"
saheart,28,classic,none,log_loss,0.5270163736376143,0.5594703830643859,0.7491612604263207,0.7164662349676225,0.004531206886710074,0.02739930710450803,0.01131704585571083,0.055368663193749355,"[[2551, 167], [876, 564]]","[[273, 29], [102, 58]]"
saheart,29,classic,none,log_loss,0.5253707181230056,0.5595984972460141,0.7494022242817423,0.712118408880666,0.004604009835437261,0.028127330769988895,0.012009028495779662,0.05604254596722091,"[[2544, 174], [868, 572]]","[[272, 30], [103, 57]]"
saheart,30,classic,none,log_loss,0.5236972656605332,0.5582548518080278,0.7518072289156627,0.7208140610545791,0.0045988352846165655,0.027393872618995504,0.011575556243550224,0.053325255122970906,"[[2538, 180], [852, 588]]","[[273, 29], [100, 60]]"
saheart,31,classic,none,log_loss,0.5221207268957322,0.5584881277896016,0.7522879981464319,0.7164662349676225,0.004607308123434726,0.027637417369077037,0.012394986104379866,0.053438272392363276,"[[2539, 179], [851, 589]]","[[271, 31], [100, 60]]"
saheart,32,classic,none,log_loss,0.5205380814240068,0.5582628021596355,0.7556545412418906,0.7186401480111009,0.00463658445816491,0.027513869222375056,0.012156388664116112,0.052937292298521704,"[[2534, 184], [832, 608]]","[[272, 30], [100, 60]]"
saheart,33,classic,none,log_loss,0.5189079365188723,0.5577420185230442,0.7558943466172382,0.7142923219241444,0.004722715698672486,0.027526073239847862,0.011067910241180453,0.05082695288829462,"[[2528, 190], [825, 615]]","[[269, 33], [99, 61]]"
