n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,Uniform,0.8855999999999999,0.07239999999999999,0.11674666666666667,0.12772487469043417,0.3950713952205943,0.1816769357390625,0.11442962962962962,0.21615340568679525,0.8827369463004207,0.47500555555555557,0.018398067531371055,0.01180816020649606,0.008784293253079858,0.004714630179286154,0.031654229278104046,0.007443053050889929,0.008656199933400277,0.008465121989112355,0.004769410566804242,0.003310150867472968,"[[451, 9, 2, 6, 32], [10, 397, 10, 72, 11], [1, 9, 488, 2, 0], [7, 68, 0, 425, 0], [40, 7, 0, 0, 453]]","[0.08086075609060371, 0.2102490305658101, 0.005375623763543217, 0.041058071095873935, 0.026908889251882544]","[0.10995956747578764, 0.2434097656056363, 0.010985019930911985, 0.13795742763035143, 0.08357292325991561]","[0.11164704345272936, 0.23025217190484754, 0.03624514978971151, 0.17486442958177834, 0.08779633720102742]","[0.379500460559243, 0.2833482321470505, 0.348175409864155, 0.5479099580294586, 0.4151527991841893]","[0.15467339893633544, 0.2824206603039526, 0.09394066717624502, 0.29380841733518154, 0.08548433054509966]","[0.10401657299666653, 0.20789230655283872, 0.016582262006347014, 0.155858243150403, 0.08929102993101821]","[0.20793282554980733, 0.26835206421195995, 0.10299828906531619, 0.2972165138454092, 0.2051600544732751]","[0.9138665175829473, 0.8568836929035737, 0.7902553621876919, 0.9781410767772426, 0.8737179563102634]","[0.5241370599728918, 0.42283428651151045, 0.4347628444734739, 0.5570141347000452, 0.43475350595066314]","[0.01756569501940664, 0.025239239289590164, 0.0052955276867797125, 0.01456718350141275, 0.0071971169745043105]","[0.015563613920807453, 0.01889250045459269, 0.0031169208295695906, 0.0069955649793653485, 0.005990128160352293]","[0.012983840736610007, 0.011963918170989078, 0.00949549166034838, 0.004326054479676621, 0.006237952282362519]","[0.030943177225345116, 0.02540363277617561, 0.03965400683730569, 0.05508958439886363, 0.028939523473995605]","[0.015106621428363321, 0.014158199386178287, 0.009992958178510737, 0.011992731778476078, 0.005186716044218143]","[0.015216792146090848, 0.019528623531399933, 0.004966718661806979, 0.017138559021769282, 0.008597917770788542]","[0.017118205837890654, 0.013394558211562988, 0.004245304292446574, 0.013577284481140314, 0.006841675301304664]","[0.02059716452075462, 0.007552036771054656, 0.009435433972807203, 0.00197371427969648, 0.008919450847898372]","[0.006595349567491749, 0.005010821579036778, 0.009012386606844398, 0.007417992953746138, 0.0061277985145579104]"
1,Uniform,0.8872,0.07075555555555556,0.11686222222222223,0.12736130450128125,0.3943394758305513,0.18034919582133518,0.11209629629629629,0.21518085990573596,0.8824391982182629,0.4739333333333334,0.026317716888480728,0.006654474447943013,0.004166109263127682,0.00400814614501968,0.033441105579784296,0.005310383693648743,0.005824654200500074,0.004515824822469973,0.005580129492626189,0.0054378771174587535,"[[451, 8, 1, 6, 34], [10, 397, 10, 72, 11], [1, 7, 492, 0, 0], [8, 69, 1, 422, 0], [38, 6, 0, 0, 456]]","[0.08438552151759272, 0.19997805276039665, 0.005309777235230486, 0.040699317049245204, 0.023128469576877208]","[0.11067388690944988, 0.23682638348312807, 0.011259995240754047, 0.14471414484251813, 0.08114116417539237]","[0.1106894799229639, 0.2288710970863431, 0.03604084494804999, 0.1740478906794924, 0.08759550983948793]","[0.37975729953374765, 0.283497067227934, 0.348944760700236, 0.5501024313586117, 0.41182977606168014]","[0.15236601605229425, 0.27702490360776955, 0.09221375719994762, 0.28859578956240073, 0.0929149189641713]","[0.1026057086996535, 0.19728101240013007, 0.01766274880121186, 0.15983233216938256, 0.0836449964703106]","[0.20524204638687932, 0.2652709008742492, 0.10337910569020936, 0.30135427647687846, 0.20188795714588811]","[0.9131121555330163, 0.858381509275438, 0.7866127437974446, 0.9788440541022577, 0.8764688215959804]","[0.5241610468161801, 0.42242412350873143, 0.4344130787299038, 0.5554928715190329, 0.43414214427256104]","[0.015726832905614222, 0.022261737310779878, 0.003862361017135961, 0.012850110628569705, 0.008866053601435064]","[0.011796244498232893, 0.014735127668464984, 0.0031321835147042234, 0.007872009227382194, 0.005570292166205133]","[0.010647469355214432, 0.015520390058956123, 0.010894515360672548, 0.006787714355465554, 0.00438304844752389]","[0.035289118074685634, 0.02754060609149168, 0.040137594906881305, 0.06237023423967032, 0.02557656127065381]","[0.008634968626818337, 0.012620597661780215, 0.00825825312413633, 0.013706059518387935, 0.007220559722890823]","[0.011883187960945747, 0.015660941033201734, 0.004328776673739069, 0.009764003695407758, 0.007775033770928353]","[0.01211877646263573, 0.008513930141703896, 0.00697001075178246, 0.009356658437536912, 0.00599518871599945]","[0.019122236835492034, 0.006746883523283902, 0.011833582353959793, 0.0017638239865109904, 0.010472177460571436]","[0.006104908310456019, 0.004817626916932874, 0.007060532757320407, 0.008682501003205811, 0.0060612830158503755]"
2,Uniform,0.9004,0.07506666666666667,0.11855111111111112,0.1274189671799602,0.39469692743056584,0.17987290277801785,0.11571851851851851,0.2174564600565087,0.8832051472407819,0.47555555555555556,0.023434068267280374,0.0067255016997882465,0.005505700250991893,0.006101320116732965,0.033018990319775336,0.003926705610807257,0.009028333527264629,0.00645822873428735,0.005423214254695242,0.004654304614045922,"[[455, 5, 1, 5, 34], [10, 395, 12, 72, 11], [0, 6, 494, 0, 0], [7, 55, 0, 438, 0], [27, 4, 0, 0, 469]]","[0.07635155310520503, 0.20887386241075817, 0.007807592386555297, 0.05025683438670124, 0.028384307208459657]","[0.10464016246185068, 0.24222701319197015, 0.011273315636882265, 0.1455912968162051, 0.08527413654673648]","[0.10230971300934935, 0.23206947593437718, 0.03576096530460026, 0.17564219426240793, 0.0891350038345956]","[0.37533424208375565, 0.2864018813512603, 0.34812901841925986, 0.549267287109449, 0.41750520473681635]","[0.14232564739569922, 0.28397409043937094, 0.08922330469188071, 0.29611704555201, 0.08764479992864825]","[0.099942665245449, 0.2046740473306738, 0.01586628743664439, 0.16719591697952257, 0.08831264375351439]","[0.20058054265253408, 0.26817650426490214, 0.10519088187890122, 0.30612384057584674, 0.20537536880315543]","[0.9116135602487099, 0.8581952038742603, 0.7895833778838781, 0.9788123642512826, 0.8761989170339994]","[0.5249474600805317, 0.4253294065107701, 0.4336521062699936, 0.5565570978978851, 0.43688077923546953]","[0.012697067607563298, 0.01683883297218309, 0.004332791871632977, 0.012369159558973272, 0.013704314193543907]","[0.010362673318671292, 0.009977909241842758, 0.003308420974053147, 0.011963454392813072, 0.008349865727522813]","[0.009824069184450385, 0.015967367639643595, 0.010134071355283982, 0.006455443584172064, 0.0066943846624587565]","[0.03424461873988461, 0.026335005772597706, 0.038470712028254105, 0.059357211102348206, 0.029580216350417785]","[0.010996382050650125, 0.008737738189902679, 0.011419921755382981, 0.007341485618345785, 0.004468946555238024]","[0.012163644807698043, 0.014937392448725438, 0.004580227097038684, 0.018040313290412068, 0.009630223834224298]","[0.013187919005214804, 0.008439740871728673, 0.0058995682098645745, 0.010205416923253526, 0.011826729948750354]","[0.020894654143483456, 0.0069910159100123395, 0.008636440137362209, 0.0014739554212152158, 0.009922916254116374]","[0.006669325155016593, 0.009680352505100047, 0.0074717351001476525, 0.007101018594221909, 0.005774270164559575]"
3,Uniform,0.9064,0.07493333333333332,0.11918222222222222,0.13053129027904395,0.39577918071419216,0.1852602039532592,0.11572222222222221,0.21711238194769256,0.8845807473397673,0.4756944444444445,0.022721502297750204,0.005945153990190513,0.004972625199202331,0.006228120101499503,0.03233629022902932,0.0042480320837558466,0.005525053440096979,0.005775962386161233,0.005002508198973294,0.0040851071145288536,"[[454, 6, 2, 5, 33], [12, 397, 11, 70, 10], [0, 5, 495, 0, 0], [8, 45, 0, 447, 0], [22, 5, 0, 0, 473]]","[0.0844854528474276, 0.21664520774625728, 0.007424281732417706, 0.04378203290634432, 0.020703887826036924]","[0.10887370758885404, 0.24979006071521775, 0.012984889135624539, 0.14351392230606194, 0.07908130958062395]","[0.10634715615633805, 0.24508948524150126, 0.036222788044703004, 0.1773899193151079, 0.085556471408723]","[0.37678531531374715, 0.2880348475072322, 0.3499734384135682, 0.5474776699782684, 0.41642701641139074]","[0.14882697362835073, 0.29264082703623256, 0.097854950283118, 0.29699621704616147, 0.08689503191329932]","[0.10386095689729953, 0.21153194131123892, 0.017061671391589428, 0.16152034770818285, 0.08329211010962613]","[0.20660230378082067, 0.2734454093681518, 0.1054814986074083, 0.29946642066024426, 0.1995233562947078]","[0.9157674100699127, 0.8614888814746173, 0.791111082909346, 0.9790033795574302, 0.8755500743965013]","[0.5237282520569602, 0.42583002164400313, 0.4372144994655505, 0.5585594584251468, 0.4327049732348409]","[0.01673231409244385, 0.015350542178669954, 0.005421428290595813, 0.010286469090015626, 0.00978629929139362]","[0.012801534286260735, 0.006145190027580506, 0.0028329029363882655, 0.0069053605358719876, 0.009785774699386626]","[0.008336704490389014, 0.011230762347783042, 0.011095772718234219, 0.005603762889027112, 0.005734672024880745]","[0.03050396818095882, 0.02644015190168527, 0.04034991707039243, 0.05686105941744084, 0.02819820233683096]","[0.012434268826390146, 0.005998514157838226, 0.008209968775197753, 0.009832666765512022, 0.0041739311166094]","[0.015497838610244037, 0.011938303229235295, 0.003923418668814428, 0.010283977954074482, 0.010360507370477109]","[0.018425992659315542, 0.006348721795202575, 0.004841929980185499, 0.010412452769992451, 0.005537326720229154]","[0.020867608254645002, 0.006010524099419513, 0.008046417234745798, 0.0013941737791811797, 0.006274488040113223]","[0.00469324199426132, 0.009340629504215853, 0.0065608822115577866, 0.005122140410390147, 0.006154950334488502]"
4,Uniform,0.9076000000000001,0.07453333333333333,0.11970666666666667,0.12976044711122442,0.3951402685457605,0.18388162121925739,0.11347407407407406,0.21763219784773838,0.8833546151942588,0.4743666666666667,0.020950735866153567,0.005519587269117065,0.004289660264541373,0.006800488516123203,0.033716234750439146,0.004242775195426038,0.006066913374242739,0.00505410416443128,0.004522253256175088,0.0037621499559174054,"[[454, 4, 1, 6, 35], [9, 399, 10, 73, 9], [0, 6, 494, 0, 0], [6, 48, 0, 446, 0], [20, 4, 0, 0, 476]]","[0.08398104925438923, 0.2122915128118173, 0.005453651025126767, 0.04443681903729142, 0.02455103268222017]","[0.1128278796396622, 0.25040641358233484, 0.012628426150758326, 0.14256889584703275, 0.07844963192942773]","[0.10954557360644317, 0.2436618059554922, 0.037176314646607894, 0.17309615967963818, 0.08381460551563574]","[0.3761289105104988, 0.28671876171331623, 0.3511145571062425, 0.5478367689556278, 0.4129873184782027]","[0.15235462790978774, 0.29144313378188713, 0.09565318362581582, 0.29263371823398365, 0.08508307894803604]","[0.10079063768819896, 0.20891423201690143, 0.015978699716748666, 0.16155929641045885, 0.07846016918174811]","[0.20691483904879165, 0.2726619657979718, 0.10462364723414001, 0.30333522190615037, 0.19925833001238696]","[0.9155331334027277, 0.859727368108674, 0.7895800566388033, 0.9786296542268971, 0.8716021484031702]","[0.5223058069078745, 0.4253422411598991, 0.4352534767094025, 0.5564396898466498, 0.4303280106338656]","[0.015962669753813625, 0.018092917738204088, 0.004883286402523327, 0.01456864583054099, 0.010585987458189212]","[0.014106993938757657, 0.015697080848605178, 0.002741316771313404, 0.011518936530269313, 0.00854503674842272]","[0.01259293104873494, 0.01775223449316378, 0.011249873883251283, 0.006794412649144755, 0.005859933150276703]","[0.030356377341856634, 0.02801637669942773, 0.037221012122895455, 0.05918549046376176, 0.02930780934664731]","[0.01112494679432286, 0.013387532636819126, 0.0077245008867019025, 0.008251590128893097, 0.005182494103261799]","[0.014594078629419202, 0.012549243522197426, 0.004003634522081537, 0.01575716716265305, 0.012198276502082299]","[0.012567058525596746, 0.009852395812491524, 0.004232271005819473, 0.013267883509368679, 0.006835587697268007]","[0.01794681187899677, 0.005896753993831277, 0.010480649242095772, 0.0015298371465585507, 0.005264520758726794]","[0.008502641664077186, 0.005983267233204173, 0.006784403845403701, 0.0081757397742786, 0.0057472865560721014]"
5,Uniform,0.908,0.07404444444444444,0.11706666666666668,0.12849984746789275,0.39432409548244785,0.18014423787024247,0.11223703703703702,0.21569954966897495,0.8826272704776045,0.47496666666666665,0.020655911179772907,0.004465137014658207,0.004259252818030556,0.006516901560965531,0.03165855199005251,0.005765083189279492,0.0042962324388613245,0.005240689049195029,0.004191675616619144,0.0031378043575973507,"[[454, 3, 1, 7, 35], [9, 398, 10, 72, 11], [0, 6, 494, 0, 0], [6, 46, 0, 448, 0], [21, 3, 0, 0, 476]]","[0.0807292949339159, 0.2134334808650674, 0.006237646519328208, 0.04569471430424056, 0.027596793269734143]","[0.10591775360013908, 0.2504074596432023, 0.010732286563706507, 0.1414640936912617, 0.08112367327820535]","[0.10652048831168479, 0.2411341675959818, 0.03658435345881737, 0.17732014423153247, 0.08586536766685007]","[0.37716556458061934, 0.2861366302194345, 0.3479054702511859, 0.5452805573380004, 0.41593870672978417]","[0.14619216035750643, 0.2858146413608256, 0.09307375210651665, 0.29393922643617704, 0.08838268888980622]","[0.10235855807465319, 0.20899303328517832, 0.015119605355643675, 0.15239275701942834, 0.08617383500635636]","[0.2025199617985521, 0.27237394779625895, 0.10228652237121341, 0.30234819488026704, 0.20292090564265353]","[0.9130519836663951, 0.859209133856101, 0.7858403688327941, 0.9786635220283083, 0.8782729471737311]","[0.5231073826260005, 0.4271860743115304, 0.43249387840845077, 0.5585506355735104, 0.43523746343786385]","[0.010710317194990453, 0.022768501662783838, 0.004683729767235598, 0.014113760019401324, 0.01100639292333955]","[0.009946928534520233, 0.016318677552776464, 0.0031060045039089934, 0.007430937965774178, 0.0054756347040958485]","[0.010847498752007691, 0.020699192339593723, 0.00921882100437109, 0.004682849716111786, 0.006234198654602293]","[0.03184984097404011, 0.024566416838155563, 0.03939319613489177, 0.0554097914179739, 0.0277382324588178]","[0.011270416253559226, 0.015827336168359685, 0.010998489062072528, 0.01277442447371401, 0.0061667980462318675]","[0.012257522661545298, 0.01988372154765883, 0.0033246058106457246, 0.011368775483165144, 0.009255878449110494]","[0.014596591444655896, 0.012877430128774361, 0.005094096829198604, 0.007599939512102318, 0.010093955413257803]","[0.024191338241795108, 0.0071866316324946024, 0.010090144608080994, 0.0010705207956355832, 0.00873342044540614]","[0.0066331014640732084, 0.008125360340476666, 0.00639482564006263, 0.0071255212455070245, 0.006905767313679761]"
6,Uniform,0.9088,0.07226666666666667,0.11538666666666667,0.12940456068574235,0.39417593500659864,0.18133199800090943,0.11048888888888889,0.21480685157044252,0.8826245978718139,0.4758111111111111,0.01921110789794977,0.007452308358007321,0.0070859369216507385,0.0070923165707844045,0.03196273473861627,0.00794879438601548,0.00847397191224498,0.006812178838687587,0.006689093376353807,0.003976284290979267,"[[454, 3, 1, 6, 36], [7, 398, 10, 73, 12], [0, 6, 494, 0, 0], [6, 44, 0, 450, 0], [18, 6, 0, 0, 476]]","[0.07362639828167578, 0.213118349771853, 0.005673946349438524, 0.04605131165954476, 0.02540151587174077]","[0.10003176757893786, 0.2500490896880118, 0.010979315925539385, 0.13835411679604198, 0.08109302650106834]","[0.10442126053660976, 0.24686556507583474, 0.03592825687110147, 0.17735248366836617, 0.08538963843008113]","[0.37724097994168776, 0.28807184449366513, 0.3493779206068084, 0.5438888777337793, 0.4128812873762997]","[0.14308141750032105, 0.2916307745726225, 0.09201263247812794, 0.29416075343528597, 0.08899201774859358]","[0.09337202134151555, 0.2070938038902074, 0.013875977140575835, 0.1558439922083346, 0.08513489937983323]","[0.19956184393140225, 0.2740407185529945, 0.1025838230019066, 0.298027207906105, 0.20286255435701778]","[0.9132681038212478, 0.8625064201450684, 0.7868832627729473, 0.9782797729214103, 0.8738421273021503]","[0.5268460223260277, 0.4293411894020843, 0.43315681363474356, 0.5561330751373269, 0.4340320979126543]","[0.01795301937418921, 0.019317651202371614, 0.006040710409219749, 0.017140893459391033, 0.010334972802999132]","[0.015557396885341527, 0.01709211281834051, 0.004053924504720648, 0.008600546241246426, 0.008333749978438842]","[0.016398302083433316, 0.017780079551630603, 0.011356955811577921, 0.008571835884450171, 0.007259222468156347]","[0.03166289178763905, 0.022423676543415837, 0.038604419385117196, 0.05753316104075741, 0.02791206094322498]","[0.018879741727104053, 0.01424981231905384, 0.009245915053628153, 0.011851363229890692, 0.006596663993885934]","[0.016060798713419557, 0.015428404209338333, 0.005469746307039152, 0.016978996390013226, 0.008289894823585657]","[0.01886203875422437, 0.012425807825444973, 0.0050168568243832, 0.010037402889184904, 0.007878922504312862]","[0.0230123341525821, 0.0064846264927239956, 0.012033728197102607, 0.001823859553388563, 0.009539560612651442]","[0.005918178605849296, 0.006728520103004942, 0.0049834348342825, 0.008144386329018729, 0.008591801464705591]"
7,Uniform,0.9092,0.07342222222222222,0.1186311111111111,0.12881335056395446,0.3931615895249762,0.18148035322218264,0.11384814814814814,0.2153904781637077,0.8823852511754516,0.4736166666666667,0.017893512169995518,0.006938649433937281,0.0034645640980612183,0.006240933788126503,0.034622256497486306,0.003244155860237028,0.005385984113814011,0.004782590118607656,0.005529060210169711,0.0034225158203383577,"[[452, 3, 1, 8, 36], [9, 399, 10, 71, 11], [0, 6, 494, 0, 0], [5, 44, 0, 451, 0], [18, 5, 0, 0, 477]]","[0.08067295559618623, 0.21066751174988346, 0.006847268590740166, 0.04270059116157451, 0.024041514997233497]","[0.10977913038335671, 0.24839083653829733, 0.012140079304678808, 0.1418472001636371, 0.07960376083723816]","[0.10735683411881569, 0.23717337488933019, 0.03618239405864309, 0.1783814123483736, 0.08401639450529483]","[0.3733485729245253, 0.28658923828074184, 0.348379213843546, 0.5471493595939162, 0.41136031761445846]","[0.15229850618775567, 0.2858555157093361, 0.08878651085419335, 0.2940817045791967, 0.08682743538388024]","[0.10295924790216737, 0.2065701209583636, 0.016963117864333226, 0.15903275073533557, 0.08274071164746247]","[0.2049530557941463, 0.270230372087649, 0.10164488137377245, 0.2999198847594147, 0.1993048738686364]","[0.9138247771434713, 0.8576153050377104, 0.785599367363084, 0.9792321816766446, 0.8752938169571592]","[0.5221501785098844, 0.42341939526865663, 0.43361079170119804, 0.5566404777412577, 0.433468104325645]","[0.014088271777081303, 0.021722054680756112, 0.005329959255680075, 0.010733186486486617, 0.012055458105840477]","[0.006910257229435821, 0.012983109740428054, 0.005005599267372039, 0.008035940541620573, 0.010271360098747224]","[0.00814053493861905, 0.009715403060173385, 0.011018544565174683, 0.007813157050681863, 0.008223658183739895]","[0.026436503170844155, 0.02353484719196761, 0.03997606015691042, 0.06444642969601425, 0.03262185933548205]","[0.01071770854194316, 0.008877332582490453, 0.008209411701683995, 0.009990357975775849, 0.008307117276038336]","[0.0096277957452455, 0.015429211797172805, 0.0034904607663282052, 0.01381116883860608, 0.010458777166811591]","[0.01677376263036412, 0.01041266653182862, 0.0024284159715938923, 0.01091196674378491, 0.007084624369098599]","[0.02617487487629831, 0.009780631547117764, 0.011557145701302247, 0.0014562880021052472, 0.012127014909076857]","[0.006925108986019937, 0.006863783703017627, 0.006812219609514602, 0.005326741737127219, 0.008195099629052304]"
8,Uniform,0.9076000000000001,0.07222222222222222,0.11665777777777779,0.12745477561521376,0.3940845537207093,0.1803359343370345,0.11199259259259257,0.21407457018799247,0.8816899777282851,0.47396666666666665,0.021453826387539076,0.0075577338907761235,0.006949294701262365,0.002551515466820108,0.03392872134246626,0.0069358578897282174,0.006195238373894387,0.005460573254864129,0.006538170752772274,0.0043196364730448385,"[[453, 2, 2, 7, 36], [8, 393, 11, 75, 13], [0, 5, 495, 0, 0], [6, 44, 0, 450, 0], [19, 3, 0, 0, 478]]","[0.08152890923593004, 0.20967144740390378, 0.004613410270149545, 0.04139002642788844, 0.02424982471905999]","[0.10541051831393819, 0.24676278708792396, 0.012025918625027684, 0.1389717097018333, 0.08177291280161678]","[0.10793442660374071, 0.23646989123231016, 0.03596564249155924, 0.17124820857801168, 0.08767490132386027]","[0.377152720460064, 0.2844873667597318, 0.34893719491389713, 0.5449502581885068, 0.41628934421602126]","[0.14954638629240213, 0.28351833737046445, 0.09220994580436134, 0.29509949884495124, 0.08576948777334656]","[0.09734196795319927, 0.20888493243456704, 0.01783922388499463, 0.1517303079151367, 0.08567084024295611]","[0.2004552530649147, 0.268530276805243, 0.10394846202023462, 0.29953679019675217, 0.1998150545459143]","[0.9139384526394704, 0.8563156764050908, 0.7877992656533701, 0.9781474592297948, 0.8737853805283324]","[0.5233548851712323, 0.4229600021472983, 0.4325653896867771, 0.5592033838551108, 0.4332037132772009]","[0.014381603566068454, 0.022664697742173726, 0.003991157062520186, 0.012548458933578846, 0.008150963375419774]","[0.009731829456659779, 0.01832342453768136, 0.0026958405740468935, 0.010877964583001727, 0.004521520111628956]","[0.00687942157243744, 0.010818302250186863, 0.01034394649454161, 0.007401451153047987, 0.005380567356566367]","[0.03494006096591824, 0.024067737593596143, 0.0385510811108346, 0.05823292191161736, 0.02849001376112804]","[0.010442052229361906, 0.0200109170500897, 0.009163234285073079, 0.01322086562635494, 0.0026072340838765797]","[0.012076447116279247, 0.01988426672420049, 0.0031508001446469607, 0.02007124874952414, 0.010348369380045488]","[0.012959616687832175, 0.011732179754785672, 0.003970793787717139, 0.010455806061608642, 0.008466503821333064]","[0.021992173401135275, 0.013547213566027047, 0.010014374575898101, 0.0016579114856024406, 0.009079257248919649]","[0.004641063949047582, 0.01483071492260375, 0.007061799294010507, 0.00796595726876398, 0.004819208063651293]"
9,Uniform,0.9072000000000001,0.07404444444444444,0.11938666666666667,0.12976296883291,0.3949498262564624,0.1828315861293423,0.11608888888888888,0.2168760261758726,0.8828147488245485,0.47515,0.0171580884716218,0.00598929085437263,0.0055175509964683,0.009507724716636676,0.03200946540726295,0.0063592207540226955,0.00794824364537109,0.00589061064518111,0.006448577449535957,0.004124606644586267,"[[455, 2, 1, 6, 36], [8, 392, 11, 77, 12], [0, 4, 495, 1, 0], [6, 45, 0, 449, 0], [20, 3, 0, 0, 477]]","[0.08727625187123478, 0.20821471893083623, 0.004610000102429078, 0.04526784372303202, 0.023848456187022537]","[0.11531891347823872, 0.24721682397399275, 0.011705710619856783, 0.13898212647018657, 0.08412106101835679]","[0.11428406098168971, 0.23460200060012282, 0.03598552140456324, 0.17377926518882303, 0.09047832116542597]","[0.3786447070774253, 0.2847178812156248, 0.34854492267618603, 0.5453097269449835, 0.4200129436644559]","[0.1566405202658115, 0.2849932989858585, 0.0919973658720697, 0.2925811635690353, 0.08879793409586041]","[0.10927256697287757, 0.20776644587966367, 0.017822305432622993, 0.1572645009911739, 0.08926285906649391]","[0.2093135775667178, 0.26822075575085086, 0.10347495162195659, 0.3012783825059777, 0.20415078905340697]","[0.915615560371279, 0.8577965191649737, 0.7860669018917623, 0.9786655350081299, 0.8786334497010311]","[0.5253499477736201, 0.42483902761784637, 0.43215071284097906, 0.5571388514873623, 0.437780058906621]","[0.012463073068002819, 0.016599295087018625, 0.0039157487274171275, 0.013751211365270636, 0.01430894378226212]","[0.016665485032031975, 0.011714671274178141, 0.0030536915811866963, 0.009071538480054965, 0.008630833966320417]","[0.015137684675870997, 0.02043096303503387, 0.00956623647837487, 0.006768590016053647, 0.007519572255122474]","[0.034039391873895965, 0.02297854006688544, 0.039224958989567106, 0.05646447902589189, 0.023944383082945317]","[0.014026662831645012, 0.012501194851379164, 0.007823823571063917, 0.009136681080059035, 0.008437183288079384]","[0.016230381138266116, 0.015502228039197544, 0.0040440623519187886, 0.018133533318459513, 0.00848820756728665]","[0.014097044058315437, 0.00870397826339059, 0.0049172913404762755, 0.012928387562257226, 0.005284365744407923]","[0.01999312653152293, 0.007075649711916743, 0.01377433269210317, 0.001968130973570761, 0.007487451280305105]","[0.00678541253632026, 0.009253367658631282, 0.006043063853112565, 0.006916476460846299, 0.00526233727610793]"
