n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,Uniform,0.5683645443196006,0.30344608590603195,0.41736648416319105,0.42496025329761944,0.4979381509696063,0.4985440081218848,0.41152855201142013,0.44824365000490995,0.9956173746081127,0.7372324170892818,0.04393139990955736,0.030299488758177305,0.008323940760734972,0.016859056839825463,0.04097499578378996,0.003395848683042663,0.02362848778913242,0.007328661477200652,0.0002707514105221598,0.0020136976880781566,"[[271, 192], [193, 236]]","[0.24779259415302723, 0.36510260814213646]","[0.37822035237357915, 0.46043049020119814]","[0.41077318715120564, 0.44060902992228196]","[0.5154129128859612, 0.4788817018115525]","[0.4935865991311042, 0.5039147523219231]","[0.39884293821815775, 0.42523090566288985]","[0.42375423820320773, 0.4752706297107097]","[0.9952327789527121, 0.9960407522773668]","[0.7351587559207312, 0.7395520222793351]","[0.044242591969318484, 0.02561031788312307]","[0.011381154160017634, 0.01065469338837279]","[0.01549858035287412, 0.017501921355358156]","[0.036833873369302585, 0.041904834343336576]","[0.005848350988676974, 0.006281240479879295]","[0.016709107732841167, 0.03625551393613997]","[0.00953526331169507, 0.008865380975621857]","[0.000327433238406767, 0.0002528071694026336]","[0.002906630342379269, 0.001669102704872741]"
1,Uniform,0.5582646691635456,0.30742896805309267,0.4144249277180648,0.4298467119558076,0.49768994527679855,0.4988263659594573,0.4080694693320662,0.44632693107425003,0.9955545950737056,0.7360484219091126,0.03786695423625151,0.030511396099969734,0.011803638864881517,0.018856939619228373,0.03720369917751045,0.002336508032421959,0.023212083599228165,0.006764933492688564,0.0003005762858774702,0.0014188861644213577,"[[268, 195], [199, 230]]","[0.24622858077160803, 0.37318696788569977]","[0.36596318315279347, 0.4663214463260747]","[0.4144383543092319, 0.4462844280562138]","[0.5127020047538408, 0.4817026069155735]","[0.49378838434226785, 0.5042871565358361]","[0.38746088494075226, 0.4303023038785671]","[0.4184087725119053, 0.4762114651282542]","[0.9949759655640567, 0.9961757156317009]","[0.734091399149506, 0.7381250309810174]","[0.0455129774251527, 0.03133246398480039]","[0.011444853233922189, 0.013557922616959817]","[0.015844923378098077, 0.021226261678633302]","[0.03556254218056699, 0.035952500151819305]","[0.005254403771730784, 0.005704419220533149]","[0.024677790853771146, 0.02468884511145089]","[0.008517885216798518, 0.004877996549358603]","[0.000345413883163904, 0.0002901739019007791]","[0.0020870776321398688, 0.0019630043893121853]"
2,Uniform,0.6008614232209737,0.29136436617050154,0.40847187759120257,0.42748455399621194,0.4949742899925401,0.4983409110974093,0.40124457691387966,0.44342199144086536,0.9953986383509215,0.7368120405710505,0.023181895471972046,0.037400208122670364,0.011707943237971438,0.01794724026080411,0.041331509169135396,0.004014192142549512,0.01595495817804425,0.008231607572492536,0.0002345529359950205,0.0014598672568439056,"[[293, 170], [186, 243]]","[0.22938254581731762, 0.35831591588710615]","[0.3631782233400441, 0.4571612905557033]","[0.4125763888691372, 0.4434153137849681]","[0.5099806302274376, 0.47885052100142766]","[0.49351546399076585, 0.5035707165316565]","[0.38337422146672157, 0.420644892216786]","[0.41560756396311416, 0.4733137939575638]","[0.9949591846288272, 0.9958735589307579]","[0.7341477168971198, 0.7396441055529402]","[0.04241526550877072, 0.03948332020767616]","[0.011349258960855913, 0.017774807211094746]","[0.017136135781002523, 0.020110019003204214]","[0.03555947049905082, 0.04378966048108934]","[0.005756006377842381, 0.007059064156366688]","[0.022240966834617865, 0.02336878005123307]","[0.011385934131223527, 0.007884340207617005]","[0.0003174702171100266, 0.00032291556589922555]","[0.002627827402223027, 0.0013457186263666054]"
3,Uniform,0.5952684144818976,0.2962161843212641,0.4147720673409875,0.4319329698571838,0.4969126453051994,0.4985476586352286,0.40918683211025986,0.44931297606601694,0.9955769848038516,0.737091676940898,0.027006877618577275,0.029978314567606273,0.009707062684136644,0.020511665670848025,0.038145610486661354,0.003392479016282629,0.021078288278635032,0.007050056779290303,0.00029498527612881393,0.0014506882142925688,"[[292, 171], [190, 239]]","[0.23181143558906472, 0.36537219365827556]","[0.3681741768594401, 0.46442703067627755]","[0.4124635062462483, 0.45283202471729406]","[0.5100414962455739, 0.4829127504363992]","[0.4935172023435205, 0.5038202961404294]","[0.3897912698259697, 0.4300046102457135]","[0.4213165883334285, 0.47904631457976166]","[0.9950784506849015, 0.996108656008149]","[0.7349874986092051, 0.7393224657164454]","[0.040138382562, 0.04312806238565298]","[0.014891468421515598, 0.009494211429335698]","[0.021616672318237794, 0.018224110381957998]","[0.034289900339319994, 0.039282100944826835]","[0.005454657526395027, 0.006629894507484771]","[0.029831693194440206, 0.014223487530218171]","[0.011664915712547968, 0.007103647165536957]","[0.0004131903882479109, 0.00026849883093176127]","[0.0018081128673545627, 0.0017481946127039926]"
4,Uniform,0.6076154806491886,0.30356860029254384,0.4190114067260243,0.4295079182675564,0.5006220989290304,0.4986162210607367,0.4104520909521251,0.45119491200173584,0.9955629444695233,0.7362353960987942,0.015073581618939973,0.0395423438486676,0.01158726533212125,0.02021323314245541,0.03970722873180959,0.0033282134495392092,0.0157701059831657,0.0051836248441139415,0.00023123670820482625,0.0017276571785654192,"[[297, 166], [184, 245]]","[0.24171196067687437, 0.36742754156900537]","[0.37771149567212414, 0.4615652757511778]","[0.41496584573924916, 0.4446085996739854]","[0.5192363984096744, 0.48161759642438307]","[0.49346916399856483, 0.5038988936292562]","[0.3990473151679042, 0.4221903480502391]","[0.42473562773746776, 0.4783504012432974]","[0.9951095817408137, 0.9960275870065578]","[0.7343334187086431, 0.7382462684238232]","[0.04651331955258163, 0.03766422715229437]","[0.013818230794470617, 0.015440241572507243]","[0.015664636174412334, 0.024540696134848463]","[0.03210030848491092, 0.04343055251598502]","[0.005625913604900704, 0.006290182710525973]","[0.02076850731542653, 0.019520037611241943]","[0.00814737860845952, 0.006893891668559871]","[0.0002990017579837064, 0.0002579791142231113]","[0.0034570529815213715, 0.0017945080268586665]"
5,Uniform,0.6120973782771536,0.29945714791477096,0.417113318820011,0.4308637055437834,0.5031981232916971,0.49843373294682414,0.4080994191417619,0.44646210048264906,0.9955931769499233,0.7360331464303128,0.03646205338975674,0.030880005218638144,0.014038518949532184,0.017087394779557223,0.03998105357469512,0.003410099819846842,0.018136336817647737,0.007179493184999339,0.0003239572237096179,0.0020988785588688043,"[[292, 171], [175, 254]]","[0.2344010861429358, 0.3707163240535699]","[0.3711245784722275, 0.46723096712433676]","[0.4162298112292456, 0.44694164554969584]","[0.5152875426878681, 0.49006755605856406]","[0.4935503031198591, 0.5038171190909211]","[0.39184802403024543, 0.4254960783646993]","[0.41609750387475286, 0.47969531751079036]","[0.9951321665161131, 0.9960889069521297]","[0.7344271527845332, 0.7377707233417463]","[0.02914453005344406, 0.04298157756583147]","[0.016788467065887578, 0.014549271617483685]","[0.01430828879148627, 0.01941024411531963]","[0.03625362707646919, 0.040889972459142214]","[0.0056701540856008755, 0.006316937305688181]","[0.02516554051333533, 0.019283905937852643]","[0.010419071259218194, 0.005137393157166115]","[0.0004536557914993071, 0.0002479301065136029]","[0.002690894117903211, 0.0021836509342765173]"
6,Uniform,0.6300124843945069,0.29958137035990345,0.42075185634916445,0.42803985402077005,0.4982489297988069,0.498383358014504,0.41686011354818786,0.44944212203161377,0.9956268987146224,0.7366714168812092,0.036590764288941986,0.04139605940071009,0.009574209387903614,0.020445017184101102,0.0427295158465688,0.0038125506925037987,0.021684737972365604,0.008847849974897504,0.000316821743006637,0.002307605014922337,"[[306, 157], [173, 256]]","[0.24270589856029084, 0.3609507289015152]","[0.3726674912683138, 0.47272017182890036]","[0.4134871414781113, 0.4439588145453793]","[0.5135955611555454, 0.48192194607760647]","[0.4935280450121562, 0.5036392129734769]","[0.39389988367007495, 0.4421022167393992]","[0.4180314850168009, 0.4836119381851914]","[0.994996458448313, 0.9963171405463355]","[0.7349322276072499, 0.738640564244529]","[0.05543163147009967, 0.0335145305516576]","[0.013936994917217537, 0.007315367412584394]","[0.018163028200062534, 0.02322283678446702]","[0.041381135853011945, 0.04217609043087087]","[0.005553572928110228, 0.0070108843166978175]","[0.028305528424090516, 0.02022518265101173]","[0.0134595621562912, 0.004955186609286372]","[0.0005136707086627348, 0.00023879887913741792]","[0.0034104527862338302, 0.002249267256890678]"
7,Uniform,0.641210986267166,0.31017071269522334,0.41529715561656266,0.42809535771887874,0.4950763741628406,0.4985231299059931,0.4033317043925796,0.44708664048029395,0.9955292159648081,0.7360178709515128,0.033523767342454956,0.03701518424493327,0.005893075650486906,0.02006575321192623,0.04197986636225019,0.003535546796883633,0.017749238877323433,0.004381775165847339,0.00022526530347503296,0.002135465011411482,"[[309, 154], [166, 263]]","[0.24213035015247658, 0.38079429545829674]","[0.37153558942412357, 0.46100098121726135]","[0.40951204733265134, 0.4476766070597388]","[0.5120081682546846, 0.4772653872403928]","[0.4935575674966951, 0.5038645282203624]","[0.3864654571423964, 0.42079415982104534]","[0.4164737120190603, 0.47926320374683246]","[0.9950511709673077, 0.9960303759193648]","[0.7332698755979148, 0.738903871389619]","[0.04867858535105853, 0.03856517577942771]","[0.010289219798591482, 0.010058381401032735]","[0.02005767353104098, 0.017569465750463073]","[0.03731957238524085, 0.04313421953382793]","[0.005771547160187753, 0.006402218830938366]","[0.02001422313395577, 0.021681654456588276]","[0.00499503326155577, 0.00713618606305561]","[0.00027293467259641103, 0.0002597801869497913]","[0.0027317857939684, 0.0023494997006412795]"
8,Uniform,0.6491260923845193,0.2973382235569234,0.41071266416772517,0.4268672090695184,0.4992160732717835,0.49867573582434915,0.4078866246144113,0.4467790940685684,0.9955283358469511,0.7369985489265628,0.026632415843113492,0.029523219393957304,0.010181798885647977,0.0198906687434411,0.03985353300733769,0.0027210072350216693,0.020020498772126877,0.006768270156459994,0.00027264173933421224,0.0015647468056440932,"[[316, 147], [166, 263]]","[0.23075450713784473, 0.3707935122281998]","[0.3604969679798664, 0.46639861172773545]","[0.4097644719901134, 0.445738516465126]","[0.5135925597749014, 0.48336024005413647]","[0.4935457742698425, 0.5043174365547097]","[0.38814165302135073, 0.42984220570606224]","[0.41864044387139004, 0.4778307076979417]","[0.9949378473366203, 0.9961850232233722]","[0.7359063305346678, 0.7382199825513128]","[0.04720522673994308, 0.021892682968316018]","[0.012939989035478133, 0.01652396905239038]","[0.018790365324648704, 0.019649821323296273]","[0.034879288217098, 0.04275905102953266]","[0.005721973224987585, 0.005645675392141204]","[0.019294735300914537, 0.02941200617653551]","[0.007977063210425897, 0.008110864322483887]","[0.0004233517210296902, 0.0003216361414755007]","[0.0019908479883884297, 0.002964260203543874]"
9,Uniform,0.6501997503121099,0.2987079312925656,0.4153953224038286,0.42795055946447114,0.49921347487975376,0.49838473323703447,0.40858432219575597,0.4486417797032717,0.9955562753629031,0.7355033182920656,0.03193893490751453,0.02026466370128319,0.009914369428726404,0.01740509212910044,0.0367932068086284,0.0035580275558894725,0.012141737123953158,0.005264628275579761,0.00027887798796306354,0.0023324504023517654,"[[313, 150], [162, 267]]","[0.24237454563009594, 0.35971209516632885]","[0.37053616381027793, 0.4634282240788511]","[0.40954110191551096, 0.4474574865884494]","[0.5166109890548145, 0.48078413715737744]","[0.4935406790349748, 0.5036086720450482]","[0.3913111929253922, 0.4272114962402038]","[0.41957230977809923, 0.47985715057093065]","[0.9951083054639065, 0.9960336846910096]","[0.7341957675190331, 0.7369239558614147]","[0.04315819328957434, 0.038354160809635954]","[0.009919979495874283, 0.01410567621498928]","[0.018916532585009548, 0.015888753847275432]","[0.03417194517849877, 0.038640761110922156]","[0.0055043943275112795, 0.006782471847002487]","[0.018767299463974447, 0.025464575698956486]","[0.0076627586022323495, 0.006607091646414907]","[0.0004044765932298159, 0.000259003065121352]","[0.002572906088503967, 0.0028051044073503072]"
