n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,Uniform,0.9084453781512606,0.004227562153585931,0.0070553493671063035,0.11556658043767234,0.7840016329076765,0.043187677801431595,0.00787814320894462,0.43485066913765974,0.7148101358584579,0.7569782625120111,0.04347937150613819,0.002313063189797675,0.0013378014214604288,0.04383410216755374,0.05147699169437742,0.003971237395623742,0.003284225153149646,0.001373602780877814,0.013913751550086789,0.003407611408955893,"[[290, 19, 0, 8], [11, 275, 5, 5], [1, 2, 45, 7], [9, 3, 7, 154]]","[0.0013984336666428697, 0.005786152956569306, 0.0, 0.00832384042652137]","[0.007462760508631938, 0.009475641706886485, 0.0, 0.004621093155300639]","[0.09622808548591419, 0.09811082771412122, 0.1957631976534055, 0.15325471918176065]","[0.791026817315125, 0.8156399077384938, 0.524094743396345, 0.8058470457501953]","[0.04866736178982568, 0.03336077484852988, 0.03976895171066147, 0.05100537244591805]","[0.009125274177576862, 0.005629189058676301, 0.008570040650839586, 0.009120636866906938]","[0.44142632438926677, 0.42933667974201084, 0.4165249156885535, 0.4383376810140255]","[0.7675232174706739, 0.7858150358176903, 0.27159174870062464, 0.6487428255249974]","[0.7773385813153155, 0.7290603779526755, 0.7233622497883258, 0.7787015966125448]","[0.0017138006595510391, 0.0054034794268757805, 0.0, 0.009326579457057439]","[0.002720105495034224, 0.0027875421556015105, 0.0, 0.0023829422575047466]","[0.038863206342768235, 0.03304257155570969, 0.07103392964437616, 0.05800513195549448]","[0.10696958028762098, 0.044136797365256816, 0.050609360066515854, 0.07073483636058084]","[0.00620964699176067, 0.006002543384975591, 0.004307056271676695, 0.0062571701032956666]","[0.003944935247943737, 0.004876724646570095, 0.006829854440992811, 0.005769631069894019]","[0.0014326634597759832, 0.002790055140390189, 0.002791896903346552, 0.001718236456891399]","[0.008960195707666154, 0.020593203287016616, 0.021311834926706887, 0.022122918582578227]","[0.0037734029082508013, 0.005694223606234906, 0.00981118133010572, 0.004023714691740289]"
1,Uniform,0.916750700280112,0.00607714243777652,0.008111698223983561,0.11648426236744927,0.7860066408406897,0.04344302805306749,0.008592537786515687,0.43497136085241317,0.7215395803526002,0.7565298092914938,0.028100635326925697,0.0034218087184900315,0.0021237862247003234,0.05000339952998793,0.049785385966077525,0.004250603658728953,0.0027050270130118503,0.0013451879053516423,0.013924896149097461,0.002266636276594727,"[[295, 13, 0, 9], [10, 277, 4, 5], [1, 1, 45, 8], [9, 3, 7, 154]]","[0.005288775082763132, 0.006961342098908946, 0.0, 0.0076900798481864]","[0.010227214162926044, 0.008665605413069214, 0.0, 0.005789371727778532]","[0.10121562734935408, 0.09432339787559108, 0.21314889330820833, 0.1558251378928927]","[0.7868098054642879, 0.8190602240651144, 0.5187875123743835, 0.8056901123265818]","[0.051662197707518856, 0.03232109501456894, 0.03976895171066102, 0.04974864777571117]","[0.009844538212069959, 0.006838098101556547, 0.004606481481481481, 0.01070982817344854]","[0.4418477083173119, 0.4285923937782911, 0.4146809126755463, 0.4396236238377796]","[0.7702595936243999, 0.7803701747923694, 0.26888411680359126, 0.6608789207162785]","[0.7763529826795503, 0.7287467621747086, 0.7174577254097694, 0.7811961163497454]","[0.0036383721065797433, 0.0071270019900408245, 0.0, 0.007349356256576907]","[0.005084131812074978, 0.0024672632011617356, 0.0, 0.002095332003951477]","[0.043603438386017455, 0.04019469019892037, 0.1175221788219124, 0.06304413652654864]","[0.10564098335764076, 0.04414454497226718, 0.04946770681303372, 0.07601347871026896]","[0.0065260874016807875, 0.004922508603062865, 0.0043070562716762345, 0.007988950619184912]","[0.0044901663191554125, 0.005268092753538527, 0.00490440378031104, 0.006478455452080336]","[0.0015892315073553396, 0.0027085282561900596, 0.0032309397292994055, 0.0019736753168697763]","[0.014161073368809974, 0.016860788289080858, 0.024189145968604404, 0.019100754022051317]","[0.0035418866483079015, 0.004616459517956258, 0.009045955961258734, 0.004750097408527747]"
2,Uniform,0.9524789915966385,0.00607714243777652,0.007715327140690417,0.1184130804635927,0.7821708148986881,0.04377406899910733,0.00774685672171571,0.43470035734767426,0.7199479046327267,0.7577430535793749,0.02617603803544535,0.003694282201461856,0.002226348507496048,0.049332212356140694,0.04962825522448962,0.0052525830549809615,0.003021061253723364,0.0013496237048732532,0.009874582179958362,0.002403561284161412,"[[303, 9, 0, 5], [5, 287, 1, 3], [2, 1, 49, 3], [5, 3, 3, 162]]","[0.007313198751108449, 0.006710427766498645, 0.0, 0.004355303548700419]","[0.008780873075679927, 0.009561540172636416, 0.0, 0.004902836655592047]","[0.11078766773126239, 0.0926555389989088, 0.2074160634335874, 0.14741301659492811]","[0.7848207733328936, 0.8142701610534482, 0.5238297010357134, 0.805413140961105]","[0.05162937042147357, 0.03202604841150931, 0.03976895171066126, 0.05052634138611737]","[0.008485819460307875, 0.007179154068377047, 0.013593504374697035, 0.005416282086107482]","[0.44151541778921377, 0.42825071087034344, 0.4179022863995939, 0.4386620804020806]","[0.7715353905121776, 0.7830132944437087, 0.28629290991640916, 0.6592120439416879]","[0.7780949793224308, 0.7298219545847819, 0.7235744316135146, 0.7790135389443916]","[0.007956952931593668, 0.006832506079188266, 0.0, 0.004840117222676226]","[0.0054577214262792086, 0.0027047034899729456, 0.0, 0.0022915352395312507]","[0.046016817027023135, 0.03726932649008255, 0.07622956177596513, 0.06370103215241883]","[0.10246297055862111, 0.042299910161589106, 0.05430745853561524, 0.07365212558779746]","[0.008577913174363743, 0.004374248153188119, 0.004307056271676635, 0.008154755858100429]","[0.004167322394949087, 0.005572639634318451, 0.008389858026095046, 0.00362214467006136]","[0.00149419276887315, 0.002484216250909543, 0.0030867989354193587, 0.0015429322206355557]","[0.014877802122947453, 0.015261376221862029, 0.020923991703589773, 0.010823262720912611]","[0.003114409490773543, 0.0032718927695740423, 0.008343468717083859, 0.003609914618067284]"
3,Uniform,0.9536554621848741,0.006209417570051652,0.008746583911709408,0.1229228538196366,0.7817822676186282,0.04379293478841866,0.008907304257711043,0.4349583022048307,0.7208715192909383,0.7570285556856923,0.02528746725682568,0.003469787280784522,0.002821128744688204,0.046749638669076485,0.052806356957474064,0.0041347327557075455,0.003625251227062676,0.0008075758451646488,0.008917016270699494,0.0028278831626986486,"[[301, 11, 0, 5], [6, 286, 1, 3], [2, 1, 49, 3], [4, 1, 2, 166]]","[0.005660802888500159, 0.007117131893318503, 0.0, 0.0077847053908174455]","[0.010389117717463883, 0.00980581145871327, 0.0, 0.006732984140199674]","[0.10326200180238868, 0.1032001229893931, 0.23136416129297666, 0.15814523049051774]","[0.7876527420976153, 0.8121133287428816, 0.5281452120247957, 0.7989573105670867]","[0.050332323731288334, 0.03288082643720162, 0.0397689517106611, 0.052384490718645996]","[0.009293257772016906, 0.007268150374428482, 0.01101525226307123, 0.010329621697872248]","[0.4416937281611849, 0.4293327675979322, 0.4172483404198024, 0.4384897882786566]","[0.769848183782468, 0.7864776314948566, 0.295038383971515, 0.6568432018317935]","[0.7785365546326621, 0.728556619376912, 0.7239655893811225, 0.7787898694308373]","[0.0041270717120843676, 0.00754035565124757, 0.0, 0.008662512544891561]","[0.004279447674544397, 0.0035105424160191455, 0.0, 0.003495680342587294]","[0.039867858616817145, 0.04053841720216466, 0.08524392464434179, 0.0575067366911516]","[0.10356140136935227, 0.04214414095921208, 0.05332428357493432, 0.07774328444799947]","[0.0056021820034516875, 0.004021354409534257, 0.004307056271676606, 0.008976745227333357]","[0.007015064192536874, 0.0030654735830619602, 0.009100636777181736, 0.006417737818933]","[0.0012206162173227263, 0.0026032799387118288, 0.004993270704930474, 0.002570898564855775]","[0.009073267145626292, 0.01615106720935022, 0.03951435885013772, 0.026511101650172498]","[0.0035928117807458573, 0.0041837344097936935, 0.010331155832904709, 0.0057948327533761685]"
4,Uniform,0.9560504201680672,0.006869744815583653,0.007768516771158779,0.11648171366563906,0.7847421858072452,0.04287520501630297,0.010017270154796103,0.43471182352875753,0.7206956105386857,0.7562392891008353,0.027936782554809955,0.002972912949059395,0.0015058431511751145,0.04912292350640199,0.04947336708123594,0.0035098559229981017,0.0027876646857927655,0.0010818723576971484,0.007729017641824203,0.0025189359972214278,"[[302, 9, 0, 6], [6, 286, 1, 3], [1, 1, 51, 2], [3, 3, 2, 165]]","[0.0067493376307282225, 0.008065469590363566, 0.0, 0.00676522944561084]","[0.008346300634769004, 0.009066645183188799, 0.0, 0.006619183214899656]","[0.09884132924464015, 0.0973403107965484, 0.21135080388961924, 0.15261183074838222]","[0.789595034419159, 0.814904575994247, 0.5211568992624036, 0.8052950914395052]","[0.05011642547520636, 0.032797566921162716, 0.03976895171066166, 0.0476013265559926]","[0.010804934560654442, 0.007352834269416873, 0.011792191651598028, 0.013209938163317465]","[0.441593046789673, 0.4283243701758601, 0.41581987349032296, 0.4387943126822861]","[0.7702298213806505, 0.7819826359818471, 0.2759544654268159, 0.6556426505116209]","[0.7770163083936352, 0.7283061148579744, 0.7160604223753015, 0.7785790364795129]","[0.005450323607606033, 0.007745896800545797, 0.0, 0.00797217477411401]","[0.0018833141887917863, 0.0030930194680253934, 0.0, 0.0024938730953487616]","[0.04005100686175622, 0.03843298816767443, 0.10186348219378052, 0.06781857677669229]","[0.10275000452980791, 0.04249304410531237, 0.04747608508594111, 0.07762973159974895]","[0.0048165451540305385, 0.004957414053603665, 0.004307056271677482, 0.0050743509263996185]","[0.00448453943927383, 0.004143886617543383, 0.008665832808750716, 0.005836871090269455]","[0.0012719190846214165, 0.002616753150469007, 0.003986758122710941, 0.0017403217594951141]","[0.010624988670959228, 0.01543905685087901, 0.028897107740997973, 0.01414540239897272]","[0.0019789741812931082, 0.0050556256854050775, 0.006312129576176168, 0.0039341859747357094]"
5,Uniform,0.9607983193277312,0.0043596625498871205,0.007584205265843311,0.12386076909721071,0.7843874936221369,0.042450951115621444,0.008768249924364285,0.43502900077620865,0.7200898637273475,0.7564144402807358,0.02437273933366062,0.0010869336053020754,0.0021828857146654157,0.04955693207575834,0.0497372414800569,0.00526196544434267,0.002766509782206506,0.000823090347050706,0.007317391516621972,0.004491091302972874,"[[303, 8, 0, 6], [5, 288, 0, 3], [1, 1, 51, 2], [5, 2, 0, 166]]","[0.004276598231204328, 0.004106935417574335, 0.0, 0.006495705655971582]","[0.00935527666681977, 0.007636111152341525, 0.0, 0.006596800128838083]","[0.10779991803100264, 0.0968818985237795, 0.22971448637382896, 0.16339255704130146]","[0.788737568755897, 0.813710220603728, 0.5239097909801502, 0.8057928213784397]","[0.051648290533179694, 0.03021771228455291, 0.03976895171066168, 0.04734226277657984]","[0.007831748211473593, 0.00825676643436916, 0.00958461497430098, 0.011259393788179972]","[0.4418400323717638, 0.4288134868059747, 0.4154301854399215, 0.43904428952284646]","[0.7707306613095766, 0.7837416362513848, 0.27363423216557115, 0.6556234559577705]","[0.7769810612044132, 0.7285202080984292, 0.7191123587463428, 0.7779622653294711]","[0.005030499199857162, 0.0045161792888472494, 0.0, 0.004250732700941991]","[0.003309630863055714, 0.003098173398782882, 0.0, 0.0024604145068420217]","[0.0422144513470227, 0.03911978620469185, 0.10526077513907803, 0.060725123009790966]","[0.10453992217677822, 0.04217572928746554, 0.05383855352777867, 0.0690302247422652]","[0.008252056438216212, 0.003641343551019474, 0.004307056271677717, 0.003954475008406035]","[0.0023771392416923245, 0.004840990502393584, 0.007531073536840759, 0.005980712581118171]","[0.0011311259314745784, 0.002071971024732237, 0.004520540803181, 0.0014846459690106054]","[0.009206743143068019, 0.01464087033983741, 0.03351679164184778, 0.017661387519204392]","[0.003710776023400816, 0.0058334190691359845, 0.007989786509184492, 0.0048543448821282385]"
6,Uniform,0.9619467787114846,0.004623863342489498,0.007953527220370021,0.11613073949844159,0.7855295679478308,0.044028438557638175,0.008017026273301042,0.4344101188787223,0.7146874384579869,0.757236894219501,0.020853255310102112,0.00319028670894261,0.0013951739932661572,0.04686496466805985,0.04909659701697016,0.003561920120482214,0.004320045952036674,0.0013261956413477458,0.008692382118811098,0.0030966297040678653,"[[303, 8, 0, 6], [6, 288, 0, 2], [1, 1, 51, 2], [4, 2, 0, 167]]","[0.00643677464035568, 0.0038603464486968485, 0.0, 0.00380010208441581]","[0.010699135129327601, 0.00823305061341039, 0.0, 0.004961987554562053]","[0.10056142463986398, 0.09342380663319713, 0.20675843235115637, 0.15507473444353387]","[0.7905759372486608, 0.8173144373420416, 0.5222029675107682, 0.8044032194531674]","[0.051172549301577816, 0.0326117723315011, 0.03976895171066278, 0.05078067360875087]","[0.011412345192513069, 0.005981513091204471, 0.006276223776223775, 0.005376655935795199]","[0.4414679588197683, 0.4280259936128702, 0.4168374304050267, 0.4372511013002742]","[0.7667952745223561, 0.7799141355944726, 0.27865214317970094, 0.6440497136120831]","[0.7778175856778335, 0.729014189457422, 0.7188468392277916, 0.7776049324158599]","[0.005261841786789058, 0.003851993316831459, 0.0, 0.004158156230506542]","[0.003705738614213836, 0.0022803875279117074, 0.0, 0.002247656941013652]","[0.03904140419273938, 0.03356839618483571, 0.09659131350033827, 0.06912487957935266]","[0.10301707736825959, 0.04359901213635357, 0.05348754836156066, 0.07491433961532214]","[0.00536835913232608, 0.003835251800793834, 0.004307056271677801, 0.006774065599373436]","[0.0063999563663971, 0.003970781496867315, 0.013607239833678305, 0.004786988788949192]","[0.0008761616748022816, 0.0035207796263039765, 0.0030651783488189715, 0.0014612387036059518]","[0.008436645020446117, 0.018555914290666286, 0.025356277266822495, 0.013168662929145066]","[0.0026417638171742177, 0.005438560214127646, 0.008335158364356509, 0.006319142392496467]"
7,Uniform,0.9619747899159664,0.005548740852571764,0.007874301929784095,0.11196063227336765,0.7847269619355155,0.04277409544985171,0.007457345978005012,0.43454445462698565,0.7179331076474451,0.7567843837960841,0.021513408444446772,0.002395294663254027,0.0026181038917812206,0.047739526256022284,0.04632851256973623,0.0024117592014439716,0.0028377125094235355,0.001512474302969723,0.010763583112542139,0.003672389198065815,"[[304, 9, 0, 4], [5, 289, 0, 2], [1, 1, 50, 3], [5, 2, 0, 166]]","[0.00561388167912746, 0.005457964058829269, 0.0, 0.007358611317362105]","[0.009231431359465043, 0.008616865982568946, 0.0, 0.00638347110543961]","[0.09532001704769424, 0.09281657191720886, 0.21247252038908798, 0.1442654156400345]","[0.7883571375875593, 0.8156434898075722, 0.5237202632292747, 0.8076093328480727]","[0.05083343432648193, 0.0308756994560836, 0.039768951710663115, 0.04948803697338494]","[0.007989841595398757, 0.00449811718872451, 0.012455533824206166, 0.009786096008493728]","[0.44157967176799084, 0.42782098741507185, 0.41636026885851696, 0.43893541735520103]","[0.7696917314224068, 0.7784658268557534, 0.27496956617955337, 0.6556622154168534]","[0.7783054431672053, 0.7283416408619092, 0.7216605692727656, 0.7779274473105666]","[0.004734508874598704, 0.004912361613859253, 0.0, 0.00727804761847969]","[0.00381728878731135, 0.003915307875378789, 0.0, 0.002132511028385751]","[0.04372997390941393, 0.03630119614088989, 0.09029152515373408, 0.06551796755192163]","[0.10265852895587954, 0.042271441314577995, 0.05003539812118553, 0.07525677975066593]","[0.0037736878745935195, 0.003418009643825221, 0.004307056271678941, 0.0071779703545804185]","[0.003904402593675547, 0.0021532461612802072, 0.011692752776655487, 0.005951088705983926]","[0.0012095361660263172, 0.0034443032868354782, 0.003620136582078777, 0.0018187137430450775]","[0.011958037658676642, 0.018776182178354396, 0.03214442224036965, 0.018764116201314837]","[0.004561025106503778, 0.0031703808389295296, 0.007220047434717172, 0.0042040748975402465]"
8,Uniform,0.9607843137254901,0.00568119072082084,0.008799144492671574,0.11516397423345222,0.7849345482725602,0.044321119129528116,0.008735749033210819,0.4346443026143431,0.7150492952600959,0.7561874990223105,0.023105706658551495,0.0020704767050649204,0.0017310454920919079,0.04721285582129307,0.04820698562724392,0.004726586221437213,0.002725389627462951,0.0006976273322755393,0.005779042745096079,0.0036176803973820455,"[[302, 9, 0, 6], [5, 289, 1, 1], [1, 1, 51, 2], [6, 1, 0, 166]]","[0.006053093083640008, 0.005682155472289029, 0.0, 0.00698401717623065]","[0.009325847598403743, 0.010262700901570639, 0.0, 0.008170102234837313]","[0.0954779268913848, 0.09449587996076633, 0.22712194065535657, 0.15142761608138194]","[0.7889615571889484, 0.8173610597900538, 0.5238525434609335, 0.8042970947894276]","[0.04986834907978561, 0.03475845978511903, 0.03976895171066093, 0.05175760967901295]","[0.010871710949329474, 0.005750411528824365, 0.004897036976729226, 0.011100757620036084]","[0.44141515529753955, 0.4285602639860415, 0.4160131516512468, 0.43861885176508286]","[0.7685994956067914, 0.7797333664150193, 0.2814585501250286, 0.6482749280236793]","[0.7761707250762492, 0.7283560780776973, 0.7200290528623357, 0.7781823350663681]","[0.004230833248985251, 0.004519367604747165, 0.0, 0.007584086641451685]","[0.0035762181216305727, 0.004144949654573736, 0.0, 0.004215603899528401]","[0.0390388039985598, 0.03890665931143975, 0.08382297259182993, 0.061186237420783295]","[0.10316678386849867, 0.04192741385774582, 0.053560192208317696, 0.07453838548636078]","[0.005403601724415285, 0.006865829641568044, 0.004307056271676388, 0.0052700431133977255]","[0.00613501016745469, 0.004165201144890832, 0.00503757546861901, 0.008077446168687639]","[0.0015716118076976096, 0.002868147900865933, 0.0033096113998317975, 0.0017570826737301512]","[0.011213297181896256, 0.01723716628187546, 0.03654241739505092, 0.016320364575938436]","[0.004028384536538994, 0.0044680182755391555, 0.008005780926040108, 0.005508529710159289]"
9,Uniform,0.9619747899159664,0.005945042041475331,0.007689326427767642,0.12002030582599513,0.786190135455327,0.04308556568115314,0.008693140914078827,0.4344534361839315,0.7170257967830131,0.7572758170737349,0.02223332683182436,0.002801861184127058,0.002037103157082914,0.04995838819135871,0.05001668190848152,0.0057814118823082405,0.002837647161150921,0.001323286991690648,0.009725874929052549,0.0027893840282009336,"[[303, 7, 0, 7], [5, 290, 0, 1], [1, 1, 51, 2], [4, 4, 0, 165]]","[0.004852767942690341, 0.0048331857849962506, 0.0, 0.010674401938803249]","[0.008720274348879575, 0.008724771755266432, 0.0, 0.00650891962825344]","[0.10306262685650483, 0.09370204649409156, 0.23050602248850383, 0.15841415698508216]","[0.7913928846195069, 0.8169526950341865, 0.5299730668631482, 0.8066123262656848]","[0.04989353329164738, 0.0315066780250323, 0.03976895171066261, 0.05079587385728364]","[0.009191919508054387, 0.006530113494832667, 0.017080741801808602, 0.008756654768139329]","[0.44154573096710037, 0.42766702424260183, 0.416902704004449, 0.4382816517420295]","[0.7695447735076564, 0.7833912383482241, 0.2899460656156544, 0.6532495208405532]","[0.7783023679486245, 0.7276386610607988, 0.7204667245631671, 0.7786566094417635]","[0.0034704429385589495, 0.0063029976717100785, 0.0, 0.012939093076626856]","[0.00445997458417171, 0.004020483177891307, 0.0, 0.002914175061466132]","[0.042678863797216686, 0.0347660159201605, 0.0995229994633621, 0.07174386026798663]","[0.1025243743451401, 0.0436267720762862, 0.05466851261510488, 0.07459506620981211]","[0.00986221994348499, 0.00429384196002978, 0.004307056271678218, 0.007897241144082644]","[0.004328602775295843, 0.0036451148923430953, 0.01090972778581741, 0.005775525175398212]","[0.0019509314246165675, 0.002604470691955275, 0.002496334095967854, 0.0017863089005300072]","[0.014914936889881016, 0.011799865144246547, 0.03290114724778608, 0.017035076446713374]","[0.002612470391190913, 0.0031940269268787534, 0.010468735408764751, 0.006140271038256363]"
