n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,Uniform,0.7432367149758454,0.23009162319507145,0.31877234601372534,0.18446879897233764,0.5916207286521834,0.334882746665906,0.31256971036471703,0.4721194891481873,0.9799379930844647,0.7446715660601961,0.06274296335508145,0.03227824142307507,0.018708010918146892,0.03111798944949268,0.021626811178476004,0.014679822695253154,0.02112641420988841,0.0036247031543086548,0.002332342892571922,0.0055323595312145755,"[[190, 55], [61, 146]]","[0.13036764574057985, 0.3487785011016225]","[0.15189336458092081, 0.5189111930805801]","[0.16717623729453313, 0.20520133628216503]","[0.8212677001385525, 0.3175100241930038]","[0.2943334643429706, 0.383647518494363]","[0.22763988411741415, 0.41438419814470706]","[0.4594050317691464, 0.4871754709658786]","[0.9716225673926384, 0.989877390816717]","[0.7677116447277561, 0.7172216758925898]","[0.027710279553639576, 0.05032824037534321]","[0.015600375918398824, 0.025496684835239956]","[0.021593679546054127, 0.04387493874151005]","[0.038088354098000425, 0.03475858002696643]","[0.012320749292727128, 0.02944706512918178]","[0.021499987110841348, 0.03168785977736644]","[0.004199178263829911, 0.00415625949976277]","[0.003317800373680282, 0.001093674450599852]","[0.00306186592826738, 0.009341692753168847]"
1,Uniform,0.7255555555555555,0.22640006777937813,0.3207903559627698,0.18402666382183602,0.5815433130202582,0.33646315562637114,0.32112046391603044,0.4732093384704209,0.9803833481593021,0.743861435660131,0.05965719588791319,0.03155269913266975,0.015406893969178678,0.028843877939051396,0.03166016646494635,0.011926996329523282,0.026586234150458986,0.0026604029583819824,0.0020338722482042943,0.0045612239315292605,"[[185, 60], [64, 143]]","[0.12492964060624714, 0.34497101453715906]","[0.1604000741576595, 0.508068280197387]","[0.16824644682962395, 0.2030176320785587]","[0.8155912169933565, 0.30895215308424573]","[0.29954540357220794, 0.3794014388983403]","[0.24878516001594836, 0.4060521041675019]","[0.4623257359438374, 0.4859482573643463]","[0.9725049280077742, 0.989553292120204]","[0.7681728668449272, 0.7157829872048007]","[0.03872853686710317, 0.04766277518702069]","[0.01719522688278691, 0.03311601723155578]","[0.025181648408820048, 0.033723624758266985]","[0.03572766215351339, 0.025848895584453226]","[0.013210493764526134, 0.019665359516286084]","[0.026870497204440888, 0.04416379589930167]","[0.005307108224436039, 0.004859748588937632]","[0.0038174745297054674, 0.0017752449923393952]","[0.001302775379619318, 0.006908536985201385]"
2,Uniform,0.7855555555555556,0.22148787838443013,0.32020115951150435,0.18232366849202458,0.588436237440236,0.3322152809167941,0.32770687282946576,0.47242578527863266,0.9802514534823624,0.7448572069727708,0.04435944285863763,0.01702030594757411,0.014305912214100156,0.02530036249824625,0.03890943833890737,0.01530476608995542,0.017894973393931195,0.003323843043697454,0.0022740751425930597,0.00230079766758886,"[[196, 49], [48, 159]]","[0.12692792988671617, 0.336888278373144]","[0.15988495434542543, 0.5136613991338952]","[0.17401625231299916, 0.19208896751966323]","[0.8178501937514285, 0.31054317680359395]","[0.2981517285397125, 0.3729302849048561]","[0.24094117060897835, 0.43229733361056794]","[0.4614013903804749, 0.4857916415513647]","[0.9724809585586904, 0.9896242433800679]","[0.7695336759398519, 0.7149828152558916]","[0.026375980047929334, 0.04222571402032262]","[0.01724621157908214, 0.02273159355770818]","[0.025343540610009003, 0.02743488182491218]","[0.043825091986234535, 0.033372512589290304]","[0.007094230497360791, 0.028822756649480984]","[0.024154793615397872, 0.025264962758733762]","[0.004721407671191807, 0.0038269247570438462]","[0.0031938442838162742, 0.0013620590828558189]","[0.0027898117257324118, 0.0034790185079791643]"
3,Uniform,0.7965217391304348,0.21902240350516214,0.31592428075186696,0.17898780356426588,0.592165261322894,0.33149542651830793,0.31974768847921553,0.4718527209471281,0.9800918413852543,0.7446839966411263,0.02858717167059543,0.025717920484849516,0.017646641541024362,0.019278278838014935,0.030908901030164075,0.010464619477033003,0.016555962319800402,0.003268002488529514,0.0021978210655760853,0.002985248934354868,"[[195, 50], [42, 165]]","[0.12489223913470342, 0.3331702821846189]","[0.15366278006141942, 0.5121642655943355]","[0.16188276199860654, 0.20018033113202144]","[0.8237889786948257, 0.31296947981739226]","[0.2992366171914381, 0.370430223101375]","[0.2411365494329599, 0.41499548764412697]","[0.4612662599052276, 0.4846635266666697]","[0.9724989477055456, 0.989294470828247]","[0.7694266358431097, 0.7149931130312025]","[0.02870543246774005, 0.054856511929014154]","[0.017034400584176847, 0.03177711880005722]","[0.02307940139105357, 0.020597255451392016]","[0.03267422641526183, 0.032457730197619133]","[0.00842078182894391, 0.01746895316065466]","[0.027275169958605378, 0.023886534162329755]","[0.004630706524348287, 0.004093081352421885]","[0.0035345259904773518, 0.0013180987173769337]","[0.0016137645869089968, 0.004496797162068513]"
4,Uniform,0.8119806763285025,0.22320596458527492,0.31758971690006177,0.17881448543387318,0.5879782771875903,0.33564684102876313,0.31829590742096336,0.47056578348708006,0.9796805146885571,0.743049342536761,0.04845699339944487,0.027463907631366788,0.02008416639738635,0.023579710999600545,0.03585135935881595,0.014323133226394657,0.025270265891006526,0.0035998498292869685,0.0017789129306989638,0.004334772293340674,"[[202, 43], [42, 165]]","[0.13338368587329735, 0.33060112552848425]","[0.15906219668484595, 0.5071771761280989]","[0.1671824030265223, 0.1926140791806373]","[0.8211181435048338, 0.30916241178066983]","[0.3011777165985405, 0.37655599044350574]","[0.24172057490804638, 0.409378864596652]","[0.46049313524783686, 0.48261122683593394]","[0.9715811523144062, 0.9893744948033325]","[0.7684730142884548, 0.712776296783379]","[0.041140217391972815, 0.036376116361261736]","[0.01905456583094501, 0.024444920952097365]","[0.019953609286539536, 0.029523876892887872]","[0.0356368643517813, 0.030981151294716614]","[0.016746259057233738, 0.02187086936107892]","[0.026114555182605144, 0.026586045457381795]","[0.003804960294514051, 0.004505420161214135]","[0.0021750261439670198, 0.0014284031761584882]","[0.0022618845835947993, 0.008665139484797933]"
5,Uniform,0.8208212560386473,0.2273937618765205,0.32162743128260374,0.1925752546339716,0.5923266140437642,0.3352377427870868,0.32551242372614964,0.47246871845630006,0.9802416212934391,0.7435549727721209,0.04891432574212386,0.03230028230300529,0.01805875881114405,0.0341589238440413,0.023707423518424406,0.009094558230571924,0.025278374537753806,0.0030737732738825786,0.0024018120294122167,0.003089088564301884,"[[206, 39], [42, 165]]","[0.13409973949437762, 0.34146783959552734]","[0.16018664090537926, 0.5164508868162025]","[0.1696061956922506, 0.2197950934381235]","[0.8170666899615366, 0.3212677837667059]","[0.2965824791483497, 0.38221994610599996]","[0.24378954950428655, 0.42467674354291063]","[0.46114890411340975, 0.486213600072379]","[0.9721021729677712, 0.9900659012343862]","[0.7669229408930827, 0.715197885891541]","[0.05017225228180599, 0.021577874909574662]","[0.017991385870921087, 0.02417194932307941]","[0.02767500508179034, 0.041197741034694695]","[0.03646494473325288, 0.02977824962155009]","[0.008374494293354363, 0.020704982446696708]","[0.029854790729803012, 0.031430387912721215]","[0.005501306819667365, 0.003574565917092482]","[0.004039270720022139, 0.0010818018106811078]","[0.0018680395044994415, 0.006435196744105923]"
6,Uniform,0.8208695652173914,0.22369312886554266,0.3135177497246463,0.1848358257220461,0.5856808984624721,0.3286341311734271,0.31986445301100475,0.4709119457740383,0.9797226340261409,0.7427049009528041,0.05779710898664812,0.0280291807314167,0.01678411573621179,0.028738292042258532,0.039060006338525535,0.011418015933198133,0.017159873403758186,0.003074173467736242,0.0023324141711797636,0.0024316840719248627,"[[206, 39], [42, 165]]","[0.137033898363992, 0.3323784276343089]","[0.16670157178675366, 0.4957030691960087]","[0.17860427000053675, 0.19235974651630855]","[0.8114773200353417, 0.3047251189480102]","[0.3000141017227245, 0.3644198052848507]","[0.24995978585074025, 0.406899286757767]","[0.46192254520677967, 0.4820523732970921]","[0.9725116458143905, 0.9886683417909673]","[0.7684294985505112, 0.7107011877342229]","[0.034361441585001595, 0.02989667720420864]","[0.01873162925567134, 0.017368980363385116]","[0.020948923139422163, 0.03932069164855716]","[0.04851391603452592, 0.024761274737492744]","[0.011459805406573789, 0.015766005125740314]","[0.02485755134657666, 0.021163568806114648]","[0.004199613592909699, 0.004742121098975254]","[0.004013292107466427, 0.0006427980980213794]","[0.002547762191774227, 0.005997930781033149]"
7,Uniform,0.8297101449275361,0.21461250771595602,0.31592379661345177,0.18069801573005798,0.5941104947964134,0.3311304813505016,0.308595841495528,0.4711694289413345,0.9796616283447472,0.7437212317920613,0.05264456904275613,0.02586544708277318,0.017230713521227438,0.025955410224505805,0.028939850614171887,0.0054215184604812635,0.01764600511098401,0.004056426295331024,0.0019208140192311129,0.00397555812521148,"[[212, 33], [44, 163]]","[0.12296509785120198, 0.32656952892612695]","[0.15778350232447458, 0.5092404162083394]","[0.16445410238170674, 0.2006513992566173]","[0.82323753598866, 0.3145449949352589]","[0.2966368930521655, 0.373528722160183]","[0.22445228906937062, 0.41123729736622694]","[0.46068444564361605, 0.4840252378365243]","[0.9719255265827593, 0.9891374296905667]","[0.7691037691097261, 0.7128083901775193]","[0.03468520008001131, 0.03788866082988669]","[0.014996847560868562, 0.02364077337382464]","[0.02128896563007866, 0.035648697940025585]","[0.040327571502043816, 0.027483791532812597]","[0.008659427789679134, 0.013603587878325019]","[0.01689032222347902, 0.028860783786033732]","[0.0043971072205181575, 0.006297634162672511]","[0.003346554849852469, 0.0016681026449306396]","[0.0019041153189461068, 0.007099814584422664]"
8,Uniform,0.836376811594203,0.21781326781326782,0.32075005143970664,0.1799320645446083,0.5783271738332542,0.3288644121992811,0.325696441515407,0.47168832196110183,0.9799448521143705,0.743488289247842,0.04946237652927037,0.029526068816733034,0.019677164598557652,0.019193934583861597,0.017192143954281272,0.015519700766984326,0.02473329989975677,0.004279722738385361,0.0022195187275508665,0.00274272851649051,"[[212, 33], [41, 166]]","[0.12584806497381512, 0.3238587960615245]","[0.15507508778394258, 0.5134896209110659]","[0.17318530329678328, 0.18802302198776566]","[0.8116914194581172, 0.30737561408853825]","[0.29990976008729303, 0.36238768555209155]","[0.2413681821401757, 0.4241805425986252]","[0.4614558736200397, 0.48354927096408656]","[0.9714820464161541, 0.9898302641583616]","[0.767800520492818, 0.7151079224274698]","[0.034309240010415916, 0.03862860241570724]","[0.021462410271826778, 0.023378200654222425]","[0.020563353551752532, 0.023277277849538102]","[0.032470565961271014, 0.026665367930673114]","[0.008922861729668304, 0.027046833327365776]","[0.03062506493407501, 0.032044978783304895]","[0.003918180315453971, 0.005370854105224929]","[0.003157924148214721, 0.001640713627494048]","[0.0016356417206119349, 0.005884785031271461]"
9,Uniform,0.8408212560386474,0.21853947543602717,0.31454932765277593,0.18177157916595374,0.5869314152673043,0.33218965204866097,0.31914979622435957,0.471373128500071,0.9797099245492833,0.7443910928999466,0.04779937661280912,0.022556927589754198,0.023648386841459357,0.01843717173207936,0.028983165751836862,0.014170603328134714,0.019308849656371092,0.003516085540678822,0.0025439951707317476,0.004200059747113146,"[[212, 33], [39, 168]]","[0.12688544616971942, 0.3253541283895428]","[0.15755825816962782, 0.500995182237829]","[0.16744923641724796, 0.1993603494941237]","[0.8184967300594019, 0.3117976621663397]","[0.30228794564849104, 0.3681693761271424]","[0.2401356796112002, 0.4133799296199442]","[0.46171611943334623, 0.48269578758987086]","[0.9719926687820711, 0.9888781809281773]","[0.7696568614981515, 0.7142451187103364]","[0.042263890106010685, 0.03461914938631846]","[0.02024654272667902, 0.023924227877937305]","[0.01822265111756116, 0.023959774843828573]","[0.0373158055547667, 0.034880795650483194]","[0.011544599389118207, 0.021336471218756967]","[0.027428183792172135, 0.024603141433885478]","[0.004523290306433182, 0.003756031104936568]","[0.003867764481124354, 0.0012896192881142754]","[0.0028810747901594443, 0.007575623172450164]"
