n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,Uniform,0.9960000000000001,0.15035476199758294,0.18386573622860708,0.0,1.0,0.2980911494969367,0.15727410608701786,0.43278088568279555,0.9248839229947446,0.8273545447963601,0.012649110640673528,0.028839511951364583,0.023019998993761163,0.0,0.0,0.013933942783571221,0.02669408414246883,0.005816744621953854,0.008751121604516137,0.008737515309887544,"[[128, 0], [1, 123]]","[0.13099883866619397, 0.17316420080751996]","[0.18276144588241966, 0.18531070847334466]","[0.0, 0.0]","[1.0, 1.0]","[0.29444455956934146, 0.30132089603837325]","[0.14882288656589074, 0.16682230623325572]","[0.4361643563097137, 0.42925287158716935]","[0.9343814719594491, 0.9149488640835601]","[0.8570359583539311, 0.7959222082676305]","[0.03973303236671863, 0.04426766536530357]","[0.018255494885093978, 0.032077968288319214]","[0.0, 0.0]","[0.0, 0.0]","[0.016559294788953776, 0.017698476046715716]","[0.030286512953979054, 0.0429020550610226]","[0.004265700257449717, 0.009705293520633932]","[0.011863834915624856, 0.01153306117587238]","[0.01480340477506956, 0.013073213943349569]"
1,Uniform,0.9960000000000001,0.13535924525359636,0.17550426883942147,0.0,1.0,0.2983252243720433,0.15181419642044958,0.43037373446222266,0.9214178679322231,0.8265031438484716,0.012649110640673528,0.030390119827766116,0.015843876478246203,0.0,0.0,0.01643400984066855,0.0185012449004926,0.005252388987829838,0.006163791398792294,0.008604283341200253,"[[128, 0], [1, 123]]","[0.11413905282848218, 0.15797600681550925]","[0.1777134726005801, 0.17363437707541185]","[0.0, 0.0]","[1.0, 1.0]","[0.3012377834473597, 0.2964423521325392]","[0.14495622303590686, 0.15863664271121314]","[0.43404060197935096, 0.4264610317089139]","[0.9319849000885776, 0.9106054517882806]","[0.8538397858706908, 0.7985631500164763]","[0.039786559764098256, 0.03911090353252309]","[0.01249296509576587, 0.02335807025645007]","[0.0, 0.0]","[0.0, 0.0]","[0.024211057082441315, 0.014576140636896395]","[0.03245746603620141, 0.02321178595374933]","[0.0053960284816391094, 0.005958985343718955]","[0.007252430873119527, 0.007205230029543731]","[0.008169854019816937, 0.01979623844925827]"
2,Uniform,0.9960000000000001,0.1428794199056567,0.1781306771665822,0.0,1.0,0.29602804437787866,0.15347513138817573,0.43007484868645796,0.9230823827328413,0.8271184080821132,0.012649110640673528,0.03466695252847939,0.018863882685162894,0.0,0.0,0.011170247227983345,0.023674079211806795,0.006392303830727386,0.00848627934299908,0.017558058649372897,"[[128, 0], [1, 123]]","[0.11725862258797978, 0.17169883694329516]","[0.1791052683850571, 0.17789285469442473]","[0.0, 0.0]","[1.0, 1.0]","[0.2867958849291134, 0.3058938722519344]","[0.14199574612493424, 0.16620720819986792]","[0.4348113051279266, 0.42562103565530096]","[0.9337848240059194, 0.9127568231746566]","[0.8578180042102714, 0.7971609902422445]","[0.03513653565366549, 0.06392510457533924]","[0.013263370602392209, 0.0379994123821249]","[0.0, 0.0]","[0.0, 0.0]","[0.026353592998347317, 0.016449033379436186]","[0.013348045925695986, 0.03869771503727212]","[0.004231409935738406, 0.012113754887597455]","[0.010590126923373131, 0.015259633679098543]","[0.012442814968013048, 0.0297965047603874]"
3,Uniform,0.9960000000000001,0.12786830922771042,0.16826439515028652,0.0,1.0,0.2890562442098765,0.15294096489322798,0.4291160341376141,0.919907517314915,0.8222813646919921,0.012649110640673528,0.021919707476999447,0.011487851993156804,0.0,0.0,0.008585194168505509,0.02395668674218166,0.004683991981901478,0.004403195247276793,0.008479665511599984,"[[128, 0], [1, 123]]","[0.10248816530043077, 0.15309564403444997]","[0.16377243918845086, 0.1724279081397363]","[0.0, 0.0]","[1.0, 1.0]","[0.2823213622311578, 0.2961460238174671]","[0.1437109740401465, 0.16288040872917828]","[0.43313815614036494, 0.42505035538134395]","[0.9301732926353777, 0.9097309486915426]","[0.8539803247477062, 0.7900663362232969]","[0.03362604432758555, 0.03562762236747289]","[0.01443035913686788, 0.02188996580687512]","[0.0, 0.0]","[0.0, 0.0]","[0.027570228082915857, 0.014679796702151242]","[0.03250471172804535, 0.03179533430220598]","[0.005445136770997151, 0.007291498922111031]","[0.0071948523576370145, 0.0056050131027597]","[0.007267321491116285, 0.010537134249381045]"
4,Uniform,0.9960000000000001,0.13139838602783518,0.1726735799773888,0.0,1.0,0.2960116888286736,0.15294253356872747,0.4322075882361108,0.9212392691816607,0.8269783411395826,0.012649110640673528,0.020366184209604673,0.016352225052480147,0.0,0.0,0.0166496113694116,0.030742246928347785,0.005036563407877539,0.0063454668155538095,0.011612484272539227,"[[128, 0], [1, 123]]","[0.10668548249399254, 0.15802770900314772]","[0.16494606418331947, 0.1813878498890699]","[0.0, 0.0]","[1.0, 1.0]","[0.28316194925331906, 0.30995645487218954]","[0.13999274060249373, 0.16556198271594963]","[0.43417563366886924, 0.430134090272387]","[0.9284390404750438, 0.9134457097326841]","[0.856890092551011, 0.7951596061318219]","[0.03209205049267055, 0.04970680079303961]","[0.02418242017529112, 0.0170140767566493]","[0.0, 0.0]","[0.0, 0.0]","[0.02764209508507457, 0.016881301389998785]","[0.026346163066458057, 0.039841661492858366]","[0.00614321916699534, 0.007353950297082615]","[0.010141470118913705, 0.011278128692411807]","[0.01638366525219471, 0.022931218878361224]"
5,Uniform,0.9960000000000001,0.14904292230322405,0.18537756812599898,0.0,1.0,0.30603042081522097,0.16251253548084083,0.43384500417162275,0.9241093725708535,0.8303431500860452,0.012649110640673528,0.025340903710357833,0.01816425772928034,0.0,0.0,0.013917421523819862,0.030286885142307537,0.0052577345450946335,0.00579367024588347,0.01364303377537362,"[[128, 0], [1, 123]]","[0.11907140048283242, 0.1818310718944455]","[0.1808496848869669, 0.19070851201491332]","[0.0, 0.0]","[1.0, 1.0]","[0.29680165699928185, 0.316635218340599]","[0.1518402262051919, 0.17424733775089102]","[0.436563443830814, 0.4311555205252908]","[0.9318686622628356, 0.9164237931288144]","[0.8574354302327949, 0.8022950771997184]","[0.04434895974797584, 0.0410504301875876]","[0.011934384323344172, 0.02923934202267822]","[0.0, 0.0]","[0.0, 0.0]","[0.0229998797243212, 0.015623082796706768]","[0.03268323345005895, 0.03377158089570683]","[0.005878191270837113, 0.007755543333149016]","[0.008693143576182468, 0.010962804566048182]","[0.014569265003400477, 0.02130243932877181]"
6,Uniform,0.9960000000000001,0.15608163424427896,0.1857876885891388,0.0,1.0,0.30131625361877656,0.16424947231241332,0.4332146081573735,0.9246184653467673,0.8268570704567353,0.012649110640673528,0.023745388198368664,0.018684927586001678,0.0,0.0,0.018075148091055107,0.0334676532924426,0.005354593638309085,0.004659312109439067,0.012269837035931342,"[[128, 0], [1, 123]]","[0.11827988981799813, 0.19428008627133148]","[0.17178281456271507, 0.1999549133358167]","[0.0, 0.0]","[1.0, 1.0]","[0.2937892530740193, 0.3089522110663074]","[0.13968210629131078, 0.18973357289450676]","[0.43454000541204935, 0.43177467395555313]","[0.9309188526582023, 0.9180796579759635]","[0.8487376675442869, 0.8041102952946909]","[0.04712011036852279, 0.05986301208020541]","[0.021074461445784055, 0.024158938100674824]","[0.0, 0.0]","[0.0, 0.0]","[0.02746021441660032, 0.019704096991188105]","[0.038545897045761224, 0.03335737701076813]","[0.008687091331243612, 0.006511469552614454]","[0.008354851022322501, 0.005780797192541454]","[0.01950779278242235, 0.015492640235141197]"
7,Uniform,0.9960000000000001,0.14065143659116602,0.17063194417371644,0.0,1.0,0.2931212657547429,0.14750264539951102,0.4280669667722462,0.91727100350945,0.8216754289724155,0.012649110640673528,0.035495570325624934,0.014507936928864896,0.0,0.0,0.013976950728202717,0.022955402149110956,0.0027605018566193127,0.006468401189677862,0.009206881733239337,"[[128, 0], [1, 123]]","[0.10570362559220325, 0.17919322664735512]","[0.16445698084890414, 0.17719511306497795]","[0.0, 0.0]","[1.0, 1.0]","[0.2848096727441219, 0.3022479691735086]","[0.1371627380101232, 0.15781790193909975]","[0.4310242565771107, 0.42477574526439754]","[0.9243403298354179, 0.9095293638014649]","[0.8515921660496387, 0.7890843520421476]","[0.03597456130387562, 0.052463414187109154]","[0.01893583571945031, 0.012973157976500005]","[0.0, 0.0]","[0.0, 0.0]","[0.02117475315714014, 0.012746139917673023]","[0.028185970791408256, 0.02520613685251217]","[0.005485105272261934, 0.005544164962439983]","[0.010555141658565862, 0.008505397246776625]","[0.012249494170718403, 0.023212369584270885]"
8,Uniform,0.9960000000000001,0.15209348563408834,0.17327394643483685,0.0,1.0,0.30202760487143204,0.14927126205049093,0.431423393428812,0.9212920727193431,0.820677138735889,0.012649110640673528,0.042140037962652144,0.01976383345881395,0.0,0.0,0.019099935026576153,0.028047183989271557,0.004448083632856703,0.00727156740609917,0.010006018032706121,"[[128, 0], [1, 123]]","[0.11821530417827293, 0.1847594324214228]","[0.16305793803224133, 0.1836930222736854]","[0.0, 0.0]","[1.0, 1.0]","[0.2921317694530069, 0.3120980450036338]","[0.13354426159952099, 0.16475964720289596]","[0.4328578993568829, 0.4299185044563874]","[0.9278359163019398, 0.9148879722886643]","[0.8479727399583185, 0.7934430936526946]","[0.06048091782549069, 0.050389278694715794]","[0.025602431239256717, 0.014891208904482325]","[0.0, 0.0]","[0.0, 0.0]","[0.0313040326867356, 0.013391133383115685]","[0.033348499514012524, 0.0302470268696835]","[0.005899414918149869, 0.00545620318826468]","[0.007497730652821865, 0.009657887472038254]","[0.00958381135549962, 0.0170305406034391]"
9,Uniform,0.9960000000000001,0.12964016997388014,0.1674667654282484,0.0,1.0,0.300472450787877,0.13914122442084315,0.4301205973912137,0.9190707973219572,0.8232839711066682,0.012649110640673528,0.029753107487492148,0.013156681245672434,0.0,0.0,0.023552824107691512,0.017082558514094247,0.0020345754833272236,0.0036656234195342687,0.0046610324511930845,"[[128, 0], [1, 123]]","[0.103670594872783, 0.15718187889774687]","[0.1646278901481405, 0.16907253876686887]","[0.0, 0.0]","[1.0, 1.0]","[0.2963828319156715, 0.30476738838684514]","[0.12027922150590002, 0.15855801864687238]","[0.4312993392605059, 0.4288517277489096]","[0.9246421164062371, 0.9131262227576565]","[0.8488391216545456, 0.7969411311888324]","[0.0255556870604246, 0.04535850900250594]","[0.017441455266515634, 0.02293564782214145]","[0.0, 0.0]","[0.0, 0.0]","[0.03852688630106538, 0.021800345018393133]","[0.03126117212524532, 0.023557276121389897]","[0.003588109877660803, 0.005036126280256252]","[0.011644895140246112, 0.006352999656776838]","[0.008589087974969213, 0.01179230377724696]"
