n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,Uniform,0.863768115942029,0.13148081910042028,0.17929848877760887,0.13265679420280588,0.5446466140854386,0.23026168958735024,0.16521405257980865,0.36537497621225007,0.7968015271551179,0.6411459730543385,0.05243410029385446,0.037406719341457784,0.02511726108879335,0.04239095701081688,0.0699503676838008,0.029450323608207988,0.030377291356661514,0.01077781960515925,0.021595643701989475,0.015038981377298219,"[[74, 19], [13, 129]]","[0.18441045002507356, 0.09319639486252412]","[0.2479091854941795, 0.128680273958074]","[0.16699262938027806, 0.10651976106460163]","[0.6617968685837714, 0.4563849241077996]","[0.2857049399869063, 0.18989756628065452]","[0.2266322757432146, 0.11847971394981735]","[0.42509439280401695, 0.32119421917618124]","[0.9120418624019895, 0.711610010252109]","[0.7030915583835893, 0.5948563541433616]","[0.06812427128998207, 0.03287788113970889]","[0.037242760426435144, 0.02776818925289014]","[0.05714878356845048, 0.03382067661360367]","[0.10073089449286873, 0.05980613904924205]","[0.03921158309095005, 0.025754508669269732]","[0.05459748477895285, 0.03627569204903632]","[0.012742520629660622, 0.017617104271304435]","[0.02017650193222327, 0.03966968017570576]","[0.0379806980433384, 0.03654753248638734]"
1,Uniform,0.8378623188405797,0.12249172851649825,0.18327774300277205,0.1441077346394854,0.5374915856905819,0.23141036441917215,0.17383686654488317,0.3654591886977129,0.793313290958092,0.6362045068407405,0.053504255647135936,0.03016617557362576,0.026855165463746774,0.04516511617006575,0.06746479293145288,0.014536783764575437,0.026602113613761455,0.01391882253977151,0.02363897115861614,0.033327813916339134,"[[72, 21], [17, 125]]","[0.1984899674337646, 0.07479905249393186]","[0.2596123062244953, 0.13515351062886782]","[0.17625915714814994, 0.12351174239365421]","[0.6531368478543811, 0.46205485579353367]","[0.30466552642867806, 0.18520099546048083]","[0.24971581390957143, 0.1252175025672318]","[0.430555067559008, 0.32364047379303545]","[0.9105960479655588, 0.718053431277619]","[0.6837607747597323, 0.604872788326954]","[0.059259607042900286, 0.02854283466973891]","[0.041421855879380486, 0.018484944603512833]","[0.05255558581920045, 0.03806119704455154]","[0.1168531545112808, 0.05829895833590118]","[0.02758562529742846, 0.013192934508672254]","[0.041738028781520796, 0.02143513897922678]","[0.012721953934457323, 0.014743779598997827]","[0.015188942125177997, 0.02830815335561208]","[0.04402979292950872, 0.03182190679927962]"
2,Uniform,0.8722826086956521,0.11865778413663597,0.1776634176875615,0.13817670681115998,0.5366763158436345,0.23186847297197696,0.1810825583474917,0.36593444026096944,0.7945967148014393,0.634710609854243,0.044401513212930364,0.0267214217898107,0.01663447358777908,0.03314577055615061,0.07212342819917342,0.01873971216334881,0.020795965628056474,0.012391077685494285,0.02340424762639032,0.030832070208319386,"[[76, 17], [13, 129]]","[0.1714538453880198, 0.08254697753793118]","[0.25154878859011903, 0.12651139719434537]","[0.17572347756627002, 0.11203013378361766]","[0.6522046379679438, 0.4569366996769353]","[0.29494635964842464, 0.18808001273056132]","[0.263737203724396, 0.12421851642445525]","[0.4297845132177646, 0.3219664093921178]","[0.9151991559605926, 0.7116734878399458]","[0.6941432478151511, 0.593675704838605]","[0.041146009767949944, 0.036287906028960426]","[0.018353736802490642, 0.02390170747053848]","[0.042394502037866065, 0.029573485611594032]","[0.11072158682408054, 0.05649606131296207]","[0.027613670138908485, 0.01898780072221655]","[0.045390347832573674, 0.027721546989228074]","[0.008613954312159423, 0.017597206032264178]","[0.012288896587864612, 0.0350619575034376]","[0.024639041696646043, 0.042015510748853555]"
3,Uniform,0.8853260869565217,0.11537378163283556,0.17380935348296522,0.1315024673503732,0.533864809858785,0.22361529898986615,0.16613984662093398,0.3612076585492033,0.7880682778628854,0.6208698470893321,0.03952478055481316,0.02535399179013266,0.015322821260798541,0.027860723311682545,0.06790000715049566,0.01780589371641042,0.01928807765226486,0.00758188170813506,0.01758556583455786,0.015713071619433788,"[[79, 14], [13, 129]]","[0.16051856485069452, 0.0854140430308057]","[0.23783396914205915, 0.1304674779717002]","[0.16409265246934265, 0.10980286845215477]","[0.6489812995341225, 0.4569329337221498]","[0.28410422376666683, 0.1827438993154546]","[0.22884862653893595, 0.12369565433822649]","[0.42187096458282597, 0.3201268775980897]","[0.9036780728558339, 0.7100991580333439]","[0.6686910293880493, 0.5891413856328194]","[0.05284325700882917, 0.023970228772995577]","[0.031895606367276806, 0.019795451736251166]","[0.03248039289554665, 0.027509718618526968]","[0.10822590499932139, 0.05461249219715771]","[0.023455663075774413, 0.024058318584604988]","[0.05614814303430575, 0.01665111052105506]","[0.013101322074214801, 0.013129983704613156]","[0.01906031966041557, 0.025415015886196]","[0.02962690597486938, 0.033580809257675044]"
4,Uniform,0.872463768115942,0.11871814361083788,0.18621031923455245,0.1353644729573184,0.5334308719016534,0.2346069274731005,0.17160995856806463,0.3657445834940386,0.7941910438026196,0.6382518853020954,0.06934828461038693,0.027881285299223596,0.01699096224042091,0.03181870936862524,0.07699415812597185,0.021813114987578985,0.025655609199221326,0.010993433165879897,0.022042269501045108,0.026630429703513852,"[[77, 16], [14, 128]]","[0.1738956393535101, 0.08336787276174827]","[0.25830390996468655, 0.1398714467100542]","[0.1712476742886442, 0.1118852394144431]","[0.6541119383094369, 0.4555078858212447]","[0.2963874719962573, 0.1952416618159374]","[0.23661670805950125, 0.12950706373381687]","[0.4296390652276699, 0.32431981554647005]","[0.9161262880307008, 0.7155062768388856]","[0.7019428901953485, 0.5965884782213162]","[0.06626926473376134, 0.03018174438240734]","[0.020392891552194592, 0.0172583542368247]","[0.032501494915904976, 0.03187753678335004]","[0.12009949274587306, 0.06131078307031681]","[0.037863909239409535, 0.020413019162201028]","[0.03520524088472668, 0.021609756561021785]","[0.012377633455048486, 0.013111568111046414]","[0.01968524078052364, 0.027557710989352315]","[0.045516173414184194, 0.02937024840601936]"
5,Uniform,0.8809782608695652,0.12151032817669678,0.18297281588124834,0.13266790341211815,0.5324909265622849,0.23353073959172974,0.17847696652657308,0.3616332434236661,0.7888799396146325,0.6289377105129811,0.06573560664228824,0.03254336419905864,0.02192252272859757,0.034353540494644834,0.0707701999533678,0.014109505361143401,0.022449177901212643,0.010117255082568213,0.016165964296272206,0.020626408667739033,"[[79, 14], [14, 128]]","[0.17871575170993978, 0.08456224867748877]","[0.25741861943225947, 0.13656352388274456]","[0.16862308169482776, 0.1104175114714961]","[0.6525260628004799, 0.45771161359898666]","[0.30007547290688147, 0.19208903082936563]","[0.25966751811524774, 0.12716785980336628]","[0.4285176919919393, 0.31991354359389595]","[0.9113270745227329, 0.7121536708625379]","[0.694474297880612, 0.5884036017378267]","[0.05137865115687943, 0.032244378236016835]","[0.041594670029851115, 0.0249580528689908]","[0.04256480603934819, 0.029776799826489665]","[0.111696114408096, 0.05684726606706763]","[0.02560234829882022, 0.015413750893015717]","[0.03838367659056091, 0.027986601217477154]","[0.013594257056424254, 0.01337507566244239]","[0.021217254862479207, 0.02282709919080304]","[0.027445585031679782, 0.025976684032513207]"
6,Uniform,0.8853260869565217,0.11772556559062863,0.17692703210229813,0.12808064756917642,0.5374720735413304,0.22851217089558656,0.16750864407284866,0.3639193562881522,0.7936440217254161,0.6404466228501594,0.0630860930063686,0.03881049664435587,0.018761938884791114,0.02472549377722548,0.06367145186071779,0.021192801863181857,0.026537061328456298,0.011487467092969305,0.02195230102183531,0.023189728386602305,"[[78, 15], [12, 130]]","[0.18205146083630658, 0.0727441328005444]","[0.2558330790403496, 0.12262180994441478]","[0.16113770491884596, 0.10563946773523672]","[0.6671272402577227, 0.45245933256765236]","[0.29039209202217037, 0.1864147208322567]","[0.2413503206694255, 0.11641809826632588]","[0.4308312329153853, 0.3185839338111166]","[0.9126745418261946, 0.7132196141463708]","[0.7018045944744, 0.5981350187158159]","[0.0820166273466472, 0.017175557288342636]","[0.03765387327881557, 0.019147175612910298]","[0.026563656707754284, 0.02655039940104474]","[0.10846209029576502, 0.05107993717968572]","[0.03013835642668606, 0.01770257160431915]","[0.05812061721170393, 0.029761322216937]","[0.012900108896201865, 0.015198971826697332]","[0.01680535044181931, 0.03177707611225987]","[0.033845959437304916, 0.030072966918753895]"
7,Uniform,0.8851449275362319,0.12008182062058481,0.179393722614683,0.12989168871195333,0.5399503294044674,0.2325710751838692,0.16907655327176027,0.36369832374941174,0.7922745644876473,0.6358702941965484,0.060278889672332976,0.02750257052302775,0.024732348948110213,0.03439436217805805,0.0677889639214049,0.01959175181666372,0.02875342273823799,0.01838556760755671,0.0312683934243986,0.036833623712179735,"[[78, 15], [12, 130]]","[0.19573601087621065, 0.06988022043620068]","[0.2577082692537781, 0.1275115546552237]","[0.1668914255719158, 0.10453331963038606]","[0.6639944410541845, 0.45772448383915965]","[0.2930376260978423, 0.19263321483047385]","[0.24359396784941714, 0.11849443805919657]","[0.43167278770616646, 0.3188945934754689]","[0.9135778973559923, 0.7117864377946239]","[0.700201395967512, 0.5930719447102539]","[0.06722876350387713, 0.021829815117951082]","[0.042181118045090685, 0.022023768220780796]","[0.037724714024194854, 0.030307195820474114]","[0.103116315183633, 0.055485949655592504]","[0.030449641769218643, 0.02032327778379057]","[0.06011986275722734, 0.027167763991830424]","[0.013269331816881074, 0.01946775110495358]","[0.01875541995909597, 0.03511978586461632]","[0.04423928735283207, 0.03624644631142005]"
8,Uniform,0.8851449275362319,0.12247831530000894,0.17852901725833853,0.1266500276317752,0.5382004679722197,0.2279608768042182,0.170742607827357,0.3649379867501349,0.7950407911592146,0.6427963575665445,0.060278889672332976,0.034305827470951296,0.025700633101939582,0.03777503849163632,0.06734814118177875,0.023202856410042286,0.03550128445235275,0.012480508997491481,0.02123522989151035,0.027711262199306606,"[[78, 15], [12, 130]]","[0.18218565149267965, 0.08256123051877837]","[0.24738136574864625, 0.13517977210510115]","[0.16003270644385786, 0.10585390579202192]","[0.6681701592849485, 0.4582677901707646]","[0.2779845054690352, 0.19608325704262292]","[0.2514809728535942, 0.11796942728434048]","[0.4302854770399083, 0.32359394361665506]","[0.9143728652245995, 0.7192527544823415]","[0.7098238979013382, 0.6005463374883112]","[0.048302229512046324, 0.031197500183121143]","[0.04739237870339305, 0.020969843024718982]","[0.05561834573069534, 0.028996600016056206]","[0.10587074748942825, 0.053463043283250106]","[0.028930397802690227, 0.023786292355152266]","[0.07853557640292175, 0.018304128449479862]","[0.016540793748068067, 0.01366933154947668]","[0.0172897733895803, 0.02827591495262428]","[0.032951687027605925, 0.03296583856872725]"
9,Uniform,0.8807971014492754,0.12245372440311186,0.1825149780917464,0.13380346304251972,0.5396322622986421,0.2330029971474427,0.17397936600196726,0.36485303893053056,0.7929699754617702,0.6305828787743301,0.0520852149068517,0.024847389262412197,0.021513115877193203,0.03142666369419327,0.07024021798032792,0.014164522367139781,0.022294502403172326,0.01347198006799747,0.027822687843945964,0.029135495178101566,"[[77, 16], [12, 130]]","[0.18139414927751696, 0.08051149158110317]","[0.25054661839349407, 0.13419170752597645]","[0.16458066498112583, 0.11177651185130093]","[0.6550453883970834, 0.4565223611282471]","[0.2909789999635916, 0.19184182235033367]","[0.24543329543674802, 0.12354598112089044]","[0.4280681101199312, 0.31994217397794183]","[0.9079558917758975, 0.7106773172588313]","[0.685215018757787, 0.5916694071431463]","[0.041144452769812746, 0.021870128160362105]","[0.03664844587521517, 0.02628273184515675]","[0.030251508468126367, 0.032705570077487825]","[0.11273152163742056, 0.05468212384895311]","[0.01786629245776465, 0.015921650786516445]","[0.04139580788929633, 0.028608484392458906]","[0.00832158971501791, 0.018051059129643214]","[0.018936554404420342, 0.03450755854300281]","[0.03360496193930138, 0.031835508591654516]"
