n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,Uniform,0.498494623655914,0.44479638009049777,0.46936947856065503,0.4909211899209557,0.6103531767736681,0.425286848918359,0.4786425788264023,0.4717660793141155,0.9618193476490393,0.4187351604843121,0.03776968348942957,0.040028996374623926,0.02724749451703981,0.04287357858837012,0.06261997702594135,0.01996038215833999,0.04744697052764478,0.014678297193160009,0.00668170726680114,0.008018153878058216,"[[126, 19, 6, 11, 2], [23, 10, 10, 11, 1], [7, 11, 8, 4, 6], [4, 10, 9, 6, 6], [5, 2, 4, 1, 1]]","[0.15905742287481367, 0.7254998139848483, 0.793521352309923, 0.7759884561054722, 0.9520833333333332]","[0.19010677786301883, 0.7518473362069804, 0.8214059813889307, 0.7820619109696374, 0.9147678889737714]","[0.23947048041669006, 0.768773030844574, 0.7793275329445677, 0.765066494514435, 0.9006163755660905]","[0.5871007716266716, 0.6533970485747864, 0.6276389735685513, 0.6353752638880119, 0.6435905924141219]","[0.26927921042947106, 0.6299241679674319, 0.5841804618865519, 0.5827226940519357, 0.6497252345536334]","[0.2156310300691347, 0.743151970969784, 0.8153476296426678, 0.7753947078156909, 0.8780205415499533]","[0.37942463634992174, 0.5601531013047901, 0.5784038366658637, 0.5914036813366016, 0.6314279668620315]","[0.9364324737975489, 0.990933347837245, 0.9921115321426965, 0.9913873806489726, 0.9898666284695696]","[0.39305146795548646, 0.4380412917189808, 0.4757901803642598, 0.4475776093783401, 0.4026697322285558]","[0.03197038842682521, 0.14168494620141775, 0.10327475097428558, 0.10872405424835296, 0.10122942177713617]","[0.027956317153921995, 0.019980844588701332, 0.029849407536791887, 0.04827725047703749, 0.044526283970420175]","[0.0396481089150239, 0.04883394276061197, 0.031090244972927075, 0.022750556901093785, 0.015035068342073967]","[0.0754016927150492, 0.03641580568915878, 0.0990563311110955, 0.07462221174809885, 0.10578975754499971]","[0.01849601508570675, 0.03025446302614248, 0.03481893151253226, 0.022544727171016205, 0.013792516695605694]","[0.045896803617578946, 0.06611457295213985, 0.044038267451966796, 0.11001175300939739, 0.10685777992327224]","[0.015444580520543441, 0.02015364589193737, 0.010970424601988682, 0.031310793472413834, 0.018342212033604793]","[0.010345599350437272, 0.002414993757406933, 0.0020421632778555732, 0.005099524496028313, 0.010170290927720444]","[0.009029786816454128, 0.009570068827966184, 0.015271030822158265, 0.02333926374413246, 0.052410158495430355]"
9,Uniform,0.5572043010752689,0.4495717517776342,0.47201572936867053,0.4952298174195075,0.6169848473726949,0.42614377773377327,0.4837028048398847,0.47422731335903157,0.9641601509460095,0.41919686883629187,0.06834853853148236,0.061631705727200996,0.034198577009300755,0.031099133154955796,0.06657855822472876,0.015296710341198186,0.03965646351996152,0.0173089270720143,0.006681763171125001,0.007136100994633338,"[[144, 12, 5, 3, 0], [27, 10, 11, 6, 1], [11, 10, 9, 6, 0], [2, 14, 10, 6, 3], [3, 1, 3, 6, 0]]","[0.1606825879257539, 0.7496689454076819, 0.8579000525336731, 0.7287293755750317, 0.9682900432900432]","[0.19190677659777275, 0.762440532559505, 0.8216744893037996, 0.7959264478713701, 0.9498857906799083]","[0.25042651749134753, 0.7700623290384221, 0.7712234356281533, 0.7729018657010297, 0.9056749631052657]","[0.593429043634717, 0.6612902750021363, 0.6330379393287336, 0.631580674290823, 0.6503313656464917]","[0.2699712144815837, 0.6322441036990386, 0.5868450302795356, 0.5819983505839145, 0.6500404369321433]","[0.21685297523508865, 0.7752306636296475, 0.8206201247666766, 0.7835101425077161, 0.9037927595280536]","[0.38142065213095894, 0.5702022321828579, 0.5823360246219977, 0.5851152044621691, 0.6478967754697555]","[0.9407146491406209, 0.9920928177779981, 0.9922769186545517, 0.9902087092943767, 0.9944490068754774]","[0.39631355428522325, 0.428469236861063, 0.47532223368106996, 0.45101773840568915, 0.4275198208654091]","[0.036401285246223866, 0.11726198959508069, 0.049532043212247884, 0.13706543951759756, 0.05055873512479783]","[0.028468979354448656, 0.022586702996351883, 0.044505444585552674, 0.03071877883182296, 0.03444161093880404]","[0.033884153366373106, 0.046136692003591155, 0.0320128613385476, 0.03168776298191028, 0.014933975601493987]","[0.07883536727919566, 0.037081717725452504, 0.11146990872881567, 0.07723460540313246, 0.07711950129941349]","[0.015947451116366036, 0.020885310271744634, 0.024908746258858184, 0.020463524837064487, 0.015479359097046478]","[0.04018627422666669, 0.038431668603836226, 0.0717797674256096, 0.02830419651729722, 0.08852391419463133]","[0.01884489580539439, 0.015579963694672565, 0.02020169921026011, 0.01957826368672231, 0.02072640121080326]","[0.009935937451916708, 0.0028758372522787582, 0.00292147090732239, 0.002401600185341413, 0.006466205655139077]","[0.010012050845631303, 0.011254458034634039, 0.018320039330989107, 0.01075944797704047, 0.033531068478558156]"
19,Uniform,0.5539784946236559,0.4624138116785176,0.47915023701788406,0.5010052005472809,0.6149261121877476,0.42984345269144847,0.5006775306276356,0.47944141516795336,0.9641428889403232,0.4194476903187311,0.06967395303854824,0.0387037239248172,0.0258600804075853,0.04516575387564123,0.0615836512309644,0.018264879099101104,0.0313365324683717,0.012918869532619812,0.004383842835076681,0.004393864554243479,"[[146, 10, 3, 4, 1], [30, 8, 7, 8, 2], [11, 11, 7, 7, 0], [3, 15, 9, 6, 2], [1, 4, 2, 5, 1]]","[0.16380624561789484, 0.7521160948934906, 0.8310472793335697, 0.7666965734584157, 0.9733333333333334]","[0.1979588766290758, 0.7532369357145166, 0.8308604956871084, 0.7825132629151581, 0.9190170940170939]","[0.25210902528908286, 0.7645918823700943, 0.7788321224931477, 0.7633298064833661, 0.9007160266946752]","[0.5912515178653861, 0.6566517591705837, 0.6414377837664128, 0.6277172951982798, 0.6567716450216451]","[0.2723457944791172, 0.6290531699556458, 0.5867930655782481, 0.5826654383436825, 0.6495798893495336]","[0.22568019875816442, 0.7804734411270052, 0.8480190461420302, 0.782499948045489, 0.9149572649572649]","[0.38621162586055, 0.5649759892231208, 0.5891219417254265, 0.5883450992933024, 0.6360455575784492]","[0.9395175375773779, 0.9922196318913816, 0.9927646467885112, 0.9909088632276228, 0.9933721833721834]","[0.399531820942903, 0.4279970085974555, 0.4661179631472746, 0.4483738908685718, 0.4112976660092046]","[0.03609266939524418, 0.08529668460246191, 0.0688432113379009, 0.13935248666687236, 0.061101009266077845]","[0.02436143950235768, 0.03020069661705451, 0.032412569092907836, 0.029122496635560984, 0.04503091445473223]","[0.04087406923115829, 0.0625320930092169, 0.026494893822644788, 0.02798681795679049, 0.018855356880989865]","[0.07683897948002424, 0.04202142087188573, 0.08559864756293166, 0.0719154014747516, 0.09970079868962986]","[0.018005523466091047, 0.02407761044516641, 0.02823437806185964, 0.021212887261760245, 0.015480972442457412]","[0.03830674861357513, 0.05492497169777348, 0.04909185448543624, 0.05400814696217419, 0.06674277925591436]","[0.015051587710816812, 0.026606925372951246, 0.015515640331063413, 0.01916732822316377, 0.028100194350900633]","[0.007305778902416838, 0.00257968605468973, 0.002977853282676154, 0.0028479410920527713, 0.0063359684964378795]","[0.00796823638755293, 0.011077725930691307, 0.012788892360932043, 0.013458285712550743, 0.0375325187972549]"
29,Uniform,0.5540860215053763,0.4605661495367378,0.47333629605688426,0.48871571822133797,0.6138265656809614,0.42293004062574974,0.49722653805111783,0.47660909469930957,0.9623966360266568,0.41823903377919214,0.057302961963373464,0.04323900324727605,0.03339810511768809,0.0442438685903418,0.06035433121013244,0.018584926096729064,0.04118591304751773,0.013405311447924192,0.00615431158995767,0.00937766375302926,"[[146, 12, 3, 3, 0], [31, 6, 8, 9, 1], [12, 9, 9, 6, 0], [2, 16, 8, 6, 3], [2, 3, 2, 5, 1]]","[0.170106080150879, 0.7769208245842248, 0.8384482465580982, 0.7970869647593786, 0.9534848484848484]","[0.20191494134103474, 0.7716369796313254, 0.8297481513154409, 0.7848516904551388, 0.9295395584807349]","[0.25123472268715696, 0.7690813103530971, 0.7715101014383556, 0.7614431073195688, 0.9029837101109462]","[0.5894404005812504, 0.6631452367985411, 0.622683114037143, 0.6354481729955868, 0.615679771209183]","[0.2740246543644156, 0.6259738111286406, 0.5796439075568546, 0.5822497930403783, 0.6504221821594554]","[0.24149186772121176, 0.7918247217780056, 0.8437483619080313, 0.7932076219597771, 0.8456311988664929]","[0.387306825546082, 0.5728308647990752, 0.5837804803123707, 0.5901369730532371, 0.6430307803932755]","[0.9378466417404179, 0.9938367874682823, 0.9940958883899504, 0.9905568576512682, 0.9885530779381047]","[0.3959599770728449, 0.43089076619709044, 0.47711324684502116, 0.4406876613292396, 0.42438304342716104]","[0.031000806469536034, 0.11654501548513334, 0.10295699641386209, 0.08844369071084175, 0.07639744922400146]","[0.02624888804428836, 0.024861931387987375, 0.037403084201578826, 0.03770335379402683, 0.04667256348963051]","[0.04273413329997215, 0.04136288661675884, 0.03717476431679771, 0.02314432007321496, 0.020652813009221005]","[0.07339209174253569, 0.041926701065834626, 0.08887804908433962, 0.07934290237231774, 0.09742198661940972]","[0.015122740119799166, 0.01656986024998308, 0.03413154330783593, 0.025338469324346677, 0.017444298784815387]","[0.046680291526632896, 0.0512174168285748, 0.04036247323526037, 0.04728108854760501, 0.10082472581741843]","[0.01846304075429402, 0.015697202804501743, 0.018910738672032093, 0.024198492209680827, 0.03767446468502537]","[0.009872243429393822, 0.002107323456544972, 0.0028115445759427414, 0.002840856030926222, 0.008524608949535677]","[0.009357234562873793, 0.010237062944846768, 0.011132768835474196, 0.012705731483510741, 0.029837024161899855]"
39,Uniform,0.5576344086021505,0.4627599116569705,0.4787664296487826,0.5015300368917196,0.6219710775649689,0.42965787089040103,0.49208475377330424,0.47686728520202537,0.9632862761478261,0.4223664132812889,0.042732673342535686,0.025172617733297608,0.013668945839451397,0.03121361629616332,0.06108166167140782,0.014798114730503307,0.0301442864312964,0.009658736915330191,0.006058400951192453,0.009447953866451548,"[[146, 11, 2, 4, 1], [31, 6, 7, 10, 1], [11, 10, 10, 5, 0], [2, 18, 6, 7, 2], [3, 2, 3, 5, 0]]","[0.15405033127981854, 0.7820276318074401, 0.8462820753265932, 0.7622314255698572, 0.9696886446886447]","[0.19231015566384652, 0.7584098494743808, 0.8254768220602532, 0.7789970517306855, 0.9325527805527807]","[0.24926453677422286, 0.7774487939783443, 0.7722534063322886, 0.7616617785198212, 0.899291489238597]","[0.5943466503029434, 0.674391438793928, 0.6348707116299461, 0.6413835160688746, 0.6608305583305583]","[0.2703816081777372, 0.6266034142103611, 0.5883312483415102, 0.5830645345241212, 0.6496575708859622]","[0.2303718407382526, 0.7600784270731353, 0.8154276764189354, 0.7503588085056669, 0.9009004884004884]","[0.3789775271766799, 0.56796960791109, 0.5900928591986319, 0.588646985721897, 0.6427788478585583]","[0.9380497869232457, 0.991888482856455, 0.9920923827782666, 0.9900406878540263, 0.9931350467714106]","[0.39775079005378694, 0.4359830610884896, 0.4748126978987929, 0.45253757928286936, 0.4186285189169805]","[0.028599893344983085, 0.08319474036445121, 0.1090628531108033, 0.13209645461413308, 0.049073398970268925]","[0.024087124757995283, 0.030188816204916386, 0.035263057150530984, 0.041715744578150735, 0.032560591933643794]","[0.03821090192214963, 0.03292330690529608, 0.01700596049243146, 0.0202407815062411, 0.015362207540605861]","[0.07322753102121861, 0.0423976340564861, 0.0831367584905361, 0.08491908388165478, 0.12397251544762293]","[0.01615555239084871, 0.01965948149563827, 0.029249229041875786, 0.02317369682872467, 0.014465809599701568]","[0.05080066638596123, 0.07025245635987015, 0.04533934715853304, 0.057145978596073885, 0.06005748557309236]","[0.015614132031860723, 0.019444185893089466, 0.00926219718957172, 0.019299130443641236, 0.026678714649333385]","[0.010000118873601412, 0.0030085590951545796, 0.0025103836938487763, 0.0035774481994807796, 0.0075201139231770965]","[0.01228078235942293, 0.014192185881598254, 0.008262469529113251, 0.012158914282355198, 0.04560485682495586]"
49,Uniform,0.5509677419354839,0.44518153415212236,0.4665139517345399,0.48632946895993284,0.6115809775586764,0.42081242731338603,0.4817144357743097,0.47066457145346396,0.9625201451431697,0.42100723795435335,0.046393831047407616,0.03150866651958238,0.02158413518825403,0.039685891660740956,0.062012822725096305,0.01079302730165554,0.024930658756351348,0.009001088200851003,0.005414300899420881,0.00942083149609824,"[[145, 15, 2, 2, 0], [31, 7, 8, 8, 1], [14, 9, 8, 4, 1], [3, 17, 7, 7, 1], [3, 2, 3, 5, 0]]","[0.15037406498864928, 0.7727567338051847, 0.8382727763795847, 0.7871823524620014, 0.9541666666666668]","[0.1991050785252924, 0.7579807436839495, 0.8205353348848441, 0.799891210971192, 0.9202424242424241]","[0.24826777052559024, 0.7697678689566462, 0.7771369360274403, 0.767322449620073, 0.9032630267425107]","[0.5806170312371102, 0.6709863538447174, 0.6322883403724217, 0.6448194044889133, 0.6428324453324453]","[0.27227353983231245, 0.623096646646947, 0.5889580639690928, 0.5829103148432384, 0.6508322175637906]","[0.22610563825215277, 0.7494874789760446, 0.8154738144715458, 0.8273731568303436, 0.8829124579124581]","[0.3807114531687913, 0.5600137005858148, 0.5764629289793717, 0.6059212195918346, 0.6321242600349065]","[0.9392574674806273, 0.9914012339233957, 0.9916800881125672, 0.9925243935697445, 0.9918484848484848]","[0.39953088516327656, 0.4354788401654709, 0.4759756455710855, 0.45526362931160136, 0.40205176767676765]","[0.01854511710111479, 0.09798093653547774, 0.09872506115957806, 0.13000753660735279, 0.10282468899377555]","[0.02249612210158313, 0.025396304064941668, 0.03221370975045262, 0.04738128149097648, 0.040478497052134146]","[0.03916518559965125, 0.04480737425201062, 0.03335088974902818, 0.019376844393756747, 0.015179417769996347]","[0.07513245408240783, 0.05198993610833056, 0.10603061270166417, 0.07780188800833537, 0.0989280197440364]","[0.01685179308515815, 0.0279306954859459, 0.024711073186092558, 0.021834160496293928, 0.014955182441451774]","[0.030750648820497734, 0.0642247194842316, 0.04453358282355124, 0.026414643893431913, 0.06640313052839984]","[0.010860261350185321, 0.018251569875064516, 0.013392286862766807, 0.01073311636725858, 0.02571464412259771]","[0.008254129806907682, 0.00271150693351268, 0.0024291310378999707, 0.0023921850847721743, 0.0066796705130906355]","[0.013734860380760681, 0.017290223752279815, 0.01600079245742417, 0.01404020340205511, 0.037535798028745494]"
59,Uniform,0.5606451612903226,0.453599709114415,0.47055780004309417,0.4949516592301566,0.6114145895044409,0.4270877199187746,0.4815643661310678,0.47243419147512195,0.9620948359933331,0.42052237685014837,0.057274146416968076,0.04211795416762171,0.01771268894268131,0.03973718252639187,0.06343939905989403,0.012606049734719668,0.018279087083830827,0.009658192854493541,0.004789380424076149,0.007433187586605158,"[[147, 10, 2, 4, 1], [31, 8, 8, 7, 1], [14, 6, 10, 5, 1], [4, 16, 8, 5, 2], [2, 3, 3, 5, 0]]","[0.16074157681024304, 0.7371671093635112, 0.8324115185385708, 0.7750976224454484, 0.8878787878787879]","[0.1935269378938964, 0.7583322288227945, 0.8112808467444884, 0.7688528938746331, 0.9156855203619912]","[0.24749183580935846, 0.7692954739954827, 0.7683837251859101, 0.7645126344577158, 0.8992098815368383]","[0.586912761644977, 0.6446489991787165, 0.6394674711406163, 0.6287553671684106, 0.6257580550762369]","[0.2718947053389851, 0.621411563297445, 0.5835955830880774, 0.5857337220912624, 0.6488668392781863]","[0.22897145395254537, 0.7519304404810357, 0.7927176150409656, 0.748911320346103, 0.8338432400932401]","[0.3835383424337635, 0.5628722810210497, 0.5711413432958654, 0.5747146136655624, 0.6342824598583827]","[0.9372372249451786, 0.9917657446775692, 0.9915236096576747, 0.9885609722599906, 0.9873204068658614]","[0.40027999714058904, 0.4322946926077743, 0.4773586156779534, 0.4382463594976137, 0.40123288664578255]","[0.025431788203775296, 0.15055277446260587, 0.0903714110731168, 0.11945867827969524, 0.189387878690906]","[0.017850273611778225, 0.022021848433711265, 0.032122020168514856, 0.02811802964462624, 0.04760564039587382]","[0.03599996664983437, 0.03977593576754689, 0.033238298163382404, 0.031028588726772582, 0.014492851924549206]","[0.07516616354066713, 0.043101765352699835, 0.09548315478305171, 0.07854411077030694, 0.10869825730856017]","[0.014227999431325645, 0.022545717468556988, 0.02575298378262084, 0.024459831170952157, 0.01635296529438082]","[0.02372639621577327, 0.048927154596696165, 0.054758979814313866, 0.07977755354524782, 0.16423156453492016]","[0.008993081537014619, 0.01731489003188755, 0.018543091401587972, 0.026673436604189114, 0.036435048643359044]","[0.00847328840724797, 0.0014098872250233937, 0.0023444691809551737, 0.003913160739970117, 0.014026673617657795]","[0.0134507874695345, 0.014398428180565685, 0.01043426415599418, 0.009330247984120235, 0.03836390624819491]"
69,Uniform,0.5704301075268817,0.44994074552898083,0.4670429325576385,0.4923730354222524,0.6079487894314979,0.4228256808135793,0.4751654860662214,0.4708407860514816,0.9622890615556126,0.4200026312300068,0.06962498211235135,0.06006220196224665,0.031520350016266484,0.03924094694242891,0.06463096454914548,0.019836699149971108,0.04148772160482707,0.013252432531158728,0.006646176631740137,0.00751759794545914,"[[149, 8, 2, 4, 1], [31, 8, 8, 7, 1], [12, 8, 9, 6, 1], [3, 14, 8, 7, 3], [2, 3, 3, 5, 0]]","[0.1547480821648686, 0.7349130896776884, 0.8415716144810972, 0.7849738379436655, 0.9621753246753247]","[0.19147534794855342, 0.7517216196366072, 0.8183211648556477, 0.778271194897057, 0.9385344100344101]","[0.2444207263462305, 0.7739251078947453, 0.7894734607547409, 0.7640715786561824, 0.9078422675618366]","[0.5884387088731711, 0.6542841470726973, 0.6100694500232677, 0.6188823700246114, 0.6165918803418803]","[0.26905744332675524, 0.6249770311621121, 0.5823342423129231, 0.5795320012399523, 0.6496277600457543]","[0.21076622023339908, 0.7722320538573929, 0.8110290431346465, 0.7607485092732937, 0.8793335368335369]","[0.37899317287407147, 0.56355066116957, 0.5843565984765992, 0.5741975492297537, 0.6425186624036848]","[0.9377133726128438, 0.9927278021396312, 0.9921385389713044, 0.9887893492769745, 0.9905505252323433]","[0.3995729381657511, 0.42847898856684485, 0.4788076811526746, 0.44454227909027316, 0.4185809703117395]","[0.027731253767490242, 0.17347186805933246, 0.09429883729111489, 0.11723715389145263, 0.06283138660082627]","[0.022843803843657428, 0.02746325517806903, 0.02988990374613365, 0.04200176074652116, 0.030293383545089786]","[0.03919157890517788, 0.03344079766194384, 0.027208262376041344, 0.026958410673688035, 0.019436979953189996]","[0.08149866541256579, 0.04084919649623037, 0.08583496569597691, 0.09436961434667791, 0.07977272521183086]","[0.020095334192918816, 0.02819748209624733, 0.028196130196110485, 0.025969629465178754, 0.01477564761641493]","[0.042276688558212816, 0.046819118908232565, 0.06931464847025434, 0.0585694341794678, 0.07309598824074517]","[0.016690250764664204, 0.019141319583487866, 0.022287436295496683, 0.022552897267384613, 0.026394064271458084]","[0.010286732702785918, 0.0022925659469695274, 0.0028250460596708524, 0.004045372898789915, 0.007559264090329745]","[0.010033743850581292, 0.014945619204063025, 0.019710684909464014, 0.009630361887450919, 0.022317844315452178]"
79,Uniform,0.5474193548387097,0.4459033613445378,0.4605938914027149,0.4894860143845876,0.6163064531891294,0.4221298903232526,0.4786927238844255,0.471518313659529,0.960551653916049,0.4167728481925314,0.06753291224051844,0.04768474411936741,0.021886097755273635,0.03021819541235595,0.06533910172817,0.01690795338785372,0.024138245209720948,0.008354435223022589,0.0032715881170162294,0.00696619246935821,"[[146, 11, 2, 4, 1], [31, 7, 8, 8, 1], [13, 9, 8, 5, 1], [4, 14, 10, 5, 2], [2, 2, 3, 6, 0]]","[0.16186289212473012, 0.7212612299469766, 0.8239108035035454, 0.7639369652091517, 0.9748015873015874]","[0.1838173327105196, 0.7454172519094169, 0.8085959448556223, 0.7813820473275908, 0.9307362914862916]","[0.24315736173454822, 0.7751716252017354, 0.7671288780808989, 0.7589639016516372, 0.9002732139013963]","[0.5928910825766759, 0.6575956606927134, 0.6301861399129545, 0.6304101882137998, 0.6340887857933313]","[0.26821888942373723, 0.6229895335118655, 0.5851941221129211, 0.5754396169368741, 0.6505397035840739]","[0.20968787315176335, 0.7561902846015736, 0.8160586090035012, 0.7976983457942475, 0.9074170274170272]","[0.38200226278394894, 0.5629537575118924, 0.5758232826863909, 0.5768205355451979, 0.6388735874352575]","[0.9345115681899202, 0.9914257644010188, 0.9914360615501681, 0.9896951162527188, 0.9931057326511873]","[0.39582895634810694, 0.4346820854681067, 0.4729804369391063, 0.4392936710752702, 0.39724792568542566]","[0.04279889325102261, 0.14615860161572067, 0.08283357097974266, 0.15731152135457413, 0.04178978409159071]","[0.018797913500826175, 0.03780022765976469, 0.03856701457868042, 0.02747957360312041, 0.04890251123870377]","[0.03583320696155621, 0.021233432253773533, 0.025285550013815553, 0.029218709146073732, 0.016224577976033452]","[0.07960581748451392, 0.04098792246120177, 0.08317612757569376, 0.08849085099466587, 0.08087542139987973]","[0.018031886743628895, 0.021079773239376466, 0.027269525609248536, 0.02409574189899288, 0.01522169494477083]","[0.029171488661708784, 0.05497872050428909, 0.050997670376423956, 0.1004471244058143, 0.09079043568960557]","[0.00949463790460135, 0.019760470807532734, 0.025152967890309328, 0.034063653663363364, 0.024282543001302993]","[0.0062774319041500725, 0.0029727570671091623, 0.0038843206835307855, 0.0057833802027086965, 0.008094805620101054]","[0.009942889163308804, 0.012691161951401445, 0.016997103696158603, 0.018527522439104098, 0.04021858318849701]"
89,Uniform,0.5540860215053763,0.4455599547511312,0.4665363068304245,0.49318590283675084,0.6163885253760819,0.42431265971433996,0.4887170124460041,0.47392606981558216,0.9612704797866705,0.41796933270349557,0.05757582303857131,0.04526094609441335,0.027478333192833163,0.044612879288362745,0.0631222452975811,0.015018327146326166,0.03389784612153387,0.015112636465257878,0.007180524335216877,0.005816241003047583,"[[147, 10, 2, 4, 1], [31, 7, 8, 8, 1], [11, 9, 9, 6, 1], [4, 14, 10, 5, 2], [2, 2, 3, 6, 0]]","[0.14082435943231747, 0.7693938544925716, 0.8502825674695002, 0.7739642977561937, 0.9611111111111112]","[0.18367863022383915, 0.7602599501450081, 0.8345553545735035, 0.7754499406268112, 0.9424819624819625]","[0.24619207273750982, 0.7719778181173619, 0.7746492219359546, 0.7643368605517961, 0.9065953269897514]","[0.5884668128866932, 0.6663383441322827, 0.642797188439743, 0.6335550544635663, 0.6470745920745922]","[0.26680850583367616, 0.6257932255093135, 0.5875672336053626, 0.583734766748813, 0.6515558570619454]","[0.22285695264209301, 0.7816920009319652, 0.8303342599122997, 0.751806853803596, 0.9227910052910053]","[0.3788861588374086, 0.5656328934211458, 0.591038162125966, 0.5856893684821249, 0.6651066109991317]","[0.9352488026184658, 0.9921515508784747, 0.9935290333823243, 0.9890344352879479, 0.9945147907647908]","[0.3975030989532465, 0.43442780173006934, 0.4708210573972127, 0.4389629967580432, 0.4013993645243644]","[0.02967760367213214, 0.11267358291803296, 0.09500433378081896, 0.12141354972259065, 0.09953596037316066]","[0.022320294143187966, 0.022125985798063796, 0.02821338789353587, 0.04440592118764342, 0.034206695421458835]","[0.04198135244145447, 0.036176096626990666, 0.019154938722090228, 0.030842016752359414, 0.020962555138911723]","[0.0810649094010758, 0.047558963610486074, 0.09274282783611601, 0.09180347347081919, 0.0986218657995101]","[0.0171200088074131, 0.02187022297733679, 0.020377038240824406, 0.022598357808410578, 0.015202899998684074]","[0.032957103869262365, 0.06821410211295896, 0.04681673902000043, 0.09655204188812563, 0.0676805733642819]","[0.015147901060091607, 0.016100510991961203, 0.021871958782995502, 0.025210043357797682, 0.025234425114335695]","[0.010399979685779874, 0.0027621534188634407, 0.0032475824718592072, 0.004519675156631361, 0.006225282671052089]","[0.007802779415117847, 0.009608907628153314, 0.011560510241088761, 0.010316963433134922, 0.02987254286278653]"
