n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,Uniform,0.6131578947368421,0.30419103313840157,0.4255945419103314,0.37081710664300954,0.5080314974774975,0.4529412656529403,0.41853360252483063,0.46598108843065145,0.9968167094715538,0.4488845570716916,0.04286394131671709,0.02966071263839943,0.007791881394864559,0.012062172426735523,0.04439184502036318,0.006730454636952777,0.01587016480423378,0.007381749815531926,0.00018746205713856482,0.006844446330899755,"[[411, 218], [223, 288]]","[0.26200530840757164, 0.3557930421170591]","[0.41445213917293255, 0.4391895793217073]","[0.33354143434495065, 0.41675398152218507]","[0.4434144116703832, 0.5873845743631471]","[0.4127515765107139, 0.5022202422225724]","[0.38755105904155607, 0.45679021839010703]","[0.4578146631516473, 0.4759285932642131]","[0.9966314916109642, 0.9970452829456183]","[0.44329833557773135, 0.45573941070141516]","[0.02353361949476637, 0.03574096098223706]","[0.005926399482179073, 0.014505713917808626]","[0.015330003446217301, 0.010116791020155535]","[0.03879598984069857, 0.0469054098600262]","[0.004384408399703731, 0.007656093753751147]","[0.023747901955157823, 0.014338575619608863]","[0.008218290771974009, 0.011855629629338968]","[0.00022247186426228502, 0.00022029917301681003]","[0.007869672637130565, 0.00840495252407156]"
9,Uniform,0.6464912280701754,0.300682261208577,0.4215399610136452,0.37255454824550316,0.5052454202094727,0.4522855504463255,0.4181690336953495,0.46282332604307364,0.9967631701072589,0.45075806800953,0.04010220859881567,0.034853046485213736,0.01348344643997087,0.015098755077344943,0.04251983207369119,0.006648956766115833,0.016862676072892907,0.010533014475181818,0.00024196001968582612,0.004181833631940922,"[[425, 204], [199, 312]]","[0.25877677961399603, 0.3527575251338681]","[0.40885312829434584, 0.4372997164122562]","[0.33424346480365247, 0.42031591578759564]","[0.4394330349773165, 0.5871722660887227]","[0.4095765275250427, 0.5057111853021767]","[0.39125669392003165, 0.4515755872998148]","[0.4566725510274476, 0.4705065612204292]","[0.9966399460590616, 0.9969150577100132]","[0.44355533707329364, 0.45961920722980115]","[0.043231266997013774, 0.03607552100360268]","[0.016408944534832007, 0.016280945187659702]","[0.021194815907213546, 0.009441154325349716]","[0.03718123254715152, 0.047889034202739385]","[0.009935270066731634, 0.003316166297374814]","[0.028645434106643834, 0.02710257999961159]","[0.010254147248222809, 0.0167619638269482]","[0.0002646522238163469, 0.00032951722989959565]","[0.006535881185982609, 0.00420851492372619]"
19,Uniform,0.6359649122807018,0.3009746588693957,0.42592592592592593,0.37090712113578356,0.5077282747391945,0.4511146576334474,0.4224651907546644,0.46869977305042204,0.9967991351623379,0.4480723413471951,0.053317492774299646,0.02760118890077464,0.009380609901867667,0.007683078098100195,0.041618139916824504,0.0033756934617693328,0.013872944560055223,0.009177394734791405,0.0001870603166804832,0.005426130602222122,"[[431, 198], [217, 294]]","[0.26352704275373023, 0.34813958373879594]","[0.41970835147686314, 0.43339101736948804]","[0.33504784499325313, 0.41608834023640134]","[0.44257575877028826, 0.5897035416250771]","[0.4135624523803588, 0.4983457289687661]","[0.40500009208245846, 0.44367826421480505]","[0.464329736450927, 0.4740480446031456]","[0.9966979533964931, 0.9969191749889991]","[0.4420563002815701, 0.4557590981034669]","[0.024904999468650674, 0.03262035703148103]","[0.009056839971309797, 0.014197506523598196]","[0.0074152671857883315, 0.008877421677090252]","[0.03632060015386384, 0.04434630205246938]","[0.00569544607628182, 0.004430819988776413]","[0.018520398947558372, 0.02328297553870297]","[0.00836780056835398, 0.014220798263925817]","[0.0001960941353164857, 0.0002684844514357431]","[0.005972841698224444, 0.005097266105048908]"
29,Uniform,0.6421052631578947,0.3091617933723197,0.4295711500974659,0.37710613236885854,0.5088187080417967,0.452829642408184,0.4296581732108048,0.4693530035804826,0.996875136578345,0.45050898852068444,0.04352700366299039,0.03378442524311667,0.010308698802095213,0.009160085033379102,0.040397496499108294,0.006496159052486962,0.01595354642314671,0.006282000478141969,0.00020569495237035237,0.00484392597887095,"[[436, 193], [215, 296]]","[0.2649441934006562, 0.36437489236970794]","[0.4172092044550181, 0.4451412360654933]","[0.3428185837840148, 0.4199563610180614]","[0.4486960990982626, 0.5840140820346995]","[0.41455687706329486, 0.5006009522547348]","[0.40337928846541066, 0.46287968015884695]","[0.4600816346014323, 0.48107940046755815]","[0.9966994096904689, 0.9970947664101317]","[0.44440057880007233, 0.4583922694964321]","[0.035278368558658076, 0.03279607477811775]","[0.012491675233738404, 0.013650478494744886]","[0.009250885594349579, 0.011235988556333827]","[0.038476036749082156, 0.041400297006659544]","[0.005972383648184075, 0.006970933496531181]","[0.021752648991775585, 0.017273432330482667]","[0.009877296823334835, 0.008959940313494142]","[0.00035097894773494646, 0.0002245712764494207]","[0.008085892684737686, 0.008300723217490242]"
39,Uniform,0.6464912280701754,0.30935672514619883,0.42777777777777776,0.37514083743036475,0.5092976876989851,0.45366922819374045,0.42738907453819736,0.46824585388261275,0.9967683618664577,0.44975092051115445,0.03813520196365641,0.028293846905162037,0.00797144114975911,0.00930336191817334,0.046359308578674055,0.006229024023766328,0.011192344324861674,0.011065780909175997,0.0002060371909032273,0.004434679857897993,"[[436, 193], [210, 301]]","[0.27701724272351635, 0.35034857586856866]","[0.4181864047540357, 0.4400379241534755]","[0.34193531269299055, 0.41723229280573404]","[0.4476997163830324, 0.5873249173041402]","[0.41502175671499264, 0.502681517913915]","[0.40268422602807147, 0.45875014658584734]","[0.462395369829664, 0.4755958562064868]","[0.9965944774486559, 0.996993751142829]","[0.44140489884637607, 0.46032629108182876]","[0.034222169041576295, 0.029770630536475957]","[0.005125600111263769, 0.01240410259657494]","[0.012269672636111967, 0.008590338721332151]","[0.03900491694541048, 0.047348443473406845]","[0.006578052182559175, 0.0069131697694238955]","[0.01090520375105779, 0.02439155555674727]","[0.008006972882100893, 0.018132823502659386]","[0.00020461086590322817, 0.0002893777003246981]","[0.005094953898200824, 0.006794869942676697]"
49,Uniform,0.643859649122807,0.3063352826510721,0.4303703703703704,0.37362722977708274,0.5110478229821808,0.4536058213767147,0.4292703982177667,0.4681592309220931,0.9968556259667851,0.44768247779943693,0.05067851238197258,0.033546928282048846,0.009547810552811,0.01168219729356455,0.04166204880281391,0.0043717568338873455,0.016440253915334685,0.007472174901723648,0.00018660600590900657,0.005848053489060842,"[[437, 192], [214, 297]]","[0.2649233117926729, 0.3559732366041164]","[0.4208357121931578, 0.44172684078258495]","[0.33656903973224217, 0.41811847594374846]","[0.4444084971978562, 0.5909347985439481]","[0.414543463979698, 0.5005045844421464]","[0.4027059014773444, 0.4608912209842287]","[0.4585933912216972, 0.4794259912243941]","[0.9966453808260155, 0.9971030570225897]","[0.438961349371984, 0.4581875404248098]","[0.039790424495912545, 0.030087249385472935]","[0.01347506577671816, 0.009721817100625649]","[0.01470137767149332, 0.00845478156913637]","[0.038599927557651424, 0.04304748078529224]","[0.006163652279869165, 0.0037735763709287194]","[0.021901733810811612, 0.018053078179410424]","[0.010115652105539791, 0.009971880330737332]","[0.0003120767858969501, 0.00020058317316188425]","[0.007144278863182018, 0.006243668542793694]"
59,Uniform,0.6464912280701754,0.3031189083820663,0.4262378167641326,0.3751065776067887,0.5080677434902647,0.45150755019011524,0.4220094217024041,0.4650834224299515,0.9968248702797406,0.44883040935672514,0.04454628221897813,0.030862487555654097,0.007677331814050174,0.010555872587629743,0.04553407090256934,0.004034685518198319,0.011582335333659858,0.008120549302332736,0.00016015864519626537,0.005903894543349617,"[[434, 195], [208, 303]]","[0.261610814503268, 0.35432116075934195]","[0.4139755620205273, 0.4412988461069016]","[0.3391798659153156, 0.41948689281882456]","[0.4433652964423139, 0.5880834314386283]","[0.41161092621080525, 0.500870209887162]","[0.3940017902029666, 0.45676078468781867]","[0.4581492191227715, 0.47350719061409896]","[0.9966474335200376, 0.9970432284865911]","[0.44257949549132325, 0.45656216814896916]","[0.03192139368553945, 0.037164451756850195]","[0.01015228990710467, 0.011065445548530652]","[0.012698876578934058, 0.011564407315592174]","[0.041234190680103484, 0.046005010676510916]","[0.0058941753002895525, 0.0037505092524458723]","[0.012620764052734384, 0.02351864204133433]","[0.010080226209577015, 0.012270304576692294]","[0.00022434737475072813, 0.00021883654114492857]","[0.006651708181114652, 0.009848926049956398]"
69,Uniform,0.6429824561403509,0.30682261208577,0.42933723196881096,0.3762138292901787,0.5110896632718565,0.45208896694218303,0.42556321358952937,0.4677335573677244,0.9968086251452671,0.45433181719731425,0.038801951807096204,0.0326532541239429,0.008216091000275842,0.009521903525246355,0.046598663097325126,0.00536043129272524,0.012143045262338734,0.010036266231862028,0.00016594547482017956,0.0064687926249814886,"[[429, 200], [207, 304]]","[0.2623916468633033, 0.3618871118505091]","[0.41515673856036006, 0.44707545537034166]","[0.3410552471407411, 0.4201088914647153]","[0.44939574247703806, 0.5875507224322059]","[0.4115691393220574, 0.5025059108905389]","[0.3969072182561189, 0.46076051754953723]","[0.4575399117578409, 0.4804463629811709]","[0.9965838344861165, 0.9970898870393524]","[0.4469520245683626, 0.46343463818878783]","[0.03575457578553745, 0.035017683333171803]","[0.010433398744068694, 0.010964343727860804]","[0.014256403197899767, 0.009123850682776626]","[0.04045163585044489, 0.04940218878580789]","[0.008528680138186591, 0.006328467787304419]","[0.012536284506642851, 0.016704824927895323]","[0.011366861830952936, 0.011943040292015917]","[0.00020795270289276688, 0.00020093702992665473]","[0.007703610857359231, 0.007187656513161912]"
79,Uniform,0.6403508771929824,0.31491228070175437,0.43514619883040934,0.37661823228704727,0.5096006807653033,0.4531434799901096,0.43307992202729045,0.47293468139669825,0.9969427971280552,0.4466536712150747,0.03434894773237057,0.035266103718683446,0.008243691118959104,0.010260022089766277,0.043966449800933526,0.003581898210153996,0.014594695089791434,0.008910772538007695,0.00015482266560258966,0.004406439773669126,"[[426, 203], [207, 304]]","[0.2770732281753921, 0.36242560527932005]","[0.4263115656230364, 0.44600970507147764]","[0.3422383876466962, 0.4194674419980159]","[0.44710624330317705, 0.587029561664941]","[0.41542796973503576, 0.5000978176720786]","[0.40772980611412557, 0.4647115051040512]","[0.4676454406357381, 0.4794120905198439]","[0.996799897775678, 0.9971180458346094]","[0.43831567593865833, 0.45728084798707336]","[0.0385769115781276, 0.031724564666267455]","[0.011901463094645813, 0.008091868228600273]","[0.01151161333763482, 0.011562027001016946]","[0.0396900931163705, 0.045527897851631256]","[0.003868305487925397, 0.004047656237182932]","[0.014117603733297679, 0.01763981473914435]","[0.00980457107384948, 0.01014906990327371]","[0.00020425363524717214, 0.0001541542347945651]","[0.005508335503808339, 0.009320862267693901]"
89,Uniform,0.6456140350877193,0.310916179337232,0.43532163742690055,0.3746602607674869,0.5127244220348954,0.4531514639957421,0.43048384851016425,0.4705548859487057,0.9968806976479373,0.45122373835824126,0.03414924285533669,0.031905090830905564,0.010655002381026034,0.008257554717879718,0.04560992356376202,0.006010423672906605,0.014950615709990614,0.008265183276066826,0.00020120194914131163,0.004541871254657978,"[[431, 198], [206, 305]]","[0.27293126819515606, 0.3569994886736778]","[0.4264001630765411, 0.4460079501057848]","[0.3410856949249338, 0.4149969098943818]","[0.44618423726154266, 0.5927159775220243]","[0.41237459276596977, 0.5022337539518636]","[0.40712566944878226, 0.4582812907819599]","[0.46441795038793865, 0.47783379399701686]","[0.9967383763901937, 0.9970521345387656]","[0.443107594845331, 0.4609554110547675]","[0.03792947750553386, 0.03467551876803429]","[0.009721600928732324, 0.017453393008177304]","[0.009283732181500704, 0.00922250752171644]","[0.04079973723062621, 0.04785817687991455]","[0.0052651808132397615, 0.008114040900807569]","[0.023547950679895995, 0.015838782200108228]","[0.008724449355711254, 0.009766716409860193]","[0.000269470111108005, 0.00020956512593343118]","[0.0034304603101843294, 0.007953565037945353]"
