n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,Uniform,0.603815592203898,0.32917753156883595,0.399785835524966,0.3505778523490769,0.48904770226788863,0.4551907316123926,0.3805230800898503,0.4702321867195799,0.9958423011378302,0.7127996941040419,0.054304404581037545,0.045682915342535935,0.011945716081172467,0.06803800828018054,0.03248055663585145,0.006352799181477357,0.021337728618858097,0.0038784267021295697,0.0002936373228034228,0.0034832474983506317,"[[304, 236], [220, 391]]","[0.30865807109577703, 0.34775889325243575]","[0.39709949485245144, 0.40204459100646533]","[0.37402989275344484, 0.3297941480811144]","[0.5622259671651141, 0.4243845597150614]","[0.4806385727509501, 0.432730143207809]","[0.3845270820390869, 0.37688522858754003]","[0.472914770603312, 0.46786945261205953]","[0.9960878334555998, 0.9956243711692465]","[0.7039729403041616, 0.7205927214305184]","[0.054805869829061375, 0.0385978131898184]","[0.011388145049955741, 0.013850398551210272]","[0.07028274717944699, 0.05965568888519742]","[0.03441251060967671, 0.029857182775633807]","[0.005851496621181792, 0.008616471101856812]","[0.021740475377289632, 0.02283676984556718]","[0.004826558657450088, 0.004763053265567412]","[0.00027172957629630187, 0.0003794129753655944]","[0.005025663832778115, 0.004346177186778366]"
1,Uniform,0.5986431784107946,0.31769151138716356,0.4007710070318766,0.34997322668168374,0.48648084819385895,0.45395802863045204,0.38627385793069025,0.47056606470039036,0.9959421334324613,0.7117233987828954,0.024173509423592372,0.04056993652239934,0.009915009197815215,0.06995440560402509,0.030452125017965716,0.0057717198060377554,0.020419094084973832,0.0051276917749149805,0.0003156067652865525,0.0038539416788651707,"[[298, 242], [220, 391]]","[0.2969601840144123, 0.33569076657899716]","[0.3920729300742748, 0.4083017018124102]","[0.3765174126994952, 0.3266890853401573]","[0.5588548204870465, 0.4237448128215954]","[0.4803969911617651, 0.43104402952547954]","[0.3883242554351833, 0.38445483432946076]","[0.47313204399805125, 0.4682741721547926]","[0.9962191169227165, 0.9956983489580837]","[0.7027826878650568, 0.7194830858342144]","[0.05015571969189731, 0.03491829696389083]","[0.011380731225217721, 0.011156906094916322]","[0.07377664174497597, 0.06018738559166146]","[0.03744713101318016, 0.025183329532358873]","[0.007890801954840924, 0.005781031716372839]","[0.021469044581015683, 0.02593378204286891]","[0.005766583553097922, 0.0050759324782589784]","[0.0002801501695713916, 0.00047618881689887087]","[0.004471159411986578, 0.004472125123620875]"
2,Uniform,0.6143103448275863,0.3244495737973999,0.40330080390949963,0.3535339505454317,0.49158973954488827,0.4583352910088504,0.3886697403925664,0.47265266937593875,0.9959873132227886,0.7125356183250919,0.06664960451627132,0.03490398660626219,0.009551644970978839,0.06818706035639278,0.03027958586467449,0.004785823574676476,0.010378296585155525,0.0019222559724285059,0.00018216815126546152,0.0022096150766117272,"[[310, 230], [214, 397]]","[0.2977651156224768, 0.3483000128919386]","[0.3939884064831834, 0.4116725724327576]","[0.3792490923449003, 0.3309620668196643]","[0.5589508788535719, 0.43186037134464533]","[0.48544652763518703, 0.4344222787812864]","[0.3938790263406307, 0.3844208980627805]","[0.475068919760261, 0.4706227545047789]","[0.9961918173899548, 0.9958060039783169]","[0.7036133493367098, 0.7203507730468791]","[0.03952342044327305, 0.03194583405577485]","[0.010816307201643355, 0.011517807566127787]","[0.06940609189743024, 0.06127969968169482]","[0.03878378787599827, 0.022907289131183197]","[0.00429241418517852, 0.005812659924699428]","[0.013188644011995043, 0.021358423928420127]","[0.0032685396939580763, 0.004057311984692137]","[0.00012070368208377172, 0.00031710722564228796]","[0.004532913256201357, 0.004737670860033131]"
3,Uniform,0.6290779610194902,0.3188486934139108,0.40295251151772893,0.34857188910564313,0.4883521868956325,0.453890581262064,0.38592590882808275,0.47056699942391667,0.995913279845755,0.7152793803937969,0.05011858997887176,0.04241475591988945,0.010285822721357136,0.06806499422318915,0.0343665024608999,0.007901360565605971,0.018402167324853055,0.004125009842166767,0.00020428539402350747,0.0033633858189290812,"[[325, 215], [212, 399]]","[0.29367487649317026, 0.3401536812043836]","[0.3949667031659766, 0.40982001789374267]","[0.36893517666769593, 0.3309077143629906]","[0.5597142638133695, 0.4271457431326741]","[0.4796418244589825, 0.4317756830358192]","[0.39282899444258007, 0.37994105642909226]","[0.4737407581795029, 0.4677779323112695]","[0.9961551198556912, 0.9957033592199303]","[0.7067103486466779, 0.7226069910402135]","[0.05614587416120922, 0.03164119601783054]","[0.010028393356591284, 0.010800100697279331]","[0.07266709837121652, 0.05828734592564528]","[0.04229659159368074, 0.02850679369042025]","[0.008726928327460207, 0.010061827845903317]","[0.01702340991962626, 0.023159287507625463]","[0.004341715412133181, 0.00679428467801314]","[0.00020213533883943157, 0.00042342150564488956]","[0.0060334950949118595, 0.004005174145154869]"
4,Uniform,0.637736131934033,0.31759526607352695,0.39860869565217394,0.3511540101302554,0.48499255045134415,0.45522453506222016,0.37635713952639416,0.47008470887945586,0.9958429579931707,0.7145324975187675,0.0578862556545304,0.04554978849373006,0.009352395809779902,0.06592899925062973,0.03547173068838346,0.005478294662599771,0.018496943182690257,0.002683562824296692,0.00020973636686766323,0.003771056272053016,"[[328, 212], [205, 406]]","[0.3005415020558975, 0.3328686480170985]","[0.39358605353850923, 0.40300938003114306]","[0.3752084676232638, 0.32949032811144735]","[0.5561363463611542, 0.42088157293205286]","[0.4842704563953305, 0.42901552465169185]","[0.3842284698191541, 0.36905997093978926]","[0.4731017955204854, 0.4673767706270776]","[0.9961244137925137, 0.9955842548819753]","[0.7049498036837161, 0.7231571878551787]","[0.05825602471398845, 0.031895656149177457]","[0.007945206906187337, 0.013200985295872283]","[0.06608351111863581, 0.06047182142447926]","[0.03730490503619383, 0.03382168591624445]","[0.0071009518024005075, 0.0072077411212071885]","[0.02088592518035948, 0.02249253341389074]","[0.0035455403100862685, 0.003574787575670504]","[0.00022258829079179837, 0.0003588615107985848]","[0.004854463872965177, 0.0036460875284726056]"
5,Uniform,0.6394677661169414,0.322516926864753,0.4035910693301997,0.3537212806146482,0.4915041776799704,0.457583004516491,0.3836633213737251,0.4701503626725499,0.9958843675075496,0.7109606419102986,0.06229658680502698,0.03954248316165255,0.006632859089906175,0.07039585401421537,0.02692498636340306,0.005976473884885091,0.013259330074457698,0.002426870856883369,0.00024425273288541146,0.0026390491353194276,"[[325, 215], [200, 411]]","[0.3060359419558591, 0.33756047775306863]","[0.39891923325750844, 0.4077558530207974]","[0.37515048337362195, 0.33501838106988097]","[0.5622724859548855, 0.42997521934226157]","[0.48499849966910064, 0.4338274347444765]","[0.3902423597461479, 0.3773973557924606]","[0.4736934091930509, 0.46699785367857344]","[0.996089841429854, 0.9956998315955559]","[0.7033835564639475, 0.7175076562564222]","[0.0583479112728399, 0.02323205836506732]","[0.011001523075858359, 0.00914421187582867]","[0.0689177510201598, 0.06503013182261379]","[0.03162686665450574, 0.02401006054131254]","[0.009082009971768997, 0.0056833835119375516]","[0.019566142066262015, 0.018016348663006346]","[0.0033568515784066504, 0.004031676642046628]","[0.0002453884269532218, 0.00032894930537128505]","[0.005519120175587328, 0.003734301503733322]"
6,Uniform,0.6542353823088456,0.3049515042993304,0.3967763229067577,0.3483671417995931,0.485383742398355,0.45351886501427796,0.38291278157039027,0.46917065943351915,0.9958160397240482,0.714059605535578,0.06793693753152232,0.030821393331051196,0.007425375840835539,0.07239236995145218,0.03068577787458914,0.005236756963511466,0.015542781752169393,0.003696296078203222,0.0002212771903119104,0.004566289917686585,"[[340, 200], [198, 413]]","[0.2849729351998288, 0.3225752240969929]","[0.3917550545487184, 0.4014118082842666]","[0.3744027490568624, 0.3257204059843801]","[0.5573075449462774, 0.423114669032363]","[0.4803041892264745, 0.4303770337643947]","[0.39379597668953487, 0.3737554855877219]","[0.4737028896143218, 0.46530330821414045]","[0.9960958621141721, 0.9955749897425751]","[0.705407380693683, 0.7215769801118117]","[0.04051080716035797, 0.02920946726419365]","[0.01074122775199294, 0.011640229690273987]","[0.07168158006706858, 0.06607596155684066]","[0.036552390186469864, 0.028495315836584177]","[0.00724720446684888, 0.006572451308039595]","[0.01754704614375912, 0.022225817164918494]","[0.0038318043131314334, 0.0048214888329540075]","[0.0001639887587829498, 0.0003688572459294934]","[0.005789723429346019, 0.005056248568233033]"
7,Uniform,0.6464167916041978,0.3233876112136982,0.40204677969895364,0.3487620309632107,0.4896262745742478,0.455892542993073,0.3877383220620798,0.47123170551886834,0.995913473215202,0.7135974238376984,0.06492533901743264,0.039275858745074645,0.006351785530977127,0.07227185379795621,0.028574069352276035,0.005331581723959427,0.011138987013752067,0.0025309402903540023,0.00012117235431087386,0.0037799294522598234,"[[337, 203], [204, 407]]","[0.3107189128057089, 0.3352896379879496]","[0.3953430206353438, 0.40799373663786]","[0.3727142070604663, 0.3278043846199249]","[0.5644501769076357, 0.4236452038410084]","[0.48338989108110547, 0.43192755379175285]","[0.3982012417543891, 0.378437085835405]","[0.4731703486087113, 0.46942448869852926]","[0.9961192606932361, 0.9957263863278041]","[0.7038991587539588, 0.7219830246830808]","[0.04524563450504984, 0.03776004961023617]","[0.010920114959329364, 0.013115997142301026]","[0.07588462142604899, 0.06400892766661054]","[0.037251147923616036, 0.021854107948600224]","[0.007160860745170674, 0.006775138348251849]","[0.01329512607977739, 0.02049145282751535]","[0.00406930707274504, 0.003517547746694112]","[0.00018853927907342902, 0.00033569455188846965]","[0.003556391524059029, 0.006722437968386471]"
8,Uniform,0.6577286356821589,0.3188503721112417,0.40519202432245915,0.3509433876910317,0.49090341454074704,0.45744452285446024,0.3837374558453751,0.47121485012041964,0.9959608168478086,0.7111336311793977,0.05330423070595426,0.04279474066479505,0.0110482908064294,0.07517284626255666,0.03390982921841615,0.005642174319419472,0.014923846981203755,0.00348313158494643,0.00028739847070570197,0.0020703557220684067,"[[344, 196], [198, 413]]","[0.29214814079001494, 0.3426834575772443]","[0.3953266008645321, 0.4140460048063163]","[0.3680380145925987, 0.3360023858949136]","[0.5616764425290586, 0.4284191056042337]","[0.48289616226161247, 0.43504499223515775]","[0.38426732733154173, 0.38353785946995433]","[0.47363708667835736, 0.46912404944393254]","[0.9961188935913912, 0.9958185957347097]","[0.7038440983329654, 0.7175055063596194]","[0.051454365969326496, 0.035505529456019265]","[0.011608241840892222, 0.012723268623249772]","[0.07870215965218649, 0.06539998568354118]","[0.03737847804832043, 0.02884890726966117]","[0.007570516427286122, 0.0063991903926192825]","[0.016454884520979814, 0.020122914938086683]","[0.0034184728214844374, 0.004282238813722056]","[0.000193763665737997, 0.00042063511016357844]","[0.00451295420005198, 0.004126034368790104]"
9,Uniform,0.6437781109445277,0.31894969503665155,0.3992278738365695,0.35222642619956934,0.4931707830869976,0.4555531588651407,0.3807091534746814,0.47141119595090053,0.995952225065551,0.710315987775942,0.04925802513673652,0.033613649592039586,0.007522096404362291,0.07330210223769142,0.03791165149487865,0.00522650550597138,0.019530663271512465,0.004153216151906084,0.00019455259976321816,0.002474203509190287,"[[339, 201], [209, 402]]","[0.2956359297385253, 0.3395641528586303]","[0.3947312422419568, 0.4033011716959555]","[0.3728130187930665, 0.3333779691979993]","[0.5617907207514198, 0.43083622972747176]","[0.4806160124141268, 0.43265425942235564]","[0.393148987746997, 0.3694465063994954]","[0.47655400674505427, 0.46681242921709953]","[0.9963099698169758, 0.9956270563912156]","[0.7031273780736121, 0.7168995032883544]","[0.0420202121347151, 0.03544629209448977]","[0.00731481390893954, 0.009848494787675795]","[0.07500275821526645, 0.065600887994457]","[0.0423221451416721, 0.0324808422291177]","[0.006887571838624659, 0.00896787829339575]","[0.025355867519695006, 0.017869262160164167]","[0.0029438935241982087, 0.006403607183792476]","[0.000126172181938673, 0.00029513950874807924]","[0.0028196179718480503, 0.0038915113266978123]"
