n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,Uniform,0.692,0.33244444444444443,0.4187555555555556,0.1899695668898624,0.6611334776334776,0.2384240819349996,0.4037048420715087,0.49434351485684613,0.9866144543577245,0.9739111111111113,0.08443274772793367,0.05462630247244178,0.01595301743972278,0.06969022421402084,0.04537799535930259,0.02183821438321483,0.03697136449595337,0.0014836888436669871,0.0017573070058742159,0.0016273384567061604,"[[82, 35], [42, 91]]","[0.41579717706266955, 0.26274059660374716]","[0.4346098953287109, 0.40473063789634256]","[0.1990083583181427, 0.18192341392941974]","[0.7179048559717529, 0.6129854755439401]","[0.24980230117813948, 0.22834425687555635]","[0.4299650733086439, 0.3805085503104958]","[0.49376771984523316, 0.4948325759530937]","[0.9854039393445315, 0.9876145463002054]","[0.9738795919752782, 0.9740316637283172]","[0.06837856514733123, 0.0719044802689492]","[0.032040284894374764, 0.017693907650100458]","[0.07025669586129528, 0.06612769330990986]","[0.07591092863135898, 0.07200923174947817]","[0.02318477595725844, 0.02438699149972953]","[0.04253507855496044, 0.0462922803606911]","[0.0028034295597888803, 0.0016095201278736194]","[0.0032866428638770435, 0.0012557379812804872]","[0.0026062129217729953, 0.0016720791980255998]"
1,Uniform,0.644,0.34844444444444445,0.426488888888889,0.1908439263171117,0.666613997113997,0.23793446132769375,0.4142739778739779,0.494703919412615,0.9872838900068212,0.9730666666666667,0.08527081042837059,0.048242642316967996,0.011458663107862062,0.058092890761171995,0.04095127942866925,0.01333795171191144,0.036082421150849794,0.0009313818465946632,0.0008196508800335714,0.0020842080468229866,"[[76, 41], [48, 85]]","[0.4126507657396087, 0.2953636212318872]","[0.43749683035125375, 0.41736950970502223]","[0.20946767874338584, 0.17494640530122435]","[0.7284322349321586, 0.6149910361504674]","[0.24864990752944446, 0.2288430010272819]","[0.442964505905534, 0.38983708895861485]","[0.49502136119484996, 0.4944666052773917]","[0.986491910415922, 0.9879679449660426]","[0.9730830060420075, 0.973046492499724]","[0.07401034465732816, 0.052373745182295255]","[0.021037817354267494, 0.017047237468929066]","[0.06412591182388068, 0.050790295609640226]","[0.06512138904126669, 0.07539000179599441]","[0.015444967358159289, 0.013245349047790343]","[0.06527094489380572, 0.03884418133485251]","[0.0019474957421624951, 0.001540046154088375]","[0.0017559160758048704, 0.0012938009522853388]","[0.0030878386169788472, 0.002628127938309526]"
2,Uniform,0.728,0.36577777777777776,0.42844444444444446,0.2015636114584435,0.6622128427128426,0.24164654609045297,0.4170618085618085,0.4949518509969858,0.9870217249756632,0.9730666666666667,0.03675746333890726,0.027401400743184912,0.01586776632769883,0.06484172931045616,0.03837539433696033,0.018159916332464665,0.03265534348196193,0.0016793261512231625,0.0015835646441782082,0.0016917454724290789,"[[84, 33], [35, 98]]","[0.44305340973829493, 0.2930868994345789]","[0.4560475420926828, 0.4035844401144312]","[0.2083116054758356, 0.19509677924325658]","[0.7180660051801568, 0.6132856857605539]","[0.25475651302591235, 0.22942297236065165]","[0.45144472248950496, 0.3866172094765429]","[0.49575379842392425, 0.49428767133874024]","[0.9866854836320726, 0.9874123878575226]","[0.9725862528443473, 0.9735012379354367]","[0.0449615360904887, 0.0493845527900638]","[0.03244246411290852, 0.01854812917281563]","[0.06214358141114095, 0.0621849917539272]","[0.06842913042959109, 0.06600721529092235]","[0.016552390280032695, 0.02001061642292766]","[0.05856809222745907, 0.048604758572184534]","[0.0030668192256274956, 0.0019485179858929978]","[0.002372706640238202, 0.001939764009948868]","[0.002293151568155571, 0.0022894660846934922]"
3,Uniform,0.6799999999999999,0.3408888888888889,0.41706666666666675,0.18038156387418475,0.663537518037518,0.226999121465507,0.4155857944524611,0.4949319672862654,0.9870360515523029,0.9732711111111112,0.077746025264604,0.05439478713021143,0.016410642603876098,0.0650113664952068,0.039396258295666654,0.012426487715974375,0.03746257748503586,0.0015715064508157628,0.0012856634743734353,0.0019225269151221052,"[[79, 38], [42, 91]]","[0.43558036618528656, 0.26495583841827963]","[0.43267515930053424, 0.40391393331496833]","[0.19167614003384065, 0.17119747225096185]","[0.7191405960725927, 0.6156005415586229]","[0.24014691313912429, 0.2160548551467838]","[0.44123689457805815, 0.39322059446273616]","[0.49452056755991664, 0.49518298878079775]","[0.9862082765244888, 0.987661399262793]","[0.9730157781414615, 0.9734223292776744]","[0.07508319435730358, 0.05148341588265659]","[0.03234730783934645, 0.01402176486792511]","[0.060741996933712614, 0.06698968589774806]","[0.06089056562375571, 0.08392136436655312]","[0.017726094696215895, 0.011884838915747334]","[0.043392535625752245, 0.045076065085935355]","[0.002854918707664049, 0.0018821445572833322]","[0.0022091769162938257, 0.0010910038943036321]","[0.002848477131674087, 0.0023002048955038583]"
4,Uniform,0.712,0.3471111111111111,0.42151111111111117,0.18723872753874515,0.6576255411255411,0.23084590346778544,0.4117036876703543,0.49523696187745897,0.986832362821994,0.9732711111111112,0.07004760286167305,0.043011466873136,0.01453241964885683,0.06707774135814994,0.04506983765710911,0.020120935083940486,0.0398475293098568,0.0016160836132087838,0.001573196876236506,0.0017539389337330716,"[[78, 39], [33, 100]]","[0.43854223774561085, 0.26153014376364325]","[0.4432213732162614, 0.40175224865299297]","[0.2012588367945103, 0.17433037346449387]","[0.7149800620729152, 0.6100810073531177]","[0.24295092367346668, 0.2200217447659802]","[0.44801785410635775, 0.37762476667159034]","[0.49536597517588987, 0.4951350391653623]","[0.986557141472691, 0.9870760391758839]","[0.9727296839708195, 0.9736421752139794]","[0.04966746230411356, 0.06297070335846051]","[0.014138418705720772, 0.019680121355282295]","[0.07036217553599672, 0.059863694103156485]","[0.06189746008017939, 0.07951268660463899]","[0.025629250734390832, 0.015725866257612464]","[0.052815820104383036, 0.06307128741950578]","[0.00196429621019075, 0.002310016221540951]","[0.001465351736751801, 0.002149688769846924]","[0.002626273690471399, 0.0019451581385233532]"
5,Uniform,0.716,0.3382222222222222,0.4129777777777778,0.19446123113196648,0.6644148629148628,0.23999102724794152,0.3953934744268078,0.4937993867215472,0.9858435340295758,0.9734133333333335,0.10405126941400893,0.045443101190567825,0.009837750978108269,0.06961689304568058,0.04423400350750479,0.0189986038233554,0.017842693644905157,0.0013576278506163921,0.0008779518584601394,0.0016584389506660642,"[[79, 38], [33, 100]]","[0.41972836051971757, 0.2589388197985726]","[0.4266443620032043, 0.39947747543968715]","[0.20127824117443366, 0.18856047686853444]","[0.7223818652738258, 0.6091278198308376]","[0.25363166867428055, 0.22735383775786638]","[0.4149345720039997, 0.37889524650823614]","[0.4934228891251201, 0.4941757799929194]","[0.9845211976200889, 0.9870948869296121]","[0.972894631693787, 0.9738859084157546]","[0.0713778130550502, 0.04928135577192043]","[0.014492484510721321, 0.013930305457189584]","[0.0694736164357374, 0.06627539041700803]","[0.06605448180109767, 0.07045970413517877]","[0.022844032777249584, 0.021390719348107053]","[0.02825671207592993, 0.02775754443207101]","[0.002493484420369814, 0.0019054606660356005]","[0.0016098520619984848, 0.0014464009100303328]","[0.002041364937294153, 0.0018489768750075532]"
6,Uniform,0.728,0.3453333333333333,0.41946666666666665,0.18235640857954838,0.656979797979798,0.23469657549819165,0.4047937309603976,0.49457820222179905,0.9868651500930664,0.9726044444444446,0.06477310827461932,0.05050309311582925,0.02034522353559447,0.06207242730540431,0.03850120302400298,0.024677342575715765,0.03234049968500645,0.0014855881868494271,0.001676617441198458,0.0014718501742800052,"[[81, 36], [32, 101]]","[0.433166372477114, 0.27086096485255506]","[0.4395045229204565, 0.4028398142734336]","[0.2023821016604684, 0.165314373930845]","[0.718859384469598, 0.6038747473301059]","[0.25188314078169505, 0.21999963979632456]","[0.4315571946661619, 0.3828795562850963]","[0.4945894404078633, 0.4945963585526435]","[0.986507398432296, 0.9872093993734637]","[0.9726733898241724, 0.9725345780311102]","[0.05400395304646239, 0.06710427760286786]","[0.030963310060840958, 0.02356454269625084]","[0.06761438726632296, 0.051824192227997945]","[0.07147918634417026, 0.08308037661464131]","[0.029568037570451008, 0.019227333275732256]","[0.04393645133382175, 0.04440247248053549]","[0.0021567436444503226, 0.002257223080468347]","[0.0026624158291871226, 0.0017987629405926094]","[0.0017804160588772908, 0.0019561516311663862]"
7,Uniform,0.716,0.3377777777777778,0.4108444444444445,0.19128805843140345,0.667033189033189,0.23039264446039404,0.39788659611992944,0.49456020182150046,0.9864321996972046,0.9731466666666668,0.08934328302800507,0.05394708579565371,0.015240117443714691,0.07140994621003753,0.033327824589730756,0.019529393960821945,0.02995431090808199,0.0013745003308415198,0.0010817516414709583,0.0020323636627368686,"[[77, 40], [31, 102]]","[0.42562095326585714, 0.2602144784637006]","[0.43831478137714497, 0.3863879641585005]","[0.20456548496993215, 0.1797893865991334]","[0.71861780698161, 0.6192148867264031]","[0.24280449363182482, 0.2199311848345063]","[0.42920095412603027, 0.37142000197585345]","[0.4948536492256029, 0.4943734721371504]","[0.9864950944858112, 0.9863780167055106]","[0.9726794968635666, 0.9736517271221221]","[0.06277442723921524, 0.054554443212803734]","[0.020286806379910028, 0.017370039196268627]","[0.07502499768311528, 0.06335775589131898]","[0.06465377839875992, 0.06326487012496292]","[0.02489758312547133, 0.016397020317382306]","[0.028182175798829118, 0.041075921224187684]","[0.0016292658213797595, 0.002105482525204074]","[0.0012294023849521026, 0.001459234552333001]","[0.0030255448142585714, 0.002385296411274869]"
8,Uniform,0.756,0.37288888888888894,0.4193777777777778,0.19147870902731018,0.6648492063492063,0.2404615885946305,0.4214967291967292,0.4947900066945833,0.9869101983832792,0.972808888888889,0.07876829593462363,0.02966294423402708,0.018531195660831685,0.07161142213509919,0.04087498411383975,0.02158895463077079,0.04014824968741843,0.0016052622042491565,0.001214542052933652,0.002015882070276445,"[[84, 33], [28, 105]]","[0.46478577676794364, 0.28848306916731625]","[0.43361030844113246, 0.40609806933527787]","[0.19621669658658733, 0.18674990398606228]","[0.7216795740814109, 0.6136984089684868]","[0.2542763453656513, 0.22764057389431808]","[0.44173395101804563, 0.40229959178471447]","[0.49485442524077194, 0.4946701436396353]","[0.986236741694053, 0.9874569584775456]","[0.9728693846180201, 0.9727619002274055]","[0.055037444719926644, 0.03254507544973807]","[0.02089230543385849, 0.02764810095075419]","[0.07470276954129194, 0.06296607587415139]","[0.06487713096876382, 0.07043388844471167]","[0.020733235631282265, 0.025115977195226267]","[0.04220825314883194, 0.05792796015268904]","[0.002315295785903693, 0.0020517607624895096]","[0.0020940834842461246, 0.002056741481787313]","[0.002367869107117445, 0.0028427316663430595]"
9,Uniform,0.776,0.35644444444444445,0.42311111111111116,0.18591115907331898,0.6529819624819624,0.2359733835090861,0.4186073112073112,0.49553922951839463,0.9868967469589605,0.9737866666666667,0.07351492667781452,0.04403764445271521,0.013590927337694484,0.06586202985266904,0.03682145283904446,0.019357082696060714,0.037088849773269185,0.0016218445610326525,0.0014764807865898565,0.0009668979431011009,"[[87, 30], [26, 107]]","[0.45242164611566177, 0.27423011732837294]","[0.44391625176871674, 0.4048484808052553]","[0.20817708952747624, 0.1650108812791546]","[0.7112260525174885, 0.5972638198367006]","[0.2485069203002576, 0.22487766356481237]","[0.44784307345181473, 0.3948966938138138]","[0.49525261711460916, 0.4958132306859744]","[0.9863865677317577, 0.9873856406321829]","[0.9736206293533745, 0.9739364723278591]","[0.07463144586565744, 0.0403343212860387]","[0.023178152174402427, 0.011771521440041932]","[0.06541534932117665, 0.06289477108408709]","[0.06945304376292767, 0.07109389420064408]","[0.019595929533384456, 0.022229473243879888]","[0.056802022418740196, 0.04045125145460306]","[0.001579815744647723, 0.001822654777776524]","[0.0019576556788226587, 0.0014487052207095396]","[0.0033125008265936073, 0.0026810570339749276]"
