n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,Uniform,0.8225108225108226,0.21029253022452504,0.2119635146804836,0.11123966178140073,0.4540491350246856,0.35796098555266853,0.2137405098589522,0.3573117436250294,0.9095623544988214,0.6793411773172136,0.05691172811808086,0.027281947645021166,0.023506102258013292,0.05366811139435221,0.03599436490509523,0.024717211065499865,0.035423601640547815,0.014653861365175333,0.00743504425549768,0.02207865145698277,"[[127, 17], [21, 49]]","[0.19153482127979904, 0.24995871274066758]","[0.20543329443400338, 0.22702550531829613]","[0.08066372011336151, 0.17585425235428068]","[0.34761436502181864, 0.6819836867172118]","[0.26750997331006754, 0.5544289479442401]","[0.18946322329332055, 0.2687147966109156]","[0.3428954149228133, 0.3888904105983461]","[0.9031609047145699, 0.9235680089219596]","[0.6261124436581738, 0.794391223552976]","[0.047736739709596625, 0.08044618496492682]","[0.026007778738470384, 0.03059224117171115]","[0.03439988462324971, 0.08704887957669678]","[0.04328004503291633, 0.054187641071306046]","[0.030105199411274142, 0.020202309177370977]","[0.03847656691914801, 0.0514459999017329]","[0.014787802214969715, 0.020047294898320352]","[0.011059911663558885, 0.012238262954594015]","[0.02954728549086331, 0.010786372432572548]"
1,Uniform,0.79004329004329,0.21854220639032812,0.21815738341968913,0.11929201416572291,0.46684718992057883,0.3678583548132282,0.20954433829879102,0.35928102953984353,0.9099424128258982,0.6848046800038381,0.08275584969084948,0.04335876388102958,0.022287324941343837,0.06591676192716969,0.05103218721253096,0.024709967214535163,0.018319073805340147,0.012982921345562507,0.009994768278978999,0.020713701012559423,"[[121, 23], [22, 48]]","[0.19333510462853087, 0.27109334639355087]","[0.2074955147587514, 0.23739841963558792]","[0.08349299918032609, 0.18689899692448675]","[0.36102375652967506, 0.6631943869569354]","[0.2695081615727573, 0.5511229957471969]","[0.1848190693722004, 0.25461852633200643]","[0.3426504105774167, 0.3900502324759646]","[0.902556159911458, 0.9229041714334396]","[0.6266463841040073, 0.7929487054556978]","[0.05140282710012971, 0.08739171714182634]","[0.028964447567041314, 0.01857690781686339]","[0.04692155053220751, 0.09438163845361337]","[0.05843501898664807, 0.04765366370777888]","[0.02388403663671157, 0.021509630909199422]","[0.03011750259636494, 0.028809586638821202]","[0.015759396438585548, 0.014904387440366845]","[0.01598938605907117, 0.009783074917727452]","[0.026431759804405514, 0.009036573927198963]"
2,Uniform,0.8463203463203464,0.22377212867012092,0.21940900259067359,0.11739771181453522,0.4628759679589504,0.36785221722174044,0.2209346214738054,0.3598476265731402,0.9123588787303184,0.6841351228171175,0.07877254870970384,0.03688184844974874,0.023685242716842726,0.05833523445917666,0.0464108971238592,0.014608221603119496,0.02508622163496581,0.011930308798534222,0.007093673255945712,0.01059751572038062,"[[126, 18], [15, 55]]","[0.18892647292539838, 0.2939224400904604]","[0.20552627128160786, 0.24563878940814524]","[0.08684570836924137, 0.1798823244053313]","[0.36466815084038356, 0.6666505954261106]","[0.27608661374810184, 0.5566328525165309]","[0.19704491178858066, 0.26807672580831066]","[0.3449579557164303, 0.3897564485711096]","[0.9056299970971147, 0.9260476123473442]","[0.6309220745813231, 0.7947264626251281]","[0.05266206820690126, 0.05755337002062468]","[0.026068172546281312, 0.045998888944409747]","[0.04600466133222454, 0.07885888853785643]","[0.05871040145938545, 0.06154005684963784]","[0.012108401908073704, 0.018167531373847617]","[0.031756020636126814, 0.06016884627411262]","[0.01723183083382751, 0.019201298595707166]","[0.009954982940986306, 0.012179851031997894]","[0.012730086428525684, 0.009527321919762634]"
3,Uniform,0.8692640692640692,0.21966753022452506,0.2179814335060449,0.12220781073829204,0.4660771902967499,0.3644586012635297,0.21680636514104776,0.35594570595009095,0.9062374001267024,0.6825306443101132,0.06162139945497783,0.036210347422758506,0.021351242813653606,0.06355869602385669,0.050205885530718065,0.016732452077244983,0.027863413172557413,0.011887358874008925,0.007246119981508187,0.013910403375514139,"[[131, 13], [15, 55]]","[0.19205273797363856, 0.27153306083574136]","[0.20767987430305251, 0.23809690552905952]","[0.09615412962504784, 0.17363920959443324]","[0.3627638648525637, 0.672305022798278]","[0.2670998885843159, 0.5585887020184761]","[0.18841979581048482, 0.2729194881981205]","[0.3385208468719154, 0.39094498862440846]","[0.89638941063717, 0.9256027055087916]","[0.6289061703300539, 0.7884770664662385]","[0.049181346959062025, 0.07157424676638227]","[0.030520567486334596, 0.026995748981431214]","[0.04548754657413572, 0.09111060285121256]","[0.055318557076051725, 0.05666837834756852]","[0.017652395117530566, 0.03034244656909009]","[0.03983600044344307, 0.05121103445492188]","[0.017828915097475254, 0.024218620637707466]","[0.011297666587505651, 0.010535377506656143]","[0.01998856885071689, 0.011879147967112404]"
4,Uniform,0.8506493506493505,0.23208387305699482,0.23529684801381695,0.11301636572711664,0.45601732867317385,0.36395416649870266,0.23184180699481863,0.36318227173736134,0.9123646667054303,0.6835645149683363,0.08276842943549775,0.042841198986474115,0.017163744003890695,0.0567468494561654,0.04751092324854796,0.02344707936544868,0.029841692291366625,0.014115597592801845,0.0119333970882018,0.01615230422105234,"[[129, 15], [17, 53]]","[0.21300815857389438, 0.2674412300121178]","[0.22994645264787902, 0.24805298864164382]","[0.08508838225535337, 0.17403964310435177]","[0.3574661134857585, 0.6678418525708539]","[0.2750682941697127, 0.554986994636675]","[0.21091682327002464, 0.2784057177897141]","[0.35008982916536524, 0.3914625331142636]","[0.9065277805461005, 0.9252629460405636]","[0.6342159643445908, 0.7893344764059813]","[0.045147982167823585, 0.11767320207811821]","[0.015164950458954577, 0.035127014967917]","[0.03549256041403625, 0.10062755629228476]","[0.05150882568383641, 0.053846286753373405]","[0.025895658318977915, 0.01985687398890964]","[0.03317482341873052, 0.03845041132653626]","[0.01325250982600504, 0.014214690060083761]","[0.014064640634811292, 0.011761670865596303]","[0.022805264516632236, 0.008640252687230583]"
5,Uniform,0.854978354978355,0.20661701208981,0.20768620466321247,0.11642312000137545,0.4554022406436995,0.35453250848191514,0.19348036305411628,0.3463534090533674,0.9041942460984872,0.6773424006908463,0.07252428209598302,0.037855018297167566,0.012705515189831347,0.062373103706534115,0.05405724605126442,0.020302617067393027,0.028095614962895126,0.00994223511920893,0.006931512766598227,0.010874046286593934,"[[128, 16], [15, 55]]","[0.19165260078996274, 0.23690173528089095]","[0.19886062454161296, 0.22552625543943527]","[0.088419274749104, 0.17836695709375405]","[0.3588585916727185, 0.676491168804675]","[0.2665499982342461, 0.5544403650415409]","[0.1724597752605376, 0.23894989866033217]","[0.330715607738138, 0.3805473437926476]","[0.8953727591835815, 0.9241116829175372]","[0.6254738658906035, 0.7935594899232922]","[0.044883623712661413, 0.07279084822910258]","[0.019826347302514313, 0.03470930738559795]","[0.042770883572157505, 0.09824331542295939]","[0.06610839637199173, 0.06575615143924089]","[0.023198884686126384, 0.02021026815785408]","[0.029212570408431233, 0.04823201881279213]","[0.011948858902053373, 0.019607823810085617]","[0.0123522546054401, 0.012051534926991668]","[0.01664461806829488, 0.010865755844927442]"
6,Uniform,0.8556277056277055,0.22632772020725386,0.22042746113989636,0.10525143797678342,0.4552346748464786,0.35858639915571233,0.21184135722510072,0.3522023755939925,0.9083496755498581,0.6857015208213395,0.08068591311469207,0.04784485924139595,0.02225786844021793,0.05713653980182227,0.049345953895857345,0.019740515246016818,0.0266063919243819,0.015374250459609252,0.008100889361431893,0.011562223190634494,"[[129, 15], [16, 54]]","[0.2108291893627034, 0.2556327261399363]","[0.21675476169750643, 0.22836733305757378]","[0.07929477127351678, 0.16275059024459676]","[0.3541706846847287, 0.6849893018401907]","[0.2736249455284218, 0.5476286614704432]","[0.1959164976506626, 0.24675005978528683]","[0.34183140387352967, 0.37448648104064275]","[0.9026242321242073, 0.922044571285606]","[0.6359439773315072, 0.7967890972477953]","[0.06236435432233549, 0.08564505134196829]","[0.025611822392689748, 0.034715112481821186]","[0.04164104531993029, 0.09156574482621994]","[0.05521852557842353, 0.053750930070988086]","[0.016725874207294118, 0.01860681921516753]","[0.030499456814094564, 0.03780514282848142]","[0.01611010121855673, 0.02195391832592885]","[0.010711314109255876, 0.010938072643776447]","[0.014514808487024158, 0.007663514151249723]"
7,Uniform,0.8560606060606061,0.2159974093264249,0.2245153281519862,0.1232475567520018,0.45650219065111386,0.3623417630787308,0.22134517127230854,0.35902109320778264,0.9075640123479349,0.6812008251775091,0.07931423007010087,0.04082366254980247,0.019177124551422297,0.0628493588657214,0.04875637324540352,0.018547154021098237,0.0262597463598882,0.01621462050280045,0.01159626948783552,0.013928913229878877,"[[130, 14], [17, 53]]","[0.20054993461669932, 0.25444467962879447]","[0.2144924621848189, 0.24682832150036008]","[0.09037596698364267, 0.19205181816659256]","[0.3566337288486935, 0.663998473469727]","[0.2685296385577588, 0.5570248353582916]","[0.1930321820124763, 0.2827246024772485]","[0.3434034691674718, 0.39191471845647297]","[0.899678334886832, 0.924144728238377]","[0.6279603552277505, 0.7924780476276642]","[0.03839684868784427, 0.11195409932764452]","[0.024601437108732457, 0.0298657190451218]","[0.04308352306047839, 0.09900994340478399]","[0.05369844940062665, 0.05619894221802757]","[0.015743041212078285, 0.018247039882394758]","[0.030148692932450125, 0.05180378996820651]","[0.019162495488740248, 0.02060016116177133]","[0.01602851117912845, 0.014689276063918691]","[0.018497942765454623, 0.009765943169328073]"
8,Uniform,0.8554112554112553,0.22067681347150261,0.2226543609671848,0.1196118293219351,0.44983469259193837,0.3605126825645472,0.21345890903857226,0.3612404720092234,0.9092204830822089,0.6837456222414124,0.07476363016062824,0.040251858298522326,0.019772316037914992,0.06555871638387573,0.049896644322608916,0.01486763802033351,0.016475994289258684,0.011860263524241762,0.0038685801167733604,0.01462004641622067,"[[130, 14], [17, 53]]","[0.20586899609230097, 0.24864002880250063]","[0.22175693818748998, 0.22629683059781786]","[0.08350981974495905, 0.19761537006019472]","[0.35341049915687317, 0.6646817855652314]","[0.2723508797762508, 0.5537324529477139]","[0.1940675302588518, 0.25880380802494196]","[0.3469450187432519, 0.3935161767613149]","[0.9027739027331053, 0.9242448164766349]","[0.6363972792953716, 0.7890375964900916]","[0.0442728024895916, 0.08093453751683106]","[0.025627891218246077, 0.018345459069238148]","[0.044438387015414055, 0.09782865848625626]","[0.0532413895109919, 0.05182130559683389]","[0.01000856078661526, 0.017561181423766937]","[0.027209629416036163, 0.03876781659879581]","[0.014726957111236455, 0.01704107643873481]","[0.006019085952714486, 0.00935538217731797]","[0.016437346424238313, 0.008164124331571517]"
9,Uniform,0.8692640692640692,0.2201208981001727,0.22398963730569948,0.11674590063091066,0.46269143971014115,0.36269578876756875,0.21544958981001727,0.3566948313143653,0.9129800335598391,0.6841462171368259,0.07255442250602777,0.040732158417345884,0.015157750337754216,0.06332424593286495,0.045538008539761185,0.009539169110314225,0.022796520655949636,0.008349500113531956,0.005416459277635949,0.008777715696602005,"[[132, 12], [16, 54]]","[0.19937867095288414, 0.2650751873264575]","[0.2208007864967762, 0.2308179828039416]","[0.09255417401911695, 0.16866812407261494]","[0.36244655704492695, 0.6686320257513148]","[0.2711368341918759, 0.5534101666417419]","[0.1999236451299093, 0.2495945550117326]","[0.34704549885814634, 0.37716304124843886]","[0.9066263921183817, 0.9260916690516975]","[0.6316145152544509, 0.7936569466287172]","[0.0399735546875802, 0.11018586209521461]","[0.01724032754998163, 0.029292687086185213]","[0.04645722982954649, 0.0970145668669462]","[0.05559938625233856, 0.04556449391425151]","[0.010345794819985338, 0.01948482049949649]","[0.026194505905154104, 0.037308579850353255]","[0.007499493756706827, 0.019813546729481626]","[0.006943711816515729, 0.010984608609920244]","[0.010991380415982417, 0.008933202732632105]"
