n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,Uniform,0.7561613475177305,0.11859083284316929,0.2220862470862471,0.1124317500025717,0.6319885188916625,0.4335938163843866,0.1788374112906823,0.37959890612109815,0.9703634398331354,0.9387152065552584,0.08244931076047284,0.025341212977984563,0.014616513064553216,0.07879887511491836,0.06911638389256927,0.017705798605285202,0.013911596163198092,0.005194822235207094,0.0022345483529998228,0.003836285738618561,"[[208, 61], [55, 152]]","[0.09723839103441839, 0.14731525810827678]","[0.27614495651499854, 0.15500668441418566]","[0.09415604944971724, 0.13555349633022]","[0.68252966965937, 0.5727342475788271]","[0.4172479568781773, 0.45382750516560294]","[0.20205702256028407, 0.15042041190820693]","[0.40018918866985975, 0.353854041666221]","[0.9823569205306988, 0.9554131981408451]","[0.9226421641993188, 0.958723091499446]","[0.03403116357204073, 0.04410506377401737]","[0.014757148199917178, 0.017222443170795885]","[0.06544469757751241, 0.0867876021645041]","[0.07373474346464, 0.10951210567832477]","[0.009603399414351286, 0.028401734254208597]","[0.024712270525497647, 0.019853427223253048]","[0.007564366012370048, 0.005653777138302233]","[0.0018768481252527342, 0.002235917686784764]","[0.005829216510895547, 0.0022791931998763434]"
9,Uniform,0.8612588652482269,0.12770243774916673,0.2264257238089014,0.11151908562765978,0.6326386600930748,0.4336984349067577,0.17600899360245154,0.38151860055646253,0.9708267920753866,0.9393204902480322,0.04677066132193977,0.026632455526168244,0.013092013301621668,0.07455230969627037,0.060466390600969235,0.01675893959961361,0.019994558175402306,0.0071526010290474595,0.002122629288244941,0.0025166839727426647,"[[241, 28], [38, 169]]","[0.10517311317686787, 0.15582218363059291]","[0.2850761638419911, 0.15127359254717732]","[0.09969163123692373, 0.12626378086346304]","[0.6811977396986666, 0.5708047198197492]","[0.4184028001758449, 0.45319664912591556]","[0.20856597096812896, 0.13405347370834286]","[0.4034869857457647, 0.3531992850852993]","[0.9831098407976346, 0.9551273660583032]","[0.9237270701212861, 0.9591562763779258]","[0.025067292095840278, 0.04209831542371599]","[0.02196238169967877, 0.012858220145072543]","[0.06360689060491875, 0.07914159124255733]","[0.06813468515314043, 0.10521954019436323]","[0.00855619878353453, 0.027848120973068453]","[0.02805256677354471, 0.01895358876184119]","[0.008110401959056048, 0.011468751549399673]","[0.0013795731416927717, 0.003886314736655322]","[0.003566224396695112, 0.002058730259202243]"
19,Uniform,0.8568262411347518,0.12817680761605993,0.22783086072805697,0.10742019332281823,0.632516875683989,0.4321752901037249,0.17940629204647895,0.3847656096090467,0.9706551139864438,0.9385693975168697,0.06478879917694126,0.02857261837965881,0.012496394161934335,0.07220919134979868,0.061511945321609446,0.01762330975031421,0.01921280291148226,0.007070436492260993,0.002498869372928088,0.0020866963452650365,"[[239, 30], [38, 169]]","[0.11545827999130868, 0.1467951204578103]","[0.2890884564640686, 0.14632753113412791]","[0.09299057685872343, 0.12828994848017083]","[0.6785808448046147, 0.5755231436102115]","[0.4175235022444843, 0.4521383352305179]","[0.21381788233154428, 0.13359490740066748]","[0.4087550419495084, 0.35297090163226325]","[0.9827539788974724, 0.9544985208251179]","[0.9235392007848665, 0.9584372521427245]","[0.03467450884637752, 0.03948689368742663]","[0.011399499346587216, 0.012594635731616219]","[0.06267403787882873, 0.07808016368985615]","[0.07247749574433268, 0.10981203453317206]","[0.010748604174032571, 0.026465973648874333]","[0.02244932421335659, 0.021389205125870264]","[0.007473557985232001, 0.006837295664122583]","[0.0009413270817765162, 0.003522559949077149]","[0.004511569897638026, 0.0015797071806647857]"
29,Uniform,0.8653812056737589,0.12325011437160968,0.22908459142104004,0.10669046951728745,0.6396152153603464,0.4325242405484704,0.18265645569383887,0.3835135227699793,0.9706639029250697,0.9392799221196924,0.035270896353143365,0.02802891437080384,0.018641575197460288,0.07535467720868401,0.06651053064214625,0.01768668283995046,0.019373909835948368,0.006659269794200045,0.002440742103418023,0.0044890675330392085,"[[244, 25], [39, 168]]","[0.1098696982885119, 0.1409233102121365]","[0.2865226842100717, 0.15507846276238138]","[0.09798095749588752, 0.11745777014753042]","[0.6874513453334632, 0.5778729982377235]","[0.419232456326961, 0.4502161007595893]","[0.21641292499128317, 0.13850726707554464]","[0.4066985833674749, 0.3532357444920903]","[0.9827876986370766, 0.9551560213685857]","[0.9241937427186308, 0.9587112837262014]","[0.034299765708253195, 0.03453017847809843]","[0.022095681011107187, 0.012208254057760076]","[0.06589859378597401, 0.07957348537813982]","[0.07593077962921739, 0.11025520896842517]","[0.010244447222376728, 0.02772640193294696]","[0.03094455730165117, 0.008531103550724922]","[0.010547049779127855, 0.0029179448798106497]","[0.0017731596647436647, 0.003084931975000028]","[0.006779505403779087, 0.001500408106571648]"
39,Uniform,0.8717198581560284,0.12023015924885083,0.2251227588610766,0.10623285656762613,0.6415827823462945,0.43505927414192447,0.1731817753897193,0.38241146599829756,0.9703286917269095,0.9399578019285822,0.029310637338776573,0.030678226778765232,0.012456133532083203,0.07431504516098325,0.06903330176896938,0.01491708985782836,0.0240687058823191,0.00700613496348806,0.0019502025583681033,0.0026201030616233635,"[[244, 25], [36, 171]]","[0.0995466073101223, 0.14494299913034914]","[0.2834319428329864, 0.15208291494342835]","[0.09361705735279649, 0.12173579608290612]","[0.6904380505204087, 0.5809540438380945]","[0.41998236491583985, 0.4533781051687412]","[0.20197142987458627, 0.13762982237374194]","[0.4074456810169084, 0.35123706964800844]","[0.982785794315922, 0.9547373177402017]","[0.9246822854654478, 0.9591589746639411]","[0.03279625267537676, 0.041034540624225]","[0.017156281577260585, 0.016020405275799458]","[0.06563510172135732, 0.07743778842814592]","[0.07314362172003926, 0.11354072186657685]","[0.006830028424590753, 0.026386225125990415]","[0.03376957433178668, 0.017868441123565323]","[0.010881530202976988, 0.006352228889836885]","[0.0018353424709896266, 0.003589020390625414]","[0.0035605681148082645, 0.0012956082595458798]"
49,Uniform,0.8633421985815601,0.12582402021654357,0.22068285297257262,0.10700663224593357,0.6322291472787356,0.43453542587246485,0.17620170976479385,0.3800639850484776,0.9695571903982311,0.939764620208827,0.02882989536878637,0.02457491234876685,0.016041025217632468,0.07352626716920674,0.06837386659065794,0.016685357763518677,0.022102143182106918,0.007475333778784137,0.0023011085133028968,0.003045548566187777,"[[244, 25], [40, 167]]","[0.1067437460058405, 0.14950503146950603]","[0.28146047574284483, 0.14628008892700856]","[0.09584190039817772, 0.11950943815257746]","[0.677809811654946, 0.5761501615469443]","[0.41967411431223517, 0.4526614681614918]","[0.21086775029099386, 0.13392899830756527]","[0.4038528258548668, 0.35096364987966566]","[0.9822355271862717, 0.9540784481966191]","[0.9234519148913316, 0.9594954678687959]","[0.0274590732764738, 0.043738223234798805]","[0.019194723551930547, 0.015051109037786904]","[0.05999118899467511, 0.0817758748453866]","[0.075864093789027, 0.1236903981754696]","[0.010216387786667483, 0.02682217446560414]","[0.030813005625479565, 0.023078131391813056]","[0.011458566862621302, 0.009235184020922067]","[0.001983582311914581, 0.002763007164771849]","[0.006039295973685475, 0.0017775320005232371]"
59,Uniform,0.8695921985815603,0.13048166786484544,0.21914232185260224,0.11150727689087925,0.6380360874357183,0.4358331045856625,0.17627472994295423,0.38070921438812627,0.9695075492828893,0.9399215678477585,0.026618554704885004,0.027389085642363975,0.01432220013679458,0.07781763593596756,0.06639220134537045,0.018392073102528328,0.023724462017329032,0.008080748355723495,0.0025746198622424834,0.0037254251091393587,"[[243, 26], [36, 171]]","[0.1062693426772752, 0.1599897324476396]","[0.27629741158457566, 0.15106913531296648]","[0.09696980501557857, 0.13001076327931393]","[0.6843347932274337, 0.5854710833344391]","[0.42087149457876827, 0.45410087775347235]","[0.21002769523841164, 0.13582208038191385]","[0.40471561940498735, 0.3523500092852584]","[0.982416242401959, 0.9541045868263079]","[0.9236535607245642, 0.9592902180371807]","[0.029737350993507636, 0.04702051018172223]","[0.013744740560653782, 0.01611211526045685]","[0.06880801039614144, 0.08235603871605346]","[0.07165527033248968, 0.11736996466112667]","[0.012544114184323189, 0.025080971488492445]","[0.033469234494876154, 0.0251771529106808]","[0.005873512585333822, 0.010118746361952683]","[0.0012049700626600801, 0.003962856847826633]","[0.004753946442631517, 0.0023319575552643375]"
69,Uniform,0.8780141843971631,0.12675587652223166,0.22898906389560597,0.10730910400670668,0.6332206783678093,0.43549209686771373,0.1814374981197411,0.3820561912819071,0.9705874704516766,0.9390185734769678,0.024600775419120275,0.020216206357315775,0.010599042100511023,0.07605701693535752,0.05993320791966137,0.01601069793930802,0.01862798913210253,0.005777159581161021,0.0022650989544191805,0.003687833987401705,"[[245, 24], [34, 173]]","[0.1059565890717649, 0.1527793361275996]","[0.2861498378409887, 0.15455235758523053]","[0.10010160087908773, 0.11670556796193363]","[0.683104166518786, 0.5705881762468945]","[0.41963713758065885, 0.45604974245021895]","[0.21669677309761876, 0.13498914015162516]","[0.4055772534280481, 0.3516522408482157]","[0.9825036082484597, 0.9552384637832206]","[0.9238244910264422, 0.9586406110430584]","[0.02502639945160662, 0.04033214415094932]","[0.01761778879170444, 0.01946733476352267]","[0.0644836680436502, 0.08366581287703644]","[0.07003284119896025, 0.11404112423107551]","[0.008149262468870122, 0.026082513713982573]","[0.02688604567303966, 0.0253159200774981]","[0.005788025663649571, 0.01024474806732359]","[0.000860324057582991, 0.004366445460541046]","[0.004478882862792982, 0.0024750937268453017]"
79,Uniform,0.869636524822695,0.12302954055290502,0.2220353789512668,0.10923579377601329,0.6359847450184684,0.433236352333182,0.16969655214982318,0.379747757436937,0.9696503829640944,0.9373064344168387,0.035739065606213656,0.024788543095918197,0.007042419910939551,0.07648283910353541,0.06765510127334366,0.01901092642929915,0.015578093732313524,0.00785141202764449,0.002002633872203762,0.0028918982470974327,"[[245, 24], [38, 169]]","[0.10769112895249704, 0.1432021326550265]","[0.27482354991115326, 0.15510077394929428]","[0.09001405165949058, 0.13434792781758195]","[0.6823509149978902, 0.5757209779881073]","[0.4200937852191604, 0.4506885234474775]","[0.19218625375141127, 0.141475841455335]","[0.4001878253182637, 0.35382629280160827]","[0.9818615913350494, 0.9540718329774256]","[0.9214141713293073, 0.9575770474520944]","[0.029043222879481325, 0.036928676881293566]","[0.011376549731568392, 0.018830105096877894]","[0.06774976580902597, 0.08023664468237969]","[0.07793745891419292, 0.10787265817878328]","[0.01191801220450967, 0.028879433238628852]","[0.02058858718063984, 0.01960615908589854]","[0.010981465835316844, 0.0112160105819164]","[0.0013674479681462291, 0.0031187930992968307]","[0.004941192320808617, 0.001670289950296418]"
89,Uniform,0.8801418439716311,0.1300296276931791,0.2284291876347951,0.11211557085996113,0.6389575303263134,0.4343583970255766,0.17361734319678243,0.3821680237157047,0.9694900151436295,0.9395957268719345,0.028502535171993238,0.02881356304529694,0.009163036245455199,0.08081885420680433,0.06246029072196905,0.01473872956640008,0.01662866478862138,0.006972115062834924,0.0017793789585941562,0.003472465315823926,"[[246, 23], [34, 173]]","[0.11604398508520711, 0.1499977677316508]","[0.28598860295761575, 0.154048560020426]","[0.09991525764299006, 0.12769196690262768]","[0.6794082903029672, 0.5847579774523144]","[0.4187514954293793, 0.45430013367462074]","[0.20701428082569415, 0.1305146367018292]","[0.4058601915334399, 0.3515261518709957]","[0.9824353231083457, 0.952711698335496]","[0.9250176665454554, 0.9584798527441878]","[0.03491020436484566, 0.04470884667860818]","[0.009405715760220337, 0.013141496613910949]","[0.06400406939761827, 0.09375919247967304]","[0.07176725367918713, 0.10772825034930854]","[0.00825802185369262, 0.02209635669578158]","[0.022843468911186052, 0.01741057560742917]","[0.007561129305775024, 0.009525742382424908]","[0.0016456466630003026, 0.0023608182242052258]","[0.004883280030242203, 0.001807742285959492]"
99,Uniform,0.8717198581560284,0.12162984990087793,0.22087521512755157,0.10722437477445639,0.632224094446825,0.43257467492847457,0.17435630828154192,0.38040934117290304,0.9696305797373626,0.9385103514508988,0.040587069075056055,0.030055199809738184,0.017481786269008676,0.07745128496486042,0.06907703144432753,0.018934670842527465,0.02357846001378368,0.005154089950142515,0.0022647371656528805,0.002936016987000981,"[[245, 24], [37, 170]]","[0.09582517558855065, 0.15386050045232402]","[0.27163826852976575, 0.15517514034401148]","[0.09087314705482627, 0.12827112198974946]","[0.6788644214270116, 0.5746529198287808]","[0.4160894080448908, 0.4538141172213008]","[0.20179864105935405, 0.13860280388626003]","[0.401586459050386, 0.3532076549835522]","[0.9816018326591459, 0.9542128902023999]","[0.922321857231192, 0.9593027198871507]","[0.04015893526053936, 0.0437606977027121]","[0.018523903031423122, 0.019795324395313264]","[0.060762276016361, 0.09103513920815302]","[0.07469555607345234, 0.1122105211599467]","[0.011063085992924045, 0.02920102485001793]","[0.023179673667280028, 0.030101498980597996]","[0.0077751655684182835, 0.007375481361435383]","[0.0019096532829947141, 0.002876375384409909]","[0.003011655949659295, 0.0020627766582108063]"
109,Uniform,0.8717641843971631,0.1304920157723896,0.23151580506720695,0.10848268065781266,0.632760240199133,0.43737464594244874,0.18022659064715138,0.3817343162232367,0.9709940126202239,0.9393685617576508,0.02913646397546438,0.018613503127060206,0.013948597502800173,0.08219415347377222,0.06366389588167387,0.01674401917572778,0.021750368482741055,0.006219023885014388,0.0014139062341884884,0.0032724723019203384,"[[246, 23], [38, 169]]","[0.11290794229645693, 0.15147735904849252]","[0.29126839115063186, 0.1537926394892758]","[0.09582967510647689, 0.12478178867841075]","[0.6743234613420376, 0.5811871658662761]","[0.421455896151049, 0.4580598395420215]","[0.21694633804589292, 0.13253313179516923]","[0.4057821429931227, 0.3504176606379221]","[0.9832709537011783, 0.955051021799925]","[0.9244688602916666, 0.9586404443228942]","[0.02687222531744595, 0.041693137615422406]","[0.017035160043631984, 0.0194374352084723]","[0.06960353027540311, 0.08966974708906962]","[0.07202215524843147, 0.11738353491018343]","[0.009164984554197082, 0.02792021285085416]","[0.023515402410943503, 0.027544538599259878]","[0.008530240338509182, 0.008360305262445595]","[0.0013735291549638764, 0.0029848259465198256]","[0.005028557609747518, 0.0014700422234663257]"
119,Uniform,0.8675975177304964,0.1304985512929438,0.2230198461974163,0.10941109990706606,0.6320645574588944,0.4366262032123919,0.1695659960496409,0.3799630537757003,0.9705520215344018,0.9389724967447071,0.03603508036623698,0.030861550698536546,0.01475868358359655,0.08070005469243273,0.061838196671689306,0.015601561795400423,0.01603235277297756,0.00578226639180442,0.0021805677646478724,0.0021397322131890668,"[[245, 24], [39, 168]]","[0.1113200574371824, 0.15656830395325277]","[0.2798500817541943, 0.14858173186351448]","[0.09570824522148051, 0.12675644964749302]","[0.6790442510315178, 0.5700010650895388]","[0.422866791834778, 0.4546954973982832]","[0.20661195233499416, 0.12034472377061452]","[0.4028382397689111, 0.349847763616979]","[0.9822238372538751, 0.9552857599049973]","[0.9234316054304165, 0.959254168093078]","[0.03390916582497359, 0.043746441499857756]","[0.01342601515561246, 0.01978931061748605]","[0.06504993455653511, 0.0915094270318006]","[0.07452874848050094, 0.10541303690505854]","[0.007875068371387572, 0.02573621265218157]","[0.017866328294059413, 0.025035439099186135]","[0.005434735910812446, 0.010882225824264088]","[0.0017091558020034946, 0.002598926818130996]","[0.002357038277018401, 0.0023551462771807174]"
129,Uniform,0.8718085106382979,0.12582783260353353,0.2254434350696033,0.10726650962579365,0.6351209459052083,0.432131316919525,0.1779456472914417,0.3824879646419671,0.9707367743951819,0.9380565658490442,0.03786878290696659,0.031018446891929945,0.017266861598587164,0.07315426091446495,0.06213930995306392,0.0165841981230939,0.02291081763582609,0.007793842938616115,0.0023203269370819495,0.0033207683229898428,"[[245, 24], [37, 170]]","[0.10702273040986521, 0.15242809097634719]","[0.28234069329864825, 0.14786414777308593]","[0.09370035367868722, 0.12565675158641718]","[0.6805362290046035, 0.573975412791804]","[0.41635872807536367, 0.45328193079534157]","[0.21245131912373655, 0.13038864037571166]","[0.40522579051905916, 0.35140097182706337]","[0.9825390502484519, 0.9547396787066813]","[0.9232271745409527, 0.9582107582112187]","[0.04286574395569124, 0.04550961221737903]","[0.018937560360633994, 0.016643553759173604]","[0.06246841525815778, 0.07910742914492476]","[0.07478976543972209, 0.11309937437550284]","[0.006813862523835871, 0.02943453748907739]","[0.03438377062896823, 0.021119100846438504]","[0.007256151783085162, 0.011763150681937435]","[0.001755156142251357, 0.0033870126965614895]","[0.004402529970353908, 0.0018053521788891486]"
139,Uniform,0.8738918439716311,0.13236280853103283,0.22329379343398034,0.10868207288060974,0.6384257138213579,0.43494018359298386,0.16968643765372737,0.3814990226058669,0.9699320060971537,0.9386616198799512,0.03862930118892039,0.024681687091122603,0.011535657532422415,0.07470338760666408,0.06303327245688314,0.015349543572563011,0.017271119789344865,0.008210750265073542,0.001945767153385807,0.0035111170562080996,"[[245, 24], [36, 171]]","[0.11285538747031512, 0.15854486372170218]","[0.2805068022219023, 0.15117188204089285]","[0.09610774359889682, 0.12436472446359023]","[0.6854936217386962, 0.5801905585744199]","[0.41888677972200644, 0.45505385271218923]","[0.20367556429115372, 0.12703531234946716]","[0.40605137284297854, 0.3504366073419446]","[0.9821372667680281, 0.9544728220868371]","[0.922901010767516, 0.9587422715467933]","[0.03236265062950895, 0.03658018271961744]","[0.014503214356009615, 0.015653566787597]","[0.06538570233376619, 0.0771061960209341]","[0.07446451420601446, 0.10316927945618537]","[0.00902087462130388, 0.0230750898740825]","[0.018793677836254456, 0.020409405917976096]","[0.009173031716752874, 0.009209864401222985]","[0.001882574370585203, 0.003330181392005009]","[0.004448640560749056, 0.0022276473619034527]"
