n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,Uniform,0.9031931419910959,0.08536940386260664,0.13246803154360448,0.08786551666824251,0.5267898529318422,0.26036812255736,0.10692923424799136,0.27639411730502494,0.9884648450312647,0.21338697356625844,0.013873566999321999,0.007986925773554043,0.004788984990223984,0.01115414565965655,0.03548066663697357,0.00624421249309005,0.005699724288663038,0.003974909590491424,0.00044920094281283016,0.002151181038772843,"[[2551, 234], [211, 1601]]","[0.047203676441541574, 0.14361861879628635]","[0.09508058261868096, 0.18960869168216402]","[0.07130831810982777, 0.11317489673164369]","[0.5499531180972681, 0.49237418692938884]","[0.21751512590751693, 0.3258416071054203]","[0.08010747188705065, 0.14792487553561623]","[0.3059259392352113, 0.23123893905943027]","[0.987659010049039, 0.9897023832204799]","[0.17252949966388761, 0.27591244062754183]","[0.011476875044129002, 0.01678473709928181]","[0.0025790617597115746, 0.00905246313315918]","[0.010711347083547028, 0.011994163842655794]","[0.03474017124511764, 0.058808360642604626]","[0.00731445954693295, 0.006576545665865054]","[0.004951772061372638, 0.011230464953561229]","[0.004006014737775971, 0.004746461890826113]","[0.000506670953914165, 0.0006253043986631856]","[0.0024843123941609754, 0.0019363813104892565]"
1,Uniform,0.9053708439897697,0.08500682228175095,0.13354104169974415,0.08843152862579093,0.5270081674630356,0.2633240151211955,0.10593624692979353,0.2768744674660498,0.9885956294139575,0.21251512268201775,0.012286051975898866,0.004518171428819905,0.004995948387825618,0.012123094069581933,0.03425461430210485,0.00539671421954308,0.0033742427191979104,0.002352100105931219,0.0005679481050601451,0.002564709563967647,"[[2556, 229], [206, 1606]]","[0.04906835595719617, 0.14049606444735477]","[0.09516636106469892, 0.1926504648429752]","[0.07294155980688487, 0.11231775131222965]","[0.5498240646162501, 0.49151493995128287]","[0.22230043579870945, 0.3264852919479727]","[0.08131013128685739, 0.1438654413338683]","[0.30661118193785886, 0.2311275442195658]","[0.9876812373578281, 0.99000316275948]","[0.17231887913863675, 0.27438185916832797]","[0.010658733731055064, 0.013564918499054744]","[0.004634875357129978, 0.010159386658069796]","[0.009700703882749143, 0.01601609078320857]","[0.033160642563171396, 0.058017116405686645]","[0.005146601682448207, 0.007080250613954511]","[0.005355207804503154, 0.00947970803523808]","[0.003963018469654091, 0.005887360003421915]","[0.000647368877987338, 0.0005971600274886012]","[0.0020934648165102368, 0.0035001548755317336]"
2,Uniform,0.9279942218433268,0.0852483680908114,0.1322311063569132,0.08954862191552738,0.5270672345866927,0.2623203585822962,0.10756897977221805,0.2778517595112945,0.9885305731095624,0.2120167335213446,0.013038735481657984,0.007950561530405038,0.0028958889047692427,0.013374957044857813,0.03392906869740117,0.0076008896031353485,0.005112596485567483,0.004289617786030866,0.0005064724918878585,0.002130151682176723,"[[2624, 161], [170, 1642]]","[0.047628131891216174, 0.14340515619093225]","[0.09359230946780303, 0.1918049646827956]","[0.07383153070038148, 0.11376359514367271]","[0.5510955655209541, 0.4903307466420693]","[0.22112787651441473, 0.3258861037125172]","[0.08077947382379654, 0.1489043737239079]","[0.30588512330381895, 0.23460332272695744]","[0.9874648937552118, 0.9901694041059592]","[0.17254636431079792, 0.2728871104756749]","[0.010170040521932962, 0.01661712504991166]","[0.004082157572114939, 0.005228130354102379]","[0.009345261013503829, 0.018355258136069072]","[0.03271845394308463, 0.05660925141332011]","[0.009044367951789353, 0.00743906728233662]","[0.0041796217268649455, 0.0073543529831783345]","[0.00469197393388966, 0.0065944881016900565]","[0.0006348782858604762, 0.0005013762173269529]","[0.001985059585566486, 0.0020401386703713777]"
3,Uniform,0.9275580183764326,0.08447495418223572,0.13134158923473266,0.08988162971849033,0.5284644251547977,0.2615097202274606,0.10709619264715631,0.2784809079054354,0.9886025566328269,0.21279321267744317,0.011893630888072444,0.006269670515073246,0.00347589943764288,0.010736811730391538,0.03612971542364571,0.004005302708523124,0.006121001756203057,0.0021104877642863637,0.0005424931383129923,0.0018518277901403578,"[[2626, 159], [174, 1638]]","[0.04733801156591037, 0.1428324979280629]","[0.09533597865705837, 0.18782118168469236]","[0.07452340432797386, 0.11399688268871191]","[0.550928065219628, 0.4933086511935314]","[0.22008784469778603, 0.3265455435827188]","[0.08285909034730174, 0.14517429443132085]","[0.30857315628588516, 0.2313704125157301]","[0.9877791121884073, 0.9898915724264279]","[0.1727150767027713, 0.2756393812386276]","[0.012038586782187513, 0.01608051463343593]","[0.0028119554492855, 0.01050634658263379]","[0.009659253891489432, 0.012120938280913643]","[0.0356787848436577, 0.05892342608714267]","[0.00560556288509399, 0.006037210879527518]","[0.006454980514706467, 0.00931481000783346]","[0.0026051272869479203, 0.005397649910190124]","[0.0005923562143947304, 0.00047096922011326215]","[0.00214120734702049, 0.0032983261291616136]"
4,Uniform,0.9332125603864734,0.08744791285144039,0.1330237376150088,0.08954147960961803,0.5276649546346581,0.2596005281419307,0.10911693370078046,0.2778435387707909,0.9886747932347685,0.21255577979311807,0.012756884234133008,0.006456666923384744,0.005478350489936607,0.009782034433279446,0.03580819967984719,0.004326153278053878,0.006343826089463775,0.003926147679067162,0.0005586266980826743,0.002213423337444938,"[[2639, 146], [161, 1651]]","[0.0496973324531539, 0.14506011197323862]","[0.09498837172068822, 0.19096300668320051]","[0.07404877718253748, 0.11315346638298637]","[0.5499238351908791, 0.49364580200555486]","[0.2161257636088516, 0.32578826516384274]","[0.0837627902722361, 0.14783855892926892]","[0.30614509518991706, 0.23470230068760428]","[0.9876709378675637, 0.9902084395783334]","[0.17238516854234515, 0.27380476230842893]","[0.010477516677885993, 0.012936727321458464]","[0.0048571026302199624, 0.00839926169355425]","[0.008676157346225724, 0.011243662741778546]","[0.034117261094825234, 0.05961891967230393]","[0.004489687248117727, 0.005331290691535213]","[0.00503483380419425, 0.009384720241276866]","[0.004991572335452783, 0.004686766851373186]","[0.0006617374444438148, 0.0004891698741585943]","[0.0026647400797946974, 0.003325678257239643]"
5,Uniform,0.933649237472767,0.08563539048581725,0.13121132390118856,0.08932993713954533,0.5282155479840875,0.2634703896693553,0.10643197487188356,0.2767486341312225,0.9885318135034747,0.21238778332246314,0.01307415846805563,0.007091780910450855,0.004069854384756025,0.013578837156455015,0.03748081419727269,0.005908519406670819,0.006419763668121564,0.002895109512221505,0.0006198560900813584,0.0016531680950337003,"[[2639, 146], [159, 1653]]","[0.0502160713901072, 0.13975713638472526]","[0.0946813299449335, 0.18675918828681007]","[0.07427633965760082, 0.11224013621445401]","[0.5516022090873143, 0.4921424072561861]","[0.22210822319047577, 0.32652133590869115]","[0.08038403134937502, 0.14603323872899118]","[0.30543143118654037, 0.2328872874813328]","[0.9876465020217792, 0.9898752454301778]","[0.17140346237858067, 0.27493439876663317]","[0.009391449026021053, 0.015050866577936054]","[0.006205212870534326, 0.005838488907071763]","[0.009678782160627498, 0.01816907296011477]","[0.0381370757717175, 0.059350100465138445]","[0.0065395019018722154, 0.006352584851923602]","[0.00826916973534912, 0.004890680914298476]","[0.0036799233872770063, 0.005920761826457909]","[0.0006961336980722641, 0.0006047070786369865]","[0.0024325981078725913, 0.0036303018541393043]"
6,Uniform,0.9382191910580657,0.08785893210699328,0.13347338901212497,0.08975395324478204,0.528831952758701,0.26192825980690765,0.10857974210232606,0.27731137731381056,0.9885946172340703,0.21192656758987308,0.016054553555955666,0.008768011563172438,0.003907019860093249,0.012225410492127716,0.034261081627058564,0.005923674710210075,0.004838512225051365,0.0037164526054439696,0.0005783676463378103,0.00154486601251583,"[[2651, 134], [150, 1662]]","[0.04850327947628967, 0.14804411805437023]","[0.09500963806432333, 0.19237614751976917]","[0.07369575099671691, 0.1143244671845955]","[0.5525592133750872, 0.4926450584409842]","[0.2192648889577788, 0.3271811534961716]","[0.08082276462757179, 0.15112859690654462]","[0.30715622717920593, 0.23158718861774874]","[0.9877136462045216, 0.9899409421982879]","[0.17186698749823037, 0.2732970191559877]","[0.010029817633380848, 0.015488515033450157]","[0.002325076466478374, 0.006714829261384496]","[0.009958919154926383, 0.015089472109232303]","[0.03315111597850705, 0.06054641382860444]","[0.007416613885791922, 0.00585518845420133]","[0.005352534443029856, 0.004879695440550748]","[0.002662985276142023, 0.007917703911203413]","[0.0006567700766606189, 0.0005885933223794665]","[0.0018533045220287545, 0.00242691633554968]"
7,Uniform,0.9358255186132425,0.08797975758497652,0.1345511494718179,0.08939018091502776,0.5279134121647067,0.26266928245127624,0.10730694993113535,0.2781962801883714,0.988620586699877,0.21162555351929244,0.017168893301025924,0.006189763690738972,0.008184704601931873,0.009462441698462639,0.035264177182180605,0.008580051753866334,0.0038251484321888763,0.0045482365567254225,0.0005347829288863955,0.0024546786640597235,"[[2650, 135], [160, 1652]]","[0.0494134104292332, 0.14717451289231862]","[0.09470048537517131, 0.1957138961308706]","[0.07333683598167665, 0.11404608404916465]","[0.5507008437077944, 0.4930080832951985]","[0.2200738208943513, 0.32816794962792206]","[0.0797132660128466, 0.14962754025958605]","[0.30725090855424353, 0.23355289949327424]","[0.9876635618197153, 0.9900978065674042]","[0.17241197295625516, 0.27192356103244175]","[0.009428428782947775, 0.01498247419016356]","[0.005967199445037248, 0.01039880068856495]","[0.006772543905835477, 0.013552451243837752]","[0.03611560781203394, 0.05897924829592323]","[0.00977022420839111, 0.006774417864105886]","[0.002078523641558191, 0.007036524513067112]","[0.004079310617102861, 0.007111811742334365]","[0.0005275941187016711, 0.0007252340466042049]","[0.003270043607244893, 0.0028172505524958207]"
8,Uniform,0.9406119162640902,0.08522430113232703,0.13135609366626583,0.08807046934646785,0.5286162839440749,0.2614418686714525,0.10604468935776015,0.27697669615973525,0.988586031046942,0.21264779061211572,0.016504910080078913,0.008061534159748725,0.004659125868457188,0.012268154902223676,0.036154884365830274,0.003917101985995394,0.007984332222101424,0.0034290251343363993,0.0005655235302021689,0.0013222678142667452,"[[2660, 125], [148, 1664]]","[0.048466458088813225, 0.14147439722354477]","[0.0945002368122849, 0.18790488229729474]","[0.07335472068116303, 0.11064018023819003]","[0.5522892088196102, 0.4922277347394858]","[0.21858091216861827, 0.3271864812924702]","[0.08098868441020607, 0.14446880849767899]","[0.30633489564091765, 0.2319717820984121]","[0.9877564938715337, 0.9898604279609113]","[0.17193123623463055, 0.2750951208430021]","[0.011380481824528865, 0.014751949424087517]","[0.0038414170205486858, 0.007352378551690462]","[0.01000884388095642, 0.014302879410433452]","[0.034421736101835736, 0.05865224201973025]","[0.005412753490302326, 0.005315542271791464]","[0.006716858509273888, 0.010038423319539042]","[0.004296036724462828, 0.004122964561788136]","[0.0007087438307940498, 0.0006317682833520754]","[0.0021814274122735925, 0.0034719108623717954]"
9,Uniform,0.938437055981813,0.08648108120927821,0.13240998227339995,0.08897765136989817,0.5300450957674414,0.2625990508993377,0.10727798661171917,0.27631257314298857,0.9885227381704131,0.2114830183821736,0.01468384914650352,0.00830348557456002,0.005987903182619914,0.012977071179471646,0.0351307907020474,0.007049960381891899,0.006043699296165279,0.004823423363085138,0.0006620959534216274,0.0019154154348317912,"[[2655, 130], [153, 1659]]","[0.049152992049735875, 0.1440905221208003]","[0.09504383586134368, 0.19028766220192955]","[0.07276844556349044, 0.1140527581888929]","[0.5532644197057353, 0.4934881255392748]","[0.22219901934826627, 0.32509024679451864]","[0.0809691408326749, 0.14806009116113472]","[0.30564201582155526, 0.23098079837966573]","[0.987555449240029, 0.9900263189681386]","[0.17143800098505876, 0.2734688798197542]","[0.00955717244731402, 0.015924704533194965]","[0.00465771820392823, 0.008901899424656912]","[0.01022271028578985, 0.01589920253148116]","[0.03356359980798897, 0.06032492168532757]","[0.007386399658707295, 0.006547361845116586]","[0.005987786562636007, 0.008128604681369483]","[0.004546816784966005, 0.006626742505825092]","[0.0007571437268824431, 0.0006295330884932146]","[0.002601957185289007, 0.0027639145893955546]"
