n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,Uniform,0.7273504273504273,0.19933609958506224,0.2743073997233748,0.24499715934132568,0.5964129899942919,0.2545368462649661,0.2848394385841222,0.46765846027585783,0.9366722804209282,0.839202266440337,0.07179637918796217,0.02106861035815778,0.01696044670024618,0.06115768917904149,0.10991522984707386,0.010558474485675609,0.02715885289612624,0.0035200881891390306,0.0073814957505654215,0.00871302865398714,"[[19, 36], [37, 175]]","[0.7292684234956377, 0.06860621999263364]","[0.5325019624767033, 0.2098502238762165]","[0.6046724411486202, 0.15454042097789072]","[0.644782159362098, 0.5851686480214215]","[0.6088594138403941, 0.16572185793950228]","[0.5726570053019863, 0.21281175759860158]","[0.5013748867612102, 0.45926665228450914]","[0.9827592622252862, 0.9251120987870083]","[0.946042531051979, 0.8122925066109893]","[0.17878133022430004, 0.03668600994430937]","[0.03121631482404555, 0.02286260547452055]","[0.15064180324575327, 0.039497741078009525]","[0.09816114547411794, 0.13079937297672453]","[0.008736858971117709, 0.011380900198300872]","[0.055054744359859006, 0.026562079730556947]","[0.003838763909342734, 0.0036342483826663995]","[0.00246762871204381, 0.008604776472107504]","[0.006531665834128045, 0.0111578887465261]"
1,Uniform,0.7202279202279203,0.21138312586445368,0.29095262793914245,0.25779829687156053,0.5929179304155964,0.2740549660284491,0.2962864256824319,0.469999832504174,0.9398524735220356,0.8400205111278762,0.10754372541526626,0.04165796877307154,0.01910303133471529,0.06978462336466904,0.10539161909227124,0.02104604050002299,0.025187556617247638,0.0031552838152298134,0.0062485117287452065,0.01160036071645888,"[[16, 39], [36, 176]]","[0.6897996267977907, 0.07123652784751788]","[0.5478133736488549, 0.21525440982101385]","[0.601562002028224, 0.1524994437525861]","[0.6440175009884191, 0.5796249194378408]","[0.6121486929141133, 0.17409110435355485]","[0.577448296342004, 0.21343706683764738]","[0.5029356815211385, 0.4603510379944815]","[0.9838784125534046, 0.9269320870324297]","[0.9401627279425686, 0.8106638126613257]","[0.18318855471491033, 0.044912976934948654]","[0.02770485734904646, 0.017024358880609557]","[0.1334057873375621, 0.03573316774734032]","[0.09034794678681925, 0.13301464602787108]","[0.013228275813187517, 0.013506682413753482]","[0.0960912502254064, 0.018014966680585148]","[0.0039539756230352, 0.0022209816268232113]","[0.00432885388906473, 0.006405129827411782]","[0.008405278352772617, 0.010709098622406545]"
2,Uniform,0.7686609686609687,0.21388312586445365,0.2819581604426003,0.2412199537027107,0.5956266143329162,0.26500519029804687,0.2931401728458264,0.46912117925122326,0.9367546938025126,0.8389877640513014,0.07174925818529616,0.035650482794832655,0.021169921920429248,0.06495764564166451,0.1089117162501374,0.01625497203407537,0.0284930143394367,0.0045301814482355115,0.009318459578721341,0.011946256798618207,"[[21, 34], [28, 184]]","[0.7346032783593365, 0.07525017711873797]","[0.5326037562676615, 0.21420142453198107]","[0.5836296727184945, 0.1482599671638531]","[0.63248887793853, 0.5829474200181447]","[0.6121688237534801, 0.17112056055282424]","[0.5863038969727155, 0.2132232105201414]","[0.5013362046868498, 0.46034635940514645]","[0.9822199114221883, 0.9244464220513022]","[0.9437456049404019, 0.8107804243605392]","[0.177753216453688, 0.03515055699329949]","[0.029763473071049092, 0.023671358339767638]","[0.13576220095720015, 0.04024288610038438]","[0.09972897093612755, 0.1269431334146229]","[0.010766707874233063, 0.016356817153790094]","[0.05319306092907862, 0.021770089373760557]","[0.004238593489099857, 0.00512613672021715]","[0.0032652500333250224, 0.01083105104196596]","[0.005821624594006132, 0.013112171375402082]"
3,Uniform,0.760968660968661,0.19602524204702626,0.28512690179806366,0.24712508844881267,0.5902452214922391,0.26761995462614724,0.29961524645536575,0.4681308988022212,0.9362638210397479,0.8392394772412926,0.07088491105339213,0.029329880522415374,0.01654420284057329,0.0627368680450925,0.10880959128149234,0.010894641031411438,0.025541308474678125,0.004751817651333629,0.0104934348553041,0.01138285012378075,"[[21, 34], [30, 182]]","[0.6803881358293122, 0.0641786749924848]","[0.5422781581163936, 0.21377101014747785]","[0.6000778700347088, 0.14933670573162078]","[0.6394070291999213, 0.5763559219961096]","[0.6120137169021997, 0.17246733745065462]","[0.5923900286318878, 0.2182374934565526]","[0.5012232020575013, 0.45887595760130245]","[0.9833082929332054, 0.923048893993812]","[0.9442621940967528, 0.8100139362485781]","[0.17595800078832693, 0.03484588047552504]","[0.05051013199103543, 0.02863001291721745]","[0.1302998835022045, 0.03986882054713222]","[0.09383194051714798, 0.13244156169422694]","[0.014981851015393465, 0.011691248615594375]","[0.07492182848449837, 0.03428739189416878]","[0.004366224812116269, 0.006124618136109136]","[0.004181398846496006, 0.013843304754548674]","[0.011020671538913089, 0.014454837200749842]"
4,Uniform,0.798005698005698,0.19473029045643153,0.2806224066390042,0.24225572308813487,0.595090095282004,0.2574816683533355,0.29439812132887855,0.46947070609260433,0.9401724707223021,0.8421628237771911,0.07203339987035783,0.03159910579160521,0.0227781613734923,0.06359875621572145,0.11476623330345047,0.013148413037585294,0.03492461675946881,0.0034005652468406407,0.007421978179517604,0.010100246905627072,"[[19, 36], [18, 194]]","[0.6932106849327345, 0.06821057729547915]","[0.5302483768474452, 0.217227721961661]","[0.5937597808147053, 0.15402093582754317]","[0.6436715072941781, 0.5811936388705738]","[0.6111496968118603, 0.16797986635718504]","[0.5839328322413726, 0.22002771882719524]","[0.5018935940707313, 0.46121896818547514]","[0.9823509565112826, 0.9294091856220819]","[0.9435626953130833, 0.8165128979470258]","[0.22074713151289607, 0.039270086706925236]","[0.04500849931309065, 0.01688294737256821]","[0.14804673318195719, 0.03784801095533838]","[0.10673904566496557, 0.13262370783527633]","[0.012542768527782019, 0.013162444167807577]","[0.08550511306749342, 0.026329317489695993]","[0.004756671160817401, 0.003210909310625247]","[0.006979147075247414, 0.008259357256422519]","[0.009357596924455328, 0.011559687458796937]"
5,Uniform,0.8133903133903134,0.19308437067773168,0.28173201936376213,0.2424493526244084,0.5934091321982919,0.2596786404398038,0.2944215418485387,0.4687963964472427,0.9379110294646541,0.8429259006035459,0.0736497697451675,0.020899072367884543,0.011562166032855052,0.059403455833204805,0.10928614844963462,0.013956168475911386,0.02744453853068065,0.0034072851044919627,0.008870110772294661,0.012978757945598137,"[[21, 34], [16, 196]]","[0.6814029705594591, 0.0739613256315795]","[0.5379147871855976, 0.21812817747297014]","[0.5770944378293319, 0.15829260246508453]","[0.6255345775529062, 0.582565961125533]","[0.6072947979728247, 0.17379064736543634]","[0.5547363858723637, 0.2287511510266944]","[0.5011961167173814, 0.4606937435455782]","[0.9825830238248108, 0.9268528254998719]","[0.948185708277107, 0.816884922444373]","[0.20787069575377412, 0.036096423839930614]","[0.03733326639921603, 0.0151056363305598]","[0.14109576839457463, 0.03391028591668081]","[0.09393554555271287, 0.1265610172973382]","[0.007664129687992443, 0.010262169443634473]","[0.06019735733389729, 0.028074947121144007]","[0.004972630220542808, 0.0037562906999872034]","[0.0047901700759547155, 0.010041711279168962]","[0.0046872394595116685, 0.013460220991656675]"
6,Uniform,0.8058404558404557,0.19182918395573995,0.27439280774550484,0.23793418192667595,0.5881335526026916,0.25631235815194053,0.2853667341763815,0.4677222419388352,0.9375802832815383,0.8427399644788129,0.05575628706427132,0.02578204931417482,0.015035146238250446,0.0591958340192496,0.11694622005159334,0.014082362467012001,0.0335571234201431,0.004331759052621671,0.008260850655104627,0.011617336365688182,"[[21, 34], [18, 194]]","[0.6785744098960087, 0.0732731314633219]","[0.5489331078593905, 0.2075620582130271]","[0.5957371137896624, 0.15318689165815585]","[0.639063257808791, 0.5749785987362218]","[0.6117924270372221, 0.16981605721479567]","[0.5772416980009749, 0.21385580168819135]","[0.5032292176224017, 0.4591557582946404]","[0.9848154070286302, 0.9262616315834695]","[0.944933507649707, 0.8180189262586793]","[0.2016603041987812, 0.03903541867508805]","[0.015592261935411097, 0.014149183592705417]","[0.14373464819258422, 0.04136238035249734]","[0.08479983635772798, 0.13495778023335697]","[0.013720254320528145, 0.010951492501956466]","[0.0567038355240185, 0.026950552115348463]","[0.003676889674978966, 0.004261388374964088]","[0.00288819828976912, 0.0086834708266228]","[0.010236976306071364, 0.013026753450437533]"
7,Uniform,0.816951566951567,0.2114073305670816,0.2813983402489627,0.2514455148865141,0.5909460690684757,0.2562397401485836,0.29950688307197637,0.4687335581629787,0.9392136512760694,0.8366850559537282,0.05514311068617069,0.03266633012330629,0.0124806859027836,0.0654225901535508,0.11013089793928328,0.015597624382841386,0.02697763706609909,0.003149679327454502,0.007481475535091683,0.011547391439595909,"[[21, 34], [15, 197]]","[0.7469395179983415, 0.07804956900890635]","[0.5422777970395616, 0.21482036607214]","[0.6204774983022462, 0.1576562927143825]","[0.6376123394384948, 0.5799004351852651]","[0.6105772156287834, 0.16612707199772522]","[0.5978224054685093, 0.22481703134083014]","[0.5025119645039863, 0.4602210547206959]","[0.9829333227047062, 0.9280984110026868]","[0.9397060675880864, 0.8103435051206838]","[0.17589527347707878, 0.04193489663038552]","[0.03042749058893283, 0.012528666496987025]","[0.12818007304403206, 0.04182792222048694]","[0.08570824992434901, 0.1302687363958183]","[0.008592043303368524, 0.012172546436081799]","[0.0871705628657892, 0.020109026764719498]","[0.0044951009171471015, 0.0027744644122523897]","[0.0029589020046947604, 0.009124283737816855]","[0.004756179336352044, 0.014592714666794309]"
8,Uniform,0.8094017094017094,0.1947942600276625,0.2770660442600277,0.23863689628266788,0.5909207097027377,0.25336837131309,0.2883876865124272,0.4675710488632398,0.9372106740160738,0.8355830347038854,0.0495231402535146,0.03383883891534178,0.0151832000193449,0.06531976400706625,0.11241080380594269,0.011162233026192184,0.028310099865264816,0.003176072252833967,0.009655227084419477,0.012016286753945442,"[[21, 34], [17, 195]]","[0.7421330686277187, 0.062304592055871175]","[0.5512577627225805, 0.2104749914411555]","[0.5803779871191768, 0.15493885908484856]","[0.6351190369171754, 0.5811890654732129]","[0.6064632593145729, 0.16685157412175927]","[0.603242991320145, 0.2127007031559321]","[0.5022816244696877, 0.45910406142908045]","[0.9847298150102558, 0.9254577370229781]","[0.945869445695512, 0.8081254273507547]","[0.16949441539841884, 0.03864059527279376]","[0.028277911619723036, 0.018788282184528757]","[0.16289249802680478, 0.03913907257747802]","[0.08885944631614674, 0.13241559425864655]","[0.011189503482428377, 0.01239770267817696]","[0.042077078393008505, 0.027854709939524835]","[0.002731326941806349, 0.004088157501233848]","[0.002195282464271991, 0.012329532602085797]","[0.009379767525636113, 0.015352467138358314]"
9,Uniform,0.7984330484330484,0.2055307745504841,0.28022095435684646,0.23592219058130856,0.587486576269512,0.2689187605377027,0.29291752232610635,0.4695448602447897,0.9423632690341369,0.8495715060354584,0.05964506143307106,0.03876296469615856,0.013997573285189937,0.06120742746149107,0.11323996322128574,0.013694235899727694,0.030588611455540933,0.002876946892688182,0.0064562886987236225,0.013668595857149498,"[[19, 36], [18, 194]]","[0.7137293858562754, 0.07555117627416601]","[0.540416736862074, 0.21412615907534344]","[0.5728974602761255, 0.15254864025964524]","[0.6405664488859145, 0.5732693871479387]","[0.6136323039012327, 0.18059981248787643]","[0.5948562806632305, 0.21677933817113013]","[0.5011540174677241, 0.4615051236802773]","[0.9834519797779709, 0.9318306128447199]","[0.9454571948405173, 0.8251002020493807]","[0.19699302373299907, 0.04263993066369326]","[0.02550582767448859, 0.016692045899076344]","[0.1543150344738458, 0.03700836152028154]","[0.09885617807214327, 0.13439314062866503]","[0.013759239886870292, 0.011651486285065227]","[0.05607027850690815, 0.03144247428345196]","[0.004417290194399675, 0.0033786260035036627]","[0.003347931290714213, 0.008097224136264177]","[0.009697186475419098, 0.016665877714349107]"
