n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,Uniform,0.6827272727272727,0.32343101343101344,0.4356874236874237,0.2820193433541335,0.5403733749287112,0.42203053229363263,0.47297802197802197,0.21453098188622577,0.957112876537885,0.31277574277574277,0.11438741703260141,0.06175564182547034,0.02549595100669566,0.08835924230825755,0.0629823598243087,0.019374122373813214,0.043719476178967355,0.04862734290264842,0.007525673637240764,0.009899409580652864,"[[29, 20], [12, 40]]","[0.13415635012439525, 0.4997641550467603]","[0.4241972651408742, 0.4495762118113934]","[0.28452291263767765, 0.2804466958172157]","[0.6328968743367793, 0.4554574361638416]","[0.44194510822769556, 0.40522137287664817]","[0.4585038401100431, 0.4844847444608968]","[0.18982649365997015, 0.23860390012506075]","[0.9699961850626304, 0.9459690804765207]","[0.31592088049794814, 0.30921685651577147]","[0.09071176750049632, 0.08522101798276836]","[0.03577384029533441, 0.048876332326480094]","[0.08699692716483856, 0.08853076233611953]","[0.04808794717725254, 0.06516667706700068]","[0.027319513196234466, 0.028110851453108373]","[0.06530780151440739, 0.05918091795095341]","[0.04512827316391359, 0.06636976160726274]","[0.006142387114855978, 0.013178236593083844]","[0.014255049360460985, 0.00935890914707752]"
9,Uniform,0.6236363636363637,0.29912087912087915,0.4271062271062271,0.2679429463463103,0.5229837269175293,0.41045322547700114,0.4743569393569393,0.22426111021559683,0.9548352063245895,0.31315425315425316,0.1031371994481583,0.05179699598257511,0.039206119150944026,0.09034717425514323,0.0395019219188119,0.028794649005513675,0.03914799218256666,0.039351695159785705,0.010019948300621848,0.010710871275550458,"[[29, 20], [18, 34]]","[0.13408766635238237, 0.4413944301020306]","[0.4356970008133976, 0.4189725137197321]","[0.28162905800051075, 0.2563046253353052]","[0.6381212659872418, 0.4215754685731642]","[0.44152050120456854, 0.3820041038368597]","[0.4934281870001632, 0.4574825672379899]","[0.20886512554580258, 0.23843118834452603]","[0.9709342588834409, 0.9411025144331544]","[0.31678013691181894, 0.30945788073462677]","[0.056350326042770425, 0.06453354381095207]","[0.04973056077778808, 0.05284155667493532]","[0.08244196434420581, 0.09099946008626784]","[0.04017187609207377, 0.04098694939110478]","[0.03573572475702031, 0.03146373666218432]","[0.06222537258257656, 0.03813197926793625]","[0.046759845882876835, 0.04671440128691277]","[0.007478213699040983, 0.013277706756127284]","[0.010345000015305715, 0.015849872575230663]"
19,Uniform,0.6536363636363636,0.3222832722832723,0.43679609279609277,0.28348655271030704,0.537362220087869,0.42915408448307213,0.484039479039479,0.20363662729618648,0.9552903644184398,0.31645502645502643,0.08336913831353002,0.05719221071894024,0.029415968536373276,0.09735911678463804,0.03283669920415491,0.021109263054536663,0.03872351093540395,0.03177852367712553,0.008282445681841328,0.007603493109562001,"[[31, 18], [17, 35]]","[0.12829979537295158, 0.5194235782295857]","[0.42520772154228553, 0.4500978236388777]","[0.27893384883094813, 0.2896799733054112]","[0.6287042351443416, 0.4460015376991252]","[0.4430905913832614, 0.41585804485751765]","[0.46290393408758745, 0.5089359667382332]","[0.18506719570960775, 0.22529451770350478]","[0.9702837267681292, 0.9406499039666146]","[0.3207387682831119, 0.311993517914955]","[0.09552837289125138, 0.056542845478594186]","[0.04488627605198372, 0.04721207676131502]","[0.08906291054405112, 0.10169655895168976]","[0.04114165580278853, 0.031032763548849207]","[0.025210406570732626, 0.030820707361088828]","[0.0722130128613037, 0.09346366620513274]","[0.040248239455679784, 0.03767920187247635]","[0.004417143305841066, 0.012750470670273866]","[0.006340826181772743, 0.010215872504063968]"
29,Uniform,0.6736363636363636,0.30356532356532356,0.4233431013431013,0.26943330973127194,0.5308038876819283,0.4141934764992494,0.4772769637769637,0.21522416970018146,0.9549965594454978,0.3135083435083435,0.07965144453856372,0.053799536272920716,0.01832947089513253,0.0895695802644801,0.04935894957446636,0.01773275418795649,0.07806364654204317,0.059547783006169634,0.0063271413533198635,0.010768533954607326,"[[33, 16], [17, 35]]","[0.1236529350011649, 0.47109583736645694]","[0.4086849266525938, 0.43956079054254926]","[0.2661127179403483, 0.27130294804448235]","[0.6363881506406578, 0.43221264938029985]","[0.4346229899728412, 0.39596622146581156]","[0.4755712345251853, 0.48401726169439935]","[0.1972878906418351, 0.2351964757846042]","[0.9681495502889821, 0.9429213144928642]","[0.31545632785624705, 0.31186358164318195]","[0.05610980226265615, 0.08871481941714743]","[0.03596825920002881, 0.03919584880100236]","[0.09027967480510289, 0.08692572565053146]","[0.04464431190858249, 0.06315370696427096]","[0.033911909553049506, 0.02843916084900462]","[0.0939890930068116, 0.08557948198224567]","[0.07393403601501014, 0.06053698403393578]","[0.00577089021792104, 0.008795952834209574]","[0.01119556850092669, 0.013737236341590797]"
39,Uniform,0.6636363636363636,0.2903540903540903,0.41980463980463983,0.27937739083240365,0.5315748072300652,0.4182398025177297,0.43811945461945456,0.20848829554402623,0.9533329416217855,0.3157061457061457,0.0673518508208875,0.05328379940210457,0.03185114560002415,0.08941382406149201,0.054068393523085144,0.019115316619571703,0.03522995006369217,0.038576312416771286,0.004217148240399735,0.010997758016534177,"[[32, 17], [17, 35]]","[0.12122374987737401, 0.4522170755683278]","[0.4086929713068975, 0.42961884971924064]","[0.28079862300796143, 0.27845556898934143]","[0.6385480413001107, 0.43009016133166034]","[0.43552817923419573, 0.4009827794134256]","[0.4242833229790771, 0.44893247070164016]","[0.18409009414959104, 0.22873392146096605]","[0.966336529128996, 0.9407827178415389]","[0.3233062334288456, 0.30880173741442213]","[0.0726353612122937, 0.10631224700825667]","[0.038007702123130094, 0.0486853866179296]","[0.08315896072993792, 0.09563156756316853]","[0.053007091386819125, 0.05097863937108928]","[0.03811347049014813, 0.03207691966086808]","[0.04504433601394054, 0.04588945317249278]","[0.06459739274014553, 0.0487837593344254]","[0.00797738348813258, 0.013040322492683522]","[0.009670119454687121, 0.012446631017751121]"
49,Uniform,0.6736363636363636,0.29802197802197805,0.4227008547008547,0.270975696139105,0.5293173908720552,0.419782220926974,0.46284126984126983,0.21118013138482122,0.9509528183933307,0.30987382987382983,0.07965144453856372,0.08616206883090023,0.04219453476247828,0.07904535781477674,0.0710523274214784,0.031182959002111123,0.0528547330006528,0.033664663420378015,0.013526793470243185,0.00993361183342643,"[[33, 16], [17, 35]]","[0.1272224908439369, 0.47050406945673984]","[0.4099529372628016, 0.4354302914826923]","[0.28288447559362373, 0.2587225994966883]","[0.6234991551587099, 0.43490799059987617]","[0.4435917974414566, 0.3979452790108133]","[0.47275847613790106, 0.44879984631785896]","[0.19968196397929514, 0.22601278486027915]","[0.9674379726387056, 0.9349196511301464]","[0.31029619897523864, 0.3090113941978894]","[0.06875140461677903, 0.10529141752384992]","[0.04108630349937629, 0.08075764642309118]","[0.08597165376384844, 0.06821131885502228]","[0.05565957646948233, 0.08319264451434416]","[0.022174641871945552, 0.04645266301934503]","[0.07152588960531249, 0.07607551784967463]","[0.06572185701981217, 0.03427039439489385]","[0.009964696545633337, 0.024001183037783484]","[0.015052621330247718, 0.011900256471701348]"
59,Uniform,0.6736363636363636,0.296984126984127,0.4277289377289377,0.26200312616168503,0.5218059780228919,0.41353031639461824,0.4643231583231583,0.20834347086030353,0.955438125992895,0.31497354497354496,0.07965144453856372,0.04176696993375042,0.01934433586989446,0.09267213686820594,0.03721325058176089,0.021367704327916365,0.027012285069459054,0.04167479579551401,0.006096509003156821,0.00909462422276461,"[[33, 16], [17, 35]]","[0.11533462064439433, 0.45732929319622506]","[0.4205288461057882, 0.4326939184541545]","[0.26676199885749485, 0.25734735812210613]","[0.6262372218181084, 0.4296014508974319]","[0.43674482485648375, 0.3928008109204309]","[0.4583964062668214, 0.4639324839071174]","[0.16517950149460464, 0.24769377409703255]","[0.9693934746030107, 0.943143892131806]","[0.31907596262723625, 0.311282910947447]","[0.07593871252675527, 0.07061997923683151]","[0.04606164121635106, 0.03868677921907979]","[0.07710071485175304, 0.10061034760656282]","[0.04106032468380502, 0.033550033898143275]","[0.02855464392044707, 0.014883773398680442]","[0.05755850403248993, 0.06857712701144755]","[0.04730019254758149, 0.04847364778877058]","[0.006730076385033529, 0.011117575081989193]","[0.00961986721897321, 0.009738983649367185]"
69,Uniform,0.6736363636363636,0.33109890109890106,0.4294993894993895,0.27277713263227266,0.529193030425084,0.4237770041197432,0.46896581196581194,0.2242068685435295,0.9534481931954126,0.31607244607244606,0.07965144453856372,0.034189974652762835,0.02832975442401803,0.10348740299953088,0.058336489224196375,0.021757148773910155,0.04363242165694018,0.04361460003815129,0.007460788755004188,0.010759608278521338,"[[33, 16], [17, 35]]","[0.13270209536391447, 0.5089929156654088]","[0.41913535561592913, 0.43981193887364967]","[0.28365271795861574, 0.2623264640869443]","[0.62806660126109, 0.4412420557878608]","[0.445036540182012, 0.40603770278492474]","[0.44774669652096605, 0.4907182190660505]","[0.2202344604500464, 0.22414785420388647]","[0.9677310247964934, 0.94109842054286]","[0.3158883415610575, 0.3166342991537507]","[0.06775156912584725, 0.07479763069107462]","[0.054281614741102255, 0.04554849374167052]","[0.08024830049932788, 0.12328118695516052]","[0.05287761267938463, 0.060855538084615336]","[0.039641336423262986, 0.034903731800187986]","[0.06551858395481827, 0.07506990772560453]","[0.04133754333475034, 0.0536784555978735]","[0.010898114191786375, 0.012230777779023401]","[0.014245946936650114, 0.013050187187285414]"
79,Uniform,0.6736363636363636,0.2816117216117216,0.41563858363858364,0.2638126478600844,0.519823863055032,0.4122252929791461,0.4493805453805454,0.19652458086444655,0.9550843571288464,0.312026862026862,0.07965144453856372,0.05070458049370289,0.030304075523851722,0.09317508379966183,0.05304559331676042,0.01940814999302137,0.04560149754591662,0.04627782323758183,0.005516036172995716,0.013743271400209969,"[[33, 16], [17, 35]]","[0.1138683746982941, 0.4498417515363207]","[0.4112672415788842, 0.41781991961801923]","[0.2842046083340384, 0.24301477582640083]","[0.6241971525822644, 0.4131016166436393]","[0.4369186736797734, 0.38654600009275686]","[0.4437201240189214, 0.45477797148059873]","[0.1756125505781957, 0.21888201948338443]","[0.969262384760859, 0.9403232104954441]","[0.3139802697632749, 0.309235625116665]","[0.03286180294596854, 0.08563741979282716]","[0.014652598355024724, 0.06016968185968295]","[0.09433397143282338, 0.08964390592169909]","[0.045583458590366444, 0.06674612214781903]","[0.02739041788456055, 0.03024099135074325]","[0.07277133959926867, 0.053076084143233976]","[0.05301219685989783, 0.052648493861777675]","[0.005070635942253136, 0.01312029428361395]","[0.02011605750703357, 0.013633935763041815]"
89,Uniform,0.6736363636363636,0.27278388278388277,0.40924053724053727,0.26308285835493583,0.5305982237699398,0.40535494660098126,0.44339234839234837,0.19473822854556172,0.9524783580024565,0.31057387057387054,0.07965144453856372,0.07433963431224243,0.04446339678294012,0.0810844033741348,0.06756152944560316,0.03447820148889085,0.05075650372255772,0.017865507232983403,0.011144213685247626,0.009856336511637668,"[[33, 16], [17, 35]]","[0.07433028120584002, 0.4633272591579412]","[0.39322609751540144, 0.4199295841986599]","[0.26759433552303097, 0.2581927719419208]","[0.6458058151453501, 0.41783621946349925]","[0.4246254832558415, 0.38811682331460584]","[0.44605474596650474, 0.4360908480580837]","[0.177374018554934, 0.2115228240475476]","[0.966285972564042, 0.9379967701862457]","[0.31470131660449674, 0.30679149021120755]","[0.047908105131913646, 0.11528923720300693]","[0.045430312819585796, 0.07486916134544826]","[0.0798543178404872, 0.0827303040677119]","[0.051173544304979224, 0.08928567364967004]","[0.036009382389814694, 0.048781643463760065]","[0.05150468361959696, 0.08079285455915629]","[0.041170411972660206, 0.030515622805401803]","[0.007674983714172357, 0.019872673748353702]","[0.01309692819798158, 0.011406105376189402]"
