n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,Uniform,0.8,0.1878136200716846,0.2578494623655914,0.15933194915171706,0.48784647550776583,0.28946209370385956,0.21952807646356032,0.414352439746683,0.9549617970673241,0.869295101553166,0.06232850213414813,0.01829166949486704,0.011539264337803367,0.06108596656211398,0.09612921516183429,0.016434618593201993,0.011867729974575563,0.007530160060265897,0.008154831305683102,0.01489254753327946,"[[69, 31], [31, 179]]","[0.29913587547424136, 0.13238981152330204]","[0.3607114995427091, 0.20655152901949408]","[0.24639703586174325, 0.116682890181776]","[0.6142375007937094, 0.4286104797100726]","[0.4526726962537104, 0.20948299426866926]","[0.31085590470134633, 0.1752918729274279]","[0.44628129791866344, 0.39882757058380514]","[0.969557003773116, 0.9478976436710992]","[0.9753235309777561, 0.8175114112072587]","[0.05721663981686318, 0.03082691966968998]","[0.034276996664060526, 0.01518742295926464]","[0.08350365166799537, 0.044122388413161996]","[0.14770712547124926, 0.07484840802966569]","[0.022300145662480234, 0.015408295932723843]","[0.02373379157886122, 0.017047678428962217]","[0.011014886604598236, 0.006342050180952905]","[0.007132396618946391, 0.008405485497275557]","[0.007016239682812811, 0.014611871330380622]"
9,Uniform,0.8161290322580645,0.20071684587813618,0.2644444444444445,0.1695504892159295,0.490536638789327,0.29470352431039293,0.23856033452807646,0.4164708653399063,0.9569644841682969,0.875089605734767,0.05278682885433798,0.03450305633976978,0.017812333933555656,0.05310023344426979,0.09586432809684504,0.016512418386336925,0.017054403115758916,0.006759319745369316,0.007494308359721833,0.01284449194800692,"[[73, 27], [30, 180]]","[0.29314645849712356, 0.14957966264388406]","[0.35312022956175326, 0.216838272992366]","[0.25517102278870607, 0.12311693313153364]","[0.6126204956948348, 0.42868668884792027]","[0.44588675693482543, 0.21507470708901275]","[0.32035215790355565, 0.19395599148756756]","[0.4457206286716577, 0.4004825696828214]","[0.9709559407737525, 0.9494390405884883]","[0.9764332716198704, 0.8212390800047984]","[0.07568983300048056, 0.030771259934176814]","[0.026375407082924907, 0.01991186918368363]","[0.07871006174143812, 0.03552521839564493]","[0.14134474785814435, 0.07368379682177174]","[0.021720432719020435, 0.01751513970547151]","[0.02155272186374181, 0.02468070381159324]","[0.008342442698851529, 0.008890719388862845]","[0.00386827089934017, 0.009821427402791403]","[0.009418616311269695, 0.018562593492102295]"
19,Uniform,0.8387096774193548,0.17921146953405018,0.25663082437275986,0.16209212275927168,0.48735663082437275,0.2809422049407189,0.23087216248506573,0.41560626617202967,0.9545115191460228,0.8700119474313022,0.08046575025320304,0.029796807439282966,0.033459634053456234,0.058377346508561793,0.09008190887044709,0.015538854491612067,0.026569760884566886,0.008853261865155206,0.009099905127598807,0.01211615889752698,"[[76, 24], [26, 184]]","[0.28241095606568073, 0.1297646145602636]","[0.37620533592772826, 0.19974734032876823]","[0.2540721496634591, 0.1182630210029251]","[0.6285091604987502, 0.42073693225452075]","[0.44120789085889695, 0.20449343795538125]","[0.3323470689915157, 0.1825212897399077]","[0.45095458973359503, 0.3988246103434323]","[0.9706358734355833, 0.9468369045285637]","[0.9786784909216826, 0.8183634016063779]","[0.05759220874920935, 0.040574303777727326]","[0.05725866489132139, 0.023211101550383955]","[0.08658258035600086, 0.040871404394692175]","[0.13462293535596212, 0.07275120806238174]","[0.009921932546413485, 0.017843579187693533]","[0.05800910340437865, 0.01684970440193946]","[0.018234976643273476, 0.0081655726594002]","[0.009841442385104275, 0.008632738902639766]","[0.01122949133979095, 0.01366807486435296]"
29,Uniform,0.8387096774193548,0.1759856630824373,0.2468100358422939,0.15610927468907856,0.47829749103942654,0.2798290894643946,0.21857228195937872,0.4111000462106321,0.9538134169967705,0.8710274790919952,0.05889489865646946,0.03625607432526509,0.01716459642495998,0.052659032827766974,0.09329846235850096,0.020370855860979788,0.02715930329150937,0.012684245454938412,0.0074187085842168255,0.013920025079171961,"[[75, 25], [25, 185]]","[0.29155273084836325, 0.12284953670177108]","[0.35528070913679544, 0.1987503167788208]","[0.2541302727794602, 0.11325445390245883]","[0.6116645848423652, 0.4199596717302857]","[0.4503569313635176, 0.20399599666135965]","[0.3162369107437458, 0.1746509646907563]","[0.44156891369852913, 0.3975352974000921]","[0.9698031771761979, 0.946704423986535]","[0.980088327395422, 0.8225012357683014]","[0.07078945177142847, 0.03942645089427173]","[0.035612473923222934, 0.01567149966012795]","[0.08493765731085104, 0.0375899936629305]","[0.1395279790131826, 0.07170892641373082]","[0.019155822800154394, 0.02101347003109146]","[0.0525600793704378, 0.024643850767767927]","[0.014370412192315257, 0.012452342972122351]","[0.007144449864820175, 0.0076868358338608046]","[0.007253542040267384, 0.020671098126377335]"
39,Uniform,0.832258064516129,0.1827956989247312,0.25247311827956986,0.15550880860912306,0.487294902429311,0.2863516032452805,0.23318996415770607,0.41408758313857036,0.9549955786221238,0.8679808841099164,0.06415670490398406,0.03271938814248304,0.028227914557195206,0.05747624859279859,0.09317768055127745,0.018001195423465236,0.024357531234377523,0.00930078045764085,0.007876464036917021,0.015007123601287704,"[[75, 25], [27, 183]]","[0.28143042573558896, 0.1350416287066537]","[0.3481066767731361, 0.20592817002894934]","[0.23528693490902258, 0.11856478008763822]","[0.613419708005585, 0.4264634114621697]","[0.44375592973124417, 0.21093494856801898]","[0.31489077262215714, 0.19285843977936912]","[0.4434189312558991, 0.39973678852870076]","[0.9692518138184051, 0.9480790404910916]","[0.9807188141715564, 0.8140970599118502]","[0.06433646981868098, 0.028524244026967144]","[0.04437503463921617, 0.024871887655019125]","[0.09019831151152262, 0.04056766347817469]","[0.1477272269981714, 0.07191903717600476]","[0.014983504649386985, 0.02054609053138918]","[0.051447583045953614, 0.01885924372637857]","[0.01591840373861189, 0.006431923043098876]","[0.008629253711522894, 0.007374807414171752]","[0.0082911167982547, 0.01838016920824914]"
49,Uniform,0.8258064516129032,0.2010752688172043,0.2665232974910394,0.16398266188615807,0.5010872162485065,0.3002509354756181,0.23919354838709678,0.41855757159777074,0.9563627569176141,0.8789725209080048,0.053114361441842874,0.030621338680923923,0.011690425692842543,0.05699358867294785,0.09852414897586707,0.014938928153525093,0.025052826993657813,0.006261731375503193,0.007222078383033814,0.014248699783029836,"[[73, 27], [27, 183]]","[0.3063814967914143, 0.14473833997754043]","[0.36737725930725695, 0.21467286673085156]","[0.23911325881422915, 0.12486435177284812]","[0.6161626236765438, 0.44004798566180636]","[0.4525806082536631, 0.22131313570010716]","[0.3248157380411748, 0.19517939967198317]","[0.4444620871418178, 0.4049870317781168]","[0.9691257923701597, 0.9497708438885674]","[0.9766123356581382, 0.8277908620960026]","[0.048848051124026945, 0.053941834989895784]","[0.030852965950525554, 0.01981938923298164]","[0.0910611378587043, 0.0388099370784407]","[0.13335364411750883, 0.08200382315537917]","[0.01733725246737529, 0.02105666820706366]","[0.04811102924940034, 0.03018411903761321]","[0.012697573461022628, 0.00834965675245835]","[0.00726343887686156, 0.007314562929860257]","[0.013596064867095487, 0.015560575906951351]"
59,Uniform,0.8290322580645162,0.1917562724014337,0.2617204301075269,0.16321639121078918,0.49071385902031056,0.2866749787044705,0.22859020310633213,0.4150085415125825,0.9553858123467835,0.8722222222222221,0.054933504406214195,0.026134579276257296,0.013897897927307074,0.05989993297122549,0.10003967504597146,0.018293467076909202,0.014913145792405231,0.0053778996381965635,0.007721609933671257,0.01562951031519122,"[[73, 27], [26, 184]]","[0.2894369209839976, 0.1440930739132938]","[0.3761837838835138, 0.20845084799301836]","[0.2563493725048579, 0.11962407773261172]","[0.6151654829141603, 0.4316876443807309]","[0.45245057632129654, 0.20965403608581426]","[0.33006181390060385, 0.18190230213462444]","[0.4470834272743821, 0.400243946973458]","[0.9717087350767668, 0.9478885067067736]","[0.977964056110018, 0.8229338957132952]","[0.06534000788035578, 0.027404814776008837]","[0.027157077807705973, 0.018135206515498582]","[0.08005932362080488, 0.04349662505951837]","[0.14112732064456757, 0.08130291535063693]","[0.025023391789509186, 0.01686692768026874]","[0.031750282352559084, 0.015452912328152844]","[0.009914912223197861, 0.005264239144215365]","[0.00681895155372624, 0.008284203064048238]","[0.007241408485911763, 0.019923325115696208]"
69,Uniform,0.832258064516129,0.18888888888888888,0.25569892473118283,0.16391427145699428,0.4907696136997212,0.2855426170158677,0.23198327359617682,0.4159872075338907,0.9525697545192738,0.8693548387096774,0.06766508697871945,0.019995446039976557,0.018428656212330547,0.055360430818081216,0.09997784188274039,0.016700297892138036,0.022270526843292945,0.010650663159164547,0.00914501796437043,0.010461301049655262,"[[77, 23], [29, 181]]","[0.2982697850516808, 0.1350369855438382]","[0.3688642790245419, 0.20000707213160043]","[0.25745095376446214, 0.11758695533790935]","[0.6139961019670601, 0.42760029190860865]","[0.4484628005404483, 0.20491288505387534]","[0.3190447943258502, 0.18987000021747902]","[0.44973916165734196, 0.3993939218492516]","[0.9709713277475608, 0.9433680480124391]","[0.9752575108825499, 0.8167506523054675]","[0.06710134551857751, 0.035002909528740994]","[0.04018619835415283, 0.01530804161369173]","[0.07673434120649256, 0.04197242730456406]","[0.14512991651747376, 0.07935332492523352]","[0.029230276701557818, 0.015622433674120136]","[0.055147768056219494, 0.025622244496446237]","[0.013537922163935817, 0.011657429390047876]","[0.006417748829207362, 0.011108311106356244]","[0.005557514054616068, 0.01412723613230323]"
79,Uniform,0.8387096774193548,0.1810035842293907,0.2511827956989247,0.15492442481726718,0.4826085225009956,0.28138072605225445,0.2244743130227001,0.4154177894059682,0.9549113925026799,0.8663082437275985,0.07132526430871826,0.030797965960932473,0.008669588304427104,0.05781179300796841,0.0939276346868187,0.011152219068816579,0.01736860151245824,0.008200802436372437,0.006161540909565847,0.006988084240973348,"[[78, 22], [28, 182]]","[0.3082279002439729, 0.12108978557961055]","[0.3773041880322246, 0.1926737883401665]","[0.25384677796398036, 0.10673290183039749]","[0.6122806527767688, 0.41810380992922525]","[0.45564500342957504, 0.19950205018174166]","[0.3208130311904913, 0.17827304323817852]","[0.4510372698929978, 0.3984841315746973]","[0.9712648945487778, 0.9473411601910545]","[0.9780545228039028, 0.8127953926657885]","[0.0549711481441611, 0.029210044049515563]","[0.019856601974515792, 0.0087394773684694]","[0.09343993825886125, 0.035261787642635364]","[0.14042151956815427, 0.07384091189815802]","[0.020833779577600377, 0.009616055677544285]","[0.022498683844572848, 0.011514310363428997]","[0.009031338175961237, 0.007510013466598177]","[0.00705189328882831, 0.005972413733965831]","[0.009848879163577792, 0.011037137212992267]"
89,Uniform,0.8387096774193548,0.1870967741935484,0.2521146953405018,0.1586329533773842,0.48432297889287135,0.28182623495493886,0.22221027479091995,0.41430496339479916,0.9547301031569152,0.8700119474313022,0.06628402153730081,0.02744270615802504,0.014460044760997473,0.05869483343084441,0.09819775892992161,0.01838425248354652,0.01655062574575162,0.00815041165031518,0.009169099899791151,0.017797261968323732,"[[77, 23], [27, 183]]","[0.2910210993156098, 0.13667659675906135]","[0.36038284040828306, 0.2001867391381841]","[0.2411306046366552, 0.11875589035223735]","[0.6085618402919915, 0.4263614696462814]","[0.4468750657314393, 0.2024246202109552]","[0.31464647741450835, 0.1769867511249595]","[0.44329040394554936, 0.40011181554302483]","[0.9701643365487467, 0.9472678520311554]","[0.9788646991991442, 0.8174526708581386]","[0.06415205677162367, 0.041968073695271293]","[0.03467909928264306, 0.014911026616789091]","[0.08518415861014023, 0.04202707390607596]","[0.14361877221832745, 0.07984681103839475]","[0.018763891500658225, 0.02224508803235447]","[0.03465619687057977, 0.029048601218448343]","[0.015291779495993654, 0.0084461305541935]","[0.009709276323128842, 0.00853324343029889]","[0.006942296452827608, 0.02893123650495507]"
