n_ensemble,weights,accuracy_mean,Boots_Hostility_dataset_mean,Boots_kDN_dataset_mean,Boots_DCP_dataset_mean,Boots_TD_U_dataset_mean,Boots_CLD_dataset_mean,Boots_N1_dataset_mean,Boots_N2_dataset_mean,Boots_LSC_dataset_mean,Boots_F1_dataset_mean,accuracy_std,Boots_Hostility_dataset_std,Boots_kDN_dataset_std,Boots_DCP_dataset_std,Boots_TD_U_dataset_std,Boots_CLD_dataset_std,Boots_N1_dataset_std,Boots_N2_dataset_std,Boots_LSC_dataset_std,Boots_F1_dataset_std,confusion_matrix,Boots_Hostility_class_mean,Boots_kDN_class_mean,Boots_DCP_class_mean,Boots_TD_U_class_mean,Boots_CLD_class_mean,Boots_N1_class_mean,Boots_N2_class_mean,Boots_LSC_class_mean,Boots_F1_class_mean,Boots_Hostility_class_std,Boots_kDN_class_std,Boots_DCP_class_std,Boots_TD_U_class_std,Boots_CLD_class_std,Boots_N1_class_std,Boots_N2_class_std,Boots_LSC_class_std,Boots_F1_class_std
0,Uniform,0.6799999999999999,0.23255555555555557,0.31837777777777776,0.3285033719872604,0.5244708389301139,0.33896940205801296,0.3065445767195767,0.4385662917239522,0.9913683245896235,0.47530994152046785,0.05120763831912405,0.023830966241196058,0.008869144738646556,0.01598335789633435,0.04283160896999188,0.010094333851900074,0.015150014526433322,0.004100640532863878,0.0004940874665504698,0.002657914573059705,"[[151, 149], [171, 529]]","[0.5010404469773446, 0.11653885089434139]","[0.567397974647778, 0.2104789596573033]","[0.5506677096989301, 0.2320155785443232]","[0.5393621282768256, 0.5182051784388338]","[0.5711102148531024, 0.23805409178898027]","[0.5552382215477343, 0.19872428269090886]","[0.5028477104014891, 0.41066591369164807]","[0.9962727772203595, 0.9892439846842006]","[0.4771549890642498, 0.4745183345930622]","[0.0462793012761199, 0.0222782446397999]","[0.023994533899481262, 0.00623417726823967]","[0.022319080539896965, 0.012504295285048577]","[0.03175098293238382, 0.04636500407123587]","[0.03343984003943219, 0.010648847233916738]","[0.024915030422839924, 0.011355173693808833]","[0.004316304486366584, 0.004590726116654315]","[0.000371150094107087, 0.0006537613027934532]","[0.0052681291422508126, 0.0022255780572151083]"
9,Uniform,0.727,0.23833333333333334,0.3188666666666667,0.3290220410906122,0.5255928315478238,0.33931188982658983,0.2992162698412698,0.43865601863555764,0.9916023631328683,0.47449122807017546,0.04295992965026314,0.02717746383433142,0.011374869419953247,0.017356874621501196,0.040327847037880324,0.007687521759399151,0.015407061842445951,0.0035713557342708807,0.0006102444583880504,0.00284370651486111,"[[147, 153], [120, 580]]","[0.49334942004876814, 0.1284898469789202]","[0.5654522654554186, 0.21203115437397663]","[0.5435236935054831, 0.23644140774180006]","[0.5391934346478254, 0.5195066304944088]","[0.5690498470800117, 0.2401143007662133]","[0.5388066078003919, 0.19554961304337554]","[0.49897244026497234, 0.4125194412872172]","[0.9961210940908769, 0.9896354873389352]","[0.47614882182022644, 0.4737869874585419]","[0.03509951794291552, 0.030757490052339635]","[0.02696478332120015, 0.010077337306230777]","[0.02920458527544371, 0.014937058810341717]","[0.026266377824910675, 0.045878318959866375]","[0.031674631386000414, 0.011530904460044298]","[0.02706474411961413, 0.012744142674745941]","[0.006529571247418987, 0.0052917161512927155]","[0.0004141676812955229, 0.0008218213076894056]","[0.00406636442585246, 0.003020309095993012]"
19,Uniform,0.732,0.23900000000000002,0.3180888888888889,0.32999940938582123,0.5248401944403492,0.33531778374851856,0.3023563492063492,0.4399463952920093,0.9914896740168991,0.4750058479532163,0.04131182235954579,0.031555251259183126,0.010414825351662136,0.017246296197128547,0.04679947328863275,0.009410674243666792,0.017123999471964007,0.003441580541325904,0.0006036757308770771,0.003359529090871658,"[[150, 150], [118, 582]]","[0.5123817159197664, 0.12736440473500424]","[0.5728473454369226, 0.21455584410803694]","[0.5553872955225506, 0.23825102463455514]","[0.5380112342036054, 0.5194097664530365]","[0.5749530141602112, 0.23804285522215096]","[0.5551152293305781, 0.1995325018191003]","[0.5041197226551255, 0.41388163055357835]","[0.9961720603387179, 0.9895861480321262]","[0.47987155171749657, 0.47305488880771546]","[0.06496572631553596, 0.024319531225307434]","[0.018722533529680604, 0.009639577836940992]","[0.025669271146442366, 0.012867344455765069]","[0.036574351906160193, 0.04973313653221299]","[0.03299818116226073, 0.009799294305575376]","[0.04167673427212488, 0.013236411000918703]","[0.006289467013624766, 0.00344514460999054]","[0.000468957339929328, 0.000658891372938662]","[0.0070809069847994136, 0.004064122957105756]"
29,Uniform,0.747,0.23955555555555558,0.32364444444444446,0.33263297965350713,0.5241425349184509,0.3423997257184115,0.31162671957671956,0.4409396778933486,0.9914766953702008,0.47598245614035084,0.03465704994818673,0.02960276559949333,0.014003801169251488,0.014927694559410778,0.04366420591814881,0.010979612850699474,0.02266297560485471,0.0038166593706159884,0.0005707992097696717,0.0031583820286800405,"[[153, 147], [106, 594]]","[0.4892884428421841, 0.1277698311522134]","[0.572561093306933, 0.21197272799512362]","[0.5466698781920865, 0.23679179769938224]","[0.5397844187124603, 0.5169110585738984]","[0.5704040987609955, 0.23971891273304619]","[0.5593884104086666, 0.20035326659245514]","[0.5036188219823594, 0.4128098846068828]","[0.9963872964526066, 0.9892714820585257]","[0.47713021447916415, 0.4754710503817624]","[0.045433440197941946, 0.026772982901817687]","[0.022125599126525383, 0.007273261874382682]","[0.026713403686206866, 0.010696846784409561]","[0.03405461862145163, 0.04665813527341656]","[0.03170159357138614, 0.008116327359979228]","[0.033885649672638345, 0.013844672422111992]","[0.005600229209441391, 0.002907248365720381]","[0.0005460983256221811, 0.0007293284425127485]","[0.003915704305893844, 0.004220274434835414]"
39,Uniform,0.75,0.244,0.32251111111111114,0.32690237332859706,0.5252090477419038,0.33780171891981176,0.3063608465608466,0.4400566605862036,0.9915519477491925,0.47443274853801165,0.03333333333333333,0.026273855839710147,0.009396056143736106,0.01633875887721364,0.04460588438617551,0.010131546912478855,0.014196901157614959,0.004119852773201579,0.0005110912399442466,0.002366924498501631,"[[154, 146], [104, 596]]","[0.5173929027858958, 0.1276764560953756]","[0.5743821611649744, 0.2151803759617501]","[0.5427712632419457, 0.23471308068333024]","[0.536479119070818, 0.5204219780907124]","[0.5686554539617406, 0.23915846391819554]","[0.5524493577459546, 0.2014039524478303]","[0.5052970708201767, 0.412275016399897]","[0.9963542859452523, 0.9895031394192898]","[0.47577989625998, 0.47387961556126423]","[0.06035788621112293, 0.02072406009875593]","[0.015859304757029177, 0.007895135698772112]","[0.02501630704237817, 0.012733376459633208]","[0.036649114299299304, 0.046401821620421446]","[0.03415488696528087, 0.008801024626576498]","[0.026770211594645623, 0.008676031797847946]","[0.005899154955264519, 0.004807854107208509]","[0.0003266849670631562, 0.0006965201273222698]","[0.006679379236145113, 0.0025977780960024645]"
49,Uniform,0.757,0.24077777777777776,0.32131111111111116,0.32717316825127163,0.5268974706646791,0.3374723926639774,0.3039300264550265,0.4408657252596777,0.991384078370958,0.47492982456140354,0.03433495141818159,0.019030334603379898,0.009181869174430183,0.017201300317781887,0.04821019419907727,0.007688856453787075,0.01955501334336803,0.005370963388271294,0.0005127623555156107,0.0030071408995543283,"[[155, 145], [98, 602]]","[0.4937912308360147, 0.13348632472770455]","[0.567165260064613, 0.21727400079934944]","[0.5433390681019519, 0.23575519645637538]","[0.5409337391772178, 0.5210719876148595]","[0.5708954656756304, 0.2389640010380468]","[0.5473769202258614, 0.20071623894420992]","[0.502230299581706, 0.41489775661401235]","[0.9963257210811373, 0.9892900482472851]","[0.47719651729464907, 0.4739876255551678]","[0.051773132607037295, 0.017517784626125264]","[0.02025828516287124, 0.004633591551914659]","[0.029072053322053055, 0.011817059029017628]","[0.03689506547306035, 0.05088640144134614]","[0.031780671671670556, 0.009312669412580278]","[0.041206536465212155, 0.014193879391036784]","[0.009271785023452014, 0.0038962383828910706]","[0.00044598809716634016, 0.0006765840592473234]","[0.004692671161099737, 0.003714143105089327]"
59,Uniform,0.757,0.23677777777777775,0.3221333333333333,0.3299660583513653,0.525525563363747,0.33910073023092874,0.31181494708994706,0.43877484409862244,0.9916077912594423,0.4748304093567251,0.029458068127047612,0.027087471985143854,0.012175308391606647,0.01866717728274543,0.045607797097468275,0.006873639757111978,0.015867299951267726,0.005135578010662871,0.0006020105465024332,0.001830532871626417,"[[154, 146], [97, 603]]","[0.5055019571419311, 0.12058781878883151]","[0.5731899190045885, 0.21379574089548298]","[0.5474205178051911, 0.23625586345730037]","[0.5386236551745409, 0.5196958029350032]","[0.574309954244262, 0.2377764589221944]","[0.5679151337559821, 0.2012495433678522]","[0.500873315838952, 0.4119667304018015]","[0.9963165899846851, 0.9895749318417583]","[0.4762353006308594, 0.47416326592365066]","[0.055771712560968245, 0.0219950668165824]","[0.025963629294177667, 0.00881688610148795]","[0.033376856285812884, 0.011385195362011723]","[0.03635772886972342, 0.04798215589004315]","[0.028155553872916617, 0.008878083099438761]","[0.03451779372352183, 0.012959596951501152]","[0.007232697544926247, 0.005113052484814155]","[0.0006468568930282212, 0.0006554913461042406]","[0.004613589311694375, 0.0026561783878117657]"
69,Uniform,0.762,0.2401111111111111,0.3214444444444445,0.32812831332369735,0.5246483161198203,0.3383310718222997,0.3124193121693122,0.44177836623366906,0.991607766962239,0.4755497076023391,0.027406406388125984,0.02567844847434094,0.01352587318962582,0.012191325841674578,0.04531120550380105,0.006419128009609646,0.01357518054673685,0.0035098865258836433,0.0005889416533531219,0.003075532935004991,"[[155, 145], [93, 607]]","[0.5135986449329317, 0.12492911828492073]","[0.5690936503912467, 0.2171785878114127]","[0.5523492284637447, 0.23428535461539934]","[0.5348990231654797, 0.520434329967176]","[0.5776403814812628, 0.23823054052142084]","[0.5666899612192279, 0.205709262997414]","[0.5057021213647855, 0.4149246158884162]","[0.9964968253499095, 0.9895448326753696]","[0.4771979484477054, 0.47473690677975416]","[0.05038773903435582, 0.019888547221809234]","[0.01805217044066537, 0.016091253835464572]","[0.02561945973362455, 0.010184457665032358]","[0.03714260486721141, 0.04762874460267096]","[0.029649529625817628, 0.008143877836272477]","[0.01718009040827401, 0.014062153711636483]","[0.004825112659711734, 0.00450805968983722]","[0.00044045481026835947, 0.0008402440649888789]","[0.007509864511288897, 0.0029770904550758107]"
79,Uniform,0.758,0.2391111111111111,0.3201777777777778,0.33122094701432536,0.5271510608629416,0.3390530056433061,0.3077247354497355,0.43925072196356146,0.991300788871093,0.47566666666666657,0.030110906108363252,0.027013180748597133,0.006391695572444726,0.01490350188509148,0.046772974549600735,0.013092674422292257,0.012546083156659078,0.0026858622204882845,0.000513913882653121,0.003279080397010699,"[[153, 147], [95, 605]]","[0.5029824111066031, 0.12312217455751599]","[0.5670042312606545, 0.21209901627017827]","[0.5463242204392142, 0.2366767575672825]","[0.5407355246768355, 0.5212480830366225]","[0.5692639333303576, 0.23769321878994884]","[0.5642319752933819, 0.1953637752539914]","[0.5045693569947971, 0.4106401802927083]","[0.9963927603308884, 0.9890746370512392]","[0.47896161851448993, 0.47415366413421356]","[0.04197012688683711, 0.019532107862573273]","[0.012450383400470782, 0.007902706512378562]","[0.020355319299494013, 0.008624426869698897]","[0.03489247414220809, 0.049199230746853916]","[0.03544488996434724, 0.009738797375707528]","[0.026002824674748393, 0.010567863594391791]","[0.003921373473465685, 0.002820075016960342]","[0.0003896799946707654, 0.0006067928040942335]","[0.0023128067631270305, 0.0047644702143445315]"
89,Uniform,0.757,0.23766666666666664,0.3182888888888889,0.32687324598712003,0.5251358533179353,0.3371205431580714,0.307380291005291,0.4403735200041413,0.9913943055235424,0.47377192982456134,0.028693785622209828,0.020009942658903847,0.008487253413651807,0.012582013323855163,0.044629562710336135,0.008655834399496168,0.01397560360720485,0.0024985508775025897,0.0003851647203386789,0.004485909137881716,"[[155, 145], [98, 602]]","[0.4943031481716355, 0.1279338462236735]","[0.5679270298045366, 0.2112714132412457]","[0.548064657701425, 0.2321003325731637]","[0.5418719182132399, 0.5179518054967087]","[0.5693149938248598, 0.23745859323381877]","[0.5599346471873909, 0.19913944823147484]","[0.5013129019224605, 0.41425991997917516]","[0.9963463600244795, 0.9892714510986942]","[0.4760549371574007, 0.47279309420325627]","[0.042977100443301844, 0.018465418192841296]","[0.016739692313912456, 0.006688553570971816]","[0.02223970132853447, 0.011949295744496014]","[0.03402355112950497, 0.04808575001300618]","[0.03232204705159845, 0.01019348424147196]","[0.02411888987902759, 0.013388896642462272]","[0.005936897504742217, 0.0028703195755756376]","[0.0002455587005398705, 0.0004780815153175553]","[0.006531506508557879, 0.0034908267719613024]"
