dataset,fold,n_ensemble,weights,confusion_matrix,accuracy,Boots_Hostility_dataset,Boots_kDN_dataset,Boots_DCP_dataset,Boots_TD_U_dataset,Boots_CLD_dataset,Boots_N1_dataset,Boots_N2_dataset,Boots_LSC_dataset,Boots_F1_dataset,Boots_Hostility_class,Boots_kDN_class,Boots_DCP_class,Boots_TD_U_class,Boots_CLD_class,Boots_N1_class,Boots_N2_class,Boots_LSC_class,Boots_F1_class
Data3,1,0,Uniform,"[[31, 20], [22, 27]]",0.58,0.26555555555555554,0.3764444444444445,0.3905332004894608,0.46716049382716046,0.40588826838245406,0.37537037037037035,0.4316292628481014,0.9949582074921846,0.9766666666666667,"[0.28936170212765955, 0.23953488372093024]","[0.368936170212766, 0.38465116279069766]","[0.3797911974337539, 0.40227445964337305]","[0.42230102442868395, 0.5161929371231697]","[0.39043246240540314, 0.422781823752719]","[0.3778368794326241, 0.37267441860465117]","[0.42689432761531665, 0.43680465717230793]","[0.9945712720299515, 0.9953811369509045]","[0.9627659574468085, 0.9918604651162791]"
Data3,1,1,Uniform,"[[32, 19], [23, 26]]",0.58,0.25,0.3811111111111111,0.378252665108051,0.4702057613168724,0.39089859159869156,0.37935185185185183,0.43016890443986394,0.9951275411081085,0.9844444444444445,"[0.3021276595744681, 0.1930232558139535]","[0.39148936170212767, 0.3697674418604651]","[0.37119993110700455, 0.3859614673882645]","[0.427344365642238, 0.5170542635658915]","[0.38581576034047016, 0.3964542443693056]","[0.39858156028368796, 0.35833333333333334]","[0.43205380205809535, 0.4281086675083088]","[0.9952698383709251, 0.9949720068906116]","[0.9712765957446808, 0.9988372093023256]"
Data3,1,2,Uniform,"[[31, 20], [21, 28]]",0.59,0.2911111111111111,0.39577777777777784,0.39597696195642984,0.47386831275720165,0.4187658734555397,0.38027777777777777,0.4342081328726133,0.9951701946343101,0.9827777777777778,"[0.33192389006342493, 0.2459016393442623]","[0.399154334038055, 0.3920374707259953]","[0.3817808473852067, 0.41170240034563016]","[0.45172656800563776, 0.49839535085436726]","[0.40688033378229066, 0.4319318225549467]","[0.3787878787878788, 0.381928181108509]","[0.4309452731563708, 0.4378224950407227]","[0.9952635447195782, 0.995066788099575]","[0.9778012684989429, 0.9882903981264637]"
Data3,1,3,Uniform,"[[30, 21], [20, 29]]",0.59,0.2911111111111111,0.4035555555555556,0.4126313967336214,0.48,0.4220386306258955,0.3980555555555555,0.44292876953560373,0.9956083315671418,0.9794444444444445,"[0.3283582089552239, 0.2505800464037123]","[0.4110874200426439, 0.3953596287703016]","[0.4061788937272004, 0.4196527979169427]","[0.4493405985943299, 0.5133625504855204]","[0.40720010047204724, 0.4381854302596653]","[0.412046908315565, 0.382830626450116]","[0.4410439627285989, 0.4449797542049432]","[0.9958911756362272, 0.9953005499699236]","[0.9669509594882729, 0.9930394431554525]"
Data3,1,4,Uniform,"[[31, 20], [21, 28]]",0.59,0.28888888888888886,0.4028888888888889,0.4001821646485181,0.47045267489711934,0.4134618554371993,0.40657407407407403,0.4487241457787968,0.9954041156678853,0.98,"[0.33954451345755693, 0.2302158273381295]","[0.40372670807453415, 0.4019184652278177]","[0.39802290009251173, 0.40268318330691394]","[0.4322521279043018, 0.5146993516298073]","[0.4125982349245542, 0.4144621640885364]","[0.4164941338854382, 0.395083932853717]","[0.44842782803094083, 0.4490673627385437]","[0.9953038502208124, 0.9955202504662937]","[0.9679089026915114, 0.9940047961630696]"
Data3,1,5,Uniform,"[[30, 21], [21, 28]]",0.58,0.27555555555555555,0.40022222222222226,0.4012424246014817,0.4622222222222222,0.4112867838086584,0.4062962962962963,0.445244445809724,0.9955092371818647,0.9766666666666667,"[0.29273504273504275, 0.2569444444444444]","[0.3893162393162394, 0.41203703703703703]","[0.3837523616340155, 0.4201899928162368]","[0.4259259259259259, 0.5015432098765432]","[0.39176569043963305, 0.43243463495843576]","[0.4138176638176638, 0.39814814814814814]","[0.4401275978065231, 0.4507876978131915]","[0.9955384982209017, 0.9954775377229081]","[0.9604700854700855, 0.9942129629629629]"
Data3,1,6,Uniform,"[[31, 20], [20, 29]]",0.6,0.3055555555555556,0.40688888888888897,0.4079889977318814,0.47061728395061725,0.4215025879203259,0.39305555555555555,0.4417339063790652,0.9955936280223953,0.9766666666666667,"[0.3392070484581498, 0.2713004484304933]","[0.40925110132158593, 0.40448430493273546]","[0.3966844999336403, 0.4194962667910776]","[0.4371838799151574, 0.5046503903006145]","[0.40648171986072335, 0.43679288859086307]","[0.4080396475770925, 0.3778026905829596]","[0.44239736584982364, 0.4410585462899971]","[0.995542719933448, 0.9956454492609201]","[0.9592511013215859, 0.9943946188340808]"
Data3,1,7,Uniform,"[[30, 21], [20, 29]]",0.59,0.28888888888888886,0.40066666666666667,0.40658905168660303,0.4846913580246913,0.41823369709507713,0.39509259259259255,0.44041143169500585,0.9953151989614794,0.9877777777777778,"[0.3425531914893617, 0.2302325581395349]","[0.4153191489361702, 0.38465116279069766]","[0.4032865405641072, 0.4101987731460753]","[0.4559495665878644, 0.5161068044788975]","[0.4130572859399733, 0.4238916348692603]","[0.4232269503546099, 0.3643410852713178]","[0.4495472548729132, 0.430425764500549]","[0.9960231942288374, 0.9945413436692506]","[0.9797872340425532, 0.9965116279069768]"
Data3,1,8,Uniform,"[[31, 20], [18, 31]]",0.62,0.26666666666666666,0.3895555555555556,0.39342547635428854,0.4679012345679013,0.40351433887786875,0.3762037037037037,0.42977745010137547,0.9949999668839081,0.9833333333333333,"[0.2972972972972973, 0.2315035799522673]","[0.39334719334719337, 0.38520286396181386]","[0.3842848055180979, 0.4039187046889133]","[0.4344344344344344, 0.506320162644745]","[0.3944259984835847, 0.41394749336390824]","[0.3707553707553708, 0.38245823389021477]","[0.4233579935668332, 0.4371468023522462]","[0.9950478705843512, 0.9949449748077434]","[0.972972972972973, 0.9952267303102625]"
Data3,1,9,Uniform,"[[31, 20], [17, 32]]",0.63,0.26222222222222225,0.39133333333333337,0.393080769548133,0.464238683127572,0.40579853586094233,0.3726851851851851,0.4369027872495633,0.995566947491125,0.9805555555555555,"[0.2955032119914347, 0.22632794457274827]","[0.37687366167023556, 0.40692840646651274]","[0.3705085729127905, 0.4174253788523014]","[0.43342057260686806, 0.4974766914720725]","[0.3808290102547479, 0.4327287170574615]","[0.3675945753033547, 0.378175519630485]","[0.43192920363830806, 0.4422669062944967]","[0.9955013739419728, 0.995637670002566]","[0.9678800856531049, 0.9942263279445728]"
