dataset,fold,n_ensemble,weights,confusion_matrix,accuracy,Boots_Hostility_dataset,Boots_kDN_dataset,Boots_DCP_dataset,Boots_TD_U_dataset,Boots_CLD_dataset,Boots_N1_dataset,Boots_N2_dataset,Boots_LSC_dataset,Boots_F1_dataset,Boots_Hostility_class,Boots_kDN_class,Boots_DCP_class,Boots_TD_U_class,Boots_CLD_class,Boots_N1_class,Boots_N2_class,Boots_LSC_class,Boots_F1_class
breastcancer,1,0,Uniform,"[[35, 0], [0, 22]]",1.0,0.009765625,0.0,0.0,1.0,0.0037868238080648858,0.00146484375,0.2786421527447126,0.4338727678571429,0.7936197916666667,"[0.0058309037900874635, 0.01775147928994083]","[0.0, 0.0]","[0.0, 0.0]","[1.0, 1.0]","[0.003086424944017452, 0.005208343396042814]","[0.0007288629737609329, 0.0029585798816568047]","[0.2727125438563712, 0.2906768027370268]","[0.41496598639455784, 0.4722457030149338]","[0.802818270165209, 0.7749506903353057]"
breastcancer,1,1,Uniform,"[[35, 0], [0, 22]]",1.0,0.00390625,0.0,0.0,1.0,0.0038572781316672904,0.00390625,0.2760422323356617,0.4240025473779855,0.7859375,"[0.006134969325153374, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[1.0, 1.0]","[0.003086424944017452, 0.005208343396042814]","[0.0015337423312883436, 0.008064516129032258]","[0.271545883258641, 0.2839229301803325]","[0.41097605259637254, 0.44683393070489846]","[0.7918200408997955, 0.7756272401433691]"
breastcancer,1,2,Uniform,"[[35, 0], [0, 22]]",1.0,0.0078125,0.0,0.0,1.0,0.003927732455269695,0.00244140625,0.2782034905322426,0.44285957665776593,0.7882812499999999,"[0.006472491909385114, 0.009852216748768473]","[0.0, 0.0]","[0.0, 0.0]","[1.0, 1.0]","[0.003086424944017452, 0.005208343396042814]","[0.0040453074433656954, 0.0]","[0.2753795662639223, 0.2825019762411636]","[0.4431539787678069, 0.4424114473375557]","[0.8128371089536138, 0.7509031198686371]"
breastcancer,1,3,Uniform,"[[35, 0], [0, 22]]",1.0,0.009765625,0.0015625,0.0,1.0,0.003956743059105979,0.00390625,0.28114910644751734,0.45270256174899864,0.8029296875,"[0.009933774834437087, 0.009523809523809525]","[0.0, 0.0038095238095238095]","[0.0, 0.0]","[1.0, 1.0]","[0.003086424944017452, 0.005208343396042814]","[0.0, 0.009523809523809525]","[0.27507207358645325, 0.2898884584667618]","[0.4206020094489489, 0.4988662131519274]","[0.8006622516556292, 0.8061904761904762]"
breastcancer,1,4,Uniform,"[[35, 0], [0, 22]]",1.0,0.009765625,0.0015625,0.0,1.0,0.0038448450157374543,0.00439453125,0.27954626096814905,0.4492403837833161,0.8041015625000001,"[0.00911854103343465, 0.01092896174863388]","[0.0, 0.004371584699453552]","[0.0, 0.0]","[1.0, 1.0]","[0.003086424944017452, 0.005208343396042814]","[0.0007598784194528875, 0.01092896174863388]","[0.2743753406920333, 0.28884261490717683]","[0.43119431109091083, 0.48168386966201177]","[0.8135764944275583, 0.7870673952641166]"
breastcancer,1,5,Uniform,"[[35, 0], [0, 22]]",1.0,0.005859375,0.0015625,0.0,1.0,0.0038945774794567987,0.0029296875,0.27759273909418464,0.4492575749147011,0.7986979166666666,"[0.006309148264984227, 0.005128205128205128]","[0.0, 0.0041025641025641026]","[0.0, 0.0]","[1.0, 1.0]","[0.003086424944017452, 0.005208343396042814]","[0.0015772870662460567, 0.005128205128205128]","[0.275658828849079, 0.28073658292853576]","[0.43414212290063586, 0.4738298738298739]","[0.8062039957939011, 0.7864957264957265]"
breastcancer,1,6,Uniform,"[[35, 0], [0, 22]]",1.0,0.01171875,0.0015625,0.0,1.0,0.0037702463201584376,0.0078125,0.27839944539111905,0.4347019019186076,0.7964192708333333,"[0.005763688760806916, 0.024242424242424242]","[0.0, 0.0048484848484848485]","[0.0, 0.0]","[1.0, 1.0]","[0.003086424944017452, 0.005208343396042814]","[0.007204610951008645, 0.00909090909090909]","[0.27337837549974303, 0.2889589075263158]","[0.42264357600079006, 0.4600609267275934]","[0.8043227665706053, 0.7797979797979797]"
breastcancer,1,7,Uniform,"[[35, 0], [0, 22]]",1.0,0.0078125,0.003125,0.0,1.0,0.003919443711316471,0.00732421875,0.2806524878600255,0.4474273954779212,0.7923828125000001,"[0.003215434083601286, 0.014925373134328358]","[0.0, 0.007960199004975126]","[0.0, 0.0]","[1.0, 1.0]","[0.003086424944017452, 0.005208343396042814]","[0.002411575562700965, 0.014925373134328358]","[0.27381666226025203, 0.2912293125442522]","[0.4288547645520931, 0.4761641527810682]","[0.8032154340836013, 0.7756218905472637]"
breastcancer,1,8,Uniform,"[[35, 0], [0, 22]]",1.0,0.0078125,0.0,0.0,1.0,0.003927732455269695,0.00244140625,0.28102908083157385,0.44443633177570097,0.7945963541666667,"[0.009708737864077669, 0.0049261083743842365]","[0.0, 0.0]","[0.0, 0.0]","[1.0, 1.0]","[0.003086424944017452, 0.005208343396042814]","[0.0040453074433656954, 0.0]","[0.2778502623789668, 0.2858677749293846]","[0.43867767595197055, 0.45320197044334976]","[0.8174757281553398, 0.7597701149425287]"
breastcancer,1,9,Uniform,"[[35, 0], [0, 22]]",1.0,0.005859375,0.0,0.0,1.0,0.0038407006437608422,0.00244140625,0.27689039655096603,0.4293098745858676,0.7869140625000001,"[0.0, 0.016483516483516484]","[0.0, 0.0]","[0.0, 0.0]","[1.0, 1.0]","[0.003086424944017452, 0.005208343396042814]","[0.003787878787878788, 0.0]","[0.27328490775806447, 0.28342782128534794]","[0.41998489568583025, 0.4462178033606605]","[0.7937373737373737, 0.7745421245421246]"
