dataset,fold,n_ensemble,weights,confusion_matrix,accuracy,Boots_Hostility_dataset,Boots_kDN_dataset,Boots_DCP_dataset,Boots_TD_U_dataset,Boots_CLD_dataset,Boots_N1_dataset,Boots_N2_dataset,Boots_LSC_dataset,Boots_F1_dataset,Boots_Hostility_class,Boots_kDN_class,Boots_DCP_class,Boots_TD_U_class,Boots_CLD_class,Boots_N1_class,Boots_N2_class,Boots_LSC_class,Boots_F1_class
fourclass,1,0,Uniform,"[[54, 2], [0, 31]]",0.9770114942528736,0.0,0.003870967741935484,0.0,0.5503225806451613,0.3288445354820234,0.004516129032258065,0.10344121451801855,0.8792869542686877,0.847741935483871,"[0.0, 0.0]","[0.002603036876355749, 0.0057324840764331215]","[0.0, 0.0]","[0.44577006507592193, 0.7038216560509554]","[0.24486661456214517, 0.45213696078158994]","[0.0036153289949385392, 0.00583864118895966]","[0.09772801678246854, 0.11182906214887388]","[0.886870693184887, 0.8681528662420382]","[0.754880694143167, 0.9840764331210191]"
fourclass,1,1,Uniform,"[[55, 1], [0, 31]]",0.9885057471264368,0.0,0.0036129032258064514,0.0,0.5493548387096774,0.3176215721551713,0.005591397849462366,0.1008280812048388,0.8776618073466887,0.8367741935483871,"[0.0, 0.0]","[0.004365079365079365, 0.0022140221402214026]","[0.0, 0.0]","[0.4722222222222222, 0.6928044280442804]","[0.2500186860605553, 0.4433479728625015]","[0.007605820105820105, 0.0018450184501845018]","[0.09603783880253544, 0.10973687150284943]","[0.8827970612609167, 0.8681113720228111]","[0.7599206349206349, 0.9797047970479705]"
fourclass,1,2,Uniform,"[[56, 0], [0, 31]]",1.0,0.0,0.005161290322580645,0.0,0.5782258064516129,0.32564105962770534,0.007741935483870967,0.10262274535502149,0.8841177637235158,0.8541935483870968,"[0.0, 0.0]","[0.006160164271047228, 0.003472222222222222]","[0.0, 0.0]","[0.4951232032854209, 0.71875]","[0.26217256037782144, 0.432964528845391]","[0.008555783709787816, 0.00636574074074074]","[0.09747755356449345, 0.11132312175081023]","[0.8930341489159925, 0.8690404040404041]","[0.7761806981519507, 0.9861111111111112]"
fourclass,1,3,Uniform,"[[56, 0], [0, 31]]",1.0,0.0,0.0023225806451612906,0.0,0.5548387096774193,0.3246051598253651,0.0036559139784946232,0.10533827974402309,0.8861386284139492,0.8458064516129032,"[0.0, 0.0]","[0.0035087719298245615, 0.0]","[0.0, 0.0]","[0.47173489278752434, 0.7175572519083969]","[0.2600708314201591, 0.4509643600996807]","[0.004223521767381416, 0.0025445292620865138]","[0.10098795248270404, 0.11385628693889588]","[0.8932220108504192, 0.8722692574600971]","[0.7719298245614035, 0.9904580152671756]"
fourclass,1,4,Uniform,"[[56, 0], [0, 31]]",1.0,0.0,0.002838709677419355,0.0,0.5512903225806451,0.3139140042758636,0.005161290322580644,0.10052378445963339,0.8802022683107797,0.8419354838709677,"[0.0, 0.0]","[0.0019646365422396855, 0.004511278195488722]","[0.0, 0.0]","[0.4663555992141454, 0.7138157894736842]","[0.25812352486573925, 0.4206709742749361]","[0.003929273084479371, 0.007518796992481203]","[0.094621766449307, 0.11181749561473157]","[0.8914242431415248, 0.8587286397812715]","[0.7632612966601179, 0.9924812030075187]"
fourclass,1,5,Uniform,"[[56, 0], [0, 31]]",1.0,0.0,0.0025806451612903226,0.0,0.5441935483870968,0.30424971991126576,0.002795698924731183,0.09963274530189424,0.8794080533276804,0.8374193548387097,"[0.0, 0.0]","[0.002321083172147002, 0.0031007751937984496]","[0.0, 0.0]","[0.45502901353965186, 0.7228682170542635]","[0.2391081302379646, 0.4347853860395476]","[0.0019342359767891683, 0.004521963824289405]","[0.09510129116482527, 0.10871321735175729]","[0.8851615358921178, 0.8678787878787878]","[0.7611218568665378, 0.9903100775193798]"
fourclass,1,6,Uniform,"[[56, 0], [0, 31]]",1.0,0.0,0.0023225806451612906,0.0,0.5546774193548387,0.3168759711400053,0.0030107526881720426,0.10278686741439019,0.8772537563744716,0.8496774193548388,"[0.0, 0.0]","[0.0012048192771084338, 0.004332129963898918]","[0.0, 0.0]","[0.4643574297188755, 0.717057761732852]","[0.2579754994634699, 0.42276923790865006]","[0.0023427041499330652, 0.00421179302045728]","[0.09863028139690545, 0.11025971881044579]","[0.8888405025725392, 0.856422710863144]","[0.7700803212851406, 0.9927797833935018]"
fourclass,1,7,Uniform,"[[56, 0], [0, 31]]",1.0,0.0,0.004387096774193548,0.0,0.5656451612903226,0.31713636291824326,0.004731182795698924,0.10296686017958032,0.8818873853183997,0.8496774193548388,"[0.0, 0.0]","[0.00404040404040404, 0.005]","[0.0, 0.0]","[0.4772727272727273, 0.721875]","[0.2553401432435189, 0.42638325127177396]","[0.0037037037037037034, 0.006547619047619048]","[0.10051452519513082, 0.10730223809851787]","[0.8915500385379903, 0.8648051948051948]","[0.7707070707070707, 0.9892857142857143]"
fourclass,1,8,Uniform,"[[56, 0], [0, 31]]",1.0,0.0,0.004645161290322581,0.0,0.5364516129032258,0.31002756643091406,0.005591397849462366,0.10288758905439001,0.879195166590114,0.8341935483870968,"[0.0, 0.0]","[0.004669260700389106, 0.004597701149425288]","[0.0, 0.0]","[0.447227626459144, 0.7121647509578544]","[0.24091409809156486, 0.44613608262411514]","[0.006485084306095979, 0.0038314176245210726]","[0.09760857621645132, 0.11328380590764864]","[0.8862219305236511, 0.8653570184604668]","[0.7529182879377432, 0.9942528735632183]"
fourclass,1,9,Uniform,"[[56, 0], [0, 31]]",1.0,0.0,0.001032258064516129,0.0,0.5551612903225807,0.32354107141919175,0.002150537634408602,0.10247447945618138,0.8799447502620452,0.8496774193548388,"[0.0, 0.0]","[0.001622718052738337, 0.0]","[0.0, 0.0]","[0.46501014198782964, 0.7127659574468085]","[0.2610149396876799, 0.43285094001364316]","[0.002704530087897228, 0.001182033096926714]","[0.09530830580814303, 0.11500257735860299]","[0.8882996488998591, 0.8653384912959381]","[0.7677484787018256, 0.9929078014184397]"
