dataset,fold,n_ensemble,weights,confusion_matrix,accuracy,Boots_Hostility_dataset,Boots_kDN_dataset,Boots_DCP_dataset,Boots_TD_U_dataset,Boots_CLD_dataset,Boots_N1_dataset,Boots_N2_dataset,Boots_LSC_dataset,Boots_F1_dataset,Boots_Hostility_class,Boots_kDN_class,Boots_DCP_class,Boots_TD_U_class,Boots_CLD_class,Boots_N1_class,Boots_N2_class,Boots_LSC_class,Boots_F1_class
fri_c0_250_50,1,0,Uniform,"[[10, 2], [2, 11]]",0.84,0.35555555555555557,0.44,0.2366455112215797,0.6972222222222222,0.25726988146290425,0.389037037037037,0.49433516914883385,0.9879397399985637,0.9734222222222223,"[0.36607142857142855, 0.34513274336283184]","[0.4428571428571429, 0.43716814159292033]","[0.25332694444188564, 0.22011170130410831]","[0.8013392857142857, 0.5940265486725663]","[0.25725135658960646, 0.2572882423992701]","[0.40535714285714286, 0.3728613569321534]","[0.49443398353322765, 0.4942372292280188]","[0.987551510989011, 0.9883245333531642]","[0.9708928571428571, 0.975929203539823]"
fri_c0_250_50,1,1,Uniform,"[[10, 2], [4, 9]]",0.76,0.3377777777777778,0.4213333333333334,0.2120520501654912,0.6855555555555556,0.23537554050578793,0.4398148148148149,0.4974903998092489,0.9886296056884291,0.9736888888888889,"[0.40384615384615385, 0.2809917355371901]","[0.4788461538461538, 0.371900826446281]","[0.24017511967761002, 0.18788015570879396]","[0.7896634615384616, 0.5960743801652892]","[0.26724165572039543, 0.20798648280067078]","[0.47267628205128204, 0.41157024793388425]","[0.498116754571409, 0.4969520453029296]","[0.9894600591715977, 0.98791582748802]","[0.9701923076923076, 0.976694214876033]"
fri_c0_250_50,1,2,Uniform,"[[10, 2], [2, 11]]",0.84,0.3377777777777778,0.42400000000000004,0.22368319754363786,0.6788888888888889,0.24222713825083403,0.39788888888888885,0.4948018212492486,0.9869431875314227,0.9741333333333334,"[0.47058823529411764, 0.22764227642276422]","[0.47058823529411764, 0.3853658536585366]","[0.2631085923977503, 0.19098896766461781]","[0.7867647058823529, 0.5894308943089431]","[0.2738087443349373, 0.21603751369328492]","[0.4741013071895425, 0.3346883468834688]","[0.4965259855240155, 0.4933720264848077]","[0.9884992458521871, 0.9856527977044476]","[0.9754901960784313, 0.9730081300813007]"
fri_c0_250_50,1,3,Uniform,"[[9, 3], [2, 11]]",0.8,0.30666666666666664,0.41955555555555557,0.21190312767357847,0.675,0.25647325352136224,0.3746666666666667,0.4934725272864196,0.9871256194785606,0.9726222222222223,"[0.4215686274509804, 0.21138211382113822]","[0.45098039215686275, 0.3934959349593496]","[0.2565931231024592, 0.17484313146426275]","[0.7794117647058824, 0.5884146341463414]","[0.2692413306323185, 0.2458850920147155]","[0.42777777777777776, 0.3306233062330623]","[0.49574332484835176, 0.4915894268692076]","[0.9903846153846154, 0.9844230375076859]","[0.9709803921568627, 0.9739837398373984]"
fri_c0_250_50,1,4,Uniform,"[[9, 3], [2, 11]]",0.8,0.4177777777777778,0.41866666666666674,0.22561364599321887,0.6783333333333333,0.23962556449342362,0.4175925925925926,0.4964234761502941,0.9875834949364362,0.9728,"[0.5533980582524272, 0.30327868852459017]","[0.45825242718446607, 0.38524590163934425]","[0.2677793202543174, 0.19001475706786516]","[0.8009708737864077, 0.5747950819672131]","[0.2736891148119728, 0.21086699332284528]","[0.48082524271844657, 0.364207650273224]","[0.4975455297540201, 0.49547616859960736]","[0.9887042569081405, 0.9866372778619644]","[0.9730097087378641, 0.9726229508196721]"
fri_c0_250_50,1,5,Uniform,"[[9, 3], [2, 11]]",0.8,0.36444444444444446,0.4488888888888889,0.24997157974921164,0.695,0.2529189123100311,0.415037037037037,0.4966248711378653,0.9884529196293902,0.9737777777777779,"[0.4576271186440678, 0.2616822429906542]","[0.47796610169491527, 0.41682242990654206]","[0.24892008475545013, 0.2511311723591542]","[0.7870762711864406, 0.5934579439252337]","[0.2663752640746628, 0.23807919727987661]","[0.45946327683615823, 0.3660436137071651]","[0.4984065309390386, 0.4946600500487209]","[0.9897327249022164, 0.9870415455901986]","[0.9713559322033899, 0.9764485981308412]"
fri_c0_250_50,1,6,Uniform,"[[9, 3], [2, 11]]",0.8,0.40444444444444444,0.432,0.24319496788367717,0.6833333333333333,0.2461990596181392,0.3984444444444445,0.49350932986136375,0.986915535444947,0.9743111111111112,"[0.5904761904761905, 0.24166666666666667]","[0.4685714285714286, 0.4]","[0.2495134956668402, 0.2376662560734095]","[0.7880952380952381, 0.5916666666666667]","[0.257584767384142, 0.23623656532288673]","[0.4534920634920635, 0.35027777777777774]","[0.4939997368764619, 0.4930802237231529]","[0.9870879120879121, 0.9867647058823529]","[0.9733333333333334, 0.9751666666666666]"
fri_c0_250_50,1,7,Uniform,"[[9, 3], [3, 10]]",0.76,0.3688888888888889,0.41866666666666674,0.2329832548296612,0.7033333333333334,0.25917428733639175,0.3517407407407407,0.49371009442583147,0.9869690440278674,0.9708444444444444,"[0.5, 0.24347826086956523]","[0.45454545454545453, 0.38434782608695656]","[0.250142902707584, 0.21656967859860463]","[0.8170454545454545, 0.5945652173913043]","[0.2868406112359223, 0.23271084708466683]","[0.4275, 0.2792753623188406]","[0.49581354023311963, 0.4916981027840776]","[0.987937062937063, 0.9860431128973328]","[0.9685454545454545, 0.9730434782608695]"
fri_c0_250_50,1,8,Uniform,"[[9, 3], [2, 11]]",0.8,0.32,0.448,0.24639545789249312,0.6638888888888889,0.2584708890573483,0.401037037037037,0.4947874955399867,0.9876905121022767,0.9728,"[0.41836734693877553, 0.2440944881889764]","[0.4979591836734694, 0.4094488188976378]","[0.2401060915172786, 0.25124866974108384]","[0.7678571428571429, 0.5836614173228346]","[0.2591042329327008, 0.2579821670118007]","[0.4829931972789116, 0.33779527559055117]","[0.49764895243876767, 0.49257944218502175]","[0.9887166405023549, 0.9868986964864686]","[0.9753061224489796, 0.9708661417322835]"
fri_c0_250_50,1,9,Uniform,"[[9, 3], [2, 11]]",0.8,0.38222222222222224,0.4293333333333333,0.21684517271622056,0.6861111111111111,0.2668466632785433,0.4017777777777778,0.496211349980918,0.9880697407167996,0.9745777777777779,"[0.5480769230769231, 0.2396694214876033]","[0.46153846153846156, 0.4016528925619835]","[0.2357522831581722, 0.2005944331628076]","[0.7980769230769231, 0.5898760330578512]","[0.2988318949919639, 0.23935522445047935]","[0.4887820512820513, 0.3269972451790633]","[0.4986319673928294, 0.49413081931282904]","[0.9901072485207101, 0.9863184943398847]","[0.9753846153846154, 0.9738842975206612]"
