dataset,fold,n_ensemble,weights,confusion_matrix,accuracy,Boots_Hostility_dataset,Boots_kDN_dataset,Boots_DCP_dataset,Boots_TD_U_dataset,Boots_CLD_dataset,Boots_N1_dataset,Boots_N2_dataset,Boots_LSC_dataset,Boots_F1_dataset,Boots_Hostility_class,Boots_kDN_class,Boots_DCP_class,Boots_TD_U_class,Boots_CLD_class,Boots_N1_class,Boots_N2_class,Boots_LSC_class,Boots_F1_class
glass1,1,0,Uniform,"[[13, 1], [3, 5]]",0.8181818181818182,0.24479166666666666,0.27708333333333335,0.4010786052009457,0.5699404761904762,0.44408128630745924,0.2573784722222222,0.37787184924563433,0.9456048011972658,0.773726851851852,"[0.08196721311475409, 0.5285714285714286]","[0.17049180327868854, 0.46285714285714286]","[0.30043018253691434, 0.5764944275582574]","[0.635831381733021, 0.45510204081632655]","[0.33759193696217565, 0.6296770094520964]","[0.14549180327868852, 0.4523809523809524]","[0.3334972243427059, 0.4552104812193097]","[0.9355591096894575, 0.9631130063965886]","[0.7522768670309653, 0.8111111111111111]"
glass1,1,9,Uniform,"[[13, 1], [4, 4]]",0.7727272727272727,0.14583333333333334,0.18958333333333333,0.35745419621749414,0.5825892857142857,0.4057810085351469,0.17057291666666666,0.3453553611386572,0.9243872102900133,0.7430555555555555,"[0.05755395683453238, 0.37735849056603776]","[0.13525179856115108, 0.33207547169811324]","[0.2901168426960559, 0.534055934698247]","[0.6418293936279548, 0.4272237196765499]","[0.32423904567296835, 0.6196363450982186]","[0.12709832134292567, 0.28459119496855345]","[0.32383407823028265, 0.40179797103043213]","[0.9173539217406563, 0.9428330047873839]","[0.7322142286171063, 0.771488469601677]"
glass1,1,19,Uniform,"[[14, 0], [3, 5]]",0.8636363636363636,0.19270833333333334,0.2572916666666667,0.41323138297872347,0.5654761904761904,0.4303925344772625,0.2725694444444444,0.3787736432043758,0.9409437821057315,0.7511574074074074,"[0.10077519379844961, 0.38095238095238093]","[0.18294573643410852, 0.4095238095238095]","[0.3269008741547089, 0.5900033772374198]","[0.6201550387596899, 0.45351473922902497]","[0.3334570069528176, 0.6288795670273164]","[0.20478036175710596, 0.4113756613756614]","[0.35214515612227215, 0.4332986405629691]","[0.9355895884540241, 0.9519071310116086]","[0.7416020671834626, 0.7707231040564374]"
glass1,1,29,Uniform,"[[14, 0], [3, 5]]",0.8636363636363636,0.25,0.2708333333333333,0.39934249408983463,0.5517113095238094,0.4347303091012844,0.2387152777777778,0.360791872587614,0.9373293593010557,0.7505787037037037,"[0.10743801652892562, 0.49295774647887325]","[0.1884297520661157, 0.4112676056338028]","[0.30443702010433155, 0.5610828089101988]","[0.6162927981109799, 0.4416498993963783]","[0.32651571854086336, 0.6191523578028469]","[0.19352617079889808, 0.31572769953051644]","[0.3324381662350303, 0.40911297778004535]","[0.9268292682926829, 0.9552238805970149]","[0.7318640955004592, 0.7824726134585289]"
glass1,1,39,Uniform,"[[14, 0], [3, 5]]",0.8636363636363636,0.21354166666666666,0.24687500000000004,0.39819739952718675,0.5446428571428571,0.4255696070340935,0.2421875,0.364570854063549,0.9405690045706426,0.7534722222222223,"[0.078125, 0.484375]","[0.18281250000000002, 0.375]","[0.3175975177304965, 0.5593971631205674]","[0.5993303571428571, 0.43526785714285715]","[0.3259260992342065, 0.6248566226338675]","[0.19270833333333334, 0.3411458333333333]","[0.3398225399398691, 0.41406748231090895]","[0.9353404471544715, 0.9510261194029851]","[0.7447916666666666, 0.7708333333333334]"
glass1,1,49,Uniform,"[[14, 0], [3, 5]]",0.8636363636363636,0.19791666666666666,0.23854166666666665,0.3853797281323878,0.5654761904761904,0.4289200774466604,0.2526041666666667,0.35719016774698975,0.9366221484043198,0.7447916666666666,"[0.05511811023622047, 0.47692307692307695]","[0.14015748031496064, 0.4307692307692308]","[0.3047970067571341, 0.5428259683578833]","[0.625421822272216, 0.44835164835164837]","[0.32574363563954994, 0.6305109714390148]","[0.1305774278215223, 0.49102564102564106]","[0.31133878046127256, 0.4467767244436988]","[0.9229882850009602, 0.9632606199770379]","[0.7270341207349081, 0.7794871794871795]"
glass1,1,59,Uniform,"[[14, 0], [4, 4]]",0.8181818181818182,0.19791666666666666,0.22916666666666666,0.36824024822695045,0.5844494047619047,0.41200150850551914,0.21267361111111113,0.3462735880700068,0.934433523439712,0.7314814814814815,"[0.0962962962962963, 0.43859649122807015]","[0.15851851851851853, 0.39649122807017545]","[0.29787234042553196, 0.5349010824934677]","[0.6328042328042328, 0.4699248120300752]","[0.32198348543106586, 0.6252020894713297]","[0.14814814814814814, 0.36549707602339176]","[0.32154902813699304, 0.4048317563324079]","[0.9253236976814213, 0.9560094265514533]","[0.7176954732510288, 0.7641325536062379]"
glass1,1,69,Uniform,"[[14, 0], [4, 4]]",0.8181818181818182,0.19270833333333334,0.240625,0.39454048463356983,0.5747767857142856,0.42423250696921083,0.2109375,0.366248013484632,0.938533324232496,0.7598379629629631,"[0.07633587786259542, 0.4426229508196721]","[0.16335877862595422, 0.4065573770491803]","[0.30934979156515624, 0.577490989419835]","[0.6248636859323882, 0.4672131147540984]","[0.33110264605412665, 0.6242327000819327]","[0.13295165394402036, 0.37841530054644806]","[0.3319602903154978, 0.4398823042249037]","[0.9296220443120462, 0.9576706630780524]","[0.7413061916878712, 0.7996357012750456]"
glass1,1,79,Uniform,"[[14, 0], [3, 5]]",0.8636363636363636,0.296875,0.2625,0.39587027186761237,0.5725446428571428,0.44636525297710145,0.2703993055555556,0.3906096745724857,0.9378627694859037,0.7482638888888888,"[0.12605042016806722, 0.5753424657534246]","[0.17815126050420171, 0.39999999999999997]","[0.29477322844031234, 0.5606723015641698]","[0.6434573829531812, 0.45694716242661443]","[0.3291222360638313, 0.6374874312329802]","[0.18277310924369747, 0.4132420091324201]","[0.3540966604586924, 0.450130889360724]","[0.9299719887955182, 0.9507258229400941]","[0.7460317460317459, 0.7519025875190258]"
glass1,1,89,Uniform,"[[14, 0], [3, 5]]",0.8636363636363636,0.1875,0.24583333333333335,0.3817228132387707,0.5829613095238094,0.42750107790128916,0.22092013888888892,0.360056489155878,0.9360362820046112,0.7447916666666666,"[0.11538461538461539, 0.3387096774193548]","[0.1953846153846154, 0.35161290322580646]","[0.30332787779596293, 0.5460992907801419]","[0.6516483516483516, 0.43894009216589863]","[0.3329592081758869, 0.625734030551326]","[0.1576923076923077, 0.353494623655914]","[0.3402591240647104, 0.40156709337929414]","[0.9317073170731708, 0.9451131439576311]","[0.7307692307692307, 0.7741935483870968]"
glass1,1,99,Uniform,"[[14, 0], [3, 5]]",0.8636363636363636,0.22916666666666666,0.2354166666666667,0.3968306737588653,0.5517113095238094,0.4399311800409884,0.20833333333333334,0.35273733133269625,0.9324193311895805,0.7436342592592592,"[0.06837606837606838, 0.48]","[0.13504273504273506, 0.392]","[0.3066012002182215, 0.5375886524822695]","[0.6196581196581197, 0.44571428571428573]","[0.31972860967869476, 0.6274471898061666]","[0.12464387464387465, 0.3388888888888889]","[0.31000066219669287, 0.41940653518486143]","[0.9225210200819957, 0.9478606965174129]","[0.7207977207977208, 0.7792592592592592]"
glass1,1,109,Uniform,"[[14, 0], [3, 5]]",0.8636363636363636,0.21875,0.25833333333333336,0.3757387706855792,0.5725446428571428,0.435225546201542,0.23697916666666666,0.3734290074175674,0.9376662166808235,0.7453703703703702,"[0.08870967741935484, 0.45588235294117646]","[0.16774193548387098, 0.4235294117647059]","[0.3029055136124457, 0.508552357113058]","[0.6261520737327189, 0.47478991596638653]","[0.32964934505572746, 0.6277468541733217]","[0.15725806451612903, 0.38235294117647056]","[0.33953769791080357, 0.43523080710637213]","[0.9312876999737739, 0.949297629499561]","[0.7320788530465949, 0.7696078431372549]"
glass1,1,119,Uniform,"[[14, 0], [3, 5]]",0.8636363636363636,0.19270833333333334,0.24791666666666667,0.4165927895981088,0.5401785714285714,0.4404213110245347,0.21875,0.3707900740782464,0.9401272347611536,0.7152777777777778,"[0.07377049180327869, 0.4]","[0.1672131147540984, 0.38857142857142857]","[0.3248459481455645, 0.5764944275582574]","[0.6024590163934426, 0.4316326530612245]","[0.32681200626057005, 0.6384260993274444]","[0.15642076502732238, 0.3273809523809524]","[0.34078716989577756, 0.42308084993912076]","[0.9363587898174064, 0.9466950959488273]","[0.704007285974499, 0.7349206349206349]"
glass1,1,129,Uniform,"[[14, 0], [3, 5]]",0.8636363636363636,0.1875,0.2125,0.3857491134751774,0.572172619047619,0.44742066892092486,0.19704861111111108,0.3543087065022735,0.9348076689722121,0.7563657407407408,"[0.03418803418803419, 0.4266666666666667]","[0.1094017094017094, 0.37333333333333335]","[0.2993271503909802, 0.5205673758865248]","[0.6361416361416362, 0.4723809523809524]","[0.3318185966471541, 0.6277599016680074]","[0.08689458689458689, 0.3688888888888889]","[0.310010311599734, 0.42341420255023493]","[0.9228684594538252, 0.9534328358208956]","[0.748338081671415, 0.7688888888888888]"
glass1,1,139,Uniform,"[[14, 0], [2, 6]]",0.9090909090909091,0.22916666666666666,0.23229166666666667,0.3682402482269504,0.5684523809523809,0.42094712598813305,0.2569444444444444,0.3733358321810371,0.9406998291065,0.7563657407407408,"[0.11851851851851852, 0.49122807017543857]","[0.15703703703703706, 0.41052631578947374]","[0.3073286052009456, 0.5125046659201195]","[0.6243386243386243, 0.4360902255639098]","[0.3333653578954725, 0.6283776293654868]","[0.19506172839506172, 0.40350877192982454]","[0.34311889011572955, 0.4449022739146602]","[0.9348991267690454, 0.9544383346425765]","[0.7489711934156379, 0.7738791423001948]"
glass1,1,149,Uniform,"[[14, 0], [2, 6]]",0.9090909090909091,0.28125,0.275,0.39162234042553196,0.5691964285714285,0.4455338262131964,0.24392361111111108,0.3660432859451048,0.934895517332039,0.7586805555555557,"[0.10526315789473684, 0.5384615384615384]","[0.16666666666666666, 0.4333333333333333]","[0.2896603210153042, 0.5406437534097108]","[0.6353383458646616, 0.4725274725274725]","[0.32505820189632606, 0.6216135848301609]","[0.15423976608187134, 0.375]","[0.32425380164307527, 0.4271202245403788]","[0.925830837255741, 0.94814389590509]","[0.7319688109161793, 0.7977207977207977]"
glass1,1,159,Uniform,"[[14, 0], [2, 6]]",0.9090909090909091,0.21875,0.25104166666666666,0.41060874704491734,0.5453869047619047,0.443677623537914,0.20746527777777776,0.36393416572932774,0.9413640638272054,0.7511574074074074,"[0.06896551724137931, 0.4473684210526316]","[0.16896551724137931, 0.3763157894736842]","[0.31817070188310104, 0.5516983949234789]","[0.6225369458128078, 0.4276315789473684]","[0.32359616678879877, 0.62695984699709]","[0.11709770114942529, 0.34539473684210525]","[0.3345079417691669, 0.40884787598430994]","[0.9329268292682926, 0.9542419481539671]","[0.7461685823754789, 0.7587719298245613]"
glass1,1,169,Uniform,"[[14, 0], [2, 6]]",0.9090909090909091,0.265625,0.26458333333333334,0.3592641843971632,0.5751488095238094,0.42947989648442403,0.2860243055555555,0.37573171420148244,0.9373255672855235,0.7725694444444445,"[0.11904761904761904, 0.5454545454545454]","[0.17142857142857143, 0.4424242424242424]","[0.2850388382303276, 0.5009671179883946]","[0.6235827664399093, 0.4826839826839827]","[0.325993616173363, 0.6270446134419043]","[0.17857142857142858, 0.49116161616161613]","[0.3318332544338229, 0.45953786466701435]","[0.9260549748354626, 0.9588421528720037]","[0.7522045855379188, 0.8114478114478114]"
glass1,1,179,Uniform,"[[14, 0], [2, 6]]",0.9090909090909091,0.22395833333333334,0.23750000000000002,0.35291075650118203,0.5889136904761904,0.424804056127935,0.23133680555555555,0.3563314606528009,0.9368547253569549,0.7563657407407406,"[0.06923076923076923, 0.5483870967741935]","[0.14461538461538462, 0.432258064516129]","[0.2738679759956356, 0.5186456188515214]","[0.6675824175824175, 0.423963133640553]","[0.33148978355039693, 0.6204630147582568]","[0.13012820512820514, 0.4435483870967742]","[0.32085854810648373, 0.43071014824991766]","[0.9254534083802377, 0.9607607125662013]","[0.7435897435897436, 0.7831541218637993]"
glass1,1,189,Uniform,"[[14, 0], [2, 6]]",0.9090909090909091,0.25,0.26562500000000006,0.3811317966903074,0.5751488095238094,0.43297012859048273,0.26041666666666663,0.3553478427318664,0.9387747492213728,0.7413194444444443,"[0.08196721311475409, 0.5428571428571428]","[0.16065573770491803, 0.4485714285714286]","[0.27950238344378564, 0.5582573454913881]","[0.6399297423887588, 0.4622448979591836]","[0.32097348465166875, 0.6281642794552726]","[0.15710382513661203, 0.44047619047619047]","[0.2992982466733012, 0.45303428157679443]","[0.9230974276955884, 0.9660980810234542]","[0.7131147540983607, 0.7904761904761906]"
glass1,1,199,Uniform,"[[14, 0], [2, 6]]",0.9090909090909091,0.15104166666666666,0.20208333333333336,0.39587027186761237,0.5360863095238094,0.4411736229180015,0.1792534722222222,0.3565191767991955,0.9292308781296769,0.7517361111111112,"[0.058823529411764705, 0.3013698630136986]","[0.15966386554621848, 0.27123287671232876]","[0.3269563144406699, 0.5082094627416691]","[0.6068427370948379, 0.4207436399217221]","[0.3287377751183668, 0.6244594570023376]","[0.1323529411764706, 0.25570776255707767]","[0.3350031473448132, 0.3915932522111337]","[0.9253262280521964, 0.9355959926395421]","[0.7282913165266107, 0.7899543378995434]"
glass1,2,0,Uniform,"[[12, 2], [3, 5]]",0.7727272727272727,0.23958333333333334,0.2125,0.1439286776087285,0.5819128787878788,0.39435454980217627,0.1870659722222222,0.34146214425773974,0.9188938437891842,0.7210648148148149,"[0.16153846153846155, 0.4032258064516129]","[0.1430769230769231, 0.35806451612903223]","[0.09510019050716727, 0.24631098927329234]","[0.6223776223776224, 0.49706744868035185]","[0.2885193400783583, 0.6162670863198588]","[0.1076923076923077, 0.353494623655914]","[0.30131811443981427, 0.425635110005003]","[0.9065040650406504, 0.944872412132884]","[0.7051282051282052, 0.7544802867383512]"
glass1,2,9,Uniform,"[[13, 1], [4, 4]]",0.7727272727272727,0.234375,0.2322916666666667,0.1342519096697876,0.6003787878787878,0.4230883148843048,0.21657986111111108,0.344924795285029,0.9188439155846783,0.7540509259259259,"[0.14782608695652175, 0.36363636363636365]","[0.1530434782608696, 0.35064935064935066]","[0.0820540556511234, 0.21220974359376651]","[0.658498023715415, 0.51357733175915]","[0.2989706379375624, 0.6084588713632058]","[0.11884057971014492, 0.3625541125541126]","[0.29246160215509004, 0.4232789148946781]","[0.9035701661364439, 0.9416553595658074]","[0.7323671497584541, 0.7864357864357865]"
glass1,2,19,Uniform,"[[13, 1], [5, 3]]",0.7272727272727273,0.24479166666666666,0.225,0.12580337086605256,0.5885416666666666,0.41579184010718384,0.19053819444444442,0.3392926615377592,0.9199644561744126,0.7349537037037037,"[0.14634146341463414, 0.42028985507246375]","[0.14146341463414633, 0.3739130434782609]","[0.09891744198323892, 0.17373046148324206]","[0.6541019955654102, 0.47167325428194995]","[0.3098849295253014, 0.6045824198401047]","[0.12533875338753386, 0.3067632850241546]","[0.2989811630432257, 0.4111522892888843]","[0.9052812479344305, 0.9461388708630759]","[0.7262872628726287, 0.750402576489533]"
glass1,2,29,Uniform,"[[12, 2], [5, 3]]",0.6818181818181818,0.2552083333333333,0.24479166666666666,0.11187617191432597,0.5662878787878788,0.4146113471117909,0.24696180555555558,0.36613044559029034,0.9304177789912229,0.7274305555555557,"[0.1885245901639344, 0.37142857142857144]","[0.17704918032786887, 0.3628571428571429]","[0.09870132964633536, 0.13483803986710963]","[0.6244411326378538, 0.464935064935065]","[0.3005630439417124, 0.6133812469224991]","[0.17896174863387976, 0.36547619047619045]","[0.3252960612969789, 0.4372989439300617]","[0.9193655870984939, 0.9496801705756929]","[0.714936247723133, 0.7492063492063492]"
glass1,2,39,Uniform,"[[12, 2], [5, 3]]",0.6818181818181818,0.21875,0.22395833333333334,0.11531737248942919,0.6032196969696969,0.4067501778206453,0.16666666666666666,0.33479203127959706,0.9197028071026979,0.7436342592592592,"[0.1328125, 0.390625]","[0.1328125, 0.40625]","[0.07982417745771671, 0.1863037625528541]","[0.6690340909090909, 0.47159090909090906]","[0.3118940254042726, 0.5964624826533909]","[0.10286458333333333, 0.2942708333333333]","[0.28959850129312625, 0.42517909125253867]","[0.9013592479674797, 0.9563899253731343]","[0.7369791666666666, 0.7569444444444444]"
