dataset,fold,n_ensemble,weights,confusion_matrix,accuracy,Boots_Hostility_dataset,Boots_kDN_dataset,Boots_DCP_dataset,Boots_TD_U_dataset,Boots_CLD_dataset,Boots_N1_dataset,Boots_N2_dataset,Boots_LSC_dataset,Boots_F1_dataset,Boots_Hostility_class,Boots_kDN_class,Boots_DCP_class,Boots_TD_U_class,Boots_CLD_class,Boots_N1_class,Boots_N2_class,Boots_LSC_class,Boots_F1_class
ilpd,1,0,Uniform,"[[34, 8], [8, 8]]",0.7241379310344828,0.29750479846449135,0.38272552783109404,0.37468526428748805,0.44767388721323464,0.36168359745043077,0.3914587332053743,0.44878462149413345,0.9893025737555486,0.8389635316698657,"[0.10723860589812333, 0.777027027027027]","[0.30509383378016086, 0.5783783783783785]","[0.2664324674124064, 0.6475115699253631]","[0.4128686327077748, 0.5353925353925354]","[0.2600785104764504, 0.6177558774591788]","[0.3135388739946381, 0.5878378378378378]","[0.42525060395886055, 0.5080967062283012]","[0.9869781692837993, 0.9951607012417822]","[0.8268096514745308, 0.8695945945945948]"
ilpd,1,9,Uniform,"[[37, 5], [9, 7]]",0.7586206896551724,0.2821497120921305,0.3746641074856046,0.36029750762691387,0.45059866556987477,0.3596216005442825,0.3387076135636596,0.4525050614793659,0.9888521256355248,0.8383877159309022,"[0.09736842105263158, 0.7801418439716312]","[0.298421052631579, 0.5801418439716312]","[0.25081553352878216, 0.6553553101608861]","[0.41929824561403506, 0.5349544072948328]","[0.2593928259863085, 0.6297417021898862]","[0.2645175438596491, 0.5386524822695036]","[0.4318578938997111, 0.5081499102755989]","[0.9867782664207688, 0.9944412497603987]","[0.8294736842105263, 0.8624113475177305]"
ilpd,1,19,Uniform,"[[38, 4], [11, 5]]",0.7413793103448276,0.2840690978886756,0.382725527831094,0.3739942740869341,0.43670596837583403,0.36438069274352913,0.3563339731285989,0.451182801330753,0.9888882705490825,0.8351247600767755,"[0.07262569832402235, 0.7484662576687117]","[0.29497206703910617, 0.5754601226993865]","[0.25569855453307583, 0.6338094127389664]","[0.40662410215482836, 0.5027753432661408]","[0.25413197639769913, 0.6065220452086036]","[0.26447858472998137, 0.558077709611452]","[0.42442322596440285, 0.5099553656323074]","[0.9860561068529868, 0.9951086055380535]","[0.8256983240223464, 0.8558282208588958]"
ilpd,1,29,Uniform,"[[39, 3], [10, 6]]",0.7758620689655172,0.33397312859884837,0.3976967370441459,0.3710922849515741,0.4596471986107303,0.3724176247105239,0.36359564939219446,0.4507255124410489,0.9893457449047206,0.8451055662188102,"[0.1346153846153846, 0.7961783439490446]","[0.3170329670329671, 0.5847133757961783]","[0.2541492180086345, 0.6422214337874342]","[0.42634746206174773, 0.5368516833484985]","[0.2665148861807161, 0.6179500885630722]","[0.28484432234432233, 0.5461783439490446]","[0.43126747439702107, 0.49583841593166117]","[0.9871449305411569, 0.994448269925977]","[0.8346153846153846, 0.8694267515923567]"
ilpd,1,39,Uniform,"[[38, 4], [9, 7]]",0.7758620689655172,0.30902111324376197,0.399232245681382,0.3746586768626612,0.45388904122109497,0.36893727330645665,0.3571017274472169,0.4503169262961312,0.9885370985939558,0.8385796545105568,"[0.10054347826086957, 0.8104575163398693]","[0.31684782608695655, 0.5973856209150327]","[0.2597787644639219, 0.6509711459001519]","[0.41821946169772256, 0.5396825396825397]","[0.2644998642932399, 0.6201331328938015]","[0.2607789855072464, 0.5887799564270152]","[0.4158639513435561, 0.5331842124565733]","[0.985607347943279, 0.9955838191132309]","[0.8301630434782609, 0.8588235294117648]"
ilpd,1,49,Uniform,"[[39, 3], [9, 7]]",0.7931034482758621,0.30902111324376197,0.3781190019193858,0.36338023468210773,0.44739968924229956,0.3584943881284117,0.37943058221369164,0.4413929423812257,0.9898228297985658,0.8397312859884839,"[0.12727272727272726, 0.8235294117647058]","[0.3064935064935065, 0.5808823529411765]","[0.26151396496224083, 0.6517516599920251]","[0.4225108225108225, 0.5178571428571429]","[0.26685696095456823, 0.6179091635837776]","[0.3058874458874459, 0.5876225490196079]","[0.41260678622061836, 0.5228831638652978]","[0.9879301291700213, 0.9951808426073131]","[0.8288311688311689, 0.8705882352941177]"
ilpd,1,59,Uniform,"[[38, 4], [10, 6]]",0.7586206896551724,0.2840690978886756,0.38272552783109404,0.3665107625330009,0.43862535417237913,0.3578858780846355,0.3566858605246321,0.46260808515344876,0.9885235005558767,0.8391554702495202,"[0.09840425531914894, 0.7655172413793103]","[0.3148936170212766, 0.5586206896551724]","[0.25628053062939343, 0.6523491569864934]","[0.4159067882472138, 0.49753694581280783]","[0.2534544717487739, 0.628687317962456]","[0.28058510638297873, 0.554022988505747]","[0.44078701932636993, 0.5191923661947014]","[0.9862361644778345, 0.9944547996272134]","[0.8316489361702127, 0.8586206896551725]"
ilpd,1,69,Uniform,"[[38, 4], [10, 6]]",0.7586206896551724,0.29174664107485604,0.37888675623800383,0.3740474489365878,0.4393565487615392,0.36227847057990276,0.3713691618682022,0.45308202872237874,0.9895538752870444,0.8403071017274474,"[0.10054347826086957, 0.7516339869281046]","[0.29184782608695653, 0.5882352941176471]","[0.26064411704404206, 0.6468084040768287]","[0.4052795031055901, 0.5213196389666978]","[0.25319328323219026, 0.6246533002789758]","[0.2647644927536232, 0.6277777777777778]","[0.4219724535579711, 0.5279076735622613]","[0.9869550568381577, 0.9958046281575693]","[0.8315217391304348, 0.8614379084967321]"
ilpd,1,79,Uniform,"[[39, 3], [10, 6]]",0.7758620689655172,0.31861804222648754,0.3900191938579654,0.3684454219565742,0.45717941687231517,0.36263691815107235,0.3801023672424824,0.454282705964462,0.9896830741269954,0.8366602687140117,"[0.11827956989247312, 0.8187919463087249]","[0.3043010752688172, 0.6040268456375839]","[0.2592949114083708, 0.6409554214460487]","[0.4125704045058884, 0.5685522531160114]","[0.2584422104597579, 0.6227740407092534]","[0.30806451612903224, 0.5599552572706935]","[0.4271922426370837, 0.5219179566878497]","[0.9873489261803322, 0.9955106112824232]","[0.8228494623655914, 0.8711409395973155]"
ilpd,1,89,Uniform,"[[38, 4], [10, 6]]",0.7586206896551724,0.2783109404990403,0.3896353166986564,0.3543659662860139,0.45206105474819486,0.3581159005269013,0.3713691618682022,0.4642918991890921,0.9903466863503801,0.8408829174664109,"[0.09718670076726342, 0.823076923076923]","[0.32122762148337597, 0.5953846153846154]","[0.257539028374199, 0.6455916026207803]","[0.4217513092193399, 0.5432234432234432]","[0.2690078814337521, 0.6261254041070655]","[0.2895993179880648, 0.6173076923076923]","[0.43986946382105313, 0.5377470701806554]","[0.9881567064889942, 0.9969334719334719]","[0.8327365728900257, 0.8653846153846154]"
ilpd,1,99,Uniform,"[[37, 5], [10, 6]]",0.7413793103448276,0.2667946257197697,0.3758157389635317,0.37122522207570846,0.46229777899643537,0.360022624856829,0.36695457453614844,0.449128189701829,0.9886429116049222,0.8451055662188102,"[0.11311053984575835, 0.7196969696969697]","[0.3141388174807198, 0.5575757575757575]","[0.2798620629043464, 0.6404696835731318]","[0.432488676704615, 0.5501443001443002]","[0.2761665567960434, 0.6071439163389928]","[0.3021422450728363, 0.5579545454545455]","[0.4284074411020105, 0.5101916079240214]","[0.9866476347535666, 0.9945229320229321]","[0.8362467866323908, 0.8712121212121212]"
ilpd,1,109,Uniform,"[[37, 5], [10, 6]]",0.7413793103448276,0.2783109404990403,0.39769673704414593,0.35994140584120066,0.43990494470340924,0.3546895690606515,0.3737683941138835,0.44286616393426376,0.9894843470152203,0.8368522072936662,"[0.112565445026178, 0.7338129496402878]","[0.32774869109947646, 0.5899280575539568]","[0.25646233468042456, 0.6443227380959954]","[0.4086262777362254, 0.5258650222678999]","[0.2566816230020489, 0.6240351474375307]","[0.2862129144851658, 0.6143884892086331]","[0.41723306506323665, 0.513311083133777]","[0.9871791253298712, 0.9958195605677619]","[0.8272251308900523, 0.8633093525179856]"
ilpd,1,119,Uniform,"[[35, 7], [10, 6]]",0.7068965517241379,0.28598848368522073,0.38119001919385803,0.36103629862316733,0.44566310209304455,0.3562814514468362,0.35060780550223924,0.445953576931409,0.9882526933553625,0.8339731285988485,"[0.09186351706036745, 0.8142857142857143]","[0.30498687664041996, 0.5885714285714286]","[0.2603329535178571, 0.6350932592311902]","[0.41019872515935507, 0.5421768707482992]","[0.25963312357200224, 0.6193029723062059]","[0.26071741032370954, 0.5952380952380952]","[0.4154002425628508, 0.529102294034414]","[0.9856385876293765, 0.9953667953667954]","[0.8225721784776903, 0.8650000000000001]"
ilpd,1,129,Uniform,"[[35, 7], [10, 6]]",0.7068965517241379,0.28790786948176583,0.3888675623800384,0.36638319946282083,0.44401791426743437,0.35731776362246587,0.36174024312220093,0.4525113540741091,0.988317327731734,0.8335892514395394,"[0.09866666666666667, 0.773972602739726]","[0.3141333333333333, 0.5808219178082191]","[0.26191099322133804, 0.6347193456310131]","[0.40749206349206346, 0.5378343118069145]","[0.25600805533417786, 0.617531055458822]","[0.2748, 0.5850456621004566]","[0.42902160443834875, 0.5128446151248635]","[0.9855166217430368, 0.9955109218807848]","[0.8245333333333333, 0.8568493150684932]"
ilpd,1,139,Uniform,"[[37, 5], [10, 6]]",0.7413793103448276,0.26103646833013433,0.38042226487523995,0.36355559854798714,0.46129238643634035,0.3599782128792248,0.36919385796545107,0.44744360093993635,0.9881565982225092,0.8389635316698659,"[0.07795698924731183, 0.7181208053691275]","[0.30591397849462365, 0.5664429530201343]","[0.2507344342716979, 0.6452299147277162]","[0.41321044546850993, 0.5813358900607223]","[0.2556138274100795, 0.620538960493467]","[0.2938620071684588, 0.5572706935123042]","[0.42246040299853116, 0.5098177595587465]","[0.9853563458250006, 0.9951478323961546]","[0.8295698924731183, 0.8624161073825504]"
ilpd,1,149,Uniform,"[[36, 6], [10, 6]]",0.7241379310344828,0.32245681381957775,0.40076775431861805,0.3797770389867815,0.44959327300977975,0.3759356578774596,0.37584772872680744,0.45986986710743316,0.9910487506094647,0.843953934740883,"[0.12876712328767123, 0.7756410256410257]","[0.3249315068493151, 0.5782051282051283]","[0.2693094969901772, 0.6382427622480673]","[0.4196999347684279, 0.5195360195360196]","[0.2691653139322306, 0.6257508856980274]","[0.2867579908675799, 0.5842948717948718]","[0.43245173459568964, 0.5240212668945254]","[0.9891297123656907, 0.9955388080388081]","[0.8317808219178083, 0.8724358974358974]"
ilpd,1,159,Uniform,"[[37, 5], [10, 6]]",0.7413793103448276,0.32053742802303264,0.4019193857965451,0.3821687758414212,0.46558815464765557,0.3777598079609646,0.3565259117082534,0.4629907061051274,0.9887309318102785,0.8395393474088293,"[0.07042253521126761, 0.8554216867469879]","[0.3115492957746479, 0.5951807228915662]","[0.2582869453680527, 0.6470967867935047]","[0.42119382964453383, 0.5605278255880666]","[0.26606375874121263, 0.6166278650273017]","[0.24455399061032862, 0.5959839357429719]","[0.4278134742583191, 0.5382191236088439]","[0.9854599293876467, 0.9957261478345816]","[0.8247887323943662, 0.8710843373493976]"
ilpd,1,169,Uniform,"[[37, 5], [10, 6]]",0.7413793103448276,0.29750479846449135,0.38426103646833015,0.36200362833495403,0.4537976418974499,0.3576049830149804,0.3612923864363403,0.44809454004077565,0.989672447382584,0.8395393474088293,"[0.12401055408970976, 0.7605633802816901]","[0.3171503957783641, 0.5633802816901409]","[0.2580526258080621, 0.6394503181778559]","[0.41248900615655226, 0.5640509725016767]","[0.2621476996128774, 0.6123818168839735]","[0.2842128408091469, 0.567018779342723]","[0.42563440184848783, 0.5080409652159663]","[0.9877106017395757, 0.9949086410354017]","[0.8300791556728233, 0.8647887323943662]"
