dataset,fold,n_ensemble,weights,confusion_matrix,accuracy,Boots_Hostility_dataset,Boots_kDN_dataset,Boots_DCP_dataset,Boots_TD_U_dataset,Boots_CLD_dataset,Boots_N1_dataset,Boots_N2_dataset,Boots_LSC_dataset,Boots_F1_dataset,Boots_Hostility_class,Boots_kDN_class,Boots_DCP_class,Boots_TD_U_class,Boots_CLD_class,Boots_N1_class,Boots_N2_class,Boots_LSC_class,Boots_F1_class
mammographic,1,0,Uniform,"[[36, 6], [7, 34]]",0.8433734939759037,0.14725568942436412,0.2685408299866131,0.24021650325372268,0.4303882195448461,0.2895838016265527,0.25400543974841167,0.24953190786034865,0.9845997660231569,0.7274431057563587,"[0.14690721649484537, 0.14763231197771587]","[0.2654639175257732, 0.27186629526462397]","[0.2337811734772257, 0.24717167861105088]","[0.39368556701030927, 0.4700557103064067]","[0.28763933366129985, 0.29168534360571174]","[0.24686221567664865, 0.2617256930627404]","[0.2336890520634493, 0.26665454866591115]","[0.9797103200171822, 0.9898841812051018]","[0.711340206185567, 0.7448467966573817]"
mammographic,1,1,Uniform,"[[33, 9], [6, 35]]",0.8192771084337349,0.17269076305220885,0.2878179384203481,0.235304876490663,0.4234158857652834,0.2930919651572322,0.290947918658762,0.2536516086459578,0.9847587004682318,0.7413654618473895,"[0.16377171215880892, 0.18313953488372092]","[0.25607940446650124, 0.325]","[0.21988127245407713, 0.2533738079637564]","[0.38720016542597185, 0.46584302325581395]","[0.26991128514649443, 0.32024840133260235]","[0.26049667178699437, 0.3266219084533038]","[0.21490902917152727, 0.2990389909953634]","[0.9791860525227462, 0.9912871223346004]","[0.7349875930521091, 0.7488372093023257]"
mammographic,1,2,Uniform,"[[35, 7], [11, 30]]",0.7831325301204819,0.14190093708165996,0.2720214190093708,0.23496184573696577,0.42564703257474346,0.2888338713841585,0.2668409086079769,0.23957362383563977,0.9861702021227414,0.7408299866131189,"[0.17962466487935658, 0.10427807486631016]","[0.271313672922252, 0.2727272727272727]","[0.23120756307541276, 0.2387060902095842]","[0.38248436103663985, 0.46869429590017825]","[0.2867735034310824, 0.2908887303320125]","[0.2586046214732542, 0.2750551735845853]","[0.2332931710909413, 0.24583728392594065]","[0.9825667448614834, 0.9897640244715362]","[0.7415549597855229, 0.7401069518716578]"
mammographic,1,3,Uniform,"[[36, 6], [12, 29]]",0.7831325301204819,0.18875502008032127,0.28674698795180725,0.2416760605363444,0.43557563587684067,0.30316355989300514,0.29257984318225283,0.26103816821689796,0.9852443592467748,0.7282463186077643,"[0.19437340153452684, 0.18258426966292135]","[0.27621483375959077, 0.29831460674157306]","[0.23711546698774072, 0.24668502704618725]","[0.4094202898550725, 0.4643024344569288]","[0.29293970597187363, 0.3143925679917759]","[0.26201843056063007, 0.32614588906723735]","[0.24562650038044023, 0.27796502811592894]","[0.980218989769821, 0.9907637959475863]","[0.7104859335038364, 0.7477528089887641]"
mammographic,1,4,Uniform,"[[36, 6], [8, 33]]",0.8313253012048193,0.17001338688085676,0.2744310575635877,0.24843494170565994,0.4178937974118697,0.3066867173604885,0.2739784534965258,0.25465759836057655,0.9843329921718267,0.7416331994645248,"[0.1424581005586592, 0.1953727506426735]","[0.22569832402234635, 0.319280205655527]","[0.22160335402413076, 0.27312827946912377]","[0.38675512104283055, 0.4465509854327335]","[0.2675836196641118, 0.34267362989340083]","[0.2129600070940853, 0.3301342473578977]","[0.20428315796115387, 0.30101762320117637]","[0.9780027932960894, 0.9901587278980837]","[0.7262569832402235, 0.7557840616966581]"
mammographic,1,5,Uniform,"[[37, 5], [11, 30]]",0.8072289156626506,0.15261044176706828,0.25890227576974567,0.22811151180094724,0.4326193663543061,0.28860944274311867,0.25674656297146253,0.23513432783009938,0.983392683151813,0.7384203480589021,"[0.14358974358974358, 0.16246498599439776]","[0.23435897435897438, 0.2857142857142857]","[0.2137945866340811, 0.24375185021853213]","[0.4007478632478632, 0.46743697478991597]","[0.2786559799396342, 0.29948297353684117]","[0.2208038258038258, 0.29601173802854475]","[0.2126878306899268, 0.25965571126053993]","[0.9778645833333334, 0.9894317837938499]","[0.7276923076923077, 0.750140056022409]"
mammographic,1,6,Uniform,"[[37, 5], [9, 32]]",0.8313253012048193,0.16599732262382866,0.2720214190093708,0.23526312084565523,0.43217313699241416,0.2985725132525501,0.25911795329466014,0.2399342272908714,0.9836833000669962,0.7368139223560909,"[0.1806282722513089, 0.1506849315068493]","[0.26230366492146595, 0.2821917808219178]","[0.23502614070787134, 0.23551113841451402]","[0.3949607329842932, 0.4711187214611872]","[0.29120702871805937, 0.3062810477516609]","[0.2366969999168952, 0.2825831702544031]","[0.2248273622831387, 0.2557446997099232]","[0.9780418302792322, 0.9895875232421356]","[0.7193717277486912, 0.755068493150685]"
mammographic,1,7,Uniform,"[[38, 4], [9, 32]]",0.8433734939759037,0.18072289156626506,0.27603748326639893,0.24540599635068464,0.4353525211958947,0.29336671662246283,0.2787159218886126,0.25792074333457504,0.984657920308504,0.747255689424364,"[0.1801566579634465, 0.1813186813186813]","[0.25274151436031334, 0.3005494505494506]","[0.23414864727794543, 0.2572509543035944]","[0.39382071366405574, 0.4790521978021978]","[0.28338047706437464, 0.30387421593770403]","[0.23953748601268185, 0.31993938601081456]","[0.22820974901152097, 0.28918258626240395]","[0.9795950282854655, 0.9899850841679098]","[0.7394255874673629, 0.7554945054945055]"
mammographic,1,8,Uniform,"[[38, 4], [9, 32]]",0.8433734939759037,0.15528781793842034,0.26559571619812583,0.2233846831399487,0.43295403837572516,0.30099608060100225,0.2711108986209388,0.24333326458697754,0.9842425836000203,0.7338688085676036,"[0.16112531969309463, 0.14887640449438203]","[0.23734015345268542, 0.2966292134831461]","[0.22218303867120312, 0.22470446681208217]","[0.4052642796248935, 0.4633661048689139]","[0.2885102323182471, 0.3147094701475113]","[0.21706247716477894, 0.33047306937756377]","[0.22500603268558883, 0.2634623310854129]","[0.9785672421142371, 0.9904758940521025]","[0.7232736572890026, 0.7455056179775282]"
mammographic,1,9,Uniform,"[[38, 4], [8, 33]]",0.8554216867469879,0.1713520749665328,0.27228915662650605,0.2339175527547716,0.42893797411869705,0.29099095627247157,0.26296190051210133,0.24038888698678373,0.9841091628749532,0.7397590361445782,"[0.1815856777493606, 0.1601123595505618]","[0.26956521739130435, 0.2752808988764045]","[0.23438495590433586, 0.23340419704836815]","[0.38842710997442453, 0.47343164794007486]","[0.28070463492389536, 0.3022885732592505]","[0.2525595745544595, 0.27438692705546636]","[0.24718592559971483, 0.23292360019561498]","[0.9798992966751918, 0.9887329204145787]","[0.7304347826086958, 0.75]"
