dataset,fold,n_ensemble,weights,confusion_matrix,accuracy,Boots_Hostility_dataset,Boots_kDN_dataset,Boots_DCP_dataset,Boots_TD_U_dataset,Boots_CLD_dataset,Boots_N1_dataset,Boots_N2_dataset,Boots_LSC_dataset,Boots_F1_dataset,Boots_Hostility_class,Boots_kDN_class,Boots_DCP_class,Boots_TD_U_class,Boots_CLD_class,Boots_N1_class,Boots_N2_class,Boots_LSC_class,Boots_F1_class
musk1,1,0,Uniform,"[[19, 8], [6, 15]]",0.7083333333333334,0.10046728971962617,0.19626168224299065,0.049207652852512676,0.5548166786484543,0.4422722945354327,0.17567311971517577,0.3726513035630769,0.9683791539629751,0.9354520887287467,"[0.11522633744855967, 0.08108108108108109]","[0.23703703703703705, 0.14270270270270272]","[0.0544296185448449, 0.042348530348530346]","[0.6767964545742324, 0.3945945945945946]","[0.41707750006045713, 0.4753659975485086]","[0.20775034293552813, 0.13353925353925356]","[0.39531379789700316, 0.34288381100554155]","[0.9799190615234875, 0.9532213294375457]","[0.9171252912886112, 0.9595245848257897]"
musk1,1,1,Uniform,"[[22, 5], [7, 14]]",0.75,0.10981308411214953,0.21355140186915889,0.06585858585858587,0.5519410496046011,0.44572089902583967,0.21370716510903429,0.3821783751413519,0.9696771052667434,0.9378166873099878,"[0.10822510822510822, 0.1116751269035533]","[0.26233766233766237, 0.15634517766497463]","[0.04421720815660211, 0.0912350236715719]","[0.6413586413586414, 0.447090980085904]","[0.4248548475157831, 0.47018819800463696]","[0.22922077922077924, 0.1955160744500846]","[0.3991106415331719, 0.3623237886616034]","[0.9814445582080438, 0.9558787213609549]","[0.9180357794815627, 0.9610115589260596]"
musk1,1,2,Uniform,"[[22, 5], [7, 14]]",0.75,0.102803738317757,0.19485981308411213,0.056043456370559186,0.556254493170381,0.4358886181515559,0.16710614152202938,0.37798773808695985,0.9659224373479619,0.9369581128251323,"[0.12549019607843137, 0.06936416184971098]","[0.24941176470588236, 0.11445086705202312]","[0.05726619132501486, 0.05424115918335572]","[0.6603318250377074, 0.40284570920409074]","[0.41792017750175203, 0.4623738919417293]","[0.20045751633986927, 0.11794660060556014]","[0.4080598447581274, 0.33366180050807126]","[0.9799202668619316, 0.9452897984689892]","[0.9226317032837231, 0.9580750748659377]"
musk1,1,3,Uniform,"[[22, 5], [6, 15]]",0.7708333333333334,0.09813084112149532,0.20233644859813082,0.07177475691494385,0.571531272465852,0.44555410751746,0.17353693813974186,0.3794311246384916,0.9704422089907025,0.9368455128926922,"[0.12, 0.06741573033707865]","[0.2536, 0.1303370786516854]","[0.06209636363636366, 0.08536800590171376]","[0.6744615384615384, 0.42696629213483145]","[0.4288258003838469, 0.469048920907366]","[0.19, 0.1504146602461209]","[0.3999436642407336, 0.35062137800612936]","[0.9808132780082988, 0.9558761008199211]","[0.9220240963855422, 0.9576621091105998]"
musk1,1,4,Uniform,"[[22, 5], [5, 16]]",0.7916666666666666,0.10514018691588785,0.20140186915887848,0.05301901412882722,0.5483465132997845,0.4461102371785172,0.155462839341344,0.3816648978900287,0.9693632031224616,0.941799909920054,"[0.10833333333333334, 0.10106382978723404]","[0.24666666666666667, 0.14361702127659576]","[0.03923576038159373, 0.07061465721040189]","[0.6516025641025641, 0.4165302782324059]","[0.4217352544050052, 0.47722723646385173]","[0.17708333333333334, 0.12786220871327253]","[0.4068366598401795, 0.3495307336983469]","[0.980567081604426, 0.9550603795284646]","[0.9276355421686747, 0.9598820815175596]"
musk1,1,5,Uniform,"[[22, 5], [5, 16]]",0.7916666666666666,0.10046728971962617,0.19999999999999998,0.0476282686679883,0.5540977713874911,0.43985732360896745,0.14572207387627945,0.37020892592783616,0.9676397283776971,0.9389989866006081,"[0.09053497942386832, 0.11351351351351352]","[0.25267489711934155, 0.1308108108108108]","[0.046245306286458565, 0.04944480844480844]","[0.6533713200379867, 0.4237006237006237]","[0.4138963413789176, 0.4739574245922222]","[0.1849108367626886, 0.09424710424710425]","[0.3994231867952149, 0.3318355994912252]","[0.9808411454331234, 0.950299488677867]","[0.9250582577222469, 0.9573103223705632]"
musk1,1,6,Uniform,"[[22, 5], [6, 15]]",0.7708333333333334,0.11448598130841121,0.22149532710280376,0.06303990056326506,0.5630841121495327,0.4459978145387662,0.1653259902091678,0.37960398306231824,0.9691467730964376,0.938675261794843,"[0.13675213675213677, 0.08762886597938144]","[0.27521367521367524, 0.15670103092783505]","[0.04901436012547125, 0.0799573050088514]","[0.668639053254438, 0.43576526566217294]","[0.42625147488378545, 0.4698155644318874]","[0.20021367521367522, 0.12324496809032891]","[0.40593085777911486, 0.3478488867544296]","[0.982444940951165, 0.9531067149623851]","[0.922742251055504, 0.9578934293876538]"
musk1,1,7,Uniform,"[[23, 4], [5, 16]]",0.8125,0.12383177570093458,0.2233644859813084,0.04964882469555367,0.5528396836808053,0.447334360382527,0.1783934134401424,0.3831972412547537,0.970154509028748,0.9400686859587886,"[0.13924050632911392, 0.10471204188481675]","[0.2767932489451477, 0.15706806282722513]","[0.03534380371933116, 0.0673990339697146]","[0.6520610191496268, 0.4297221103503826]","[0.4210183961014478, 0.47998820087789745]","[0.21315049226441632, 0.13526551982049365]","[0.40475699645382784, 0.35644508427998617]","[0.9807237775093229, 0.9570397622753644]","[0.9242285598088557, 0.959723711600328]"
musk1,1,8,Uniform,"[[22, 5], [5, 16]]",0.7916666666666666,0.1191588785046729,0.2163551401869159,0.05752214512728532,0.5682961897915169,0.4460534297475981,0.19295727636849133,0.3858111623628258,0.9716441554984231,0.938844161693503,"[0.11740890688259109, 0.12154696132596685]","[0.2631578947368421, 0.15248618784530388]","[0.049531822952875594, 0.06842606544264003]","[0.6683276237932109, 0.4317892052698683]","[0.4266843469213677, 0.4724852720574262]","[0.20371120107962212, 0.178282031044462]","[0.4015343007243003, 0.36435472493031656]","[0.9812186066826818, 0.9585784679707331]","[0.924393932003317, 0.9585635359116023]"
musk1,1,9,Uniform,"[[22, 5], [5, 16]]",0.7916666666666666,0.11214953271028037,0.22242990654205608,0.048356855155920586,0.5731488138030194,0.43652172991735194,0.16352358700489542,0.376863264100629,0.9708293200324067,0.93028656682806,"[0.13011152416356878, 0.08176100628930817]","[0.26617100371747215, 0.14842767295597487]","[0.043331017736222215, 0.056859687016919715]","[0.661138118387189, 0.42428640541848095]","[0.4167036233100368, 0.47005047631589136]","[0.1785625774473358, 0.13808026355196168]","[0.3912980314320918, 0.3524421797473992]","[0.9803328757191997, 0.9547509773924867]","[0.914565324495006, 0.9568841403349246]"
