dataset,fold,n_ensemble,weights,confusion_matrix,accuracy,Boots_Hostility_dataset,Boots_kDN_dataset,Boots_DCP_dataset,Boots_TD_U_dataset,Boots_CLD_dataset,Boots_N1_dataset,Boots_N2_dataset,Boots_LSC_dataset,Boots_F1_dataset,Boots_Hostility_class,Boots_kDN_class,Boots_DCP_class,Boots_TD_U_class,Boots_CLD_class,Boots_N1_class,Boots_N2_class,Boots_LSC_class,Boots_F1_class
phoneme,1,0,Uniform,"[[337, 45], [45, 114]]",0.833641404805915,0.09952704092124204,0.15167592021385976,0.16114184553989025,0.3864707808775257,0.30923505416162916,0.12025498663376516,0.24857309747521186,0.9707722075591475,0.9717869627801767,"[0.06164978292329957, 0.1924715909090909]","[0.0939507959479016, 0.29332386363636365]","[0.11243930238827374, 0.28064986158309696]","[0.3635847135123546, 0.44262941919191917]","[0.2199022473521053, 0.5284430424619879]","[0.07867824409068981, 0.2222774621212121]","[0.21301248965143024, 0.33583296965643744]","[0.9606915277944544, 0.9955085346806068]","[0.9616208393632417, 0.9967329545454546]"
phoneme,1,1,Uniform,"[[342, 40], [40, 119]]",0.8521256931608133,0.10754678182192062,0.15311536088834052,0.15756737200670579,0.3851684297910907,0.3098299194346835,0.12334635684419767,0.2530697613270329,0.9702671639064888,0.9700185070943862,"[0.06863871338311316, 0.2056480811006517]","[0.09954049396898335, 0.28819695872556117]","[0.11281647881464062, 0.2704005436901025]","[0.3645627247005765, 0.4371228578324885]","[0.2227768637943468, 0.5293221277906953]","[0.08172506222477503, 0.22828867970069996]","[0.2150724962790843, 0.34887459615466276]","[0.9602557381818911, 0.9955095856103623]","[0.9590465249856405, 0.9976828385228095]"
phoneme,1,2,Uniform,"[[345, 37], [36, 123]]",0.8650646950092421,0.10466790047295908,0.14986633765165536,0.16320695864927337,0.3890069382563728,0.31345393071932703,0.11937761327027212,0.2556832933998859,0.9718502139364602,0.972568373432038,"[0.06552538370720189, 0.1945762711864407]","[0.09374262101534829, 0.2787796610169491]","[0.11450402926919935, 0.2750751110151654]","[0.3632974769338405, 0.448060263653484]","[0.22072389427773623, 0.5264501093390623]","[0.08162140889413616, 0.20610169491525424]","[0.21923235276111924, 0.33940925060947325]","[0.9615726538910342, 0.995457246773005]","[0.9615702479338843, 0.9978305084745762]"
phoneme,1,3,Uniform,"[[342, 40], [35, 124]]",0.8613678373382625,0.1032284597984783,0.15064774830351635,0.16249987150633605,0.38763604237591487,0.3101588735853666,0.12012475152512166,0.24919163672374658,0.9696170272591464,0.9703475221056963,"[0.06861313868613139, 0.18567454798331015]","[0.09483211678832117, 0.2835883171070932]","[0.11411939294780082, 0.2777315398394258]","[0.366455798864558, 0.4380827280688198]","[0.2162433584721703, 0.533844992683209]","[0.07811678832116789, 0.2201784886416319]","[0.21068471985029083, 0.3409066508347242]","[0.9588460565879365, 0.9952711124809079]","[0.9587737226277373, 0.997913769123783]"
phoneme,1,4,Uniform,"[[345, 37], [32, 127]]",0.8724584103512015,0.10692987867571457,0.15282747275344438,0.1619157319162999,0.3893115817853634,0.3107750591621132,0.1231338679827267,0.2492357385702857,0.970101671450132,0.9706354102405922,"[0.06993006993006994, 0.19566736547868624]","[0.09516317016317016, 0.29112508735150244]","[0.1153354861977857, 0.27363019963533597]","[0.36596736596736595, 0.4452985480239149]","[0.22073917567559773, 0.5267101759515759]","[0.08142482517482517, 0.22316561844863733]","[0.20917625209154467, 0.3453113203977064]","[0.9594434435045789, 0.9956635430847504]","[0.9590909090909091, 0.9983228511530398]"
phoneme,1,5,Uniform,"[[342, 40], [30, 129]]",0.8706099815157117,0.1067242442936459,0.15471930906847625,0.1634737598218555,0.38739232755272235,0.3133753694281928,0.11767427513880321,0.25235698108955423,0.9720654357401649,0.9717869627801768,"[0.07144940215806357, 0.1910739191073919]","[0.09577136191309421, 0.29567642956764295]","[0.11543925950581153, 0.278334500117333]","[0.3670220234816327, 0.4361020713879849]","[0.2213739553617603, 0.5333703825619424]","[0.07547389909594635, 0.21858437935843794]","[0.21297197665882373, 0.34653493101492017]","[0.9622042150116971, 0.9956457187791582]","[0.9611548556430447, 0.99721059972106]"
phoneme,1,6,Uniform,"[[346, 36], [30, 129]]",0.878003696857671,0.10487353485502776,0.15142915895537737,0.1679363700473709,0.388641366021584,0.31708696463516806,0.11707108095140173,0.2517440114218952,0.9715783893307384,0.972568373432038,"[0.06721698113207547, 0.19170632222977566]","[0.09262971698113207, 0.2870156356220258]","[0.11386257870814731, 0.29262590113006726]","[0.3665269042627533, 0.4396354206007503]","[0.22103375730918226, 0.5385774331937974]","[0.07638561320754718, 0.2108882846136415]","[0.2125453132518444, 0.3421328517977023]","[0.9612392202905715, 0.9954196275253308]","[0.9615566037735849, 0.9979605710401088]"
phoneme,1,7,Uniform,"[[348, 34], [26, 133]]",0.88909426987061,0.11248200699156899,0.1583796010692988,0.1656895309834697,0.3891592600208681,0.31780086403433205,0.1276578243882377,0.25060798423030367,0.9714907676343686,0.974254575365001,"[0.07058125741399762, 0.20724346076458752]","[0.0991103202846975, 0.29242119382964454]","[0.11506961676830606, 0.2801699808382864]","[0.3650213083783665, 0.4437489132324813]","[0.22531835396194955, 0.5269564803750926]","[0.08617536575721628, 0.22147328414934048]","[0.21161088837372635, 0.33880262355181867]","[0.9608939791864157, 0.9954561403013688]","[0.9636417556346383, 0.9982562038900068]"
phoneme,1,8,Uniform,"[[348, 34], [30, 129]]",0.8817005545286506,0.09870450339296731,0.1464116800329015,0.16131423281570087,0.38583864555487013,0.3094231557542548,0.1127596134073617,0.24946123093215547,0.9707540726612676,0.9707176639934197,"[0.066608493310064, 0.17614035087719299]","[0.09610238510762072, 0.2677894736842105]","[0.11664277207894605, 0.26909000966690305]","[0.36456380755391804, 0.43716699155295646]","[0.21848276395329821, 0.528828816815089]","[0.0790333527244522, 0.19412865497076023]","[0.2150668513920437, 0.3324421971489305]","[0.9605253553697733, 0.9954321990108511]","[0.958871436881908, 0.9992982456140351]"
phoneme,1,9,Uniform,"[[348, 34], [33, 126]]",0.8761552680221811,0.10857495373226403,0.15504832407978614,0.16372247821742356,0.38928111743246435,0.31790156654073115,0.1258619507848379,0.25431843524586534,0.9726162115917562,0.9728151346905203,"[0.07585596221959859, 0.18372881355932202]","[0.10277449822904368, 0.2751186440677966]","[0.11953601564495875, 0.2652165359770918]","[0.3656150247059338, 0.44364092906465785]","[0.22426649554040978, 0.5329765635231641]","[0.08710153482880756, 0.21489265536723162]","[0.21603389874253237, 0.3422560689226737]","[0.962626806830856, 0.9955613663917084]","[0.9619244391971665, 0.9978305084745762]"
