dataset,fold,n_ensemble,weights,confusion_matrix,accuracy,Boots_Hostility_dataset,Boots_kDN_dataset,Boots_DCP_dataset,Boots_TD_U_dataset,Boots_CLD_dataset,Boots_N1_dataset,Boots_N2_dataset,Boots_LSC_dataset,Boots_F1_dataset,Boots_Hostility_class,Boots_kDN_class,Boots_DCP_class,Boots_TD_U_class,Boots_CLD_class,Boots_N1_class,Boots_N2_class,Boots_LSC_class,Boots_F1_class
profb,1,0,Uniform,"[[36, 9], [16, 7]]",0.6323529411764706,0.28311258278145696,0.4440397350993378,0.4186961616009349,0.5201779801324503,0.4215755477342901,0.41266556291390727,0.48373825291984723,0.9958065220256334,0.6720014716703459,"[0.1341772151898734, 0.5645933014354066]","[0.34126582278481016, 0.6382775119617226]","[0.30733721422943416, 0.6291592439537711]","[0.5121835443037974, 0.5352870813397129]","[0.31203705565701073, 0.6285980566841721]","[0.31666666666666665, 0.5940988835725678]","[0.4668240828991424, 0.5157052249685476]","[0.9951193400088166, 0.9971052631578948]","[0.6751054852320676, 0.6661350345560872]"
profb,1,9,Uniform,"[[36, 9], [14, 9]]",0.6617647058823529,0.26986754966887416,0.41158940397350996,0.40258384378403955,0.5222475165562914,0.4120440741249926,0.3818984547461369,0.47326817885170475,0.9953045616289414,0.670345842531273,"[0.11566265060240964, 0.6084656084656085]","[0.3180722891566265, 0.616931216931217]","[0.3051776594222685, 0.6164651480704681]","[0.5063253012048192, 0.5572089947089947]","[0.31095401819650714, 0.6340143027510319]","[0.287429718875502, 0.5893298059964727]","[0.45569392465104686, 0.511857149715583]","[0.9944794101780255, 0.9971164021164022]","[0.6709504685408301, 0.6690182245737801]"
profb,1,19,Uniform,"[[37, 8], [15, 8]]",0.6617647058823529,0.326158940397351,0.4539735099337749,0.4227214772257186,0.5164528145695364,0.42380028361605887,0.42213024282560707,0.4826539101854161,0.995869164113209,0.6675864606328182,"[0.15736040609137056, 0.6428571428571429]","[0.33756345177664976, 0.6723809523809523]","[0.3099336165972365, 0.6343329871667756]","[0.501269035532995, 0.5449404761904761]","[0.3088686554980978, 0.6394339097040429]","[0.32453468697123516, 0.6052380952380952]","[0.46049492295106403, 0.5242283909965337]","[0.9949364850872541, 0.9976190476190476]","[0.6692047377326565, 0.6645502645502644]"
profb,1,29,Uniform,"[[39, 6], [16, 7]]",0.6764705882352942,0.33112582781456956,0.4370860927152318,0.42211967946041035,0.5302152317880795,0.4309663806179038,0.43874172185430466,0.48402547373830607,0.9955875012355442,0.673289183222958,"[0.178117048346056, 0.6161137440758294]","[0.33078880407124683, 0.6350710900473934]","[0.3160989274855055, 0.6195896108639064]","[0.5131997455470738, 0.5619075829383886]","[0.3216341314716454, 0.634604171681788]","[0.3414334181509754, 0.6199842022116904]","[0.46398780324517214, 0.5213468220975555]","[0.9949868975732027, 0.9967061611374408]","[0.6728866270851004, 0.6740389678778305]"
profb,1,39,Uniform,"[[38, 7], [16, 7]]",0.6617647058823529,0.2980132450331126,0.4245033112582782,0.40520723982807294,0.5165562913907285,0.4053611042500767,0.40151766004415007,0.4764969972994647,0.9954030344963921,0.6690581309786608,"[0.1523809523809524, 0.6304347826086957]","[0.32952380952380955, 0.6413043478260869]","[0.3140967324069854, 0.6131768763327293]","[0.5063988095238096, 0.5397418478260869]","[0.30531299314205596, 0.6337317926488197]","[0.3051190476190476, 0.6215579710144927]","[0.45878715398869296, 0.5169216396392695]","[0.9947938877043354, 0.9967934782608695]","[0.6666666666666666, 0.6745169082125604]"
profb,1,49,Uniform,"[[38, 7], [16, 7]]",0.6617647058823529,0.3029801324503311,0.41854304635761597,0.4100616135187257,0.5207988410596026,0.4086990727860569,0.4065121412803532,0.47969009939785323,0.9953125102962012,0.6716335540838853,"[0.1580246913580247, 0.5979899497487438]","[0.32395061728395064, 0.6110552763819096]","[0.3027804343126573, 0.6283976817521817]","[0.5040123456790123, 0.554962311557789]","[0.30228294531845423, 0.6252746085869568]","[0.29189300411522634, 0.6397822445561139]","[0.4602090710074953, 0.5193374184837574]","[0.9944413733800136, 0.9970854271356784]","[0.6702331961591221, 0.6744835287548856]"
profb,1,59,Uniform,"[[38, 7], [15, 8]]",0.6764705882352942,0.30132450331125826,0.4341059602649007,0.4150743196913253,0.5264900662251656,0.42122694982685444,0.42894591611479027,0.47825122593387004,0.9957327600408553,0.6670345842531273,"[0.18024691358024691, 0.5477386934673367]","[0.33679012345679016, 0.6321608040201004]","[0.31198134455995125, 0.6248866560139712]","[0.5199074074074074, 0.5398869346733668]","[0.31248907291778316, 0.6425276540890347]","[0.3309876543209877, 0.6283082077051926]","[0.46130035170997596, 0.5127492362890311]","[0.9950187334930287, 0.9971859296482412]","[0.6688614540466391, 0.6633165829145728]"
profb,1,69,Uniform,"[[38, 7], [14, 9]]",0.6911764705882353,0.33112582781456956,0.4397350993377484,0.4207935133131803,0.5318708609271523,0.4203618747434956,0.4145419426048565,0.4836987133271824,0.9956716417910448,0.6754966887417219,"[0.1802030456852792, 0.6142857142857143]","[0.33248730964467005, 0.6409523809523809]","[0.31348028726679944, 0.622133565990676]","[0.5169733502538071, 0.5598214285714286]","[0.310213607746505, 0.6270210042521353]","[0.30503384094754654, 0.62]","[0.4590559967698565, 0.5299331434394989]","[0.9945829229487082, 0.9977142857142858]","[0.6708967851099831, 0.684126984126984]"
profb,1,79,Uniform,"[[37, 8], [15, 8]]",0.6617647058823529,0.304635761589404,0.4337748344370861,0.41519689030793905,0.5207988410596026,0.41943812167528055,0.421523178807947,0.4834484142337869,0.9955715215314156,0.6694260485651214,"[0.14676616915422885, 0.6188118811881188]","[0.33681592039800995, 0.6267326732673267]","[0.3080632330600541, 0.6284034755240269]","[0.5041977611940298, 0.5538366336633663]","[0.3112261885169967, 0.6347905827130532]","[0.3456467661691542, 0.5725247524752476]","[0.46811237326697785, 0.5139686541776349]","[0.9949258681715798, 0.9968564356435644]","[0.6666666666666666, 0.6749174917491749]"
profb,1,89,Uniform,"[[38, 7], [15, 8]]",0.6764705882352942,0.31125827814569534,0.42384105960264895,0.4141337463266029,0.5235927152317881,0.4200163154859358,0.43424392935982337,0.48116231486816335,0.9955274126058449,0.6712656364974245,"[0.16995073891625614, 0.601010101010101]","[0.316256157635468, 0.6444444444444445]","[0.30887660391000227, 0.6299640484535718]","[0.5161637931034483, 0.5388257575757576]","[0.3117636995735805, 0.6419888511446036]","[0.3326354679802956, 0.6425925925925926]","[0.4619024533497709, 0.5206547581836549]","[0.9945530965860353, 0.9975252525252525]","[0.6702244116037219, 0.6734006734006734]"
