dataset,fold,n_ensemble,weights,confusion_matrix,accuracy,Boots_Hostility_dataset,Boots_kDN_dataset,Boots_DCP_dataset,Boots_TD_U_dataset,Boots_CLD_dataset,Boots_N1_dataset,Boots_N2_dataset,Boots_LSC_dataset,Boots_F1_dataset,Boots_Hostility_class,Boots_kDN_class,Boots_DCP_class,Boots_TD_U_class,Boots_CLD_class,Boots_N1_class,Boots_N2_class,Boots_LSC_class,Boots_F1_class
saheart,1,0,Uniform,"[[23, 8], [9, 7]]",0.6382978723404256,0.18072289156626506,0.3387951807228916,0.3313706542229162,0.5835341365461847,0.35408985140720206,0.3386460126219163,0.45764088398235997,0.9852098370170659,0.8133868808567605,"[0.1054421768707483, 0.36363636363636365]","[0.2571428571428572, 0.5371900826446281]","[0.2812440846814882, 0.4531657901334934]","[0.5759637188208617, 0.6019283746556473]","[0.295174821794547, 0.4972387663338186]","[0.2722384191771947, 0.5]","[0.43670661885802803, 0.5085059579208193]","[0.9820483749055178, 0.9928914061145466]","[0.8057445200302343, 0.8319559228650137]"
saheart,1,1,Uniform,"[[24, 7], [9, 7]]",0.6595744680851063,0.21927710843373494,0.375421686746988,0.34173457405371216,0.578714859437751,0.37976904843239456,0.38514629948364887,0.4694782935988172,0.9846358549973009,0.8034805890227578,"[0.12062256809338522, 0.379746835443038]","[0.2552529182879377, 0.5708860759493671]","[0.25971750338335886, 0.4751420877390337]","[0.5706874189364461, 0.5917721518987342]","[0.289588192611453, 0.5264556303689893]","[0.28340744858254585, 0.5506329113924051]","[0.4382251734152884, 0.5203140650365823]","[0.9791900850266609, 0.9934938479242277]","[0.7924773022049286, 0.8213783403656821]"
saheart,1,2,Uniform,"[[25, 6], [9, 7]]",0.6808510638297872,0.2,0.3860240963855422,0.35763083694110104,0.591566265060241,0.3859486736755416,0.38896156052782555,0.4685744231947128,0.9870840003370125,0.824364123159304,"[0.09454545454545454, 0.40714285714285714]","[0.27490909090909094, 0.6042857142857142]","[0.2812768112515132, 0.507611958831363]","[0.5775757575757576, 0.6190476190476191]","[0.3035119904087903, 0.5478778729495175]","[0.2694025974025974, 0.6238095238095238]","[0.4415268363937758, 0.5217036115536963]","[0.9836363636363636, 0.9938561438561438]","[0.8153535353535354, 0.8420634920634921]"
saheart,1,3,Uniform,"[[25, 6], [8, 8]]",0.7021276595744681,0.20722891566265061,0.3653012048192771,0.35436972783970594,0.5875502008032129,0.3803899108834275,0.3687205966724039,0.46781192745247696,0.9853608060836976,0.8101740294511378,"[0.09375, 0.389937106918239]","[0.24296875, 0.5622641509433962]","[0.2530377807435501, 0.5175205357429505]","[0.5777994791666666, 0.6032494758909853]","[0.28620984780792025, 0.5320257357094014]","[0.2494233630952381, 0.5607966457023061]","[0.4311184048824882, 0.5268908065588739]","[0.9805844907407407, 0.9930509741830498]","[0.7925347222222222, 0.8385744234800837]"
saheart,1,4,Uniform,"[[24, 7], [9, 7]]",0.6595744680851063,0.19759036144578312,0.3571084337349397,0.34709134062832114,0.5897590361445784,0.3780846997956835,0.35627079747561674,0.46470078179576274,0.9861509753076018,0.8160642570281126,"[0.09854014598540146, 0.3900709219858156]","[0.2583941605839416, 0.548936170212766]","[0.2733945086243531, 0.4903036240970249]","[0.5778588807785888, 0.6128841607565012]","[0.29557485586786525, 0.538422978066763]","[0.26144421272158497, 0.5405437352245863]","[0.4383077318212872, 0.5159894037319772]","[0.9824952689916193, 0.9932549719783762]","[0.805758313057583, 0.8360914105594957]"
saheart,1,5,Uniform,"[[24, 7], [8, 8]]",0.6808510638297872,0.236144578313253,0.3812048192771084,0.3620758036540904,0.5795180722891566,0.38337738387941767,0.35483648881239244,0.47057025033402256,0.9863812671041587,0.8117804551539491,"[0.09163346613545817, 0.4573170731707317]","[0.2573705179282869, 0.5707317073170731]","[0.26564802022205025, 0.5096573502482494]","[0.5620849933598938, 0.6061991869918699]","[0.2803868240751436, 0.5410031796774224]","[0.21948396888635932, 0.5619918699186992]","[0.43928434130024296, 0.518452952574746]","[0.9822192710638926, 0.9927511512877366]","[0.8043382027445772, 0.823170731707317]"
saheart,1,6,Uniform,"[[24, 7], [8, 8]]",0.6808510638297872,0.2216867469879518,0.3489156626506024,0.3361081758676294,0.5720883534136546,0.36237875092817184,0.3501778542742398,0.46722667961832975,0.9843671188249502,0.8104417670682732,"[0.10948905109489052, 0.4397163120567376]","[0.2416058394160584, 0.5574468085106382]","[0.24738252857356086, 0.5085253911766704]","[0.5702554744525548, 0.5756501182033097]","[0.2738752211455565, 0.534364333626304]","[0.24631560653458462, 0.5520094562647754]","[0.4403433301741534, 0.5194680820843178]","[0.9800486618004867, 0.9927590140356098]","[0.8004866180048661, 0.8297872340425532]"
saheart,1,7,Uniform,"[[23, 8], [9, 7]]",0.6382978723404256,0.24819277108433735,0.3956626506024096,0.3829044922959166,0.5845381526104417,0.396840585918517,0.39233505450372924,0.47119682279462655,0.9870026180869554,0.8064257028112449,"[0.10150375939849623, 0.5100671140939598]","[0.2721804511278196, 0.6161073825503356]","[0.29436607701336204, 0.5409663611896046]","[0.56265664160401, 0.6236017897091722]","[0.2979992971606719, 0.5732955041036633]","[0.2668635875402792, 0.616331096196868]","[0.4379360252172396, 0.5305751594092905]","[0.9826928432191592, 0.994696578589196]","[0.8036758563074352, 0.8113348247576435]"
saheart,1,8,Uniform,"[[24, 7], [8, 8]]",0.6808510638297872,0.236144578313253,0.37397590361445787,0.35585034999117643,0.578714859437751,0.3841336784121593,0.40054503729202523,0.46938296080612657,0.9849292430015323,0.8160642570281124,"[0.11328125, 0.4339622641509434]","[0.2390625, 0.5911949685534591]","[0.25804065037122964, 0.513330117932726]","[0.5611979166666666, 0.6069182389937107]","[0.28847741610525485, 0.5381462768434017]","[0.2603236607142857, 0.6263102725366876]","[0.4334169947368506, 0.5272904281881055]","[0.9790653935185185, 0.994370409464749]","[0.8020833333333333, 0.8385744234800839]"
saheart,1,9,Uniform,"[[24, 7], [9, 7]]",0.6595744680851063,0.1855421686746988,0.3359036144578314,0.33193334059396756,0.5811244979919679,0.3627860562774204,0.3266494549627079,0.4556948265155878,0.9850820843591929,0.8082998661311914,"[0.09782608695652174, 0.3597122302158273]","[0.22826086956521738, 0.5496402877697842]","[0.2623315718879482, 0.47013541370807804]","[0.5582729468599034, 0.6264988009592326]","[0.2829552346425586, 0.5212990546315345]","[0.23185817805383022, 0.5148681055155875]","[0.43106653955991886, 0.5045970365858369]","[0.9812936124530327, 0.9926045177843739]","[0.8039452495974235, 0.8169464428457235]"
