dataset,fold,n_ensemble,weights,confusion_matrix,accuracy,Boots_Hostility_dataset,Boots_kDN_dataset,Boots_DCP_dataset,Boots_TD_U_dataset,Boots_CLD_dataset,Boots_N1_dataset,Boots_N2_dataset,Boots_LSC_dataset,Boots_F1_dataset,Boots_Hostility_class,Boots_kDN_class,Boots_DCP_class,Boots_TD_U_class,Boots_CLD_class,Boots_N1_class,Boots_N2_class,Boots_LSC_class,Boots_F1_class
sonar,1,0,Uniform,"[[6, 4], [3, 8]]",0.6666666666666666,0.11229946524064172,0.22459893048128343,0.1795699643493761,0.7825311942959001,0.44080602905717814,0.23638910109498348,0.4178157075034411,0.9405609383224108,0.9595365418894831,"[0.14285714285714285, 0.09090909090909091]","[0.29350649350649355, 0.1763636363636364]","[0.17790223665223664, 0.18073737373737375]","[0.8030303030303031, 0.7681818181818182]","[0.49623254182282434, 0.40200747012122573]","[0.33896103896103896, 0.1645887445887446]","[0.4451143736419127, 0.39870664120651106]","[0.9486559951676231, 0.9348943985307622]","[0.9562770562770562, 0.9618181818181818]"
sonar,1,1,Uniform,"[[7, 3], [3, 8]]",0.7142857142857143,0.1443850267379679,0.19358288770053478,0.19436274509803922,0.7745098039215685,0.4451952308577338,0.14974535268652917,0.41270578983027567,0.9305773818272263,0.9559714795008912,"[0.14634146341463414, 0.14285714285714285]","[0.25609756097560976, 0.14476190476190476]","[0.20510444896115626, 0.1859739858906526]","[0.7845528455284554, 0.7666666666666667]","[0.5039098555788244, 0.3993419048850726]","[0.17154471544715447, 0.13272108843537414]","[0.4256430778948555, 0.4026023839131754]","[0.9303743618831538, 0.9307359307359307]","[0.9502032520325204, 0.9604761904761904]"
sonar,1,2,Uniform,"[[8, 2], [2, 9]]",0.8095238095238095,0.16042780748663102,0.22459893048128343,0.25342394533571,0.7807486631016043,0.4555333770443445,0.18086325439266615,0.4216985828149893,0.9383073365165144,0.96301247771836,"[0.20618556701030927, 0.1111111111111111]","[0.30103092783505153, 0.14222222222222222]","[0.28130918289423446, 0.2233698559670782]","[0.8058419243986255, 0.7537037037037037]","[0.5001157168733373, 0.4074835218953186]","[0.2367697594501718, 0.12060846560846561]","[0.44301648609576194, 0.3987226203901566]","[0.9467753536322224, 0.9291806958473625]","[0.9661512027491409, 0.9596296296296296]"
sonar,1,3,Uniform,"[[7, 3], [3, 8]]",0.7142857142857143,0.1711229946524064,0.23850267379679146,0.2357320756585462,0.7887700534759359,0.44962048002555705,0.1888464476699771,0.42142169445291555,0.9391483545817584,0.960427807486631,"[0.2, 0.14705882352941177]","[0.3035294117647059, 0.1843137254901961]","[0.248671568627451, 0.22494916485112565]","[0.7980392156862747, 0.7810457516339869]","[0.5029197457942949, 0.40520442521827554]","[0.22784313725490196, 0.15634920634920635]","[0.43711411974374054, 0.40834467337722813]","[0.9415868673050616, 0.9371162606456724]","[0.9609803921568628, 0.9599673202614379]"
sonar,1,4,Uniform,"[[7, 3], [3, 8]]",0.7142857142857143,0.12834224598930483,0.19251336898395718,0.24167656961774603,0.7896613190730836,0.4481717867292932,0.18906289788642727,0.4159397465850612,0.9386596973339917,0.9549019607843137,"[0.16279069767441862, 0.09900990099009901]","[0.2837209302325582, 0.11485148514851487]","[0.2885217484926787, 0.2017885955262193]","[0.8081395348837209, 0.773927392739274]","[0.5000044037345376, 0.4040370831406692]","[0.3011627906976744, 0.0936115040075436]","[0.44584845918445665, 0.3904729219954769]","[0.94848566792861, 0.9302930293029302]","[0.9575581395348837, 0.9526402640264027]"
sonar,1,5,Uniform,"[[7, 3], [2, 9]]",0.7619047619047619,0.1711229946524064,0.1946524064171123,0.19380644682115267,0.7807486631016042,0.4480499126729218,0.14327731092436974,0.40814033929793364,0.9360141647792438,0.9606951871657753,"[0.20652173913043478, 0.1368421052631579]","[0.23043478260869565, 0.16]","[0.2052158816425121, 0.18275730994152048]","[0.7971014492753624, 0.7649122807017544]","[0.4930304759417253, 0.4044897882441859]","[0.1793478260869565, 0.10834586466165413]","[0.41813134850347167, 0.39846483564625484]","[0.9435035389282104, 0.9287612971823499]","[0.963768115942029, 0.9577192982456141]"
sonar,1,6,Uniform,"[[7, 3], [2, 9]]",0.7619047619047619,0.17647058823529413,0.20534759358288773,0.2549566745890275,0.7807486631016042,0.44915083159348596,0.15842882607588488,0.423647787106255,0.9398380019571414,0.9598039215686273,"[0.16279069767441862, 0.18811881188118812]","[0.23720930232558138, 0.1782178217821782]","[0.2390051679586563, 0.2685391455812248]","[0.8100775193798451, 0.7557755775577557]","[0.5026097408571838, 0.4036313642996443]","[0.1868217054263566, 0.13425271098538427]","[0.4273875508208669, 0.42046343384430823]","[0.9384802595997837, 0.940994099409941]","[0.9596899224806201, 0.95990099009901]"
sonar,1,7,Uniform,"[[7, 3], [2, 9]]",0.7619047619047619,0.16042780748663102,0.2556149732620321,0.25427634184987125,0.7691622103386808,0.44865883008359253,0.18288770053475936,0.41968733304568645,0.9460536216536712,0.9562388591800356,"[0.21978021978021978, 0.10416666666666667]","[0.3604395604395605, 0.15625]","[0.29070512820512817, 0.21974488811728396]","[0.783882783882784, 0.7552083333333334]","[0.5086165466311598, 0.3918239112728777]","[0.2326007326007326, 0.13576388888888888]","[0.43886966835139124, 0.4015040777038205]","[0.9605162279580886, 0.9323442760942761]","[0.9582417582417583, 0.9543402777777777]"
sonar,1,8,Uniform,"[[7, 3], [2, 9]]",0.7619047619047619,0.18181818181818182,0.20427807486631017,0.21943033273915624,0.765597147950089,0.43029120649089114,0.13439011968423734,0.41738316906475653,0.9352874598490817,0.9558823529411765,"[0.15384615384615385, 0.2018348623853211]","[0.28205128205128205, 0.14862385321100915]","[0.22892094017094017, 0.2126388888888889]","[0.7991452991452992, 0.7415902140672782]","[0.49426505104781854, 0.38451175809235616]","[0.1405982905982906, 0.1299475753604194]","[0.4288205352395998, 0.40919863180202476]","[0.945736434108527, 0.9278102122138819]","[0.9617521367521368, 0.9516819571865444]"
sonar,1,9,Uniform,"[[7, 3], [2, 9]]",0.7619047619047619,0.1443850267379679,0.2213903743315508,0.2292099920776391,0.7647058823529411,0.4503297881383375,0.18119429590017821,0.42602296230323916,0.9414810962504035,0.958645276292335,"[0.15789473684210525, 0.13043478260869565]","[0.28210526315789475, 0.15869565217391304]","[0.21618908382066274, 0.24265549516908216]","[0.7877192982456142, 0.7409420289855073]","[0.4895186878701734, 0.4098629895022028]","[0.2505263157894737, 0.1096014492753623]","[0.4348501438919568, 0.41690793783662844]","[0.946266829865361, 0.9365393061045235]","[0.9621052631578947, 0.9550724637681158]"
