dataset,fold,n_ensemble,weights,confusion_matrix,accuracy,Boots_Hostility_dataset,Boots_kDN_dataset,Boots_DCP_dataset,Boots_TD_U_dataset,Boots_CLD_dataset,Boots_N1_dataset,Boots_N2_dataset,Boots_LSC_dataset,Boots_F1_dataset,Boots_Hostility_class,Boots_kDN_class,Boots_DCP_class,Boots_TD_U_class,Boots_CLD_class,Boots_N1_class,Boots_N2_class,Boots_LSC_class,Boots_F1_class
spectfheart,1,0,Uniform,"[[2, 3], [2, 20]]",0.8148148148148148,0.20833333333333334,0.30750000000000005,0.25692833244973207,0.7805555555555557,0.25537214110120726,0.34690656565656564,0.4716187656618896,0.9458112874779542,0.837594696969697,"[1.0, 0.0]","[0.632, 0.22210526315789475]","[0.669748937432045, 0.14829133113859705]","[0.5444444444444444, 0.8426900584795322]","[0.6021422850484099, 0.16411684006246968]","[0.6428181818181818, 0.26903508771929824]","[0.504495943738554, 0.46296687669434633]","[0.9857142857142857, 0.9353104984683932]","[0.9395454545454546, 0.8107655502392344]"
spectfheart,1,1,Uniform,"[[2, 3], [1, 21]]",0.8518518518518519,0.175,0.29750000000000004,0.22680520486070552,0.7916666666666669,0.25716313900772175,0.2678769841269841,0.47088226686979306,0.9496409674981104,0.8467803030303032,"[0.9333333333333333, 0.0]","[0.5733333333333334, 0.23384615384615384]","[0.6110729714861374, 0.13812802794714427]","[0.5234567901234567, 0.8535612535612535]","[0.6275189524134074, 0.17169641283717887]","[0.5207407407407407, 0.2095238095238095]","[0.5025505040784561, 0.4635742121293323]","[0.9850340136054421, 0.9414733414733415]","[0.9272727272727272, 0.8282051282051283]"
spectfheart,1,2,Uniform,"[[2, 3], [1, 21]]",0.8518518518518519,0.2375,0.30416666666666664,0.2681401840885877,0.7560185185185185,0.27087146694545144,0.3294949494949495,0.4700136898595453,0.9369425547996976,0.8374053030303031,"[0.9661016949152542, 0.0]","[0.5661016949152542, 0.21878453038674034]","[0.5902098757328166, 0.16315614095593856]","[0.5310734463276836, 0.8293431553100061]","[0.6137170100370207, 0.15911518494322716]","[0.6131997945557268, 0.23701657458563535]","[0.4999152270934703, 0.4602667799324646]","[0.9861639571082671, 0.9208980092957992]","[0.9352850539291216, 0.8054997488699145]"
spectfheart,1,3,Uniform,"[[2, 3], [1, 21]]",0.8518518518518519,0.19583333333333333,0.3091666666666667,0.26046870928320465,0.763425925925926,0.27211141409192835,0.31915854978354985,0.4732163862691016,0.9540060468631898,0.8511363636363637,"[0.9215686274509803, 0.0]","[0.5686274509803921, 0.23915343915343917]","[0.588519050813151, 0.1719471885529017]","[0.5076252723311547, 0.8324514991181657]","[0.6391348745578065, 0.1730733374582786]","[0.6086452762923351, 0.24104308390022675]","[0.5037181245626602, 0.46498575847560164]","[0.9867947178871548, 0.9451583102376753]","[0.9273618538324421, 0.8305675805675805]"
spectfheart,1,4,Uniform,"[[2, 3], [1, 21]]",0.8518518518518519,0.17916666666666667,0.2833333333333333,0.22293667873755843,0.7814814814814817,0.260216772188268,0.2563492063492063,0.46866908042615535,0.9380259511211891,0.8419507575757577,"[1.0, 0.0]","[0.5348837209302325, 0.22842639593908629]","[0.564836549788197, 0.14830878810213988]","[0.503875968992248, 0.8420755781161873]","[0.6098446744218046, 0.1839020524114047]","[0.49147286821705427, 0.20502779792119893]","[0.49780679694851016, 0.4623090712359966]","[0.9805410536307546, 0.9287460048881369]","[0.9550739957716702, 0.817258883248731]"
spectfheart,1,5,Uniform,"[[2, 3], [1, 21]]",0.8518518518518519,0.22083333333333333,0.29,0.2555642542854661,0.7736111111111114,0.26377546314315736,0.27081349206349203,0.47128938354535777,0.9457860922146637,0.8573863636363636,"[0.9814814814814815, 0.0]","[0.5703703703703704, 0.20860215053763442]","[0.5812879045803826, 0.16099932355468388]","[0.5185185185185185, 0.8476702508960573]","[0.6072963234909369, 0.16404360046154398]","[0.5509259259259259, 0.1894905273937532]","[0.4993857402503109, 0.4631323767600488]","[0.9845049130763416, 0.9345451442225636]","[0.9402356902356902, 0.8333333333333334]"
spectfheart,1,6,Uniform,"[[2, 3], [1, 21]]",0.8518518518518519,0.19166666666666668,0.26166666666666666,0.2367745296695331,0.7675925925925926,0.2541812590944088,0.27487283549783553,0.4667487298606592,0.9381204333585287,0.8400568181818181,"[0.9787234042553191, 0.0]","[0.5446808510638298, 0.1927461139896373]","[0.599902609488329, 0.14834437551676938]","[0.491725768321513, 0.8347725964306275]","[0.6108163767440664, 0.16733229262013985]","[0.5615087040618956, 0.20507031828275352]","[0.5011977113434446, 0.4583595996550067]","[0.9813287016934433, 0.9275982125723059]","[0.9410058027079303, 0.8154733867169099]"
spectfheart,1,7,Uniform,"[[1, 4], [2, 20]]",0.7777777777777778,0.175,0.27666666666666667,0.22506555872054534,0.7847222222222224,0.24667848530343425,0.28005050505050505,0.47037889082911,0.9460569412950366,0.8496212121212121,"[1.0, 0.0]","[0.5428571428571429, 0.2202020202020202]","[0.5452265848875516, 0.1571526137760289]","[0.5238095238095238, 0.84006734006734]","[0.6023265370557369, 0.17123798947718827]","[0.5471139971139971, 0.2234006734006734]","[0.5043338666237206, 0.46317632020601074]","[0.9859086491739553, 0.9376035487146599]","[0.9588744588744589, 0.8264462809917354]"
spectfheart,1,8,Uniform,"[[1, 4], [2, 20]]",0.7777777777777778,0.2375,0.30583333333333335,0.2560779411192083,0.7620370370370372,0.2719757899628065,0.30655934343434343,0.47397714740589786,0.953001385739481,0.8582386363636362,"[0.9827586206896551, 0.0]","[0.5275862068965518, 0.2351648351648352]","[0.5928799968270917, 0.14874541787164103]","[0.5210727969348659, 0.8388278388278387]","[0.6072973305307426, 0.16511507923236532]","[0.5282915360501568, 0.2358974358974359]","[0.4993486093130857, 0.4658917364684425]","[0.9824067558057705, 0.9436304436304436]","[0.9482758620689655, 0.8295454545454545]"
spectfheart,1,9,Uniform,"[[2, 3], [3, 19]]",0.7777777777777778,0.1875,0.2625,0.23995017761882936,0.7907407407407409,0.26273711752200446,0.2673223304473304,0.47255912111308934,0.9488756613756614,0.8510416666666667,"[0.9782608695652174, 0.0]","[0.5391304347826087, 0.19690721649484538]","[0.6532156769746534, 0.1419593891117783]","[0.5579710144927535, 0.8459335624284078]","[0.6036066110357932, 0.18191239225584843]","[0.5317852437417655, 0.2046146293568974]","[0.500685965575594, 0.46588986933332016]","[0.9813664596273293, 0.9411716576665031]","[0.9402173913043478, 0.8298969072164949]"
spectfheart,1,10,Uniform,"[[1, 4], [3, 19]]",0.7407407407407407,0.25833333333333336,0.30083333333333334,0.2812189616337337,0.7518518518518519,0.27227051167704847,0.2713888888888889,0.471112664727207,0.9540375409423028,0.8601325757575757,"[0.9841269841269841, 0.0]","[0.5714285714285714, 0.20451977401129945]","[0.5854607156870674, 0.17292952375034384]","[0.5379188712522045, 0.8279974890144381]","[0.6010770926616189, 0.15523766081813364]","[0.5558201058201058, 0.17015065913371]","[0.499619086614643, 0.46096631117405173]","[0.9838030450275348, 0.9434430394882373]","[0.9523809523809523, 0.8272984078068825]"
spectfheart,1,11,Uniform,"[[1, 4], [2, 20]]",0.7777777777777778,0.2375,0.3141666666666667,0.2639537299954172,0.7587962962962964,0.2937843600811939,0.30836399711399715,0.47350740474701497,0.9409108087679515,0.8525568181818183,"[0.95, 0.0]","[0.5633333333333332, 0.23111111111111113]","[0.557152976837666, 0.16622064771466766]","[0.5351851851851851, 0.8333333333333334]","[0.6192992911835501, 0.1852793830470752]","[0.49797979797979797, 0.24515873015873016]","[0.499544210800783, 0.4648284693957589]","[0.9816326530612245, 0.9273368606701939]","[0.9318181818181818, 0.8261363636363637]"
spectfheart,1,12,Uniform,"[[1, 4], [4, 18]]",0.7037037037037037,0.17916666666666667,0.2516666666666667,0.21506600052117497,0.7722222222222224,0.23797976635581672,0.25044642857142857,0.4667388782289172,0.9389739229024943,0.849810606060606,"[1.0, 0.0]","[0.5348837209302325, 0.1898477157360406]","[0.5702775413497179, 0.13753251699007168]","[0.4987080103359173, 0.8319232938522279]","[0.6009561052378442, 0.15875142842725237]","[0.5271317829457365, 0.19005317863185883]","[0.49260150708119693, 0.4610937358906023]","[0.9805410536307546, 0.9299008943678995]","[0.9540169133192389, 0.8270650669127827]"
