dataset,fold,n_ensemble,weights,confusion_matrix,accuracy,Boots_Hostility_dataset,Boots_kDN_dataset,Boots_DCP_dataset,Boots_TD_U_dataset,Boots_CLD_dataset,Boots_N1_dataset,Boots_N2_dataset,Boots_LSC_dataset,Boots_F1_dataset,Boots_Hostility_class,Boots_kDN_class,Boots_DCP_class,Boots_TD_U_class,Boots_CLD_class,Boots_N1_class,Boots_N2_class,Boots_LSC_class,Boots_F1_class
thyroid,1,0,Uniform,"[[16, 0, 0], [0, 37, 0], [0, 0, 667]]",1.0,0.049228395061728394,0.08175925925925925,0.009750365588106082,0.20034722222222223,0.12641088224181285,0.08206018518518518,0.2752640823463823,0.989036906955621,0.19113389182833623,"[0.15333333333333332, 0.7715877437325905, 0.003182046558365433]","[0.38133333333333336, 0.8495821727019499, 0.028069000167476134]","[0.09638554216867468, 0.03779069767441856, 0.005888071884191918]","[0.8833333333333333, 1.0, 0.1351113716295428]","[0.9090281941102205, 0.9480961185791172, 0.057347476342406806]","[0.31666666666666665, 0.8161559888579387, 0.03202981075196785]","[0.4038925941986696, 0.5984165406586656, 0.2526035549117896]","[0.9483221476510068, 0.9993078416476745, 0.9894421905498673]","[0.22507936507936507, 0.24247247645576334, 0.18719445574243765]"
thyroid,1,1,Uniform,"[[16, 0, 0], [0, 37, 0], [0, 0, 667]]",1.0,0.04537037037037037,0.07358024691358026,0.00780755991234533,0.19486882716049383,0.12071440410964553,0.07309670781893003,0.2706865455926233,0.98915732303137,0.1906893004115226,"[0.0945945945945946, 0.7881619937694704, 0.004491765097321577]","[0.36756756756756753, 0.8211838006230531, 0.02641823323906172]","[0.09638554216867468, 0.03779069767441856, 0.004025472307028037]","[0.8800675675675675, 1.0, 0.13500249542505408]","[0.9078550876947105, 0.9483993437165784, 0.057133687625796736]","[0.26914414414414417, 0.7897196261682243, 0.030000554538900905]","[0.4005429479980892, 0.5811157804190363, 0.25091171080052754]","[0.9604117540359152, 0.9991881431133768, 0.9893294160217216]","[0.2281209781209781, 0.2446224595757306, 0.1868875315889124]"
thyroid,1,2,Uniform,"[[16, 0, 0], [0, 36, 1], [0, 0, 667]]",0.9986111111111111,0.050771604938271604,0.07842592592592593,0.008681771660284545,0.19870756172839507,0.12502078376103584,0.07718106995884774,0.26981499039792584,0.9890364275732422,0.19078115814226923,"[0.175, 0.7852941176470588, 0.00568561872909699]","[0.41125, 0.8341176470588236, 0.026555183946488297]","[0.09638554216867468, 0.03779069767441856, 0.004680159933503947]","[0.878125, 1.0, 0.13497073578595317]","[0.9116562828688183, 0.9481250344472579, 0.05717511066896885]","[0.353125, 0.7867647058823529, 0.029453734671125973]","[0.42883111664720597, 0.5852013945347307, 0.24762870986173885]","[0.9586828859060402, 0.9991176470588234, 0.9892753827641544]","[0.2276785714285714, 0.24285714285714285, 0.18683309444179005]"
thyroid,1,3,Uniform,"[[16, 0, 0], [0, 36, 1], [0, 0, 667]]",0.9986111111111111,0.04691358024691358,0.07675925925925925,0.008260302190674841,0.19583333333333333,0.12231185588338153,0.07728909465020575,0.27333856169653326,0.9891817121394287,0.1905570252792475,"[0.15436241610738255, 0.7659574468085106, 0.0048317227590803065]","[0.39865771812080536, 0.829179331306991, 0.027524158613795403]","[0.09638554216867468, 0.03779069767441856, 0.004453877520419316]","[0.8791946308724832, 1.0, 0.13478840386537821]","[0.9128016535948854, 0.9481899745752176, 0.05741734057038121]","[0.34004474272930646, 0.8115501519756839, 0.030517605242696876]","[0.4171857613943444, 0.5964866977843811, 0.25205416157526106]","[0.9617134363316968, 0.9991065671916736, 0.9893195821466203]","[0.22962607861936718, 0.24272687798523662, 0.18672744005966263]"
thyroid,1,4,Uniform,"[[16, 0, 0], [0, 37, 0], [0, 0, 667]]",1.0,0.0433641975308642,0.07132716049382716,0.008185654979954268,0.19251543209876543,0.11874143947063864,0.07164609053497942,0.2708344888398779,0.9889150215034758,0.19029982363315692,"[0.17058823529411765, 0.7929824561403509, 0.004315352697095436]","[0.39294117647058824, 0.8245614035087719, 0.02662240663900415]","[0.09638554216867469, 0.03779069767441856, 0.004296622948418202]","[0.8852941176470588, 1.0, 0.13477178423236513]","[0.9101758383572716, 0.9481977284732751, 0.05717481869445956]","[0.3166666666666667, 0.8096491228070175, 0.02982295988934993]","[0.40485399734133115, 0.5966685773414447, 0.2516401267372732]","[0.9519936833793919, 0.9992025518341308, 0.9894701553353192]","[0.226890756302521, 0.2442773600668337, 0.1867140881248765]"
thyroid,1,5,Uniform,"[[16, 0, 0], [0, 36, 1], [0, 0, 667]]",0.9986111111111111,0.056635802469135806,0.08589506172839506,0.007736766402388189,0.20281635802469136,0.13035385678687658,0.08487397119341564,0.2762588018769593,0.9892128726439372,0.1910787771898883,"[0.21739130434782608, 0.7872340425531915, 0.006057546693589096]","[0.47329192546583854, 0.8297872340425532, 0.02833585731112233]","[0.09638554216867468, 0.03779069767441856, 0.0034337660563246615]","[0.8827639751552795, 1.0, 0.13396012115093386]","[0.9138243145466671, 0.9480985801854256, 0.057392261683867886]","[0.3799171842650103, 0.7978723404255319, 0.0317712715239217]","[0.45236302934342876, 0.590742957568316, 0.2515913236400332]","[0.9610654883488265, 0.9991054158607351, 0.9893495262905797]","[0.2284826974267968, 0.24518743667679835, 0.18664214802528784]"
thyroid,1,6,Uniform,"[[16, 0, 0], [0, 36, 1], [0, 0, 667]]",0.9986111111111111,0.04984567901234568,0.08305555555555556,0.008633095041665366,0.19797453703703705,0.12385199878478281,0.07894804526748972,0.2765251073660383,0.9895668859806512,0.19089138741916517,"[0.16326530612244897, 0.8081395348837209, 0.0035064284521622974]","[0.4217687074829932, 0.8540697674418605, 0.0304558356987811]","[0.09638554216867468, 0.03779069767441856, 0.0048044383321416625]","[0.8835034013605442, 1.0, 0.1350809817999666]","[0.912116503382878, 0.94847829093013, 0.05713863650828934]","[0.354875283446712, 0.7967538759689922, 0.030945622530194245]","[0.4337398722009752, 0.5946926489061952, 0.2543911610109624]","[0.9586814591608457, 0.9990750528541227, 0.9897788326058038]","[0.23032069970845478, 0.24467054263565888, 0.18683459358029403]"
thyroid,1,7,Uniform,"[[16, 0, 0], [0, 36, 1], [0, 0, 667]]",0.9986111111111111,0.04567901234567901,0.07632716049382716,0.007942617801092395,0.19542824074074075,0.12184356849141553,0.07342592592592592,0.27402178256117654,0.9892793327014786,0.1912330981775426,"[0.1276595744680851, 0.7582089552238805, 0.003997335109926716]","[0.40709219858156026, 0.8226865671641792, 0.026915389740173216]","[0.09638554216867468, 0.03779069767441856, 0.004200186239900961]","[0.87677304964539, 1.0, 0.13453530979347103]","[0.9105405512411106, 0.9487793623164441, 0.057181715476909936]","[0.3309692671394799, 0.7756218905472636, 0.028197868087941374]","[0.43053868104040605, 0.5883361322985979, 0.252808559735126]","[0.9593507544385739, 0.9990321121664406, 0.9894380183134552]","[0.2310030395136778, 0.24456289978678034, 0.18732353034484947]"
thyroid,1,8,Uniform,"[[16, 0, 0], [0, 36, 1], [0, 0, 667]]",0.9986111111111111,0.04490740740740741,0.0769753086419753,0.008647450482377398,0.1945601851851852,0.12051239786680724,0.07661265432098766,0.2737561890451423,0.9892682500460932,0.19100896531452083,"[0.087248322147651, 0.786833855799373, 0.004491017964071856]","[0.4053691275167785, 0.8106583072100314, 0.02990685296074518]","[0.09638554216867468, 0.03779069767441856, 0.004926613570281684]","[0.8800335570469798, 1.0, 0.13483449767132402]","[0.9083314014854901, 0.948501615679985, 0.057053716559157974]","[0.28523489932885904, 0.7758620689655172, 0.034339654025282766]","[0.4040638970832061, 0.5776654017658022, 0.25440108469458306]","[0.9588757263186343, 0.9989455685380451, 0.9895080074373871]","[0.22738894215404282, 0.24615614270786682, 0.1871811931692171]"
thyroid,1,9,Uniform,"[[16, 0, 0], [0, 36, 1], [0, 0, 667]]",0.9986111111111111,0.050617283950617285,0.07885802469135803,0.00781128930018091,0.19695216049382716,0.12374208792690519,0.07874228395061728,0.27485879772090643,0.9894700686649724,0.1908105526161082,"[0.14965986394557823, 0.8115942028985508, 0.004342017368069473]","[0.41088435374149657, 0.8347826086956521, 0.027154308617234467]","[0.09638554216867468, 0.03779069767441856, 0.003909600746276339]","[0.8801020408163265, 1.0, 0.1339136606546426]","[0.9107946356776755, 0.9481935809772098, 0.056919694870506]","[0.3310657596371882, 0.8089371980676328, 0.030477621910487643]","[0.407319214626497, 0.596141816228451, 0.25309621878466315]","[0.9612838423960189, 0.9992007026789637, 0.9896013823801878]","[0.22821509556203431, 0.24292615596963418, 0.18688965232051405]"
