dataset,fold,n_ensemble,weights,confusion_matrix,accuracy,Boots_Hostility_dataset,Boots_kDN_dataset,Boots_DCP_dataset,Boots_TD_U_dataset,Boots_CLD_dataset,Boots_N1_dataset,Boots_N2_dataset,Boots_LSC_dataset,Boots_F1_dataset,Boots_Hostility_class,Boots_kDN_class,Boots_DCP_class,Boots_TD_U_class,Boots_CLD_class,Boots_N1_class,Boots_N2_class,Boots_LSC_class,Boots_F1_class
vehicle2,1,0,Uniform,"[[59, 4], [3, 19]]",0.9176470588235294,0.03942181340341656,0.07437582128777924,0.019789821527925282,0.5420499342969777,0.2574072652794568,0.04526938239159001,0.34309756467557817,0.9338775608227898,0.9005694261936048,"[0.04513888888888889, 0.021621621621621623]","[0.061111111111111116, 0.11567567567567569]","[0.017877278207061236, 0.02574455100261551]","[0.5034722222222222, 0.6621621621621622]","[0.18516802085807993, 0.48232512899141927]","[0.03550347222222222, 0.07567567567567568]","[0.3368278440547053, 0.3626184245546201]","[0.9395901053979512, 0.916091476091476]","[0.8859953703703703, 0.9459459459459459]"
vehicle2,1,1,Uniform,"[[59, 4], [4, 18]]",0.9058823529411765,0.02759526938239159,0.07095926412614981,0.016439895064432424,0.5436925098554534,0.2644756644271332,0.05096364432763907,0.3375517810128459,0.9315910382941446,0.885676741130092,"[0.029259896729776247, 0.022222222222222223]","[0.05679862306368331, 0.11666666666666667]","[0.010314450306203175, 0.03621146953405017]","[0.5002151462994836, 0.6840277777777778]","[0.18893011134636367, 0.5083199218711727]","[0.04036144578313253, 0.08518518518518518]","[0.3333567617605298, 0.3510923709328215]","[0.9355262997277864, 0.9188888888888889]","[0.871677184930197, 0.9308641975308641]"
vehicle2,1,2,Uniform,"[[59, 4], [0, 22]]",0.9529411764705882,0.02102496714848883,0.06649145860709592,0.01661109618994168,0.536957950065703,0.2527902911774215,0.033924660534384574,0.3362475979706061,0.9304684951677991,0.8853117243393197,"[0.025089605734767026, 0.009852216748768473]","[0.04659498207885305, 0.12118226600985223]","[0.011088132832238744, 0.03179244374461281]","[0.49507168458781364, 0.6520935960591133]","[0.16882280623935805, 0.48359746652441354]","[0.022968936678614098, 0.06403940886699508]","[0.3281279690766444, 0.358566577886028]","[0.9346831388698238, 0.9188834154351395]","[0.8680804460374353, 0.9326765188834155]"
vehicle2,1,3,Uniform,"[[59, 4], [1, 21]]",0.9411764705882353,0.026281208935611037,0.06254927726675427,0.02140941479494953,0.5410643889618922,0.25902155526162807,0.04198423127463863,0.337176096776697,0.9297836137450867,0.9004234194772959,"[0.02527075812274368, 0.028985507246376812]","[0.04765342960288809, 0.10241545893719807]","[0.013914517140883223, 0.04146822300921395]","[0.5058664259927798, 0.6352657004830918]","[0.17480524584784776, 0.48441206451396757]","[0.028941034897713595, 0.07689210950080515]","[0.3316947326421172, 0.35184602784219066]","[0.935853368154236, 0.913538957017218]","[0.8845768150822302, 0.9428341384863124]"
vehicle2,1,4,Uniform,"[[60, 3], [0, 22]]",0.9647058823529412,0.03679369250985545,0.05992115637319317,0.01945225601555723,0.5436925098554534,0.23578066565282058,0.03416557161629435,0.33727581924807243,0.930911354328191,0.8965542414951089,"[0.039316239316239315, 0.028409090909090908]","[0.05264957264957265, 0.08409090909090909]","[0.0161573132809836, 0.030404196354907077]","[0.5094017094017094, 0.6576704545454546]","[0.16300849369468506, 0.4776654417636688]","[0.02621082621082621, 0.0606060606060606]","[0.33295612071171654, 0.35163390813311896]","[0.9377917197066132, 0.908041958041958]","[0.8804368471035138, 0.9501262626262627]"
vehicle2,1,5,Uniform,"[[59, 4], [0, 22]]",0.9529411764705882,0.030223390275952694,0.06044678055190539,0.017279138973324604,0.5353153745072273,0.23899277481214623,0.034209373631187034,0.3331888015677044,0.928935424646555,0.8877938385165717,"[0.034071550255536626, 0.017241379310344827]","[0.048381601362862015, 0.10114942528735633]","[0.01447969138352138, 0.026723252394097563]","[0.5048977853492334, 0.6379310344827587]","[0.17676513353334972, 0.44892165659751154]","[0.02504258943781942, 0.06513409961685825]","[0.3310859225732884, 0.34028299679599283]","[0.9364903886814794, 0.9034482758620689]","[0.8767745599091424, 0.9249680715197958]"
vehicle2,1,6,Uniform,"[[59, 4], [0, 22]]",0.9529411764705882,0.0328515111695138,0.06622864651773983,0.019410920272470825,0.5389290407358739,0.2384421902574725,0.04710906701708278,0.33745334839023383,0.9251521421049199,0.9009344429843772,"[0.03963963963963964, 0.014563106796116505]","[0.055855855855855854, 0.0941747572815534]","[0.0101725888696398, 0.04430059953737964]","[0.502927927927928, 0.6359223300970874]","[0.16164748096178258, 0.4453405575346954]","[0.041171171171171174, 0.06310679611650485]","[0.3356774202834338, 0.34223800906632146]","[0.9340074116669861, 0.901294498381877]","[0.8871871871871871, 0.9379719525350594]"
vehicle2,1,7,Uniform,"[[59, 4], [0, 22]]",0.9529411764705882,0.024967148488830485,0.05781865965834428,0.020704090450711334,0.5402431011826544,0.2553040193121821,0.04537888742882172,0.33435247934675466,0.926691019439922,0.8880128485910352,"[0.025684931506849314, 0.022598870056497175]","[0.04589041095890411, 0.09717514124293784]","[0.012675390932350414, 0.04719426287287392]","[0.5006421232876712, 0.6709039548022598]","[0.185857026592557, 0.4844398596978377]","[0.037585616438356166, 0.07109227871939737]","[0.328882584914632, 0.3524000406369219]","[0.9317466967842224, 0.9100101405186152]","[0.870814307458143, 0.9447583176396737]"
vehicle2,1,8,Uniform,"[[59, 4], [0, 22]]",0.9529411764705882,0.02890932982917214,0.06544021024967148,0.019790081478952004,0.5359724047306176,0.2564084806584623,0.041655716162943494,0.3372306854075389,0.930676393438157,0.8903489560519785,"[0.02586206896551724, 0.03867403314917127]","[0.04758620689655173, 0.12265193370165747]","[0.01257384140004089, 0.04291394471524176]","[0.5012931034482758, 0.6470994475138122]","[0.17951490562680614, 0.5028077818648741]","[0.031522988505747127, 0.07412523020257826]","[0.33056027157341794, 0.3586054921688105]","[0.9342504279775007, 0.9192236860745148]","[0.8724137931034482, 0.9478207489257212]"
vehicle2,1,9,Uniform,"[[59, 4], [0, 22]]",0.9529411764705882,0.02102496714848883,0.06517739816031538,0.02162850760536602,0.5397503285151117,0.24457547480873576,0.029303547963206302,0.3329689191770168,0.9293760972906555,0.8947291575412469,"[0.020618556701030927, 0.0223463687150838]","[0.05017182130584193, 0.11396648044692739]","[0.01332139706172458, 0.04863821898189851]","[0.5073024054982818, 0.6452513966480447]","[0.17540803606732877, 0.4694662532863832]","[0.01912943871706758, 0.06238361266294227]","[0.3297802243333058, 0.3433366309034965]","[0.9370232263410592, 0.9045122475290074]","[0.8823024054982818, 0.9351334574798261]"
vehicle2,1,10,Uniform,"[[59, 4], [0, 22]]",0.9529411764705882,0.023653088042049936,0.0657030223390276,0.021112235137720602,0.5310446780551905,0.24655681885690392,0.04161191414805081,0.3368685608869593,0.9288831991672599,0.8772813549423273,"[0.027633851468048358, 0.01098901098901099]","[0.04974093264248705, 0.1164835164835165]","[0.010778157673621978, 0.05398822882845195]","[0.49827288428324695, 0.6353021978021978]","[0.17862212376507003, 0.4626787334622437]","[0.03698906160046057, 0.05631868131868132]","[0.3325974824771682, 0.35045622242140473]","[0.9340296916914709, 0.9125105663567201]","[0.8641335636154288, 0.9191086691086691]"
