dataset,fold,n_ensemble,weights,confusion_matrix,accuracy,Boots_Hostility_dataset,Boots_kDN_dataset,Boots_DCP_dataset,Boots_TD_U_dataset,Boots_CLD_dataset,Boots_N1_dataset,Boots_N2_dataset,Boots_LSC_dataset,Boots_F1_dataset,Boots_Hostility_class,Boots_kDN_class,Boots_DCP_class,Boots_TD_U_class,Boots_CLD_class,Boots_N1_class,Boots_N2_class,Boots_LSC_class,Boots_F1_class
wdbc,1,0,Uniform,"[[32, 3], [0, 22]]",0.9473684210526315,0.04296875,0.045312500000000006,0.04298684810077933,0.7223307291666667,0.12448038167607693,0.04899088541666667,0.36193740726425216,0.7727246475238589,0.8064453125000001,"[0.031055900621118012, 0.06315789473684211]","[0.029192546583850933, 0.07263157894736842]","[0.023899096544583436, 0.07533556389601659]","[0.8291925465838509, 0.5412280701754386]","[0.09162651017536555, 0.18015904811412464]","[0.042701863354037264, 0.05964912280701755]","[0.3674289893774517, 0.35263062073556656]","[0.815028733964126, 0.7010303536619326]","[0.8181159420289855, 0.7866666666666666]"
wdbc,1,1,Uniform,"[[33, 2], [1, 21]]",0.9473684210526315,0.029296875,0.037890625,0.045088587871824765,0.7291666666666667,0.12649331224982938,0.035319010416666664,0.36214670546229444,0.7827865780917767,0.8243489583333333,"[0.015625, 0.052083333333333336]","[0.025, 0.059375000000000004]","[0.03518164940394761, 0.06160015198495336]","[0.8411458333333334, 0.5425347222222222]","[0.09913635279990925, 0.17208824466636294]","[0.02890625, 0.04600694444444445]","[0.3634079207097306, 0.3600446800499009]","[0.8174552180685358, 0.7250055114638448]","[0.8303125, 0.8144097222222223]"
wdbc,1,2,Uniform,"[[31, 4], [1, 21]]",0.9122807017543859,0.03515625,0.050390624999999994,0.05659455728391934,0.7239583333333334,0.14502900006193747,0.04850260416666667,0.3590808777831139,0.7777326752027395,0.8203125,"[0.018691588785046728, 0.06282722513089005]","[0.031775700934579446, 0.08167539267015707]","[0.050009300048566095, 0.06766192677370148]","[0.8317757009345794, 0.5427574171029669]","[0.11206948716978528, 0.20042168926811998]","[0.035046728971962614, 0.07111692844677138]","[0.35856315342909273, 0.35995097996971503]","[0.8087266233829253, 0.7256433696224271]","[0.8211838006230531, 0.818848167539267]"
wdbc,1,3,Uniform,"[[32, 3], [1, 21]]",0.9298245614035088,0.048828125,0.055859375,0.058265241342241245,0.72265625,0.137930787983298,0.04085286458333333,0.3645902241596556,0.7884209231135341,0.8093098958333333,"[0.01948051948051948, 0.09313725490196079]","[0.028571428571428574, 0.09705882352941177]","[0.048466120426975255, 0.07305999252803494]","[0.8398268398268399, 0.545751633986928]","[0.1038095716462427, 0.18944713421767562]","[0.030844155844155844, 0.055964052287581695]","[0.36219940618785035, 0.36819989050924395]","[0.8220455556904155, 0.7376543209876544]","[0.8104978354978355, 0.807516339869281]"
wdbc,1,4,Uniform,"[[31, 4], [1, 21]]",0.9122807017543859,0.02734375,0.04453125,0.04623484273727266,0.7174479166666667,0.13204293769046496,0.0458984375,0.36229951697359886,0.7924468349775009,0.8222005208333334,"[0.018575851393188854, 0.042328042328042326]","[0.029721362229102165, 0.06984126984126984]","[0.03161061216247194, 0.0712275754127257]","[0.824045407636739, 0.5352733686067019]","[0.10352462400822394, 0.1807805848828663]","[0.047729618163054696, 0.04276895943562611]","[0.36390871765553773, 0.3595494015224546]","[0.8280913939604371, 0.731530472271213]","[0.8321981424148607, 0.8051146384479717]"
wdbc,1,5,Uniform,"[[31, 4], [1, 21]]",0.9122807017543859,0.052734375,0.04921875,0.04297822679008649,0.7164713541666667,0.11975124086041881,0.050944010416666664,0.3635015328091239,0.7792253096721555,0.8180338541666667,"[0.03514376996805112, 0.08040201005025126]","[0.03706070287539936, 0.06834170854271357]","[0.03423010517883081, 0.05673783515351878]","[0.8312034078807242, 0.5360134003350084]","[0.09816890894737491, 0.15369732070354816]","[0.05404685835995741, 0.04606365159128978]","[0.36691631933907715, 0.3581305369102526]","[0.8181800085595136, 0.7179548536332456]","[0.8289669861554845, 0.8008375209380235]"
wdbc,1,6,Uniform,"[[31, 4], [1, 21]]",0.9122807017543859,0.037109375,0.050390625,0.042499911505485016,0.7307942708333335,0.1239758056898009,0.04541015625,0.3691439010248135,0.7939760730356525,0.8291015625,"[0.02108433734939759, 0.06666666666666667]","[0.028915662650602414, 0.09]","[0.03349736644447634, 0.05910460572912323]","[0.8323293172690764, 0.5435185185185185]","[0.0893113356480973, 0.18791249487783207]","[0.03589357429718875, 0.06296296296296297]","[0.37046279570603, 0.3667112730572363]","[0.8274124535525279, 0.7323045267489712]","[0.8385542168674698, 0.8116666666666666]"
wdbc,1,7,Uniform,"[[32, 3], [1, 21]]",0.9298245614035088,0.052734375,0.05703125,0.05357719753858438,0.7184244791666667,0.13848855224241496,0.05224609375,0.36350776800730966,0.7802741618454235,0.8138020833333333,"[0.022435897435897436, 0.1]","[0.030769230769230767, 0.098]","[0.0379658900238422, 0.07793083726158216]","[0.8306623931623932, 0.5433333333333333]","[0.10239872770384939, 0.19478867852257725]","[0.03552350427350427, 0.07833333333333332]","[0.3610967297134833, 0.3672689877456786]","[0.809499560667785, 0.7346825396825397]","[0.8169871794871795, 0.8088333333333334]"
wdbc,1,8,Uniform,"[[32, 3], [1, 21]]",0.9298245614035088,0.048828125,0.036328125,0.04636477651070056,0.7268880208333334,0.11303538374637309,0.037272135416666664,0.3591236308838588,0.776660450817139,0.8184244791666667,"[0.04491017964071856, 0.056179775280898875]","[0.025149700598802397, 0.05730337078651686]","[0.037376460208295104, 0.06323049361746133]","[0.8293413173652695, 0.5346441947565543]","[0.08566634815089579, 0.1643907651446283]","[0.035179640718562874, 0.04119850187265917]","[0.36525722627609714, 0.34761452492314193]","[0.8222899994403716, 0.6910409607038821]","[0.8362275449101797, 0.7850187265917602]"
wdbc,1,9,Uniform,"[[31, 4], [1, 21]]",0.9122807017543859,0.044921875,0.044921875,0.055452239646414034,0.7412109375,0.12652334177324553,0.04361979166666667,0.36613457709154107,0.794911058108342,0.8211588541666667,"[0.0463768115942029, 0.041916167664670656]","[0.03246376811594203, 0.07065868263473055]","[0.03546027357508083, 0.09675300787761135]","[0.8342995169082127, 0.5489021956087825]","[0.10223088568381558, 0.1767083558502116]","[0.04154589371980676, 0.04790419161676647]","[0.36557236508829777, 0.3672960330263851]","[0.8185561424895029, 0.7460634286981592]","[0.8181642512077294, 0.8273453093812375]"
wdbc,1,10,Uniform,"[[32, 3], [1, 21]]",0.9298245614035088,0.0390625,0.04296875,0.03594722194906698,0.7216796875,0.12315970635383829,0.040201822916666664,0.36443460004151706,0.7870861959464471,0.81640625,"[0.024844720496894408, 0.06315789473684211]","[0.02670807453416149, 0.07052631578947369]","[0.02896731713107336, 0.04777632379850879]","[0.8317805383022776, 0.5350877192982456]","[0.09643782872601825, 0.16844625685993328]","[0.04063146997929607, 0.039473684210526314]","[0.36477964353843384, 0.36384984211516336]","[0.8166347400398599, 0.7370091896407686]","[0.819151138716356, 0.8117543859649122]"
wdbc,1,11,Uniform,"[[31, 4], [1, 21]]",0.9122807017543859,0.05078125,0.057421875000000004,0.048461555240337864,0.7102864583333334,0.1484038636491638,0.05305989583333333,0.36415936126610465,0.7908349249616773,0.8294270833333333,"[0.03322259136212625, 0.07582938388625593]","[0.03122923588039867, 0.0947867298578199]","[0.03655937173779577, 0.06544049947856143]","[0.8294573643410853, 0.5402843601895735]","[0.11707547561949248, 0.19309507121755756]","[0.039590254706533774, 0.07227488151658767]","[0.3618511736895201, 0.3674520838279623]","[0.8258453131306859, 0.7408911958674992]","[0.8368770764119602, 0.8187993680884676]"
wdbc,1,12,Uniform,"[[31, 4], [1, 21]]",0.9122807017543859,0.037109375,0.050390625,0.03205535328021743,0.71875,0.14129241672585152,0.04378255208333333,0.36433376387028515,0.7849965076892647,0.819140625,"[0.022151898734177215, 0.061224489795918366]","[0.029746835443037977, 0.08367346938775509]","[0.02588713675105331, 0.04200002890886976]","[0.8312236286919832, 0.5374149659863945]","[0.1036018988284558, 0.20205876190736707]","[0.03533755274261603, 0.05739795918367347]","[0.36226422298191313, 0.3676703706086809]","[0.8124630308766118, 0.7407137458157866]","[0.82542194092827, 0.8090136054421768]"
wdbc,1,13,Uniform,"[[32, 3], [1, 21]]",0.9298245614035088,0.03515625,0.048828125,0.03572617840463099,0.7213541666666667,0.12861708270984834,0.04524739583333333,0.3618669589889012,0.7810838834495377,0.8174479166666666,"[0.02830188679245283, 0.04639175257731959]","[0.03522012578616353, 0.0711340206185567]","[0.02278688746231268, 0.056935943969874385]","[0.8343815513626835, 0.5360824742268041]","[0.09697933082918464, 0.18047690280289508]","[0.0440251572327044, 0.04725085910652921]","[0.36458958042897105, 0.35740410528816824]","[0.8194224024765376, 0.7182403316423934]","[0.8243186582809224, 0.8061855670103093]"
wdbc,1,14,Uniform,"[[32, 3], [1, 21]]",0.9298245614035088,0.05859375,0.051171875000000006,0.04601581044949457,0.7184244791666667,0.13384726205830944,0.04622395833333333,0.3617223832246075,0.7801215664095338,0.8099609375000001,"[0.03125, 0.10416666666666667]","[0.025, 0.09479166666666666]","[0.03129753761969902, 0.07054626516582044]","[0.8260416666666666, 0.5390625]","[0.1001073748612769, 0.19008040738669707]","[0.03098958333333333, 0.07161458333333333]","[0.3601006073061555, 0.3644253430886941]","[0.8100661993769471, 0.7302138447971781]","[0.81375, 0.8036458333333334]"
